sequence,v115@HhA8FeB8AeB8EeE8FeB8Jex/IvhFXhB8mBGjBaqBzq?BVxB,v115@HhA8FeB8AeB8EeE8FeB8Jex/IvhFlhBGjBUlBKsBTr?B3qB,v115@HhA8FeB8AeB8EeE8FeB8Je0/IvhFlgB3hBGjByrBTq?BxwB,v115@HhA8FeB8AeB8EeE8FeB8Jel/IvhFRhBGjBKqBzlB3r?BUsB,v115@HhA8FeB8AeB8EeE8FeB8Jex/IvhFymBGjBFlB3qBUs?BTrB,v115@HhA8FeB8AeB8EeE8FeB8Jex/IvhFzhBGjBFlB3qBUs?BKrB,v115@HhA8FeB8AeB8EeE8FeB8Jel/IvhF3hBGjBTlBKsBUm?BxvB,v115@HhA8FeB8AeB8EeE8FeB8Je0/IvhFxgBGjBFmBTqB3r?BKsB,v115@HhA8FeB8AeB8EeE8FeB8Jel/IvhFzgBGjBKqBRrBUs?B3rB
IJSLZOT,X,O,O,X,X,X,O,X,X
IJSLOTZ,O,O,O,O,X,X,O,X,X
IJSLOZT,X,X,O,O,X,X,O,X,X
IJSZTLO,X,X,O,X,O,O,X,X,X
IJSZTOL,X,X,X,X,O,O,X,X,X
IJSZLTO,X,X,O,X,O,X,X,X,X
IJSZLOT,X,O,O,X,X,X,X,X,X
IJSZOTL,X,X,X,X,X,O,X,X,X
IJSZOLT,X,O,X,X,X,X,X,X,X
IJSOTLZ,X,X,O,O,X,X,O,O,X
IJSOTZL,O,X,O,X,X,X,X,O,X
IJSOLTZ,X,O,O,O,X,X,O,X,X
IJSOLZT,X,X,O,O,X,X,O,X,X
IJSOZTL,X,X,O,X,X,X,X,O,X
IJSOZLT,X,X,O,O,X,X,X,X,X
IJZTLSO,O,X,O,X,O,X,X,X,X
IJZTLOS,O,O,O,X,X,X,O,X,X
IJZTSLO,O,X,O,X,O,O,X,X,X
IJZTSOL,O,X,X,X,O,O,X,X,X
IJZTOLS,O,O,O,X,X,X,O,X,X
IJZTOSL,O,X,X,X,X,X,X,X,X
IJZLTSO,O,X,O,X,O,X,X,X,X
IJZLTOS,O,O,O,X,X,X,O,X,X
IJZLSTO,X,X,O,X,O,X,X,X,X
IJZLSOT,X,O,O,X,X,X,O,X,X
IJZLOTS,O,O,O,X,X,X,O,X,X
IJZLOST,X,O,O,X,X,X,O,X,X
IJZSTLO,X,X,O,X,O,O,X,X,X
IJZSTOL,X,X,X,X,O,O,X,X,X
IJZSLTO,X,X,O,X,O,X,X,X,X
IJZSLOT,X,O,O,X,X,X,X,X,X
IJZSOTL,X,X,X,X,X,O,X,X,X
IJZSOLT,X,O,X,X,X,X,X,X,X
IJZOTLS,O,O,O,X,X,X,O,X,X
IJZOTSL,O,X,O,X,X,X,X,X,X
IJZOLTS,X,O,O,X,X,X,O,X,X
IJZOLST,X,O,O,X,X,X,O,X,X
IJZOSTL,X,X,O,X,X,O,X,O,X
IJZOSLT,X,O,O,X,X,X,X,X,X
IJOTLSZ,O,O,O,X,X,X,O,X,X
IJOTLZS,O,O,O,X,X,X,O,X,X
IJOTSLZ,X,X,O,X,X,X,O,X,X
IJOTSZL,O,X,O,X,O,O,X,X,X
IJOTZLS,O,X,O,X,X,X,O,X,X
IJOTZSL,O,X,O,X,X,X,X,X,X
IJOLTSZ,O,O,O,X,X,X,O,X,X
IJOLTZS,O,O,O,X,X,X,O,X,X
IJOLSTZ,O,O,O,X,X,X,O,X,X
IJOLSZT,X,X,O,X,X,X,O,X,X
IJOLZTS,O,O,O,X,X,X,O,X,X
IJOLZST,X,O,O,X,X,X,O,X,X
IJOSTLZ,X,X,O,X,X,X,O,O,X
IJOSTZL,O,X,O,X,X,X,X,O,X
IJOSLTZ,X,O,O,X,X,X,O,X,X
IJOSLZT,X,X,O,X,X,X,O,X,X
IJOSZTL,X,X,O,X,X,X,X,O,X
IJOSZLT,X,X,O,X,X,X,X,X,X
IJOZTLS,O,O,O,X,X,X,O,X,X
IJOZTSL,O,X,O,X,X,X,X,X,X
IJOZLTS,X,O,O,X,X,X,O,X,X
IJOZLST,X,O,O,X,X,X,O,X,X
IJOZSTL,X,X,O,X,X,X,X,O,X
IJOZSLT,X,O,O,X,X,X,X,X,X
ISTLJZO,O,X,X,X,O,O,X,X,X
ISTLJOZ,O,X,X,O,X,X,O,X,X
ISTLZJO,O,X,X,X,O,O,X,X,X
ISTLZOJ,O,X,X,X,O,O,X,X,X
ISTLOJZ,O,X,X,O,X,X,O,X,X
ISTLOZJ,O,X,X,O,X,X,O,X,X
ISTJLZO,O,X,X,X,O,O,X,X,X
ISTJLOZ,O,X,X,O,X,X,O,X,X
ISTJZLO,O,X,X,X,O,O,X,X,X
ISTJZOL,O,X,X,X,O,O,X,X,X
ISTJOLZ,X,X,X,X,X,X,O,X,X
ISTJOZL,O,X,X,X,O,O,X,X,X
ISTZLJO,O,X,X,X,O,O,X,X,X
ISTZLOJ,O,X,X,X,O,O,X,X,X
ISTZJLO,O,X,X,X,O,O,X,X,X
ISTZJOL,O,X,X,X,O,O,X,X,X
ISTZOLJ,X,X,X,X,O,O,X,X,X
ISTZOJL,O,X,X,X,O,O,X,X,X
ISTOLJZ,X,X,X,X,X,X,O,X,X
ISTOLZJ,X,X,X,X,X,X,O,X,X
ISTOJLZ,X,X,X,X,X,X,O,X,X
ISTOJZL,O,X,X,X,O,O,X,X,X
ISTOZLJ,O,X,X,X,O,O,X,X,X
ISTOZJL,O,X,X,X,O,O,X,X,X
ISLTJZO,O,X,O,X,X,X,X,X,X
ISLTJOZ,O,O,O,O,X,X,O,X,X
ISLTZJO,O,X,O,X,X,X,X,X,X
ISLTZOJ,O,X,O,X,X,X,X,X,X
ISLTOJZ,O,X,O,O,X,X,O,X,X
ISLTOZJ,O,X,O,O,X,X,O,X,X
ISLJTZO,O,X,O,X,X,X,X,X,X
ISLJTOZ,O,O,O,O,X,X,O,X,X
ISLJZTO,X,X,O,X,X,X,X,X,X
ISLJZOT,X,O,O,X,X,X,O,X,X
ISLJOTZ,O,O,O,O,X,X,O,X,X
ISLJOZT,X,X,O,O,X,X,O,X,X
ISLZTJO,X,X,O,X,X,X,X,X,X
ISLZTOJ,X,X,O,X,X,X,X,X,X
ISLZJTO,X,X,O,X,X,X,X,X,X
ISLZJOT,X,O,O,X,X,X,O,X,X
ISLZOTJ,X,O,O,X,X,X,O,X,X
ISLZOJT,X,O,O,X,X,X,O,X,X
ISLOTJZ,O,O,O,O,X,X,O,X,X
ISLOTZJ,O,X,O,O,X,X,O,X,X
ISLOJTZ,O,O,O,O,X,X,O,X,X
ISLOJZT,X,X,O,O,X,X,O,X,X
ISLOZTJ,X,X,O,O,X,X,O,X,X
ISLOZJT,X,X,O,O,X,X,O,X,X
ISJTLZO,O,X,X,X,O,O,X,X,X
ISJTLOZ,O,X,X,O,X,X,O,X,X
ISJTZLO,O,X,X,X,O,O,X,X,X
ISJTZOL,O,X,X,X,O,O,X,X,X
ISJTOLZ,X,X,X,X,X,X,O,X,X
ISJTOZL,O,X,X,X,O,O,X,X,X
ISJLTZO,O,X,O,X,X,X,X,X,X
ISJLTOZ,O,O,O,O,X,X,O,X,X
ISJLZTO,X,X,O,X,X,X,X,X,X
ISJLZOT,X,O,O,X,X,X,O,X,X
ISJLOTZ,O,O,O,O,X,X,O,X,X
ISJLOZT,X,X,O,O,X,X,O,X,X
ISJZTLO,X,X,O,X,O,O,X,X,X
ISJZTOL,X,X,X,X,O,O,X,X,X
ISJZLTO,X,X,O,X,O,X,X,X,X
ISJZLOT,X,O,O,X,X,X,X,X,X
ISJZOTL,X,X,X,X,X,O,X,X,X
ISJZOLT,X,O,X,X,X,X,X,X,X
ISJOTLZ,X,X,O,O,X,X,O,O,X
ISJOTZL,O,X,O,X,X,X,X,O,X
ISJOLTZ,X,O,O,O,X,X,O,X,X
ISJOLZT,X,X,O,O,X,X,O,X,X
ISJOZTL,X,X,O,X,X,X,X,O,X
ISJOZLT,X,X,O,O,X,X,X,X,X
ISZTLJO,X,X,O,X,O,O,X,X,X
ISZTLOJ,X,X,O,X,O,O,X,X,X
ISZTJLO,X,X,O,X,O,O,X,X,X
ISZTJOL,X,X,X,X,O,O,X,X,X
ISZTOLJ,X,X,X,X,O,O,X,X,X
ISZTOJL,X,X,X,X,O,O,X,X,X
ISZLTJO,X,X,O,X,O,X,X,X,X
ISZLTOJ,X,X,O,X,O,X,X,X,X
ISZLJTO,X,X,O,X,O,X,X,X,X
ISZLJOT,X,O,O,X,X,X,X,X,X
ISZLOTJ,X,O,O,X,X,X,X,X,X
ISZLOJT,X,O,O,X,X,X,X,X,X
ISZJTLO,X,X,O,X,O,O,X,X,X
ISZJTOL,X,X,X,X,O,O,X,X,X
ISZJLTO,X,X,O,X,O,X,X,X,X
ISZJLOT,X,O,O,X,X,X,X,X,X
ISZJOTL,X,X,X,X,X,O,X,X,X
ISZJOLT,X,O,X,X,X,X,X,X,X
ISZOTLJ,X,X,X,X,X,O,X,X,X
ISZOTJL,X,X,X,X,X,O,X,X,X
ISZOLTJ,X,O,X,X,X,X,X,X,X
ISZOLJT,X,O,X,X,X,X,X,X,X
ISZOJTL,X,X,X,X,X,O,X,X,X
ISZOJLT,X,O,X,X,X,X,X,X,X
ISOTLJZ,X,X,O,O,X,X,O,O,X
ISOTLZJ,X,X,O,O,X,X,O,O,X
ISOTJLZ,X,X,O,O,X,X,O,O,X
ISOTJZL,O,X,O,X,X,X,X,O,X
ISOTZLJ,O,X,O,X,X,X,X,O,X
ISOTZJL,O,X,O,X,X,X,X,O,X
ISOLTJZ,X,O,O,O,X,X,O,X,X
ISOLTZJ,X,X,O,O,X,X,O,X,X
ISOLJTZ,X,O,O,O,X,X,O,X,X
ISOLJZT,X,X,O,O,X,X,O,X,X
ISOLZTJ,X,X,O,O,X,X,O,X,X
ISOLZJT,X,X,O,O,X,X,O,X,X
ISOJTLZ,X,X,O,O,X,X,O,O,X
ISOJTZL,O,X,O,X,X,X,X,O,X
ISOJLTZ,X,O,O,O,X,X,O,X,X
ISOJLZT,X,X,O,O,X,X,O,X,X
ISOJZTL,X,X,O,X,X,X,X,O,X
ISOJZLT,X,X,O,O,X,X,X,X,X
ISOZTLJ,X,X,O,X,X,X,X,O,X
ISOZTJL,X,X,O,X,X,X,X,O,X
ISOZLTJ,X,X,O,O,X,X,X,X,X
ISOZLJT,X,X,O,O,X,X,X,X,X
ISOZJTL,X,X,O,X,X,X,X,O,X
ISOZJLT,X,X,O,O,X,X,X,X,X
IZTLJSO,O,X,O,X,O,X,X,X,X
IZTLJOS,O,O,O,X,X,X,O,X,X
IZTLSJO,O,X,O,X,X,X,X,X,X
IZTLSOJ,O,X,O,X,X,X,X,X,X
IZTLOJS,O,O,O,X,X,X,O,X,X
IZTLOSJ,O,O,O,X,X,X,O,X,X
IZTJLSO,O,X,O,X,O,X,X,X,X
IZTJLOS,O,O,O,X,X,X,O,X,X
IZTJSLO,O,X,O,X,O,O,X,X,X
IZTJSOL,O,X,X,X,O,O,X,X,X
IZTJOLS,O,O,O,X,X,X,O,X,X
IZTJOSL,O,X,X,X,X,X,X,X,X
IZTSLJO,O,X,O,X,O,O,X,X,X
IZTSLOJ,O,X,O,X,O,O,X,X,X
IZTSJLO,O,X,O,X,O,O,X,X,X
IZTSJOL,O,X,X,X,O,O,X,X,X
IZTSOLJ,X,X,X,X,O,O,X,X,X
IZTSOJL,O,X,X,X,O,O,X,X,X
IZTOLJS,O,O,O,X,X,X,O,X,X
IZTOLSJ,O,O,O,X,X,X,O,X,X
IZTOJLS,O,O,O,X,X,X,O,X,X
IZTOJSL,O,X,X,X,X,X,X,X,X
IZTOSLJ,O,X,X,X,X,X,X,X,X
IZTOSJL,O,X,X,X,X,X,X,X,X
IZLTJSO,O,X,O,X,O,X,X,X,X
IZLTJOS,O,O,O,X,X,X,O,X,X
IZLTSJO,O,X,O,X,X,X,X,X,X
IZLTSOJ,O,X,O,X,X,X,X,X,X
IZLTOJS,O,O,O,X,X,X,O,X,X
IZLTOSJ,O,O,O,X,X,X,O,X,X
IZLJTSO,O,X,O,X,O,X,X,X,X
IZLJTOS,O,O,O,X,X,X,O,X,X
IZLJSTO,X,X,O,X,O,X,X,X,X
IZLJSOT,X,O,O,X,X,X,O,X,X
IZLJOTS,O,O,O,X,X,X,O,X,X
IZLJOST,X,O,O,X,X,X,O,X,X
IZLSTJO,X,X,O,X,O,X,X,X,X
IZLSTOJ,X,X,O,X,O,X,X,X,X
IZLSJTO,X,X,O,X,O,X,X,X,X
IZLSJOT,X,O,O,X,X,X,O,X,X
IZLSOTJ,X,O,O,X,X,X,O,X,X
IZLSOJT,X,O,O,X,X,X,O,X,X
IZLOTJS,O,O,O,X,X,X,O,X,X
IZLOTSJ,O,O,O,X,X,X,O,X,X
IZLOJTS,O,O,O,X,X,X,O,X,X
IZLOJST,X,O,O,X,X,X,O,X,X
IZLOSTJ,X,O,O,X,X,X,O,X,X
IZLOSJT,X,O,O,X,X,X,O,X,X
IZJTLSO,O,X,O,X,O,X,X,X,X
IZJTLOS,O,O,O,X,X,X,O,X,X
IZJTSLO,O,X,O,X,O,O,X,X,X
IZJTSOL,O,X,X,X,O,O,X,X,X
IZJTOLS,O,O,O,X,X,X,O,X,X
IZJTOSL,O,X,X,X,X,X,X,X,X
IZJLTSO,O,X,O,X,O,X,X,X,X
IZJLTOS,O,O,O,X,X,X,O,X,X
IZJLSTO,X,X,O,X,O,X,X,X,X
IZJLSOT,X,O,O,X,X,X,O,X,X
IZJLOTS,O,O,O,X,X,X,O,X,X
IZJLOST,X,O,O,X,X,X,O,X,X
IZJSTLO,X,X,O,X,O,O,X,X,X
IZJSTOL,X,X,X,X,O,O,X,X,X
IZJSLTO,X,X,O,X,O,X,X,X,X
IZJSLOT,X,O,O,X,X,X,X,X,X
IZJSOTL,X,X,X,X,X,O,X,X,X
IZJSOLT,X,O,X,X,X,X,X,X,X
IZJOTLS,O,O,O,X,X,X,O,X,X
IZJOTSL,O,X,O,X,X,X,X,X,X
IZJOLTS,X,O,O,X,X,X,O,X,X
IZJOLST,X,O,O,X,X,X,O,X,X
IZJOSTL,X,X,O,X,X,O,X,O,X
IZJOSLT,X,O,O,X,X,X,X,X,X
IZSTLJO,X,X,O,X,O,O,X,X,X
IZSTLOJ,X,X,O,X,O,O,X,X,X
IZSTJLO,X,X,O,X,O,O,X,X,X
IZSTJOL,X,X,X,X,O,O,X,X,X
IZSTOLJ,X,X,X,X,O,O,X,X,X
IZSTOJL,X,X,X,X,O,O,X,X,X
IZSLTJO,X,X,O,X,O,X,X,X,X
IZSLTOJ,X,X,O,X,O,X,X,X,X
IZSLJTO,X,X,O,X,O,X,X,X,X
IZSLJOT,X,O,O,X,X,X,X,X,X
IZSLOTJ,X,O,O,X,X,X,X,X,X
IZSLOJT,X,O,O,X,X,X,X,X,X
IZSJTLO,X,X,O,X,O,O,X,X,X
IZSJTOL,X,X,X,X,O,O,X,X,X
IZSJLTO,X,X,O,X,O,X,X,X,X
IZSJLOT,X,O,O,X,X,X,X,X,X
IZSJOTL,X,X,X,X,X,O,X,X,X
IZSJOLT,X,O,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,X,X,O,X,X,X
IZSOTJL,X,X,X,X,X,O,X,X,X
IZSOLTJ,X,O,X,X,X,X,X,X,X
IZSOLJT,X,O,X,X,X,X,X,X,X
IZSOJTL,X,X,X,X,X,O,X,X,X
IZSOJLT,X,O,X,X,X,X,X,X,X
IZOTLJS,O,O,O,X,X,X,O,X,X
IZOTLSJ,O,O,O,X,X,X,O,X,X
IZOTJLS,O,O,O,X,X,X,O,X,X
IZOTJSL,O,X,O,X,X,X,X,X,X
IZOTSLJ,O,X,O,X,X,X,X,X,X
IZOTSJL,O,X,O,X,X,X,X,X,X
IZOLTJS,X,O,O,X,X,X,O,X,X
IZOLTSJ,X,O,O,X,X,X,O,X,X
IZOLJTS,X,O,O,X,X,X,O,X,X
IZOLJST,X,O,O,X,X,X,O,X,X
IZOLSTJ,X,O,O,X,X,X,O,X,X
IZOLSJT,X,O,O,X,X,X,O,X,X
IZOJTLS,O,O,O,X,X,X,O,X,X
IZOJTSL,O,X,O,X,X,X,X,X,X
IZOJLTS,X,O,O,X,X,X,O,X,X
IZOJLST,X,O,O,X,X,X,O,X,X
IZOJSTL,X,X,O,X,X,O,X,O,X
IZOJSLT,X,O,O,X,X,X,X,X,X
IZOSTLJ,X,X,O,X,X,O,X,O,X
IZOSTJL,X,X,O,X,X,O,X,O,X
IZOSLTJ,X,O,O,X,X,X,X,X,X
IZOSLJT,X,O,O,X,X,X,X,X,X
IZOSJTL,X,X,O,X,X,O,X,O,X
IZOSJLT,X,O,O,X,X,X,X,X,X
IOTLJSZ,O,O,O,X,X,X,O,X,X
IOTLJZS,O,O,O,X,X,X,O,X,X
IOTLSJZ,O,O,O,X,X,X,O,X,X
IOTLSZJ,O,X,O,X,X,X,O,X,X
IOTLZJS,O,O,O,X,X,X,O,X,X
IOTLZSJ,O,X,O,X,X,X,O,X,X
IOTJLSZ,O,O,O,X,X,X,O,X,X
IOTJLZS,O,O,O,X,X,X,O,X,X
IOTJSLZ,X,X,O,X,X,X,O,X,X
IOTJSZL,O,X,O,X,O,O,X,X,X
IOTJZLS,O,X,O,X,X,X,O,X,X
IOTJZSL,O,X,O,X,X,X,X,X,X
IOTSLJZ,X,X,O,X,X,X,O,X,X
IOTSLZJ,X,X,O,X,X,X,O,X,X
IOTSJLZ,X,X,O,X,X,X,O,X,X
IOTSJZL,O,X,O,X,O,O,X,X,X
IOTSZLJ,O,X,O,X,O,O,X,X,X
IOTSZJL,O,X,O,X,O,O,X,X,X
IOTZLJS,O,X,O,X,X,X,O,X,X
IOTZLSJ,O,X,O,X,X,X,O,X,X
IOTZJLS,O,X,O,X,X,X,O,X,X
IOTZJSL,O,X,O,X,X,X,X,X,X
IOTZSLJ,O,X,O,X,X,X,X,X,X
IOTZSJL,O,X,O,X,X,X,X,X,X
IOLTJSZ,O,O,O,X,X,X,O,X,X
IOLTJZS,O,O,O,X,X,X,O,X,X
IOLTSJZ,O,O,O,X,X,X,O,X,X
IOLTSZJ,O,X,O,X,X,X,O,X,X
IOLTZJS,O,O,O,X,X,X,O,X,X
IOLTZSJ,O,O,O,X,X,X,O,X,X
IOLJTSZ,O,O,O,X,X,X,O,X,X
IOLJTZS,O,O,O,X,X,X,O,X,X
IOLJSTZ,O,O,O,X,X,X,O,X,X
IOLJSZT,X,X,O,X,X,X,O,X,X
IOLJZTS,O,O,O,X,X,X,O,X,X
IOLJZST,X,O,O,X,X,X,O,X,X
IOLSTJZ,O,O,O,X,X,X,O,X,X
IOLSTZJ,O,X,O,X,X,X,O,X,X
IOLSJTZ,O,O,O,X,X,X,O,X,X
IOLSJZT,X,X,O,X,X,X,O,X,X
IOLSZTJ,X,X,O,X,X,X,O,X,X
IOLSZJT,X,X,O,X,X,X,O,X,X
IOLZTJS,O,O,O,X,X,X,O,X,X
IOLZTSJ,O,O,O,X,X,X,O,X,X
IOLZJTS,O,O,O,X,X,X,O,X,X
IOLZJST,X,O,O,X,X,X,O,X,X
IOLZSTJ,X,O,O,X,X,X,O,X,X
IOLZSJT,X,O,O,X,X,X,O,X,X
IOJTLSZ,O,O,O,X,X,X,O,X,X
IOJTLZS,O,O,O,X,X,X,O,X,X
IOJTSLZ,X,X,O,X,X,X,O,X,X
IOJTSZL,O,X,O,X,O,O,X,X,X
IOJTZLS,O,X,O,X,X,X,O,X,X
IOJTZSL,O,X,O,X,X,X,X,X,X
IOJLTSZ,O,O,O,X,X,X,O,X,X
IOJLTZS,O,O,O,X,X,X,O,X,X
IOJLSTZ,O,O,O,X,X,X,O,X,X
IOJLSZT,X,X,O,X,X,X,O,X,X
IOJLZTS,O,O,O,X,X,X,O,X,X
IOJLZST,X,O,O,X,X,X,O,X,X
IOJSTLZ,X,X,O,X,X,X,O,O,X
IOJSTZL,O,X,O,X,X,X,X,O,X
IOJSLTZ,X,O,O,X,X,X,O,X,X
IOJSLZT,X,X,O,X,X,X,O,X,X
IOJSZTL,X,X,O,X,X,X,X,O,X
IOJSZLT,X,X,O,X,X,X,X,X,X
IOJZTLS,O,O,O,X,X,X,O,X,X
IOJZTSL,O,X,O,X,X,X,X,X,X
IOJZLTS,X,O,O,X,X,X,O,X,X
IOJZLST,X,O,O,X,X,X,O,X,X
IOJZSTL,X,X,O,X,X,X,X,O,X
IOJZSLT,X,O,O,X,X,X,X,X,X
IOSTLJZ,X,X,O,X,X,X,O,O,X
IOSTLZJ,X,X,O,X,X,X,O,O,X
IOSTJLZ,X,X,O,X,X,X,O,O,X
IOSTJZL,O,X,O,X,X,X,X,O,X
IOSTZLJ,O,X,O,X,X,X,X,O,X
IOSTZJL,O,X,O,X,X,X,X,O,X
IOSLTJZ,X,O,O,X,X,X,O,X,X
IOSLTZJ,X,X,O,X,X,X,O,X,X
IOSLJTZ,X,O,O,X,X,X,O,X,X
IOSLJZT,X,X,O,X,X,X,O,X,X
IOSLZTJ,X,X,O,X,X,X,O,X,X
IOSLZJT,X,X,O,X,X,X,O,X,X
IOSJTLZ,X,X,O,X,X,X,O,O,X
IOSJTZL,O,X,O,X,X,X,X,O,X
IOSJLTZ,X,O,O,X,X,X,O,X,X
IOSJLZT,X,X,O,X,X,X,O,X,X
IOSJZTL,X,X,O,X,X,X,X,O,X
IOSJZLT,X,X,O,X,X,X,X,X,X
IOSZTLJ,X,X,O,X,X,X,X,O,X
IOSZTJL,X,X,O,X,X,X,X,O,X
IOSZLTJ,X,X,O,X,X,X,X,X,X
IOSZLJT,X,X,O,X,X,X,X,X,X
IOSZJTL,X,X,O,X,X,X,X,O,X
IOSZJLT,X,X,O,X,X,X,X,X,X
IOZTLJS,O,O,O,X,X,X,O,X,X
IOZTLSJ,O,O,O,X,X,X,O,X,X
IOZTJLS,O,O,O,X,X,X,O,X,X
IOZTJSL,O,X,O,X,X,X,X,X,X
IOZTSLJ,O,X,O,X,X,X,X,X,X
IOZTSJL,O,X,O,X,X,X,X,X,X
IOZLTJS,X,O,O,X,X,X,O,X,X
IOZLTSJ,X,O,O,X,X,X,O,X,X
IOZLJTS,X,O,O,X,X,X,O,X,X
IOZLJST,X,O,O,X,X,X,O,X,X
IOZLSTJ,X,O,O,X,X,X,O,X,X
IOZLSJT,X,O,O,X,X,X,O,X,X
IOZJTLS,O,O,O,X,X,X,O,X,X
IOZJTSL,O,X,O,X,X,X,X,X,X
IOZJLTS,X,O,O,X,X,X,O,X,X
IOZJLST,X,O,O,X,X,X,O,X,X
IOZJSTL,X,X,O,X,X,X,X,O,X
IOZJSLT,X,O,O,X,X,X,X,X,X
IOZSTLJ,X,X,O,X,X,X,X,O,X
IOZSTJL,X,X,O,X,X,X,X,O,X
IOZSLTJ,X,O,O,X,X,X,X,X,X
IOZSLJT,X,O,O,X,X,X,X,X,X
IOZSJTL,X,X,O,X,X,X,X,O,X
IOZSJLT,X,O,O,X,X,X,X,X,X
LTIJSZO,O,X,X,X,O,O,X,X,O
LTIJSOZ,O,O,X,O,X,X,O,X,O
LTIJZSO,O,X,X,X,X,X,X,X,O
LTIJZOS,O,O,X,X,X,X,O,X,O
LTIJOSZ,O,O,X,O,X,X,O,X,O
LTIJOZS,O,O,X,O,X,X,O,X,O
LTISJZO,O,X,X,X,O,O,X,X,O
LTISJOZ,O,O,X,O,X,X,O,X,O
LTISZJO,O,X,X,X,O,O,X,X,O
LTISZOJ,O,X,X,X,O,O,X,X,O
LTISOJZ,O,X,X,O,X,X,O,X,O
LTISOZJ,O,X,X,O,X,X,O,X,O
LTIZJSO,O,X,X,X,X,X,X,X,O
LTIZJOS,O,O,X,X,X,X,O,X,O
LTIZSJO,O,X,X,X,X,X,X,X,O
LTIZSOJ,O,X,X,X,X,X,X,X,O
LTIZOJS,O,O,X,X,X,X,O,X,O
LTIZOSJ,O,O,X,X,X,X,O,X,O
LTIOJSZ,O,O,X,O,X,X,O,X,O
LTIOJZS,O,O,X,O,X,X,O,X,O
LTIOSJZ,O,O,X,O,X,X,O,X,O
LTIOSZJ,O,X,X,O,X,X,O,X,O
LTIOZJS,O,O,X,O,X,X,O,X,O
LTIOZSJ,O,O,X,X,X,X,O,X,O
LTJISZO,O,X,X,X,O,O,X,X,O
LTJISOZ,O,O,X,O,X,X,O,X,O
LTJIZSO,O,X,X,X,X,X,X,X,O
LTJIZOS,O,O,X,X,X,X,O,X,O
LTJIOSZ,O,O,X,O,X,X,O,X,O
LTJIOZS,O,O,X,O,X,X,O,X,O
LTJSIZO,O,X,X,X,O,O,X,X,O
LTJSIOZ,O,O,X,O,X,X,O,X,O
LTJSZIO,O,X,X,X,O,O,X,X,X
LTJSZOI,O,X,X,O,O,O,X,X,X
LTJSOIZ,O,O,X,O,X,X,X,X,X
LTJSOZI,O,O,X,O,X,X,X,X,X
LTJZISO,O,X,X,X,O,X,X,X,O
LTJZIOS,O,O,X,X,X,X,O,X,O
LTJZSIO,O,X,X,X,O,X,X,X,X
LTJZSOI,O,X,X,O,O,X,X,X,X
LTJZOIS,O,O,X,O,X,X,X,X,X
LTJZOSI,O,O,X,O,O,X,X,X,X
LTJOISZ,O,O,X,O,X,X,O,X,O
LTJOIZS,O,O,X,O,X,X,O,X,O
LTJOSIZ,O,O,X,O,X,X,X,X,X
LTJOSZI,O,O,X,O,X,X,X,X,X
LTJOZIS,O,O,X,O,X,X,X,X,X
LTJOZSI,O,O,X,O,X,X,X,X,X
LTSIJZO,O,X,X,X,O,O,X,X,O
LTSIJOZ,O,O,X,O,X,X,O,X,O
LTSIZJO,O,X,X,X,O,O,X,X,O
LTSIZOJ,O,X,X,X,O,O,X,X,O
LTSIOJZ,O,X,X,O,X,X,O,X,O
LTSIOZJ,O,X,X,O,X,X,O,X,O
LTSJIZO,O,X,X,X,O,O,X,X,O
LTSJIOZ,O,O,X,O,X,X,O,X,O
LTSJZIO,O,X,X,X,O,O,X,X,X
LTSJZOI,O,X,X,O,O,O,X,X,X
LTSJOIZ,O,O,X,O,X,X,X,X,X
LTSJOZI,O,O,X,O,X,X,X,X,X
LTSZIJO,O,X,X,X,O,O,X,X,X
LTSZIOJ,O,X,X,X,O,O,X,X,X
LTSZJIO,O,X,X,X,O,O,X,X,X
LTSZJOI,O,X,X,O,O,O,X,X,X
LTSZOIJ,O,X,X,O,O,O,X,X,X
LTSZOJI,O,X,X,O,O,O,X,X,X
LTSOIJZ,O,O,X,O,X,X,X,X,X
LTSOIZJ,O,X,X,O,X,X,X,X,X
LTSOJIZ,O,O,X,O,X,X,X,X,X
LTSOJZI,O,O,X,O,X,X,X,X,X
LTSOZIJ,O,O,X,O,X,X,X,X,X
LTSOZJI,O,O,X,O,X,X,X,X,X
LTZIJSO,O,X,X,X,O,X,X,X,O
LTZIJOS,O,O,X,X,X,X,O,X,O
LTZISJO,O,X,X,X,X,X,X,X,O
LTZISOJ,O,X,X,X,X,X,X,X,O
LTZIOJS,O,O,X,X,X,X,O,X,O
LTZIOSJ,O,O,X,X,X,X,O,X,O
LTZJISO,O,X,X,X,O,X,X,X,O
LTZJIOS,O,O,X,X,X,X,O,X,O
LTZJSIO,O,X,X,X,O,X,X,X,X
LTZJSOI,O,X,X,O,O,X,X,X,X
LTZJOIS,O,O,X,O,X,X,X,X,X
LTZJOSI,O,O,X,O,O,X,X,X,X
LTZSIJO,O,X,X,X,X,X,X,X,X
LTZSIOJ,O,X,X,X,X,X,X,X,X
LTZSJIO,O,X,X,X,O,X,X,X,X
LTZSJOI,O,X,X,O,O,X,X,X,X
LTZSOIJ,O,X,X,O,X,X,X,X,X
LTZSOJI,O,X,X,O,X,X,X,X,X
LTZOIJS,O,O,X,O,X,X,X,X,X
LTZOISJ,O,O,X,X,X,X,X,X,X
