sequence,v115@OhA8IeC8AeA8AeG8JeZEJvhFUgBFhBOnBTjBfqBSwB,v115@OhA8IeC8AeA8AeG8JeZEJvhFukB3gBFiBTjB0mBiqB,v115@OhA8IeC8AeA8AeG8JeZEJvhFCgBXiBTjBmlB0mBFqB,v115@OhA8IeC8AeA8AeG8JeZEJvhFCgB0hBTjBmlBXnBFqB
TZOJSIL,X,O,O,O
TZOJSLI,X,O,O,O
TZOSILJ,X,O,O,X
TZOSIJL,X,O,O,X
TZOSLIJ,X,O,O,X
TZOSLJI,X,O,O,X
TZOSJIL,X,O,O,X
TZOSJLI,X,O,O,X
TOILJSZ,O,O,O,O
TOILJZS,O,O,O,O
TOILSJZ,O,O,O,O
TOILSZJ,O,O,O,X
TOILZJS,O,O,O,O
TOILZSJ,O,O,O,X
TOIJLSZ,O,O,O,O
TOIJLZS,O,O,O,O
TOIJSLZ,O,O,O,O
TOIJSZL,O,O,O,O
TOIJZLS,X,O,O,O
TOIJZSL,X,O,O,O
TOISLJZ,O,O,O,O
TOISLZJ,O,O,O,X
TOISJLZ,O,O,O,O
TOISJZL,O,O,O,O
TOISZLJ,O,O,O,X
TOISZJL,O,O,O,X
TOIZLJS,X,O,O,O
TOIZLSJ,X,O,O,X
TOIZJLS,X,O,O,O
TOIZJSL,X,O,O,O
TOIZSLJ,X,O,O,X
TOIZSJL,X,O,O,X
TOLIJSZ,O,O,O,O
TOLIJZS,O,O,O,O
TOLISJZ,O,O,O,O
TOLISZJ,O,O,O,X
TOLIZJS,O,O,O,O
TOLIZSJ,O,O,O,X
TOLJISZ,O,O,O,O
TOLJIZS,O,O,O,O
TOLJSIZ,O,O,O,O
TOLJSZI,O,O,O,O
TOLJZIS,O,O,O,O
TOLJZSI,O,O,O,O
TOLSIJZ,O,O,O,O
TOLSIZJ,O,O,O,X
TOLSJIZ,O,O,O,O
TOLSJZI,O,O,O,O
TOLSZIJ,O,O,O,X
TOLSZJI,O,O,O,X
TOLZIJS,O,O,O,O
TOLZISJ,O,O,O,X
TOLZJIS,O,O,O,O
TOLZJSI,O,O,O,O
TOLZSIJ,O,O,O,X
TOLZSJI,O,O,O,X
TOJILSZ,O,O,O,O
TOJILZS,O,O,O,O
TOJISLZ,O,O,O,O
TOJISZL,O,O,O,O
TOJIZLS,X,O,O,O
TOJIZSL,X,O,O,O
TOJLISZ,O,O,O,O
TOJLIZS,O,O,O,O
TOJLSIZ,O,O,O,O
TOJLSZI,O,O,O,O
TOJLZIS,O,O,O,O
TOJLZSI,O,O,O,O
TOJSILZ,O,O,O,O
TOJSIZL,O,O,O,O
TOJSLIZ,O,O,O,O
TOJSLZI,O,O,O,O
TOJSZIL,O,O,O,O
TOJSZLI,O,O,O,O
TOJZILS,X,O,O,O
TOJZISL,X,O,O,O
TOJZLIS,X,O,O,O
TOJZLSI,X,O,O,O
TOJZSIL,X,O,O,O
TOJZSLI,X,O,O,O
TOSILJZ,O,O,O,O
TOSILZJ,O,O,O,X
TOSIJLZ,O,O,O,O
TOSIJZL,O,O,O,O
TOSIZLJ,O,O,O,X
TOSIZJL,O,O,O,X
TOSLIJZ,O,O,O,O
TOSLIZJ,O,O,O,X
TOSLJIZ,O,O,O,O
TOSLJZI,O,O,O,O
TOSLZIJ,O,O,O,X
TOSLZJI,O,O,O,X
TOSJILZ,O,O,O,O
TOSJIZL,O,O,O,O
TOSJLIZ,O,O,O,O
TOSJLZI,O,O,O,O
TOSJZIL,O,O,O,O
TOSJZLI,O,O,O,O
TOSZILJ,O,O,O,X
TOSZIJL,O,O,O,X
TOSZLIJ,O,O,O,X
TOSZLJI,O,O,O,X
TOSZJIL,O,O,O,X
TOSZJLI,O,O,O,X
TOZILJS,X,O,O,O
TOZILSJ,X,O,O,X
TOZIJLS,X,O,O,O
TOZIJSL,X,O,O,O
TOZISLJ,X,O,O,X
TOZISJL,X,O,O,X
