sequence,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhFTgBGjBlmB3?nBimB0qB,v115@9gA8IeA8IeA8GeC8AeA8BeE8JezAJvhFRiBSoBVqBU?nBXrBupB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhF2lBXiBTjBS?sBFmB0qB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhFlgBUiBTjB/?qBOrBSxB,v115@9gA8IeA8IeA8GeC8AeA8BeE8JeCAJvhFGjB8pBRmB3?nBlmBzqB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhFUhBFiBTjBS?sBmqB/qB,v115@9gA8IeA8IeA8GeC8AeA8BeE8Je5EJvhF8mB+nBTjBy?qB/qBFrB,v115@9gA8IeA8IeA8GeC8AeA8BeE8JeUBJvhFRiBSoBXlBV?sBzqBupB
ISLTJZO,O,X,X,O,X,O,X,X
ISLTJOZ,X,X,X,O,X,O,X,X
ISLTZJO,O,O,O,X,X,X,X,X
ISLTZOJ,O,O,O,X,X,X,X,X
ISLTOJZ,X,X,X,O,X,O,X,X
ISLTOZJ,X,O,O,X,X,X,X,X
ISLJTZO,O,X,X,O,X,O,X,X
ISLJTOZ,X,X,X,O,X,O,X,X
ISLJZTO,O,X,O,O,O,O,O,X
ISLJZOT,O,X,O,O,O,O,O,X
ISLJOTZ,X,X,X,O,X,O,X,X
ISLJOZT,X,X,O,O,X,O,O,X
ISLZTJO,O,O,O,X,O,X,X,X
ISLZTOJ,O,O,O,X,X,X,X,X
ISLZJTO,O,O,O,X,O,X,O,X
ISLZJOT,O,O,O,X,O,X,O,X
ISLZOTJ,O,O,O,X,X,X,X,X
ISLZOJT,O,O,O,X,O,X,X,X
ISLOTJZ,X,X,X,O,X,O,X,X
ISLOTZJ,X,O,O,X,X,X,X,X
ISLOJTZ,X,X,X,O,X,O,X,X
ISLOJZT,X,X,O,O,X,O,O,X
ISLOZTJ,X,O,O,X,X,X,X,X
ISLOZJT,X,O,O,X,X,X,X,X
ISJTLZO,O,X,X,O,X,X,X,X
ISJTLOZ,X,X,X,O,X,X,X,X
ISJTZLO,O,X,X,O,O,X,X,X
ISJTZOL,O,X,X,O,X,X,X,X
ISJTOLZ,X,X,X,O,X,X,X,X
ISJTOZL,O,X,X,O,X,X,X,X
ISJLTZO,O,X,X,O,X,O,X,X
ISJLTOZ,X,X,X,O,X,O,X,X
ISJLZTO,O,X,X,O,O,O,O,X
ISJLZOT,O,X,X,O,O,O,O,X
ISJLOTZ,X,X,X,O,X,O,X,X
ISJLOZT,X,X,X,O,X,O,O,X
ISJZTLO,O,X,X,O,O,X,X,X
ISJZTOL,O,X,X,O,X,X,X,X
ISJZLTO,O,X,X,O,O,X,O,X
ISJZLOT,O,X,X,O,O,X,O,X
ISJZOTL,O,X,X,O,O,X,X,X
ISJZOLT,O,X,X,O,O,X,O,X
ISJOTLZ,X,X,X,O,X,X,X,X
ISJOTZL,O,X,X,O,O,X,X,X
ISJOLTZ,X,X,X,O,X,O,X,X
ISJOLZT,X,X,X,O,O,O,O,X
ISJOZTL,O,X,X,O,O,X,X,X
ISJOZLT,O,X,X,O,O,X,O,X
ISZTLJO,O,O,X,X,O,X,X,X
ISZTLOJ,O,O,X,X,X,X,X,X
ISZTJLO,O,O,X,O,O,X,X,X
ISZTJOL,O,O,X,O,X,X,X,X
ISZTOLJ,O,O,X,X,X,X,X,X
ISZTOJL,O,O,X,O,X,X,X,X
ISZLTJO,O,O,O,X,O,X,X,X
ISZLTOJ,O,O,O,X,X,X,X,X
ISZLJTO,O,O,O,X,O,X,O,X
ISZLJOT,O,O,O,X,O,X,O,X
ISZLOTJ,O,O,O,X,O,X,X,X
ISZLOJT,O,O,O,X,O,X,X,X
ISZJTLO,O,O,X,O,O,X,X,X
ISZJTOL,O,O,X,O,X,X,X,X
ISZJLTO,O,O,O,O,O,X,O,X
ISZJLOT,O,O,O,O,O,X,O,X
ISZJOTL,O,O,X,O,O,X,X,X
ISZJOLT,O,O,O,O,O,X,O,X
ISZOTLJ,O,O,X,X,O,X,X,X
ISZOTJL,O,O,X,O,O,X,X,X
ISZOLTJ,O,O,O,X,O,X,X,X
ISZOLJT,O,O,O,X,O,X,X,X
ISZOJTL,O,O,X,O,O,X,X,X
ISZOJLT,O,O,O,O,O,X,X,X
ISOTLJZ,X,X,X,O,X,X,X,X
ISOTLZJ,X,O,X,X,X,X,X,X
ISOTJLZ,X,X,X,O,X,X,X,X
ISOTJZL,O,X,X,O,O,X,X,X
ISOTZLJ,O,O,X,X,O,X,X,X
ISOTZJL,O,O,X,O,O,X,X,X
ISOLTJZ,X,X,X,O,X,O,X,X
ISOLTZJ,X,O,O,X,X,X,X,X
ISOLJTZ,X,X,X,O,X,O,X,X
ISOLJZT,X,X,O,O,O,O,O,X
ISOLZTJ,X,O,O,X,O,X,X,X
ISOLZJT,X,O,O,X,O,X,X,X
ISOJTLZ,X,X,X,O,X,X,X,X
ISOJTZL,O,X,X,O,O,X,X,X
ISOJLTZ,X,X,X,O,X,O,X,X
ISOJLZT,X,X,X,O,O,O,O,X
ISOJZTL,O,X,X,O,O,X,X,X
ISOJZLT,O,X,X,O,O,X,O,X
ISOZTLJ,O,O,X,X,O,X,X,X
ISOZTJL,O,O,X,O,O,X,X,X
ISOZLTJ,O,O,O,X,O,X,X,X
ISOZLJT,O,O,O,X,O,X,X,X
ISOZJTL,O,O,X,O,O,X,X,X
ISOZJLT,O,O,O,O,O,X,X,X
IZTLJSO,X,O,O,X,X,X,O,X
IZTLJOS,X,X,O,X,X,X,O,X
IZTLSJO,O,O,O,X,X,X,X,X
IZTLSOJ,O,O,O,X,X,X,X,X
IZTLOJS,X,X,O,X,X,X,X,X
IZTLOSJ,O,O,O,X,X,X,X,X
IZTJLSO,X,O,O,X,X,X,O,X
IZTJLOS,X,X,O,X,X,X,O,X
IZTJSLO,O,O,X,X,X,X,X,X
IZTJSOL,O,O,X,X,X,X,X,X
IZTJOLS,X,X,O,X,X,X,O,X
IZTJOSL,O,X,X,X,X,X,X,X
IZTSLJO,O,O,X,X,X,X,X,X
IZTSLOJ,O,O,X,X,X,X,X,X
IZTSJLO,O,O,X,X,X,X,X,X
IZTSJOL,O,O,X,X,X,X,X,X
IZTSOLJ,O,O,X,X,X,X,X,X
IZTSOJL,O,O,X,X,X,X,X,X
IZTOLJS,X,X,O,X,X,X,X,X
IZTOLSJ,O,O,O,X,X,X,X,X
IZTOJLS,X,X,O,X,X,X,X,X
IZTOJSL,O,X,X,X,X,X,X,X
IZTOSLJ,O,O,X,X,X,X,X,X
IZTOSJL,O,O,X,X,X,X,X,X
IZLTJSO,X,O,O,X,X,O,O,X
IZLTJOS,X,X,O,X,X,O,O,X
IZLTSJO,O,O,O,X,X,X,X,X
IZLTSOJ,O,O,O,X,X,X,X,X
IZLTOJS,X,X,O,X,X,O,X,X
IZLTOSJ,O,O,O,X,X,X,X,X
IZLJTSO,X,O,O,X,X,O,O,X
IZLJTOS,X,X,O,X,X,O,O,X
IZLJSTO,O,O,O,X,O,O,O,X
IZLJSOT,O,O,O,X,O,O,O,X
IZLJOTS,X,X,O,X,X,O,O,X
IZLJOST,O,X,O,X,O,O,O,X
IZLSTJO,O,O,O,X,O,X,X,X
IZLSTOJ,O,O,O,X,X,X,X,X
IZLSJTO,O,O,O,X,O,X,O,X
IZLSJOT,O,O,O,X,O,X,O,X
IZLSOTJ,O,O,O,X,O,X,X,X
IZLSOJT,O,O,O,X,O,X,X,X
IZLOTJS,X,X,O,X,X,O,X,X
IZLOTSJ,O,O,O,X,O,X,X,X
IZLOJTS,X,X,O,X,X,O,O,X
IZLOJST,O,X,O,X,O,O,O,X
IZLOSTJ,O,O,O,X,O,X,X,X
IZLOSJT,O,O,O,X,O,X,X,X
IZJTLSO,X,O,O,X,X,X,O,X
IZJTLOS,X,X,O,X,X,X,O,X
IZJTSLO,O,O,X,O,X,X,X,X
IZJTSOL,O,O,X,O,X,X,X,X
IZJTOLS,X,X,O,X,X,X,O,X
IZJTOSL,O,X,X,O,X,X,X,X
IZJLTSO,X,O,O,X,X,O,O,X
IZJLTOS,X,X,O,X,X,O,O,X
IZJLSTO,O,O,O,O,O,O,O,X
IZJLSOT,O,O,O,O,O,O,O,X
IZJLOTS,X,X,O,X,X,O,O,X
IZJLOST,O,X,O,O,O,O,O,X
IZJSTLO,O,O,X,O,O,X,X,X
IZJSTOL,O,O,X,O,X,X,X,X
IZJSLTO,O,O,O,O,O,X,O,X
IZJSLOT,O,O,O,O,O,X,O,X
IZJSOTL,O,O,X,O,O,X,X,X
IZJSOLT,O,O,O,O,O,X,O,X
IZJOTLS,X,X,O,X,X,X,O,X
IZJOTSL,O,X,X,O,X,X,X,X
IZJOLTS,X,X,O,X,X,O,O,X
IZJOLST,O,X,O,O,O,O,O,X
IZJOSTL,O,X,X,O,O,X,X,X
IZJOSLT,O,X,O,O,O,X,O,X
IZSTLJO,O,O,X,X,O,X,X,X
IZSTLOJ,O,O,X,X,X,X,X,X
IZSTJLO,O,O,X,O,O,X,X,X
IZSTJOL,O,O,X,O,X,X,X,X
IZSTOLJ,O,O,X,X,X,X,X,X
IZSTOJL,O,O,X,O,X,X,X,X
IZSLTJO,O,O,O,X,O,X,X,X
IZSLTOJ,O,O,O,X,X,X,X,X
IZSLJTO,O,O,O,X,O,X,O,X
IZSLJOT,O,O,O,X,O,X,O,X
IZSLOTJ,O,O,O,X,O,X,X,X
IZSLOJT,O,O,O,X,O,X,X,X
IZSJTLO,O,O,X,O,O,X,X,X
IZSJTOL,O,O,X,O,X,X,X,X
IZSJLTO,O,O,O,O,O,X,O,X
IZSJLOT,O,O,O,O,O,X,O,X
IZSJOTL,O,O,X,O,O,X,X,X
IZSJOLT,O,O,O,O,O,X,O,X
IZSOTLJ,O,O,X,X,O,X,X,X
IZSOTJL,O,O,X,O,O,X,X,X
IZSOLTJ,O,O,O,X,O,X,X,X
IZSOLJT,O,O,O,X,O,X,X,X
IZSOJTL,O,O,X,O,O,X,X,X
IZSOJLT,O,O,O,O,O,X,X,X
IZOTLJS,X,X,O,X,X,X,X,X
IZOTLSJ,O,O,O,X,O,X,X,X
IZOTJLS,X,X,O,X,X,X,X,X
IZOTJSL,O,X,X,X,X,X,X,X
IZOTSLJ,O,O,X,X,O,X,X,X
IZOTSJL,O,O,X,X,O,X,X,X
IZOLTJS,X,X,O,X,X,O,X,X
IZOLTSJ,O,O,O,X,O,X,X,X
IZOLJTS,X,X,O,X,X,O,O,X
IZOLJST,O,X,O,X,O,O,O,X
IZOLSTJ,O,O,O,X,O,X,X,X
IZOLSJT,O,O,O,X,O,X,X,X
IZOJTLS,X,X,O,X,X,X,O,X
IZOJTSL,O,X,X,O,X,X,X,X
IZOJLTS,X,X,O,X,X,O,O,X
IZOJLST,O,X,O,O,O,O,O,X
IZOJSTL,O,X,X,O,O,X,X,X
IZOJSLT,O,X,O,O,O,X,O,X
IZOSTLJ,O,O,X,X,O,X,X,X
IZOSTJL,O,O,X,O,O,X,X,X
IZOSLTJ,O,O,O,X,O,X,X,X
IZOSLJT,O,O,O,X,O,X,X,X
IZOSJTL,O,O,X,O,O,X,X,X
IZOSJLT,O,O,O,O,O,X,X,X
IOTLJSZ,X,X,X,X,X,O,X,O
IOTLJZS,X,X,X,X,X,O,O,O
IOTLSJZ,X,X,X,X,X,O,X,O
IOTLSZJ,X,X,O,X,X,X,X,O
IOTLZJS,X,X,O,X,X,O,X,O
IOTLZSJ,X,X,O,X,X,X,X,O
IOTJLSZ,X,X,X,X,X,O,X,O
IOTJLZS,X,X,X,X,X,O,O,O
IOTJSLZ,X,X,X,O,X,X,X,O
IOTJSZL,X,X,X,O,X,X,X,O
IOTJZLS,X,X,X,X,X,X,O,O
IOTJZSL,X,X,X,O,X,X,X,O
IOTSLJZ,X,X,X,O,X,X,X,O
IOTSLZJ,X,X,X,X,X,X,X,O
IOTSJLZ,X,X,X,O,X,X,X,O
IOTSJZL,O,X,X,O,O,X,X,O
IOTSZLJ,O,X,X,X,O,X,X,O
IOTSZJL,O,X,X,O,O,X,X,O
IOTZLJS,X,X,O,X,X,X,X,O
IOTZLSJ,O,X,O,X,O,X,X,O
IOTZJLS,X,X,O,X,X,X,X,O
IOTZJSL,O,X,X,X,X,X,X,O
IOTZSLJ,O,X,X,X,O,X,X,O
IOTZSJL,O,X,X,X,O,X,X,O
IOLTJSZ,X,X,X,X,X,O,X,X
IOLTJZS,X,X,X,X,X,O,O,X
IOLTSJZ,X,X,X,X,X,O,X,X
IOLTSZJ,X,X,O,X,X,X,X,X
IOLTZJS,X,X,O,X,X,O,X,X
IOLTZSJ,X,X,O,X,X,X,X,X
IOLJTSZ,X,X,X,X,X,O,X,X
IOLJTZS,X,X,X,X,X,O,O,X
IOLJSTZ,X,X,X,O,X,O,X,X
IOLJSZT,X,X,O,O,X,O,O,X
IOLJZTS,X,X,O,X,X,O,O,X
IOLJZST,X,X,O,O,X,O,O,X
IOLSTJZ,X,X,X,O,X,O,X,X
IOLSTZJ,X,X,O,X,X,X,X,X
IOLSJTZ,X,X,X,O,X,O,X,X
IOLSJZT,X,X,O,O,O,O,O,X
IOLSZTJ,X,X,O,X,O,X,X,X
IOLSZJT,X,X,O,X,O,X,X,X
IOLZTJS,X,X,O,X,X,O,X,X
IOLZTSJ,X,X,O,X,O,X,X,X
IOLZJTS,X,X,O,X,X,O,O,X
IOLZJST,X,X,O,X,O,O,O,X
IOLZSTJ,X,X,O,X,O,X,X,X
IOLZSJT,X,X,O,X,O,X,X,X
IOJTLSZ,X,X,X,X,X,O,X,X
IOJTLZS,X,X,X,X,X,O,O,X
IOJTSLZ,X,X,X,O,X,X,X,X
IOJTSZL,X,X,X,O,X,X,X,X
IOJTZLS,X,X,X,X,X,X,O,X
IOJTZSL,X,X,X,O,X,X,X,X
IOJLTSZ,X,X,X,X,X,O,X,X
IOJLTZS,X,X,X,X,X,O,O,X
IOJLSTZ,X,X,X,O,X,O,X,X
IOJLSZT,X,X,O,O,X,O,O,X
IOJLZTS,X,X,O,X,X,O,O,X
IOJLZST,X,X,O,O,X,O,O,X
IOJSTLZ,X,X,X,O,X,X,X,X
IOJSTZL,O,X,X,O,O,X,X,X
IOJSLTZ,X,X,X,O,X,O,X,X
IOJSLZT,X,X,X,O,O,O,O,X
IOJSZTL,O,X,X,O,O,X,X,X
IOJSZLT,O,X,X,O,O,X,O,X
IOJZTLS,X,X,O,X,X,X,O,X
IOJZTSL,O,X,X,O,X,X,X,X
IOJZLTS,X,X,O,X,X,O,O,X
IOJZLST,O,X,O,O,O,O,O,X
IOJZSTL,O,X,X,O,O,X,X,X
IOJZSLT,O,X,O,O,O,X,O,X
IOSTLJZ,X,X,X,O,X,X,X,O
IOSTLZJ,X,X,X,X,X,X,X,O
IOSTJLZ,X,X,X,O,X,X,X,O
IOSTJZL,O,X,X,O,O,X,X,O
IOSTZLJ,O,X,X,X,O,X,X,O
IOSTZJL,O,X,X,O,O,X,X,O
IOSLTJZ,X,X,X,O,X,O,X,X
IOSLTZJ,X,X,O,X,X,X,X,X
IOSLJTZ,X,X,X,O,X,O,X,X
IOSLJZT,X,X,O,O,O,O,O,X
IOSLZTJ,X,X,O,X,O,X,X,X
IOSLZJT,X,X,O,X,O,X,X,X
IOSJTLZ,X,X,X,O,X,X,X,X
IOSJTZL,O,X,X,O,O,X,X,X
IOSJLTZ,X,X,X,O,X,O,X,X
IOSJLZT,X,X,X,O,O,O,O,X
IOSJZTL,O,X,X,O,O,X,X,X
IOSJZLT,O,X,X,O,O,X,O,X
IOSZTLJ,O,X,X,X,O,X,X,X
IOSZTJL,O,X,X,O,O,X,X,X
IOSZLTJ,O,X,O,X,O,X,X,X
IOSZLJT,O,X,O,X,O,X,X,X
IOSZJTL,O,X,X,O,O,X,X,X
IOSZJLT,O,X,O,O,O,X,X,X
IOZTLJS,X,X,O,X,X,X,X,X
IOZTLSJ,O,X,O,X,O,X,X,X
IOZTJLS,X,X,O,X,X,X,X,X
IOZTJSL,O,X,X,X,X,X,X,X
IOZTSLJ,O,X,X,X,O,X,X,X
IOZTSJL,O,X,X,X,O,X,X,X
IOZLTJS,X,X,O,X,X,O,X,X
IOZLTSJ,O,X,O,X,O,X,X,X
IOZLJTS,X,X,O,X,X,O,O,X
IOZLJST,O,X,O,X,O,O,O,X
IOZLSTJ,O,X,O,X,O,X,X,X
IOZLSJT,O,X,O,X,O,X,X,X
IOZJTLS,X,X,O,X,X,X,O,X
IOZJTSL,O,X,X,O,X,X,X,X
IOZJLTS,X,X,O,X,X,O,O,X
IOZJLST,O,X,O,O,O,O,O,X
IOZJSTL,O,X,X,O,O,X,X,X
IOZJSLT,O,X,O,O,O,X,O,X
IOZSTLJ,O,X,X,X,O,X,X,X
IOZSTJL,O,X,X,O,O,X,X,X
IOZSLTJ,O,X,O,X,O,X,X,X
IOZSLJT,O,X,O,X,O,X,X,X
IOZSJTL,O,X,X,O,O,X,X,X
IOZSJLT,O,X,O,O,O,X,X,X
LTIJSZO,X,X,X,X,X,O,X,X
LTIJSOZ,X,X,X,X,X,O,X,X
LTIJZSO,X,O,X,X,X,O,O,X
LTIJZOS,X,X,X,X,X,O,O,X
LTIJOSZ,X,X,X,X,X,O,X,O
LTIJOZS,X,X,X,X,X,O,O,O
LTISJZO,O,X,X,X,X,O,X,X
LTISJOZ,X,X,X,X,X,O,X,X
LTISZJO,O,O,O,X,X,X,X,X
LTISZOJ,O,O,O,X,X,X,X,X
LTISOJZ,X,X,X,X,X,O,X,O
LTISOZJ,X,O,O,X,X,X,X,O
LTIZJSO,X,O,O,X,X,O,O,X
LTIZJOS,X,X,O,X,X,O,O,X
LTIZSJO,O,O,O,X,X,X,X,X
LTIZSOJ,O,O,O,X,X,X,X,X
LTIZOJS,X,X,O,X,X,O,X,O
LTIZOSJ,O,O,O,X,X,X,X,O
LTIOJSZ,X,X,X,X,X,O,X,O
LTIOJZS,X,X,X,X,X,O,O,O
LTIOSJZ,X,X,X,X,X,O,X,O
LTIOSZJ,X,X,O,X,X,X,X,O
LTIOZJS,X,X,O,X,X,O,X,O
LTIOZSJ,X,O,O,X,X,X,X,O
LTJISZO,X,X,X,X,X,O,X,X
LTJISOZ,X,X,X,X,X,O,X,X
LTJIZSO,X,O,X,X,X,O,O,X
LTJIZOS,X,X,X,X,X,O,O,X
LTJIOSZ,X,X,X,X,X,O,X,O
LTJIOZS,X,X,X,X,X,O,O,O
LTJSIZO,X,X,X,X,X,O,X,X
LTJSIOZ,X,X,X,X,X,O,X,X
LTJSZIO,X,O,X,X,X,X,X,X
LTJSZOI,X,O,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,O,X,X
LTJSOZI,X,O,X,X,X,X,X,X
LTJZISO,X,O,X,X,X,O,O,X
LTJZIOS,X,X,X,X,X,O,O,X
LTJZSIO,X,O,X,X,X,X,X,X
LTJZSOI,X,O,X,X,X,X,X,X
LTJZOIS,X,X,X,X,X,O,O,X
LTJZOSI,X,X,X,X,X,X,X,X
LTJOISZ,X,X,X,X,X,O,X,O
LTJOIZS,X,X,X,X,X,O,O,O
LTJOSIZ,X,X,X,X,X,O,X,O
LTJOSZI,X,X,X,X,X,X,X,O
LTJOZIS,X,X,X,X,X,O,O,O
LTJOZSI,X,X,X,X,X,X,X,O
LTSIJZO,O,X,X,X,X,O,X,X
LTSIJOZ,X,X,X,X,X,O,X,X
LTSIZJO,O,O,O,X,X,X,X,X
LTSIZOJ,O,O,O,X,X,X,X,X
LTSIOJZ,X,X,X,X,X,O,X,O
LTSIOZJ,X,O,O,X,X,X,X,O
LTSJIZO,O,X,X,X,X,O,X,X
LTSJIOZ,X,X,X,X,X,O,X,X
LTSJZIO,O,O,X,X,X,X,X,X
LTSJZOI,O,O,X,X,X,X,X,X
LTSJOIZ,X,X,X,X,X,O,X,X
LTSJOZI,X,O,X,X,X,X,X,X
LTSZIJO,O,O,O,X,X,X,X,X
LTSZIOJ,O,O,O,X,X,X,X,X
LTSZJIO,O,O,O,X,X,X,X,X
LTSZJOI,O,O,O,X,X,X,X,X
LTSZOIJ,O,O,O,X,X,X,X,X
LTSZOJI,O,O,O,X,X,X,X,X
LTSOIJZ,X,X,X,X,X,O,X,O
LTSOIZJ,X,O,O,X,X,X,X,O
LTSOJIZ,X,X,X,X,X,O,X,O
LTSOJZI,X,O,X,X,X,X,X,O
LTSOZIJ,X,O,O,X,X,X,X,O
LTSOZJI,X,O,O,X,X,X,X,O
LTZIJSO,X,O,O,X,X,O,O,X
LTZIJOS,X,X,O,X,X,O,O,X
LTZISJO,O,O,O,X,X,X,X,X
LTZISOJ,O,O,O,X,X,X,X,X
LTZIOJS,X,X,O,X,X,O,X,O
LTZIOSJ,O,O,O,X,X,X,X,O
LTZJISO,X,O,O,X,X,O,O,X
LTZJIOS,X,X,O,X,X,O,O,X
LTZJSIO,X,O,O,X,X,X,X,X
LTZJSOI,X,O,O,X,X,X,X,X
LTZJOIS,X,X,O,X,X,O,O,X
LTZJOSI,X,X,O,X,X,X,X,X
LTZSIJO,O,O,O,X,X,X,X,X
LTZSIOJ,O,O,O,X,X,X,X,X
LTZSJIO,O,O,O,X,X,X,X,X
LTZSJOI,O,O,O,X,X,X,X,X
LTZSOIJ,O,O,O,X,X,X,X,X
LTZSOJI,O,O,O,X,X,X,X,X
LTZOIJS,X,X,O,X,X,O,X,O
LTZOISJ,O,O,O,X,X,X,X,O
LTZOJIS,X,X,O,X,X,O,X,O
LTZOJSI,X,X,O,X,X,X,X,O
LTZOSIJ,O,O,O,X,X,X,X,O
LTZOSJI,O,O,O,X,X,X,X,O
LTOIJSZ,X,X,X,X,X,O,X,O
LTOIJZS,X,X,X,X,X,O,O,O
LTOISJZ,X,X,X,X,X,O,X,O
LTOISZJ,X,X,O,X,X,X,X,O
LTOIZJS,X,X,O,X,X,O,X,O
LTOIZSJ,X,O,O,X,X,X,X,O
LTOJISZ,X,X,X,X,X,O,X,O
LTOJIZS,X,X,X,X,X,O,O,O
LTOJSIZ,X,X,X,X,X,O,X,O
LTOJSZI,X,X,X,X,X,X,X,O
LTOJZIS,X,X,X,X,X,O,O,O
LTOJZSI,X,X,X,X,X,X,X,O
LTOSIJZ,X,X,X,X,X,O,X,O
LTOSIZJ,X,O,O,X,X,X,X,O
LTOSJIZ,X,X,X,X,X,O,X,O
LTOSJZI,X,O,X,X,X,X,X,O
LTOSZIJ,X,O,O,X,X,X,X,O
LTOSZJI,X,O,O,X,X,X,X,O
LTOZIJS,X,X,O,X,X,O,X,O
LTOZISJ,X,O,O,X,X,X,X,O
LTOZJIS,X,X,O,X,X,O,X,O
LTOZJSI,X,X,O,X,X,X,X,O
LTOZSIJ,X,O,O,X,X,X,X,O
LTOZSJI,X,O,O,X,X,X,X,O
LITJSZO,X,X,X,X,X,O,X,X
LITJSOZ,X,X,X,X,X,O,X,X
LITJZSO,X,O,X,X,X,O,O,X
LITJZOS,X,X,X,X,X,O,O,X
LITJOSZ,X,X,X,X,X,O,X,O
LITJOZS,X,X,X,X,X,O,O,O
LITSJZO,O,X,X,X,X,O,X,X
LITSJOZ,X,X,X,X,X,O,X,X
LITSZJO,O,O,O,X,X,X,X,X
LITSZOJ,O,O,O,X,X,X,X,X
LITSOJZ,X,X,X,X,X,O,X,O
LITSOZJ,X,O,O,X,X,X,X,O
LITZJSO,X,O,O,X,X,O,O,X
LITZJOS,X,X,O,X,X,O,O,X
LITZSJO,O,O,O,X,X,X,X,X
LITZSOJ,O,O,O,X,X,X,X,X
LITZOJS,X,X,O,X,X,O,X,O
LITZOSJ,O,O,O,X,X,X,X,O
LITOJSZ,X,X,X,X,X,O,X,O
LITOJZS,X,X,X,X,X,O,O,O
LITOSJZ,X,X,X,X,X,O,X,O
LITOSZJ,X,X,O,X,X,X,X,O
LITOZJS,X,X,O,X,X,O,X,O
LITOZSJ,X,O,O,X,X,X,X,O
LIJTSZO,X,X,X,X,X,O,X,X
LIJTSOZ,X,X,X,X,X,O,X,X
LIJTZSO,X,O,X,X,X,O,O,X
LIJTZOS,X,X,X,X,X,O,O,X
LIJTOSZ,X,X,X,X,X,O,X,O
LIJTOZS,X,X,X,X,X,O,O,O
LIJSTZO,O,X,X,O,X,O,X,X
LIJSTOZ,X,X,X,O,X,O,X,X
LIJSZTO,O,X,O,O,X,O,O,X
LIJSZOT,O,X,O,O,X,O,O,X
LIJSOTZ,X,X,X,O,X,O,X,X
LIJSOZT,X,X,O,O,X,O,O,X
LIJZTSO,X,O,O,X,X,O,O,X
LIJZTOS,X,X,O,X,X,O,O,X
LIJZSTO,O,O,O,O,X,O,O,X
LIJZSOT,O,O,O,O,X,O,O,X
LIJZOTS,X,X,O,X,X,O,O,X
LIJZOST,O,X,O,O,X,O,O,X
LIJOTSZ,X,X,X,X,X,O,X,X
LIJOTZS,X,X,X,X,X,O,O,X
LIJOSTZ,X,X,X,O,X,O,X,X
LIJOSZT,X,X,O,O,X,O,O,X
LIJOZTS,X,X,O,X,X,O,O,X
LIJOZST,X,X,O,O,X,O,O,X
LISTJZO,O,X,X,O,X,O,X,X
LISTJOZ,X,X,X,O,X,O,X,X
LISTZJO,O,O,O,X,X,X,X,X
LISTZOJ,O,O,O,X,X,X,X,X
LISTOJZ,X,X,X,O,X,O,X,O
LISTOZJ,X,O,O,X,X,X,X,O
LISJTZO,O,X,X,O,X,O,X,X
LISJTOZ,X,X,X,O,X,O,X,X
LISJZTO,O,X,O,O,X,O,O,X
LISJZOT,O,X,O,O,X,O,O,X
LISJOTZ,X,X,X,O,X,O,X,X
LISJOZT,X,X,O,O,X,O,O,X
LISZTJO,O,O,O,X,X,X,X,X
LISZTOJ,O,O,O,X,X,X,X,X
LISZJTO,O,O,O,X,X,X,O,X
LISZJOT,O,O,O,X,X,X,O,X
LISZOTJ,O,O,O,X,X,X,X,X
LISZOJT,O,O,O,X,X,X,X,X
LISOTJZ,X,X,X,O,X,O,X,X
LISOTZJ,X,O,O,X,X,X,X,X
LISOJTZ,X,X,X,O,X,O,X,X
LISOJZT,X,X,O,O,X,O,O,X
LISOZTJ,X,O,O,X,X,X,X,X
LISOZJT,X,O,O,X,X,X,X,X
LIZTJSO,X,O,O,X,X,O,O,X
LIZTJOS,X,X,O,X,X,O,O,X
LIZTSJO,O,O,O,X,X,X,X,X
LIZTSOJ,O,O,O,X,X,X,X,X
LIZTOJS,X,X,O,X,X,O,X,O
LIZTOSJ,O,O,O,X,X,X,X,O
LIZJTSO,X,O,O,X,X,O,O,X
LIZJTOS,X,X,O,X,X,O,O,X
LIZJSTO,O,O,O,X,X,O,O,X
LIZJSOT,O,O,O,X,X,O,O,X
LIZJOTS,X,X,O,X,X,O,O,X
LIZJOST,O,X,O,X,X,O,O,X
LIZSTJO,O,O,O,X,X,X,X,X
LIZSTOJ,O,O,O,X,X,X,X,X
LIZSJTO,O,O,O,X,X,X,O,X
LIZSJOT,O,O,O,X,X,X,O,X
LIZSOTJ,O,O,O,X,X,X,X,X
LIZSOJT,O,O,O,X,X,X,X,X
LIZOTJS,X,X,O,X,X,O,X,X
LIZOTSJ,O,O,O,X,X,X,X,X
LIZOJTS,X,X,O,X,X,O,O,X
LIZOJST,O,X,O,X,X,O,O,X
LIZOSTJ,O,O,O,X,X,X,X,X
LIZOSJT,O,O,O,X,X,X,X,X
LIOTJSZ,X,X,X,X,X,O,X,O
LIOTJZS,X,X,X,X,X,O,O,O
LIOTSJZ,X,X,X,X,X,O,X,O
LIOTSZJ,X,X,O,X,X,X,X,O
LIOTZJS,X,X,O,X,X,O,X,O
LIOTZSJ,X,O,O,X,X,X,X,O
LIOJTSZ,X,X,X,X,X,O,X,X
LIOJTZS,X,X,X,X,X,O,O,X
