sequence,v115@9gA8IeA8IeA8CeB8DeA8BeF8KeCAJvhF0hB5oBllB3?nBmnBzpB,v115@9gA8IeA8IeA8CeB8DeA8BeF8KeuEJvhF1lB0hB5oBz?nBinBXqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8KelBJvhFcnBTjBRlBC?lBXqBGtB,v115@9gA8IeA8IeA8CeB8DeA8BeF8Ke0AJvhFlhBziB5oB2?sBCqBfqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8KeRAJvhF3hBcnBTjBC?qBGtBFqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8Ke0BJvhF5oBupB3lBz?nBinBFqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8Ke0AJvhFxhBTjBFnBC?qBGtBfqB,v115@9gA8IeA8IeA8CeB8DeA8BeF8KeRAJvhF3hBupBcqBT?nB6tBFtB
ISLTJZO,O,O,X,O,X,X,X,X
ISLTJOZ,X,O,X,O,X,X,X,X
ISLTZJO,O,O,O,X,O,X,X,X
ISLTZOJ,O,O,X,X,X,X,X,X
ISLTOJZ,X,O,X,X,X,X,X,X
ISLTOZJ,O,O,X,X,X,X,X,X
ISLJTZO,X,O,X,O,X,X,X,X
ISLJTOZ,X,O,X,O,X,X,X,X
ISLJZTO,X,X,O,O,O,X,X,X
ISLJZOT,X,X,O,O,O,O,X,X
ISLJOTZ,X,O,X,O,X,X,X,X
ISLJOZT,X,X,O,O,X,O,X,X
ISLZTJO,O,O,O,X,O,X,X,X
ISLZTOJ,O,O,X,X,X,X,X,X
ISLZJTO,X,X,O,X,O,X,X,X
ISLZJOT,X,X,O,X,O,O,X,X
ISLZOTJ,O,O,X,X,X,X,X,X
ISLZOJT,X,X,X,X,O,O,X,X
ISLOTJZ,O,O,X,X,X,X,X,X
ISLOTZJ,O,O,X,X,X,X,X,X
ISLOJTZ,X,O,X,X,X,X,X,X
ISLOJZT,X,X,X,X,X,O,X,X
ISLOZTJ,O,O,X,X,X,X,X,X
ISLOZJT,X,X,X,X,O,O,X,X
ISJTLZO,O,O,X,O,X,X,X,X
ISJTLOZ,X,O,X,O,X,X,X,X
ISJTZLO,O,O,O,X,X,X,X,X
ISJTZOL,X,O,O,X,X,O,X,X
ISJTOLZ,X,O,X,O,X,X,X,X
ISJTOZL,X,O,O,X,X,O,X,X
ISJLTZO,X,O,X,O,X,X,X,X
ISJLTOZ,X,O,X,O,X,X,X,X
ISJLZTO,X,X,O,O,X,X,X,X
ISJLZOT,X,X,O,O,X,O,X,X
ISJLOTZ,X,O,X,O,X,X,X,X
ISJLOZT,X,X,O,O,X,O,X,X
ISJZTLO,O,O,O,X,X,X,X,X
ISJZTOL,X,O,O,X,O,O,X,X
ISJZLTO,X,X,O,X,X,X,X,X
ISJZLOT,X,X,O,X,O,O,X,X
ISJZOTL,O,O,O,X,O,O,X,X
ISJZOLT,X,X,O,X,O,O,X,X
ISJOTLZ,O,O,X,O,X,X,X,X
ISJOTZL,O,O,O,X,X,O,X,X
ISJOLTZ,X,O,X,O,X,X,X,X
ISJOLZT,X,X,O,O,X,O,X,X
ISJOZTL,O,O,O,X,X,O,X,X
ISJOZLT,X,X,O,X,X,O,X,X
ISZTLJO,O,O,O,X,X,X,X,X
ISZTLOJ,O,O,X,X,X,X,X,X
ISZTJLO,O,O,O,X,X,X,X,X
ISZTJOL,X,O,O,X,O,O,X,X
ISZTOLJ,O,O,X,X,X,X,X,X
ISZTOJL,O,O,O,X,X,O,X,X
ISZLTJO,O,O,O,X,O,X,X,X
ISZLTOJ,O,O,X,X,X,X,X,X
ISZLJTO,X,X,O,X,O,X,X,X
ISZLJOT,X,X,O,X,O,O,X,X
ISZLOTJ,O,O,X,X,X,X,X,X
ISZLOJT,X,X,X,X,O,O,X,X
ISZJTLO,O,O,O,X,X,X,X,X
ISZJTOL,X,O,O,X,O,O,X,O
ISZJLTO,X,X,O,X,O,X,X,X
ISZJLOT,X,X,O,X,O,O,X,O
ISZJOTL,O,O,O,X,O,O,X,O
ISZJOLT,X,X,O,X,O,O,X,O
ISZOTLJ,O,O,X,X,X,X,X,X
ISZOTJL,O,O,O,X,X,O,X,X
ISZOLTJ,O,O,X,X,X,X,X,X
ISZOLJT,X,X,X,X,X,O,X,O
ISZOJTL,O,O,O,X,O,O,X,O
ISZOJLT,X,X,O,X,O,O,X,O
ISOTLJZ,O,O,X,X,X,X,X,X
ISOTLZJ,O,O,X,X,X,X,X,X
ISOTJLZ,O,O,X,X,X,X,X,X
ISOTJZL,O,O,X,X,X,O,X,X
ISOTZLJ,O,O,X,X,X,X,X,X
ISOTZJL,O,O,O,X,X,O,X,X
ISOLTJZ,O,O,X,X,X,X,X,X
ISOLTZJ,O,O,X,X,X,X,X,X
ISOLJTZ,X,O,X,X,X,X,X,X
ISOLJZT,X,X,X,X,X,O,X,X
ISOLZTJ,O,O,X,X,X,X,X,X
ISOLZJT,X,X,X,X,X,O,X,O
ISOJTLZ,O,O,X,X,X,X,X,X
ISOJTZL,O,O,O,X,X,O,X,X
ISOJLTZ,X,O,X,X,X,X,X,X
ISOJLZT,X,X,O,X,X,O,X,X
ISOJZTL,O,O,O,X,X,O,X,X
ISOJZLT,X,X,O,X,X,O,X,X
ISOZTLJ,O,O,X,X,X,X,X,X
ISOZTJL,O,O,O,X,X,O,X,X
ISOZLTJ,O,O,X,X,X,X,X,X
ISOZLJT,X,X,X,X,X,O,X,O
ISOZJTL,O,O,O,X,O,O,X,O
ISOZJLT,X,X,O,X,O,O,X,O
IZTLJSO,O,X,X,O,X,X,X,X
IZTLJOS,X,O,O,O,X,X,X,X
IZTLSJO,O,O,X,X,X,X,X,X
IZTLSOJ,O,O,X,X,X,X,X,X
IZTLOJS,X,O,X,X,X,X,X,X
IZTLOSJ,O,O,X,X,X,X,X,X
IZTJLSO,O,X,X,O,X,X,X,X
IZTJLOS,X,O,O,O,X,X,X,X
IZTJSLO,O,O,O,X,X,X,X,X
IZTJSOL,X,O,O,X,X,O,X,X
IZTJOLS,X,O,O,O,X,X,X,X
IZTJOSL,X,O,O,X,X,O,X,X
IZTSLJO,O,O,O,X,X,X,X,X
IZTSLOJ,O,O,X,X,X,X,X,X
IZTSJLO,O,O,O,X,X,X,X,X
IZTSJOL,X,O,O,X,X,O,X,X
IZTSOLJ,O,O,X,X,X,X,X,X
IZTSOJL,O,O,O,X,X,O,X,X
IZTOLJS,O,O,X,X,X,X,X,X
IZTOLSJ,O,O,X,X,X,X,X,X
IZTOJLS,O,O,O,X,X,X,X,X
IZTOJSL,O,O,O,X,X,O,X,X
IZTOSLJ,O,O,X,X,X,X,X,X
IZTOSJL,O,O,X,X,X,O,X,X
IZLTJSO,O,X,X,O,X,X,X,X
IZLTJOS,X,O,O,O,X,X,X,X
IZLTSJO,O,O,X,X,X,X,X,X
IZLTSOJ,O,O,X,X,X,X,X,X
IZLTOJS,X,O,X,X,X,X,X,X
IZLTOSJ,O,O,X,X,X,X,X,X
IZLJTSO,X,X,X,O,O,X,X,X
IZLJTOS,X,X,O,O,O,X,X,O
IZLJSTO,X,X,X,O,O,X,X,X
IZLJSOT,X,X,X,O,O,O,X,O
IZLJOTS,X,X,O,O,O,X,X,O
IZLJOST,X,X,X,O,O,O,X,O
IZLSTJO,O,O,X,X,O,X,X,X
IZLSTOJ,O,O,X,X,X,X,X,X
IZLSJTO,X,X,X,X,O,X,X,X
IZLSJOT,X,X,X,X,O,O,X,X
IZLSOTJ,O,O,X,X,X,X,X,X
IZLSOJT,X,X,X,X,O,O,X,X
IZLOTJS,O,O,X,X,X,X,X,X
IZLOTSJ,O,O,X,X,X,X,X,X
IZLOJTS,X,X,X,X,X,X,X,O
IZLOJST,X,X,X,X,X,O,X,O
IZLOSTJ,O,O,X,X,X,X,X,X
IZLOSJT,X,X,X,X,X,O,X,O
IZJTLSO,O,X,X,O,X,X,X,X
IZJTLOS,X,O,O,O,X,X,X,O
IZJTSLO,O,O,O,X,X,X,X,X
IZJTSOL,X,O,O,X,X,O,X,O
IZJTOLS,X,O,O,O,X,X,X,O
IZJTOSL,X,O,O,X,X,O,X,O
IZJLTSO,X,X,X,O,O,X,X,X
IZJLTOS,X,X,O,O,O,X,X,O
IZJLSTO,X,X,X,O,O,X,X,X
IZJLSOT,X,X,X,O,O,O,X,O
IZJLOTS,X,X,O,O,O,X,X,O
IZJLOST,X,X,X,O,O,O,X,O
IZJSTLO,O,O,O,X,X,X,X,X
IZJSTOL,X,O,O,X,O,O,X,O
IZJSLTO,X,X,O,X,O,X,X,X
IZJSLOT,X,X,O,X,O,O,X,O
IZJSOTL,O,O,O,X,O,O,X,O
IZJSOLT,X,X,O,X,O,O,X,O
IZJOTLS,O,O,O,O,X,X,X,O
IZJOTSL,O,O,O,X,X,O,X,O
IZJOLTS,X,X,O,O,O,X,X,O
IZJOLST,X,X,X,O,O,O,X,O
IZJOSTL,O,O,O,X,O,O,X,O
IZJOSLT,X,X,O,X,O,O,X,O
IZSTLJO,O,O,O,X,X,X,X,X
IZSTLOJ,O,O,X,X,X,X,X,X
IZSTJLO,O,O,O,X,X,X,X,X
IZSTJOL,X,O,O,X,O,O,X,X
IZSTOLJ,O,O,X,X,X,X,X,X
IZSTOJL,O,O,O,X,X,O,X,X
IZSLTJO,O,O,O,X,O,X,X,X
IZSLTOJ,O,O,X,X,X,X,X,X
IZSLJTO,X,X,O,X,O,X,X,X
IZSLJOT,X,X,O,X,O,O,X,X
IZSLOTJ,O,O,X,X,X,X,X,X
IZSLOJT,X,X,X,X,O,O,X,X
IZSJTLO,O,O,O,X,X,X,X,X
IZSJTOL,X,O,O,X,O,O,X,O
IZSJLTO,X,X,O,X,O,X,X,X
IZSJLOT,X,X,O,X,O,O,X,O
IZSJOTL,O,O,O,X,O,O,X,O
IZSJOLT,X,X,O,X,O,O,X,O
IZSOTLJ,O,O,X,X,X,X,X,X
IZSOTJL,O,O,O,X,X,O,X,X
IZSOLTJ,O,O,X,X,X,X,X,X
IZSOLJT,X,X,X,X,X,O,X,O
IZSOJTL,O,O,O,X,O,O,X,O
IZSOJLT,X,X,O,X,O,O,X,O
IZOTLJS,O,O,X,X,X,X,X,X
IZOTLSJ,O,O,X,X,X,X,X,X
IZOTJLS,O,O,O,X,X,X,X,X
IZOTJSL,O,O,O,X,X,O,X,X
IZOTSLJ,O,O,X,X,X,X,X,X
IZOTSJL,O,O,X,X,X,O,X,X
IZOLTJS,O,O,X,X,X,X,X,X
IZOLTSJ,O,O,X,X,X,X,X,X
IZOLJTS,X,X,X,X,X,X,X,O
IZOLJST,X,X,X,X,X,O,X,O
IZOLSTJ,O,O,X,X,X,X,X,X
IZOLSJT,X,X,X,X,X,O,X,O
IZOJTLS,O,O,O,X,X,X,X,O
IZOJTSL,O,O,O,X,X,O,X,O
IZOJLTS,X,X,O,X,X,X,X,O
IZOJLST,X,X,X,X,X,O,X,O
IZOJSTL,O,O,O,X,X,O,X,O
IZOJSLT,X,X,X,X,X,O,X,O
IZOSTLJ,O,O,X,X,X,X,X,X
IZOSTJL,O,O,X,X,X,O,X,X
IZOSLTJ,O,O,X,X,X,X,X,X
IZOSLJT,X,X,X,X,X,O,X,O
IZOSJTL,O,O,X,X,X,O,X,O
IZOSJLT,X,X,X,X,X,O,X,O
IOTLJSZ,O,X,X,O,X,X,X,X
IOTLJZS,O,O,X,O,X,X,X,X
IOTLSJZ,O,O,X,X,X,X,X,X
IOTLSZJ,O,O,X,X,X,X,X,X
IOTLZJS,O,O,X,X,X,X,X,X
IOTLZSJ,O,O,X,X,X,X,X,X
IOTJLSZ,O,X,X,O,X,X,X,X
IOTJLZS,O,O,X,O,X,X,X,X
IOTJSLZ,O,O,X,O,X,X,X,X
IOTJSZL,O,O,X,X,X,O,X,X
IOTJZLS,O,O,X,O,X,X,X,X
IOTJZSL,O,O,X,X,X,O,X,X
IOTSLJZ,O,O,X,X,X,X,X,X
IOTSLZJ,O,O,X,X,X,X,X,X
IOTSJLZ,O,O,X,X,X,X,X,X
IOTSJZL,O,O,X,X,X,O,X,X
IOTSZLJ,O,O,X,X,X,X,X,X
IOTSZJL,O,O,X,X,X,O,X,X
IOTZLJS,O,O,X,X,X,X,X,X
IOTZLSJ,O,O,X,X,X,X,X,X
IOTZJLS,O,O,O,X,X,X,X,X
IOTZJSL,O,O,O,X,X,O,X,X
IOTZSLJ,O,O,X,X,X,X,X,X
IOTZSJL,O,O,X,X,X,O,X,X
IOLTJSZ,O,X,X,O,X,X,X,X
IOLTJZS,O,O,X,O,X,X,X,X
IOLTSJZ,O,O,X,X,X,X,X,X
IOLTSZJ,O,O,X,X,X,X,X,X
IOLTZJS,O,O,X,X,X,X,X,X
IOLTZSJ,O,O,X,X,X,X,X,X
IOLJTSZ,X,X,X,O,X,X,X,X
IOLJTZS,X,X,X,O,X,X,X,X
IOLJSTZ,X,X,X,O,X,X,X,X
IOLJSZT,X,X,X,O,X,O,X,X
IOLJZTS,X,X,X,O,X,X,X,X
IOLJZST,X,X,X,O,X,O,X,X
IOLSTJZ,O,O,X,X,X,X,X,X
IOLSTZJ,O,O,X,X,X,X,X,X
IOLSJTZ,X,O,X,X,X,X,X,X
IOLSJZT,X,X,X,X,X,O,X,X
IOLSZTJ,O,O,X,X,X,X,X,X
IOLSZJT,X,X,X,X,X,O,X,O
IOLZTJS,O,O,X,X,X,X,X,X
IOLZTSJ,O,O,X,X,X,X,X,X
IOLZJTS,X,X,X,X,X,X,X,O
IOLZJST,X,X,X,X,X,O,X,O
IOLZSTJ,O,O,X,X,X,X,X,X
IOLZSJT,X,X,X,X,X,O,X,O
IOJTLSZ,O,X,X,O,X,X,X,X
IOJTLZS,O,O,X,O,X,X,X,X
IOJTSLZ,O,O,X,O,X,X,X,X
IOJTSZL,O,O,X,X,X,O,X,X
IOJTZLS,O,O,O,O,X,X,X,X
IOJTZSL,O,O,O,X,X,O,X,X
IOJLTSZ,X,X,X,O,X,X,X,X
IOJLTZS,X,X,X,O,X,X,X,X
IOJLSTZ,X,X,X,O,X,X,X,X
IOJLSZT,X,X,X,O,X,O,X,X
IOJLZTS,X,X,O,O,X,X,X,X
IOJLZST,X,X,X,O,X,O,X,X
IOJSTLZ,O,O,X,O,X,X,X,X
IOJSTZL,O,O,X,X,X,O,X,X
IOJSLTZ,X,O,X,O,X,X,X,X
IOJSLZT,X,X,X,O,X,O,X,X
IOJSZTL,O,O,O,X,X,O,X,X
IOJSZLT,X,X,X,X,X,O,X,X
IOJZTLS,O,O,O,O,X,X,X,X
IOJZTSL,O,O,O,X,X,O,X,X
IOJZLTS,X,X,O,O,X,X,X,X
IOJZLST,X,X,X,O,X,O,X,X
IOJZSTL,O,O,O,X,X,O,X,X
IOJZSLT,X,X,X,X,X,O,X,X
IOSTLJZ,O,O,X,X,X,X,X,X
IOSTLZJ,O,O,X,X,X,X,X,X
IOSTJLZ,O,O,X,X,X,X,X,X
IOSTJZL,O,O,X,X,X,O,X,X
IOSTZLJ,O,O,X,X,X,X,X,X
IOSTZJL,O,O,X,X,X,O,X,X
IOSLTJZ,O,O,X,X,X,X,X,X
IOSLTZJ,O,O,X,X,X,X,X,X
IOSLJTZ,X,O,X,X,X,X,X,X
IOSLJZT,X,X,X,X,X,O,X,X
IOSLZTJ,O,O,X,X,X,X,X,X
IOSLZJT,X,X,X,X,X,O,X,O
IOSJTLZ,O,O,X,X,X,X,X,X
IOSJTZL,O,O,X,X,X,O,X,X
IOSJLTZ,X,O,X,X,X,X,X,X
IOSJLZT,X,X,X,X,X,O,X,X
IOSJZTL,O,O,X,X,X,O,X,X
IOSJZLT,X,X,X,X,X,O,X,X
IOSZTLJ,O,O,X,X,X,X,X,X
IOSZTJL,O,O,X,X,X,O,X,X
IOSZLTJ,O,O,X,X,X,X,X,X
IOSZLJT,X,X,X,X,X,O,X,O
IOSZJTL,O,O,X,X,X,O,X,O
IOSZJLT,X,X,X,X,X,O,X,O
IOZTLJS,O,O,X,X,X,X,X,X
IOZTLSJ,O,O,X,X,X,X,X,X
IOZTJLS,O,O,O,X,X,X,X,X
IOZTJSL,O,O,O,X,X,O,X,X
IOZTSLJ,O,O,X,X,X,X,X,X
IOZTSJL,O,O,X,X,X,O,X,X
IOZLTJS,O,O,X,X,X,X,X,X
IOZLTSJ,O,O,X,X,X,X,X,X
IOZLJTS,X,X,X,X,X,X,X,O
IOZLJST,X,X,X,X,X,O,X,O
IOZLSTJ,O,O,X,X,X,X,X,X
IOZLSJT,X,X,X,X,X,O,X,O
IOZJTLS,O,O,O,X,X,X,X,O
IOZJTSL,O,O,O,X,X,O,X,O
IOZJLTS,X,X,O,X,X,X,X,O
IOZJLST,X,X,X,X,X,O,X,O
IOZJSTL,O,O,O,X,X,O,X,O
IOZJSLT,X,X,X,X,X,O,X,O
IOZSTLJ,O,O,X,X,X,X,X,X
IOZSTJL,O,O,X,X,X,O,X,X
IOZSLTJ,O,O,X,X,X,X,X,X
IOZSLJT,X,X,X,X,X,O,X,O
IOZSJTL,O,O,X,X,X,O,X,O
IOZSJLT,X,X,X,X,X,O,X,O
LTIJSZO,O,X,X,O,X,X,O,X
LTIJSOZ,X,X,X,O,X,X,O,X
LTIJZSO,O,X,X,O,X,X,O,X
LTIJZOS,X,O,X,O,X,X,O,X
LTIJOSZ,X,X,X,O,X,X,O,X
LTIJOZS,X,O,X,O,X,X,O,X
LTISJZO,O,O,X,O,X,X,O,X
LTISJOZ,X,O,X,O,X,X,O,X
LTISZJO,O,O,X,X,X,X,X,X
LTISZOJ,O,O,X,X,X,X,X,X
LTISOJZ,X,O,X,X,X,X,X,X
LTISOZJ,O,O,X,X,X,X,X,X
LTIZJSO,O,X,X,O,X,X,O,X
LTIZJOS,X,O,O,O,X,X,O,X
LTIZSJO,O,O,X,X,X,X,X,X
LTIZSOJ,O,O,X,X,X,X,X,X
LTIZOJS,X,O,X,X,X,X,X,X
LTIZOSJ,O,O,X,X,X,X,X,X
LTIOJSZ,X,X,X,O,X,X,O,X
LTIOJZS,X,O,X,O,X,X,O,X
LTIOSJZ,X,O,X,X,X,X,X,X
LTIOSZJ,O,O,X,X,X,X,X,X
LTIOZJS,X,O,X,X,X,X,X,X
LTIOZSJ,O,O,X,X,X,X,X,X
LTJISZO,O,X,X,O,X,X,O,X
LTJISOZ,X,X,X,O,X,X,O,X
LTJIZSO,O,X,X,O,X,X,O,X
LTJIZOS,X,O,X,O,X,X,O,X
LTJIOSZ,X,X,X,O,X,X,O,X
LTJIOZS,X,O,X,O,X,X,O,X
LTJSIZO,O,X,X,O,X,X,O,X
LTJSIOZ,X,X,X,O,X,X,O,X
LTJSZIO,O,X,X,X,X,X,O,X
LTJSZOI,X,X,X,X,X,X,O,X
LTJSOIZ,X,X,X,O,X,X,O,X
LTJSOZI,X,X,X,X,X,X,O,X
LTJZISO,O,X,X,O,O,X,O,X
LTJZIOS,X,O,X,O,O,X,O,X
LTJZSIO,O,X,X,X,O,X,O,X
LTJZSOI,X,X,X,X,O,X,O,X
LTJZOIS,X,O,X,O,O,X,O,X
LTJZOSI,X,X,X,X,O,X,O,X
LTJOISZ,X,X,X,O,X,X,O,X
LTJOIZS,X,O,X,O,X,X,O,X
LTJOSIZ,X,X,X,O,X,X,O,X
LTJOSZI,X,X,X,X,X,X,O,X
LTJOZIS,X,O,X,O,O,X,O,X
LTJOZSI,X,X,X,X,O,X,O,X
LTSIJZO,O,O,X,O,X,X,O,X
LTSIJOZ,X,O,X,O,X,X,O,X
LTSIZJO,O,O,O,X,O,X,X,X
LTSIZOJ,O,O,X,X,X,X,X,X
LTSIOJZ,X,O,X,X,X,X,X,X
LTSIOZJ,O,O,X,X,X,X,X,X
LTSJIZO,O,O,X,O,X,X,O,X
LTSJIOZ,X,O,X,O,X,X,O,X
LTSJZIO,O,O,X,X,X,X,O,X
LTSJZOI,X,O,X,X,X,X,O,X
LTSJOIZ,X,O,X,O,X,X,O,X
LTSJOZI,X,O,X,X,X,X,O,X
LTSZIJO,O,O,O,X,O,X,X,X
LTSZIOJ,O,O,X,X,X,X,X,X
LTSZJIO,O,O,O,X,O,X,X,X
LTSZJOI,X,O,O,X,O,X,X,X
LTSZOIJ,O,O,X,X,X,X,X,X
LTSZOJI,X,O,X,X,X,X,X,X
LTSOIJZ,X,O,X,X,X,X,X,X
LTSOIZJ,O,O,X,X,X,X,X,X
LTSOJIZ,X,O,X,X,X,X,X,X
LTSOJZI,X,O,X,X,X,X,X,X
LTSOZIJ,O,O,X,X,X,X,X,X
LTSOZJI,X,O,X,X,X,X,X,X
LTZIJSO,O,X,X,O,X,X,O,X
LTZIJOS,X,O,O,O,X,X,O,X
LTZISJO,O,O,X,X,X,X,X,X
LTZISOJ,O,O,X,X,X,X,X,X
LTZIOJS,X,O,X,X,X,X,X,X
LTZIOSJ,O,O,X,X,X,X,X,X
LTZJISO,O,X,X,O,O,X,O,X
LTZJIOS,X,O,O,O,O,X,O,O
LTZJSIO,O,X,O,X,O,X,O,X
LTZJSOI,X,X,O,X,O,X,O,X
LTZJOIS,X,O,O,O,O,X,O,O
LTZJOSI,X,X,O,X,O,X,O,O
LTZSIJO,O,O,O,X,O,X,X,X
LTZSIOJ,O,O,X,X,X,X,X,X
LTZSJIO,O,O,O,X,O,X,X,X
LTZSJOI,X,O,O,X,O,X,X,X
LTZSOIJ,O,O,X,X,X,X,X,X
LTZSOJI,X,O,X,X,X,X,X,X
LTZOIJS,X,O,X,X,X,X,X,X
LTZOISJ,O,O,X,X,X,X,X,X
LTZOJIS,X,O,X,X,X,X,X,O
LTZOJSI,X,X,X,X,X,X,X,O
LTZOSIJ,O,O,X,X,X,X,X,X
LTZOSJI,X,O,X,X,X,X,X,O
LTOIJSZ,X,X,X,O,X,X,O,X
LTOIJZS,X,O,X,O,X,X,O,X
LTOISJZ,X,O,X,X,X,X,X,X
LTOISZJ,O,O,X,X,X,X,X,X
LTOIZJS,X,O,X,X,X,X,X,X
LTOIZSJ,O,O,X,X,X,X,X,X
LTOJISZ,X,X,X,O,X,X,O,X
LTOJIZS,X,O,X,O,X,X,O,X
LTOJSIZ,X,X,X,O,X,X,O,X
LTOJSZI,X,X,X,X,X,X,O,X
LTOJZIS,X,O,X,O,X,X,O,X
LTOJZSI,X,X,X,X,X,X,O,X
LTOSIJZ,X,O,X,X,X,X,X,X
LTOSIZJ,O,O,X,X,X,X,X,X
LTOSJIZ,X,O,X,X,X,X,X,X
LTOSJZI,X,O,X,X,X,X,X,X
LTOSZIJ,O,O,X,X,X,X,X,X
LTOSZJI,X,O,X,X,X,X,X,O
LTOZIJS,X,O,X,X,X,X,X,X
LTOZISJ,O,O,X,X,X,X,X,X
LTOZJIS,X,O,X,X,X,X,X,O
LTOZJSI,X,X,X,X,X,X,X,O
LTOZSIJ,O,O,X,X,X,X,X,X
LTOZSJI,X,O,X,X,X,X,X,O
LITJSZO,O,X,X,O,X,X,O,X
LITJSOZ,X,X,X,O,X,X,O,X
LITJZSO,O,X,X,O,X,X,O,X
LITJZOS,X,O,X,O,X,X,O,X
LITJOSZ,X,X,X,O,X,X,O,X
LITJOZS,X,O,X,O,X,X,O,X
LITSJZO,O,O,X,O,X,X,O,X
LITSJOZ,X,O,X,O,X,X,O,X
LITSZJO,O,O,X,X,X,X,X,X
LITSZOJ,O,O,X,X,X,X,X,X
LITSOJZ,X,O,X,X,X,X,X,X
LITSOZJ,O,O,X,X,X,X,X,X
LITZJSO,O,X,X,O,X,X,O,X
LITZJOS,X,O,O,O,X,X,O,X
LITZSJO,O,O,X,X,X,X,X,X
LITZSOJ,O,O,X,X,X,X,X,X
LITZOJS,X,O,X,X,X,X,X,X
LITZOSJ,O,O,X,X,X,X,X,X
LITOJSZ,X,X,X,O,X,X,O,X
LITOJZS,X,O,X,O,X,X,O,X
LITOSJZ,X,O,X,X,X,X,X,X
LITOSZJ,O,O,X,X,X,X,X,X
LITOZJS,X,O,X,X,X,X,X,X
LITOZSJ,O,O,X,X,X,X,X,X
LIJTSZO,X,X,X,O,X,X,O,X
LIJTSOZ,X,X,X,O,X,X,O,X
LIJTZSO,X,X,X,O,X,X,O,X
LIJTZOS,X,X,X,O,X,X,O,X
LIJTOSZ,X,X,X,O,X,X,O,X
LIJTOZS,X,X,X,O,X,X,O,X
LIJSTZO,X,X,X,O,X,X,X,X
LIJSTOZ,X,X,X,O,X,X,X,X
LIJSZTO,X,X,X,O,X,X,X,X
LIJSZOT,X,X,X,O,X,O,X,X
LIJSOTZ,X,X,X,O,X,X,X,X
LIJSOZT,X,X,X,O,X,O,X,X
LIJZTSO,X,X,X,O,O,X,X,X
LIJZTOS,X,X,O,O,O,X,X,X
LIJZSTO,X,X,X,O,O,X,X,X
LIJZSOT,X,X,X,O,O,O,X,X
LIJZOTS,X,X,O,O,O,X,X,X
LIJZOST,X,X,X,O,O,O,X,X
LIJOTSZ,X,X,X,O,X,X,O,X
LIJOTZS,X,X,X,O,X,X,O,X
LIJOSTZ,X,X,X,O,X,X,X,X
LIJOSZT,X,X,X,O,X,O,X,X
LIJOZTS,X,X,O,O,O,X,X,X
LIJOZST,X,X,X,O,O,O,X,X
LISTJZO,O,O,X,O,X,X,X,X
LISTJOZ,X,O,X,O,X,X,X,X
LISTZJO,O,O,X,X,O,X,X,X
LISTZOJ,O,O,X,X,X,X,X,X
LISTOJZ,X,O,X,X,X,X,X,X
LISTOZJ,O,O,X,X,X,X,X,X
LISJTZO,X,O,X,O,X,X,X,X
LISJTOZ,X,O,X,O,X,X,X,X
LISJZTO,X,X,X,O,O,X,X,X
LISJZOT,X,X,X,O,O,O,X,X
LISJOTZ,X,O,X,O,X,X,X,X
LISJOZT,X,X,X,O,X,O,X,X
LISZTJO,O,O,X,X,O,X,X,X
LISZTOJ,O,O,X,X,X,X,X,X
LISZJTO,X,X,X,X,O,X,X,X
LISZJOT,X,X,X,X,O,O,X,X
LISZOTJ,O,O,X,X,X,X,X,X
LISZOJT,X,X,X,X,O,O,X,X
LISOTJZ,O,O,X,X,X,X,X,X
LISOTZJ,O,O,X,X,X,X,X,X
LISOJTZ,X,O,X,X,X,X,X,X
LISOJZT,X,X,X,X,X,O,X,X
LISOZTJ,O,O,X,X,X,X,X,X
LISOZJT,X,X,X,X,O,O,X,X
LIZTJSO,O,X,X,O,X,X,X,X
LIZTJOS,X,O,O,O,X,X,X,X
LIZTSJO,O,O,X,X,X,X,X,X
LIZTSOJ,O,O,X,X,X,X,X,X
LIZTOJS,X,O,X,X,X,X,X,X
LIZTOSJ,O,O,X,X,X,X,X,X
LIZJTSO,X,X,X,O,O,X,X,X
LIZJTOS,X,X,O,O,O,X,X,O
LIZJSTO,X,X,X,O,O,X,X,X
LIZJSOT,X,X,X,O,O,O,X,O
LIZJOTS,X,X,O,O,O,X,X,O
LIZJOST,X,X,X,O,O,O,X,O
LIZSTJO,O,O,X,X,O,X,X,X
LIZSTOJ,O,O,X,X,X,X,X,X
LIZSJTO,X,X,X,X,O,X,X,X
LIZSJOT,X,X,X,X,O,O,X,X
LIZSOTJ,O,O,X,X,X,X,X,X
LIZSOJT,X,X,X,X,O,O,X,X
LIZOTJS,O,O,X,X,X,X,X,X
LIZOTSJ,O,O,X,X,X,X,X,X
LIZOJTS,X,X,X,X,X,X,X,O
LIZOJST,X,X,X,X,X,O,X,O
LIZOSTJ,O,O,X,X,X,X,X,X
LIZOSJT,X,X,X,X,X,O,X,O
LIOTJSZ,O,X,X,O,X,X,X,X
LIOTJZS,O,O,X,O,X,X,X,X
LIOTSJZ,O,O,X,X,X,X,X,X
LIOTSZJ,O,O,X,X,X,X,X,X
LIOTZJS,O,O,X,X,X,X,X,X
LIOTZSJ,O,O,X,X,X,X,X,X
LIOJTSZ,X,X,X,O,X,X,X,X
LIOJTZS,X,X,X,O,X,X,X,X
