sequence,v115@QhB8EeF8DeD8Je/EJvhFRgBUiBFjBOqB6rBzqB,v115@QhB8EeF8DeD8Je/EJvhFRgBUiBFjBKqBzlB+rB,v115@QhB8EeF8DeD8Je/EJvhFalBulBUiBFjBTmBxvB
TSLZIOJ,O,X,X
TSLZJIO,O,O,X
TSLZJOI,O,O,X
TSLZOIJ,O,X,X
TSLZOJI,O,X,X
TSLOIJZ,X,O,X
TSLOIZJ,O,X,X
TSLOJIZ,O,O,X
TSLOJZI,O,O,X
TSLOZIJ,O,X,X
TSLOZJI,O,X,X
TSJILZO,X,X,X
TSJILOZ,X,X,X
TSJIZLO,O,O,X
TSJIZOL,O,X,X
TSJIOLZ,X,X,X
TSJIOZL,X,X,X
TSJLIZO,O,O,X
TSJLIOZ,X,X,X
TSJLZIO,O,O,X
TSJLZOI,O,O,X
TSJLOIZ,X,O,X
TSJLOZI,X,O,X
TSJZILO,O,O,X
TSJZIOL,O,X,X
TSJZLIO,O,O,X
TSJZLOI,O,O,X
TSJZOIL,X,X,X
TSJZOLI,X,X,X
TSJOILZ,X,X,X
TSJOIZL,O,X,X
TSJOLIZ,O,X,X
TSJOLZI,O,X,X
TSJOZIL,O,X,X
TSJOZLI,X,X,X
TSZILJO,O,O,O
TSZILOJ,O,X,O
TSZIJLO,O,O,O
TSZIJOL,O,X,X
TSZIOLJ,O,X,O
TSZIOJL,O,X,O
TSZLIJO,O,O,X
TSZLIOJ,O,X,X
TSZLJIO,O,O,X
TSZLJOI,O,O,X
TSZLOIJ,O,X,X
TSZLOJI,O,X,X
TSZJILO,O,O,X
TSZJIOL,O,X,X
TSZJLIO,O,O,X
TSZJLOI,O,O,X
TSZJOIL,X,X,X
TSZJOLI,X,X,X
TSZOILJ,O,X,X
TSZOIJL,O,X,X
TSZOLIJ,X,X,X
TSZOLJI,X,X,X
TSZOJIL,O,X,X
TSZOJLI,X,X,X
TSOILJZ,X,X,X
TSOILZJ,X,X,X
TSOIJLZ,X,X,X
TSOIJZL,X,X,X
TSOIZLJ,O,X,X
TSOIZJL,O,X,X
