sequence,v115@JhA8FeF8DeB8FeC8JeT/IvhF0gBSnBOoBlmBXsBRvB,v115@JhA8FeF8DeB8FeC8Jex/IvhFXhBTiBOoBFsB0pBSwB,v115@JhA8FeF8DeB8FeC8JeT/IvhFlgB3hBOoBCsBcsBRvB,v115@JhA8FeF8DeB8FeC8JeT/IvhFFiBXjBRsBSvB0rBmqB,v115@JhA8FeF8DeB8FeC8JeT/IvhF0gBmhBqrB3nBFoBRvB,v115@JhA8FeF8DeB8FeC8JeT/IvhFUiBFjBRsBCrBXqB2wB,v115@JhA8FeF8DeB8FeC8JeT/IvhFSmBXjBRsBOsBVvBUrB,v115@JhA8FeF8DeB8FeC8JeT/IvhF6nBOoBRmBfsBVvBUrB,v115@JhA8FeF8DeB8FeC8JeCBJvhFxiBmmBznB1wB/pBUqB,v115@JhA8FeF8DeB8FeC8Je6HJvhFOoBRmBzrB/pBUqBFrB
ILOJSZT,X,X,X,O,O,X,O,O,X,X
ILOJZTS,X,X,O,O,X,O,X,X,X,X
ILOJZST,X,X,O,O,O,X,O,O,X,X
ILOSTJZ,X,X,X,X,X,X,O,X,X,X
ILOSTZJ,X,X,X,O,X,O,X,X,X,X
ILOSJTZ,X,X,X,X,X,X,O,O,X,X
ILOSJZT,X,X,X,O,O,X,O,O,X,X
ILOSZTJ,X,X,X,O,X,O,X,X,X,X
ILOSZJT,X,X,X,O,O,X,O,X,X,X
ILOZTJS,X,X,X,O,X,O,X,X,X,X
ILOZTSJ,X,X,X,O,X,O,X,X,X,X
ILOZJTS,X,X,X,O,X,O,X,X,X,X
ILOZJST,X,X,X,O,O,X,O,O,X,X
ILOZSTJ,X,X,X,O,X,O,X,X,X,X
ILOZSJT,X,X,X,O,O,X,O,X,X,X
IJTLSZO,X,O,O,X,X,X,X,X,X,X
IJTLSOZ,X,O,O,X,X,X,X,X,X,X
IJTLZSO,X,O,O,X,X,X,X,X,X,X
IJTLZOS,X,O,O,X,X,O,X,X,X,X
IJTLOSZ,X,O,O,X,X,X,X,O,X,X
IJTLOZS,X,O,O,X,X,O,X,X,X,X
IJTSLZO,O,O,O,X,X,X,X,X,X,X
IJTSLOZ,O,O,O,X,X,X,X,X,X,X
IJTSZLO,O,X,X,X,X,X,X,X,X,X
IJTSZOL,O,O,X,X,X,X,X,X,X,X
IJTSOLZ,O,O,O,X,X,X,X,X,X,X
IJTSOZL,O,O,X,X,X,X,X,X,X,X
IJTZLSO,X,O,O,X,X,X,X,X,X,X
IJTZLOS,X,O,O,X,X,O,X,X,X,X
IJTZSLO,O,O,X,X,X,X,X,X,X,X
IJTZSOL,O,O,X,X,X,X,X,X,X,X
IJTZOLS,X,O,O,X,X,O,X,X,X,X
IJTZOSL,O,O,X,X,X,X,X,X,X,X
IJTOLSZ,X,O,O,X,X,X,X,O,X,X
IJTOLZS,X,O,O,X,X,O,X,X,X,X
IJTOSLZ,O,O,O,X,X,X,X,X,X,X
IJTOSZL,O,O,X,X,X,X,X,X,X,X
IJTOZLS,X,O,O,X,X,O,X,X,X,X
IJTOZSL,O,O,X,X,X,X,X,X,X,X
IJLTSZO,X,O,O,X,X,X,X,X,X,X
IJLTSOZ,X,O,O,X,X,X,X,X,X,X
IJLTZSO,X,O,O,X,X,X,X,X,X,X
IJLTZOS,X,O,O,X,X,O,X,X,X,X
IJLTOSZ,X,O,O,X,X,X,X,O,X,X
IJLTOZS,X,O,O,X,X,O,X,X,X,X
IJLSTZO,O,X,O,X,X,X,X,X,X,X
IJLSTOZ,O,O,O,X,X,X,X,X,X,X
IJLSZTO,O,X,O,O,X,X,X,X,X,X
IJLSZOT,O,X,O,O,X,X,X,X,X,X
IJLSOTZ,O,X,O,X,X,X,X,O,X,X
IJLSOZT,O,X,O,O,X,X,X,O,X,X
IJLZTSO,X,X,O,O,X,X,X,X,X,X
IJLZTOS,X,X,O,O,X,O,X,X,X,X
IJLZSTO,O,X,O,O,X,X,X,X,X,X
IJLZSOT,O,X,O,O,X,X,X,X,X,X
IJLZOTS,X,X,O,O,X,O,X,X,X,X
IJLZOST,O,X,O,O,X,X,X,O,X,X
IJLOTSZ,X,X,O,X,X,X,X,O,X,X
IJLOTZS,X,X,O,X,X,O,X,X,X,X
IJLOSTZ,O,X,O,X,X,X,X,O,X,X
IJLOSZT,O,X,O,O,X,X,X,O,X,X
IJLOZTS,X,X,O,O,X,O,X,X,X,X
IJLOZST,O,X,O,O,X,X,X,O,X,X
IJSTLZO,O,O,O,X,X,X,X,X,X,X
IJSTLOZ,O,O,O,X,X,X,X,X,X,X
IJSTZLO,O,O,X,O,X,X,X,X,X,X
IJSTZOL,O,O,X,O,X,X,X,X,X,X
IJSTOLZ,O,O,O,X,X,X,X,X,X,X
IJSTOZL,O,O,X,O,X,X,X,X,X,X
IJSLTZO,O,X,O,X,X,X,X,X,X,X
IJSLTOZ,O,O,O,X,X,X,X,X,X,X
IJSLZTO,O,X,O,O,X,X,X,X,X,X
IJSLZOT,O,X,O,O,X,X,X,X,X,X
IJSLOTZ,O,X,O,X,X,X,X,O,X,X
IJSLOZT,O,X,O,O,X,X,X,O,X,X
IJSZTLO,O,X,X,O,X,X,X,X,X,X
IJSZTOL,O,O,X,O,X,X,X,X,X,X
IJSZLTO,O,X,X,O,X,X,X,X,X,X
IJSZLOT,O,X,X,O,X,X,X,X,X,X
IJSZOTL,O,X,X,O,X,X,X,X,X,X
IJSZOLT,O,X,X,O,X,X,X,X,X,X
IJSOTLZ,O,O,O,X,X,X,X,X,X,X
IJSOTZL,O,O,X,O,X,X,X,X,X,X
IJSOLTZ,O,X,O,X,X,X,X,O,X,X
IJSOLZT,O,X,O,O,X,X,X,O,X,X
IJSOZTL,O,X,X,O,X,X,X,X,X,X
IJSOZLT,O,X,X,O,X,X,X,X,X,X
IJZTLSO,X,O,O,O,X,X,X,X,X,X
IJZTLOS,X,O,O,O,X,O,X,X,X,X
IJZTSLO,O,X,X,O,X,X,X,X,X,X
IJZTSOL,O,X,X,O,X,X,X,X,X,X
IJZTOLS,X,O,O,O,X,O,X,X,X,X
IJZTOSL,O,X,X,O,X,X,X,X,X,X
IJZLTSO,X,X,O,O,X,X,X,X,X,X
IJZLTOS,X,X,O,O,X,O,X,X,X,X
IJZLSTO,O,X,O,O,X,X,X,X,X,X
IJZLSOT,O,X,O,O,X,X,X,X,X,X
IJZLOTS,X,X,O,O,X,O,X,X,X,X
IJZLOST,O,X,O,O,X,X,X,O,X,X
IJZSTLO,O,X,X,O,X,X,X,X,X,X
IJZSTOL,O,O,X,O,X,X,X,X,X,X
IJZSLTO,O,X,X,O,X,X,X,X,X,X
IJZSLOT,O,X,X,O,X,X,X,X,X,X
IJZSOTL,O,X,X,O,X,X,X,X,X,X
IJZSOLT,O,X,X,O,X,X,X,X,X,X
IJZOTLS,X,X,O,O,X,O,X,X,X,X
IJZOTSL,O,X,X,O,X,X,X,X,X,X
IJZOLTS,X,X,O,O,X,O,X,X,X,X
IJZOLST,O,X,O,O,X,X,X,O,X,X
IJZOSTL,O,X,X,O,X,X,X,X,X,X
IJZOSLT,O,X,X,O,X,X,X,X,X,X
IJOTLSZ,X,O,O,X,X,X,X,O,X,O
IJOTLZS,X,O,O,X,X,O,X,X,X,X
IJOTSLZ,O,O,O,X,X,X,X,X,X,X
IJOTSZL,O,X,X,X,X,X,X,X,X,X
IJOTZLS,X,O,O,X,X,O,X,X,X,X
IJOTZSL,O,X,X,X,X,X,X,X,X,X
IJOLTSZ,X,X,O,X,X,X,X,O,X,O
IJOLTZS,X,X,O,X,X,O,X,X,X,X
IJOLSTZ,O,X,O,X,X,X,X,O,X,O
IJOLSZT,O,X,O,O,X,X,X,O,X,O
IJOLZTS,X,X,O,O,X,O,X,X,X,X
IJOLZST,O,X,O,O,X,X,X,O,X,O
IJOSTLZ,O,O,O,X,X,X,X,X,X,X
IJOSTZL,O,O,X,O,X,X,X,X,X,X
IJOSLTZ,O,X,O,X,X,X,X,O,X,O
IJOSLZT,O,X,O,O,X,X,X,O,X,O
IJOSZTL,O,X,X,O,X,X,X,X,X,X
IJOSZLT,O,X,X,O,X,X,X,X,X,X
IJOZTLS,X,X,O,O,X,O,X,X,X,X
IJOZTSL,O,X,X,O,X,X,X,X,X,X
IJOZLTS,X,X,O,O,X,O,X,X,X,X
IJOZLST,O,X,O,O,X,X,X,O,X,O
IJOZSTL,O,X,X,O,X,X,X,X,X,X
IJOZSLT,O,X,X,O,X,X,X,X,X,X
ISTLJZO,X,X,X,X,X,X,X,X,X,X
ISTLJOZ,X,O,X,X,X,X,X,X,X,X
ISTLZJO,X,X,X,O,X,X,X,X,X,X
ISTLZOJ,X,X,X,O,X,O,X,X,X,X
ISTLOJZ,X,O,X,X,X,X,X,X,X,X
ISTLOZJ,X,X,X,O,X,O,X,X,X,X
ISTJLZO,X,O,X,X,X,X,X,X,X,X
ISTJLOZ,X,O,X,X,X,X,X,X,X,X
ISTJZLO,X,O,X,O,X,X,X,X,X,X
ISTJZOL,X,O,X,O,X,X,X,X,X,X
ISTJOLZ,X,O,X,X,X,X,X,X,X,X
ISTJOZL,X,O,X,O,X,X,X,X,X,X
ISTZLJO,X,X,X,O,X,X,X,X,X,X
ISTZLOJ,X,X,X,O,X,O,X,X,X,X
ISTZJLO,X,X,X,O,X,X,X,X,X,X
ISTZJOL,X,O,X,O,X,X,X,X,X,X
ISTZOLJ,X,X,X,O,X,O,X,X,X,X
ISTZOJL,X,O,X,O,X,X,X,X,X,X
ISTOLJZ,X,O,X,X,X,X,X,X,X,X
ISTOLZJ,X,X,X,O,X,O,X,X,X,X
ISTOJLZ,X,O,X,X,X,X,X,X,X,X
ISTOJZL,X,O,X,O,X,X,X,X,X,X
ISTOZLJ,X,X,X,O,X,O,X,X,X,X
ISTOZJL,X,O,X,O,X,X,X,X,X,X
ISLTJZO,X,X,X,X,X,X,X,X,X,X
ISLTJOZ,X,O,X,X,X,X,O,X,X,X
ISLTZJO,X,X,X,O,X,X,X,X,X,X
ISLTZOJ,X,X,X,O,X,O,X,X,X,X
ISLTOJZ,X,O,X,X,X,X,O,X,X,X
ISLTOZJ,X,X,X,O,X,O,X,X,X,X
ISLJTZO,X,X,X,X,X,X,X,X,X,X
ISLJTOZ,X,O,X,X,X,X,O,X,X,X
ISLJZTO,X,X,X,O,X,X,X,X,X,X
ISLJZOT,O,X,X,O,O,X,O,X,X,X
ISLJOTZ,X,X,X,X,X,X,O,O,X,X
ISLJOZT,O,X,X,O,O,X,O,O,X,X
ISLZTJO,X,X,X,O,X,X,X,X,X,X
ISLZTOJ,X,X,X,O,X,O,X,X,X,X
ISLZJTO,X,X,X,O,X,X,X,X,X,X
ISLZJOT,O,X,X,O,O,X,O,X,X,X
ISLZOTJ,X,X,X,O,X,O,X,X,X,X
ISLZOJT,O,X,X,O,O,X,O,X,X,X
ISLOTJZ,X,X,X,X,X,X,O,X,X,X
ISLOTZJ,X,X,X,O,X,O,X,X,X,X
ISLOJTZ,X,X,X,X,X,X,O,O,X,X
ISLOJZT,O,X,X,O,O,X,O,O,X,X
ISLOZTJ,X,X,X,O,X,O,X,X,X,X
ISLOZJT,O,X,X,O,O,X,O,X,X,X
ISJTLZO,X,O,X,X,X,X,X,X,X,X
ISJTLOZ,X,O,X,X,X,X,X,X,X,X
ISJTZLO,X,O,X,O,X,X,X,X,X,X
ISJTZOL,X,O,X,O,X,X,X,X,X,X
ISJTOLZ,X,O,X,X,X,X,X,X,X,X
ISJTOZL,X,O,X,O,X,X,X,X,X,X
ISJLTZO,X,X,X,X,X,X,X,X,X,X
ISJLTOZ,X,O,X,X,X,X,X,X,X,X
ISJLZTO,X,X,X,O,X,X,X,X,X,X
ISJLZOT,O,X,X,O,X,X,X,X,X,X
ISJLOTZ,X,X,X,X,X,X,X,O,X,X
ISJLOZT,O,X,X,O,X,X,X,O,X,X
ISJZTLO,X,X,X,O,X,X,X,X,X,X
ISJZTOL,X,O,X,O,X,X,X,X,X,X
ISJZLTO,X,X,X,O,X,X,X,X,X,X
ISJZLOT,O,X,X,O,X,X,X,X,X,X
ISJZOTL,X,X,X,O,X,X,X,X,X,X
ISJZOLT,O,X,X,O,X,X,X,X,X,X
ISJOTLZ,X,O,X,X,X,X,X,X,X,X
ISJOTZL,X,O,X,O,X,X,X,X,X,X
ISJOLTZ,X,X,X,X,X,X,X,O,X,X
ISJOLZT,O,X,X,O,X,X,X,O,X,X
ISJOZTL,X,X,X,O,X,X,X,X,X,X
ISJOZLT,O,X,X,O,X,X,X,X,X,X
ISZTLJO,X,X,X,O,X,X,X,X,X,X
ISZTLOJ,X,X,X,O,X,O,X,X,X,X
ISZTJLO,X,X,X,O,X,X,X,X,X,X
ISZTJOL,X,O,X,O,X,X,X,X,X,X
ISZTOLJ,X,X,X,O,X,O,X,X,X,X
ISZTOJL,X,O,X,O,X,X,X,X,X,X
ISZLTJO,X,X,X,O,X,X,X,X,X,X
ISZLTOJ,X,X,X,O,X,O,X,X,X,X
ISZLJTO,X,X,X,O,X,X,X,X,X,X
ISZLJOT,O,X,X,O,X,X,X,X,X,X
ISZLOTJ,X,X,X,O,X,O,X,X,X,X
ISZLOJT,O,X,X,O,X,X,X,X,X,X
ISZJTLO,X,X,X,O,X,X,X,X,X,X
ISZJTOL,X,O,X,O,X,X,X,X,X,X
ISZJLTO,X,X,X,O,X,X,X,X,X,X
ISZJLOT,O,X,X,O,X,X,X,X,X,X
ISZJOTL,X,X,X,O,X,X,X,X,X,X
ISZJOLT,O,X,X,O,X,X,X,X,X,X
ISZOTLJ,X,X,X,O,X,O,X,X,X,X
ISZOTJL,X,X,X,O,X,X,X,X,X,X
ISZOLTJ,X,X,X,O,X,O,X,X,X,X
ISZOLJT,O,X,X,O,X,X,X,X,X,X
ISZOJTL,X,X,X,O,X,X,X,X,X,X
ISZOJLT,O,X,X,O,X,X,X,X,X,X
ISOTLJZ,X,O,X,X,X,X,X,X,X,X
ISOTLZJ,X,X,X,O,X,O,X,X,X,X
ISOTJLZ,X,O,X,X,X,X,X,X,X,X
ISOTJZL,X,O,X,O,X,X,X,X,X,X
ISOTZLJ,X,X,X,O,X,O,X,X,X,X
ISOTZJL,X,O,X,O,X,X,X,X,X,X
ISOLTJZ,X,X,X,X,X,X,O,X,X,X
ISOLTZJ,X,X,X,O,X,O,X,X,X,X
ISOLJTZ,X,X,X,X,X,X,O,O,X,X
ISOLJZT,O,X,X,O,O,X,O,O,X,X
ISOLZTJ,X,X,X,O,X,O,X,X,X,X
ISOLZJT,O,X,X,O,O,X,O,X,X,X
ISOJTLZ,X,O,X,X,X,X,X,X,X,X
ISOJTZL,X,O,X,O,X,X,X,X,X,X
ISOJLTZ,X,X,X,X,X,X,X,O,X,X
ISOJLZT,O,X,X,O,X,X,X,O,X,X
ISOJZTL,X,X,X,O,X,X,X,X,X,X
ISOJZLT,O,X,X,O,X,X,X,X,X,X
ISOZTLJ,X,X,X,O,X,O,X,X,X,X
ISOZTJL,X,X,X,O,X,X,X,X,X,X
ISOZLTJ,X,X,X,O,X,O,X,X,X,X
ISOZLJT,O,X,X,O,X,X,X,X,X,X
ISOZJTL,X,X,X,O,X,X,X,X,X,X
ISOZJLT,O,X,X,O,X,X,X,X,X,X
IZTLJSO,X,X,X,O,O,X,X,X,X,X
IZTLJOS,X,X,X,O,O,O,X,X,X,X
IZTLSJO,X,X,X,O,O,X,X,X,X,X
IZTLSOJ,X,X,X,O,O,O,X,X,X,X
IZTLOJS,X,X,X,O,O,O,X,X,X,X
IZTLOSJ,X,X,X,O,O,O,X,X,X,X
IZTJLSO,X,O,X,O,O,X,X,X,X,X
IZTJLOS,X,O,X,O,O,O,X,X,X,X
IZTJSLO,O,X,X,O,X,X,X,X,X,X
IZTJSOL,O,X,X,O,X,X,X,X,X,X
IZTJOLS,X,O,X,O,O,O,X,X,X,X
IZTJOSL,O,X,X,O,X,X,X,X,X,X
IZTSLJO,O,X,X,O,X,X,X,X,X,X
IZTSLOJ,O,X,X,O,X,O,X,X,X,X
IZTSJLO,O,X,X,O,X,X,X,X,X,X
IZTSJOL,O,O,X,O,X,X,X,X,X,X
IZTSOLJ,O,X,X,O,X,O,X,X,X,X
IZTSOJL,O,O,X,O,X,X,X,X,X,X
IZTOLJS,X,X,X,O,O,O,X,X,X,X
IZTOLSJ,X,X,X,O,O,O,X,X,X,X
IZTOJLS,X,O,X,O,O,O,X,X,X,X
IZTOJSL,O,X,X,O,X,X,X,X,X,X
IZTOSLJ,O,X,X,O,X,O,X,X,X,X
IZTOSJL,O,O,X,O,X,X,X,X,X,X
IZLTJSO,X,X,X,O,O,X,X,X,X,X
IZLTJOS,X,X,X,O,O,O,X,X,X,X
IZLTSJO,X,X,X,O,O,X,X,X,X,X
IZLTSOJ,X,X,X,O,O,O,X,X,X,X
IZLTOJS,X,X,X,O,O,O,X,X,X,X
IZLTOSJ,X,X,X,O,O,O,X,X,X,X
IZLJTSO,X,X,X,O,O,X,X,X,X,X
IZLJTOS,X,X,X,O,O,O,X,X,X,X
IZLJSTO,O,X,X,O,O,X,X,X,X,X
IZLJSOT,O,X,X,O,O,X,X,X,X,X
IZLJOTS,X,X,X,O,O,O,X,X,X,X
IZLJOST,O,X,X,O,O,X,X,O,X,X
IZLSTJO,O,X,X,O,O,X,X,X,X,X
IZLSTOJ,O,X,X,O,O,O,X,X,X,X
IZLSJTO,O,X,X,O,O,X,X,X,X,X
IZLSJOT,O,X,X,O,O,X,X,X,X,X
IZLSOTJ,O,X,X,O,O,O,X,X,X,X
IZLSOJT,O,X,X,O,O,X,X,X,X,X
IZLOTJS,X,X,X,O,O,O,X,X,X,X
IZLOTSJ,X,X,X,O,O,O,X,X,X,X
IZLOJTS,X,X,X,O,O,O,X,X,X,X
IZLOJST,O,X,X,O,O,X,X,O,X,X
IZLOSTJ,O,X,X,O,O,O,X,X,X,X
IZLOSJT,O,X,X,O,O,X,X,X,X,X
IZJTLSO,X,O,X,O,O,X,X,X,X,X
IZJTLOS,X,O,X,O,O,O,X,X,X,X
IZJTSLO,O,X,X,O,X,X,X,X,X,X
IZJTSOL,O,X,X,O,X,X,X,X,X,X
IZJTOLS,X,O,X,O,O,O,X,X,X,X
IZJTOSL,O,X,X,O,X,X,X,X,X,X
IZJLTSO,X,X,X,O,O,X,X,X,X,X
IZJLTOS,X,X,X,O,O,O,X,X,X,X
IZJLSTO,O,X,X,O,O,X,X,X,X,X
IZJLSOT,O,X,X,O,O,X,X,X,X,X
IZJLOTS,X,X,X,O,O,O,X,X,X,X
IZJLOST,O,X,X,O,O,X,X,O,X,X
IZJSTLO,O,X,X,O,X,X,X,X,X,X
IZJSTOL,O,O,X,O,X,X,X,X,X,X
IZJSLTO,O,X,X,O,O,X,X,X,X,X
IZJSLOT,O,X,X,O,O,X,X,X,X,X
IZJSOTL,O,X,X,O,X,X,X,X,X,X
IZJSOLT,O,X,X,O,O,X,X,X,X,X
IZJOTLS,X,X,X,O,O,O,X,X,X,X
IZJOTSL,O,X,X,O,X,X,X,X,X,X
IZJOLTS,X,X,X,O,O,O,X,X,X,X
IZJOLST,O,X,X,O,O,X,X,O,X,X
IZJOSTL,O,X,X,O,X,X,X,X,X,X
IZJOSLT,O,X,X,O,O,X,X,X,X,X
IZSTLJO,O,X,X,O,X,X,X,X,X,X
IZSTLOJ,O,X,X,O,X,O,X,X,X,X
IZSTJLO,O,X,X,O,X,X,X,X,X,X
IZSTJOL,O,O,X,O,X,X,X,X,X,X
IZSTOLJ,O,X,X,O,X,O,X,X,X,X
IZSTOJL,O,O,X,O,X,X,X,X,X,X
IZSLTJO,O,X,X,O,O,X,X,X,X,X
IZSLTOJ,O,X,X,O,O,O,X,X,X,X
IZSLJTO,O,X,X,O,O,X,X,X,X,X
IZSLJOT,O,X,X,O,O,X,X,X,X,X
IZSLOTJ,O,X,X,O,O,O,X,X,X,X
IZSLOJT,O,X,X,O,O,X,X,X,X,X
IZSJTLO,O,X,X,O,X,X,X,X,X,X
IZSJTOL,O,O,X,O,X,X,X,X,X,X
IZSJLTO,O,X,X,O,O,X,X,X,X,X
IZSJLOT,O,X,X,O,O,X,X,X,X,X
IZSJOTL,O,X,X,O,X,X,X,X,X,X
IZSJOLT,O,X,X,O,O,X,X,X,X,X
IZSOTLJ,O,X,X,O,X,O,X,X,X,X
IZSOTJL,O,X,X,O,X,X,X,X,X,X
IZSOLTJ,O,X,X,O,O,O,X,X,X,X
IZSOLJT,O,X,X,O,O,X,X,X,X,X
IZSOJTL,O,X,X,O,X,X,X,X,X,X
IZSOJLT,O,X,X,O,O,X,X,X,X,X
IZOTLJS,X,X,X,O,O,O,X,X,X,X
IZOTLSJ,X,X,X,O,O,O,X,X,X,X
IZOTJLS,X,X,X,O,O,O,X,X,X,X
IZOTJSL,O,X,X,O,X,X,X,X,X,X
IZOTSLJ,O,X,X,O,X,O,X,X,X,X
IZOTSJL,O,X,X,O,X,X,X,X,X,X
IZOLTJS,X,X,X,O,O,O,X,X,X,X
IZOLTSJ,X,X,X,O,O,O,X,X,X,X
IZOLJTS,X,X,X,O,O,O,X,X,X,X
IZOLJST,O,X,X,O,O,X,X,O,X,X
IZOLSTJ,O,X,X,O,O,O,X,X,X,X
IZOLSJT,O,X,X,O,O,X,X,X,X,X
IZOJTLS,X,X,X,O,O,O,X,X,X,X
IZOJTSL,O,X,X,O,X,X,X,X,X,X
IZOJLTS,X,X,X,O,O,O,X,X,X,X
IZOJLST,O,X,X,O,O,X,X,O,X,X
IZOJSTL,O,X,X,O,X,X,X,X,X,X
IZOJSLT,O,X,X,O,O,X,X,X,X,X
IZOSTLJ,O,X,X,O,X,O,X,X,X,X
IZOSTJL,O,X,X,O,X,X,X,X,X,X
IZOSLTJ,O,X,X,O,O,O,X,X,X,X
IZOSLJT,O,X,X,O,O,X,X,X,X,X
IZOSJTL,O,X,X,O,X,X,X,X,X,X
IZOSJLT,O,X,X,O,O,X,X,X,X,X
IOTLJSZ,X,O,X,X,X,X,X,O,O,O
IOTLJZS,X,O,O,X,X,O,X,X,O,X
IOTLSJZ,X,O,X,X,X,X,X,X,X,X
IOTLSZJ,X,X,X,O,X,O,X,X,X,X
IOTLZJS,X,X,X,O,X,O,X,X,X,X
IOTLZSJ,X,X,X,O,X,O,X,X,X,X
IOTJLSZ,X,O,O,X,X,X,X,O,O,O
IOTJLZS,X,O,O,X,X,O,X,X,O,X
IOTJSLZ,X,O,O,X,X,X,X,X,O,X
IOTJSZL,X,O,X,X,X,X,X,X,O,X
IOTJZLS,X,O,O,X,X,O,X,X,O,X
IOTJZSL,X,X,X,X,X,X,X,X,O,X
IOTSLJZ,X,O,X,X,X,X,X,X,X,X
IOTSLZJ,X,X,X,O,X,O,X,X,X,X
IOTSJLZ,X,O,X,X,X,X,X,X,O,X
IOTSJZL,X,O,X,O,X,X,X,X,O,X
IOTSZLJ,X,X,X,O,X,O,X,X,X,X
IOTSZJL,X,O,X,O,X,X,X,X,X,X
IOTZLJS,X,X,X,O,X,O,X,X,X,X
IOTZLSJ,X,X,X,O,X,O,X,X,X,X
IOTZJLS,X,O,X,O,X,O,X,X,O,X
IOTZJSL,X,X,X,O,X,X,X,X,O,X
IOTZSLJ,X,X,X,O,X,O,X,X,X,X
IOTZSJL,X,O,X,O,X,X,X,X,X,X
IOLTJSZ,X,X,X,X,X,X,O,O,O,O
IOLTJZS,X,X,O,X,X,O,X,X,O,X
IOLTSJZ,X,X,X,X,X,X,O,X,X,X
IOLTSZJ,X,X,X,O,X,O,X,X,X,X
IOLTZJS,X,X,X,O,X,O,X,X,X,X
IOLTZSJ,X,X,X,O,X,O,X,X,X,X
IOLJTSZ,X,X,X,X,X,X,O,O,X,O
IOLJTZS,X,X,O,X,X,O,X,X,X,X
IOLJSTZ,X,X,X,X,X,X,O,O,X,O
IOLJSZT,X,X,X,O,O,X,O,O,X,O
IOLJZTS,X,X,O,O,X,O,X,X,X,X
IOLJZST,X,X,O,O,O,X,O,O,X,O
IOLSTJZ,X,X,X,X,X,X,O,X,X,X
IOLSTZJ,X,X,X,O,X,O,X,X,X,X
IOLSJTZ,X,X,X,X,X,X,O,O,X,O
IOLSJZT,X,X,X,O,O,X,O,O,X,O
IOLSZTJ,X,X,X,O,X,O,X,X,X,X
IOLSZJT,X,X,X,O,O,X,O,X,X,X
IOLZTJS,X,X,X,O,X,O,X,X,X,X
IOLZTSJ,X,X,X,O,X,O,X,X,X,X
IOLZJTS,X,X,X,O,X,O,X,X,X,X
IOLZJST,X,X,X,O,O,X,O,O,X,O
IOLZSTJ,X,X,X,O,X,O,X,X,X,X
IOLZSJT,X,X,X,O,O,X,O,X,X,X
IOJTLSZ,X,O,O,X,X,X,X,O,O,O
IOJTLZS,X,O,O,X,X,O,X,X,O,X
IOJTSLZ,O,O,O,X,X,X,X,X,O,X
IOJTSZL,O,X,X,X,X,X,X,X,O,X
IOJTZLS,X,O,O,X,X,O,X,X,O,X
IOJTZSL,O,X,X,X,X,X,X,X,O,X
IOJLTSZ,X,X,O,X,X,X,X,O,X,O
IOJLTZS,X,X,O,X,X,O,X,X,X,X
IOJLSTZ,O,X,O,X,X,X,X,O,X,O
IOJLSZT,O,X,O,O,X,X,X,O,X,O
IOJLZTS,X,X,O,O,X,O,X,X,X,X
IOJLZST,O,X,O,O,X,X,X,O,X,O
IOJSTLZ,O,O,O,X,X,X,X,X,X,X
IOJSTZL,O,O,X,O,X,X,X,X,X,X
IOJSLTZ,O,X,O,X,X,X,X,O,X,O
IOJSLZT,O,X,O,O,X,X,X,O,X,O
IOJSZTL,O,X,X,O,X,X,X,X,X,X
IOJSZLT,O,X,X,O,X,X,X,X,X,X
IOJZTLS,X,X,O,O,X,O,X,X,X,X
IOJZTSL,O,X,X,O,X,X,X,X,X,X
IOJZLTS,X,X,O,O,X,O,X,X,X,X
IOJZLST,O,X,O,O,X,X,X,O,X,O
IOJZSTL,O,X,X,O,X,X,X,X,X,X
IOJZSLT,O,X,X,O,X,X,X,X,X,X
IOSTLJZ,X,O,X,X,X,X,X,X,X,X
IOSTLZJ,X,X,X,O,X,O,X,X,X,X
IOSTJLZ,X,O,X,X,X,X,X,X,O,X
IOSTJZL,X,O,X,O,X,X,X,X,O,X
IOSTZLJ,X,X,X,O,X,O,X,X,X,X
IOSTZJL,X,O,X,O,X,X,X,X,X,X
IOSLTJZ,X,X,X,X,X,X,O,X,X,X
IOSLTZJ,X,X,X,O,X,O,X,X,X,X
IOSLJTZ,X,X,X,X,X,X,O,O,X,O
IOSLJZT,O,X,X,O,O,X,O,O,X,O
IOSLZTJ,X,X,X,O,X,O,X,X,X,X
IOSLZJT,O,X,X,O,O,X,O,X,X,X
IOSJTLZ,X,O,X,X,X,X,X,X,X,X
IOSJTZL,X,O,X,O,X,X,X,X,X,X
IOSJLTZ,X,X,X,X,X,X,X,O,X,O
IOSJLZT,O,X,X,O,X,X,X,O,X,O
IOSJZTL,X,X,X,O,X,X,X,X,X,X
IOSJZLT,O,X,X,O,X,X,X,X,X,X
IOSZTLJ,X,X,X,O,X,O,X,X,X,X
IOSZTJL,X,X,X,O,X,X,X,X,X,X
IOSZLTJ,X,X,X,O,X,O,X,X,X,X
IOSZLJT,O,X,X,O,X,X,X,X,X,X
IOSZJTL,X,X,X,O,X,X,X,X,X,X
IOSZJLT,O,X,X,O,X,X,X,X,X,X
IOZTLJS,X,X,X,O,O,O,X,X,X,X
IOZTLSJ,X,X,X,O,O,O,X,X,X,X
IOZTJLS,X,X,X,O,O,O,X,X,O,X
IOZTJSL,O,X,X,O,X,X,X,X,O,X
IOZTSLJ,O,X,X,O,X,O,X,X,X,X
IOZTSJL,O,X,X,O,X,X,X,X,X,X
IOZLTJS,X,X,X,O,O,O,X,X,X,X
