sequence,v115@ThA8EeB8AeI8JeZEJvhFupBFmBXnBToB0qBSxB,v115@ThA8EeB8AeI8Jei/IvhFRhB+nBTjBcpBlqB3rB,v115@ThA8EeB8AeI8JeZEJvhFupBfsB6sBToBlqBUrB
TZIOLJS,X,O,X
TZIOLSJ,X,X,X
TZIOJLS,X,O,X
TZIOJSL,X,X,X
TZIOSLJ,X,X,X
TZIOSJL,X,X,X
TZLIJSO,X,X,X
TZLIJOS,X,O,X
TZLISJO,X,O,X
TZLISOJ,X,X,X
TZLIOJS,X,O,X
TZLIOSJ,X,X,X
TZLJISO,X,X,X
TZLJIOS,X,O,X
TZLJSIO,X,O,X
TZLJSOI,X,O,X
TZLJOIS,X,O,X
TZLJOSI,X,O,X
TZLSIJO,X,O,X
TZLSIOJ,X,X,X
TZLSJIO,X,O,X
TZLSJOI,X,O,X
TZLSOIJ,X,X,X
TZLSOJI,X,X,X
TZLOIJS,X,O,X
TZLOISJ,X,X,X
TZLOJIS,X,O,X
TZLOJSI,X,O,X
TZLOSIJ,X,X,X
TZLOSJI,X,X,X
TZJILSO,X,X,X
TZJILOS,X,O,X
TZJISLO,X,X,X
TZJISOL,X,X,X
TZJIOLS,X,O,X
TZJIOSL,X,X,X
TZJLISO,X,X,X
TZJLIOS,X,O,X
TZJLSIO,X,O,X
TZJLSOI,X,O,X
TZJLOIS,X,O,X
TZJLOSI,X,O,X
TZJSILO,X,O,X
TZJSIOL,X,O,X
TZJSLIO,X,O,X
TZJSLOI,X,O,X
TZJSOIL,X,O,X
TZJSOLI,X,O,X
TZJOILS,X,O,X
TZJOISL,X,X,X
TZJOLIS,X,O,X
TZJOLSI,X,O,X
TZJOSIL,X,O,X
TZJOSLI,X,O,X
TZSILJO,X,O,X
TZSILOJ,X,X,X
TZSIJLO,X,O,X
TZSIJOL,X,O,X
TZSIOLJ,X,X,X
TZSIOJL,X,X,X
TZSLIJO,X,O,X
TZSLIOJ,X,X,X
TZSLJIO,X,O,X
TZSLJOI,X,O,X
TZSLOIJ,X,X,X
TZSLOJI,X,X,X
TZSJILO,X,O,X
TZSJIOL,X,O,X
TZSJLIO,X,O,X
TZSJLOI,X,O,X
TZSJOIL,X,O,X
TZSJOLI,X,O,X
TZSOILJ,X,X,X
TZSOIJL,X,X,X
TZSOLIJ,X,X,X
TZSOLJI,X,X,X
TZSOJIL,X,X,X
TZSOJLI,X,X,X
TZOILJS,X,O,X
TZOILSJ,X,X,X
TZOIJLS,X,O,X
TZOIJSL,X,X,X
TZOISLJ,X,X,X
TZOISJL,X,X,X
TZOLIJS,X,O,X
TZOLISJ,X,X,X
TZOLJIS,X,O,X
TZOLJSI,X,O,X
TZOLSIJ,X,X,X
TZOLSJI,X,X,X
TZOJILS,X,O,X
TZOJISL,X,X,X
TZOJLIS,X,O,X
TZOJLSI,X,O,X
TZOJSIL,X,O,X
TZOJSLI,X,O,X
