sequence,v115@GhA8IeB8EeA8AeD8DeD8JeT/IvhFxgBXiB8nBmlBFq?BSwB,v115@GhA8IeB8EeA8AeD8DeD8Jei/IvhFfmBxhB8nBzkBur?B1vB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFUgBamBRiB+rBln?BTqB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFRgBFiB8nBKqBzl?B+rB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFFgBxhB8nBarBur?BTqB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFUgBRiB6rBlnBzl?B2vB,v115@GhA8IeB8EeA8AeD8DeD8Je/EJvhFRgB8nBOqBlmBzq?BCsB,v115@GhA8IeB8EeA8AeD8DeD8JeT/IvhF3gB8nBlmBRqB2v?BCsB
ISLTZOJ,X,X,X,O,O,O,X,O
ISLTOJZ,X,X,X,X,X,O,X,X
ISLTOZJ,X,X,X,X,X,O,X,O
ISLJTZO,X,X,X,O,O,O,X,X
ISLJTOZ,X,X,X,X,X,O,X,X
ISLJZTO,X,X,X,O,O,O,X,X
ISLJZOT,X,X,X,O,O,X,X,X
ISLJOTZ,X,X,X,O,X,X,X,X
ISLJOZT,X,X,X,O,X,X,X,X
ISLZTJO,X,X,X,O,O,O,X,X
ISLZTOJ,X,X,X,O,O,O,X,O
ISLZJTO,X,X,X,O,O,X,X,X
ISLZJOT,X,X,X,O,O,X,X,X
ISLZOTJ,X,X,X,O,O,X,X,O
ISLZOJT,X,X,X,O,X,X,X,X
ISLOTJZ,X,X,X,O,X,X,X,X
ISLOTZJ,X,X,X,O,X,X,X,O
ISLOJTZ,X,X,X,O,X,X,X,X
ISLOJZT,X,X,X,O,X,X,X,X
ISLOZTJ,X,X,X,O,X,X,X,O
ISLOZJT,X,X,X,O,X,X,X,X
ISJTLZO,X,X,O,X,X,O,X,X
ISJTLOZ,X,X,O,X,X,O,X,X
ISJTZLO,X,X,O,O,O,O,X,X
ISJTZOL,X,X,O,O,O,X,O,O
ISJTOLZ,X,X,O,X,X,O,X,X
ISJTOZL,X,X,O,X,X,X,X,O
ISJLTZO,X,X,O,O,O,O,X,X
ISJLTOZ,X,X,O,X,X,O,X,X
ISJLZTO,X,X,O,O,O,O,X,X
ISJLZOT,X,X,O,O,O,X,X,X
ISJLOTZ,X,X,O,O,X,X,X,X
ISJLOZT,X,X,O,O,X,X,X,X
ISJZTLO,X,X,O,O,O,O,X,X
ISJZTOL,X,X,O,O,O,X,O,O
ISJZLTO,X,X,O,O,O,O,X,X
ISJZLOT,X,X,O,O,O,X,X,X
ISJZOTL,X,X,O,O,O,X,O,O
ISJZOLT,X,X,O,X,O,X,O,X
ISJOTLZ,X,X,O,X,X,X,O,X
ISJOTZL,X,X,O,X,O,X,O,O
ISJOLTZ,X,X,O,X,O,X,O,X
ISJOLZT,X,X,O,X,O,X,O,X
ISJOZTL,X,X,O,O,O,X,O,O
ISJOZLT,X,X,O,X,O,X,O,X
ISZTLJO,X,X,X,O,O,O,X,X
ISZTLOJ,X,X,X,O,O,O,X,O
ISZTJLO,X,X,O,O,O,O,X,X
ISZTJOL,X,X,O,O,O,X,O,O
ISZTOLJ,X,X,X,O,O,O,X,O
ISZTOJL,X,X,O,O,O,X,O,O
ISZLTJO,X,X,X,O,O,O,X,X
ISZLTOJ,X,X,X,O,O,O,X,O
ISZLJTO,X,X,O,O,O,X,X,X
ISZLJOT,X,X,O,O,O,X,X,X
ISZLOTJ,X,X,X,O,O,X,X,O
ISZLOJT,X,X,X,O,X,X,X,X
ISZJTLO,X,X,O,O,O,O,X,X
ISZJTOL,X,X,O,O,O,X,O,O
ISZJLTO,X,X,O,O,O,O,X,X
ISZJLOT,X,X,O,O,O,X,X,X
ISZJOTL,X,X,X,O,O,X,O,O
ISZJOLT,X,X,O,X,O,X,O,X
ISZOTLJ,X,X,X,O,O,X,X,O
ISZOTJL,X,X,O,O,O,X,O,O
ISZOLTJ,X,X,X,O,O,X,X,O
ISZOLJT,X,X,O,O,O,X,X,X
ISZOJTL,X,X,O,O,O,X,O,O
ISZOJLT,X,X,O,X,O,X,O,X
ISOTLJZ,X,X,X,X,O,X,X,X
ISOTLZJ,X,X,X,X,O,X,X,O
ISOTJLZ,X,X,O,X,X,X,O,X
ISOTJZL,X,X,O,X,O,X,O,O
ISOTZLJ,X,X,X,X,O,X,X,O
ISOTZJL,X,X,O,X,O,X,O,O
ISOLTJZ,X,X,X,X,O,X,X,X
ISOLTZJ,X,X,X,X,O,X,X,O
ISOLJTZ,X,X,X,X,O,X,X,X
ISOLJZT,X,X,X,O,O,X,X,X
ISOLZTJ,X,X,X,O,O,X,X,O
ISOLZJT,X,X,X,O,O,X,X,X
ISOJTLZ,X,X,O,X,X,X,O,X
ISOJTZL,X,X,O,X,O,X,O,O
ISOJLTZ,X,X,O,X,O,X,O,X
ISOJLZT,X,X,O,X,O,X,O,X
ISOJZTL,X,X,O,O,O,X,O,O
ISOJZLT,X,X,O,X,O,X,O,X
ISOZTLJ,X,X,X,O,O,X,X,O
ISOZTJL,X,X,O,O,O,X,O,O
ISOZLTJ,X,X,X,O,O,X,X,O
ISOZLJT,X,X,O,O,O,X,X,X
ISOZJTL,X,X,O,O,O,X,O,O
ISOZJLT,X,X,O,X,O,X,O,X
IZTLJSO,O,O,X,O,X,X,X,X
IZTLJOS,O,X,X,O,X,X,X,X
IZTLSJO,O,O,X,O,O,X,X,X
IZTLSOJ,O,O,X,O,O,X,X,O
IZTLOJS,O,X,X,X,X,X,X,X
IZTLOSJ,O,X,X,X,X,X,X,O
IZTJLSO,O,O,X,O,O,X,X,X
IZTJLOS,O,X,X,O,X,X,X,X
IZTJSLO,O,O,X,O,O,X,X,X
IZTJSOL,O,O,X,O,O,X,O,O
IZTJOLS,O,O,X,O,X,X,X,X
IZTJOSL,O,O,X,X,O,X,X,O
IZTSLJO,O,O,X,O,O,X,X,X
IZTSLOJ,O,O,X,O,O,X,X,O
IZTSJLO,O,O,X,O,O,X,X,X
IZTSJOL,O,O,X,O,O,X,O,O
IZTSOLJ,O,O,X,O,O,X,X,O
IZTSOJL,O,O,X,O,O,X,O,O
IZTOLJS,O,O,X,X,X,X,X,X
IZTOLSJ,O,O,X,X,X,X,X,O
IZTOJLS,O,O,X,X,X,X,X,X
IZTOJSL,O,O,X,X,X,X,O,O
IZTOSLJ,O,O,X,X,O,X,X,O
IZTOSJL,O,O,X,X,O,X,O,O
IZLTJSO,O,O,X,O,X,X,X,X
IZLTJOS,O,X,X,O,X,X,X,X
IZLTSJO,O,O,X,O,O,X,X,X
IZLTSOJ,O,O,X,O,O,X,X,O
IZLTOJS,O,X,X,X,X,X,X,X
IZLTOSJ,O,X,X,X,X,X,X,O
IZLJTSO,O,O,X,O,O,X,X,X
IZLJTOS,O,X,X,O,X,X,X,X
IZLJSTO,O,X,X,O,O,X,X,X
IZLJSOT,O,X,X,O,O,X,X,X
IZLJOTS,O,O,X,O,X,X,X,X
IZLJOST,O,X,X,O,O,X,X,X
IZLSTJO,O,X,X,O,O,X,X,X
IZLSTOJ,O,X,X,O,O,X,X,O
IZLSJTO,O,X,X,O,O,X,X,X
IZLSJOT,O,X,X,O,O,X,X,X
IZLSOTJ,O,X,X,O,O,X,X,O
IZLSOJT,O,X,X,O,X,X,X,X
IZLOTJS,O,O,X,X,X,X,X,X
IZLOTSJ,O,O,X,X,X,X,X,O
IZLOJTS,O,O,X,O,X,X,X,X
IZLOJST,O,X,X,O,X,X,X,X
IZLOSTJ,O,X,X,O,O,X,X,O
IZLOSJT,O,X,X,O,X,X,X,X
IZJTLSO,X,O,X,O,O,X,X,X
IZJTLOS,X,X,X,O,X,X,X,X
IZJTSLO,X,O,X,O,O,X,X,X
IZJTSOL,X,O,X,O,O,X,O,O
IZJTOLS,X,O,X,O,X,X,X,X
IZJTOSL,X,O,X,X,O,X,X,O
IZJLTSO,X,O,X,O,O,X,X,X
IZJLTOS,X,X,X,O,X,X,X,X
IZJLSTO,X,X,X,O,O,X,X,X
IZJLSOT,X,X,X,O,O,X,X,X
IZJLOTS,X,O,X,O,X,X,X,X
IZJLOST,X,X,X,O,O,X,X,X
IZJSTLO,X,X,X,O,O,X,X,X
IZJSTOL,X,X,X,O,O,X,O,O
IZJSLTO,X,X,X,O,O,X,X,X
IZJSLOT,X,X,X,O,O,X,X,X
IZJSOTL,X,X,X,O,O,X,O,O
IZJSOLT,X,X,X,X,O,X,O,X
IZJOTLS,X,O,X,O,X,X,X,X
IZJOTSL,X,O,X,X,O,X,O,O
IZJOLTS,X,O,X,O,O,X,X,X
IZJOLST,X,X,X,O,O,X,X,X
IZJOSTL,X,X,X,X,O,X,O,O
IZJOSLT,X,X,X,X,O,X,O,X
IZSTLJO,O,X,X,O,O,X,X,X
IZSTLOJ,O,X,X,O,O,X,X,O
IZSTJLO,O,X,X,O,O,X,X,X
IZSTJOL,O,X,X,O,O,X,O,O
IZSTOLJ,O,X,X,O,O,X,X,O
IZSTOJL,O,X,X,O,O,X,O,O
IZSLTJO,O,X,X,O,O,X,X,X
IZSLTOJ,O,X,X,O,O,X,X,O
IZSLJTO,O,X,X,O,O,X,X,X
IZSLJOT,O,X,X,O,O,X,X,X
IZSLOTJ,O,X,X,O,O,X,X,O
IZSLOJT,O,X,X,O,X,X,X,X
IZSJTLO,O,X,X,O,O,X,X,X
IZSJTOL,O,X,X,O,O,X,O,O
IZSJLTO,O,X,X,O,O,X,X,X
IZSJLOT,O,X,X,O,O,X,X,X
IZSJOTL,O,X,X,O,O,X,O,O
IZSJOLT,O,X,X,X,O,X,O,X
IZSOTLJ,O,X,X,O,O,X,X,O
IZSOTJL,O,X,X,O,O,X,O,O
IZSOLTJ,O,X,X,O,O,X,X,O
IZSOLJT,O,X,X,O,O,X,X,X
IZSOJTL,O,X,X,O,O,X,O,O
IZSOJLT,O,X,X,X,O,X,O,X
IZOTLJS,O,O,X,X,X,X,X,X
IZOTLSJ,O,O,X,X,X,X,X,O
IZOTJLS,O,O,X,X,X,X,X,X
IZOTJSL,O,O,X,X,X,X,O,O
IZOTSLJ,O,O,X,X,O,X,X,O
IZOTSJL,O,O,X,X,O,X,O,O
IZOLTJS,O,O,X,X,X,X,X,X
IZOLTSJ,O,O,X,X,O,X,X,O
IZOLJTS,O,O,X,X,O,X,X,X
IZOLJST,O,X,X,X,O,X,X,X
IZOLSTJ,O,X,X,X,O,X,X,O
IZOLSJT,O,X,X,X,O,X,X,X
IZOJTLS,X,O,X,X,X,X,X,X
IZOJTSL,X,O,X,X,O,X,O,O
IZOJLTS,X,O,X,X,O,X,X,X
IZOJLST,X,X,X,X,O,X,X,X
IZOJSTL,X,X,X,X,O,X,O,O
IZOJSLT,X,X,X,X,O,X,O,X
IZOSTLJ,O,X,X,X,O,X,X,O
IZOSTJL,O,X,X,X,O,X,O,O
IZOSLTJ,O,X,X,X,O,X,X,O
IZOSLJT,O,X,X,X,O,X,X,X
IZOSJTL,O,X,X,X,O,X,O,O
IZOSJLT,O,X,X,X,O,X,O,X
IOTLJSZ,O,O,X,X,X,X,X,X
IOTLJZS,O,O,X,X,X,X,X,X
IOTLSJZ,X,O,X,X,X,X,X,X
IOTLSZJ,X,O,X,X,X,X,X,O
IOTLZJS,O,O,X,X,X,X,X,X
IOTLZSJ,O,O,X,X,X,X,X,O
IOTJLSZ,X,O,O,X,X,X,X,X
IOTJLZS,O,O,O,X,X,X,X,X
IOTJSLZ,X,O,O,X,X,X,O,X
IOTJSZL,O,O,O,X,X,X,O,O
IOTJZLS,O,O,O,X,X,X,X,X
IOTJZSL,O,O,O,X,X,X,O,O
IOTSLJZ,X,O,X,X,X,X,X,X
IOTSLZJ,X,O,X,X,X,X,X,O
IOTSJLZ,X,O,O,X,X,X,O,X
IOTSJZL,X,O,O,X,X,X,O,O
IOTSZLJ,X,O,X,X,X,X,X,O
IOTSZJL,X,O,O,X,X,X,O,O
IOTZLJS,O,O,X,X,X,X,X,X
IOTZLSJ,O,O,X,X,X,X,X,O
IOTZJLS,O,O,X,X,X,X,X,X
IOTZJSL,O,O,X,X,X,X,O,O
IOTZSLJ,O,O,X,X,X,X,X,O
IOTZSJL,O,O,X,X,X,X,O,O
IOLTJSZ,O,O,X,X,X,X,X,X
IOLTJZS,O,O,X,X,X,X,X,X
IOLTSJZ,X,O,X,X,X,X,X,X
IOLTSZJ,X,O,X,X,X,X,X,O
IOLTZJS,O,O,X,X,X,X,X,X
IOLTZSJ,O,O,X,X,X,X,X,O
IOLJTSZ,X,O,X,X,X,X,X,X
IOLJTZS,O,O,X,X,X,X,X,X
IOLJSTZ,X,X,X,X,O,X,X,X
IOLJSZT,O,X,X,X,O,X,X,X
IOLJZTS,O,O,X,X,O,X,X,X
IOLJZST,O,X,X,X,O,X,X,X
IOLSTJZ,X,X,X,X,O,X,X,X
IOLSTZJ,X,X,X,X,O,X,X,O
IOLSJTZ,X,X,X,X,O,X,X,X
IOLSJZT,X,X,X,X,O,X,X,X
IOLSZTJ,X,X,X,X,O,X,X,O
IOLSZJT,X,X,X,X,O,X,X,X
IOLZTJS,O,O,X,X,X,X,X,X
IOLZTSJ,O,O,X,X,O,X,X,O
IOLZJTS,O,O,X,X,O,X,X,X
IOLZJST,O,X,X,X,O,X,X,X
IOLZSTJ,O,X,X,X,O,X,X,O
IOLZSJT,O,X,X,X,O,X,X,X
IOJTLSZ,X,O,O,X,X,X,X,X
IOJTLZS,X,O,O,X,X,X,X,X
IOJTSLZ,X,O,O,X,X,X,O,X
IOJTSZL,X,O,O,X,X,X,O,O
IOJTZLS,X,O,O,X,X,X,X,X
IOJTZSL,X,O,O,X,X,X,O,O
IOJLTSZ,X,O,O,X,X,X,X,X
IOJLTZS,X,O,O,X,X,X,X,X
IOJLSTZ,X,X,O,X,O,X,X,X
IOJLSZT,X,X,O,X,O,X,X,X
IOJLZTS,X,O,X,X,O,X,X,X
IOJLZST,X,X,O,X,O,X,X,X
IOJSTLZ,X,X,O,X,X,X,O,X
IOJSTZL,X,X,O,X,O,X,O,O
IOJSLTZ,X,X,O,X,O,X,O,X
IOJSLZT,X,X,O,X,O,X,O,X
IOJSZTL,X,X,O,X,O,X,O,O
IOJSZLT,X,X,O,X,O,X,O,X
IOJZTLS,X,O,X,X,X,X,X,X
IOJZTSL,X,O,X,X,O,X,O,O
IOJZLTS,X,O,X,X,O,X,X,X
IOJZLST,X,X,O,X,O,X,X,X
IOJZSTL,X,X,O,X,O,X,O,O
IOJZSLT,X,X,O,X,O,X,O,X
IOSTLJZ,X,X,X,X,O,X,X,X
IOSTLZJ,X,X,X,X,O,X,X,O
IOSTJLZ,X,X,O,X,X,X,O,X
IOSTJZL,X,X,O,X,O,X,O,O
IOSTZLJ,X,X,X,X,O,X,X,O
IOSTZJL,X,X,O,X,O,X,O,O
IOSLTJZ,X,X,X,X,O,X,X,X
IOSLTZJ,X,X,X,X,O,X,X,O
IOSLJTZ,X,X,X,X,O,X,X,X
IOSLJZT,X,X,X,X,O,X,X,X
IOSLZTJ,X,X,X,X,O,X,X,O
IOSLZJT,X,X,X,X,O,X,X,X
IOSJTLZ,X,X,O,X,X,X,O,X
IOSJTZL,X,X,O,X,O,X,O,O
IOSJLTZ,X,X,O,X,O,X,O,X
IOSJLZT,X,X,O,X,O,X,O,X
IOSJZTL,X,X,O,X,O,X,O,O
IOSJZLT,X,X,O,X,O,X,O,X
IOSZTLJ,X,X,X,X,O,X,X,O
IOSZTJL,X,X,O,X,O,X,O,O
IOSZLTJ,X,X,X,X,O,X,X,O
IOSZLJT,X,X,O,X,O,X,X,X
IOSZJTL,X,X,O,X,O,X,O,O
IOSZJLT,X,X,O,X,O,X,O,X
IOZTLJS,O,O,X,X,X,X,X,X
IOZTLSJ,O,O,X,X,X,X,X,O
IOZTJLS,O,O,X,X,X,X,X,X
IOZTJSL,O,O,X,X,X,X,O,O
IOZTSLJ,O,O,X,X,O,X,X,O
IOZTSJL,O,O,X,X,O,X,O,O
IOZLTJS,O,O,X,X,X,X,X,X
IOZLTSJ,O,O,X,X,O,X,X,O
IOZLJTS,O,O,X,X,O,X,X,X
IOZLJST,O,X,X,X,O,X,X,X
IOZLSTJ,O,X,X,X,O,X,X,O
IOZLSJT,O,X,X,X,O,X,X,X
IOZJTLS,X,O,X,X,X,X,X,X
IOZJTSL,X,O,X,X,O,X,O,O
IOZJLTS,X,O,X,X,O,X,X,X
IOZJLST,X,X,X,X,O,X,X,X
IOZJSTL,X,X,X,X,O,X,O,O
IOZJSLT,X,X,X,X,O,X,O,X
IOZSTLJ,O,X,X,X,O,X,X,O
IOZSTJL,O,X,X,X,O,X,O,O
IOZSLTJ,O,X,X,X,O,X,X,O
IOZSLJT,O,X,X,X,O,X,X,X
IOZSJTL,O,X,X,X,O,X,O,O
IOZSJLT,O,X,X,X,O,X,O,X
LTIJSZO,O,O,O,X,X,O,X,X
LTIJSOZ,O,X,O,X,X,O,X,X
LTIJZSO,O,O,O,X,X,O,X,X
LTIJZOS,O,X,O,X,X,X,X,X
LTIJOSZ,O,X,O,X,X,O,X,X
LTIJOZS,O,X,O,X,X,X,X,X
LTISJZO,X,O,O,X,X,O,X,X
LTISJOZ,X,X,O,X,X,O,X,X
LTISZJO,X,O,X,X,X,O,X,X
LTISZOJ,X,O,X,X,X,O,X,O
LTISOJZ,X,X,X,X,X,O,X,X
LTISOZJ,X,X,X,X,X,O,X,O
LTIZJSO,O,O,X,X,X,O,X,X
LTIZJOS,O,X,X,X,X,X,X,X
LTIZSJO,O,O,X,X,X,O,X,X
LTIZSOJ,O,O,X,X,X,O,X,O
LTIZOJS,O,X,X,X,X,X,X,X
LTIZOSJ,O,X,X,X,X,X,X,O
LTIOJSZ,O,X,X,X,X,O,X,X
LTIOJZS,O,X,X,X,X,X,X,X
LTIOSJZ,X,X,X,X,X,O,X,X
LTIOSZJ,X,X,X,X,X,O,X,O
LTIOZJS,O,X,X,X,X,X,X,X
LTIOZSJ,O,X,X,X,X,X,X,O
LTJISZO,O,O,O,X,X,O,X,X
LTJISOZ,O,X,O,X,X,O,X,X
LTJIZSO,O,O,O,X,X,O,X,X
LTJIZOS,O,X,O,X,X,X,X,X
LTJIOSZ,O,X,O,X,X,O,X,X
LTJIOZS,O,X,O,X,X,X,X,X
LTJSIZO,O,O,O,O,O,O,X,X
LTJSIOZ,O,X,O,X,X,O,X,X
LTJSZIO,O,O,O,O,O,O,X,X
LTJSZOI,O,O,O,O,O,O,O,X
LTJSOIZ,O,O,O,O,X,O,X,X
LTJSOZI,O,O,O,O,O,O,X,X
LTJZISO,O,O,O,O,O,O,X,X
LTJZIOS,O,X,O,O,X,X,X,X
LTJZSIO,O,O,O,O,O,O,X,X
LTJZSOI,O,O,O,O,O,O,O,X
LTJZOIS,O,O,O,O,X,X,X,X
LTJZOSI,O,O,O,O,X,X,X,X
LTJOISZ,O,O,O,X,X,O,X,X
LTJOIZS,O,O,O,X,X,X,X,X
LTJOSIZ,O,O,O,O,X,O,X,X
LTJOSZI,O,O,O,O,X,O,X,X
LTJOZIS,O,O,O,O,X,X,X,X
LTJOZSI,O,O,O,O,X,X,X,X
LTSIJZO,X,O,O,O,O,O,X,X
LTSIJOZ,X,X,O,X,X,O,X,X
LTSIZJO,X,O,X,O,O,O,X,X
LTSIZOJ,X,O,X,O,O,O,X,O
LTSIOJZ,X,X,X,X,X,O,X,X
LTSIOZJ,X,X,X,X,X,O,X,O
LTSJIZO,O,O,O,O,O,O,X,X
LTSJIOZ,O,X,O,X,X,O,X,X
LTSJZIO,O,O,O,O,O,O,X,X
LTSJZOI,O,O,O,O,O,O,O,X
LTSJOIZ,O,O,O,O,X,O,X,X
LTSJOZI,O,O,O,O,O,O,X,X
LTSZIJO,O,O,X,O,O,O,X,X
LTSZIOJ,O,O,X,O,O,O,X,O
LTSZJIO,O,O,O,O,O,O,X,X
LTSZJOI,O,O,O,O,O,O,O,X
LTSZOIJ,O,O,X,O,O,O,X,O
LTSZOJI,O,O,O,O,O,O,O,X
LTSOIJZ,X,O,X,O,X,O,X,X
LTSOIZJ,X,O,X,O,X,O,X,X
LTSOJIZ,O,O,O,O,X,O,O,X
LTSOJZI,O,O,O,O,O,O,O,X
LTSOZIJ,O,O,X,O,O,O,X,O
LTSOZJI,O,O,O,O,O,O,O,X
LTZIJSO,O,O,X,O,X,O,X,X
LTZIJOS,O,X,X,O,X,X,X,X
LTZISJO,O,O,X,O,O,O,X,X
LTZISOJ,O,O,X,O,O,O,X,O
LTZIOJS,O,X,X,X,X,X,X,X
LTZIOSJ,O,X,X,X,X,X,X,O
LTZJISO,O,O,X,O,O,O,X,X
LTZJIOS,O,X,X,O,X,X,X,X
LTZJSIO,O,O,X,O,O,O,X,X
LTZJSOI,O,O,X,O,O,O,O,X
LTZJOIS,O,O,X,O,X,X,X,X
LTZJOSI,O,O,X,O,X,X,X,X
LTZSIJO,O,O,X,O,O,O,X,X
LTZSIOJ,O,O,X,O,O,O,X,O
LTZSJIO,O,O,X,O,O,O,X,X
LTZSJOI,O,O,X,O,O,O,O,X
LTZSOIJ,O,O,X,O,O,O,X,O
LTZSOJI,O,O,X,O,O,O,O,X
LTZOIJS,O,O,X,X,X,X,X,X
LTZOISJ,O,O,X,X,X,X,X,O
LTZOJIS,O,O,X,O,X,X,X,X
LTZOJSI,O,O,X,O,X,X,O,X
LTZOSIJ,O,O,X,O,X,X,X,O
LTZOSJI,O,O,X,O,X,X,O,X
LTOIJSZ,O,O,X,X,X,O,X,X
LTOIJZS,O,O,X,X,X,X,X,X
LTOISJZ,X,O,X,X,X,O,X,X
LTOISZJ,X,O,X,X,X,O,X,O
LTOIZJS,O,O,X,X,X,X,X,X
LTOIZSJ,O,O,X,X,X,X,X,O
LTOJISZ,O,O,O,X,X,O,X,X
LTOJIZS,O,O,O,X,X,X,X,X
LTOJSIZ,O,O,O,O,X,O,O,X
LTOJSZI,O,O,O,O,X,O,O,X
LTOJZIS,O,O,O,O,X,X,X,X
LTOJZSI,O,O,O,O,X,X,O,X
LTOSIJZ,X,O,X,O,X,O,X,X
LTOSIZJ,X,O,X,O,X,O,X,X
LTOSJIZ,O,O,O,O,X,O,O,X
LTOSJZI,O,O,O,O,X,O,O,X
LTOSZIJ,O,O,X,O,X,O,X,O
LTOSZJI,O,O,O,O,X,O,O,X
LTOZIJS,O,O,X,X,X,X,X,X
LTOZISJ,O,O,X,X,X,X,X,O
LTOZJIS,O,O,X,O,X,X,X,X
LTOZJSI,O,O,X,O,X,X,O,X
LTOZSIJ,O,O,X,O,X,X,X,O
LTOZSJI,O,O,X,O,X,X,O,X
LITJSZO,O,O,X,X,X,O,X,X
LITJSOZ,O,X,X,X,X,O,X,X
LITJZSO,O,O,X,X,X,O,X,X
LITJZOS,O,X,X,X,X,X,X,X
LITJOSZ,O,X,X,X,X,O,X,X
LITJOZS,O,X,X,X,X,X,X,X
LITSJZO,X,O,X,X,X,O,X,X
LITSJOZ,X,X,X,X,X,O,X,X
LITSZJO,X,O,X,X,X,O,X,X
LITSZOJ,X,O,X,X,X,O,X,O
LITSOJZ,X,X,X,X,X,O,X,X
LITSOZJ,X,X,X,X,X,O,X,O
LITZJSO,O,O,X,X,X,O,X,X
LITZJOS,O,X,X,X,X,X,X,X
LITZSJO,O,O,X,X,X,O,X,X
LITZSOJ,O,O,X,X,X,O,X,O
LITZOJS,O,X,X,X,X,X,X,X
LITZOSJ,O,X,X,X,X,X,X,O
LITOJSZ,O,X,X,X,X,O,X,X
LITOJZS,O,X,X,X,X,X,X,X
LITOSJZ,X,X,X,X,X,O,X,X
LITOSZJ,X,X,X,X,X,O,X,O
LITOZJS,O,X,X,X,X,X,X,X
LITOZSJ,O,X,X,X,X,X,X,O
LIJTSZO,X,O,X,X,X,O,X,X
LIJTSOZ,X,X,X,X,X,O,X,X
LIJTZSO,O,O,X,X,X,O,X,X
LIJTZOS,O,X,X,X,X,X,X,X
LIJTOSZ,X,X,X,X,X,O,X,X
LIJTOZS,O,X,X,X,X,X,X,X
LIJSTZO,X,X,X,O,O,O,X,X
LIJSTOZ,X,X,X,X,X,O,X,X
LIJSZTO,O,X,X,O,O,O,X,X
LIJSZOT,O,X,X,O,O,X,X,X
LIJSOTZ,X,X,X,O,X,X,X,X
LIJSOZT,O,X,X,O,X,X,X,X
LIJZTSO,O,O,X,O,O,X,X,X
LIJZTOS,O,X,X,O,X,X,X,X
LIJZSTO,O,X,X,O,O,X,X,X
LIJZSOT,O,X,X,O,O,X,X,X
LIJZOTS,O,O,X,O,X,X,X,X
LIJZOST,O,X,X,O,O,X,X,X
LIJOTSZ,X,O,X,X,X,X,X,X
LIJOTZS,O,O,X,X,X,X,X,X
LIJOSTZ,X,X,X,O,X,X,X,X
LIJOSZT,O,X,X,O,X,X,X,X
LIJOZTS,O,O,X,O,X,X,X,X
LIJOZST,O,X,X,O,X,X,X,X
LISTJZO,X,X,X,O,O,O,X,X
LISTJOZ,X,X,X,X,X,O,X,X
LISTZJO,X,X,X,O,O,O,X,X
LISTZOJ,X,X,X,O,O,O,X,O
LISTOJZ,X,X,X,X,X,O,X,X
LISTOZJ,X,X,X,X,X,O,X,O
LISJTZO,X,X,X,O,O,O,X,X
LISJTOZ,X,X,X,X,X,O,X,X
LISJZTO,X,X,X,O,O,O,X,X
LISJZOT,X,X,X,O,O,X,X,X
LISJOTZ,X,X,X,O,X,X,X,X
LISJOZT,X,X,X,O,X,X,X,X
LISZTJO,X,X,X,O,O,O,X,X
LISZTOJ,X,X,X,O,O,O,X,O
LISZJTO,X,X,X,O,O,X,X,X
LISZJOT,X,X,X,O,O,X,X,X
LISZOTJ,X,X,X,O,O,X,X,O
LISZOJT,X,X,X,O,X,X,X,X
LISOTJZ,X,X,X,O,X,X,X,X
LISOTZJ,X,X,X,O,X,X,X,O
LISOJTZ,X,X,X,O,X,X,X,X
LISOJZT,X,X,X,O,X,X,X,X
LISOZTJ,X,X,X,O,X,X,X,O
LISOZJT,X,X,X,O,X,X,X,X
LIZTJSO,O,O,X,O,X,X,X,X
LIZTJOS,O,X,X,O,X,X,X,X
LIZTSJO,O,O,X,O,O,X,X,X
LIZTSOJ,O,O,X,O,O,X,X,O
LIZTOJS,O,X,X,X,X,X,X,X
LIZTOSJ,O,X,X,X,X,X,X,O
LIZJTSO,O,O,X,O,O,X,X,X
LIZJTOS,O,X,X,O,X,X,X,X
LIZJSTO,O,X,X,O,O,X,X,X
LIZJSOT,O,X,X,O,O,X,X,X
LIZJOTS,O,O,X,O,X,X,X,X
LIZJOST,O,X,X,O,O,X,X,X
LIZSTJO,O,X,X,O,O,X,X,X
LIZSTOJ,O,X,X,O,O,X,X,O
LIZSJTO,O,X,X,O,O,X,X,X
LIZSJOT,O,X,X,O,O,X,X,X
LIZSOTJ,O,X,X,O,O,X,X,O
LIZSOJT,O,X,X,O,X,X,X,X
LIZOTJS,O,O,X,X,X,X,X,X
LIZOTSJ,O,O,X,X,X,X,X,O
LIZOJTS,O,O,X,O,X,X,X,X
LIZOJST,O,X,X,O,X,X,X,X
LIZOSTJ,O,X,X,O,O,X,X,O
LIZOSJT,O,X,X,O,X,X,X,X
LIOTJSZ,O,O,X,X,X,X,X,X
LIOTJZS,O,O,X,X,X,X,X,X
LIOTSJZ,X,O,X,X,X,X,X,X
LIOTSZJ,X,O,X,X,X,X,X,O
LIOTZJS,O,O,X,X,X,X,X,X
LIOTZSJ,O,O,X,X,X,X,X,O
LIOJTSZ,X,O,X,X,X,X,X,X
LIOJTZS,O,O,X,X,X,X,X,X
LIOJSTZ,X,X,X,O,X,X,X,X
LIOJSZT,O,X,X,O,X,X,X,X
LIOJZTS,O,O,X,O,X,X,X,X
LIOJZST,O,X,X,O,X,X,X,X
