sequence,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFigB3hB?GjBcqBlnBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFigBGiB?TjBcqBlmBXsB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFigBGjB?cqBlmB3nBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeuEJvhF1lB0hB?xiBCoBXqBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8Je5EJvhFXiBTjB?llBSsBOqB0rB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeRAJvhFGjBClB?0mBlnBXqBzrB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeRAJvhFFiBTjB?WqB6rBcsBXqB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JexBJvhFTjBfqB?llBurBcsBCqB,v115@9gA8IeA8IeA8CeA8CeC8BeB8BeC8JeTDJvhFRlBGnB?XnBFqBCqB0rB
TJSOLIZ,X,X,X,O,X,O,X,X,X
TJSOLZI,X,X,X,O,X,O,X,X,X
TJSOZIL,O,O,O,O,X,X,X,X,X
TJSOZLI,O,O,O,O,X,O,X,X,X
TJZILSO,O,O,O,O,X,X,X,X,X
TJZILOS,O,O,X,O,X,X,O,X,X
TJZISLO,O,O,O,O,X,O,X,X,X
TJZISOL,O,O,O,O,X,X,O,X,X
TJZIOLS,O,O,X,O,X,X,O,X,X
TJZIOSL,O,O,X,X,X,X,O,X,O
TJZLISO,O,O,O,O,X,X,O,X,X
TJZLIOS,O,O,X,O,X,X,O,X,X
TJZLSIO,O,O,O,O,X,O,O,X,X
TJZLSOI,O,O,O,O,X,O,O,X,X
TJZLOIS,O,O,X,O,X,X,O,X,X
TJZLOSI,O,O,X,O,X,X,O,X,X
TJZSILO,O,O,O,O,X,O,X,X,X
TJZSIOL,O,O,O,O,X,X,O,X,X
TJZSLIO,O,O,O,O,X,O,X,X,X
TJZSLOI,O,O,O,O,X,O,X,X,X
TJZSOIL,O,O,O,O,X,X,O,X,X
TJZSOLI,O,O,O,O,X,O,X,X,X
TJZOILS,O,O,X,O,X,X,O,X,X
TJZOISL,O,O,X,O,X,X,O,X,O
TJZOLIS,O,O,X,O,X,X,O,X,X
TJZOLSI,O,O,X,O,X,X,O,X,X
TJZOSIL,O,O,X,O,X,X,O,X,X
TJZOSLI,O,O,X,O,X,O,X,X,X
TJOILSZ,X,X,X,O,O,X,X,X,O
TJOILZS,X,O,X,O,X,X,O,X,X
TJOISLZ,X,X,X,X,X,X,X,X,O
TJOISZL,O,O,X,X,X,X,X,X,O
TJOIZLS,O,O,X,O,X,X,O,X,X
TJOIZSL,O,O,X,O,X,X,O,X,O
TJOLISZ,X,X,X,O,O,X,X,X,O
TJOLIZS,X,O,X,O,X,X,O,X,X
TJOLSIZ,X,X,X,O,O,X,X,X,X
TJOLSZI,X,X,X,O,X,X,X,X,X
TJOLZIS,X,O,X,O,X,X,O,X,X
TJOLZSI,X,O,X,O,X,X,O,X,X
TJOSILZ,X,X,X,O,X,X,X,X,O
TJOSIZL,O,O,X,O,X,X,X,X,O
TJOSLIZ,X,X,X,O,X,O,X,X,X
TJOSLZI,X,X,X,O,X,O,X,X,X
TJOSZIL,O,O,X,O,X,X,X,X,X
TJOSZLI,O,O,X,O,X,O,X,X,X
TJOZILS,O,O,X,O,X,X,O,X,X
TJOZISL,O,O,X,O,X,X,O,X,O
TJOZLIS,O,O,X,O,X,X,O,X,X
TJOZLSI,O,O,X,O,X,X,O,X,X
TJOZSIL,O,O,X,O,X,X,O,X,X
TJOZSLI,O,O,X,O,X,O,X,X,X
TSILJZO,O,O,O,O,X,O,X,X,X
TSILJOZ,X,O,X,O,O,O,X,X,X
TSILZJO,O,O,O,O,X,O,X,X,X
TSILZOJ,O,O,O,O,O,O,X,X,X
TSILOJZ,X,O,X,O,O,O,X,X,X
TSILOZJ,X,O,X,O,O,O,X,X,X
TSIJLZO,O,O,O,O,X,O,X,X,X
TSIJLOZ,X,O,X,O,X,O,X,X,X
TSIJZLO,O,O,O,O,X,O,X,X,X
TSIJZOL,O,O,O,O,X,X,X,X,X
TSIJOLZ,X,O,X,O,X,X,X,X,O
TSIJOZL,O,O,O,O,X,X,X,X,O
TSIZLJO,O,O,O,O,X,O,X,X,X
TSIZLOJ,O,O,O,O,X,O,X,X,X
TSIZJLO,O,O,O,O,X,O,X,O,X
TSIZJOL,O,O,O,O,X,X,X,O,X
TSIZOLJ,O,O,O,X,X,X,X,X,X
TSIZOJL,O,O,O,O,X,X,X,O,X
TSIOLJZ,X,O,X,O,O,X,X,X,X
TSIOLZJ,X,O,X,O,O,X,X,X,X
TSIOJLZ,X,O,X,O,X,X,X,X,O
TSIOJZL,O,O,O,O,X,X,X,X,O
TSIOZLJ,O,O,O,O,X,X,X,X,X
TSIOZJL,O,O,O,O,X,X,X,O,X
TSLIJZO,O,O,O,O,X,O,X,X,X
TSLIJOZ,X,O,X,O,O,O,X,X,X
TSLIZJO,O,O,O,O,X,O,X,X,X
TSLIZOJ,O,O,O,O,O,O,X,X,X
TSLIOJZ,X,O,X,O,O,O,X,X,X
TSLIOZJ,X,O,X,O,O,O,X,X,X
TSLJIZO,O,O,O,O,X,O,X,X,X
TSLJIOZ,X,O,X,O,O,O,X,X,X
TSLJZIO,O,O,O,O,X,O,X,X,X
TSLJZOI,O,O,O,O,X,O,X,X,X
TSLJOIZ,X,O,X,O,O,O,X,X,X
TSLJOZI,X,O,X,O,X,O,X,X,X
TSLZIJO,O,O,O,O,X,O,X,X,X
TSLZIOJ,O,O,O,O,O,O,X,X,X
TSLZJIO,O,O,O,O,X,O,X,O,X
TSLZJOI,O,O,O,O,X,O,X,O,X
TSLZOIJ,O,O,O,O,O,O,X,X,X
TSLZOJI,O,O,O,O,X,O,X,O,X
TSLOIJZ,X,O,X,O,O,O,X,X,X
TSLOIZJ,X,O,X,O,O,O,X,X,X
TSLOJIZ,X,O,X,O,O,O,X,X,X
TSLOJZI,X,O,X,O,X,O,X,X,X
TSLOZIJ,X,O,X,O,O,O,X,X,X
TSLOZJI,X,O,X,O,X,O,X,O,X
TSJILZO,O,O,O,O,X,O,X,X,X
TSJILOZ,X,O,X,O,X,O,X,X,X
TSJIZLO,O,O,O,O,X,O,X,X,X
TSJIZOL,O,O,O,O,X,X,X,X,X
TSJIOLZ,X,O,X,O,X,X,X,X,O
TSJIOZL,O,O,O,O,X,X,X,X,O
TSJLIZO,O,O,O,O,X,O,X,X,X
TSJLIOZ,X,O,X,O,X,O,X,X,X
TSJLZIO,O,O,O,O,X,O,X,X,X
TSJLZOI,O,O,O,O,X,O,X,X,X
TSJLOIZ,X,O,X,O,X,O,X,X,X
TSJLOZI,X,O,X,O,X,O,X,X,X
TSJZILO,O,O,O,O,X,O,X,O,X
TSJZIOL,O,O,O,O,X,X,X,O,X
TSJZLIO,O,O,O,O,X,O,X,O,X
TSJZLOI,O,O,O,O,X,O,X,O,X
TSJZOIL,O,O,O,O,X,X,X,O,X
TSJZOLI,O,O,O,O,X,O,X,O,X
TSJOILZ,X,O,X,O,X,X,X,X,O
TSJOIZL,O,O,O,O,X,X,X,X,O
TSJOLIZ,X,O,X,O,X,O,X,X,X
TSJOLZI,X,O,X,O,X,O,X,X,X
TSJOZIL,O,O,O,O,X,X,X,O,X
TSJOZLI,O,O,O,O,X,O,X,O,X
TSZILJO,O,O,O,O,X,O,X,X,X
TSZILOJ,O,O,O,O,X,O,X,X,X
TSZIJLO,O,O,O,O,X,O,X,O,X
