sequence,v115@ShC8FeG8AeB8JeOEJvhFXgBxhBTjBUmBFnBCtB,v115@ShC8FeG8AeB8JeOEJvhFXgB0iB6oBRmBTmBlsB,v115@ShC8FeG8AeB8JeOEJvhFXgBxiBFmB6sBTtB0rB,v115@ShC8FeG8AeB8JeOEJvhFXgBVmBUiBToBxrBCtB
TZIOJSL,X,X,X,O
TZIOSLJ,X,X,X,X
TZIOSJL,X,X,X,O
TZLIJSO,O,O,X,X
TZLIJOS,O,X,X,X
TZLISJO,O,O,X,X
TZLISOJ,O,X,X,X
TZLIOJS,O,X,X,X
TZLIOSJ,O,X,X,X
TZLJISO,O,O,X,X
TZLJIOS,O,X,X,X
TZLJSIO,O,O,X,X
TZLJSOI,O,X,X,X
TZLJOIS,O,X,X,X
TZLJOSI,O,X,X,X
TZLSIJO,O,O,X,X
TZLSIOJ,O,X,X,X
TZLSJIO,O,O,X,X
TZLSJOI,O,X,X,X
TZLSOIJ,O,X,X,X
TZLSOJI,O,X,X,X
TZLOIJS,O,X,X,X
TZLOISJ,O,X,X,X
TZLOJIS,O,X,X,X
TZLOJSI,O,X,X,X
TZLOSIJ,O,X,X,X
TZLOSJI,O,X,X,X
TZJILSO,O,O,X,X
TZJILOS,O,X,X,X
TZJISLO,O,O,X,X
TZJISOL,X,X,X,O
TZJIOLS,X,X,X,X
TZJIOSL,X,X,X,O
TZJLISO,O,O,X,X
TZJLIOS,O,X,X,X
TZJLSIO,O,O,X,X
TZJLSOI,O,X,X,X
TZJLOIS,O,X,X,X
TZJLOSI,O,X,X,X
TZJSILO,O,O,X,X
TZJSIOL,X,X,X,O
TZJSLIO,O,O,X,X
TZJSLOI,O,X,X,X
TZJSOIL,X,X,X,O
TZJSOLI,X,X,X,X
TZJOILS,X,X,X,X
TZJOISL,X,X,X,X
TZJOLIS,X,X,X,X
TZJOLSI,X,X,X,X
TZJOSIL,X,X,X,O
TZJOSLI,X,X,X,X
TZSILJO,O,O,X,X
TZSILOJ,O,X,X,X
TZSIJLO,O,O,X,X
TZSIJOL,X,X,X,O
TZSIOLJ,X,X,X,X
TZSIOJL,X,X,X,O
TZSLIJO,O,O,X,X
TZSLIOJ,O,X,X,X
TZSLJIO,O,O,X,X
TZSLJOI,O,X,X,X
TZSLOIJ,O,X,X,X
TZSLOJI,O,X,X,X
TZSJILO,O,O,X,X
TZSJIOL,X,X,X,O
TZSJLIO,O,O,X,X
TZSJLOI,O,X,X,X
TZSJOIL,X,X,X,O
TZSJOLI,X,X,X,X
TZSOILJ,X,X,X,X
TZSOIJL,X,X,X,X
TZSOLIJ,X,X,X,X
TZSOLJI,X,X,X,X
TZSOJIL,X,X,X,O
TZSOJLI,X,X,X,X
TZOILJS,X,X,X,X
TZOILSJ,X,X,X,X
TZOIJLS,X,X,X,X
TZOIJSL,X,X,X,X
TZOISLJ,X,X,X,X
TZOISJL,X,X,X,X
TZOLIJS,X,X,X,X
TZOLISJ,X,X,X,X
TZOLJIS,X,X,X,X
TZOLJSI,X,X,X,X
TZOLSIJ,X,X,X,X
TZOLSJI,X,X,X,X
TZOJILS,X,X,X,X
TZOJISL,X,X,X,X
TZOJLIS,X,X,X,X
TZOJLSI,X,X,X,X
TZOJSIL,X,X,X,O
TZOJSLI,X,X,X,X
TZOSILJ,X,X,X,X
TZOSIJL,X,X,X,X
TZOSLIJ,X,X,X,X
TZOSLJI,X,X,X,X
TZOSJIL,X,X,X,O
TZOSJLI,X,X,X,X
TOILJSZ,X,X,X,X
TOILJZS,X,X,X,X
TOILSJZ,X,X,X,X
TOILSZJ,X,X,X,X
TOILZJS,X,X,X,X
TOILZSJ,X,X,X,X
TOIJLSZ,X,X,X,X
TOIJLZS,X,X,X,X
TOIJSLZ,X,X,X,X
TOIJSZL,X,X,X,O
TOIJZLS,X,X,X,X
TOIJZSL,X,X,X,O
TOISLJZ,X,X,X,X
TOISLZJ,X,X,X,X
TOISJLZ,X,X,X,X
TOISJZL,X,X,X,O
TOISZLJ,X,X,X,X
TOISZJL,X,X,X,O
TOIZLJS,X,X,X,X
TOIZLSJ,X,X,X,X
TOIZJLS,X,X,X,X
TOIZJSL,X,X,X,O
TOIZSLJ,X,X,X,X
TOIZSJL,X,X,X,O
TOLIJSZ,X,X,O,X
TOLIJZS,X,X,X,X
TOLISJZ,X,X,O,X
TOLISZJ,X,X,X,X
TOLIZJS,X,X,X,X
TOLIZSJ,X,X,X,X
TOLJISZ,X,X,O,X
TOLJIZS,X,X,X,X
TOLJSIZ,X,X,O,X
TOLJSZI,X,X,O,X
TOLJZIS,X,X,X,X
TOLJZSI,X,X,X,X
TOLSIJZ,X,X,O,X
TOLSIZJ,X,X,X,X
TOLSJIZ,X,X,O,X
TOLSJZI,X,X,O,X
TOLSZIJ,X,X,X,X
TOLSZJI,X,X,X,X
TOLZIJS,X,X,X,X
TOLZISJ,X,X,X,X
TOLZJIS,X,X,X,X
TOLZJSI,X,X,X,X
TOLZSIJ,X,X,X,X
TOLZSJI,X,X,X,X
