sequence,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFukB1lB0hB6?sBXqBzrB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFukB1lB0hBX?qBCsBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Je/EJvhFRgBFiBTlB0?mB2uBSxB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFCgB0hBllBz?pBGsBXsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Je2EJvhFRgB1mBcqBX?nBTpBSxB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBTkBllBy?uBGsBXsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBupB3lB6?sBzrBFqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBlkB3lB2?uBCsBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeT/IvhFxhBllBUnBi?pBWxBXqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBupB3lBC?sBFqBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBfqBllBT?nBWxBCqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBKpBfqBl?lBTnBWxB
TLSJIOZ,O,O,O,X,X,X,X,O,X,X,X,O
TLSJZIO,O,O,O,X,X,X,X,O,O,O,O,O
TLSJZOI,X,O,O,X,X,O,X,O,O,X,X,O
TLSJOIZ,O,O,O,X,X,O,X,O,X,X,X,O
TLSJOZI,O,O,O,X,X,O,X,O,O,X,X,O
TLSZIJO,O,O,X,X,O,X,X,O,X,O,O,O
TLSZIOJ,X,O,X,X,X,X,X,X,X,X,X,O
TLSZJIO,O,O,X,X,O,X,X,O,X,O,X,O
TLSZJOI,X,O,X,X,O,X,X,O,X,X,X,O
TLSZOIJ,X,O,X,X,O,O,X,X,X,X,X,O
TLSZOJI,X,O,X,X,O,O,X,O,X,X,X,O
TLSOIJZ,O,O,X,X,X,O,X,X,X,X,X,O
TLSOIZJ,O,O,X,X,X,O,X,X,X,X,X,O
TLSOJIZ,O,O,O,X,X,O,X,X,X,X,X,O
TLSOJZI,O,O,O,X,X,O,X,X,O,X,X,O
TLSOZIJ,O,O,X,X,O,O,X,X,X,X,X,O
TLSOZJI,O,O,X,X,O,O,X,O,X,X,X,O
TLZIJSO,O,O,O,X,O,X,X,X,X,O,X,X
TLZIJOS,O,X,O,X,O,X,X,X,X,X,X,X
TLZISJO,O,O,X,X,O,X,X,X,X,O,X,X
TLZISOJ,X,O,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,X,O,X,O,O,X,X,X,X,X,X
TLZIOSJ,X,O,X,X,O,O,X,X,X,X,X,X
TLZJISO,O,O,O,X,O,X,X,O,O,O,X,X
TLZJIOS,O,X,O,X,O,O,X,X,O,X,X,X
TLZJSIO,X,O,O,X,O,X,X,O,O,O,X,X
TLZJSOI,X,O,O,X,O,O,X,O,O,X,X,X
TLZJOIS,X,X,O,X,O,O,X,X,O,X,X,X
TLZJOSI,X,X,O,X,O,O,X,O,O,X,X,X
TLZSIJO,O,O,X,X,O,X,X,O,X,O,O,X
TLZSIOJ,X,O,X,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,O,X,O,X,X,O,X,O,X,X
TLZSJOI,X,O,O,X,O,X,X,O,X,X,X,X
TLZSOIJ,X,O,X,X,O,O,X,X,X,X,X,X
TLZSOJI,X,O,O,X,O,O,X,O,X,X,X,X
TLZOIJS,X,X,O,O,O,O,X,X,X,X,X,X
TLZOISJ,X,O,X,O,O,O,X,X,X,X,X,X
TLZOJIS,X,X,O,O,O,O,X,X,O,X,X,X
TLZOJSI,X,X,O,X,O,O,X,X,O,X,X,X
TLZOSIJ,X,O,X,O,O,O,X,X,X,X,X,X
TLZOSJI,X,O,O,X,O,O,X,X,X,X,X,X
TLOIJSZ,X,X,O,O,X,O,X,X,X,X,X,X
TLOIJZS,O,X,X,O,X,O,X,X,O,X,X,X
TLOISJZ,O,O,X,O,X,O,X,X,X,X,X,X
TLOISZJ,O,O,X,O,X,O,X,X,X,X,X,X
TLOIZJS,O,X,X,O,O,O,X,X,X,X,X,X
TLOIZSJ,O,O,X,O,O,O,X,X,X,X,X,X
TLOJISZ,X,X,O,O,X,O,X,X,X,X,X,X
TLOJIZS,O,X,X,O,X,O,X,X,O,X,X,X
TLOJSIZ,X,X,O,O,X,O,X,X,X,X,X,X
