sequence,v115@9gB8HeB8HeA8GeD8BeB8CeA8JexAJvhFXiBTjBllBq?sBUqBmrB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JexAJvhF6nBTjBllB3?mBUqB2xB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeeFJvhFChBTjBxmB3?qBFsB0sB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeFCJvhFTjBfsBqsBR?qBOqB8qB,v115@9gB8HeB8HeA8GeD8BeB8CeA8Je/FJvhFRhBGjBTmBi?nBUqB1xB,v115@9gB8HeB8HeA8GeD8BeB8CeA8Je/FJvhFRhBGjBimBU?qBFsBzsB,v115@9gB8HeB8HeA8GeD8BeB8CeA8Je/FJvhFFhBSnBTjBU?qBxrB2xB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeiAJvhFWnBTjBRqBF?sB3qB0sB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeiAJvhFTjBWsBRqB3?qB0sBFsB,v115@9gB8HeB8HeA8GeD8BeB8CeA8Je2FJvhFCiBTjBRqBF?sB0sB3qB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeeFJvhFRhBcnBTjBS?rB1xB3qB
ILJTOZS,O,X,X,X,X,X,X,X,X,O,O
ILJSTZO,O,X,X,O,X,X,X,X,O,X,X
ILJSTOZ,O,X,X,O,X,X,X,X,O,X,X
ILJSZTO,O,X,X,O,X,X,X,X,O,X,X
ILJSZOT,O,X,X,O,X,X,X,X,O,X,X
ILJSOTZ,O,X,X,O,X,X,X,X,O,X,X
ILJSOZT,O,X,X,O,X,X,X,X,O,X,X
ILJZTSO,O,X,X,X,X,X,X,X,X,X,X
ILJZTOS,O,X,X,X,X,X,X,X,X,X,X
ILJZSTO,O,X,X,X,X,X,O,X,O,X,X
ILJZSOT,O,X,X,X,X,X,O,X,O,X,X
ILJZOTS,O,X,X,X,X,X,X,X,X,X,X
ILJZOST,O,X,X,X,X,X,O,X,O,X,X
ILJOTSZ,O,X,X,X,X,X,X,X,X,X,X
ILJOTZS,O,X,X,X,X,X,X,X,X,X,O
ILJOSTZ,O,X,X,O,X,X,X,X,O,X,X
ILJOSZT,O,X,X,O,X,X,X,X,O,X,X
ILJOZTS,O,X,X,X,X,X,X,X,X,X,X
ILJOZST,O,X,X,X,X,X,O,X,O,X,X
ILSTJZO,X,X,X,O,X,X,X,X,X,X,X
ILSTJOZ,X,X,X,O,X,X,X,X,X,X,X
ILSTZJO,X,X,X,O,X,X,X,X,X,X,X
ILSTZOJ,X,X,X,O,X,X,X,X,X,X,X
ILSTOJZ,O,X,X,O,X,X,X,X,X,X,X
ILSTOZJ,O,X,X,O,X,X,X,X,X,X,X
ILSJTZO,O,X,X,O,X,X,X,X,X,X,X
ILSJTOZ,O,X,X,O,X,X,X,X,X,X,X
ILSJZTO,O,X,X,O,X,X,X,X,X,X,X
ILSJZOT,O,X,X,O,X,X,X,X,X,X,X
ILSJOTZ,O,X,X,O,X,X,X,X,X,X,X
ILSJOZT,O,X,X,O,X,X,X,X,X,X,X
ILSZTJO,O,X,X,O,X,X,O,X,X,X,X
ILSZTOJ,O,X,X,O,X,X,O,X,X,X,X
ILSZJTO,O,X,X,O,X,X,O,X,X,X,X
ILSZJOT,O,X,X,O,X,X,O,X,X,X,X
ILSZOTJ,O,X,X,O,X,X,O,X,X,X,X
ILSZOJT,O,X,X,O,X,X,O,X,X,X,X
ILSOTJZ,O,X,X,O,X,X,X,X,X,X,X
ILSOTZJ,O,X,X,O,X,X,X,X,X,X,X
ILSOJTZ,O,X,X,O,X,X,X,X,X,X,X
ILSOJZT,O,X,X,O,X,X,X,X,X,X,X
ILSOZTJ,O,X,X,O,X,X,O,X,X,X,X
ILSOZJT,O,X,X,O,X,X,O,X,X,X,X
ILZTJSO,O,X,X,X,X,X,X,X,X,X,X
ILZTJOS,O,X,X,X,X,X,X,X,X,X,X
ILZTSJO,O,X,X,X,X,X,O,X,X,X,X
ILZTSOJ,O,X,X,X,X,X,O,X,X,X,X
ILZTOJS,O,X,X,X,X,X,X,X,X,X,X
ILZTOSJ,O,X,X,X,X,X,O,X,X,X,X
ILZJTSO,O,X,X,X,X,X,X,X,X,X,X
ILZJTOS,O,X,X,X,X,X,X,X,X,X,X
ILZJSTO,O,X,X,X,X,X,O,X,X,X,X
ILZJSOT,O,X,X,X,X,X,O,X,X,X,X
ILZJOTS,O,X,X,X,X,X,X,X,X,X,X
ILZJOST,O,X,X,X,X,X,O,X,X,X,X
ILZSTJO,O,X,X,O,X,X,O,X,X,X,X
ILZSTOJ,O,X,X,O,X,X,O,X,X,X,X
ILZSJTO,O,X,X,O,X,X,O,X,X,X,X
ILZSJOT,O,X,X,O,X,X,O,X,X,X,X
ILZSOTJ,O,X,X,O,X,X,O,X,X,X,X
ILZSOJT,O,X,X,O,X,X,O,X,X,X,X
ILZOTJS,O,X,X,X,X,X,X,X,X,X,X
ILZOTSJ,O,X,X,X,X,X,O,X,X,X,X
ILZOJTS,O,X,X,X,X,X,X,X,X,X,X
ILZOJST,O,X,X,X,X,X,O,X,X,X,X
ILZOSTJ,O,X,X,O,X,X,O,X,X,X,X
ILZOSJT,O,X,X,O,X,X,O,X,X,X,X
ILOTJSZ,X,X,X,X,X,X,X,O,X,X,X
ILOTJZS,X,X,X,X,X,X,X,X,X,X,O
ILOTSJZ,X,X,X,O,X,X,X,O,X,X,X
ILOTSZJ,X,X,X,O,X,X,X,O,X,X,X
ILOTZJS,X,X,X,X,X,X,X,X,X,X,O
ILOTZSJ,X,X,X,X,X,X,O,X,X,X,X
ILOJTSZ,O,X,X,X,X,X,X,X,X,X,X
ILOJTZS,O,X,X,X,X,X,X,X,X,X,O
ILOJSTZ,O,X,X,O,X,X,X,X,O,X,X
ILOJSZT,O,X,X,O,X,X,X,X,O,X,X
ILOJZTS,O,X,X,X,X,X,X,X,X,X,X
ILOJZST,O,X,X,X,X,X,O,X,O,X,X
ILOSTJZ,O,X,X,O,X,X,X,X,X,X,X
ILOSTZJ,O,X,X,O,X,X,X,X,X,X,X
ILOSJTZ,O,X,X,O,X,X,X,X,X,X,X
ILOSJZT,O,X,X,O,X,X,X,X,X,X,X
ILOSZTJ,O,X,X,O,X,X,O,X,X,X,X
ILOSZJT,O,X,X,O,X,X,O,X,X,X,X
ILOZTJS,O,X,X,X,X,X,X,X,X,X,X
ILOZTSJ,O,X,X,X,X,X,O,X,X,X,X
ILOZJTS,O,X,X,X,X,X,X,X,X,X,X
ILOZJST,O,X,X,X,X,X,O,X,X,X,X
ILOZSTJ,O,X,X,O,X,X,O,X,X,X,X
ILOZSJT,O,X,X,O,X,X,O,X,X,X,X
IJTLSZO,O,X,X,X,X,X,X,O,X,O,X
IJTLSOZ,O,X,X,X,X,X,X,O,X,X,X
IJTLZSO,O,X,X,X,X,O,X,X,X,O,X
IJTLZOS,O,X,X,X,X,X,X,X,X,O,X
IJTLOSZ,O,X,X,X,X,X,X,O,X,X,X
IJTLOZS,O,X,X,X,X,X,X,X,X,O,X
IJTSLZO,O,X,X,X,X,X,X,O,O,O,X
IJTSLOZ,O,X,X,X,X,X,X,O,O,X,X
IJTSZLO,X,X,X,X,X,X,X,O,O,O,X
IJTSZOL,X,X,X,X,X,X,X,O,O,O,X
IJTSOLZ,O,X,X,X,X,X,X,O,O,X,X
IJTSOZL,X,X,X,X,X,X,X,O,O,X,X
IJTZLSO,O,X,X,X,X,O,X,X,X,O,X
IJTZLOS,O,X,X,X,X,X,X,X,X,O,X
IJTZSLO,X,X,X,X,X,O,X,O,O,O,X
IJTZSOL,X,X,X,X,X,O,X,O,O,O,X
IJTZOLS,O,X,X,X,X,X,X,X,X,O,X
IJTZOSL,X,X,X,X,X,X,X,O,O,O,X
IJTOLSZ,O,X,X,X,X,X,X,O,X,X,X
IJTOLZS,O,X,X,X,X,X,X,X,X,O,X
IJTOSLZ,O,X,X,X,X,X,X,O,O,X,X
IJTOSZL,X,X,X,X,X,X,X,O,O,X,X
IJTOZLS,O,X,X,X,X,X,X,X,X,O,X
IJTOZSL,X,X,X,X,X,X,X,O,O,O,X
IJLTSZO,O,X,X,X,X,X,X,X,X,O,X
IJLTSOZ,O,X,X,X,X,X,X,X,X,X,X
IJLTZSO,O,X,X,X,X,X,X,X,X,O,O
IJLTZOS,O,X,X,X,X,X,X,X,X,O,O
IJLTOSZ,O,X,X,X,X,X,X,X,X,X,X
IJLTOZS,O,X,X,X,X,X,X,X,X,O,O
IJLSTZO,O,X,X,O,X,X,X,X,O,X,X
IJLSTOZ,O,X,X,O,X,X,X,X,O,X,X
IJLSZTO,O,X,X,O,X,X,X,X,O,X,X
IJLSZOT,O,X,X,O,X,X,X,X,O,X,X
IJLSOTZ,O,X,X,O,X,X,X,X,O,X,X
IJLSOZT,O,X,X,O,X,X,X,X,O,X,X
IJLZTSO,O,X,X,X,X,X,X,X,X,X,X
IJLZTOS,O,X,X,X,X,X,X,X,X,X,X
IJLZSTO,O,X,X,X,X,X,O,X,O,X,X
IJLZSOT,O,X,X,X,X,X,O,X,O,X,X
IJLZOTS,O,X,X,X,X,X,X,X,X,X,X
IJLZOST,O,X,X,X,X,X,O,X,O,X,X
IJLOTSZ,O,X,X,X,X,X,X,X,X,X,X
IJLOTZS,O,X,X,X,X,X,X,X,X,X,O
IJLOSTZ,O,X,X,O,X,X,X,X,O,X,X
IJLOSZT,O,X,X,O,X,X,X,X,O,X,X
IJLOZTS,O,X,X,X,X,X,X,X,X,X,X
IJLOZST,O,X,X,X,X,X,O,X,O,X,X
IJSTLZO,X,X,X,X,X,X,X,X,O,O,X
IJSTLOZ,X,X,X,X,X,X,X,X,O,X,X
IJSTZLO,X,X,X,X,X,X,X,X,O,O,X
IJSTZOL,X,X,X,X,X,X,X,X,O,O,X
IJSTOLZ,X,X,X,X,X,X,X,X,O,X,X
IJSTOZL,X,X,X,X,X,X,X,X,O,X,X
IJSLTZO,X,X,X,O,X,X,X,X,O,X,X
IJSLTOZ,X,X,X,O,X,X,X,X,O,X,X
IJSLZTO,X,X,X,O,X,X,X,X,O,X,X
IJSLZOT,X,X,X,O,X,X,X,X,O,X,X
IJSLOTZ,X,X,X,O,X,X,X,X,O,X,X
IJSLOZT,X,X,X,O,X,X,X,X,O,X,X
IJSZTLO,X,X,X,X,X,X,X,X,O,X,X
IJSZTOL,X,X,X,X,X,X,X,X,O,X,X
IJSZLTO,X,X,X,X,X,X,X,X,O,X,X
IJSZLOT,X,X,X,X,X,X,X,X,O,X,X
IJSZOTL,X,X,X,X,X,X,X,X,O,X,X
IJSZOLT,X,X,X,X,X,X,X,X,O,X,X
IJSOTLZ,X,X,X,X,X,X,X,X,O,X,X
IJSOTZL,X,X,X,X,X,X,X,X,O,X,X
IJSOLTZ,X,X,X,O,X,X,X,X,O,X,X
IJSOLZT,X,X,X,O,X,X,X,X,O,X,X
IJSOZTL,X,X,X,X,X,X,X,X,O,X,X
IJSOZLT,X,X,X,X,X,X,X,X,O,X,X
IJZTLSO,O,X,X,X,X,O,X,X,X,O,X
IJZTLOS,O,X,X,X,X,X,X,X,X,O,X
IJZTSLO,O,X,X,X,X,O,X,X,O,O,X
IJZTSOL,O,X,X,X,X,O,X,X,O,O,X
IJZTOLS,O,X,X,X,X,X,X,X,X,O,X
IJZTOSL,O,X,X,X,X,X,X,X,O,O,X
IJZLTSO,O,X,X,X,X,X,X,X,X,X,X
IJZLTOS,O,X,X,X,X,X,X,X,X,X,X
IJZLSTO,O,X,X,X,X,X,O,X,O,X,X
IJZLSOT,O,X,X,X,X,X,O,X,O,X,X
IJZLOTS,O,X,X,X,X,X,X,X,X,X,X
IJZLOST,O,X,X,X,X,X,O,X,O,X,X
IJZSTLO,X,X,X,X,X,O,O,X,O,X,X
IJZSTOL,X,X,X,X,O,O,O,X,O,X,X
IJZSLTO,X,X,X,X,X,O,O,X,O,X,X
IJZSLOT,X,X,X,X,O,X,O,X,O,X,X
IJZSOTL,X,X,X,X,O,O,O,X,O,X,X
IJZSOLT,X,X,X,X,O,X,O,X,O,X,X
IJZOTLS,O,X,X,X,X,X,X,X,X,X,X
IJZOTSL,O,X,X,X,X,X,X,X,O,X,X
IJZOLTS,O,X,X,X,X,X,X,X,X,X,X
IJZOLST,O,X,X,X,X,X,O,X,O,X,X
IJZOSTL,X,X,X,X,O,X,O,X,O,X,X
IJZOSLT,X,X,X,X,O,X,O,X,O,X,X
IJOTLSZ,O,X,X,X,X,X,X,O,X,X,X
IJOTLZS,O,X,X,X,X,X,X,X,X,O,X
IJOTSLZ,O,X,X,X,X,X,X,O,O,X,X
IJOTSZL,X,X,X,X,X,X,X,O,O,X,X
IJOTZLS,O,X,X,X,X,X,X,X,X,O,X
IJOTZSL,X,X,X,X,X,X,X,O,O,O,X
IJOLTSZ,O,X,X,X,X,X,X,X,X,X,X
IJOLTZS,O,X,X,X,X,X,X,X,X,X,O
IJOLSTZ,O,X,X,O,X,X,X,X,O,X,X
IJOLSZT,O,X,X,O,X,X,X,X,O,X,X
IJOLZTS,O,X,X,X,X,X,X,X,X,X,X
IJOLZST,O,X,X,X,X,X,O,X,O,X,X
IJOSTLZ,X,X,X,X,X,X,X,X,O,X,X
IJOSTZL,X,X,X,X,X,X,X,X,O,X,X
IJOSLTZ,X,X,X,O,X,X,X,X,O,X,X
IJOSLZT,X,X,X,O,X,X,X,X,O,X,X
IJOSZTL,X,X,X,X,X,X,X,X,O,X,X
IJOSZLT,X,X,X,X,X,X,X,X,O,X,X
IJOZTLS,O,X,X,X,X,X,X,X,X,X,X
IJOZTSL,O,X,X,X,X,X,X,X,O,X,X
IJOZLTS,O,X,X,X,X,X,X,X,X,X,X
IJOZLST,O,X,X,X,X,X,O,X,O,X,X
IJOZSTL,X,X,X,X,O,X,O,X,O,X,X
IJOZSLT,X,X,X,X,O,X,O,X,O,X,X
ISTLJZO,X,X,O,O,X,X,X,O,X,O,X
ISTLJOZ,X,O,O,O,X,X,X,O,X,X,X
ISTLZJO,X,X,X,O,X,X,X,O,X,O,X
ISTLZOJ,X,O,X,O,X,X,X,O,X,O,X
ISTLOJZ,X,O,O,O,X,X,X,O,X,X,X
ISTLOZJ,X,O,X,O,X,X,X,O,X,X,X
ISTJLZO,X,X,O,X,X,X,X,O,X,O,X
ISTJLOZ,X,O,O,X,X,X,X,O,X,X,X
ISTJZLO,X,X,O,X,X,X,X,O,X,O,X
ISTJZOL,X,X,O,X,X,X,X,O,X,O,X
ISTJOLZ,X,O,O,X,X,X,X,O,X,X,X
ISTJOZL,X,X,O,X,X,X,X,O,X,X,X
ISTZLJO,X,X,X,X,X,X,X,O,X,O,X
ISTZLOJ,X,O,X,X,X,X,X,O,X,O,X
ISTZJLO,X,X,O,X,X,X,X,O,X,O,X
ISTZJOL,X,X,O,X,X,X,X,O,X,O,X
ISTZOLJ,X,O,X,X,X,X,X,O,X,O,X
ISTZOJL,X,X,O,X,X,X,X,O,X,O,X
ISTOLJZ,X,O,O,O,X,X,X,O,X,X,X
ISTOLZJ,X,O,X,O,X,X,X,O,X,X,X
ISTOJLZ,X,O,O,X,X,X,X,O,X,X,X
ISTOJZL,X,X,O,X,X,X,X,O,X,X,X
ISTOZLJ,X,O,X,X,X,X,X,O,X,X,X
ISTOZJL,X,X,O,X,X,X,X,O,X,X,X
ISLTJZO,X,X,X,O,X,X,X,X,X,X,X
ISLTJOZ,X,O,X,O,X,X,X,X,X,X,X
ISLTZJO,X,X,X,O,X,X,X,X,X,X,X
ISLTZOJ,X,O,X,O,X,X,X,X,X,X,X
ISLTOJZ,X,O,X,O,X,X,X,X,X,X,X
ISLTOZJ,X,O,X,O,X,X,X,X,X,X,X
ISLJTZO,X,X,X,O,X,X,X,X,X,X,X
ISLJTOZ,X,X,O,O,X,X,X,X,X,X,X
ISLJZTO,X,X,X,O,X,X,X,X,X,X,X
ISLJZOT,X,X,O,O,X,X,X,X,X,X,X
ISLJOTZ,X,O,O,O,X,X,X,X,X,X,X
ISLJOZT,X,O,O,O,X,X,X,X,X,X,X
ISLZTJO,X,O,X,O,X,X,O,X,X,X,X
ISLZTOJ,X,O,X,O,X,X,O,X,X,X,X
ISLZJTO,X,X,X,O,X,X,O,X,X,X,X
ISLZJOT,X,O,X,O,X,X,O,X,X,X,X
ISLZOTJ,X,O,X,O,X,X,O,X,X,X,X
ISLZOJT,X,O,X,O,X,X,O,X,X,X,X
ISLOTJZ,X,O,X,O,X,X,X,X,X,X,X
ISLOTZJ,X,O,X,O,X,X,X,X,X,X,X
ISLOJTZ,X,O,O,O,X,X,X,X,X,X,X
ISLOJZT,X,O,O,O,X,X,X,X,X,X,X
ISLOZTJ,X,O,X,O,X,X,O,X,X,X,X
ISLOZJT,X,O,X,O,X,X,O,X,X,X,X
ISJTLZO,X,X,O,X,X,X,X,X,O,O,X
ISJTLOZ,X,X,O,X,X,X,X,X,O,X,X
ISJTZLO,X,X,O,X,X,X,X,X,O,O,X
ISJTZOL,X,X,O,X,X,X,X,X,O,O,X
ISJTOLZ,X,X,O,X,X,X,X,X,O,X,X
ISJTOZL,X,X,O,X,X,X,X,X,O,X,X
ISJLTZO,X,X,O,O,X,X,X,X,O,X,X
ISJLTOZ,X,X,O,O,X,X,X,X,O,X,X
ISJLZTO,X,X,X,O,X,X,X,X,O,X,X
ISJLZOT,X,X,O,O,X,X,X,X,O,X,X
ISJLOTZ,X,O,O,O,X,X,X,X,O,X,X
ISJLOZT,X,O,O,O,X,X,X,X,O,X,X
ISJZTLO,X,X,X,X,X,X,X,X,O,X,X
ISJZTOL,X,X,X,X,X,X,X,X,O,X,X
ISJZLTO,X,X,X,X,X,X,X,X,O,X,X
ISJZLOT,X,X,O,X,X,X,X,X,O,X,X
ISJZOTL,X,X,X,X,X,X,X,X,O,X,X
ISJZOLT,X,X,O,X,X,X,X,X,O,X,X
ISJOTLZ,X,X,O,X,X,X,X,X,O,X,X
ISJOTZL,X,X,O,X,X,X,X,X,O,X,X
ISJOLTZ,X,O,O,O,X,X,X,X,O,X,X
ISJOLZT,X,O,O,O,X,X,X,X,O,X,X
ISJOZTL,X,X,X,X,X,X,X,X,O,X,X
ISJOZLT,X,X,O,X,X,X,X,X,O,X,X
ISZTLJO,X,O,X,X,X,X,O,X,X,X,X
ISZTLOJ,X,O,X,X,X,X,O,X,X,X,X
ISZTJLO,X,O,X,X,X,X,O,X,X,X,X
ISZTJOL,X,O,X,X,X,X,O,X,X,X,X
ISZTOLJ,X,O,X,X,X,X,O,X,X,X,X
ISZTOJL,X,O,X,X,X,X,O,X,X,X,X
ISZLTJO,X,O,X,O,X,X,O,X,X,X,X
ISZLTOJ,X,O,X,O,X,X,O,X,X,X,X
ISZLJTO,X,X,X,O,X,X,O,X,X,X,X
ISZLJOT,X,O,X,O,X,X,O,X,X,X,X
ISZLOTJ,X,O,X,O,X,X,O,X,X,X,X
ISZLOJT,X,O,X,O,X,X,O,X,X,X,X
ISZJTLO,X,X,X,X,X,X,O,X,X,X,X
ISZJTOL,X,X,X,X,X,X,O,X,X,X,X
ISZJLTO,X,X,X,X,X,X,O,X,X,X,X
ISZJLOT,X,O,O,X,X,X,O,X,X,X,X
ISZJOTL,X,X,X,X,X,X,O,X,X,X,X
ISZJOLT,X,O,O,X,X,X,O,X,X,X,X
ISZOTLJ,X,O,X,X,X,X,O,X,X,X,X
ISZOTJL,X,O,X,X,X,X,O,X,X,X,X
ISZOLTJ,X,O,X,O,X,X,O,X,X,X,X
ISZOLJT,X,O,X,O,X,X,O,X,X,X,X
ISZOJTL,X,X,X,X,X,X,O,X,X,X,X
ISZOJLT,X,O,O,X,X,X,O,X,X,X,X
ISOTLJZ,X,O,O,O,X,X,X,O,X,X,X
ISOTLZJ,X,O,X,O,X,X,X,O,X,X,X
ISOTJLZ,X,O,O,X,X,X,X,O,X,X,X
ISOTJZL,X,X,O,X,X,X,X,O,X,X,X
ISOTZLJ,X,O,X,X,X,X,X,O,X,X,X
ISOTZJL,X,X,O,X,X,X,X,O,X,X,X
ISOLTJZ,X,O,X,O,X,X,X,X,X,X,X
ISOLTZJ,X,O,X,O,X,X,X,X,X,X,X
ISOLJTZ,X,O,O,O,X,X,X,X,X,X,X
ISOLJZT,X,O,O,O,X,X,X,X,X,X,X
ISOLZTJ,X,O,X,O,X,X,O,X,X,X,X
ISOLZJT,X,O,X,O,X,X,O,X,X,X,X
ISOJTLZ,X,X,O,X,X,X,X,X,O,X,X
ISOJTZL,X,X,O,X,X,X,X,X,O,X,X
ISOJLTZ,X,O,O,O,X,X,X,X,O,X,X
ISOJLZT,X,O,O,O,X,X,X,X,O,X,X
ISOJZTL,X,X,X,X,X,X,X,X,O,X,X
ISOJZLT,X,X,O,X,X,X,X,X,O,X,X
ISOZTLJ,X,O,X,X,X,X,O,X,X,X,X
ISOZTJL,X,O,X,X,X,X,O,X,X,X,X
ISOZLTJ,X,O,X,O,X,X,O,X,X,X,X
ISOZLJT,X,O,X,O,X,X,O,X,X,X,X
ISOZJTL,X,X,X,X,X,X,O,X,X,X,X
ISOZJLT,X,O,O,X,X,X,O,X,X,X,X
IZTLJSO,O,X,X,X,X,O,X,X,X,O,X
IZTLJOS,O,X,X,X,X,X,X,X,X,O,X
IZTLSJO,O,O,X,X,X,O,O,X,X,O,X
IZTLSOJ,O,O,X,X,X,O,O,X,X,O,X
IZTLOJS,O,X,X,X,X,X,X,X,X,O,X
IZTLOSJ,O,O,X,X,X,X,O,X,X,O,X
IZTJLSO,O,X,X,X,X,O,X,X,X,O,X
IZTJLOS,O,X,X,X,X,X,X,X,X,O,X
IZTJSLO,O,O,X,X,X,O,X,O,X,O,X
IZTJSOL,O,O,X,X,X,O,X,O,X,O,X
IZTJOLS,O,X,X,X,X,X,X,X,X,O,X
IZTJOSL,O,O,X,X,X,X,X,O,X,O,X
IZTSLJO,O,O,X,X,X,O,O,O,X,O,X
IZTSLOJ,O,O,X,X,X,O,O,O,X,O,X
IZTSJLO,O,O,X,X,X,O,O,O,X,O,X
IZTSJOL,O,O,X,X,X,O,O,O,X,O,X
IZTSOLJ,O,O,X,X,X,O,O,O,X,O,X
IZTSOJL,O,O,X,X,X,O,O,O,X,O,X
IZTOLJS,O,X,X,X,X,X,X,X,X,O,X
IZTOLSJ,O,O,X,X,X,X,O,X,X,O,X
IZTOJLS,O,X,X,X,X,X,X,X,X,O,X
IZTOJSL,O,O,X,X,X,X,X,O,X,O,X
IZTOSLJ,O,O,X,X,X,X,O,O,X,O,X
IZTOSJL,O,O,X,X,X,X,O,O,X,O,X
IZLTJSO,O,X,X,X,X,X,X,X,X,X,X
IZLTJOS,O,X,X,X,X,X,X,X,X,X,X
IZLTSJO,O,X,X,X,X,X,O,X,X,X,X
IZLTSOJ,O,X,X,X,X,X,O,X,X,X,X
IZLTOJS,O,X,X,X,X,X,X,X,X,X,X
IZLTOSJ,O,X,X,X,X,X,O,X,X,X,X
IZLJTSO,O,X,X,X,X,X,X,X,X,X,X
IZLJTOS,O,X,X,X,X,X,X,X,X,X,X
IZLJSTO,O,X,X,X,X,X,O,X,X,X,X
IZLJSOT,O,X,X,X,X,X,O,X,X,X,X
IZLJOTS,O,X,X,X,X,X,X,X,X,X,X
IZLJOST,O,X,X,X,X,X,O,X,X,X,X
IZLSTJO,O,X,X,O,X,X,O,X,X,X,X
IZLSTOJ,O,X,X,O,X,X,O,X,X,X,X
IZLSJTO,O,X,X,O,X,X,O,X,X,X,X
IZLSJOT,O,X,X,O,X,X,O,X,X,X,X
IZLSOTJ,O,X,X,O,X,X,O,X,X,X,X
IZLSOJT,O,X,X,O,X,X,O,X,X,X,X
IZLOTJS,O,X,X,X,X,X,X,X,X,X,X
IZLOTSJ,O,X,X,X,X,X,O,X,X,X,X
IZLOJTS,O,X,X,X,X,X,X,X,X,X,X
IZLOJST,O,X,X,X,X,X,O,X,X,X,X
IZLOSTJ,O,X,X,O,X,X,O,X,X,X,X
IZLOSJT,O,X,X,O,X,X,O,X,X,X,X
IZJTLSO,O,X,X,X,X,O,X,X,X,O,X
IZJTLOS,O,X,X,X,X,X,X,X,X,O,X
IZJTSLO,O,X,X,X,X,O,X,X,O,O,X
IZJTSOL,O,X,X,X,X,O,X,X,O,O,X
IZJTOLS,O,X,X,X,X,X,X,X,X,O,X
IZJTOSL,O,X,X,X,X,X,X,X,O,O,X
IZJLTSO,O,X,X,X,X,X,X,X,X,X,X
IZJLTOS,O,X,X,X,X,X,X,X,X,X,X
IZJLSTO,O,X,X,X,X,X,O,X,O,X,X
IZJLSOT,O,X,X,X,X,X,O,X,O,X,X
IZJLOTS,O,X,X,X,X,X,X,X,X,X,X
IZJLOST,O,X,X,X,X,X,O,X,O,X,X
IZJSTLO,X,X,X,X,X,O,O,X,O,X,X
IZJSTOL,X,X,X,X,O,O,O,X,O,X,X
IZJSLTO,X,X,X,X,X,O,O,X,O,X,X
IZJSLOT,X,X,X,X,O,X,O,X,O,X,X
IZJSOTL,X,X,X,X,O,O,O,X,O,X,X
IZJSOLT,X,X,X,X,O,X,O,X,O,X,X
IZJOTLS,O,X,X,X,X,X,X,X,X,X,X
IZJOTSL,O,X,X,X,X,X,X,X,O,X,X
IZJOLTS,O,X,X,X,X,X,X,X,X,X,X
IZJOLST,O,X,X,X,X,X,O,X,O,X,X
IZJOSTL,X,X,X,X,O,X,O,X,O,X,X
IZJOSLT,X,X,X,X,O,X,O,X,O,X,X
IZSTLJO,X,O,X,X,X,O,O,X,X,X,X
IZSTLOJ,X,O,X,X,X,O,O,X,X,X,X
IZSTJLO,X,O,X,X,X,O,O,X,X,X,X
IZSTJOL,X,O,X,X,O,O,O,X,X,X,X
IZSTOLJ,X,O,X,X,X,O,O,X,X,X,X
IZSTOJL,X,O,X,X,X,O,O,X,X,X,X
IZSLTJO,X,O,X,O,X,O,O,X,X,X,X
IZSLTOJ,X,O,X,O,X,O,O,X,X,X,X
IZSLJTO,X,X,X,O,X,O,O,X,X,X,X
IZSLJOT,X,O,X,O,O,X,O,X,X,X,X
IZSLOTJ,X,O,X,O,X,X,O,X,X,X,X
IZSLOJT,X,O,X,O,X,X,O,X,X,X,X
IZSJTLO,X,X,X,X,X,O,O,X,X,X,X
IZSJTOL,X,X,X,X,O,O,O,X,X,X,X
IZSJLTO,X,X,X,X,X,O,O,X,X,X,X
IZSJLOT,X,O,X,X,O,X,O,X,X,X,X
IZSJOTL,X,X,X,X,O,O,O,X,X,X,X
IZSJOLT,X,O,X,X,O,X,O,X,X,X,X
IZSOTLJ,X,O,X,X,O,O,O,X,X,X,X
IZSOTJL,X,O,X,X,O,O,O,X,X,X,X
IZSOLTJ,X,O,X,O,O,X,O,X,X,X,X
IZSOLJT,X,O,X,O,O,X,O,X,X,X,X
IZSOJTL,X,X,X,X,O,O,O,X,X,X,X
IZSOJLT,X,O,X,X,O,X,O,X,X,X,X
IZOTLJS,O,X,X,X,O,X,X,X,X,X,X
IZOTLSJ,O,O,X,X,O,X,O,X,X,X,X
IZOTJLS,O,X,X,X,O,X,X,X,X,X,X
IZOTJSL,O,O,X,X,O,X,X,O,X,X,X
IZOTSLJ,O,O,X,X,O,X,O,O,X,X,X
IZOTSJL,O,O,X,X,O,X,O,O,X,X,X
IZOLTJS,O,X,X,X,X,X,X,X,X,X,X
IZOLTSJ,O,X,X,X,X,X,O,X,X,X,X
IZOLJTS,O,X,X,X,X,X,X,X,X,X,X
IZOLJST,O,X,X,X,X,X,O,X,X,X,X
IZOLSTJ,O,X,X,O,X,X,O,X,X,X,X
IZOLSJT,O,X,X,O,X,X,O,X,X,X,X
IZOJTLS,O,X,X,X,X,X,X,X,X,X,X
IZOJTSL,O,X,X,X,X,X,X,X,O,X,X
IZOJLTS,O,X,X,X,X,X,X,X,X,X,X
