sequence,v115@UhC8DeI8Ke0/IvhFlgB3hBaoB5oB2uBTsB,v115@UhC8DeI8KeOEJvhF0gBlhB3iB5oBzpByxB,v115@UhC8DeI8KeT/IvhFlgB3hBcnBeoB5oByuB,v115@UhC8DeI8KeKEJvhFflB0gBlhBziB5oB2xB
ITSOLZJ,X,X,X,X
ITSOJLZ,O,X,X,X
ITSOJZL,O,X,X,X
ITSOZLJ,X,X,X,X
ITSOZJL,X,X,X,X
ITZLJSO,X,O,X,X
ITZLJOS,X,X,X,X
ITZLSJO,X,O,X,X
ITZLSOJ,X,O,X,X
ITZLOJS,X,O,X,X
ITZLOSJ,X,O,X,X
ITZJLSO,X,O,X,X
ITZJLOS,X,X,X,X
ITZJSLO,X,X,X,X
ITZJSOL,X,X,X,X
ITZJOLS,X,X,X,X
ITZJOSL,X,X,X,X
ITZSLJO,X,X,X,X
ITZSLOJ,X,X,X,X
ITZSJLO,X,X,X,X
ITZSJOL,X,X,X,X
ITZSOLJ,X,X,X,X
ITZSOJL,X,X,X,X
ITZOLJS,X,O,X,X
ITZOLSJ,X,O,X,X
ITZOJLS,X,O,X,X
ITZOJSL,X,X,X,X
ITZOSLJ,X,X,X,X
ITZOSJL,X,X,X,X
ITOLJSZ,O,O,X,X
ITOLJZS,O,O,X,X
ITOLSJZ,O,O,X,X
ITOLSZJ,X,O,X,X
ITOLZJS,X,O,X,X
