sequence,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeOEJvhFVlBRhB3iB0?mBzpBSxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8Jex/IvhFXhBliBikBU?nBzpBWxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeOEJvhFXgBliBRmB0?mBzpBSxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8Jex/IvhFXhBliBmkBz?mB0pBSxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8Jex/IvhFXhB8mBunBi?kBzpBVxB,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeUBJvhFRiB/pBFlB6?sBzrBmpB,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeUBJvhF3iBxkBzmBm?pBSxBlpB,v115@GhA8HeB8CeB8CeC8BeB8CeB8JeKEJvhFUhBRiBFlBG?sBXsBzpB
ISLTJZO,O,O,O,O,X,X,X,X
ISLTJOZ,O,O,O,O,X,X,X,X
ISLTZJO,O,O,O,O,X,X,O,X
ISLTZOJ,O,X,X,O,X,O,O,X
ISLTOJZ,O,O,O,O,X,X,X,X
ISLTOZJ,O,O,O,O,X,X,X,X
ISLJTZO,O,O,O,O,X,X,O,X
ISLJTOZ,O,O,O,O,X,X,X,X
ISLJZTO,O,O,O,X,X,X,O,X
ISLJZOT,X,O,X,X,X,X,O,X
ISLJOTZ,O,O,O,X,X,X,X,X
ISLJOZT,X,O,X,X,X,X,O,X
ISLZTJO,O,O,O,O,X,X,O,X
ISLZTOJ,O,X,X,O,X,O,O,X
ISLZJTO,O,O,O,O,X,X,O,X
ISLZJOT,O,O,X,O,X,X,O,X
ISLZOTJ,O,X,X,O,X,X,O,X
ISLZOJT,O,X,X,X,X,X,O,X
ISLOTJZ,O,O,O,O,X,X,X,X
ISLOTZJ,O,X,O,O,X,X,X,X
ISLOJTZ,O,O,O,X,X,X,X,X
ISLOJZT,X,O,O,X,X,X,X,X
ISLOZTJ,O,X,O,X,X,X,O,X
ISLOZJT,O,X,O,X,X,X,O,X
ISJTLZO,O,O,O,O,X,X,O,X
ISJTLOZ,O,O,O,O,X,X,X,X
ISJTZLO,O,O,O,O,X,X,O,X
ISJTZOL,O,O,O,O,X,X,X,X
ISJTOLZ,O,O,O,X,X,X,X,X
ISJTOZL,O,O,O,X,X,X,X,X
ISJLTZO,O,O,O,O,X,X,O,X
ISJLTOZ,O,O,O,O,X,X,X,X
ISJLZTO,O,O,O,X,X,X,O,X
ISJLZOT,X,O,X,X,X,X,O,X
ISJLOTZ,X,O,O,X,X,X,X,X
ISJLOZT,X,O,X,X,X,X,O,X
ISJZTLO,O,O,O,X,X,X,O,X
ISJZTOL,O,O,O,X,X,X,X,X
ISJZLTO,X,O,O,X,X,X,O,X
ISJZLOT,X,O,X,X,X,X,O,X
ISJZOTL,X,O,X,X,X,X,X,X
ISJZOLT,X,O,X,X,X,X,O,X
ISJOTLZ,O,O,O,X,X,X,X,X
ISJOTZL,O,O,O,X,X,X,X,X
ISJOLTZ,X,O,O,X,X,X,X,X
ISJOLZT,X,O,X,X,X,X,O,X
ISJOZTL,X,O,X,X,X,X,X,X
ISJOZLT,X,O,X,X,X,X,O,X
ISZTLJO,O,O,X,O,X,X,O,X
ISZTLOJ,X,X,X,O,X,O,O,X
ISZTJLO,O,O,O,O,X,X,O,X
ISZTJOL,O,O,O,O,X,X,X,X
ISZTOLJ,O,O,X,O,X,O,X,X
ISZTOJL,O,O,X,O,X,X,X,X
ISZLTJO,O,X,O,O,X,X,O,X
ISZLTOJ,X,X,X,O,X,O,O,X
ISZLJTO,X,X,O,O,X,X,O,X
ISZLJOT,X,X,X,O,X,X,O,X
ISZLOTJ,O,X,X,O,X,X,O,X
ISZLOJT,X,X,X,X,X,X,O,X
ISZJTLO,O,O,O,O,X,X,O,X
ISZJTOL,O,O,O,O,X,X,X,X
ISZJLTO,X,O,O,O,X,X,O,X
ISZJLOT,X,X,X,O,X,X,O,X
ISZJOTL,O,O,X,O,X,X,X,X
ISZJOLT,X,X,X,O,X,X,O,X
ISZOTLJ,O,X,X,O,X,O,X,X
ISZOTJL,O,X,X,O,X,X,X,X
ISZOLTJ,O,X,X,O,X,O,O,X
ISZOLJT,X,X,X,X,X,O,O,X
ISZOJTL,O,X,X,X,X,X,X,X
ISZOJLT,X,X,X,X,X,X,O,X
ISOTLJZ,O,O,O,O,X,O,X,X
ISOTLZJ,O,O,O,O,X,O,X,X
ISOTJLZ,O,O,O,X,X,X,X,X
ISOTJZL,O,O,O,X,X,X,X,X
ISOTZLJ,O,O,X,O,X,O,X,X
ISOTZJL,O,O,O,O,X,X,X,X
ISOLTJZ,O,O,O,O,X,O,X,X
ISOLTZJ,O,O,O,O,X,O,X,X
ISOLJTZ,O,O,O,X,X,O,X,X
ISOLJZT,X,O,O,X,X,O,X,X
ISOLZTJ,O,O,O,X,X,O,O,X
ISOLZJT,O,O,O,X,X,O,O,X
ISOJTLZ,O,O,O,X,X,X,X,X
ISOJTZL,O,O,O,X,X,X,X,X
ISOJLTZ,O,O,O,X,X,X,X,X
ISOJLZT,X,O,O,X,X,X,X,X
ISOJZTL,X,O,O,X,X,X,X,X
ISOJZLT,X,O,O,X,X,X,X,X
ISOZTLJ,O,O,X,X,X,O,X,X
ISOZTJL,O,O,O,X,X,X,X,X
ISOZLTJ,O,X,O,X,X,O,O,X
ISOZLJT,X,X,O,X,X,O,O,X
ISOZJTL,O,O,O,X,X,X,X,X
ISOZJLT,X,O,O,X,X,X,O,X
IZTLJSO,O,X,X,O,X,X,X,X
IZTLJOS,O,X,X,O,X,X,X,X
IZTLSJO,O,X,X,O,X,X,O,X
IZTLSOJ,O,X,X,O,X,X,O,X
IZTLOJS,O,X,X,X,X,X,X,X
IZTLOSJ,O,X,X,X,X,X,X,X
IZTJLSO,O,X,X,O,X,X,X,X
IZTJLOS,O,X,X,O,X,X,X,X
IZTJSLO,O,X,O,O,X,X,X,X
IZTJSOL,O,X,O,O,X,X,X,X
IZTJOLS,X,X,X,O,X,X,X,X
IZTJOSL,O,X,X,O,X,X,X,X
IZTSLJO,O,X,X,O,X,X,O,X
IZTSLOJ,X,X,X,O,X,X,O,X
IZTSJLO,O,X,O,O,X,X,O,X
IZTSJOL,O,X,O,O,X,X,X,X
IZTSOLJ,O,X,X,O,X,X,X,X
IZTSOJL,O,X,X,O,X,X,X,X
IZTOLJS,O,X,X,X,X,X,X,X
IZTOLSJ,O,X,X,X,X,X,X,X
IZTOJLS,O,X,X,X,X,X,X,X
IZTOJSL,O,X,O,X,X,X,X,X
IZTOSLJ,O,X,X,X,X,X,X,X
IZTOSJL,O,X,O,X,X,X,X,X
IZLTJSO,O,X,O,O,X,X,X,O
IZLTJOS,O,X,X,O,X,X,X,X
IZLTSJO,O,X,O,O,X,X,O,X
IZLTSOJ,O,X,X,O,X,X,O,X
IZLTOJS,O,X,O,X,X,X,X,X
IZLTOSJ,O,X,O,X,X,X,X,X
IZLJTSO,O,X,O,O,X,X,O,O
IZLJTOS,O,X,X,O,X,X,X,X
IZLJSTO,O,X,O,O,X,X,O,X
IZLJSOT,O,X,X,O,X,X,O,X
IZLJOTS,O,X,X,O,X,X,X,X
IZLJOST,O,X,X,O,X,X,O,X
IZLSTJO,O,X,O,O,X,X,O,X
IZLSTOJ,O,X,X,O,X,O,O,X
IZLSJTO,O,X,O,O,X,X,O,X
IZLSJOT,O,X,X,O,X,X,O,X
IZLSOTJ,O,X,X,O,X,X,O,X
IZLSOJT,O,X,X,X,X,X,O,X
IZLOTJS,O,X,O,O,X,X,X,X
IZLOTSJ,O,X,O,O,X,X,X,X
IZLOJTS,O,X,O,O,X,X,X,X
IZLOJST,O,X,O,O,X,X,X,X
IZLOSTJ,O,X,O,O,X,X,O,X
IZLOSJT,O,X,O,O,X,X,O,X
IZJTLSO,O,X,X,O,X,X,O,X
IZJTLOS,O,X,X,O,X,X,X,X
IZJTSLO,O,X,O,O,X,X,O,X
IZJTSOL,O,X,O,O,X,X,X,X
IZJTOLS,X,X,X,O,X,X,X,X
IZJTOSL,O,X,X,O,X,X,X,X
IZJLTSO,O,X,O,O,X,X,O,O
IZJLTOS,O,X,X,O,X,X,X,X
IZJLSTO,O,X,O,O,X,X,O,X
IZJLSOT,X,X,X,O,X,X,O,X
IZJLOTS,X,X,X,O,X,X,X,X
IZJLOST,X,X,X,O,X,X,O,X
IZJSTLO,O,X,O,O,X,X,O,X
IZJSTOL,O,X,O,O,X,X,X,X
IZJSLTO,X,X,O,O,X,X,O,X
IZJSLOT,X,X,X,O,X,X,O,X
IZJSOTL,O,X,X,O,X,X,X,X
IZJSOLT,X,X,X,O,X,X,O,X
IZJOTLS,O,X,X,O,X,X,X,X
IZJOTSL,O,X,X,O,X,X,X,X
IZJOLTS,X,X,X,O,X,X,X,X
IZJOLST,X,X,X,O,X,X,O,X
IZJOSTL,O,X,X,O,X,X,X,X
IZJOSLT,X,X,X,O,X,X,O,X
IZSTLJO,O,X,X,O,X,X,O,X
IZSTLOJ,X,X,X,O,X,O,O,X
IZSTJLO,O,X,O,O,X,X,O,X
IZSTJOL,O,X,O,O,X,X,X,X
IZSTOLJ,O,X,X,O,X,O,X,X
IZSTOJL,O,X,X,O,X,X,X,X
IZSLTJO,O,X,O,O,X,X,O,X
IZSLTOJ,X,X,X,O,X,O,O,X
IZSLJTO,X,X,O,O,X,X,O,X
IZSLJOT,X,X,X,O,X,X,O,X
IZSLOTJ,O,X,X,O,X,X,O,X
IZSLOJT,X,X,X,X,X,X,O,X
IZSJTLO,O,X,O,O,X,X,O,X
IZSJTOL,O,X,O,O,X,X,X,X
IZSJLTO,X,X,O,O,X,X,O,X
IZSJLOT,X,X,X,O,X,X,O,X
IZSJOTL,O,X,X,O,X,X,X,X
IZSJOLT,X,X,X,O,X,X,O,X
IZSOTLJ,O,X,X,O,X,O,X,X
IZSOTJL,O,X,X,O,X,X,X,X
IZSOLTJ,O,X,X,O,X,O,O,X
IZSOLJT,X,X,X,X,X,O,O,X
IZSOJTL,O,X,X,X,X,X,X,X
IZSOJLT,X,X,X,X,X,X,O,X
IZOTLJS,O,X,X,X,X,X,X,X
IZOTLSJ,O,X,X,X,X,X,X,X
IZOTJLS,O,X,X,X,X,X,X,X
IZOTJSL,O,X,O,X,X,X,X,X
IZOTSLJ,O,X,X,X,X,X,X,X
IZOTSJL,O,X,O,X,X,X,X,X
IZOLTJS,O,X,O,X,X,X,X,X
IZOLTSJ,O,X,O,X,X,O,X,X
IZOLJTS,O,X,O,X,X,X,X,X
IZOLJST,O,X,O,X,X,O,X,X
IZOLSTJ,O,X,O,X,X,O,O,X
IZOLSJT,O,X,O,X,X,O,O,X
IZOJTLS,O,X,X,X,X,X,X,X
IZOJTSL,O,X,O,X,X,X,X,X
IZOJLTS,X,X,O,X,X,X,X,X
IZOJLST,X,X,O,X,X,X,X,X
IZOJSTL,O,X,O,X,X,X,X,X
IZOJSLT,X,X,O,X,X,X,X,X
IZOSTLJ,O,X,X,X,X,O,X,X
IZOSTJL,O,X,O,X,X,X,X,X
IZOSLTJ,O,X,O,X,X,O,O,X
IZOSLJT,X,X,O,X,X,O,O,X
IZOSJTL,O,X,O,X,X,X,X,X
IZOSJLT,X,X,O,X,X,X,O,X
IOTLJSZ,O,O,O,X,O,X,X,X
IOTLJZS,O,X,O,X,O,X,X,X
IOTLSJZ,O,O,O,X,O,X,X,X
IOTLSZJ,O,O,O,X,O,X,X,X
IOTLZJS,O,X,O,X,O,X,X,X
IOTLZSJ,O,O,O,X,O,X,X,X
IOTJLSZ,O,X,O,X,O,X,X,X
IOTJLZS,O,X,O,X,O,X,X,X
IOTJSLZ,O,X,O,X,X,X,X,X
IOTJSZL,O,X,O,X,X,X,X,X
IOTJZLS,O,X,X,X,O,X,X,X
IOTJZSL,O,X,O,X,O,X,X,X
IOTSLJZ,O,O,O,X,X,X,X,X
IOTSLZJ,O,O,O,X,X,X,X,X
IOTSJLZ,O,O,O,X,X,X,X,X
IOTSJZL,O,O,O,X,X,X,X,X
IOTSZLJ,O,O,X,X,X,X,X,X
IOTSZJL,O,O,O,X,X,X,X,X
IOTZLJS,O,X,X,X,O,X,X,X
IOTZLSJ,O,X,X,X,O,X,X,X
IOTZJLS,O,X,X,X,O,X,X,X
IOTZJSL,O,X,O,X,O,X,X,X
IOTZSLJ,O,X,X,X,O,X,X,X
IOTZSJL,O,X,O,X,O,X,X,X
IOLTJSZ,O,O,O,X,O,X,X,X
IOLTJZS,O,O,O,X,O,X,X,X
IOLTSJZ,O,O,O,X,O,O,X,X
IOLTSZJ,O,O,O,X,O,O,X,X
IOLTZJS,O,X,O,X,O,X,X,X
IOLTZSJ,O,O,O,X,O,O,X,X
IOLJTSZ,O,O,O,X,O,X,X,X
IOLJTZS,O,O,O,X,O,X,X,X
IOLJSTZ,O,O,O,X,O,O,X,X
IOLJSZT,X,O,O,X,X,O,X,X
IOLJZTS,X,O,O,X,O,X,X,X
IOLJZST,X,O,O,X,X,O,X,X
IOLSTJZ,O,O,O,X,O,O,X,X
IOLSTZJ,O,O,O,X,O,O,X,X
IOLSJTZ,O,O,O,X,O,O,X,X
IOLSJZT,X,O,O,X,X,O,X,X
IOLSZTJ,O,O,O,X,X,O,O,X
IOLSZJT,O,O,O,X,X,O,O,X
IOLZTJS,O,X,O,X,O,X,X,X
IOLZTSJ,O,O,O,X,O,O,X,X
IOLZJTS,O,O,O,X,O,X,X,X
IOLZJST,O,O,O,X,X,O,X,X
IOLZSTJ,O,O,O,X,X,O,O,X
IOLZSJT,O,O,O,X,X,O,O,X
IOJTLSZ,O,O,O,X,O,X,X,X
IOJTLZS,O,O,O,X,O,X,X,X
IOJTSLZ,O,O,O,X,X,X,X,X
IOJTSZL,O,O,O,X,X,X,X,X
IOJTZLS,O,X,X,X,O,X,X,X
IOJTZSL,O,X,O,X,O,X,X,X
IOJLTSZ,O,O,O,X,O,X,X,X
IOJLTZS,O,O,O,X,O,X,X,X
IOJLSTZ,O,O,O,X,O,X,X,X
IOJLSZT,X,O,O,X,X,X,X,X
IOJLZTS,X,O,O,X,O,X,X,X
IOJLZST,X,O,O,X,X,X,X,X
IOJSTLZ,O,O,O,X,X,X,X,X
IOJSTZL,O,O,O,X,X,X,X,X
IOJSLTZ,O,O,O,X,X,X,X,X
IOJSLZT,X,O,O,X,X,X,X,X
IOJSZTL,X,O,O,X,X,X,X,X
IOJSZLT,X,O,O,X,X,X,X,X
IOJZTLS,X,O,X,X,X,X,X,X
IOJZTSL,X,O,O,X,X,X,X,X
IOJZLTS,X,O,O,X,X,X,X,X
IOJZLST,X,O,O,X,X,X,X,X
IOJZSTL,X,O,O,X,X,X,X,X
IOJZSLT,X,O,O,X,X,X,X,X
IOSTLJZ,O,O,O,X,X,O,X,X
IOSTLZJ,O,O,O,X,X,O,X,X
IOSTJLZ,O,O,O,X,X,X,X,X
IOSTJZL,O,O,O,X,X,X,X,X
IOSTZLJ,O,O,X,X,X,O,X,X
IOSTZJL,O,O,O,X,X,X,X,X
IOSLTJZ,O,O,O,X,X,O,X,X
IOSLTZJ,O,O,O,X,X,O,X,X
IOSLJTZ,O,O,O,X,X,O,X,X
IOSLJZT,X,O,O,X,X,O,X,X
IOSLZTJ,O,O,O,X,X,O,O,X
IOSLZJT,O,O,O,X,X,O,O,X
IOSJTLZ,O,O,O,X,X,X,X,X
IOSJTZL,O,O,O,X,X,X,X,X
IOSJLTZ,O,O,O,X,X,X,X,X
IOSJLZT,X,O,O,X,X,X,X,X
IOSJZTL,X,O,O,X,X,X,X,X
IOSJZLT,X,O,O,X,X,X,X,X
IOSZTLJ,O,O,X,X,X,O,X,X
IOSZTJL,O,O,O,X,X,X,X,X
IOSZLTJ,O,X,O,X,X,O,O,X
IOSZLJT,X,X,O,X,X,O,O,X
IOSZJTL,O,O,O,X,X,X,X,X
IOSZJLT,X,O,O,X,X,X,O,X
IOZTLJS,O,X,X,X,X,X,X,X
IOZTLSJ,O,X,X,X,X,X,X,X
IOZTJLS,O,X,X,X,X,X,X,X
IOZTJSL,O,X,O,X,X,X,X,X
IOZTSLJ,O,X,X,X,X,X,X,X
IOZTSJL,O,X,O,X,X,X,X,X
IOZLTJS,O,X,O,X,X,X,X,X
IOZLTSJ,O,X,O,X,X,O,X,X
IOZLJTS,O,X,O,X,X,X,X,X
IOZLJST,O,X,O,X,X,O,X,X
IOZLSTJ,O,X,O,X,X,O,O,X
IOZLSJT,O,X,O,X,X,O,O,X
IOZJTLS,O,X,X,X,X,X,X,X
IOZJTSL,O,X,O,X,X,X,X,X
IOZJLTS,X,X,O,X,X,X,X,X
IOZJLST,X,X,O,X,X,X,X,X
IOZJSTL,O,X,O,X,X,X,X,X
IOZJSLT,X,X,O,X,X,X,X,X
IOZSTLJ,O,X,X,X,X,O,X,X
IOZSTJL,O,X,O,X,X,X,X,X
IOZSLTJ,O,X,O,X,X,O,O,X
IOZSLJT,X,X,O,X,X,O,O,X
IOZSJTL,O,X,O,X,X,X,X,X
IOZSJLT,X,X,O,X,X,X,O,X
LTIJSZO,O,O,O,X,O,X,X,O
LTIJSOZ,O,O,O,X,X,X,X,O
LTIJZSO,O,O,O,X,O,X,X,O
LTIJZOS,O,O,X,X,O,X,X,X
LTIJOSZ,O,O,O,X,X,X,X,X
LTIJOZS,X,X,O,X,O,X,X,X
LTISJZO,O,O,O,O,O,X,X,X
LTISJOZ,O,O,O,O,X,X,X,X
LTISZJO,O,O,O,O,O,X,O,X
LTISZOJ,O,X,X,O,O,X,O,X
LTISOJZ,O,O,O,O,X,X,X,X
LTISOZJ,X,X,O,O,X,X,X,X
LTIZJSO,O,X,O,O,O,X,X,O
LTIZJOS,O,X,X,O,O,X,X,X
LTIZSJO,O,O,O,O,O,X,O,X
LTIZSOJ,O,X,X,O,O,X,O,X
LTIZOJS,O,X,O,X,O,X,X,X
LTIZOSJ,O,X,O,X,O,X,X,X
LTIOJSZ,O,X,O,X,X,X,X,X
LTIOJZS,X,X,O,X,O,X,X,X
LTIOSJZ,O,O,O,X,X,X,X,X
LTIOSZJ,X,X,O,X,X,X,X,X
LTIOZJS,X,X,O,X,O,X,X,X
LTIOZSJ,X,X,O,X,O,X,X,X
LTJISZO,O,O,O,X,O,X,O,O
LTJISOZ,O,O,O,X,X,X,X,O
LTJIZSO,O,O,O,X,O,X,O,O
LTJIZOS,O,O,X,X,O,X,X,X
LTJIOSZ,O,O,O,X,X,X,X,X
LTJIOZS,X,X,O,X,O,X,X,X
LTJSIZO,O,O,O,O,O,X,O,O
LTJSIOZ,O,O,O,O,X,X,X,O
LTJSZIO,O,O,X,O,O,X,O,O
LTJSZOI,O,O,X,O,O,X,X,O
LTJSOIZ,O,O,X,X,X,X,X,O
LTJSOZI,O,X,X,X,X,X,X,O
LTJZISO,O,O,O,O,O,X,O,O
LTJZIOS,O,O,X,O,O,X,X,X
LTJZSIO,O,O,X,O,O,X,O,O
LTJZSOI,O,O,X,O,O,X,X,O
LTJZOIS,O,O,X,O,O,X,X,X
LTJZOSI,O,O,X,O,O,X,X,O
LTJOISZ,O,O,O,X,O,X,X,X
LTJOIZS,X,X,O,X,O,X,X,X
LTJOSIZ,O,O,O,X,O,X,X,O
LTJOSZI,O,X,O,X,O,X,X,O
LTJOZIS,O,X,O,X,O,X,X,X
LTJOZSI,O,X,O,X,O,X,X,O
LTSIJZO,O,O,O,O,O,X,X,X
LTSIJOZ,O,O,O,O,X,X,X,X
LTSIZJO,O,O,O,O,O,X,O,X
LTSIZOJ,O,X,X,O,O,O,O,X
LTSIOJZ,O,O,O,O,X,X,X,X
LTSIOZJ,O,O,O,O,X,X,X,X
LTSJIZO,O,O,O,O,O,X,O,O
LTSJIOZ,O,O,O,O,X,X,X,O
LTSJZIO,O,O,X,O,O,X,O,O
LTSJZOI,O,O,X,O,O,O,X,O
LTSJOIZ,O,O,X,X,X,X,X,O
LTSJOZI,O,X,X,X,X,X,X,O
LTSZIJO,O,O,X,O,O,X,O,X
LTSZIOJ,O,X,X,O,O,O,O,X
LTSZJIO,O,X,X,O,O,X,O,O
LTSZJOI,O,X,X,O,O,O,X,O
LTSZOIJ,O,X,X,O,O,O,X,X
LTSZOJI,O,X,X,O,O,O,X,X
LTSOIJZ,O,O,O,O,X,X,X,X
LTSOIZJ,O,O,O,O,X,X,X,X
LTSOJIZ,O,O,O,X,X,X,X,X
LTSOJZI,O,X,O,X,X,X,X,X
LTSOZIJ,O,O,O,O,X,O,X,X
LTSOZJI,O,X,O,O,X,O,X,X
LTZIJSO,O,X,O,O,O,X,X,O
LTZIJOS,O,X,X,O,O,X,X,X
LTZISJO,O,O,O,O,O,X,O,X
LTZISOJ,O,X,X,O,O,X,O,X
LTZIOJS,O,X,O,X,O,X,X,X
LTZIOSJ,O,X,O,X,O,X,X,X
LTZJISO,O,X,O,O,O,X,O,O
LTZJIOS,O,X,X,O,O,X,X,X
LTZJSIO,O,X,X,O,O,X,O,O
LTZJSOI,O,X,X,O,O,X,X,O
LTZJOIS,O,X,X,O,O,X,X,X
LTZJOSI,O,X,X,O,O,X,X,O
LTZSIJO,O,O,X,O,O,X,O,X
LTZSIOJ,O,X,X,O,O,O,O,X
LTZSJIO,O,X,X,O,O,X,O,O
LTZSJOI,O,X,X,O,O,O,X,O
LTZSOIJ,O,X,X,O,O,O,X,X
LTZSOJI,O,X,X,O,O,O,X,X
LTZOIJS,O,X,O,O,O,X,X,X
LTZOISJ,O,X,O,O,O,X,X,X
LTZOJIS,O,X,O,O,O,X,X,X
LTZOJSI,O,X,O,O,O,X,X,O
LTZOSIJ,O,X,O,O,O,X,X,X
LTZOSJI,O,X,O,O,O,X,X,X
LTOIJSZ,O,O,O,X,O,X,X,X
LTOIJZS,O,X,O,X,O,X,X,X
LTOISJZ,O,O,O,O,O,X,X,X
LTOISZJ,O,O,O,O,O,X,X,X
LTOIZJS,O,X,O,O,O,X,X,X
LTOIZSJ,O,O,O,O,O,X,X,X
LTOJISZ,O,O,O,X,O,X,X,X
LTOJIZS,O,X,O,X,O,X,X,X
LTOJSIZ,O,O,O,O,O,X,X,O
LTOJSZI,O,X,O,O,O,X,X,O
LTOJZIS,O,X,O,O,O,X,X,X
LTOJZSI,O,X,O,O,O,X,X,O
LTOSIJZ,O,O,O,O,O,X,X,X
LTOSIZJ,O,O,O,O,O,X,X,X
LTOSJIZ,O,O,O,O,O,X,X,X
LTOSJZI,O,X,O,O,O,X,X,X
LTOSZIJ,O,O,O,O,O,X,X,X
LTOSZJI,O,X,O,O,O,X,X,X
LTOZIJS,O,X,O,O,O,X,X,X
LTOZISJ,O,O,O,O,O,X,X,X
LTOZJIS,O,X,O,O,O,X,X,X
LTOZJSI,O,X,O,O,O,X,X,O
LTOZSIJ,O,O,O,O,O,X,X,X
LTOZSJI,O,X,O,O,O,X,X,X
LITJSZO,O,O,O,X,O,X,X,O
LITJSOZ,O,O,O,X,X,X,X,O
LITJZSO,O,O,O,X,O,X,X,O
LITJZOS,O,O,X,X,O,X,X,X
LITJOSZ,O,O,O,X,X,X,X,X
LITJOZS,X,X,O,X,O,X,X,X
LITSJZO,O,O,O,O,O,X,X,X
LITSJOZ,O,O,O,O,X,X,X,X
LITSZJO,O,O,O,O,O,X,O,X
LITSZOJ,O,X,X,O,O,X,O,X
LITSOJZ,O,O,O,O,X,X,X,X
LITSOZJ,X,X,O,O,X,X,X,X
LITZJSO,O,X,O,O,O,X,X,O
LITZJOS,O,X,X,O,O,X,X,X
LITZSJO,O,O,O,O,O,X,O,X
LITZSOJ,O,X,X,O,O,X,O,X
LITZOJS,O,X,O,X,O,X,X,X
LITZOSJ,O,X,O,X,O,X,X,X
LITOJSZ,O,X,O,X,X,X,X,X
LITOJZS,X,X,O,X,O,X,X,X
LITOSJZ,O,O,O,X,X,X,X,X
LITOSZJ,X,X,O,X,X,X,X,X
LITOZJS,X,X,O,X,O,X,X,X
LITOZSJ,X,X,O,X,O,X,X,X
LIJTSZO,O,O,O,X,O,X,O,O
LIJTSOZ,O,O,O,X,X,X,X,O
LIJTZSO,O,O,O,X,O,X,O,O
LIJTZOS,O,O,X,X,O,X,X,X
LIJTOSZ,O,O,O,X,X,X,X,X
LIJTOZS,X,X,O,X,O,X,X,X
LIJSTZO,O,O,O,X,O,X,O,X
LIJSTOZ,O,O,O,X,X,X,X,X
LIJSZTO,O,O,O,X,X,X,O,X
LIJSZOT,X,O,X,X,X,X,O,X
LIJSOTZ,X,O,O,X,X,X,X,X
LIJSOZT,X,O,X,X,X,X,O,X
LIJZTSO,O,O,O,X,O,X,O,O
LIJZTOS,O,O,X,X,O,X,X,X
LIJZSTO,O,O,O,X,X,X,O,X
LIJZSOT,X,O,X,X,X,X,O,X
LIJZOTS,X,O,X,X,X,X,X,X
LIJZOST,X,O,X,X,X,X,O,X
LIJOTSZ,X,O,O,X,X,X,X,X
LIJOTZS,X,X,O,X,O,X,X,X
LIJOSTZ,X,O,O,X,X,X,X,X
LIJOSZT,X,O,O,X,X,X,O,X
LIJOZTS,X,O,O,X,X,X,X,X
LIJOZST,X,O,O,X,X,X,O,X
LISTJZO,O,O,O,O,O,X,X,X
LISTJOZ,O,O,O,O,X,X,X,X
LISTZJO,O,O,O,O,O,X,O,X
LISTZOJ,O,X,X,O,O,O,O,X
LISTOJZ,O,O,O,O,X,X,X,X
LISTOZJ,O,X,O,O,X,X,X,X
LISJTZO,O,O,O,O,O,X,O,X
LISJTOZ,O,O,O,O,X,X,X,X
LISJZTO,O,O,O,X,X,X,O,X
LISJZOT,X,O,X,X,X,X,O,X
LISJOTZ,O,O,O,X,X,X,X,X
LISJOZT,X,O,X,X,X,X,O,X
LISZTJO,O,O,O,O,X,X,O,X
LISZTOJ,O,X,X,O,X,O,O,X
LISZJTO,O,O,O,O,X,X,O,X
LISZJOT,O,O,X,O,X,X,O,X
LISZOTJ,O,X,X,O,X,X,O,X
LISZOJT,O,X,X,X,X,X,O,X
LISOTJZ,O,O,O,O,X,X,X,X
LISOTZJ,O,X,O,O,X,X,X,X
LISOJTZ,O,O,O,X,X,X,X,X
LISOJZT,X,O,O,X,X,X,X,X
LISOZTJ,O,X,O,X,X,X,O,X
LISOZJT,O,X,O,X,X,X,O,X
LIZTJSO,O,X,O,O,O,X,X,O
LIZTJOS,O,X,X,O,O,X,X,X
LIZTSJO,O,O,O,O,O,X,O,X
LIZTSOJ,O,X,X,O,O,X,O,X
LIZTOJS,O,X,O,X,O,X,X,X
LIZTOSJ,O,X,O,X,O,X,X,X
LIZJTSO,O,O,O,O,O,X,O,O
LIZJTOS,O,O,X,O,O,X,X,X
LIZJSTO,O,O,O,O,X,X,O,X
LIZJSOT,O,O,X,O,X,X,O,X
LIZJOTS,O,O,X,O,X,X,X,X
LIZJOST,O,O,X,O,X,X,O,X
LIZSTJO,O,O,O,O,X,X,O,X
LIZSTOJ,O,X,X,O,X,O,O,X
LIZSJTO,O,O,O,O,X,X,O,X
LIZSJOT,O,O,X,O,X,X,O,X
LIZSOTJ,O,X,X,O,X,X,O,X
LIZSOJT,O,X,X,X,X,X,O,X
LIZOTJS,O,X,O,O,X,X,X,X
LIZOTSJ,O,X,O,O,X,X,X,X
LIZOJTS,O,X,O,O,X,X,X,X
LIZOJST,O,X,O,O,X,X,X,X
LIZOSTJ,O,X,O,O,X,X,O,X
LIZOSJT,O,X,O,O,X,X,O,X
LIOTJSZ,O,X,O,X,X,X,X,X
LIOTJZS,O,X,O,X,O,X,X,X
LIOTSJZ,O,O,O,O,X,X,X,X
LIOTSZJ,O,X,O,O,X,X,X,X
LIOTZJS,O,X,O,O,O,X,X,X
LIOTZSJ,O,X,O,O,O,X,X,X
LIOJTSZ,O,O,O,X,X,X,X,X
LIOJTZS,O,X,O,X,O,X,X,X
