sequence,v115@OhA8EeA8AeC8BeA8BeF8KeXAJvhFdmBzhBaoB5oB2p?B0pB,v115@OhA8EeA8AeC8BeA8BeF8KeT/IvhFNlBRhBGjBimB/t?B0pB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB2p?BXqB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB/p?BOqB,v115@OhA8EeA8AeC8BeA8BeF8Kex/IvhFdmBzhBGjBypB/t?B0pB
TZJLOIS,O,O,O,X,X
TZJLOSI,O,O,O,X,X
TZJSILO,O,O,O,X,X
TZJSIOL,O,O,O,X,X
TZJSLIO,O,O,O,X,X
TZJSLOI,O,O,O,X,X
TZJSOIL,O,O,O,X,X
TZJSOLI,O,O,O,X,X
TZJOILS,O,X,O,X,X
TZJOISL,O,O,O,X,X
TZJOLIS,O,O,O,X,X
TZJOLSI,O,O,O,X,X
TZJOSIL,O,O,O,X,X
TZJOSLI,O,O,O,X,X
TZSILJO,O,O,X,O,X
TZSILOJ,O,O,X,O,X
TZSIJLO,O,O,X,O,X
TZSIJOL,O,O,X,O,O
TZSIOLJ,O,O,X,O,X
TZSIOJL,O,O,X,O,O
TZSLIJO,O,O,X,O,O
TZSLIOJ,O,O,X,O,O
TZSLJIO,O,O,X,O,O
TZSLJOI,O,O,X,O,O
TZSLOIJ,O,O,X,O,O
TZSLOJI,O,O,X,O,O
TZSJILO,O,O,X,O,X
TZSJIOL,O,O,X,O,O
TZSJLIO,O,O,X,O,O
TZSJLOI,O,O,X,O,O
TZSJOIL,O,O,X,O,O
TZSJOLI,O,O,X,O,O
TZSOILJ,O,O,X,O,X
TZSOIJL,O,O,X,O,O
TZSOLIJ,O,O,X,O,O
TZSOLJI,O,O,X,O,O
TZSOJIL,O,O,X,O,O
TZSOJLI,O,O,X,O,O
TZOILJS,O,O,O,X,X
TZOILSJ,O,O,X,O,X
TZOIJLS,O,X,O,X,X
TZOIJSL,O,O,O,X,X
TZOISLJ,O,O,X,O,X
TZOISJL,O,O,X,O,O
TZOLIJS,O,O,O,X,X
TZOLISJ,O,O,X,O,O
TZOLJIS,O,O,O,X,X
TZOLJSI,O,O,O,X,X
TZOLSIJ,O,O,X,O,O
TZOLSJI,O,O,X,O,O
TZOJILS,O,X,O,X,X
TZOJISL,O,O,O,X,X
TZOJLIS,O,O,O,X,X
TZOJLSI,O,O,O,X,X
TZOJSIL,O,O,O,X,X
TZOJSLI,O,O,O,X,X
TZOSILJ,O,O,X,O,X
TZOSIJL,O,O,X,O,O
TZOSLIJ,O,O,X,O,O
TZOSLJI,O,O,X,O,O
TZOSJIL,O,O,X,O,O
TZOSJLI,O,O,X,O,O
TOILJSZ,O,X,O,O,O
TOILJZS,O,X,O,X,X
TOILSJZ,O,X,O,O,O
TOILSZJ,O,X,X,O,O
TOILZJS,O,X,O,X,X
TOILZSJ,O,X,X,O,O
TOIJLSZ,O,X,O,O,X
TOIJLZS,O,X,O,X,X
TOIJSLZ,O,X,O,O,O
TOIJSZL,O,X,O,O,O
TOIJZLS,O,X,O,X,X
TOIJZSL,O,X,O,X,X
TOISLJZ,O,X,O,O,O
TOISLZJ,O,X,X,O,O
TOISJLZ,O,X,O,O,O
TOISJZL,O,O,O,O,O
TOISZLJ,O,O,X,O,X
TOISZJL,O,O,X,O,O
TOIZLJS,O,X,O,X,X
TOIZLSJ,O,O,X,O,X
TOIZJLS,O,X,O,X,X
TOIZJSL,O,O,O,X,X
TOIZSLJ,O,O,X,O,X
TOIZSJL,O,O,X,O,O
TOLIJSZ,O,X,O,O,O
TOLIJZS,O,X,O,X,X
TOLISJZ,O,O,O,O,O
TOLISZJ,O,O,X,O,O
TOLIZJS,O,O,O,X,X
TOLIZSJ,O,O,X,O,O
TOLJISZ,O,X,O,O,O
TOLJIZS,O,X,O,X,X
TOLJSIZ,O,X,O,O,O
TOLJSZI,O,X,O,O,O
TOLJZIS,O,X,O,X,X
TOLJZSI,O,X,O,X,X
TOLSIJZ,O,O,O,O,O
TOLSIZJ,O,O,X,O,O
TOLSJIZ,O,O,O,O,O
TOLSJZI,O,O,O,O,O
TOLSZIJ,O,O,X,O,O
TOLSZJI,O,O,X,O,O
TOLZIJS,O,O,O,X,X
TOLZISJ,O,O,X,O,O
TOLZJIS,O,O,O,X,X
TOLZJSI,O,O,O,X,X
TOLZSIJ,O,O,X,O,O
TOLZSJI,O,O,X,O,O
TOJILSZ,O,X,O,O,X
TOJILZS,O,X,O,X,X
TOJISLZ,O,X,O,O,O
TOJISZL,O,X,O,O,O
TOJIZLS,O,X,O,X,X
TOJIZSL,O,X,O,X,X
TOJLISZ,O,X,O,O,O
TOJLIZS,O,X,O,X,X
TOJLSIZ,O,X,O,O,O
TOJLSZI,O,X,O,O,O
TOJLZIS,O,X,O,X,X
TOJLZSI,O,X,O,X,X
TOJSILZ,O,X,O,O,O
TOJSIZL,O,X,O,O,O
TOJSLIZ,O,X,O,O,O
TOJSLZI,O,X,O,O,O
TOJSZIL,O,X,O,O,O
TOJSZLI,O,X,O,O,O
TOJZILS,O,X,O,X,X
TOJZISL,O,X,O,X,X
TOJZLIS,O,X,O,X,X
TOJZLSI,O,X,O,X,X
TOJZSIL,O,X,O,X,X
TOJZSLI,O,X,O,X,X
TOSILJZ,O,X,O,O,O
TOSILZJ,O,X,X,O,O
TOSIJLZ,O,X,O,O,O
TOSIJZL,O,O,O,O,O
TOSIZLJ,O,O,X,O,X
TOSIZJL,O,O,X,O,O
TOSLIJZ,O,O,O,O,O
TOSLIZJ,O,O,X,O,O
TOSLJIZ,O,O,O,O,O
TOSLJZI,O,O,O,O,O
TOSLZIJ,O,O,X,O,O
TOSLZJI,O,O,X,O,O
TOSJILZ,O,X,O,O,O
TOSJIZL,O,O,O,O,O
TOSJLIZ,O,O,O,O,O
TOSJLZI,O,O,O,O,O
TOSJZIL,O,O,O,O,O
TOSJZLI,O,O,O,O,O
TOSZILJ,O,O,X,O,X
TOSZIJL,O,O,X,O,O
TOSZLIJ,O,O,X,O,O
TOSZLJI,O,O,X,O,O
TOSZJIL,O,O,X,O,O
TOSZJLI,O,O,X,O,O
TOZILJS,O,O,O,X,X
TOZILSJ,O,O,X,O,X
TOZIJLS,O,X,O,X,X
TOZIJSL,O,O,O,X,X
TOZISLJ,O,O,X,O,X
TOZISJL,O,O,X,O,O
TOZLIJS,O,O,O,X,X
