sequence,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBGjBqsB/tBlrB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBfoB6oBlrBWyB,v115@HhC8GeC8GeE8AeA8Mex/IvhFXhBTjBFnB0nBGrBSyB,v115@HhC8GeC8GeE8AeA8Mex/IvhFlhBGjBzlB/tBCsB0sB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBCjBlrBGtBXtB,v115@HhC8GeC8GeE8AeA8Mex/IvhFlhBGjBzlB8rBqsB/tB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBWoBXoBlrBSyB,v115@HhC8GeC8GeE8AeA8Mex/IvhFXhBSoBUnBGrBTtBlsB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBCoBlrBXtBGtB,v115@HhC8GeC8GeE8AeA8Mex/IvhFlhBzlB8rBCoBXtBGtB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lB3mBGoBlsBCsBTtB
ILJZSTO,O,O,O,X,O,O,O,X,X,X,X
ILJZSOT,O,O,O,X,X,O,X,O,X,X,X
ILJZOTS,X,X,O,X,O,X,O,O,X,X,X
ILJZOST,X,X,O,X,X,X,X,O,X,X,X
ILJOTSZ,X,X,O,X,X,X,X,O,X,X,X
ILJOTZS,X,X,O,X,X,X,X,O,X,X,X
ILJOSTZ,X,X,O,X,X,O,X,O,X,X,X
ILJOSZT,X,X,O,X,X,O,X,O,X,X,X
ILJOZTS,X,X,O,X,O,O,O,O,X,X,X
ILJOZST,X,X,O,X,X,O,X,O,X,X,X
ILSTJZO,O,X,X,O,X,O,X,X,X,X,X
ILSTJOZ,O,X,O,O,X,O,X,X,X,X,X
ILSTZJO,O,X,X,O,X,O,X,X,O,X,X
ILSTZOJ,O,X,O,X,X,O,X,X,O,X,X
ILSTOJZ,O,X,O,O,X,O,X,X,X,X,X
ILSTOZJ,O,X,O,X,X,O,X,X,X,O,X
ILSJTZO,O,X,O,O,X,O,X,X,X,X,X
ILSJTOZ,O,X,O,O,X,O,X,X,X,X,X
ILSJZTO,O,X,O,O,X,O,O,X,O,X,X
ILSJZOT,O,X,O,X,X,O,X,X,X,X,X
ILSJOTZ,X,X,O,O,X,O,X,X,X,X,X
ILSJOZT,O,X,O,O,X,O,X,X,X,O,X
ILSZTJO,O,X,X,O,X,O,O,X,O,X,X
ILSZTOJ,O,X,X,X,X,O,O,X,O,X,X
ILSZJTO,O,X,X,O,X,O,O,X,O,X,X
ILSZJOT,O,X,X,X,X,O,X,X,X,X,X
ILSZOTJ,O,X,X,X,X,O,X,X,O,O,X
ILSZOJT,O,X,X,X,X,O,X,X,X,O,X
ILSOTJZ,X,X,O,O,X,O,X,X,X,X,X
ILSOTZJ,X,X,O,O,X,O,X,X,X,O,X
ILSOJTZ,X,X,O,O,X,O,X,X,X,X,X
ILSOJZT,O,X,O,O,X,O,X,X,X,O,X
ILSOZTJ,O,X,X,O,X,O,X,X,O,O,X
ILSOZJT,O,X,X,O,X,O,X,X,X,O,X
ILZTJSO,O,O,X,X,O,O,O,X,X,X,X
ILZTJOS,O,O,X,X,O,X,O,X,X,X,X
ILZTSJO,O,X,X,O,X,O,O,X,O,X,X
ILZTSOJ,O,X,O,X,X,O,O,X,O,X,X
ILZTOJS,O,O,X,X,O,X,O,X,X,X,X
ILZTOSJ,O,X,O,X,X,O,O,X,O,X,X
ILZJTSO,O,O,O,X,O,O,O,X,X,X,X
ILZJTOS,O,O,O,X,O,X,O,X,X,X,X
ILZJSTO,O,O,O,X,O,O,O,X,X,X,X
ILZJSOT,O,O,O,X,X,O,X,X,X,X,X
ILZJOTS,X,X,O,X,O,X,O,X,X,X,X
ILZJOST,X,X,O,X,X,X,X,X,X,X,X
ILZSTJO,O,X,X,O,X,O,O,X,O,X,O
ILZSTOJ,O,X,X,X,X,O,O,X,O,X,X
ILZSJTO,O,X,X,O,X,O,O,X,O,X,X
ILZSJOT,O,X,X,X,X,O,X,X,X,X,X
ILZSOTJ,O,X,X,X,X,O,X,X,O,X,X
ILZSOJT,O,X,X,X,X,O,X,X,X,X,X
ILZOTJS,O,X,X,X,X,O,O,X,X,X,X
ILZOTSJ,O,X,O,X,X,O,O,X,X,X,X
ILZOJTS,X,X,O,X,X,O,O,X,X,X,X
ILZOJST,X,X,O,X,X,O,X,X,X,X,X
ILZOSTJ,O,X,X,X,X,O,X,X,X,X,X
ILZOSJT,O,X,X,X,X,O,X,X,X,X,X
ILOTJSZ,X,X,O,O,X,X,X,O,X,X,X
ILOTJZS,X,X,O,X,X,X,X,O,X,X,X
ILOTSJZ,X,X,O,O,X,O,X,X,X,X,X
ILOTSZJ,X,X,O,O,X,O,X,X,X,X,X
ILOTZJS,X,X,X,X,X,O,X,X,X,X,X
ILOTZSJ,X,X,O,O,X,O,X,X,X,X,X
ILOJTSZ,X,X,O,O,X,X,X,O,X,X,X
ILOJTZS,X,X,O,X,X,X,X,O,X,X,X
ILOJSTZ,X,X,O,O,X,O,X,O,X,X,X
ILOJSZT,X,X,O,O,X,O,X,O,X,X,X
ILOJZTS,X,X,O,X,X,O,O,O,X,X,X
ILOJZST,X,X,O,X,X,O,X,O,X,X,X
ILOSTJZ,X,X,O,O,X,O,X,X,X,X,X
ILOSTZJ,X,X,O,O,X,O,X,X,X,O,X
ILOSJTZ,X,X,O,O,X,O,X,O,X,X,X
ILOSJZT,O,X,O,O,X,O,X,O,X,O,X
ILOSZTJ,O,X,X,O,X,O,X,X,X,O,X
ILOSZJT,O,X,X,O,X,O,X,X,X,O,X
ILOZTJS,O,X,X,X,X,O,O,X,X,X,X
ILOZTSJ,O,X,O,O,X,O,O,X,X,O,X
ILOZJTS,X,X,O,X,X,O,O,O,X,X,X
ILOZJST,X,X,O,X,X,O,X,O,X,X,X
ILOZSTJ,O,X,X,O,X,O,X,X,X,O,X
ILOZSJT,O,X,X,O,X,O,X,X,X,O,X
IJTLSZO,X,X,O,X,X,X,X,X,X,X,X
IJTLSOZ,X,X,O,X,X,X,X,X,X,X,X
IJTLZSO,X,X,O,X,O,X,X,X,X,X,X
IJTLZOS,X,X,O,X,O,X,X,X,X,X,X
IJTLOSZ,X,X,O,X,X,X,X,X,X,X,X
IJTLOZS,X,X,O,X,O,X,X,X,X,X,X
IJTSLZO,X,O,O,X,X,X,X,X,X,X,X
IJTSLOZ,X,O,O,X,X,X,X,X,X,X,X
IJTSZLO,X,O,O,X,X,X,X,X,X,X,X
IJTSZOL,X,O,X,X,X,X,X,O,X,X,X
IJTSOLZ,X,O,O,X,X,X,X,O,X,X,X
IJTSOZL,X,O,X,X,X,X,X,O,X,X,X
IJTZLSO,X,O,O,X,O,X,X,X,X,X,X
IJTZLOS,X,O,O,X,O,X,X,X,X,X,X
IJTZSLO,X,O,O,X,O,X,X,X,X,X,X
IJTZSOL,X,O,X,X,O,X,X,O,X,X,X
IJTZOLS,X,O,X,X,O,X,X,O,X,X,X
IJTZOSL,X,O,X,X,O,X,X,O,X,X,X
IJTOLSZ,X,X,O,X,X,X,X,O,X,X,X
IJTOLZS,X,X,O,X,O,X,X,O,X,X,X
IJTOSLZ,X,O,O,X,X,X,X,O,X,X,X
IJTOSZL,X,O,X,X,X,X,X,O,X,X,X
IJTOZLS,X,O,X,X,O,X,X,O,X,X,X
IJTOZSL,X,O,X,X,O,X,X,O,X,X,X
IJLTSZO,X,X,O,O,X,X,X,X,X,X,X
IJLTSOZ,X,X,O,O,X,X,X,X,X,X,X
IJLTZSO,X,X,O,X,O,X,O,X,X,X,X
IJLTZOS,X,X,O,X,O,X,O,X,X,X,X
IJLTOSZ,X,X,O,X,X,X,X,X,X,X,X
IJLTOZS,X,X,O,X,O,X,X,X,X,X,X
IJLSTZO,O,O,O,O,X,O,X,X,X,X,X
IJLSTOZ,X,X,O,O,X,O,X,X,X,X,X
IJLSZTO,O,O,O,O,O,O,O,X,X,X,X
IJLSZOT,O,O,O,X,X,O,X,O,X,X,X
IJLSOTZ,X,X,O,O,X,O,X,O,X,X,X
IJLSOZT,O,O,O,X,X,O,X,O,X,X,X
IJLZTSO,O,O,O,X,O,O,O,X,X,X,X
IJLZTOS,O,O,O,X,O,X,O,X,X,X,X
IJLZSTO,O,O,O,X,O,O,O,X,X,X,X
IJLZSOT,O,O,O,X,X,O,X,O,X,X,X
IJLZOTS,X,X,O,X,O,X,O,O,X,X,X
IJLZOST,X,X,O,X,X,X,X,O,X,X,X
IJLOTSZ,X,X,O,X,X,X,X,O,X,X,X
IJLOTZS,X,X,O,X,X,X,X,O,X,X,X
IJLOSTZ,X,X,O,X,X,O,X,O,X,X,X
IJLOSZT,X,X,O,X,X,O,X,O,X,X,X
IJLOZTS,X,X,O,X,O,O,O,O,X,X,X
IJLOZST,X,X,O,X,X,O,X,O,X,X,X
IJSTLZO,O,O,O,O,X,O,X,X,X,X,X
IJSTLOZ,X,O,O,O,X,O,X,X,X,X,X
IJSTZLO,O,O,O,X,X,X,X,X,X,X,X
IJSTZOL,X,O,X,X,X,X,X,O,X,X,X
IJSTOLZ,X,O,O,O,X,O,X,O,X,X,X
IJSTOZL,X,O,X,O,X,X,X,O,X,X,X
IJSLTZO,O,O,O,O,X,O,X,X,X,X,X
IJSLTOZ,X,O,O,O,X,O,X,X,X,X,X
IJSLZTO,O,O,O,O,O,O,X,X,O,X,X
IJSLZOT,O,O,O,X,X,O,X,O,X,X,X
IJSLOTZ,X,X,O,O,X,O,X,O,X,X,X
IJSLOZT,O,O,O,O,X,O,X,O,X,O,X
IJSZTLO,O,O,O,X,O,X,X,X,O,X,X
IJSZTOL,X,O,X,X,O,X,X,O,O,X,X
IJSZLTO,O,O,O,O,O,O,X,X,O,X,X
IJSZLOT,O,O,O,X,X,O,X,O,X,X,X
IJSZOTL,X,O,X,O,X,X,X,O,X,X,X
IJSZOLT,O,O,X,O,X,O,X,O,X,X,X
IJSOTLZ,X,X,O,O,X,O,X,O,X,X,X
IJSOTZL,X,X,X,O,X,X,X,O,X,X,X
IJSOLTZ,X,X,O,O,X,O,X,O,X,X,X
IJSOLZT,O,O,O,O,X,O,X,O,X,O,X
IJSOZTL,X,O,X,O,X,X,X,O,X,O,X
IJSOZLT,O,O,X,O,X,O,X,O,X,O,X
IJZTLSO,O,O,O,X,O,O,O,X,X,X,X
IJZTLOS,O,O,O,X,O,X,O,X,X,X,X
IJZTSLO,O,O,O,X,O,X,X,X,O,X,X
IJZTSOL,X,O,X,X,O,X,X,O,O,X,X
IJZTOLS,O,O,X,X,O,X,O,O,X,X,X
IJZTOSL,X,O,X,X,O,X,X,O,O,X,X
IJZLTSO,O,O,O,X,O,O,O,X,X,X,X
IJZLTOS,O,O,O,X,O,X,O,X,X,X,X
IJZLSTO,O,O,O,X,O,O,O,X,X,X,X
IJZLSOT,O,O,O,X,X,O,X,O,X,X,X
IJZLOTS,X,X,O,X,O,X,O,O,X,X,X
IJZLOST,X,X,O,X,X,X,X,O,X,X,X
IJZSTLO,O,O,O,X,O,X,X,X,O,X,O
IJZSTOL,X,O,X,X,O,X,X,O,O,X,O
IJZSLTO,O,O,O,X,O,X,X,X,O,X,X
IJZSLOT,O,O,O,X,X,X,X,O,X,X,X
IJZSOTL,X,O,X,X,X,X,X,O,X,X,X
IJZSOLT,O,O,X,X,X,X,X,O,X,X,X
IJZOTLS,X,O,X,X,O,X,X,O,X,X,X
IJZOTSL,X,O,X,X,O,X,X,O,X,X,X
IJZOLTS,X,X,X,X,O,X,X,O,X,X,X
IJZOLST,X,X,X,X,X,X,X,O,X,X,X
IJZOSTL,X,O,X,X,X,X,X,O,X,X,X
IJZOSLT,X,O,X,X,X,X,X,O,X,X,X
IJOTLSZ,X,X,O,O,X,X,X,O,X,X,X
IJOTLZS,X,X,O,X,X,X,X,O,X,X,X
IJOTSLZ,X,X,O,O,X,X,X,O,X,X,X
IJOTSZL,X,X,X,O,X,X,X,O,X,X,X
IJOTZLS,X,X,X,X,X,X,X,O,X,X,X
IJOTZSL,X,X,X,X,X,X,X,O,X,X,X
IJOLTSZ,X,X,O,O,X,X,X,O,X,X,X
IJOLTZS,X,X,O,X,X,X,X,O,X,X,X
IJOLSTZ,X,X,O,O,X,O,X,O,X,X,X
IJOLSZT,X,X,O,O,X,O,X,O,X,X,X
IJOLZTS,X,X,O,X,O,O,X,O,X,X,X
IJOLZST,X,X,O,X,X,O,X,O,X,X,X
IJOSTLZ,X,X,O,O,X,O,X,O,X,X,X
IJOSTZL,X,X,X,O,X,X,X,O,X,X,X
IJOSLTZ,X,X,O,O,X,O,X,O,X,X,X
IJOSLZT,X,O,O,O,X,O,X,O,X,O,X
IJOSZTL,X,O,X,O,X,X,X,O,X,O,X
IJOSZLT,X,O,X,O,X,O,X,O,X,O,X
IJOZTLS,X,O,X,X,O,O,X,O,X,X,X
IJOZTSL,X,O,X,X,O,X,X,O,X,O,X
IJOZLTS,X,X,X,X,O,O,X,O,X,X,X
IJOZLST,X,X,X,X,X,O,X,O,X,X,X
IJOZSTL,X,O,X,X,X,X,X,O,X,O,X
IJOZSLT,X,O,X,X,X,X,X,O,X,O,X
ISTLJZO,O,X,X,O,X,O,X,X,X,X,X
ISTLJOZ,O,X,O,O,X,O,X,X,X,X,X
ISTLZJO,O,X,X,O,X,O,X,X,O,X,X
ISTLZOJ,O,X,O,X,X,O,X,X,O,X,X
ISTLOJZ,O,X,O,O,X,O,X,X,X,X,X
ISTLOZJ,O,X,O,X,X,O,X,X,O,O,X
ISTJLZO,O,X,X,O,X,O,X,X,X,X,X
ISTJLOZ,X,X,O,O,X,O,X,X,X,X,X
ISTJZLO,O,X,X,X,X,X,X,X,X,X,O
ISTJZOL,X,X,X,X,X,X,X,X,X,X,O
ISTJOLZ,X,X,X,O,X,O,X,X,X,X,X
ISTJOZL,X,X,X,O,X,X,X,X,X,X,X
ISTZLJO,O,X,X,X,X,X,X,X,O,X,O
ISTZLOJ,O,X,O,X,X,X,X,X,O,X,X
ISTZJLO,O,X,X,X,X,X,X,X,O,X,O
ISTZJOL,X,X,X,X,X,X,X,X,O,X,O
ISTZOLJ,O,X,X,X,X,X,X,X,O,X,X
ISTZOJL,X,X,X,X,X,X,X,X,O,X,O
ISTOLJZ,X,X,O,O,X,O,X,X,X,X,X
ISTOLZJ,X,X,O,O,X,O,X,X,O,O,X
ISTOJLZ,X,X,X,O,X,O,X,X,X,X,X
ISTOJZL,X,X,X,O,X,X,X,X,X,X,X
ISTOZLJ,X,X,X,X,X,X,X,X,O,O,X
ISTOZJL,X,X,X,O,X,X,X,X,O,O,X
ISLTJZO,O,X,X,O,X,O,X,X,X,X,X
ISLTJOZ,O,X,O,O,X,O,X,X,X,X,X
ISLTZJO,O,X,X,O,X,O,X,X,O,X,X
ISLTZOJ,O,X,O,X,X,O,X,X,O,X,X
ISLTOJZ,O,X,O,O,X,O,X,X,X,X,X
ISLTOZJ,O,X,O,X,X,O,X,X,O,O,X
ISLJTZO,O,X,O,O,X,O,X,X,X,X,X
ISLJTOZ,O,X,O,O,X,O,X,X,X,X,X
ISLJZTO,O,X,O,O,X,O,O,X,O,X,X
ISLJZOT,O,X,O,X,X,O,X,X,X,X,X
ISLJOTZ,X,X,O,O,X,O,X,X,X,X,X
ISLJOZT,O,X,O,O,X,O,X,X,X,O,X
ISLZTJO,O,X,X,O,X,O,O,X,O,X,X
ISLZTOJ,O,X,X,X,X,O,O,X,O,X,X
ISLZJTO,O,X,X,O,X,O,O,X,O,X,X
ISLZJOT,O,X,X,X,X,O,X,X,X,X,X
ISLZOTJ,O,X,X,X,X,O,X,X,O,O,X
ISLZOJT,O,X,X,X,X,O,X,X,X,O,X
ISLOTJZ,X,X,O,O,X,O,X,X,X,X,X
ISLOTZJ,X,X,O,O,X,O,X,X,X,O,X
ISLOJTZ,X,X,O,O,X,O,X,X,X,X,X
ISLOJZT,O,X,O,O,X,O,X,X,X,O,X
ISLOZTJ,O,X,X,O,X,O,X,X,O,O,X
ISLOZJT,O,X,X,O,X,O,X,X,X,O,X
ISJTLZO,O,O,O,O,X,O,X,X,X,X,X
ISJTLOZ,X,X,O,O,X,O,X,X,X,X,X
ISJTZLO,O,O,O,X,X,X,X,X,X,X,X
ISJTZOL,X,O,X,X,X,X,X,O,X,X,X
ISJTOLZ,X,X,O,O,X,O,X,O,X,X,X
ISJTOZL,X,X,X,O,X,X,X,O,X,X,X
ISJLTZO,O,O,O,O,X,O,X,X,X,X,X
ISJLTOZ,O,X,O,O,X,O,X,X,X,X,X
ISJLZTO,O,O,O,O,O,O,X,X,O,X,X
ISJLZOT,O,O,O,X,X,O,X,O,X,X,X
ISJLOTZ,X,X,O,O,X,O,X,O,X,X,X
ISJLOZT,O,O,O,O,X,O,X,O,X,O,X
ISJZTLO,O,O,O,X,O,X,X,X,O,X,X
ISJZTOL,X,O,X,X,O,X,X,O,O,X,X
ISJZLTO,O,O,O,O,O,O,X,X,O,X,X
ISJZLOT,O,O,O,X,X,O,X,O,X,X,X
ISJZOTL,X,O,X,O,X,X,X,O,X,X,X
ISJZOLT,O,O,X,O,X,O,X,O,X,X,X
ISJOTLZ,X,X,O,O,X,O,X,O,X,X,X
ISJOTZL,X,X,X,O,X,X,X,O,X,X,X
ISJOLTZ,X,X,O,O,X,O,X,O,X,X,X
ISJOLZT,O,O,O,O,X,O,X,O,X,O,X
ISJOZTL,X,O,X,O,X,X,X,O,X,O,X
ISJOZLT,O,O,X,O,X,O,X,O,X,O,X
ISZTLJO,O,X,X,X,X,O,O,X,O,X,O
ISZTLOJ,O,X,X,X,X,O,O,X,O,X,X
ISZTJLO,O,O,X,X,O,X,X,X,O,X,O
ISZTJOL,X,O,X,X,O,X,X,X,O,X,O
ISZTOLJ,O,X,X,X,X,X,O,X,O,X,X
ISZTOJL,X,O,X,X,O,X,X,X,O,X,O
ISZLTJO,O,X,X,O,X,O,O,X,O,X,O
ISZLTOJ,O,X,X,X,X,O,O,X,O,X,X
ISZLJTO,O,X,X,O,X,O,O,X,O,X,X
ISZLJOT,O,X,X,X,X,O,X,X,X,X,X
ISZLOTJ,O,X,X,X,X,O,X,X,O,O,X
ISZLOJT,O,X,X,X,X,O,X,X,X,O,X
ISZJTLO,O,O,X,X,O,X,X,X,O,X,O
ISZJTOL,X,O,X,X,O,X,X,X,O,X,O
ISZJLTO,O,O,X,O,O,O,X,X,O,X,X
ISZJLOT,O,O,X,X,X,O,X,X,X,X,X
ISZJOTL,X,O,X,O,X,X,X,X,X,X,X
ISZJOLT,O,O,X,O,X,O,X,X,X,X,X
ISZOTLJ,O,X,X,X,X,X,X,X,O,O,X
ISZOTJL,X,X,X,O,X,X,X,X,O,O,O
ISZOLTJ,O,X,X,O,X,O,X,X,O,O,X
ISZOLJT,O,X,X,O,X,O,X,X,X,O,X
ISZOJTL,X,X,X,O,X,X,X,X,X,O,X
ISZOJLT,O,X,X,O,X,O,X,X,X,O,X
ISOTLJZ,X,X,X,O,X,O,X,X,X,X,X
ISOTLZJ,X,X,X,O,X,O,X,X,X,O,X
ISOTJLZ,X,X,X,O,X,O,X,X,X,X,X
ISOTJZL,X,X,X,O,X,X,X,X,X,X,X
ISOTZLJ,X,X,X,X,X,X,X,X,X,O,X
ISOTZJL,X,X,X,O,X,X,X,X,X,O,X
ISOLTJZ,X,X,X,O,X,O,X,X,X,X,X
ISOLTZJ,X,X,X,O,X,O,X,X,X,O,X
ISOLJTZ,X,X,X,O,X,O,X,O,X,X,X
ISOLJZT,O,X,X,O,X,O,X,O,X,O,X
ISOLZTJ,O,X,X,O,X,O,X,X,O,O,X
ISOLZJT,O,X,X,O,X,O,X,X,X,O,X
ISOJTLZ,X,X,X,O,X,O,X,O,X,X,X
ISOJTZL,X,X,X,O,X,X,X,O,X,X,X
ISOJLTZ,X,X,X,O,X,O,X,O,X,X,X
ISOJLZT,O,X,X,O,X,O,X,O,X,O,X
ISOJZTL,X,X,X,O,X,X,X,O,X,O,X
ISOJZLT,O,X,X,O,X,O,X,O,X,O,X
ISOZTLJ,O,X,X,X,X,O,X,X,O,O,X
ISOZTJL,X,X,X,O,X,X,X,X,O,O,X
ISOZLTJ,O,X,X,O,X,O,X,X,O,O,X
ISOZLJT,O,X,X,O,X,O,X,X,X,O,X
ISOZJTL,X,X,X,O,X,X,X,X,X,O,X
ISOZJLT,O,X,X,O,X,O,X,X,X,O,X
IZTLJSO,O,O,X,X,O,O,O,X,X,X,X
IZTLJOS,O,O,X,X,O,X,O,X,X,X,X
IZTLSJO,O,X,X,X,X,O,O,X,O,X,X
IZTLSOJ,O,X,O,X,X,O,O,X,O,X,X
IZTLOJS,O,O,X,X,O,X,O,X,X,X,X
IZTLOSJ,O,X,O,X,X,O,O,X,O,X,X
IZTJLSO,O,O,X,X,O,O,O,X,X,X,X
IZTJLOS,O,O,X,X,O,X,O,X,X,X,X
IZTJSLO,O,O,X,X,O,X,X,X,O,X,X
IZTJSOL,X,O,X,X,O,X,X,X,O,X,X
IZTJOLS,O,O,X,X,O,X,O,X,X,X,X
IZTJOSL,X,O,X,X,O,X,X,X,O,X,X
IZTSLJO,O,X,X,X,X,O,O,X,O,X,O
IZTSLOJ,O,X,O,X,X,O,O,X,O,X,X
IZTSJLO,O,O,X,X,O,X,X,X,O,X,O
IZTSJOL,X,O,X,X,O,X,X,X,O,X,O
IZTSOLJ,O,X,X,X,X,X,O,X,O,X,X
IZTSOJL,X,O,X,X,O,X,X,X,O,X,O
IZTOLJS,O,O,X,X,O,X,O,X,X,X,X
IZTOLSJ,O,X,X,X,X,O,O,X,O,X,X
IZTOJLS,O,O,X,X,O,X,O,X,X,X,X
IZTOJSL,X,O,X,X,O,X,X,X,O,X,X
IZTOSLJ,O,X,X,X,X,X,O,X,O,X,X
IZTOSJL,X,O,X,X,O,X,X,X,O,X,X
IZLTJSO,O,O,X,X,O,O,O,X,X,X,X
IZLTJOS,O,O,X,X,O,X,O,X,X,X,X
IZLTSJO,O,X,X,O,X,O,O,X,O,X,X
IZLTSOJ,O,X,O,X,X,O,O,X,O,X,X
IZLTOJS,O,O,X,X,O,X,O,X,X,X,X
IZLTOSJ,O,X,O,X,X,O,O,X,O,X,X
IZLJTSO,O,O,O,X,O,O,O,X,X,X,X
IZLJTOS,O,O,O,X,O,X,O,X,X,X,X
IZLJSTO,O,O,O,X,O,O,O,X,X,X,X
IZLJSOT,O,O,O,X,X,O,X,X,X,X,X
IZLJOTS,X,X,O,X,O,X,O,X,X,X,X
IZLJOST,X,X,O,X,X,X,X,X,X,X,X
IZLSTJO,O,X,X,O,X,O,O,X,O,X,O
IZLSTOJ,O,X,X,X,X,O,O,X,O,X,X
IZLSJTO,O,X,X,O,X,O,O,X,O,X,X
IZLSJOT,O,X,X,X,X,O,X,X,X,X,X
IZLSOTJ,O,X,X,X,X,O,X,X,O,X,X
IZLSOJT,O,X,X,X,X,O,X,X,X,X,X
IZLOTJS,O,X,X,X,X,O,O,X,X,X,X
IZLOTSJ,O,X,O,X,X,O,O,X,X,X,X
IZLOJTS,X,X,O,X,X,O,O,X,X,X,X
IZLOJST,X,X,O,X,X,O,X,X,X,X,X
IZLOSTJ,O,X,X,X,X,O,X,X,X,X,X
IZLOSJT,O,X,X,X,X,O,X,X,X,X,X
IZJTLSO,O,O,O,X,O,O,O,X,X,X,X
IZJTLOS,O,O,O,X,O,X,O,X,X,X,X
IZJTSLO,O,O,O,X,O,X,X,X,O,X,X
IZJTSOL,X,O,X,X,O,X,X,O,O,X,X
IZJTOLS,O,O,X,X,O,X,O,O,X,X,X
IZJTOSL,X,O,X,X,O,X,X,O,O,X,X
IZJLTSO,O,O,O,X,O,O,O,X,X,X,X
IZJLTOS,O,O,O,X,O,X,O,X,X,X,X
IZJLSTO,O,O,O,X,O,O,O,X,X,X,X
IZJLSOT,O,O,O,X,X,O,X,O,X,X,X
IZJLOTS,X,X,O,X,O,X,O,O,X,X,X
IZJLOST,X,X,O,X,X,X,X,O,X,X,X
IZJSTLO,O,O,O,X,O,X,X,X,O,X,O
IZJSTOL,X,O,X,X,O,X,X,O,O,X,O
IZJSLTO,O,O,O,X,O,X,X,X,O,X,X
IZJSLOT,O,O,O,X,X,X,X,O,X,X,X
IZJSOTL,X,O,X,X,X,X,X,O,X,X,X
IZJSOLT,O,O,X,X,X,X,X,O,X,X,X
IZJOTLS,X,O,X,X,O,X,X,O,X,X,X
IZJOTSL,X,O,X,X,O,X,X,O,X,X,X
IZJOLTS,X,X,X,X,O,X,X,O,X,X,X
IZJOLST,X,X,X,X,X,X,X,O,X,X,X
IZJOSTL,X,O,X,X,X,X,X,O,X,X,X
IZJOSLT,X,O,X,X,X,X,X,O,X,X,X
IZSTLJO,O,X,X,X,X,O,O,X,O,X,O
IZSTLOJ,O,X,X,X,X,O,O,X,O,X,X
IZSTJLO,O,O,X,X,O,X,X,X,O,X,O
IZSTJOL,X,O,X,X,O,X,X,X,O,X,O
IZSTOLJ,O,X,X,X,X,X,O,X,O,X,X
IZSTOJL,X,O,X,X,O,X,X,X,O,X,O
IZSLTJO,O,X,X,O,X,O,O,X,O,X,O
IZSLTOJ,O,X,X,X,X,O,O,X,O,X,X
IZSLJTO,O,X,X,O,X,O,O,X,O,X,X
IZSLJOT,O,X,X,X,X,O,X,X,X,X,X
IZSLOTJ,O,X,X,X,X,O,X,X,O,O,X
IZSLOJT,O,X,X,X,X,O,X,X,X,O,X
IZSJTLO,O,O,X,X,O,X,X,X,O,X,O
IZSJTOL,X,O,X,X,O,X,X,X,O,X,O
IZSJLTO,O,O,X,O,O,O,X,X,O,X,X
IZSJLOT,O,O,X,X,X,O,X,X,X,X,X
IZSJOTL,X,O,X,O,X,X,X,X,X,X,X
IZSJOLT,O,O,X,O,X,O,X,X,X,X,X
IZSOTLJ,O,X,X,X,X,X,X,X,O,O,X
IZSOTJL,X,X,X,O,X,X,X,X,O,O,O
IZSOLTJ,O,X,X,O,X,O,X,X,O,O,X
IZSOLJT,O,X,X,O,X,O,X,O,X,O,X
IZSOJTL,X,X,X,O,X,X,X,X,X,O,X
IZSOJLT,O,X,X,O,X,O,X,X,X,O,X
IZOTLJS,O,O,X,X,O,O,O,X,X,X,X
IZOTLSJ,O,X,X,O,X,O,O,X,O,O,X
IZOTJLS,O,O,X,X,O,O,O,X,X,X,X
IZOTJSL,X,O,X,X,O,X,X,X,O,O,X
IZOTSLJ,O,X,X,X,X,O,O,X,O,O,X
IZOTSJL,X,O,X,O,O,X,X,X,O,O,X
IZOLTJS,O,X,X,X,X,O,O,X,X,X,X
IZOLTSJ,O,X,X,O,X,O,O,X,X,O,X
IZOLJTS,X,X,X,X,X,O,O,O,X,X,X
IZOLJST,X,X,X,X,X,O,X,O,X,X,X
IZOLSTJ,O,X,X,O,X,O,X,X,X,O,X
IZOLSJT,O,X,X,O,X,O,X,O,X,O,X
IZOJTLS,X,O,X,X,O,O,X,O,X,X,X
IZOJTSL,X,O,X,X,O,X,X,O,X,O,X
IZOJLTS,X,X,X,X,O,O,X,O,X,X,X
IZOJLST,X,X,X,X,X,O,X,O,X,X,X
IZOJSTL,X,O,X,X,X,X,X,O,X,O,X
IZOJSLT,X,O,X,X,X,X,X,O,X,O,X
IZOSTLJ,O,X,X,X,X,O,X,X,O,O,X
IZOSTJL,X,X,X,O,X,X,X,X,O,O,O
IZOSLTJ,O,X,X,O,X,O,X,X,O,O,X
IZOSLJT,O,X,X,O,X,O,X,O,X,O,X
IZOSJTL,X,X,X,O,X,X,X,X,X,O,X
IZOSJLT,O,X,X,O,X,O,X,X,X,O,X
IOTLJSZ,X,X,O,O,X,X,X,O,X,X,X
IOTLJZS,X,X,X,X,X,X,X,O,X,X,X
IOTLSJZ,X,X,O,O,X,O,X,X,X,X,X
