sequence,v115@OhB8GeE8DeE8JeKEJvhFflBzhBGjBUmBllBRvB,v115@OhB8GeE8DeE8Jex/IvhFKmBzhBGjB/pB0qBFqB,v115@OhB8GeE8DeE8Je0/IvhFlgBzhBGjB/pBxqByvB,v115@OhB8GeE8DeE8JeKEJvhFzfB8mBGjB3lBFmBRvB,v115@OhB8GeE8DeE8Je3AJvhFzhBGjB0kBVrBikBRvB,v115@OhB8GeE8DeE8JeRAJvhFzhBGjBypBUmB1vB/pB
TSJILZO,X,X,O,X,O,X
TSJILOZ,X,O,O,X,O,X
TSJIZLO,X,O,O,X,O,X
TSJIZOL,X,X,O,X,O,X
TSJIOLZ,X,X,O,X,O,X
TSJIOZL,X,X,O,X,O,X
TSJLIZO,X,X,X,X,O,X
TSJLIOZ,X,O,X,X,O,X
TSJLZIO,X,O,X,X,X,O
TSJLZOI,X,O,X,X,X,O
TSJLOIZ,X,O,X,X,O,X
TSJLOZI,X,O,X,X,X,X
TSJZILO,X,O,O,X,O,X
TSJZIOL,X,X,O,X,O,X
TSJZLIO,X,O,O,X,X,O
TSJZLOI,X,O,O,X,X,O
TSJZOIL,X,X,O,X,O,X
TSJZOLI,X,O,O,X,X,O
TSJOILZ,X,X,O,X,O,X
TSJOIZL,X,X,O,X,O,X
TSJOLIZ,X,O,X,X,O,X
TSJOLZI,X,O,X,X,X,X
TSJOZIL,X,X,O,X,O,X
TSJOZLI,X,O,O,X,X,X
TSZILJO,X,O,O,X,O,X
TSZILOJ,X,O,O,X,O,X
TSZIJLO,X,O,O,X,O,X
TSZIJOL,X,X,O,X,O,X
TSZIOLJ,X,X,O,X,O,X
TSZIOJL,X,X,O,X,O,X
TSZLIJO,X,O,X,X,X,O
TSZLIOJ,X,O,X,X,X,O
TSZLJIO,X,O,O,X,X,O
TSZLJOI,X,O,O,X,X,O
TSZLOIJ,X,O,X,X,X,O
TSZLOJI,X,O,O,X,X,O
TSZJILO,X,O,O,X,O,X
TSZJIOL,X,X,O,X,O,X
TSZJLIO,X,O,O,X,X,O
TSZJLOI,X,O,O,X,X,O
TSZJOIL,X,X,O,X,O,X
TSZJOLI,X,O,O,X,X,O
TSZOILJ,X,X,O,X,O,X
TSZOIJL,X,X,O,X,O,X
TSZOLIJ,X,O,X,X,X,O
TSZOLJI,X,O,O,X,X,O
TSZOJIL,X,X,O,X,O,X
TSZOJLI,X,O,O,X,X,O
TSOILJZ,X,X,O,X,O,X
TSOILZJ,X,X,O,X,O,X
TSOIJLZ,X,X,O,X,O,X
TSOIJZL,X,X,O,X,O,X
TSOIZLJ,X,X,O,X,O,X
TSOIZJL,X,X,O,X,O,X
TSOLIJZ,X,O,X,X,O,X
TSOLIZJ,X,X,X,X,O,X
TSOLJIZ,X,O,X,X,O,X
TSOLJZI,X,O,X,X,X,X
TSOLZIJ,X,O,X,X,X,X
TSOLZJI,X,O,X,X,X,X
TSOJILZ,X,X,O,X,O,X
TSOJIZL,X,X,O,X,O,X
TSOJLIZ,X,O,X,X,O,X
TSOJLZI,X,O,X,X,X,X
TSOJZIL,X,X,O,X,O,X
TSOJZLI,X,O,O,X,X,X
TSOZILJ,X,X,O,X,O,X
TSOZIJL,X,X,O,X,O,X
