sequence,v115@OhA8EeA8AeC8BeA8BeF8KeXAJvhFdmBzhBaoB5oB2p?B0pB,v115@OhA8EeA8AeC8BeA8BeF8KeT/IvhFNlBRhBGjBimB/t?B0pB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB2p?BXqB,v115@OhA8EeA8AeC8BeA8BeF8Ke0/IvhFdmBzhBaoB5oB/p?BOqB,v115@OhA8EeA8AeC8BeA8BeF8Kex/IvhFdmBzhBGjBypB/t?B0pB
TOILJZS,X,X,O,X,X
TOILSJZ,O,X,X,X,X
TOILSZJ,X,X,X,O,X
TOILZJS,X,X,X,X,X
TOILZSJ,X,X,X,X,X
TOIJLSZ,O,X,X,X,X
TOIJLZS,X,X,O,X,X
TOIJSLZ,O,X,X,X,X
TOIJSZL,X,X,X,X,X
TOIJZLS,X,X,O,X,X
TOIJZSL,X,X,X,X,X
TOISLJZ,O,X,X,X,X
TOISLZJ,X,X,X,O,X
TOISJLZ,O,X,X,X,O
TOISJZL,X,X,X,X,X
TOISZLJ,X,X,X,O,X
TOISZJL,X,X,X,X,X
TOIZLJS,X,X,X,X,X
TOIZLSJ,X,X,X,X,X
TOIZJLS,X,X,X,X,X
TOIZJSL,X,X,X,X,X
TOIZSLJ,X,X,X,X,X
TOIZSJL,X,X,X,X,X
TOLIJSZ,O,X,X,X,X
TOLIJZS,X,X,O,X,X
TOLISJZ,O,X,X,X,O
TOLISZJ,X,X,X,O,X
TOLIZJS,X,X,X,X,X
TOLIZSJ,X,X,X,X,X
TOLJISZ,O,X,X,X,X
TOLJIZS,X,X,O,X,X
TOLJSIZ,O,X,X,X,X
TOLJSZI,X,X,X,X,X
TOLJZIS,X,X,O,X,X
TOLJZSI,X,X,X,X,X
TOLSIJZ,O,X,X,X,O
TOLSIZJ,X,X,X,O,X
TOLSJIZ,O,X,X,X,O
TOLSJZI,X,X,X,X,O
TOLSZIJ,X,X,X,O,O
TOLSZJI,X,X,X,X,O
TOLZIJS,X,X,X,X,X
TOLZISJ,X,X,X,X,X
TOLZJIS,X,X,X,X,X
TOLZJSI,X,X,X,X,X
TOLZSIJ,X,X,X,X,X
TOLZSJI,X,X,X,X,X
TOJILSZ,O,X,X,X,X
TOJILZS,X,X,O,X,X
TOJISLZ,O,X,X,X,X
TOJISZL,X,X,X,X,X
TOJIZLS,X,X,O,X,X
TOJIZSL,X,X,X,X,X
TOJLISZ,O,X,X,X,X
TOJLIZS,X,X,O,X,X
TOJLSIZ,O,X,X,X,X
TOJLSZI,X,X,X,X,X
TOJLZIS,X,X,O,X,X
TOJLZSI,X,X,X,X,X
TOJSILZ,O,X,X,X,X
TOJSIZL,X,X,X,X,X
TOJSLIZ,O,X,X,X,X
TOJSLZI,X,X,X,X,X
TOJSZIL,X,X,X,X,X
TOJSZLI,X,X,X,X,X
TOJZILS,X,X,O,X,X
TOJZISL,X,X,X,X,X
TOJZLIS,X,X,O,X,X
TOJZLSI,X,X,X,X,X
TOJZSIL,X,X,X,X,X
TOJZSLI,X,X,X,X,X
TOSILJZ,O,X,X,X,X
TOSILZJ,X,X,X,O,X
TOSIJLZ,O,X,X,X,O
TOSIJZL,X,X,X,X,X
TOSIZLJ,X,X,X,O,X
TOSIZJL,X,X,X,X,X
TOSLIJZ,O,X,X,X,O
TOSLIZJ,X,X,X,O,X
TOSLJIZ,O,X,X,X,O
TOSLJZI,X,X,X,X,O
TOSLZIJ,X,X,X,O,O
TOSLZJI,X,X,X,X,O
TOSJILZ,O,X,X,X,O
TOSJIZL,X,X,X,X,X
TOSJLIZ,O,X,X,X,O
TOSJLZI,X,X,X,X,O
TOSJZIL,X,X,X,X,X
TOSJZLI,X,X,X,X,X
TOSZILJ,X,X,X,O,X
TOSZIJL,X,X,X,X,X
TOSZLIJ,X,X,X,O,X
TOSZLJI,X,X,X,X,X
TOSZJIL,X,X,X,X,X
TOSZJLI,X,X,X,X,X
TOZILJS,X,X,X,X,X
TOZILSJ,X,X,X,X,X
TOZIJLS,X,X,X,X,X
TOZIJSL,X,X,X,X,X
TOZISLJ,X,X,X,X,X
TOZISJL,X,X,X,X,X
TOZLIJS,X,X,X,X,X
