sequence,v115@OhA8IeC8AeC8AeE8JeZEJvhFqkB/lBFhBOnBTjBcrB,v115@OhA8IeC8AeC8AeE8JeZEJvhFUgBFhBXiBTjBWqBirB,v115@OhA8IeC8AeC8AeE8JeZEJvhFCgBXhBOnBTjBVqBcrB
TOSJLIZ,X,X,X
TOSJLZI,X,X,X
TOSJZIL,X,X,X
TOSJZLI,X,X,X
TOSZILJ,X,X,X
TOSZIJL,X,X,X
TOSZLIJ,X,X,X
TOSZLJI,X,X,X
TOSZJIL,X,X,X
TOSZJLI,X,X,X
TOZILJS,X,X,O
TOZILSJ,X,X,O
TOZIJLS,X,X,O
TOZIJSL,X,X,O
TOZISLJ,X,X,O
TOZISJL,X,X,O
TOZLIJS,X,X,O
TOZLISJ,X,X,O
TOZLJIS,X,X,O
TOZLJSI,X,X,O
TOZLSIJ,X,X,O
TOZLSJI,X,X,O
TOZJILS,X,X,O
TOZJISL,X,X,O
TOZJLIS,X,X,O
TOZJLSI,X,X,O
TOZJSIL,X,X,O
TOZJSLI,X,X,O
TOZSILJ,X,X,O
TOZSIJL,X,X,O
TOZSLIJ,X,X,O
TOZSLJI,X,X,O
TOZSJIL,X,X,O
TOZSJLI,X,X,O
ITLJSZO,X,X,X
ITLJSOZ,X,X,X
ITLJZSO,X,X,O
ITLJZOS,X,X,O
ITLJOSZ,X,X,X
ITLJOZS,X,X,O
ITLSJZO,X,X,X
ITLSJOZ,X,X,X
ITLSZJO,X,X,X
ITLSZOJ,X,X,X
ITLSOJZ,X,X,X
ITLSOZJ,X,X,X
ITLZJSO,X,X,O
ITLZJOS,X,X,O
ITLZSJO,X,X,O
ITLZSOJ,X,X,O
ITLZOJS,X,X,O
ITLZOSJ,X,X,O
ITLOJSZ,X,X,X
ITLOJZS,X,X,O
ITLOSJZ,X,X,X
ITLOSZJ,X,X,X
ITLOZJS,X,X,O
ITLOZSJ,X,X,O
ITJLSZO,X,X,X
ITJLSOZ,X,X,X
ITJLZSO,X,X,O
ITJLZOS,X,X,O
ITJLOSZ,X,X,X
ITJLOZS,X,X,O
ITJSLZO,X,X,X
ITJSLOZ,X,X,X
ITJSZLO,X,X,X
ITJSZOL,X,X,X
ITJSOLZ,X,X,X
ITJSOZL,X,X,X
ITJZLSO,X,X,O
ITJZLOS,X,X,O
ITJZSLO,X,X,O
ITJZSOL,X,X,O
ITJZOLS,X,X,O
ITJZOSL,X,X,O
ITJOLSZ,X,X,X
ITJOLZS,X,X,O
ITJOSLZ,X,X,X
ITJOSZL,X,X,X
ITJOZLS,X,X,O
ITJOZSL,X,X,O
ITSLJZO,X,X,X
ITSLJOZ,X,X,X
ITSLZJO,X,X,X
ITSLZOJ,X,X,X
ITSLOJZ,X,X,X
ITSLOZJ,X,X,X
ITSJLZO,X,X,X
ITSJLOZ,X,X,X
ITSJZLO,X,X,X
ITSJZOL,X,X,X
ITSJOLZ,X,X,X
ITSJOZL,X,X,X
ITSZLJO,X,X,X
ITSZLOJ,X,X,X
ITSZJLO,X,X,X
ITSZJOL,X,X,X
ITSZOLJ,X,X,X
ITSZOJL,X,X,X
ITSOLJZ,X,X,X
ITSOLZJ,X,X,X
ITSOJLZ,X,X,X
ITSOJZL,X,X,X
ITSOZLJ,X,X,X
ITSOZJL,X,X,X
ITZLJSO,X,X,O
ITZLJOS,X,X,O
ITZLSJO,X,X,O
ITZLSOJ,X,X,O
ITZLOJS,X,X,O
ITZLOSJ,X,X,O
ITZJLSO,X,X,O
ITZJLOS,X,X,O
ITZJSLO,X,X,O
ITZJSOL,X,X,O
ITZJOLS,X,X,O
ITZJOSL,X,X,O
ITZSLJO,X,X,O
ITZSLOJ,X,X,O
ITZSJLO,X,X,O
ITZSJOL,X,X,O
ITZSOLJ,X,X,O
ITZSOJL,X,X,O
ITZOLJS,X,X,O
ITZOLSJ,X,X,O
ITZOJLS,X,X,O
ITZOJSL,X,X,O
ITZOSLJ,X,X,O
ITZOSJL,X,X,O
ITOLJSZ,X,X,X
ITOLJZS,X,X,O
ITOLSJZ,X,X,X
ITOLSZJ,X,X,X
ITOLZJS,X,X,O
ITOLZSJ,X,X,O
ITOJLSZ,X,X,X
ITOJLZS,X,X,O
ITOJSLZ,X,X,X
ITOJSZL,X,X,X
ITOJZLS,X,X,O
ITOJZSL,X,X,O
ITOSLJZ,X,X,X
ITOSLZJ,X,X,X
ITOSJLZ,X,X,X
ITOSJZL,X,X,X
ITOSZLJ,X,X,X
ITOSZJL,X,X,X
ITOZLJS,X,X,O
ITOZLSJ,X,X,O
ITOZJLS,X,X,O
ITOZJSL,X,X,O
ITOZSLJ,X,X,O
ITOZSJL,X,X,O
ILTJSZO,X,O,X
ILTJSOZ,X,O,X
ILTJZSO,X,O,X
ILTJZOS,X,O,X
ILTJOSZ,X,O,X
ILTJOZS,X,O,X
ILTSJZO,X,O,X
ILTSJOZ,X,O,X
ILTSZJO,X,X,X
ILTSZOJ,X,X,X
ILTSOJZ,X,O,X
ILTSOZJ,X,X,X
ILTZJSO,X,X,X
ILTZJOS,X,X,X
ILTZSJO,X,X,X
ILTZSOJ,X,X,X
ILTZOJS,X,X,X
ILTZOSJ,X,X,X
ILTOJSZ,X,O,X
ILTOJZS,X,O,X
ILTOSJZ,X,O,X
ILTOSZJ,X,X,X
ILTOZJS,X,X,X
ILTOZSJ,X,X,X
ILJTSZO,X,O,X
ILJTSOZ,X,O,X
ILJTZSO,X,O,X
ILJTZOS,X,O,X
ILJTOSZ,X,O,X
ILJTOZS,X,O,X
ILJSTZO,X,O,X
ILJSTOZ,X,O,X
ILJSZTO,O,O,X
ILJSZOT,O,O,X
ILJSOTZ,X,O,X
ILJSOZT,O,O,X
ILJZTSO,X,O,X
ILJZTOS,X,O,X
ILJZSTO,O,O,X
ILJZSOT,O,O,X
ILJZOTS,X,O,X
ILJZOST,O,O,X
ILJOTSZ,X,O,X
ILJOTZS,X,O,X
ILJOSTZ,X,O,X
ILJOSZT,O,O,X
ILJOZTS,X,O,X
ILJOZST,O,O,X
ILSTJZO,X,O,X
ILSTJOZ,X,O,X
ILSTZJO,X,X,X
ILSTZOJ,X,X,X
ILSTOJZ,X,O,X
ILSTOZJ,X,X,X
ILSJTZO,X,O,X
ILSJTOZ,X,O,X
ILSJZTO,O,O,X
ILSJZOT,O,O,X
ILSJOTZ,X,O,X
ILSJOZT,O,O,X
ILSZTJO,O,X,X
ILSZTOJ,O,X,X
ILSZJTO,O,X,X
ILSZJOT,O,X,X
ILSZOTJ,O,X,X
ILSZOJT,O,X,X
ILSOTJZ,X,O,X
ILSOTZJ,X,X,X
ILSOJTZ,X,O,X
ILSOJZT,O,O,X
ILSOZTJ,O,X,X
ILSOZJT,O,X,X
ILZTJSO,X,X,X
ILZTJOS,X,X,X
ILZTSJO,X,X,X
ILZTSOJ,X,X,X
ILZTOJS,X,X,X
ILZTOSJ,X,X,X
ILZJTSO,X,X,X
ILZJTOS,X,X,X
ILZJSTO,O,X,X
ILZJSOT,O,X,X
ILZJOTS,X,X,X
ILZJOST,O,X,X
ILZSTJO,O,X,X
ILZSTOJ,O,X,X
ILZSJTO,O,X,X
ILZSJOT,O,X,X
ILZSOTJ,O,X,X
ILZSOJT,O,X,X
ILZOTJS,X,X,X
ILZOTSJ,X,X,X
ILZOJTS,X,X,X
ILZOJST,O,X,X
ILZOSTJ,O,X,X
ILZOSJT,O,X,X
ILOTJSZ,X,O,X
ILOTJZS,X,O,X
ILOTSJZ,X,O,X
ILOTSZJ,X,X,X
