sequence,v115@IhA8CeA8EeA8CeB8DeA8BeF8JeZEJvhFalBzgBUiBG?jBVtB3qB,v115@IhA8CeA8EeA8CeB8DeA8BeF8JeZEJvhFalBzgBFiB8?nB+oB3qB,v115@IhA8CeA8EeA8CeB8DeA8BeF8JeZEJvhFUgBFiBTjBy?qBWtB3qB,v115@IhA8CeA8EeA8CeB8DeA8BeF8JeZEJvhFalBUiBGjBz?lBVtB3qB
ITJOSZL,O,X,O,O
ITJOZLS,O,X,O,O
ITJOZSL,O,X,O,O
ITSLJZO,O,O,O,O
ITSLJOZ,O,O,O,O
ITSLZJO,O,X,O,O
ITSLZOJ,O,X,X,O
ITSLOJZ,O,O,X,O
ITSLOZJ,O,X,X,O
ITSJLZO,O,O,O,O
ITSJLOZ,O,O,O,O
ITSJZLO,O,O,O,O
ITSJZOL,O,O,O,O
ITSJOLZ,O,O,O,O
ITSJOZL,O,O,O,O
ITSZLJO,O,X,O,O
ITSZLOJ,O,X,X,O
ITSZJLO,O,X,O,O
ITSZJOL,O,X,O,O
ITSZOLJ,O,X,X,O
ITSZOJL,O,X,X,O
ITSOLJZ,O,O,X,O
ITSOLZJ,O,X,X,O
ITSOJLZ,O,O,X,O
ITSOJZL,O,O,X,O
ITSOZLJ,O,X,X,O
ITSOZJL,O,X,X,O
ITZLJSO,O,X,O,O
ITZLJOS,O,X,O,O
ITZLSJO,O,X,O,O
ITZLSOJ,O,X,X,O
ITZLOJS,O,X,O,O
ITZLOSJ,O,X,X,O
ITZJLSO,O,X,O,O
ITZJLOS,O,X,O,O
