sequence,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeFBJvhFxiBfqB0lBG?nBToBSwB,v115@9gC8GeA8IeA8EeA8CeB8DeD8Je3AJvhFUiBFjBWqBT?mBStBxvB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeUCJvhFFjBfqBxlBS?tBuqBTrB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeUCJvhFGjBfqBxlBV?tBzlBSwB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeRBJvhFGjBzkBCnBV?tB3qBUrB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeUCJvhFGjBClBTmBV?tB3lBxvB,v115@9gC8GeA8IeA8EeA8CeB8DeD8JeSFJvhFxhBTjBVrBW?tBUqB3rB
IZTJOLS,X,O,X,X,X,O,O
IZTJOSL,X,O,X,X,X,O,O
IZTSLJO,X,X,X,O,X,X,O
IZTSLOJ,X,X,X,O,X,X,X
IZTSJLO,X,O,X,O,X,X,O
IZTSJOL,X,O,X,O,X,O,O
IZTSOLJ,X,O,X,X,X,O,X
IZTSOJL,X,O,X,O,X,O,X
IZTOLJS,X,O,X,X,X,O,O
IZTOLSJ,X,O,X,X,X,O,X
IZTOJLS,X,O,X,X,X,O,O
IZTOJSL,X,O,X,X,X,O,O
IZTOSLJ,X,O,X,X,X,O,X
IZTOSJL,X,O,X,X,X,O,X
IZLTJSO,X,O,X,O,X,X,O
IZLTJOS,X,O,X,X,X,O,O
IZLTSJO,X,O,O,O,X,X,O
IZLTSOJ,X,O,O,O,X,X,X
IZLTOJS,X,O,X,X,X,O,O
IZLTOSJ,X,O,O,X,X,O,X
IZLJTSO,X,O,X,X,X,X,O
IZLJTOS,X,O,X,X,X,X,O
IZLJSTO,X,O,X,X,X,X,X
IZLJSOT,X,O,X,X,X,X,O
IZLJOTS,X,O,X,X,X,X,O
IZLJOST,X,O,X,X,X,X,O
IZLSTJO,X,O,O,O,X,X,X
IZLSTOJ,X,O,O,O,X,X,X
IZLSJTO,X,O,O,O,X,X,X
IZLSJOT,X,O,X,X,X,X,X
IZLSOTJ,X,O,O,O,X,X,X
IZLSOJT,X,O,O,X,X,X,X
IZLOTJS,X,O,X,X,X,O,X
IZLOTSJ,X,O,O,X,X,O,X
IZLOJTS,X,O,X,X,X,O,X
IZLOJST,X,O,X,X,X,X,X
IZLOSTJ,X,O,O,X,X,O,X
IZLOSJT,X,O,O,X,X,X,X
IZJTLSO,X,O,X,X,X,X,O
IZJTLOS,X,O,X,X,X,O,O
IZJTSLO,X,O,X,X,X,X,O
IZJTSOL,X,O,X,X,X,O,O
IZJTOLS,X,O,X,X,X,O,O
IZJTOSL,X,O,X,X,X,O,O
IZJLTSO,X,O,X,X,X,X,O
IZJLTOS,X,O,X,X,X,X,O
IZJLSTO,X,O,X,X,X,X,X
IZJLSOT,X,O,X,X,X,X,O
IZJLOTS,X,O,X,X,X,X,O
IZJLOST,X,O,X,X,X,X,O
IZJSTLO,X,O,X,X,X,X,X
IZJSTOL,X,O,X,X,X,X,X
IZJSLTO,X,O,X,X,X,X,X
IZJSLOT,X,O,X,X,X,X,O
IZJSOTL,X,O,X,X,X,X,X
IZJSOLT,X,O,X,X,X,X,O
IZJOTLS,X,O,X,X,X,O,O
IZJOTSL,X,O,X,X,X,O,O
IZJOLTS,X,O,X,X,X,O,O
IZJOLST,X,O,X,X,X,X,O
IZJOSTL,X,O,X,X,X,X,X
IZJOSLT,X,O,X,X,X,X,O
IZSTLJO,X,X,O,O,X,X,X
IZSTLOJ,X,X,O,O,X,X,X
IZSTJLO,X,O,X,O,X,X,X
IZSTJOL,X,O,X,O,X,O,X
IZSTOLJ,X,O,X,X,X,O,X
IZSTOJL,X,O,X,O,X,O,X
IZSLTJO,X,O,O,O,X,X,X
IZSLTOJ,X,O,O,O,X,X,X
IZSLJTO,X,O,O,O,X,X,X
IZSLJOT,X,O,X,X,X,X,X
IZSLOTJ,X,O,O,O,X,X,X
IZSLOJT,X,O,O,X,X,X,X
IZSJTLO,X,O,X,O,X,X,X
IZSJTOL,X,O,X,O,X,X,X
IZSJLTO,X,O,O,X,X,X,X
IZSJLOT,X,O,X,X,X,X,X
IZSJOTL,X,O,X,X,X,X,X
IZSJOLT,X,O,X,X,X,X,X
IZSOTLJ,X,O,O,X,X,O,X
IZSOTJL,X,O,X,O,X,O,X
IZSOLTJ,X,O,O,X,X,O,X
IZSOLJT,X,O,O,X,X,X,X
IZSOJTL,X,O,X,X,X,X,X
IZSOJLT,X,O,O,X,X,X,X
IZOTLJS,X,O,X,X,X,O,X
IZOTLSJ,X,O,X,X,X,O,X
IZOTJLS,X,O,X,X,X,O,X
IZOTJSL,X,O,X,X,X,O,X
IZOTSLJ,X,O,X,X,X,O,X
IZOTSJL,X,O,X,X,X,O,X
IZOLTJS,X,O,X,X,X,O,X
IZOLTSJ,X,O,O,X,X,O,X
IZOLJTS,X,O,X,X,X,O,X
IZOLJST,X,O,X,X,X,X,X
IZOLSTJ,X,O,O,X,X,O,X
IZOLSJT,X,O,O,X,X,X,X
IZOJTLS,X,O,X,X,X,O,X
IZOJTSL,X,O,X,X,X,O,X
IZOJLTS,X,O,X,X,X,O,X
IZOJLST,X,O,X,X,X,X,X
IZOJSTL,X,O,X,X,X,X,X
IZOJSLT,X,O,X,X,X,X,X
IZOSTLJ,X,O,O,X,X,O,X
IZOSTJL,X,O,X,X,X,O,X
IZOSLTJ,X,O,O,X,X,O,X
IZOSLJT,X,O,O,X,X,X,X
IZOSJTL,X,O,X,X,X,X,X
IZOSJLT,X,O,O,X,X,X,X
IOTLJSZ,O,O,X,X,O,O,X
IOTLJZS,O,O,X,X,O,O,X
IOTLSJZ,O,O,X,X,O,O,X
IOTLSZJ,O,O,X,X,O,O,X
IOTLZJS,X,O,X,X,O,O,X
IOTLZSJ,X,O,X,X,X,O,X
IOTJLSZ,O,O,X,X,O,O,X
IOTJLZS,O,O,X,X,O,O,X
IOTJSLZ,O,O,X,X,X,O,X
IOTJSZL,O,O,X,X,X,O,X
IOTJZLS,O,O,X,X,X,O,X
IOTJZSL,O,O,X,X,X,O,X
IOTSLJZ,O,O,X,X,O,O,X
IOTSLZJ,O,O,X,X,O,O,X
IOTSJLZ,O,X,X,X,X,O,X
IOTSJZL,O,X,X,X,X,O,X
IOTSZLJ,O,O,X,X,X,O,X
IOTSZJL,O,O,X,X,X,O,X
IOTZLJS,X,O,X,X,X,O,X
IOTZLSJ,X,O,X,X,X,O,X
IOTZJLS,X,O,X,X,X,O,X
IOTZJSL,X,O,X,X,X,O,X
IOTZSLJ,X,O,X,X,X,O,X
IOTZSJL,X,O,X,X,X,O,X
IOLTJSZ,O,O,X,X,O,O,X
IOLTJZS,O,O,X,X,O,O,X
IOLTSJZ,O,O,O,X,O,O,X
IOLTSZJ,O,O,O,X,O,O,X
IOLTZJS,X,O,X,X,O,O,X
IOLTZSJ,X,O,O,X,X,O,X
IOLJTSZ,O,O,X,X,O,O,X
IOLJTZS,O,O,X,X,O,O,X
IOLJSTZ,O,O,X,X,X,X,X
IOLJSZT,O,O,X,X,X,X,X
IOLJZTS,O,O,X,X,X,O,X
IOLJZST,O,O,X,X,X,X,X
IOLSTJZ,O,O,O,X,O,O,X
IOLSTZJ,O,O,O,X,O,O,X
IOLSJTZ,O,O,O,X,O,X,X
IOLSJZT,O,O,O,X,X,X,X
IOLSZTJ,O,O,O,X,O,O,X
IOLSZJT,O,O,O,X,X,X,X
IOLZTJS,X,O,X,X,O,O,X
IOLZTSJ,X,O,O,X,X,O,X
IOLZJTS,O,O,X,X,X,O,X
IOLZJST,O,O,X,X,X,X,X
IOLZSTJ,O,O,O,X,X,O,X
IOLZSJT,O,O,O,X,X,X,X
IOJTLSZ,O,O,X,X,X,O,X
IOJTLZS,O,O,X,X,X,O,X
IOJTSLZ,O,O,X,X,X,O,X
IOJTSZL,O,O,X,X,X,O,X
IOJTZLS,O,O,X,X,X,O,X
IOJTZSL,O,O,X,X,X,O,X
IOJLTSZ,O,O,X,X,X,O,X
IOJLTZS,O,O,X,X,X,O,X
IOJLSTZ,O,O,X,X,X,X,X
IOJLSZT,O,O,X,X,X,X,X
IOJLZTS,O,O,X,X,X,O,X
IOJLZST,O,O,X,X,X,X,X
IOJSTLZ,O,O,X,X,X,X,X
IOJSTZL,O,O,X,X,X,X,X
IOJSLTZ,O,O,X,X,X,X,X
IOJSLZT,O,O,X,X,X,X,X
IOJSZTL,O,O,X,X,X,X,X
IOJSZLT,O,O,X,X,X,X,X
IOJZTLS,O,O,X,X,X,O,X
IOJZTSL,O,O,X,X,X,O,X
IOJZLTS,O,O,X,X,X,O,X
IOJZLST,O,O,X,X,X,X,X
IOJZSTL,O,O,X,X,X,X,X
IOJZSLT,O,O,X,X,X,X,X
IOSTLJZ,O,O,O,X,O,O,X
IOSTLZJ,O,O,O,X,O,O,X
IOSTJLZ,O,X,X,X,X,O,X
IOSTJZL,O,X,X,X,X,O,X
IOSTZLJ,O,O,O,X,X,O,X
IOSTZJL,O,O,X,X,X,O,X
IOSLTJZ,O,O,O,X,O,O,X
IOSLTZJ,O,O,O,X,O,O,X
IOSLJTZ,O,O,O,X,O,X,X
IOSLJZT,O,O,O,X,X,X,X
IOSLZTJ,O,O,O,X,O,O,X
IOSLZJT,O,O,O,X,X,X,X
IOSJTLZ,O,O,X,X,X,X,X
IOSJTZL,O,O,X,X,X,X,X
IOSJLTZ,O,O,O,X,X,X,X
IOSJLZT,O,O,O,X,X,X,X
IOSJZTL,O,O,X,X,X,X,X
IOSJZLT,O,O,O,X,X,X,X
IOSZTLJ,O,O,O,X,X,O,X
IOSZTJL,O,O,X,X,X,O,X
IOSZLTJ,O,O,O,X,X,O,X
IOSZLJT,O,O,O,X,X,X,X
IOSZJTL,O,O,X,X,X,X,X
IOSZJLT,O,O,O,X,X,X,X
IOZTLJS,X,O,X,X,X,O,X
IOZTLSJ,X,O,X,X,X,O,X
IOZTJLS,X,O,X,X,X,O,X
IOZTJSL,X,O,X,X,X,O,X
IOZTSLJ,X,O,X,X,X,O,X
IOZTSJL,X,O,X,X,X,O,X
IOZLTJS,X,O,X,X,X,O,X
IOZLTSJ,X,O,O,X,X,O,X
IOZLJTS,O,O,X,X,X,O,X
IOZLJST,O,O,X,X,X,X,X
IOZLSTJ,O,O,O,X,X,O,X
IOZLSJT,O,O,O,X,X,X,X
IOZJTLS,O,O,X,X,X,O,X
IOZJTSL,O,O,X,X,X,O,X
IOZJLTS,O,O,X,X,X,O,X
IOZJLST,O,O,X,X,X,X,X
IOZJSTL,O,O,X,X,X,X,X
IOZJSLT,O,O,X,X,X,X,X
IOZSTLJ,O,O,O,X,X,O,X
IOZSTJL,O,O,X,X,X,O,X
IOZSLTJ,O,O,O,X,X,O,X
IOZSLJT,O,O,O,X,X,X,X
IOZSJTL,O,O,X,X,X,X,X
IOZSJLT,O,O,O,X,X,X,X
LTIJSZO,X,O,X,O,O,X,X
LTIJSOZ,X,O,X,O,O,O,X
LTIJZSO,X,O,X,O,O,X,X
LTIJZOS,X,O,X,X,O,O,X
LTIJOSZ,X,O,X,X,O,O,X
LTIJOZS,X,O,X,X,O,O,X
LTISJZO,X,O,O,O,O,X,X
LTISJOZ,X,O,X,O,O,O,X
LTISZJO,X,O,O,O,O,X,X
LTISZOJ,X,O,O,O,X,X,X
LTISOJZ,X,O,O,O,O,O,X
LTISOZJ,X,O,O,O,X,O,X
LTIZJSO,X,O,X,O,O,X,X
LTIZJOS,X,O,X,X,O,O,X
LTIZSJO,X,O,O,O,X,X,X
LTIZSOJ,X,O,O,O,X,X,X
LTIZOJS,X,O,X,X,X,O,X
LTIZOSJ,X,O,O,X,X,O,X
LTIOJSZ,X,O,X,X,O,O,X
LTIOJZS,X,O,X,X,O,O,X
LTIOSJZ,X,O,O,X,O,O,X
LTIOSZJ,X,O,O,X,O,O,X
LTIOZJS,X,O,X,X,O,O,X
LTIOZSJ,X,O,O,X,X,O,X
LTJISZO,O,O,X,O,O,X,X
LTJISOZ,O,O,X,O,O,O,X
LTJIZSO,O,O,X,O,O,X,X
LTJIZOS,O,O,X,X,O,O,X
LTJIOSZ,O,O,X,X,O,O,X
LTJIOZS,O,O,X,X,O,O,X
LTJSIZO,O,O,O,O,O,X,X
LTJSIOZ,O,O,X,O,O,O,X
LTJSZIO,O,O,O,O,O,X,X
LTJSZOI,O,O,O,O,X,X,X
LTJSOIZ,O,O,O,O,O,X,X
LTJSOZI,O,O,O,O,O,X,X
LTJZISO,O,O,X,O,O,X,X
LTJZIOS,O,O,X,X,O,O,X
LTJZSIO,X,O,O,O,O,X,X
LTJZSOI,X,O,O,O,X,X,X
LTJZOIS,O,X,X,X,O,X,X
LTJZOSI,X,O,O,O,O,X,X
LTJOISZ,O,O,X,X,O,O,X
LTJOIZS,O,O,X,X,O,O,X
LTJOSIZ,O,O,O,O,O,X,X
LTJOSZI,O,O,O,O,O,X,X
LTJOZIS,O,X,X,X,O,X,X
LTJOZSI,X,O,O,O,O,X,X
LTSIJZO,X,O,O,O,O,X,X
LTSIJOZ,X,O,X,O,O,O,X
LTSIZJO,X,O,O,O,O,X,X
LTSIZOJ,X,O,O,O,X,X,X
LTSIOJZ,X,O,O,O,O,O,X
LTSIOZJ,X,O,O,O,X,O,X
LTSJIZO,O,O,O,O,O,X,X
LTSJIOZ,O,O,X,O,O,O,X
LTSJZIO,O,O,O,O,O,X,X
LTSJZOI,O,O,O,O,X,X,X
LTSJOIZ,O,O,O,O,O,X,X
LTSJOZI,O,O,O,O,O,X,X
LTSZIJO,O,O,O,O,O,X,X
LTSZIOJ,O,O,O,O,X,X,X
LTSZJIO,O,O,O,O,O,X,X
LTSZJOI,O,O,O,O,X,X,X
LTSZOIJ,O,X,O,O,X,X,X
LTSZOJI,O,X,O,O,X,X,X
LTSOIJZ,O,X,O,O,O,X,X
LTSOIZJ,O,X,O,O,O,X,X
LTSOJIZ,O,X,O,O,O,X,X
LTSOJZI,O,X,O,O,O,X,X
LTSOZIJ,O,X,O,O,O,X,X
LTSOZJI,O,X,O,O,O,X,X
LTZIJSO,X,O,X,O,O,X,X
LTZIJOS,X,O,X,X,O,O,X
LTZISJO,X,O,O,O,X,X,X
LTZISOJ,X,O,O,O,X,X,X
LTZIOJS,X,O,X,X,X,O,X
LTZIOSJ,X,O,O,X,X,O,X
LTZJISO,X,O,X,O,O,X,X
LTZJIOS,X,O,X,X,O,O,X
LTZJSIO,X,O,O,O,O,X,X
LTZJSOI,X,O,O,O,X,X,X
LTZJOIS,X,X,X,X,O,X,X
LTZJOSI,X,O,O,O,O,X,X
LTZSIJO,X,O,O,O,O,X,X
LTZSIOJ,X,O,O,O,X,X,X
LTZSJIO,X,O,O,O,O,X,X
LTZSJOI,X,O,O,O,X,X,X
LTZSOIJ,X,X,O,O,X,X,X
LTZSOJI,X,X,O,O,X,X,X
LTZOIJS,X,O,X,X,O,X,X
LTZOISJ,X,O,O,X,X,X,X
LTZOJIS,X,X,X,X,O,X,X
LTZOJSI,X,O,O,O,O,X,X
LTZOSIJ,X,X,O,O,O,X,X
LTZOSJI,X,X,O,O,O,X,X
LTOIJSZ,O,O,X,X,O,O,X
LTOIJZS,O,O,X,X,O,O,X
LTOISJZ,O,O,O,X,O,O,X
LTOISZJ,O,O,O,X,O,O,X
LTOIZJS,X,O,X,X,O,O,X
LTOIZSJ,X,O,O,X,X,O,X
LTOJISZ,O,O,X,X,O,O,X
LTOJIZS,O,O,X,X,O,O,X
LTOJSIZ,O,O,O,O,O,X,X
LTOJSZI,O,O,O,O,O,X,X
LTOJZIS,O,X,X,X,O,X,X
LTOJZSI,X,O,O,O,O,X,X
LTOSIJZ,O,X,O,O,O,X,X
LTOSIZJ,O,X,O,O,O,X,X
LTOSJIZ,O,X,O,O,O,X,X
LTOSJZI,O,X,O,O,O,X,X
LTOSZIJ,O,X,O,O,O,X,X
LTOSZJI,O,X,O,O,O,X,X
LTOZIJS,X,O,X,X,O,X,X
LTOZISJ,X,O,O,X,X,X,X
LTOZJIS,X,X,X,X,O,X,X
LTOZJSI,X,O,O,O,O,X,X
LTOZSIJ,X,X,O,O,O,X,X
LTOZSJI,X,X,O,O,O,X,X
LITJSZO,X,O,X,O,O,X,X
LITJSOZ,X,O,X,O,O,O,X
LITJZSO,X,O,X,O,O,X,X
LITJZOS,X,O,X,X,O,O,X
LITJOSZ,X,O,X,X,O,O,X
LITJOZS,X,O,X,X,O,O,X
LITSJZO,X,O,O,O,O,X,X
LITSJOZ,X,O,X,O,O,O,X
LITSZJO,X,O,O,O,O,X,X
LITSZOJ,X,O,O,O,X,X,X
LITSOJZ,X,O,O,O,O,O,X
LITSOZJ,X,O,O,O,X,O,X
LITZJSO,X,O,X,O,O,X,X
LITZJOS,X,O,X,X,O,O,X
LITZSJO,X,O,O,O,X,X,X
LITZSOJ,X,O,O,O,X,X,X
LITZOJS,X,O,X,X,X,O,X
LITZOSJ,X,O,O,X,X,O,X
LITOJSZ,X,O,X,X,O,O,X
LITOJZS,X,O,X,X,O,O,X
LITOSJZ,X,O,O,X,O,O,X
LITOSZJ,X,O,O,X,O,O,X
LITOZJS,X,O,X,X,O,O,X
LITOZSJ,X,O,O,X,X,O,X
LIJTSZO,O,O,X,X,O,X,X
LIJTSOZ,O,O,X,X,O,O,X
LIJTZSO,O,O,X,X,O,X,X
LIJTZOS,O,O,X,X,O,O,X
LIJTOSZ,O,O,X,X,O,O,X
LIJTOZS,O,O,X,X,O,O,X
LIJSTZO,O,O,X,X,X,X,X
LIJSTOZ,O,O,X,X,X,X,X
LIJSZTO,O,O,X,X,X,X,X
LIJSZOT,O,O,X,X,X,X,X
LIJSOTZ,O,O,X,X,X,X,X
LIJSOZT,O,O,X,X,X,X,X
LIJZTSO,O,O,X,X,X,X,X
LIJZTOS,O,O,X,X,X,X,X
LIJZSTO,O,O,X,X,X,X,X
LIJZSOT,O,O,X,X,X,X,X
LIJZOTS,X,O,X,X,X,X,X
LIJZOST,X,O,X,X,X,X,X
LIJOTSZ,O,O,X,X,X,O,X
LIJOTZS,O,O,X,X,X,O,X
LIJOSTZ,O,O,X,X,X,X,X
LIJOSZT,O,O,X,X,X,X,X
LIJOZTS,O,O,X,X,X,O,X
LIJOZST,O,O,X,X,X,X,X
LISTJZO,X,O,O,O,O,X,X
LISTJOZ,X,O,X,O,O,O,X
LISTZJO,X,O,O,O,O,X,X
LISTZOJ,X,O,O,O,X,X,X
LISTOJZ,X,O,O,O,O,O,X
LISTOZJ,X,O,O,O,X,O,X
LISJTZO,O,O,O,O,O,X,X
LISJTOZ,O,O,X,O,O,X,X
LISJZTO,O,O,O,O,X,X,X
LISJZOT,O,O,X,X,X,X,X
LISJOTZ,O,O,X,X,X,X,X
LISJOZT,O,O,X,X,X,X,X
LISZTJO,O,O,O,O,O,X,X
LISZTOJ,O,O,O,O,X,X,X
LISZJTO,O,O,O,O,X,X,X
LISZJOT,O,O,X,X,X,X,X
LISZOTJ,O,O,O,O,X,X,X
LISZOJT,O,O,O,X,X,X,X
LISOTJZ,O,O,O,O,O,O,X
LISOTZJ,O,O,O,O,X,O,X
LISOJTZ,O,O,O,X,X,X,X
LISOJZT,O,O,O,X,X,X,X
LISOZTJ,O,O,O,O,X,O,X
LISOZJT,O,O,O,X,X,X,X
LIZTJSO,X,O,X,O,O,X,X
LIZTJOS,X,O,X,X,O,O,X
LIZTSJO,X,O,O,O,X,X,X
LIZTSOJ,X,O,O,O,X,X,X
LIZTOJS,X,O,X,X,X,O,X
LIZTOSJ,X,O,O,X,X,O,X
LIZJTSO,X,O,X,X,X,X,X
LIZJTOS,X,O,X,X,X,X,X
LIZJSTO,X,O,X,X,X,X,X
LIZJSOT,X,O,X,X,X,X,X
LIZJOTS,X,O,X,X,X,X,X
LIZJOST,X,O,X,X,X,X,X
LIZSTJO,X,O,O,O,X,X,X
LIZSTOJ,X,O,O,O,X,X,X
LIZSJTO,X,O,O,O,X,X,X
LIZSJOT,X,O,X,X,X,X,X
LIZSOTJ,X,O,O,O,X,X,X
LIZSOJT,X,O,O,X,X,X,X
LIZOTJS,X,O,X,X,X,O,X
LIZOTSJ,X,O,O,X,X,O,X
LIZOJTS,X,O,X,X,X,O,X
LIZOJST,X,O,X,X,X,X,X
LIZOSTJ,X,O,O,X,X,O,X
LIZOSJT,X,O,O,X,X,X,X
LIOTJSZ,O,O,X,X,O,O,X
LIOTJZS,O,O,X,X,O,O,X
LIOTSJZ,O,O,O,X,O,O,X
LIOTSZJ,O,O,O,X,O,O,X
LIOTZJS,X,O,X,X,O,O,X
LIOTZSJ,X,O,O,X,X,O,X
LIOJTSZ,O,O,X,X,O,O,X
LIOJTZS,O,O,X,X,O,O,X
LIOJSTZ,O,O,X,X,X,X,X
LIOJSZT,O,O,X,X,X,X,X
LIOJZTS,O,O,X,X,X,O,X
LIOJZST,O,O,X,X,X,X,X
LIOSTJZ,O,O,O,X,O,O,X
LIOSTZJ,O,O,O,X,O,O,X
LIOSJTZ,O,O,O,X,O,X,X
LIOSJZT,O,O,O,X,X,X,X
LIOSZTJ,O,O,O,X,O,O,X
LIOSZJT,O,O,O,X,X,X,X
LIOZTJS,X,O,X,X,O,O,X
LIOZTSJ,X,O,O,X,X,O,X
LIOZJTS,O,O,X,X,X,O,X
LIOZJST,O,O,X,X,X,X,X
LIOZSTJ,O,O,O,X,X,O,X
LIOZSJT,O,O,O,X,X,X,X
LJTISZO,O,O,X,O,O,X,X
LJTISOZ,O,O,X,O,O,O,X
LJTIZSO,O,O,X,O,O,X,X
LJTIZOS,O,O,X,X,O,O,X
LJTIOSZ,O,O,X,X,O,O,X
LJTIOZS,O,O,X,X,O,O,X
LJTSIZO,O,O,O,O,O,X,X
LJTSIOZ,O,O,X,O,O,O,X
LJTSZIO,O,O,O,O,O,X,X
LJTSZOI,O,O,O,O,X,X,X
LJTSOIZ,O,O,O,O,O,X,X
LJTSOZI,O,O,O,O,O,X,X
LJTZISO,O,O,X,O,O,X,X
LJTZIOS,O,O,X,X,O,O,X
LJTZSIO,X,O,O,O,O,X,X
LJTZSOI,X,O,O,O,X,X,X
LJTZOIS,O,X,X,X,O,X,X
LJTZOSI,X,O,O,O,O,X,X
LJTOISZ,O,O,X,X,O,O,X
LJTOIZS,O,O,X,X,O,O,X
LJTOSIZ,O,O,O,O,O,X,X
LJTOSZI,O,O,O,O,O,X,X
LJTOZIS,O,X,X,X,O,X,X
LJTOZSI,X,O,O,O,O,X,X
LJITSZO,O,O,X,X,O,X,X
LJITSOZ,O,O,X,X,O,O,X
LJITZSO,O,O,X,X,O,X,X
LJITZOS,O,O,X,X,O,O,X
LJITOSZ,O,O,X,X,O,O,X
LJITOZS,O,O,X,X,O,O,X
LJISTZO,O,O,X,X,X,X,X
LJISTOZ,O,O,X,X,X,X,X
LJISZTO,O,O,X,X,X,X,X
LJISZOT,O,O,X,X,X,X,X
LJISOTZ,O,O,X,X,X,X,X
LJISOZT,O,O,X,X,X,X,X
LJIZTSO,O,O,X,X,X,X,X
LJIZTOS,O,O,X,X,X,X,X
LJIZSTO,O,O,X,X,X,X,X
LJIZSOT,O,O,X,X,X,X,X
LJIZOTS,X,O,X,X,X,X,X
LJIZOST,X,O,X,X,X,X,X
LJIOTSZ,O,O,X,X,X,O,X
LJIOTZS,O,O,X,X,X,O,X
LJIOSTZ,O,O,X,X,X,X,X
LJIOSZT,O,O,X,X,X,X,X
LJIOZTS,O,O,X,X,X,O,X
LJIOZST,O,O,X,X,X,X,X
LJSTIZO,O,O,O,O,O,X,X
LJSTIOZ,O,O,X,O,O,X,X
LJSTZIO,O,O,O,O,O,X,X
LJSTZOI,O,O,O,O,X,X,X
LJSTOIZ,O,O,O,O,O,X,X
LJSTOZI,O,O,O,O,X,X,X
LJSITZO,O,O,O,O,O,X,X
LJSITOZ,O,O,X,O,O,X,X
LJSIZTO,O,O,O,O,X,X,X
LJSIZOT,O,X,X,X,X,X,X
LJSIOTZ,O,X,X,X,X,X,X
LJSIOZT,O,X,X,X,X,X,X
LJSZTIO,O,O,O,O,X,X,X
LJSZTOI,O,O,O,O,X,X,X
LJSZITO,O,O,O,O,X,X,X
LJSZIOT,O,X,X,X,X,X,X
LJSZOTI,O,O,O,X,X,X,X
LJSZOIT,O,X,O,X,X,X,X
LJSOTIZ,O,O,O,X,X,X,X
LJSOTZI,O,O,O,X,X,X,X
LJSOITZ,O,X,O,X,X,X,X
LJSOIZT,O,X,O,X,X,X,X
LJSOZTI,O,O,O,X,X,X,X
LJSOZIT,O,X,O,X,X,X,X
LJZTISO,O,O,X,O,X,X,O
LJZTIOS,O,O,X,X,X,X,O
LJZTSIO,X,O,O,O,X,X,O
LJZTSOI,X,O,O,O,X,X,O
LJZTOIS,O,X,X,X,X,X,O
LJZTOSI,X,O,O,O,X,X,O
LJZITSO,O,O,X,X,X,X,O
LJZITOS,O,O,X,X,X,X,O
LJZISTO,O,O,X,X,X,X,X
LJZISOT,O,O,X,X,X,X,O
LJZIOTS,X,O,X,X,X,X,O
LJZIOST,X,O,X,X,X,X,O
LJZSTIO,O,O,O,O,X,X,O
LJZSTOI,O,O,O,O,X,X,O
LJZSITO,O,O,O,O,X,X,X
LJZSIOT,O,X,X,X,X,X,O
LJZSOTI,O,O,O,X,X,X,O
LJZSOIT,O,X,O,X,X,X,O
LJZOTIS,O,X,X,X,X,X,O
LJZOTSI,X,O,O,X,X,X,O
LJZOITS,O,X,X,X,X,X,O
LJZOIST,O,X,X,X,X,X,O
LJZOSTI,O,O,O,X,X,X,O
LJZOSIT,O,X,O,X,X,X,O
LJOTISZ,O,O,X,X,O,X,X
LJOTIZS,O,O,X,X,O,X,X
LJOTSIZ,O,O,O,X,O,X,X
LJOTSZI,O,O,O,X,O,X,X
LJOTZIS,O,X,X,X,O,X,X
LJOTZSI,X,O,O,X,O,X,X
LJOITSZ,O,X,X,X,O,X,X
LJOITZS,O,X,X,X,O,X,X
LJOISTZ,O,X,X,X,X,X,X
LJOISZT,O,X,X,X,X,X,X
LJOIZTS,O,X,X,X,X,X,X
LJOIZST,O,X,X,X,X,X,X
LJOSTIZ,O,O,O,X,O,X,X
LJOSTZI,O,O,O,X,O,X,X
LJOSITZ,O,X,O,X,O,X,X
LJOSIZT,O,X,O,X,X,X,X
LJOSZTI,O,O,O,X,X,X,X
LJOSZIT,O,X,O,X,X,X,X
LJOZTIS,O,X,X,X,X,X,O
LJOZTSI,X,O,O,X,X,X,O
LJOZITS,O,X,X,X,X,X,O
LJOZIST,O,X,X,X,X,X,O
LJOZSTI,O,O,O,X,X,X,O
LJOZSIT,O,X,O,X,X,X,O
LSTIJZO,X,O,O,O,O,X,X
LSTIJOZ,X,O,X,O,O,O,X
LSTIZJO,X,O,O,O,O,X,X
LSTIZOJ,X,O,O,O,X,X,X
LSTIOJZ,X,O,O,O,O,O,X
LSTIOZJ,X,O,O,O,X,O,X
LSTJIZO,O,O,O,O,O,X,X
LSTJIOZ,O,O,X,O,O,O,X
LSTJZIO,O,O,O,O,O,X,X
LSTJZOI,O,O,O,O,X,X,X
LSTJOIZ,O,O,O,O,O,X,X
LSTJOZI,O,O,O,O,O,X,X
LSTZIJO,O,O,O,O,O,X,X
LSTZIOJ,O,O,O,O,X,X,X
LSTZJIO,O,O,O,O,O,X,X
LSTZJOI,O,O,O,O,X,X,X
LSTZOIJ,O,X,O,O,X,X,X
LSTZOJI,O,X,O,O,X,X,X
LSTOIJZ,O,X,O,O,O,X,X
LSTOIZJ,O,X,O,O,O,X,X
LSTOJIZ,O,X,O,O,O,X,X
LSTOJZI,O,X,O,O,O,X,X
LSTOZIJ,O,X,O,O,O,X,X
LSTOZJI,O,X,O,O,O,X,X
LSITJZO,X,O,O,O,O,X,X
