sequence,v115@FhB8IeA8HeE8CeD8Jei/IvhFzgB3kBRnBGnB0qBlrB,v115@FhB8IeA8HeE8CeD8JeKEJvhFflBxgB0iBVsBzqBGrB,v115@FhB8IeA8HeE8CeD8JeKEJvhFzfB+lB0iBxrBlrBXrB,v115@FhB8IeA8HeE8CeD8Jex/IvhFCiBTkB2qBlnB3rB8qB,v115@FhB8IeA8HeE8CeD8JeOEJvhF6lB0iBzkBxrBlrBXrB,v115@FhB8IeA8HeE8CeD8JeT/IvhFCiB2rBlnBxpB/qBUrB,v115@FhB8IeA8HeE8CeD8Je1FJvhFxhB0kBurB3nBikBzqB,v115@FhB8IeA8HeE8CeD8JeOEJvhF8kBXhBRnB1qBTnBSwB
ISLJZOT,O,X,O,X,X,X,X,X
ISLJOTZ,X,X,O,X,X,X,O,X
ISLJOZT,X,X,O,X,X,X,X,X
ISLZTJO,O,X,X,X,X,X,X,X
ISLZTOJ,O,X,X,X,X,X,X,X
ISLZJTO,X,X,O,X,X,X,O,O
ISLZJOT,O,X,O,X,X,X,X,X
ISLZOTJ,O,X,X,X,X,X,X,X
ISLZOJT,O,X,O,X,X,X,X,X
ISLOTJZ,O,X,X,X,X,X,X,X
ISLOTZJ,O,X,X,X,X,X,X,X
ISLOJTZ,X,X,O,X,X,X,X,X
ISLOJZT,X,X,O,X,X,X,X,X
ISLOZTJ,O,X,X,X,X,X,X,X
ISLOZJT,O,X,O,X,X,X,X,X
ISJTLZO,O,X,X,X,X,O,X,X
ISJTLOZ,O,X,X,O,X,O,X,X
ISJTZLO,O,X,X,X,X,O,O,O
ISJTZOL,O,X,X,X,X,O,O,O
ISJTOLZ,O,X,X,O,X,O,O,X
ISJTOZL,X,X,X,O,X,O,O,X
ISJLTZO,O,X,O,X,X,X,X,X
ISJLTOZ,O,X,O,X,X,X,X,X
ISJLZTO,X,X,O,X,X,X,O,O
ISJLZOT,O,X,O,X,X,X,X,X
ISJLOTZ,X,X,O,X,X,X,O,X
ISJLOZT,X,X,O,X,X,X,X,X
ISJZTLO,X,X,X,X,X,X,O,O
ISJZTOL,X,X,X,X,X,X,O,O
ISJZLTO,X,X,O,X,X,X,O,O
ISJZLOT,O,X,O,X,X,X,X,X
ISJZOTL,X,X,X,X,X,X,O,O
ISJZOLT,O,X,X,X,O,X,X,X
ISJOTLZ,X,X,X,O,X,O,O,X
ISJOTZL,X,X,X,O,X,O,O,X
ISJOLTZ,X,X,X,X,O,X,O,X
ISJOLZT,X,X,X,X,O,X,X,X
ISJOZTL,X,X,X,X,X,X,O,O
ISJOZLT,X,X,X,X,O,X,X,X
ISZTLJO,O,X,X,X,X,X,X,X
ISZTLOJ,O,X,X,X,X,X,X,X
ISZTJLO,O,X,X,X,X,X,O,O
ISZTJOL,O,X,X,X,X,X,O,O
ISZTOLJ,O,X,X,X,X,X,X,X
ISZTOJL,O,X,X,X,X,X,X,X
ISZLTJO,O,X,X,X,X,X,X,X
ISZLTOJ,O,X,X,X,X,X,X,X
ISZLJTO,X,X,O,X,X,X,O,O
ISZLJOT,O,X,O,X,X,X,X,X
ISZLOTJ,O,X,X,X,X,X,X,X
ISZLOJT,O,X,O,X,X,X,X,X
ISZJTLO,X,X,X,X,X,X,O,O
ISZJTOL,X,X,X,X,X,X,O,O
ISZJLTO,X,X,O,X,X,X,O,O
ISZJLOT,O,X,O,X,X,X,X,X
ISZJOTL,X,X,X,X,X,X,O,O
ISZJOLT,O,X,X,X,O,X,X,X
ISZOTLJ,O,X,X,X,X,X,X,X
ISZOTJL,O,X,X,X,X,X,O,X
ISZOLTJ,O,X,X,X,X,X,X,X
ISZOLJT,O,X,X,X,O,X,X,X
ISZOJTL,X,X,X,X,X,X,O,O
ISZOJLT,O,X,X,X,O,X,X,X
ISOTLJZ,O,X,X,O,X,X,X,X
ISOTLZJ,O,X,X,X,X,X,X,X
ISOTJLZ,O,X,X,O,X,O,O,X
ISOTJZL,X,X,X,O,X,O,O,X
ISOTZLJ,O,X,X,X,X,X,X,X
ISOTZJL,O,X,X,X,X,X,O,X
ISOLTJZ,O,X,X,X,X,X,X,X
ISOLTZJ,O,X,X,X,X,X,X,X
ISOLJTZ,X,X,X,X,O,X,X,X
ISOLJZT,X,X,X,X,O,X,X,X
ISOLZTJ,O,X,X,X,X,X,X,X
ISOLZJT,O,X,X,X,O,X,X,X
ISOJTLZ,X,X,X,O,X,O,O,X
ISOJTZL,X,X,X,O,X,O,O,X
ISOJLTZ,X,X,X,X,O,X,O,X
ISOJLZT,X,X,X,X,O,X,X,X
ISOJZTL,X,X,X,X,X,X,O,O
ISOJZLT,X,X,X,X,O,X,X,X
ISOZTLJ,O,X,X,X,X,X,X,X
ISOZTJL,X,X,X,X,X,X,O,X
ISOZLTJ,O,X,X,X,X,X,X,X
ISOZLJT,O,X,X,X,O,X,X,X
ISOZJTL,X,X,X,X,X,X,O,O
ISOZJLT,O,X,X,X,O,X,X,X
IZTLJSO,X,X,O,X,X,X,X,X
IZTLJOS,X,X,O,X,X,X,X,X
IZTLSJO,O,O,X,X,X,X,X,X
IZTLSOJ,O,O,X,X,X,X,X,X
IZTLOJS,X,X,O,X,X,X,X,X
IZTLOSJ,O,O,X,X,X,X,X,X
IZTJLSO,X,X,O,X,X,O,X,X
IZTJLOS,X,X,O,X,X,O,X,X
IZTJSLO,O,X,X,X,X,O,O,O
IZTJSOL,O,X,X,X,X,O,O,O
IZTJOLS,X,X,X,X,O,O,X,X
IZTJOSL,O,X,X,X,X,O,X,X
IZTSLJO,O,X,X,X,X,X,X,X
IZTSLOJ,O,X,X,X,X,X,X,X
IZTSJLO,O,X,X,X,X,X,O,O
IZTSJOL,O,X,X,X,X,X,O,O
IZTSOLJ,O,X,X,X,X,X,X,X
IZTSOJL,O,X,X,X,X,X,X,X
IZTOLJS,X,X,X,X,O,X,X,X
IZTOLSJ,O,O,X,X,X,X,X,X
IZTOJLS,X,X,X,X,O,O,X,X
IZTOJSL,O,X,X,X,X,O,X,X
IZTOSLJ,O,X,X,X,X,X,X,X
IZTOSJL,O,X,X,X,X,X,X,X
IZLTJSO,X,X,O,X,X,X,X,X
IZLTJOS,X,X,O,X,X,X,X,X
IZLTSJO,X,O,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,X,X,X,X
IZLTOJS,X,X,O,X,X,X,X,X
IZLTOSJ,X,O,X,X,X,X,X,X
IZLJTSO,X,X,O,X,X,X,X,X
IZLJTOS,X,X,O,X,X,X,X,X
IZLJSTO,X,X,O,X,X,X,X,O
IZLJSOT,X,X,O,X,X,X,X,X
IZLJOTS,X,X,O,X,O,X,X,X
IZLJOST,X,X,O,X,O,X,X,X
IZLSTJO,X,O,X,X,X,X,X,X
IZLSTOJ,O,O,X,X,X,X,X,X
IZLSJTO,X,O,O,X,X,X,X,O
IZLSJOT,O,O,O,X,X,X,X,X
IZLSOTJ,O,O,X,X,X,X,X,X
IZLSOJT,O,O,O,X,X,X,X,X
IZLOTJS,X,X,O,X,O,X,X,X
IZLOTSJ,X,O,X,X,X,X,X,X
IZLOJTS,X,X,O,X,O,X,X,X
IZLOJST,X,X,O,X,O,X,X,X
IZLOSTJ,O,O,X,X,X,X,X,X
IZLOSJT,O,O,O,X,O,X,X,X
IZJTLSO,X,X,O,X,X,O,X,X
IZJTLOS,X,X,O,X,X,O,X,X
IZJTSLO,X,X,X,X,X,O,O,O
IZJTSOL,X,X,X,X,X,O,O,O
IZJTOLS,X,X,X,X,O,O,X,X
IZJTOSL,X,X,X,X,X,O,X,X
IZJLTSO,X,X,O,X,X,X,X,X
IZJLTOS,X,X,O,X,X,X,X,X
IZJLSTO,X,X,O,X,X,X,X,O
IZJLSOT,X,X,O,X,X,X,X,X
IZJLOTS,X,X,O,X,O,X,X,X
IZJLOST,X,X,O,X,O,X,X,X
IZJSTLO,X,X,X,X,X,X,O,O
IZJSTOL,X,X,X,X,X,X,O,O
IZJSLTO,X,X,O,X,X,X,O,O
IZJSLOT,O,X,O,X,X,X,X,X
IZJSOTL,X,X,X,X,X,X,O,O
IZJSOLT,O,X,X,X,O,X,X,X
IZJOTLS,X,X,X,X,O,O,X,X
IZJOTSL,X,X,X,X,X,O,O,X
IZJOLTS,X,X,O,X,O,X,X,X
IZJOLST,X,X,O,X,O,X,X,X
IZJOSTL,X,X,X,X,X,X,O,O
IZJOSLT,O,X,X,X,O,X,X,X
IZSTLJO,O,X,X,X,X,X,X,X
IZSTLOJ,O,X,X,X,X,X,X,X
IZSTJLO,O,X,X,X,X,X,O,O
IZSTJOL,O,X,X,X,X,X,O,O
IZSTOLJ,O,X,X,X,X,X,X,X
IZSTOJL,O,X,X,X,X,X,X,X
IZSLTJO,O,X,X,X,X,X,X,X
IZSLTOJ,O,X,X,X,X,X,X,X
IZSLJTO,X,X,O,X,X,X,O,O
IZSLJOT,O,X,O,X,X,X,X,X
IZSLOTJ,O,X,X,X,X,X,X,X
IZSLOJT,O,X,O,X,X,X,X,X
IZSJTLO,X,X,X,X,X,X,O,O
IZSJTOL,X,X,X,X,X,X,O,O
IZSJLTO,X,X,O,X,X,X,O,O
IZSJLOT,O,X,O,X,X,X,X,X
IZSJOTL,X,X,X,X,X,X,O,O
IZSJOLT,O,X,X,X,O,X,X,X
IZSOTLJ,O,X,X,X,X,X,X,X
IZSOTJL,O,X,X,X,X,X,O,X
IZSOLTJ,O,X,X,X,X,X,X,X
IZSOLJT,O,X,X,X,O,X,X,X
IZSOJTL,X,X,X,X,X,X,O,O
IZSOJLT,O,X,X,X,O,X,X,X
IZOTLJS,X,X,X,X,O,X,X,X
IZOTLSJ,O,O,X,X,X,X,X,X
IZOTJLS,X,X,X,X,O,O,X,X
IZOTJSL,O,X,X,X,X,O,O,X
IZOTSLJ,O,X,X,X,X,X,X,X
IZOTSJL,O,X,X,X,X,X,O,X
IZOLTJS,X,X,O,X,O,X,X,X
IZOLTSJ,X,O,X,X,X,X,X,X
IZOLJTS,X,X,O,X,O,X,X,X
IZOLJST,X,X,O,X,O,X,X,X
IZOLSTJ,O,O,X,X,X,X,X,X
IZOLSJT,O,O,O,X,O,X,X,X
IZOJTLS,X,X,X,X,O,O,X,X
IZOJTSL,X,X,X,X,X,O,O,X
IZOJLTS,X,X,O,X,O,X,X,X
IZOJLST,X,X,O,X,O,X,X,X
IZOJSTL,X,X,X,X,X,X,O,O
IZOJSLT,O,X,X,X,O,X,X,X
IZOSTLJ,O,X,X,X,X,X,X,X
IZOSTJL,O,X,X,X,X,X,O,X
IZOSLTJ,O,X,X,X,X,X,X,X
IZOSLJT,O,X,X,X,O,X,X,X
IZOSJTL,X,X,X,X,X,X,O,O
IZOSJLT,O,X,X,X,O,X,X,X
IOTLJSZ,X,X,X,X,O,O,X,X
IOTLJZS,X,X,X,X,O,O,X,X
IOTLSJZ,O,O,X,O,X,X,X,X
IOTLSZJ,O,O,X,X,X,X,X,X
IOTLZJS,X,X,X,X,O,X,X,X
IOTLZSJ,X,O,X,X,X,X,X,X
IOTJLSZ,X,X,X,X,O,O,X,X
IOTJLZS,X,X,X,X,O,O,X,X
IOTJSLZ,O,X,X,O,X,O,O,X
IOTJSZL,X,X,X,O,X,O,O,X
IOTJZLS,X,X,X,X,O,O,X,X
IOTJZSL,X,X,X,X,X,O,O,X
IOTSLJZ,O,X,X,O,X,X,X,X
IOTSLZJ,O,X,X,X,X,X,X,X
IOTSJLZ,O,X,X,O,X,O,O,X
IOTSJZL,X,X,X,O,X,O,O,X
IOTSZLJ,O,X,X,X,X,X,X,X
IOTSZJL,O,X,X,X,X,X,O,X
IOTZLJS,X,X,X,X,O,X,X,X
IOTZLSJ,O,O,X,X,X,X,X,X
IOTZJLS,X,X,X,X,O,O,X,X
IOTZJSL,O,X,X,X,X,O,O,X
IOTZSLJ,O,X,X,X,X,X,X,X
IOTZSJL,O,X,X,X,X,X,O,X
IOLTJSZ,X,X,O,X,O,O,X,X
IOLTJZS,X,X,O,X,O,O,X,X
IOLTSJZ,X,O,X,X,X,X,X,X
IOLTSZJ,X,O,X,X,X,X,X,X
IOLTZJS,X,X,O,X,O,X,X,X
IOLTZSJ,X,O,X,X,X,X,X,X
IOLJTSZ,X,X,O,X,O,O,X,X
IOLJTZS,X,X,O,X,O,O,X,X
IOLJSTZ,X,X,O,X,O,X,X,X
IOLJSZT,X,X,O,X,O,X,X,X
IOLJZTS,X,X,O,X,O,X,X,X
IOLJZST,X,X,O,X,O,X,X,X
IOLSTJZ,X,O,X,X,X,X,X,X
IOLSTZJ,X,O,X,X,X,X,X,X
IOLSJTZ,X,O,O,X,O,X,X,X
IOLSJZT,X,O,O,X,O,X,X,X
IOLSZTJ,X,O,X,X,X,X,X,X
IOLSZJT,X,O,O,X,O,X,X,X
IOLZTJS,X,X,O,X,O,X,X,X
IOLZTSJ,X,O,X,X,X,X,X,X
IOLZJTS,X,X,O,X,O,X,X,X
IOLZJST,X,X,O,X,O,X,X,X
IOLZSTJ,X,O,X,X,X,X,X,X
IOLZSJT,X,O,O,X,O,X,X,X
IOJTLSZ,X,X,X,X,O,O,X,X
IOJTLZS,X,X,X,X,O,O,X,X
IOJTSLZ,X,X,X,O,X,O,O,X
IOJTSZL,X,X,X,O,X,O,O,X
IOJTZLS,X,X,X,X,O,O,X,X
IOJTZSL,X,X,X,X,X,O,O,X
IOJLTSZ,X,X,O,X,O,O,X,X
IOJLTZS,X,X,O,X,O,O,X,X
IOJLSTZ,X,X,O,X,O,X,X,X
IOJLSZT,X,X,O,X,O,X,X,X
IOJLZTS,X,X,O,X,O,X,X,X
IOJLZST,X,X,O,X,O,X,X,X
IOJSTLZ,X,X,X,O,X,O,O,X
IOJSTZL,X,X,X,O,X,O,O,X
IOJSLTZ,X,X,X,X,O,X,O,X
IOJSLZT,X,X,X,X,O,X,X,X
IOJSZTL,X,X,X,X,X,X,O,O
IOJSZLT,X,X,X,X,O,X,X,X
IOJZTLS,X,X,X,X,O,O,X,X
IOJZTSL,X,X,X,X,X,O,O,X
IOJZLTS,X,X,O,X,O,X,X,X
IOJZLST,X,X,O,X,O,X,X,X
IOJZSTL,X,X,X,X,X,X,O,O
IOJZSLT,X,X,X,X,O,X,X,X
IOSTLJZ,O,X,X,O,X,X,X,X
IOSTLZJ,O,X,X,X,X,X,X,X
IOSTJLZ,O,X,X,O,X,O,O,X
IOSTJZL,X,X,X,O,X,O,O,X
IOSTZLJ,O,X,X,X,X,X,X,X
IOSTZJL,O,X,X,X,X,X,O,X
IOSLTJZ,O,X,X,X,X,X,X,X
IOSLTZJ,O,X,X,X,X,X,X,X
IOSLJTZ,X,X,X,X,O,X,X,X
IOSLJZT,X,X,X,X,O,X,X,X
IOSLZTJ,O,X,X,X,X,X,X,X
IOSLZJT,O,X,X,X,O,X,X,X
IOSJTLZ,X,X,X,O,X,O,O,X
IOSJTZL,X,X,X,O,X,O,O,X
IOSJLTZ,X,X,X,X,O,X,O,X
IOSJLZT,X,X,X,X,O,X,X,X
IOSJZTL,X,X,X,X,X,X,O,O
IOSJZLT,X,X,X,X,O,X,X,X
IOSZTLJ,O,X,X,X,X,X,X,X
IOSZTJL,X,X,X,X,X,X,O,X
IOSZLTJ,O,X,X,X,X,X,X,X
IOSZLJT,O,X,X,X,O,X,X,X
IOSZJTL,X,X,X,X,X,X,O,O
IOSZJLT,O,X,X,X,O,X,X,X
IOZTLJS,X,X,X,X,O,X,X,X
IOZTLSJ,X,O,X,X,X,X,X,X
IOZTJLS,X,X,X,X,O,O,X,X
IOZTJSL,X,X,X,X,X,O,O,X
IOZTSLJ,O,X,X,X,X,X,X,X
IOZTSJL,X,X,X,X,X,X,O,X
IOZLTJS,X,X,O,X,O,X,X,X
IOZLTSJ,X,O,X,X,X,X,X,X
IOZLJTS,X,X,O,X,O,X,X,X
IOZLJST,X,X,O,X,O,X,X,X
IOZLSTJ,O,O,X,X,X,X,X,X
IOZLSJT,O,O,O,X,O,X,X,X
IOZJTLS,X,X,X,X,O,O,X,X
IOZJTSL,X,X,X,X,X,O,O,X
IOZJLTS,X,X,O,X,O,X,X,X
IOZJLST,X,X,O,X,O,X,X,X
IOZJSTL,X,X,X,X,X,X,O,O
IOZJSLT,O,X,X,X,O,X,X,X
IOZSTLJ,O,X,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,X,O,X
IOZSLTJ,O,X,X,X,X,X,X,X
IOZSLJT,O,X,X,X,O,X,X,X
IOZSJTL,X,X,X,X,X,X,O,O
IOZSJLT,O,X,X,X,O,X,X,X
LTIJSZO,X,X,O,X,X,O,X,X
LTIJSOZ,X,X,O,X,X,O,X,X
LTIJZSO,X,X,O,X,X,O,X,X
LTIJZOS,X,X,O,X,X,O,X,X
LTIJOSZ,X,X,O,X,X,O,X,X
LTIJOZS,X,X,O,X,X,O,X,X
LTISJZO,O,O,X,X,X,X,X,X
LTISJOZ,O,X,X,O,X,X,X,X
LTISZJO,O,O,X,X,X,X,X,X
LTISZOJ,O,O,X,X,X,X,X,X
LTISOJZ,O,O,X,O,X,X,X,X
LTISOZJ,O,O,X,X,X,X,X,X
LTIZJSO,X,X,O,X,X,X,X,X
LTIZJOS,X,X,O,X,X,X,X,X
LTIZSJO,O,O,X,X,X,X,X,X
LTIZSOJ,O,O,X,X,X,X,X,X
LTIZOJS,X,X,O,X,X,X,X,X
LTIZOSJ,O,O,X,X,X,X,X,X
LTIOJSZ,X,X,O,X,X,O,X,X
LTIOJZS,X,X,O,X,X,O,X,X
LTIOSJZ,O,O,X,O,X,X,X,X
LTIOSZJ,O,O,X,X,X,X,X,X
LTIOZJS,X,X,O,X,X,X,X,X
LTIOZSJ,X,O,X,X,X,X,X,X
LTJISZO,X,X,O,X,X,O,X,X
LTJISOZ,X,X,O,X,X,O,X,X
LTJIZSO,X,X,O,X,X,O,X,X
LTJIZOS,X,X,O,X,X,O,X,X
LTJIOSZ,X,X,O,X,X,O,X,X
LTJIOZS,X,X,O,X,X,O,X,X
LTJSIZO,X,O,X,X,X,O,X,X
LTJSIOZ,X,X,X,O,X,O,X,X
LTJSZIO,X,O,X,X,X,X,X,X
LTJSZOI,X,O,X,O,X,X,X,X
LTJSOIZ,X,O,X,O,X,X,X,X
LTJSOZI,X,O,X,O,X,X,X,X
LTJZISO,X,X,O,X,X,O,X,X
LTJZIOS,X,X,O,X,X,O,X,X
LTJZSIO,X,O,X,X,X,X,X,X
LTJZSOI,X,O,X,X,X,X,X,X
LTJZOIS,X,X,O,X,X,X,X,X
LTJZOSI,X,O,X,X,X,X,X,X
LTJOISZ,X,X,O,X,X,O,X,X
LTJOIZS,X,X,O,X,X,O,X,X
LTJOSIZ,X,O,X,O,X,X,X,X
LTJOSZI,X,O,X,O,X,X,X,X
LTJOZIS,X,X,O,X,X,X,X,X
LTJOZSI,X,O,X,X,X,X,X,X
LTSIJZO,O,O,X,X,X,X,X,X
LTSIJOZ,O,X,X,O,X,X,X,X
LTSIZJO,O,O,X,X,X,X,X,X
LTSIZOJ,O,O,X,X,X,X,X,X
LTSIOJZ,O,O,X,O,X,X,X,X
LTSIOZJ,O,O,X,X,X,X,X,X
LTSJIZO,O,O,X,X,X,O,X,X
LTSJIOZ,O,X,X,O,X,O,X,X
LTSJZIO,O,O,X,X,X,X,X,X
LTSJZOI,O,O,X,O,X,X,X,X
LTSJOIZ,O,O,X,O,X,X,X,X
LTSJOZI,X,O,X,O,X,X,X,X
LTSZIJO,O,O,X,X,X,X,X,X
LTSZIOJ,O,O,X,X,X,X,X,X
LTSZJIO,O,O,X,X,X,X,X,X
LTSZJOI,O,O,X,O,X,X,X,X
LTSZOIJ,O,O,X,X,X,X,X,X
LTSZOJI,O,O,X,O,X,X,X,X
LTSOIJZ,O,O,X,O,X,X,X,X
LTSOIZJ,O,O,X,X,X,X,X,X
LTSOJIZ,O,O,X,O,X,X,X,X
LTSOJZI,X,O,X,O,X,X,X,X
LTSOZIJ,O,O,X,X,X,X,X,X
LTSOZJI,O,O,X,O,X,X,X,X
LTZIJSO,X,X,O,X,X,X,X,X
LTZIJOS,X,X,O,X,X,X,X,X
LTZISJO,O,O,X,X,X,X,X,X
LTZISOJ,O,O,X,X,X,X,X,X
LTZIOJS,X,X,O,X,X,X,X,X
LTZIOSJ,O,O,X,X,X,X,X,X
LTZJISO,X,X,O,X,X,O,X,X
LTZJIOS,X,X,O,X,X,O,X,X
LTZJSIO,X,O,X,X,X,X,X,X
LTZJSOI,X,O,X,X,X,X,X,X
LTZJOIS,X,X,O,X,X,X,X,X
LTZJOSI,X,O,X,X,X,X,X,X
LTZSIJO,O,O,X,X,X,X,X,X
LTZSIOJ,O,O,X,X,X,X,X,X
LTZSJIO,O,O,X,X,X,X,X,X
LTZSJOI,O,O,X,O,X,X,X,X
LTZSOIJ,O,O,X,X,X,X,X,X
LTZSOJI,O,O,X,O,X,X,X,X
LTZOIJS,X,X,O,X,X,X,X,X
LTZOISJ,O,O,X,X,X,X,X,X
LTZOJIS,X,X,O,X,X,X,X,X
LTZOJSI,X,O,X,X,X,X,X,X
LTZOSIJ,O,O,X,X,X,X,X,X
LTZOSJI,O,O,X,O,X,X,X,X
LTOIJSZ,X,X,O,X,X,X,X,X
LTOIJZS,X,X,O,X,X,X,X,X
LTOISJZ,O,O,X,O,X,X,X,X
LTOISZJ,O,O,X,X,X,X,X,X
LTOIZJS,X,X,O,X,X,X,X,X
LTOIZSJ,X,O,X,X,X,X,X,X
LTOJISZ,X,X,O,X,X,O,X,X
LTOJIZS,X,X,O,X,X,O,X,X
LTOJSIZ,X,O,X,O,X,X,X,X
LTOJSZI,X,O,X,O,X,X,X,X
LTOJZIS,X,X,O,X,X,X,X,X
LTOJZSI,X,O,X,X,X,X,X,X
LTOSIJZ,O,O,X,O,X,X,X,X
LTOSIZJ,O,O,X,X,X,X,X,X
LTOSJIZ,O,O,X,O,X,X,X,X
LTOSJZI,X,O,X,O,X,X,X,X
LTOSZIJ,O,O,X,X,X,X,X,X
LTOSZJI,X,O,X,O,X,X,X,X
LTOZIJS,X,X,O,X,X,X,X,X
LTOZISJ,X,O,X,X,X,X,X,X
LTOZJIS,X,X,O,X,X,X,X,X
LTOZJSI,X,O,X,X,X,X,X,X
LTOZSIJ,X,O,X,X,X,X,X,X
LTOZSJI,X,O,X,O,X,X,X,X
LITJSZO,X,X,O,X,X,O,X,X
LITJSOZ,X,X,O,X,X,O,X,X
LITJZSO,X,X,O,X,X,O,X,X
LITJZOS,X,X,O,X,X,O,X,X
LITJOSZ,X,X,O,X,X,O,X,X
LITJOZS,X,X,O,X,X,O,X,X
LITSJZO,O,O,X,X,X,X,X,X
LITSJOZ,O,X,X,X,X,X,X,X
LITSZJO,O,O,X,X,X,X,X,X
LITSZOJ,O,O,X,X,X,X,X,X
LITSOJZ,O,O,X,X,X,X,X,X
LITSOZJ,O,O,X,X,X,X,X,X
LITZJSO,X,X,O,X,X,X,X,X
LITZJOS,X,X,O,X,X,X,X,X
LITZSJO,O,O,X,X,X,X,X,X
LITZSOJ,O,O,X,X,X,X,X,X
LITZOJS,X,X,O,X,X,X,X,X
LITZOSJ,O,O,X,X,X,X,X,X
LITOJSZ,X,X,O,X,X,O,X,X
LITOJZS,X,X,O,X,X,O,X,X
LITOSJZ,O,O,X,X,X,X,X,X
LITOSZJ,O,O,X,X,X,X,X,X
LITOZJS,X,X,O,X,X,X,X,X
LITOZSJ,X,O,X,X,X,X,X,X
LIJTSZO,X,X,O,X,X,O,X,X
LIJTSOZ,X,X,O,X,X,O,X,X
LIJTZSO,X,X,O,X,X,O,X,X
LIJTZOS,X,X,O,X,X,O,X,X
LIJTOSZ,X,X,O,X,X,O,X,X
LIJTOZS,X,X,O,X,X,O,X,X
LIJSTZO,X,X,O,X,X,X,X,X
LIJSTOZ,X,X,O,X,X,X,X,X
LIJSZTO,X,X,O,X,X,X,X,O
LIJSZOT,X,X,O,X,X,X,X,X
LIJSOTZ,X,X,O,X,X,X,X,X
LIJSOZT,X,X,O,X,X,X,X,X
LIJZTSO,X,X,O,X,X,X,X,X
LIJZTOS,X,X,O,X,X,X,X,X
LIJZSTO,X,X,O,X,X,X,X,O
LIJZSOT,X,X,O,X,X,X,X,X
LIJZOTS,X,X,O,X,O,X,X,X
LIJZOST,X,X,O,X,O,X,X,X
LIJOTSZ,X,X,O,X,O,O,X,X
LIJOTZS,X,X,O,X,O,O,X,X
LIJOSTZ,X,X,O,X,O,X,X,X
LIJOSZT,X,X,O,X,O,X,X,X
LIJOZTS,X,X,O,X,O,X,X,X
LIJOZST,X,X,O,X,O,X,X,X
LISTJZO,O,O,X,X,X,X,X,X
LISTJOZ,O,X,X,X,X,X,X,X
LISTZJO,O,O,X,X,X,X,X,X
LISTZOJ,O,O,X,X,X,X,X,X
LISTOJZ,O,O,X,X,X,X,X,X
LISTOZJ,O,O,X,X,X,X,X,X
LISJTZO,O,O,O,X,X,X,X,X
LISJTOZ,O,X,O,X,X,X,X,X
LISJZTO,X,O,O,X,X,X,X,O
LISJZOT,O,O,O,X,X,X,X,X
LISJOTZ,X,O,O,X,X,X,X,X
LISJOZT,X,O,O,X,X,X,X,X
LISZTJO,O,O,X,X,X,X,X,X
LISZTOJ,O,O,X,X,X,X,X,X
LISZJTO,X,O,O,X,X,X,X,O
LISZJOT,O,O,O,X,X,X,X,X
LISZOTJ,O,O,X,X,X,X,X,X
LISZOJT,O,O,O,X,X,X,X,X
LISOTJZ,O,O,X,X,X,X,X,X
LISOTZJ,O,O,X,X,X,X,X,X
LISOJTZ,X,O,O,X,X,X,X,X
LISOJZT,X,O,O,X,X,X,X,X
LISOZTJ,O,O,X,X,X,X,X,X
LISOZJT,O,O,O,X,X,X,X,X
LIZTJSO,X,X,O,X,X,X,X,X
LIZTJOS,X,X,O,X,X,X,X,X
LIZTSJO,X,O,X,X,X,X,X,X
LIZTSOJ,X,O,X,X,X,X,X,X
LIZTOJS,X,X,O,X,X,X,X,X
LIZTOSJ,X,O,X,X,X,X,X,X
LIZJTSO,X,X,O,X,X,X,X,X
LIZJTOS,X,X,O,X,X,X,X,X
LIZJSTO,X,X,O,X,X,X,X,O
LIZJSOT,X,X,O,X,X,X,X,X
LIZJOTS,X,X,O,X,O,X,X,X
LIZJOST,X,X,O,X,O,X,X,X
LIZSTJO,X,O,X,X,X,X,X,X
LIZSTOJ,O,O,X,X,X,X,X,X
LIZSJTO,X,O,O,X,X,X,X,O
LIZSJOT,O,O,O,X,X,X,X,X
LIZSOTJ,O,O,X,X,X,X,X,X
LIZSOJT,O,O,O,X,X,X,X,X
LIZOTJS,X,X,O,X,O,X,X,X
LIZOTSJ,X,O,X,X,X,X,X,X
LIZOJTS,X,X,O,X,O,X,X,X
LIZOJST,X,X,O,X,O,X,X,X
LIZOSTJ,O,O,X,X,X,X,X,X
LIZOSJT,O,O,O,X,O,X,X,X
LIOTJSZ,X,X,O,X,O,O,X,X
LIOTJZS,X,X,O,X,O,O,X,X
LIOTSJZ,X,O,X,X,X,X,X,X
LIOTSZJ,X,O,X,X,X,X,X,X
LIOTZJS,X,X,O,X,O,X,X,X
LIOTZSJ,X,O,X,X,X,X,X,X
LIOJTSZ,X,X,O,X,O,O,X,X
LIOJTZS,X,X,O,X,O,O,X,X
LIOJSTZ,X,X,O,X,O,X,X,X
LIOJSZT,X,X,O,X,O,X,X,X
LIOJZTS,X,X,O,X,O,X,X,X
LIOJZST,X,X,O,X,O,X,X,X
LIOSTJZ,X,O,X,X,X,X,X,X
LIOSTZJ,X,O,X,X,X,X,X,X
LIOSJTZ,X,O,O,X,O,X,X,X
LIOSJZT,X,O,O,X,O,X,X,X
LIOSZTJ,X,O,X,X,X,X,X,X
LIOSZJT,X,O,O,X,O,X,X,X
LIOZTJS,X,X,O,X,O,X,X,X
LIOZTSJ,X,O,X,X,X,X,X,X
