sequence,v115@GhA8HeB8HeE8AeB8BeB8Jei/IvhFzgBRiB3kBGnBlq?BUsB,v115@GhA8HeB8HeE8AeB8BeB8Jex/IvhFlhBunBTkB/qBUm?BKsB,v115@GhA8HeB8HeE8AeB8BeB8JeOEJvhF8kBzgBRiBfsB6s?BlqB,v115@GhA8HeB8HeE8AeB8BeB8Jex/IvhFlhB3iBikBUmBGq?BTsB,v115@GhA8HeB8HeE8AeB8BeB8Jei/IvhF3gBRiB1pB8qBzm?B+sB
TZLJOIS,O,O,O,O,O
TZLJOSI,O,O,O,O,O
TZLSIJO,O,O,O,O,O
TZLSIOJ,O,O,O,O,O
TZLSJIO,O,O,O,O,O
TZLSJOI,O,O,O,O,O
TZLSOIJ,O,O,O,O,O
TZLSOJI,O,O,O,O,O
TZLOIJS,X,O,O,O,X
TZLOISJ,O,O,X,O,O
TZLOJIS,O,O,O,O,O
TZLOJSI,O,O,O,O,O
TZLOSIJ,O,O,O,O,O
TZLOSJI,O,O,O,O,O
TZJILSO,O,X,X,O,O
TZJILOS,O,X,O,O,O
TZJISLO,O,X,O,O,O
TZJISOL,O,X,O,O,O
TZJIOLS,O,X,O,O,O
TZJIOSL,O,X,O,O,O
TZJLISO,O,O,X,O,O
TZJLIOS,O,O,O,O,O
TZJLSIO,O,O,O,O,O
TZJLSOI,O,O,O,O,O
TZJLOIS,O,O,O,O,O
TZJLOSI,O,O,O,O,O
TZJSILO,O,X,O,O,O
TZJSIOL,O,X,O,O,O
TZJSLIO,O,X,O,O,O
TZJSLOI,O,X,O,O,O
TZJSOIL,O,X,O,O,O
TZJSOLI,O,X,O,O,O
TZJOILS,O,X,O,O,O
TZJOISL,O,X,O,O,O
TZJOLIS,O,O,O,O,O
TZJOLSI,O,O,O,O,O
TZJOSIL,O,X,O,O,O
TZJOSLI,O,X,O,O,O
TZSILJO,O,X,O,O,O
TZSILOJ,O,X,O,O,O
TZSIJLO,O,X,O,O,O
TZSIJOL,O,X,O,O,O
TZSIOLJ,O,X,O,O,O
TZSIOJL,O,X,O,O,X
TZSLIJO,O,X,O,O,O
TZSLIOJ,O,X,O,O,O
TZSLJIO,O,X,O,O,O
TZSLJOI,O,X,O,O,O
TZSLOIJ,O,X,O,O,O
TZSLOJI,O,X,O,O,O
TZSJILO,O,X,O,O,O
TZSJIOL,O,X,O,O,O
TZSJLIO,O,X,O,O,O
TZSJLOI,O,X,O,O,O
TZSJOIL,O,X,O,O,O
TZSJOLI,O,X,O,O,O
TZSOILJ,O,X,O,O,O
TZSOIJL,O,X,O,O,X
TZSOLIJ,O,X,O,O,O
TZSOLJI,O,X,O,O,O
TZSOJIL,O,X,O,O,O
TZSOJLI,O,X,O,O,O
TZOILJS,X,X,O,O,X
TZOILSJ,O,X,X,O,O
TZOIJLS,O,X,O,O,X
TZOIJSL,O,X,O,O,X
TZOISLJ,O,X,O,O,O
TZOISJL,O,X,O,O,X
TZOLIJS,X,O,O,O,X
TZOLISJ,O,O,X,O,O
TZOLJIS,O,O,O,O,O
TZOLJSI,O,O,O,O,O
TZOLSIJ,O,O,O,O,O
TZOLSJI,O,O,O,O,O
TZOJILS,O,X,O,O,O
TZOJISL,O,X,O,O,O
TZOJLIS,O,O,O,O,O
TZOJLSI,O,O,O,O,O
TZOJSIL,O,X,O,O,O
TZOJSLI,O,X,O,O,O
TZOSILJ,O,X,O,O,O
TZOSIJL,O,X,O,O,X
TZOSLIJ,O,X,O,O,O
TZOSLJI,O,X,O,O,O
TZOSJIL,O,X,O,O,O
TZOSJLI,O,X,O,O,O
TOILJSZ,X,O,X,X,O
TOILJZS,X,O,X,X,O
TOILSJZ,O,O,X,X,X
TOILSZJ,O,O,X,X,X
TOILZJS,X,O,O,X,X
TOILZSJ,X,X,X,X,O
TOIJLSZ,X,O,X,X,O
TOIJLZS,X,O,X,X,O
TOIJSLZ,O,O,X,X,O
TOIJSZL,X,O,X,X,O
TOIJZLS,X,X,O,X,O
TOIJZSL,X,X,O,X,O
TOISLJZ,O,O,O,X,X
TOISLZJ,O,O,O,X,X
TOISJLZ,O,O,X,X,X
TOISJZL,X,O,O,X,X
TOISZLJ,O,O,O,X,X
TOISZJL,O,O,O,X,X
TOIZLJS,X,X,O,X,X
TOIZLSJ,O,X,X,X,O
TOIZJLS,O,X,O,X,X
TOIZJSL,O,X,O,X,X
TOIZSLJ,O,X,O,X,O
TOIZSJL,O,X,O,X,X
TOLIJSZ,X,O,X,X,O
TOLIJZS,X,O,X,X,O
TOLISJZ,O,O,X,O,X
TOLISZJ,O,O,X,O,X
TOLIZJS,X,O,O,O,X
TOLIZSJ,X,O,X,O,O
TOLJISZ,X,O,X,O,O
TOLJIZS,X,O,X,O,O
TOLJSIZ,X,O,X,O,O
TOLJSZI,X,O,X,O,O
TOLJZIS,X,O,X,O,O
TOLJZSI,X,O,X,O,O
TOLSIJZ,O,O,O,O,X
TOLSIZJ,O,O,O,O,X
TOLSJIZ,O,O,O,O,X
TOLSJZI,O,O,O,O,X
TOLSZIJ,O,O,O,O,X
TOLSZJI,O,O,O,O,X
TOLZIJS,X,O,O,O,X
TOLZISJ,O,O,X,O,O
TOLZJIS,O,O,O,O,O
TOLZJSI,O,O,O,O,O
TOLZSIJ,O,O,O,O,O
TOLZSJI,O,O,O,O,O
TOJILSZ,X,O,X,X,O
TOJILZS,X,O,X,X,O
TOJISLZ,O,O,X,X,O
TOJISZL,X,O,X,X,O
TOJIZLS,X,X,O,X,O
TOJIZSL,X,X,O,X,O
TOJLISZ,X,O,X,O,O
TOJLIZS,X,O,X,O,O
TOJLSIZ,X,O,X,O,O
TOJLSZI,X,O,X,O,O
TOJLZIS,X,O,X,O,O
TOJLZSI,X,O,X,O,O
TOJSILZ,O,O,X,O,O
TOJSIZL,X,O,O,X,O
TOJSLIZ,O,O,O,O,O
TOJSLZI,O,O,O,O,O
TOJSZIL,O,O,O,O,O
TOJSZLI,O,O,O,O,O
TOJZILS,O,X,O,O,O
TOJZISL,O,X,O,O,O
TOJZLIS,O,O,O,O,O
TOJZLSI,O,O,O,O,O
TOJZSIL,O,X,O,O,O
TOJZSLI,O,X,O,O,O
TOSILJZ,O,O,O,O,X
TOSILZJ,O,O,O,O,X
TOSIJLZ,O,O,X,O,X
TOSIJZL,X,O,O,X,X
TOSIZLJ,O,O,O,O,X
TOSIZJL,O,O,O,O,X
TOSLIJZ,O,O,O,O,X
TOSLIZJ,O,O,O,O,X
TOSLJIZ,O,O,O,O,X
TOSLJZI,O,O,O,O,X
TOSLZIJ,O,O,O,O,X
TOSLZJI,O,O,O,O,X
TOSJILZ,O,O,X,O,X
TOSJIZL,X,O,O,X,X
TOSJLIZ,O,O,O,O,X
TOSJLZI,O,O,O,O,X
TOSJZIL,O,O,O,O,X
TOSJZLI,O,O,O,O,X
TOSZILJ,O,O,O,O,X
TOSZIJL,O,O,O,O,X
TOSZLIJ,O,O,O,O,X
TOSZLJI,O,O,O,O,X
TOSZJIL,O,O,O,O,X
TOSZJLI,O,O,O,O,X
TOZILJS,X,X,O,O,X
TOZILSJ,O,X,X,O,O
TOZIJLS,O,X,O,O,X
TOZIJSL,O,X,O,O,X
TOZISLJ,O,X,O,O,O
TOZISJL,O,X,O,O,X
TOZLIJS,X,O,O,O,X
