sequence,v115@vhGc/I5oB6rBmnBTpB3qB0sB,v115@vhG8/IZkBasBusBctBzpBXrB,v115@vhGz8I5oBOpBXlB0mBUrByxB,v115@vhH+CJzfBKpBUmB/tBFqB0sBRwB,v115@vhGz7IWnBKpBUmB/tB0sBRwB,v115@vhG0AJ5oB3mBatB2uB0qBTsB,v115@vhG8AJZkBzkBusBctB3qBywB
IZLJSTO,X,X,O,O,O,X,O
IZLJSOT,O,O,O,O,O,O,O
IZLJOTS,O,O,O,X,O,O,X
IZLJOST,O,O,O,O,O,O,X
IZLSTJO,X,X,O,O,O,X,O
IZLSTOJ,X,X,O,X,O,X,O
IZLSJTO,X,X,O,O,O,X,O
IZLSJOT,O,O,O,O,O,O,O
IZLSOTJ,O,O,O,X,O,O,O
IZLSOJT,O,O,O,O,O,O,O
IZLOTJS,O,O,O,X,O,O,X
IZLOTSJ,O,O,O,X,O,O,X
IZLOJTS,O,O,O,X,O,O,X
IZLOJST,O,O,O,O,O,O,X
IZLOSTJ,O,O,O,X,O,O,X
IZLOSJT,O,O,O,O,O,O,X
IZJTLSO,X,X,O,O,O,X,X
IZJTLOS,X,X,O,X,O,O,X
IZJTSLO,X,X,O,O,O,X,X
IZJTSOL,X,X,O,X,O,O,X
IZJTOLS,X,X,O,X,O,O,X
IZJTOSL,X,X,O,X,O,O,X
IZJLTSO,X,X,O,O,O,X,X
IZJLTOS,X,X,O,X,O,O,X
IZJLSTO,X,X,O,O,O,X,O
IZJLSOT,O,O,O,O,O,O,O
IZJLOTS,O,O,O,X,O,O,X
IZJLOST,O,O,O,O,O,O,X
IZJSTLO,X,X,O,O,O,X,O
IZJSTOL,X,X,O,X,O,O,O
IZJSLTO,X,X,O,O,O,X,O
IZJSLOT,O,O,O,O,O,O,O
IZJSOTL,O,O,O,X,O,O,O
IZJSOLT,O,O,O,O,O,O,O
IZJOTLS,O,O,O,X,O,O,X
IZJOTSL,O,O,O,X,O,O,X
IZJOLTS,O,O,O,X,O,O,X
IZJOLST,O,O,O,O,O,O,X
IZJOSTL,O,O,O,X,O,O,X
IZJOSLT,O,O,O,O,O,O,X
IZSTLJO,X,X,O,O,O,X,O
IZSTLOJ,X,X,O,X,O,X,O
IZSTJLO,X,X,O,O,O,X,O
IZSTJOL,X,X,O,X,O,O,O
IZSTOLJ,X,X,O,X,O,O,O
IZSTOJL,X,X,O,X,O,O,O
IZSLTJO,X,X,O,O,O,X,O
IZSLTOJ,X,X,O,X,O,X,O
IZSLJTO,X,X,O,O,O,X,O
IZSLJOT,O,O,O,O,O,O,O
IZSLOTJ,O,O,O,X,O,O,O
IZSLOJT,O,O,O,O,O,O,O
IZSJTLO,X,X,O,O,O,X,O
IZSJTOL,X,X,O,X,O,O,O
IZSJLTO,X,X,O,O,O,X,O
IZSJLOT,O,O,O,O,O,O,O
IZSJOTL,O,O,O,X,O,O,O
IZSJOLT,O,O,O,O,O,O,O
IZSOTLJ,O,O,O,X,O,O,O
IZSOTJL,O,O,O,X,O,O,O
IZSOLTJ,O,O,O,X,O,O,O
IZSOLJT,O,O,O,O,O,O,O
IZSOJTL,O,O,O,X,O,O,O
IZSOJLT,O,O,O,O,O,O,O
IZOTLJS,O,O,O,X,O,O,X
IZOTLSJ,O,O,O,X,O,O,X
IZOTJLS,O,O,O,X,O,O,X
IZOTJSL,O,O,O,X,O,O,X
IZOTSLJ,O,O,O,X,O,O,X
IZOTSJL,O,O,O,X,O,O,X
IZOLTJS,O,O,O,X,O,O,X
IZOLTSJ,O,O,O,X,O,O,X
IZOLJTS,O,O,O,X,O,O,X
IZOLJST,O,O,O,O,O,O,X
IZOLSTJ,O,O,O,X,O,O,X
IZOLSJT,O,O,O,O,O,O,X
IZOJTLS,O,O,O,X,O,O,X
IZOJTSL,O,O,O,X,O,O,X
IZOJLTS,O,O,O,X,O,O,X
IZOJLST,O,O,O,O,O,O,X
IZOJSTL,O,O,O,X,O,O,X
IZOJSLT,O,O,O,O,O,O,X
IZOSTLJ,O,O,O,X,O,O,X
IZOSTJL,O,O,O,X,O,O,X
IZOSLTJ,O,O,O,X,O,O,X
IZOSLJT,O,O,O,O,O,O,X
IZOSJTL,O,O,O,X,O,O,X
IZOSJLT,O,O,O,O,O,O,X
IOTLJSZ,O,O,X,X,X,O,X
IOTLJZS,O,O,X,X,O,O,X
IOTLSJZ,O,O,X,X,X,O,X
IOTLSZJ,O,O,X,X,X,O,X
IOTLZJS,O,O,X,X,O,O,X
IOTLZSJ,O,O,X,X,O,O,X
IOTJLSZ,O,O,X,X,X,O,X
IOTJLZS,O,O,X,X,O,O,X
IOTJSLZ,O,O,X,X,X,O,X
IOTJSZL,O,O,X,X,X,O,X
IOTJZLS,O,O,X,X,O,O,X
IOTJZSL,O,O,X,X,O,O,X
IOTSLJZ,O,O,X,X,X,O,X
IOTSLZJ,O,O,X,X,X,O,X
IOTSJLZ,O,O,X,X,X,O,X
IOTSJZL,O,O,X,X,X,O,X
IOTSZLJ,O,O,X,X,X,O,X
IOTSZJL,O,O,X,X,X,O,X
IOTZLJS,O,O,X,X,O,O,X
IOTZLSJ,O,O,X,X,O,O,X
IOTZJLS,O,O,X,X,O,O,X
IOTZJSL,O,O,X,X,O,O,X
IOTZSLJ,O,O,X,X,O,O,X
IOTZSJL,O,O,X,X,O,O,X
IOLTJSZ,O,O,X,X,X,O,X
IOLTJZS,O,O,X,X,O,O,X
IOLTSJZ,O,O,X,X,X,O,X
IOLTSZJ,O,O,X,X,X,O,X
IOLTZJS,O,O,X,X,O,O,X
IOLTZSJ,O,O,X,X,O,O,X
IOLJTSZ,O,O,X,X,X,O,X
IOLJTZS,O,O,X,X,O,O,X
IOLJSTZ,O,O,X,X,X,O,O
IOLJSZT,O,O,O,O,O,O,O
IOLJZTS,O,O,O,X,O,O,X
IOLJZST,O,O,O,O,O,O,X
IOLSTJZ,O,O,X,X,X,O,O
IOLSTZJ,O,O,X,X,X,O,O
IOLSJTZ,O,O,X,X,X,O,O
IOLSJZT,O,O,O,O,O,O,O
IOLSZTJ,O,O,O,X,O,O,O
IOLSZJT,O,O,O,O,O,O,O
IOLZTJS,O,O,O,X,O,O,X
IOLZTSJ,O,O,O,X,O,O,X
IOLZJTS,O,O,O,X,O,O,X
IOLZJST,O,O,O,O,O,O,X
IOLZSTJ,O,O,O,X,O,O,X
IOLZSJT,O,O,O,O,O,O,X
IOJTLSZ,O,O,X,X,X,O,X
IOJTLZS,O,O,X,X,O,O,X
IOJTSLZ,O,O,X,X,X,O,X
IOJTSZL,O,O,X,X,X,O,X
IOJTZLS,O,O,X,X,O,O,X
IOJTZSL,O,O,X,X,O,O,X
IOJLTSZ,O,O,X,X,X,O,X
IOJLTZS,O,O,X,X,O,O,X
IOJLSTZ,O,O,X,X,X,O,O
IOJLSZT,O,O,O,O,O,O,O
IOJLZTS,O,O,O,X,O,O,X
IOJLZST,O,O,O,O,O,O,X
IOJSTLZ,O,O,X,X,X,O,O
IOJSTZL,O,O,X,X,X,O,O
IOJSLTZ,O,O,X,X,X,O,O
IOJSLZT,O,O,O,O,O,O,O
IOJSZTL,O,O,O,X,O,O,O
IOJSZLT,O,O,O,O,O,O,O
IOJZTLS,O,O,O,X,O,O,X
IOJZTSL,O,O,O,X,O,O,X
IOJZLTS,O,O,O,X,O,O,X
IOJZLST,O,O,O,O,O,O,X
IOJZSTL,O,O,O,X,O,O,X
IOJZSLT,O,O,O,O,O,O,X
IOSTLJZ,O,O,X,X,X,O,O
IOSTLZJ,O,O,X,X,X,O,O
IOSTJLZ,O,O,X,X,X,O,O
IOSTJZL,O,O,X,X,X,O,O
IOSTZLJ,O,O,X,X,X,O,O
IOSTZJL,O,O,X,X,X,O,O
IOSLTJZ,O,O,X,X,X,O,O
IOSLTZJ,O,O,X,X,X,O,O
IOSLJTZ,O,O,X,X,X,O,O
IOSLJZT,O,O,O,O,O,O,O
IOSLZTJ,O,O,O,X,O,O,O
IOSLZJT,O,O,O,O,O,O,O
IOSJTLZ,O,O,X,X,X,O,O
IOSJTZL,O,O,X,X,X,O,O
IOSJLTZ,O,O,X,X,X,O,O
IOSJLZT,O,O,O,O,O,O,O
IOSJZTL,O,O,O,X,O,O,O
IOSJZLT,O,O,O,O,O,O,O
IOSZTLJ,O,O,O,X,O,O,O
IOSZTJL,O,O,O,X,O,O,O
IOSZLTJ,O,O,O,X,O,O,O
IOSZLJT,O,O,O,O,O,O,O
IOSZJTL,O,O,O,X,O,O,O
IOSZJLT,O,O,O,O,O,O,O
IOZTLJS,O,O,O,X,O,O,X
IOZTLSJ,O,O,O,X,O,O,X
IOZTJLS,O,O,O,X,O,O,X
IOZTJSL,O,O,O,X,O,O,X
IOZTSLJ,O,O,O,X,O,O,X
IOZTSJL,O,O,O,X,O,O,X
IOZLTJS,O,O,O,X,O,O,X
IOZLTSJ,O,O,O,X,O,O,X
IOZLJTS,O,O,O,X,O,O,X
IOZLJST,O,O,O,O,O,O,X
IOZLSTJ,O,O,O,X,O,O,X
IOZLSJT,O,O,O,O,O,O,X
IOZJTLS,O,O,O,X,O,O,X
IOZJTSL,O,O,O,X,O,O,X
IOZJLTS,O,O,O,X,O,O,X
IOZJLST,O,O,O,O,O,O,X
IOZJSTL,O,O,O,X,O,O,X
IOZJSLT,O,O,O,O,O,O,X
IOZSTLJ,O,O,O,X,O,O,X
IOZSTJL,O,O,O,X,O,O,X
IOZSLTJ,O,O,O,X,O,O,X
IOZSLJT,O,O,O,O,O,O,X
IOZSJTL,O,O,O,X,O,O,X
IOZSJLT,O,O,O,O,O,O,X
LTIJSZO,X,X,O,O,O,X,O
LTIJSOZ,O,O,X,X,X,X,O
LTIJZSO,X,X,O,O,O,X,X
LTIJZOS,X,X,O,X,O,O,X
LTIJOSZ,O,O,X,X,X,O,X
LTIJOZS,O,O,O,X,X,O,X
LTISJZO,X,X,O,O,O,X,O
LTISJOZ,O,O,X,X,X,X,O
LTISZJO,X,X,O,O,O,X,O
LTISZOJ,X,X,O,X,O,X,O
LTISOJZ,O,O,X,X,X,X,O
LTISOZJ,O,O,X,X,X,X,O
LTIZJSO,X,X,O,O,O,X,X
LTIZJOS,X,X,O,X,O,O,X
LTIZSJO,X,X,O,O,O,X,X
LTIZSOJ,X,X,O,X,O,X,X
LTIZOJS,X,X,O,X,O,O,X
LTIZOSJ,X,X,O,X,O,O,X
LTIOJSZ,O,O,X,X,X,O,X
LTIOJZS,O,O,O,X,X,O,X
LTIOSJZ,O,O,X,X,X,O,X
LTIOSZJ,O,O,X,X,X,O,X
LTIOZJS,O,O,O,X,X,O,X
LTIOZSJ,O,O,O,X,X,O,X
LTJISZO,X,X,O,O,O,X,O
LTJISOZ,O,O,X,X,X,X,O
LTJIZSO,X,X,O,O,O,X,X
LTJIZOS,X,X,O,X,O,O,X
LTJIOSZ,O,O,X,X,X,O,X
LTJIOZS,O,O,O,X,X,O,X
LTJSIZO,X,X,O,O,O,X,O
LTJSIOZ,O,O,X,X,X,X,O
LTJSZIO,X,X,O,X,X,X,O
LTJSZOI,X,X,O,X,X,X,O
LTJSOIZ,O,O,X,X,X,X,O
LTJSOZI,O,O,X,X,X,X,O
LTJZISO,X,X,O,X,X,X,X
LTJZIOS,X,X,O,X,X,O,X
LTJZSIO,X,X,O,X,X,X,X
LTJZSOI,X,X,O,X,X,X,X
LTJZOIS,X,X,O,X,X,O,X
LTJZOSI,X,X,O,X,X,O,X
LTJOISZ,O,O,X,X,X,O,X
LTJOIZS,O,O,O,X,X,O,X
LTJOSIZ,O,O,X,X,X,O,X
LTJOSZI,O,O,X,X,X,O,X
LTJOZIS,O,O,O,X,X,O,X
LTJOZSI,O,O,O,X,X,O,X
LTSIJZO,X,X,O,O,O,X,O
LTSIJOZ,O,O,X,X,X,X,O
LTSIZJO,X,X,O,O,O,X,O
LTSIZOJ,X,X,O,X,O,X,O
LTSIOJZ,O,O,X,X,X,X,O
LTSIOZJ,O,O,X,X,X,X,O
LTSJIZO,X,X,O,O,O,X,O
LTSJIOZ,O,O,X,X,X,X,O
LTSJZIO,X,X,O,X,X,X,O
LTSJZOI,X,X,O,X,X,X,O
LTSJOIZ,O,O,X,X,X,X,O
LTSJOZI,O,O,X,X,X,X,O
LTSZIJO,X,X,O,X,X,X,O
LTSZIOJ,X,X,O,X,X,X,O
LTSZJIO,X,X,O,X,X,X,O
LTSZJOI,X,X,O,X,X,X,O
LTSZOIJ,X,X,O,X,X,X,O
LTSZOJI,X,X,O,X,X,X,O
LTSOIJZ,O,O,X,X,X,X,O
LTSOIZJ,O,O,X,X,X,X,O
LTSOJIZ,O,O,X,X,X,X,O
LTSOJZI,O,O,X,X,X,X,O
LTSOZIJ,O,O,X,X,X,X,O
LTSOZJI,O,O,X,X,X,X,O
LTZIJSO,X,X,O,X,X,X,X
LTZIJOS,X,X,O,X,X,O,X
LTZISJO,X,X,O,X,X,X,X
LTZISOJ,X,X,O,X,X,X,X
LTZIOJS,X,X,O,X,X,O,X
LTZIOSJ,X,X,O,X,X,O,X
LTZJISO,X,X,O,X,X,X,X
LTZJIOS,X,X,O,X,X,O,X
LTZJSIO,X,X,O,X,X,X,X
LTZJSOI,X,X,O,X,X,X,X
LTZJOIS,X,X,O,X,X,O,X
LTZJOSI,X,X,O,X,X,O,X
LTZSIJO,X,X,O,X,X,X,X
LTZSIOJ,X,X,O,X,X,X,X
LTZSJIO,X,X,O,X,X,X,X
LTZSJOI,X,X,O,X,X,X,X
LTZSOIJ,X,X,O,X,X,X,X
LTZSOJI,X,X,O,X,X,X,X
LTZOIJS,X,X,O,X,X,O,X
LTZOISJ,X,X,O,X,X,O,X
LTZOJIS,X,X,O,X,X,O,X
LTZOJSI,X,X,O,X,X,O,X
LTZOSIJ,X,X,O,X,X,O,X
LTZOSJI,X,X,O,X,X,O,X
LTOIJSZ,O,O,X,X,X,O,X
LTOIJZS,O,O,O,X,X,O,X
LTOISJZ,O,O,X,X,X,O,X
LTOISZJ,O,O,X,X,X,O,X
LTOIZJS,O,O,O,X,X,O,X
LTOIZSJ,O,O,O,X,X,O,X
LTOJISZ,O,O,X,X,X,O,X
LTOJIZS,O,O,O,X,X,O,X
LTOJSIZ,O,O,X,X,X,O,X
LTOJSZI,O,O,X,X,X,O,X
LTOJZIS,O,O,O,X,X,O,X
LTOJZSI,O,O,O,X,X,O,X
LTOSIJZ,O,O,X,X,X,O,X
LTOSIZJ,O,O,X,X,X,O,X
LTOSJIZ,O,O,X,X,X,O,X
LTOSJZI,O,O,X,X,X,O,X
LTOSZIJ,O,O,X,X,X,O,X
LTOSZJI,O,O,X,X,X,O,X
LTOZIJS,O,O,O,X,X,O,X
LTOZISJ,O,O,O,X,X,O,X
LTOZJIS,O,O,O,X,X,O,X
LTOZJSI,O,O,O,X,X,O,X
LTOZSIJ,O,O,O,X,X,O,X
LTOZSJI,O,O,O,X,X,O,X
LITJSZO,X,X,O,O,O,X,O
LITJSOZ,O,O,X,X,X,X,O
LITJZSO,X,X,O,O,O,X,X
LITJZOS,X,X,O,X,O,O,X
LITJOSZ,O,O,X,X,X,O,X
LITJOZS,O,O,O,X,O,O,X
LITSJZO,X,X,O,O,O,X,O
LITSJOZ,O,O,X,X,X,X,O
LITSZJO,X,X,O,O,O,X,O
LITSZOJ,X,X,O,X,O,X,O
LITSOJZ,O,O,X,X,X,X,O
LITSOZJ,O,O,X,X,X,X,O
LITZJSO,X,X,O,O,O,X,X
LITZJOS,X,X,O,X,O,O,X
LITZSJO,X,X,O,O,O,X,X
LITZSOJ,X,X,O,X,O,X,X
LITZOJS,X,X,O,X,O,O,X
LITZOSJ,X,X,O,X,O,O,X
LITOJSZ,O,O,X,X,X,O,X
LITOJZS,O,O,O,X,O,O,X
LITOSJZ,O,O,X,X,X,O,X
LITOSZJ,O,O,X,X,X,O,X
LITOZJS,O,O,O,X,O,O,X
LITOZSJ,O,O,O,X,O,O,X
LIJTSZO,X,X,O,O,O,X,O
LIJTSOZ,O,O,X,X,X,X,O
LIJTZSO,X,X,O,O,O,X,X
LIJTZOS,X,X,O,X,O,O,X
LIJTOSZ,O,O,X,X,X,O,X
LIJTOZS,O,O,O,X,O,O,X
LIJSTZO,X,X,O,O,O,X,O
LIJSTOZ,O,O,X,X,X,X,O
LIJSZTO,X,X,O,O,O,X,O
LIJSZOT,O,O,O,O,O,O,O
LIJSOTZ,O,O,X,X,X,O,O
LIJSOZT,O,O,O,O,O,O,O
LIJZTSO,X,X,O,O,O,X,X
LIJZTOS,X,X,O,X,O,O,X
LIJZSTO,X,X,O,O,O,X,O
LIJZSOT,O,O,O,O,O,O,O
LIJZOTS,O,O,O,X,O,O,X
LIJZOST,O,O,O,O,O,O,X
LIJOTSZ,O,O,X,X,X,O,X
LIJOTZS,O,O,O,X,O,O,X
LIJOSTZ,O,O,X,X,X,O,O
LIJOSZT,O,O,O,O,O,O,O
LIJOZTS,O,O,O,X,O,O,X
LIJOZST,O,O,O,O,O,O,X
LISTJZO,X,X,O,O,O,X,O
LISTJOZ,O,O,X,X,X,X,O
LISTZJO,X,X,O,O,O,X,O
LISTZOJ,X,X,O,X,O,X,O
LISTOJZ,O,O,X,X,X,X,O
LISTOZJ,O,O,X,X,X,X,O
LISJTZO,X,X,O,O,O,X,O
LISJTOZ,O,O,X,X,X,X,O
LISJZTO,X,X,O,O,O,X,O
LISJZOT,O,O,O,O,O,O,O
LISJOTZ,O,O,X,X,X,O,O
LISJOZT,O,O,O,O,O,O,O
LISZTJO,X,X,O,O,O,X,O
LISZTOJ,X,X,O,X,O,X,O
LISZJTO,X,X,O,O,O,X,O
LISZJOT,O,O,O,O,O,O,O
LISZOTJ,O,O,O,X,O,O,O
LISZOJT,O,O,O,O,O,O,O
LISOTJZ,O,O,X,X,X,O,O
LISOTZJ,O,O,X,X,X,O,O
LISOJTZ,O,O,X,X,X,O,O
LISOJZT,O,O,O,O,O,O,O
LISOZTJ,O,O,O,X,O,O,O
LISOZJT,O,O,O,O,O,O,O
LIZTJSO,X,X,O,O,O,X,X
LIZTJOS,X,X,O,X,O,O,X
LIZTSJO,X,X,O,O,O,X,X
LIZTSOJ,X,X,O,X,O,X,X
LIZTOJS,X,X,O,X,O,O,X
LIZTOSJ,X,X,O,X,O,O,X
LIZJTSO,X,X,O,O,O,X,X
LIZJTOS,X,X,O,X,O,O,X
LIZJSTO,X,X,O,O,O,X,O
LIZJSOT,O,O,O,O,O,O,O
LIZJOTS,O,O,O,X,O,O,X
LIZJOST,O,O,O,O,O,O,X
LIZSTJO,X,X,O,O,O,X,O
LIZSTOJ,X,X,O,X,O,X,O
LIZSJTO,X,X,O,O,O,X,O
LIZSJOT,O,O,O,O,O,O,O
LIZSOTJ,O,O,O,X,O,O,O
LIZSOJT,O,O,O,O,O,O,O
LIZOTJS,O,O,O,X,O,O,X
LIZOTSJ,O,O,O,X,O,O,X
LIZOJTS,O,O,O,X,O,O,X
LIZOJST,O,O,O,O,O,O,X
LIZOSTJ,O,O,O,X,O,O,X
LIZOSJT,O,O,O,O,O,O,X
LIOTJSZ,O,O,X,X,X,O,X
LIOTJZS,O,O,O,X,O,O,X
LIOTSJZ,O,O,X,X,X,O,X
LIOTSZJ,O,O,X,X,X,O,X
LIOTZJS,O,O,O,X,O,O,X
LIOTZSJ,O,O,O,X,O,O,X
LIOJTSZ,O,O,X,X,X,O,X
LIOJTZS,O,O,O,X,O,O,X
LIOJSTZ,O,O,X,X,X,O,O
LIOJSZT,O,O,O,O,O,O,O
LIOJZTS,O,O,O,X,O,O,X
LIOJZST,O,O,O,O,O,O,X
LIOSTJZ,O,O,X,X,X,O,O
LIOSTZJ,O,O,X,X,X,O,O
LIOSJTZ,O,O,X,X,X,O,O
LIOSJZT,O,O,O,O,O,O,O
LIOSZTJ,O,O,O,X,O,O,O
LIOSZJT,O,O,O,O,O,O,O
LIOZTJS,O,O,O,X,O,O,X
LIOZTSJ,O,O,O,X,O,O,X
LIOZJTS,O,O,O,X,O,O,X
LIOZJST,O,O,O,O,O,O,X
LIOZSTJ,O,O,O,X,O,O,X
LIOZSJT,O,O,O,O,O,O,X
LJTISZO,X,X,O,O,O,X,O
LJTISOZ,O,O,X,X,X,X,O
LJTIZSO,X,X,O,O,O,X,X
LJTIZOS,X,X,O,X,O,O,X
LJTIOSZ,O,O,X,X,X,O,X
LJTIOZS,O,O,O,X,X,O,X
LJTSIZO,X,X,O,O,O,X,O
LJTSIOZ,O,O,X,X,X,X,O
LJTSZIO,X,X,O,X,X,X,O
LJTSZOI,X,X,O,X,X,X,O
LJTSOIZ,O,O,X,X,X,X,O
LJTSOZI,O,O,X,X,X,X,O
LJTZISO,X,X,O,X,X,X,X
LJTZIOS,X,X,O,X,X,O,X
LJTZSIO,X,X,O,X,X,X,X
LJTZSOI,X,X,O,X,X,X,X
LJTZOIS,X,X,O,X,X,O,X
LJTZOSI,X,X,O,X,X,O,X
LJTOISZ,O,O,X,X,X,O,X
LJTOIZS,O,O,O,X,X,O,X
LJTOSIZ,O,O,X,X,X,O,X
LJTOSZI,O,O,X,X,X,O,X
LJTOZIS,O,O,O,X,X,O,X
LJTOZSI,O,O,O,X,X,O,X
LJITSZO,X,X,O,O,O,X,O
LJITSOZ,O,O,X,X,X,X,O
LJITZSO,X,X,O,O,O,X,X
LJITZOS,X,X,O,X,O,O,X
LJITOSZ,O,O,X,X,X,O,X
LJITOZS,O,O,O,X,X,O,X
LJISTZO,X,X,O,O,O,X,O
LJISTOZ,O,O,X,X,X,X,O
LJISZTO,X,X,O,O,O,X,O
LJISZOT,O,O,O,O,O,O,O
LJISOTZ,O,O,X,X,X,O,O
LJISOZT,O,O,O,O,O,O,O
LJIZTSO,X,X,O,O,O,X,X
LJIZTOS,X,X,O,X,O,O,X
LJIZSTO,X,X,O,O,O,X,O
LJIZSOT,O,O,O,O,O,O,O
LJIZOTS,O,O,O,X,O,O,X
LJIZOST,O,O,O,O,O,O,X
LJIOTSZ,O,O,X,X,X,O,X
LJIOTZS,O,O,O,X,X,O,X
LJIOSTZ,O,O,X,X,X,O,O
LJIOSZT,O,O,O,O,O,O,O
LJIOZTS,O,O,O,X,O,O,X
LJIOZST,O,O,O,O,O,O,X
LJSTIZO,X,X,O,O,O,X,O
LJSTIOZ,O,O,X,X,X,X,O
LJSTZIO,X,X,O,X,X,X,O
LJSTZOI,X,X,O,X,X,X,O
LJSTOIZ,O,O,X,X,X,X,O
LJSTOZI,O,O,X,X,X,X,O
LJSITZO,X,X,O,O,O,X,O
LJSITOZ,O,O,X,X,X,X,O
LJSIZTO,X,X,O,O,O,X,O
LJSIZOT,O,O,O,O,O,O,O
LJSIOTZ,O,O,X,X,X,O,O
LJSIOZT,O,O,O,O,O,O,O
LJSZTIO,X,X,O,X,X,X,O
LJSZTOI,X,X,O,X,X,X,O
LJSZITO,X,X,O,O,O,X,O
LJSZIOT,O,O,O,O,O,O,O
LJSZOTI,O,O,O,X,X,O,O
LJSZOIT,O,O,O,X,X,O,O
LJSOTIZ,O,O,X,X,X,O,O
LJSOTZI,O,O,X,X,X,O,O
LJSOITZ,O,O,X,X,X,O,O
LJSOIZT,O,O,O,O,O,O,O
LJSOZTI,O,O,O,X,X,O,O
LJSOZIT,O,O,O,X,X,O,O
LJZTISO,X,X,O,X,X,X,X
LJZTIOS,X,X,O,X,X,O,X
LJZTSIO,X,X,O,X,X,X,X
LJZTSOI,X,X,O,X,X,X,X
LJZTOIS,X,X,O,X,X,O,X
LJZTOSI,X,X,O,X,X,O,X
LJZITSO,X,X,O,O,O,X,X
LJZITOS,X,X,O,X,O,O,X
LJZISTO,X,X,O,O,O,X,O
LJZISOT,O,O,O,O,O,O,O
LJZIOTS,O,O,O,X,O,O,X
LJZIOST,O,O,O,O,O,O,X
LJZSTIO,X,X,O,X,X,X,O
LJZSTOI,X,X,O,X,X,X,O
LJZSITO,X,X,O,O,O,X,O
LJZSIOT,O,O,O,O,O,O,O
LJZSOTI,O,O,O,X,X,O,O
LJZSOIT,O,O,O,X,X,O,O
LJZOTIS,O,O,O,X,X,O,X
LJZOTSI,O,O,O,X,X,O,X
LJZOITS,O,O,O,X,X,O,X
LJZOIST,O,O,O,X,X,O,X
LJZOSTI,O,O,O,X,X,O,X
LJZOSIT,O,O,O,X,X,O,X
LJOTISZ,O,O,X,X,X,O,X
LJOTIZS,O,O,O,X,X,O,X
LJOTSIZ,O,O,X,X,X,O,X
LJOTSZI,O,O,X,X,X,O,X
LJOTZIS,O,O,O,X,X,O,X
LJOTZSI,O,O,O,X,X,O,X
LJOITSZ,O,O,X,X,X,O,X
LJOITZS,O,O,O,X,X,O,X
LJOISTZ,O,O,X,X,X,O,O
LJOISZT,O,O,O,O,O,O,O
LJOIZTS,O,O,O,X,O,O,X
LJOIZST,O,O,O,O,O,O,X
LJOSTIZ,O,O,X,X,X,O,O
LJOSTZI,O,O,X,X,X,O,O
LJOSITZ,O,O,X,X,X,O,O
LJOSIZT,O,O,O,O,O,O,O
LJOSZTI,O,O,O,X,X,O,O
LJOSZIT,O,O,O,X,X,O,O
LJOZTIS,O,O,O,X,X,O,X
LJOZTSI,O,O,O,X,X,O,X
LJOZITS,O,O,O,X,X,O,X
LJOZIST,O,O,O,X,X,O,X
LJOZSTI,O,O,O,X,X,O,X
LJOZSIT,O,O,O,X,X,O,X
LSTIJZO,X,X,O,O,O,X,O
LSTIJOZ,O,O,X,X,X,X,O
LSTIZJO,X,X,O,O,O,X,O
LSTIZOJ,X,X,O,X,O,X,O
LSTIOJZ,O,O,X,X,X,X,O
LSTIOZJ,O,O,X,X,X,X,O
LSTJIZO,X,X,O,O,O,X,O
LSTJIOZ,O,O,X,X,X,X,O
LSTJZIO,X,X,O,X,X,X,O
LSTJZOI,X,X,O,X,X,X,O
LSTJOIZ,O,O,X,X,X,X,O
LSTJOZI,O,O,X,X,X,X,O
LSTZIJO,X,X,O,X,X,X,O
LSTZIOJ,X,X,O,X,X,X,O
LSTZJIO,X,X,O,X,X,X,O
LSTZJOI,X,X,O,X,X,X,O
LSTZOIJ,X,X,O,X,X,X,O
LSTZOJI,X,X,O,X,X,X,O
LSTOIJZ,O,O,X,X,X,X,O
LSTOIZJ,O,O,X,X,X,X,O
LSTOJIZ,O,O,X,X,X,X,O
LSTOJZI,O,O,X,X,X,X,O
LSTOZIJ,O,O,X,X,X,X,O
LSTOZJI,O,O,X,X,X,X,O
LSITJZO,X,X,O,O,O,X,O
LSITJOZ,O,O,X,X,X,X,O
LSITZJO,X,X,O,O,O,X,O
LSITZOJ,X,X,O,X,O,X,O
LSITOJZ,O,O,X,X,X,X,O
LSITOZJ,O,O,X,X,X,X,O
LSIJTZO,X,X,O,O,O,X,O
LSIJTOZ,O,O,X,X,X,X,O
LSIJZTO,X,X,O,O,O,X,O
LSIJZOT,O,O,O,O,O,O,O
LSIJOTZ,O,O,X,X,X,O,O
LSIJOZT,O,O,O,O,O,O,O
LSIZTJO,X,X,O,O,O,X,O
LSIZTOJ,X,X,O,X,O,X,O
LSIZJTO,X,X,O,O,O,X,O
LSIZJOT,O,O,O,O,O,O,O
LSIZOTJ,O,O,O,X,O,O,O
LSIZOJT,O,O,O,O,O,O,O
LSIOTJZ,O,O,X,X,X,O,O
LSIOTZJ,O,O,X,X,X,O,O
LSIOJTZ,O,O,X,X,X,O,O
LSIOJZT,O,O,O,O,O,O,O
LSIOZTJ,O,O,O,X,O,O,O
LSIOZJT,O,O,O,O,O,O,O
LSJTIZO,X,X,O,O,O,X,O
LSJTIOZ,O,O,X,X,X,X,O
LSJTZIO,X,X,O,X,X,X,O
LSJTZOI,X,X,O,X,X,X,O
LSJTOIZ,O,O,X,X,X,X,O
LSJTOZI,O,O,X,X,X,X,O
LSJITZO,X,X,O,O,O,X,O
