sequence,v115@KhB8EeA8BeB8EeF8CeA8Je/EJvhFalBRhBFjBzmB+s?BctB,v115@KhB8EeA8BeB8EeF8CeA8Jem/IvhFRhBSnBTjB0kBFs?BXtB,v115@KhB8EeA8BeB8EeF8CeA8Jei/IvhFRhBGjBzkBfsBVt?B0sB,v115@KhB8EeA8BeB8EeF8CeA8JeT/IvhFelBRhBFjBfsBSt?B0sB,v115@KhB8EeA8BeB8EeF8CeA8JeT/IvhFelBRhBfsBlnBct?BCtB,v115@KhB8EeA8BeB8EeF8CeA8Jem/IvhFRhB0kBzmBStB3s?BFtB,v115@KhB8EeA8BeB8EeF8CeA8JeyEJvhFRhB+oBfsBlnB0k?BzsB
IZTSJLO,O,O,X,X,O,X,X
IZTSJOL,O,O,X,X,O,X,X
IZTSOLJ,O,O,X,X,X,X,X
IZTSOJL,X,O,X,X,O,X,X
IZTOLJS,X,O,O,X,X,O,X
IZTOLSJ,X,O,X,X,X,O,X
IZTOJLS,X,O,O,X,X,O,X
IZTOJSL,X,O,X,X,X,X,X
IZTOSLJ,O,O,X,X,X,X,X
IZTOSJL,X,O,X,X,X,X,X
IZLTJSO,X,O,O,X,X,X,X
IZLTJOS,X,O,O,O,X,X,X
IZLTSJO,O,O,X,X,X,X,X
IZLTSOJ,O,O,X,X,X,X,X
IZLTOJS,X,O,X,X,X,X,X
IZLTOSJ,X,O,X,X,X,X,X
IZLJTSO,O,O,X,X,X,X,X
IZLJTOS,X,O,X,O,X,X,X
IZLJSTO,O,O,X,X,O,X,O
IZLJSOT,O,X,X,X,O,X,X
IZLJOTS,X,X,X,O,X,O,X
IZLJOST,X,X,X,X,O,O,X
IZLSTJO,O,O,O,X,O,X,X
IZLSTOJ,O,O,X,X,X,X,X
IZLSJTO,O,O,X,X,O,X,O
IZLSJOT,O,X,X,X,O,X,X
IZLSOTJ,O,X,X,X,X,X,X
IZLSOJT,O,X,X,X,X,X,X
IZLOTJS,X,X,X,X,X,O,X
IZLOTSJ,X,X,X,X,X,O,X
IZLOJTS,X,X,X,X,X,O,X
IZLOJST,X,X,X,X,X,O,X
IZLOSTJ,X,X,X,X,X,O,X
IZLOSJT,X,X,X,X,X,O,X
IZJTLSO,O,O,X,X,X,X,X
IZJTLOS,X,O,X,X,X,X,X
IZJTSLO,O,O,X,X,O,X,X
IZJTSOL,O,O,X,X,O,X,X
IZJTOLS,O,O,X,X,X,O,X
IZJTOSL,O,O,X,X,O,X,X
IZJLTSO,O,O,X,X,X,X,X
IZJLTOS,X,O,X,O,X,X,X
IZJLSTO,O,O,X,X,O,X,O
IZJLSOT,O,X,X,X,O,X,X
IZJLOTS,X,X,X,O,X,O,X
IZJLOST,X,X,X,X,O,O,X
IZJSTLO,O,O,X,X,O,X,O
IZJSTOL,O,O,X,X,O,X,X
IZJSLTO,O,O,X,O,O,X,O
IZJSLOT,O,X,X,O,O,X,X
IZJSOTL,O,O,X,X,O,X,X
IZJSOLT,O,X,X,O,O,O,X
IZJOTLS,O,O,X,X,X,O,X
IZJOTSL,O,O,X,X,O,X,X
IZJOLTS,O,X,X,O,X,O,X
IZJOLST,O,X,X,X,O,O,X
IZJOSTL,O,O,X,X,O,X,X
IZJOSLT,O,X,X,O,O,O,X
IZSTLJO,O,O,O,X,O,X,X
IZSTLOJ,O,O,X,X,X,X,X
IZSTJLO,O,O,O,X,O,X,X
IZSTJOL,O,O,O,X,O,X,X
IZSTOLJ,O,O,O,X,X,X,X
IZSTOJL,X,O,O,X,O,X,X
IZSLTJO,O,O,O,O,O,X,X
IZSLTOJ,O,O,X,X,X,X,X
IZSLJTO,O,O,X,O,O,X,O
IZSLJOT,O,X,X,O,O,X,X
IZSLOTJ,O,X,X,X,X,X,X
IZSLOJT,O,X,X,X,X,X,X
IZSJTLO,O,O,X,X,O,X,O
IZSJTOL,O,O,X,X,O,X,X
IZSJLTO,O,O,X,O,O,X,O
IZSJLOT,O,X,X,O,O,X,X
IZSJOTL,O,O,X,X,O,X,X
IZSJOLT,O,X,X,O,O,O,X
IZSOTLJ,O,O,O,X,X,X,X
IZSOTJL,O,O,O,X,O,X,X
IZSOLTJ,O,X,O,X,X,O,X
IZSOLJT,O,X,X,X,X,O,X
IZSOJTL,O,O,X,X,O,X,X
IZSOJLT,O,X,X,X,O,O,X
IZOTLJS,X,O,O,X,X,O,X
IZOTLSJ,X,O,X,X,X,O,X
IZOTJLS,O,O,O,X,X,O,X
IZOTJSL,O,O,X,X,X,X,X
IZOTSLJ,O,O,X,X,X,X,X
IZOTSJL,O,O,X,X,X,X,X
IZOLTJS,X,X,O,X,X,O,X
IZOLTSJ,X,X,X,X,X,O,X
IZOLJTS,O,X,X,X,X,O,X
IZOLJST,O,X,X,X,X,O,X
IZOLSTJ,O,X,O,X,X,O,X
IZOLSJT,O,X,X,X,X,O,X
IZOJTLS,O,O,X,X,X,O,X
IZOJTSL,O,O,X,X,O,X,X
IZOJLTS,O,X,X,X,X,O,X
IZOJLST,O,X,X,X,O,O,X
IZOJSTL,O,O,X,X,O,X,X
IZOJSLT,O,X,X,X,O,O,X
IZOSTLJ,O,O,O,X,X,X,X
IZOSTJL,O,O,O,X,O,X,X
IZOSLTJ,O,X,O,X,X,O,X
IZOSLJT,O,X,X,X,X,O,X
IZOSJTL,O,O,X,X,O,X,X
IZOSJLT,O,X,X,X,O,O,X
IOTLJSZ,X,X,O,X,X,X,X
IOTLJZS,X,X,O,X,X,X,X
IOTLSJZ,X,O,O,X,X,X,X
IOTLSZJ,X,O,O,X,X,X,X
IOTLZJS,X,O,O,X,X,O,X
IOTLZSJ,X,O,X,X,X,O,X
IOTJLSZ,X,X,O,X,X,X,X
IOTJLZS,X,X,O,X,X,X,X
IOTJSLZ,O,X,O,X,X,X,X
IOTJSZL,O,X,O,X,X,X,X
IOTJZLS,O,X,O,X,X,X,X
IOTJZSL,O,X,X,X,X,X,X
IOTSLJZ,O,O,O,X,X,X,X
IOTSLZJ,O,O,O,X,X,X,X
IOTSJLZ,O,O,O,X,X,X,X
IOTSJZL,O,O,O,X,X,X,X
IOTSZLJ,O,O,O,X,X,X,X
IOTSZJL,O,O,O,X,X,X,X
IOTZLJS,X,O,O,X,X,O,X
IOTZLSJ,X,O,X,X,X,O,X
IOTZJLS,O,O,O,X,X,O,X
IOTZJSL,O,O,X,X,X,X,X
IOTZSLJ,O,O,X,X,X,X,X
IOTZSJL,O,O,X,X,X,X,X
IOLTJSZ,X,X,O,O,X,X,X
IOLTJZS,X,X,O,O,X,X,X
IOLTSJZ,X,X,O,O,X,X,X
IOLTSZJ,X,X,O,X,X,X,X
IOLTZJS,X,X,O,X,X,O,X
IOLTZSJ,X,X,X,X,X,O,X
IOLJTSZ,X,X,O,O,X,X,X
IOLJTZS,X,X,O,O,X,X,X
IOLJSTZ,O,X,O,O,X,X,O
IOLJSZT,O,X,X,O,X,X,X
IOLJZTS,O,X,X,O,X,O,X
IOLJZST,O,X,X,X,X,O,X
IOLSTJZ,O,X,O,O,X,X,X
IOLSTZJ,O,X,O,X,X,X,X
IOLSJTZ,O,X,O,O,X,X,O
IOLSJZT,O,X,X,O,X,X,X
IOLSZTJ,O,X,O,X,X,O,X
IOLSZJT,O,X,X,X,X,O,X
IOLZTJS,X,X,O,X,X,O,X
IOLZTSJ,X,X,X,X,X,O,X
IOLZJTS,O,X,X,X,X,O,X
IOLZJST,O,X,X,X,X,O,X
IOLZSTJ,O,X,O,X,X,O,X
IOLZSJT,O,X,X,X,X,O,X
IOJTLSZ,X,X,O,O,X,X,X
IOJTLZS,X,X,O,O,X,X,X
IOJTSLZ,O,X,O,O,X,X,X
IOJTSZL,O,X,X,X,O,X,X
IOJTZLS,O,X,O,X,X,X,X
IOJTZSL,O,X,X,X,O,X,X
IOJLTSZ,X,X,O,O,X,X,X
IOJLTZS,X,X,O,O,X,X,X
IOJLSTZ,O,X,O,O,X,X,O
IOJLSZT,O,X,X,O,O,X,X
IOJLZTS,O,X,X,O,X,O,X
IOJLZST,O,X,X,X,O,O,X
IOJSTLZ,O,X,O,O,X,X,O
IOJSTZL,O,X,O,X,O,X,X
IOJSLTZ,O,X,O,O,X,X,O
IOJSLZT,O,X,X,O,O,X,X
IOJSZTL,O,X,X,X,O,X,X
IOJSZLT,O,X,X,O,O,X,X
IOJZTLS,O,X,X,X,X,O,X
IOJZTSL,O,X,X,X,O,X,X
IOJZLTS,O,X,X,O,X,O,X
IOJZLST,O,X,X,X,O,O,X
IOJZSTL,O,X,X,X,O,X,X
IOJZSLT,O,X,X,O,O,O,X
IOSTLJZ,O,O,O,X,X,X,X
IOSTLZJ,O,O,O,X,X,X,X
IOSTJLZ,O,O,O,X,X,X,X
IOSTJZL,O,O,O,X,X,X,X
IOSTZLJ,O,O,O,X,X,X,X
IOSTZJL,O,O,O,X,X,X,X
IOSLTJZ,O,X,O,O,X,X,X
IOSLTZJ,O,X,O,X,X,X,X
IOSLJTZ,O,X,O,O,X,X,O
IOSLJZT,O,X,X,O,X,X,X
IOSLZTJ,O,X,O,X,X,O,X
IOSLZJT,O,X,X,X,X,O,X
IOSJTLZ,O,X,O,O,X,X,O
IOSJTZL,O,X,O,X,O,X,X
IOSJLTZ,O,X,O,O,X,X,O
IOSJLZT,O,X,X,O,O,X,X
IOSJZTL,O,X,X,X,O,X,X
IOSJZLT,O,X,X,O,O,X,X
IOSZTLJ,O,O,O,X,X,X,X
IOSZTJL,O,O,O,X,O,X,X
IOSZLTJ,O,X,O,X,X,O,X
IOSZLJT,O,X,X,X,X,O,X
IOSZJTL,O,O,X,X,O,X,X
IOSZJLT,O,X,X,X,O,O,X
IOZTLJS,X,O,O,X,X,O,X
IOZTLSJ,X,O,X,X,X,O,X
IOZTJLS,O,O,O,X,X,O,X
IOZTJSL,O,O,X,X,X,X,X
IOZTSLJ,O,O,X,X,X,X,X
IOZTSJL,O,O,X,X,X,X,X
IOZLTJS,X,X,O,X,X,O,X
IOZLTSJ,X,X,X,X,X,O,X
IOZLJTS,O,X,X,X,X,O,X
IOZLJST,O,X,X,X,X,O,X
IOZLSTJ,O,X,O,X,X,O,X
IOZLSJT,O,X,X,X,X,O,X
IOZJTLS,O,O,X,X,X,O,X
IOZJTSL,O,O,X,X,O,X,X
IOZJLTS,O,X,X,X,X,O,X
IOZJLST,O,X,X,X,O,O,X
IOZJSTL,O,O,X,X,O,X,X
IOZJSLT,O,X,X,X,O,O,X
IOZSTLJ,O,O,O,X,X,X,X
IOZSTJL,O,O,O,X,O,X,X
IOZSLTJ,O,X,O,X,X,O,X
IOZSLJT,O,X,X,X,X,O,X
IOZSJTL,O,O,X,X,O,X,X
IOZSJLT,O,X,X,X,O,O,X
LTIJSZO,X,O,O,O,X,X,O
LTIJSOZ,X,O,O,O,X,X,O
LTIJZSO,X,O,O,X,X,X,X
LTIJZOS,X,O,O,O,X,X,X
LTIJOSZ,X,X,O,O,X,X,X
LTIJOZS,X,X,O,O,X,X,X
LTISJZO,X,O,O,O,X,X,O
LTISJOZ,X,O,O,O,X,X,O
LTISZJO,X,O,O,O,X,X,X
LTISZOJ,X,O,X,X,X,X,X
LTISOJZ,X,O,O,O,X,X,X
LTISOZJ,X,O,X,X,X,X,X
LTIZJSO,X,O,O,X,X,X,X
LTIZJOS,X,O,O,O,X,X,X
LTIZSJO,X,O,X,X,X,X,X
LTIZSOJ,X,O,X,X,X,X,X
LTIZOJS,X,O,X,X,X,X,X
LTIZOSJ,X,O,X,X,X,X,X
LTIOJSZ,X,X,O,O,X,X,X
LTIOJZS,X,X,O,O,X,X,X
LTIOSJZ,X,O,O,O,X,X,X
LTIOSZJ,X,O,X,X,X,X,X
LTIOZJS,X,O,O,X,X,X,X
LTIOZSJ,X,O,X,X,X,X,X
LTJISZO,X,O,O,O,X,X,O
LTJISOZ,X,O,O,O,X,X,O
LTJIZSO,X,O,O,X,X,X,X
LTJIZOS,X,O,O,O,X,X,X
LTJIOSZ,X,X,O,O,X,X,X
LTJIOZS,X,X,O,O,X,X,X
LTJSIZO,X,O,O,O,X,X,O
LTJSIOZ,X,O,O,O,X,X,O
LTJSZIO,X,O,O,O,X,X,O
LTJSZOI,X,O,X,O,X,X,O
LTJSOIZ,X,O,O,O,X,X,O
LTJSOZI,X,O,O,O,X,X,O
LTJZISO,X,O,O,X,X,X,X
LTJZIOS,X,O,O,O,X,X,X
LTJZSIO,X,O,O,O,X,X,X
LTJZSOI,X,O,X,O,X,X,X
LTJZOIS,X,O,X,O,X,X,X
LTJZOSI,X,O,X,O,X,X,X
LTJOISZ,X,X,O,O,X,X,X
LTJOIZS,X,X,O,O,X,X,X
LTJOSIZ,X,X,O,O,X,X,X
LTJOSZI,X,X,O,O,X,X,X
LTJOZIS,X,X,O,O,X,X,X
LTJOZSI,X,X,O,O,X,X,X
LTSIJZO,X,O,O,O,X,X,O
LTSIJOZ,X,O,O,O,X,X,O
LTSIZJO,X,O,O,O,X,X,X
LTSIZOJ,X,O,X,X,X,X,X
LTSIOJZ,X,O,O,O,X,X,X
LTSIOZJ,X,O,O,X,X,X,X
LTSJIZO,X,O,O,O,X,X,O
LTSJIOZ,X,O,O,O,X,X,O
LTSJZIO,X,O,O,O,X,X,O
LTSJZOI,X,O,X,O,X,X,O
LTSJOIZ,X,O,O,O,X,X,O
LTSJOZI,X,O,O,O,X,X,O
LTSZIJO,X,O,O,O,X,X,X
LTSZIOJ,X,O,X,X,X,X,X
LTSZJIO,X,O,O,O,X,X,X
LTSZJOI,X,O,X,O,X,X,X
LTSZOIJ,X,O,X,X,X,X,X
LTSZOJI,X,O,X,O,X,X,X
LTSOIJZ,X,O,O,O,X,X,X
LTSOIZJ,X,O,O,X,X,X,X
LTSOJIZ,X,O,O,O,X,X,X
LTSOJZI,X,O,O,O,X,X,X
LTSOZIJ,X,O,O,X,X,X,X
LTSOZJI,X,O,O,O,X,X,X
LTZIJSO,X,O,O,X,X,X,X
LTZIJOS,X,O,O,O,X,X,X
LTZISJO,X,O,X,X,X,X,X
LTZISOJ,X,O,X,X,X,X,X
LTZIOJS,X,O,X,X,X,X,X
LTZIOSJ,X,O,X,X,X,X,X
LTZJISO,X,O,O,X,X,X,X
LTZJIOS,X,O,O,O,X,X,X
LTZJSIO,X,O,O,O,X,X,X
LTZJSOI,X,O,X,O,X,X,X
LTZJOIS,X,O,X,O,X,O,X
LTZJOSI,X,O,X,O,X,O,X
LTZSIJO,X,O,O,O,X,X,X
LTZSIOJ,X,O,X,X,X,X,X
LTZSJIO,X,O,O,O,X,X,X
LTZSJOI,X,O,X,O,X,X,X
LTZSOIJ,X,O,X,X,X,X,X
LTZSOJI,X,O,X,O,X,X,X
LTZOIJS,X,O,X,X,X,O,X
LTZOISJ,X,O,X,X,X,O,X
LTZOJIS,X,O,X,O,X,O,X
LTZOJSI,X,O,X,O,X,O,X
LTZOSIJ,X,O,X,X,X,O,X
LTZOSJI,X,O,X,O,X,O,X
LTOIJSZ,X,X,O,O,X,X,X
LTOIJZS,X,X,O,O,X,X,X
LTOISJZ,X,O,O,O,X,X,X
LTOISZJ,X,O,O,X,X,X,X
LTOIZJS,X,O,O,X,X,O,X
LTOIZSJ,X,O,X,X,X,O,X
LTOJISZ,X,X,O,O,X,X,X
LTOJIZS,X,X,O,O,X,X,X
LTOJSIZ,X,X,O,O,X,X,X
LTOJSZI,X,X,O,O,X,X,X
LTOJZIS,X,X,O,O,X,X,X
LTOJZSI,X,X,O,O,X,X,X
LTOSIJZ,X,O,O,O,X,X,X
LTOSIZJ,X,O,O,X,X,X,X
LTOSJIZ,X,O,O,O,X,X,X
LTOSJZI,X,O,O,O,X,X,X
LTOSZIJ,X,O,O,X,X,X,X
LTOSZJI,X,O,O,O,X,X,X
LTOZIJS,X,O,O,X,X,O,X
LTOZISJ,X,O,X,X,X,O,X
LTOZJIS,X,O,O,O,X,O,X
LTOZJSI,X,O,O,O,X,O,X
LTOZSIJ,X,O,O,X,X,O,X
LTOZSJI,X,O,O,O,X,O,X
LITJSZO,X,O,O,O,X,X,O
LITJSOZ,X,O,O,O,X,X,O
LITJZSO,X,O,O,X,X,X,X
LITJZOS,X,O,O,O,X,X,X
LITJOSZ,X,X,O,O,X,X,X
LITJOZS,X,X,O,O,X,X,X
LITSJZO,X,O,O,O,X,X,O
LITSJOZ,X,O,O,O,X,X,O
LITSZJO,X,O,O,O,X,X,X
LITSZOJ,X,O,X,X,X,X,X
LITSOJZ,X,O,O,O,X,X,X
LITSOZJ,X,O,X,X,X,X,X
LITZJSO,X,O,O,X,X,X,X
LITZJOS,X,O,O,O,X,X,X
LITZSJO,X,O,X,X,X,X,X
LITZSOJ,X,O,X,X,X,X,X
LITZOJS,X,O,X,X,X,X,X
LITZOSJ,X,O,X,X,X,X,X
LITOJSZ,X,X,O,O,X,X,X
LITOJZS,X,X,O,O,X,X,X
LITOSJZ,X,O,O,O,X,X,X
LITOSZJ,X,O,X,X,X,X,X
LITOZJS,X,O,O,X,X,X,X
LITOZSJ,X,O,X,X,X,X,X
LIJTSZO,X,X,O,O,X,X,O
LIJTSOZ,X,X,O,O,X,X,O
LIJTZSO,X,X,O,X,X,X,X
LIJTZOS,X,X,O,O,X,X,X
LIJTOSZ,X,X,O,O,X,X,X
LIJTOZS,X,X,O,O,X,X,X
LIJSTZO,O,X,O,O,X,X,O
LIJSTOZ,X,X,O,O,X,X,O
LIJSZTO,O,X,X,O,O,X,O
LIJSZOT,O,X,X,O,O,X,X
LIJSOTZ,X,X,X,O,X,X,O
LIJSOZT,O,X,X,O,O,X,X
LIJZTSO,O,X,X,X,X,X,X
LIJZTOS,X,X,X,O,X,X,X
LIJZSTO,O,X,X,X,O,X,O
LIJZSOT,O,X,X,X,O,X,X
LIJZOTS,X,X,X,O,X,X,X
LIJZOST,X,X,X,X,O,X,X
LIJOTSZ,X,X,X,O,X,X,X
LIJOTZS,X,X,X,O,X,X,X
LIJOSTZ,X,X,X,O,X,X,O
LIJOSZT,X,X,X,O,O,X,X
LIJOZTS,X,X,X,O,X,X,X
LIJOZST,X,X,X,X,O,X,X
LISTJZO,O,O,O,O,X,X,O
LISTJOZ,X,O,O,O,X,X,O
LISTZJO,O,O,O,O,X,X,X
LISTZOJ,O,O,X,X,X,X,X
LISTOJZ,O,O,O,O,X,X,X
LISTOZJ,O,O,O,X,X,X,X
LISJTZO,O,X,O,O,X,X,O
LISJTOZ,X,X,O,O,X,X,O
LISJZTO,O,X,X,O,O,X,O
LISJZOT,O,X,X,O,O,X,X
LISJOTZ,O,X,X,O,X,X,O
LISJOZT,O,X,X,O,O,X,X
LISZTJO,O,O,O,O,O,X,X
LISZTOJ,O,O,X,X,X,X,X
LISZJTO,O,O,X,O,O,X,O
LISZJOT,O,X,X,O,O,X,X
LISZOTJ,O,X,X,X,X,X,X
LISZOJT,O,X,X,X,X,X,X
LISOTJZ,O,X,O,O,X,X,X
LISOTZJ,O,X,O,X,X,X,X
LISOJTZ,O,X,O,O,X,X,O
LISOJZT,O,X,X,O,X,X,X
LISOZTJ,O,X,O,X,X,X,X
LISOZJT,O,X,X,X,X,X,X
LIZTJSO,X,O,O,X,X,X,X
LIZTJOS,X,O,O,O,X,X,X
LIZTSJO,O,O,X,X,X,X,X
LIZTSOJ,O,O,X,X,X,X,X
LIZTOJS,X,O,X,X,X,X,X
LIZTOSJ,X,O,X,X,X,X,X
LIZJTSO,O,O,X,X,X,X,X
LIZJTOS,X,O,X,O,X,X,X
LIZJSTO,O,O,X,X,O,X,O
LIZJSOT,O,X,X,X,O,X,X
LIZJOTS,X,X,X,O,X,O,X
LIZJOST,X,X,X,X,O,O,X
LIZSTJO,O,O,O,X,O,X,X
LIZSTOJ,O,O,X,X,X,X,X
LIZSJTO,O,O,X,X,O,X,O
LIZSJOT,O,X,X,X,O,X,X
LIZSOTJ,O,X,X,X,X,X,X
LIZSOJT,O,X,X,X,X,X,X
LIZOTJS,X,X,X,X,X,O,X
LIZOTSJ,X,X,X,X,X,O,X
LIZOJTS,X,X,X,X,X,O,X
LIZOJST,X,X,X,X,X,O,X
LIZOSTJ,X,X,X,X,X,O,X
LIZOSJT,X,X,X,X,X,O,X
LIOTJSZ,X,X,O,O,X,X,X
LIOTJZS,X,X,O,O,X,X,X
LIOTSJZ,X,X,O,O,X,X,X
LIOTSZJ,X,X,O,X,X,X,X
LIOTZJS,X,X,O,X,X,O,X
LIOTZSJ,X,X,X,X,X,O,X
LIOJTSZ,X,X,O,O,X,X,X
LIOJTZS,X,X,O,O,X,X,X
LIOJSTZ,O,X,O,O,X,X,O
LIOJSZT,O,X,X,O,X,X,X
LIOJZTS,O,X,X,O,X,O,X
LIOJZST,O,X,X,X,X,O,X
LIOSTJZ,O,X,O,O,X,X,X
LIOSTZJ,O,X,O,X,X,X,X
LIOSJTZ,O,X,O,O,X,X,O
LIOSJZT,O,X,X,O,X,X,X
LIOSZTJ,O,X,O,X,X,O,X
LIOSZJT,O,X,X,X,X,O,X
LIOZTJS,X,X,O,X,X,O,X
LIOZTSJ,X,X,X,X,X,O,X
LIOZJTS,O,X,X,X,X,O,X
LIOZJST,O,X,X,X,X,O,X
LIOZSTJ,O,X,O,X,X,O,X
LIOZSJT,O,X,X,X,X,O,X
LJTISZO,X,X,O,O,X,X,O
LJTISOZ,X,X,O,O,X,X,O
LJTIZSO,X,X,O,X,X,X,X
LJTIZOS,X,X,O,O,X,X,X
LJTIOSZ,X,X,O,O,X,X,X
LJTIOZS,X,X,O,O,X,X,X
LJTSIZO,X,X,O,O,X,X,O
LJTSIOZ,X,X,O,O,X,X,O
LJTSZIO,X,X,O,O,X,X,O
LJTSZOI,X,X,X,O,X,X,O
LJTSOIZ,X,X,O,O,X,X,O
LJTSOZI,X,X,X,O,X,X,O
LJTZISO,X,X,O,X,X,X,X
LJTZIOS,X,X,O,O,X,X,X
LJTZSIO,X,X,O,O,X,X,X
LJTZSOI,X,X,X,O,X,X,X
LJTZOIS,X,X,X,O,X,X,X
LJTZOSI,X,X,X,O,X,X,X
LJTOISZ,X,X,O,O,X,X,X
LJTOIZS,X,X,O,O,X,X,X
LJTOSIZ,X,X,O,O,X,X,X
LJTOSZI,X,X,X,O,X,X,X
LJTOZIS,X,X,X,O,X,X,X
LJTOZSI,X,X,X,O,X,X,X
LJITSZO,X,X,O,O,X,X,O
LJITSOZ,X,X,O,O,X,X,O
LJITZSO,X,X,O,X,X,X,X
LJITZOS,X,X,O,O,X,X,X
LJITOSZ,X,X,O,O,X,X,X
LJITOZS,X,X,O,O,X,X,X
LJISTZO,O,X,O,O,X,X,O
LJISTOZ,X,X,O,O,X,X,O
LJISZTO,O,X,X,O,O,X,O
LJISZOT,O,X,X,O,O,X,X
LJISOTZ,X,X,X,O,X,X,O
LJISOZT,O,X,X,O,O,X,X
LJIZTSO,O,X,X,X,X,X,X
LJIZTOS,X,X,X,O,X,X,X
LJIZSTO,O,X,X,X,O,X,O
LJIZSOT,O,X,X,X,O,X,X
LJIZOTS,X,X,X,O,X,X,X
LJIZOST,X,X,X,X,O,X,X
LJIOTSZ,X,X,X,O,X,X,X
LJIOTZS,X,X,X,O,X,X,X
LJIOSTZ,X,X,X,O,X,X,O
LJIOSZT,X,X,X,O,O,X,X
LJIOZTS,X,X,X,O,X,X,X
LJIOZST,X,X,X,X,O,X,X
LJSTIZO,O,X,O,O,X,X,O
LJSTIOZ,X,X,O,O,X,X,O
LJSTZIO,O,X,O,O,X,X,O
LJSTZOI,O,X,X,O,X,X,O
LJSTOIZ,O,X,O,O,X,X,O
LJSTOZI,O,X,X,O,X,X,O
LJSITZO,O,X,O,O,X,X,O
LJSITOZ,X,X,O,O,X,X,O
LJSIZTO,O,X,X,O,O,X,O
LJSIZOT,O,X,X,O,O,X,X
LJSIOTZ,O,X,X,O,X,X,O
LJSIOZT,O,X,X,O,O,X,X
LJSZTIO,O,X,X,O,O,X,O
LJSZTOI,O,X,X,O,O,X,O
LJSZITO,O,X,X,O,O,X,O
LJSZIOT,O,X,X,O,O,X,X
LJSZOTI,O,X,X,O,O,X,X
LJSZOIT,O,X,X,O,O,X,X
LJSOTIZ,O,X,X,O,X,X,O
LJSOTZI,O,X,X,O,X,X,O
LJSOITZ,O,X,X,O,X,X,O
LJSOIZT,O,X,X,O,O,X,X
LJSOZTI,O,X,X,O,O,X,X
LJSOZIT,O,X,X,O,O,X,X
LJZTISO,O,X,X,X,X,X,X
LJZTIOS,X,X,X,O,X,X,X
LJZTSIO,O,X,X,O,X,X,X
LJZTSOI,O,X,X,O,X,X,X
LJZTOIS,O,X,X,O,X,O,X
LJZTOSI,O,X,X,O,X,O,X
LJZITSO,O,X,X,X,X,X,X
LJZITOS,X,X,X,O,X,X,X
LJZISTO,O,X,X,X,O,X,O
LJZISOT,O,X,X,X,O,X,X
LJZIOTS,X,X,X,O,X,O,X
LJZIOST,X,X,X,X,O,O,X
LJZSTIO,O,X,X,O,O,X,O
LJZSTOI,O,X,X,O,O,X,O
LJZSITO,O,X,X,O,O,X,O
LJZSIOT,O,X,X,O,O,X,X
LJZSOTI,O,X,X,O,O,O,X
LJZSOIT,O,X,X,O,O,O,X
LJZOTIS,O,X,X,O,X,O,X
LJZOTSI,O,X,X,O,X,O,X
LJZOITS,O,X,X,O,X,O,X
LJZOIST,O,X,X,X,O,O,X
LJZOSTI,O,X,X,O,O,O,X
LJZOSIT,O,X,X,O,O,O,X
LJOTISZ,X,X,X,O,X,X,X
LJOTIZS,X,X,X,O,X,X,X
LJOTSIZ,X,X,X,O,X,X,X
LJOTSZI,X,X,X,O,X,X,X
LJOTZIS,X,X,X,O,X,X,X
LJOTZSI,X,X,X,O,X,X,X
LJOITSZ,X,X,X,O,X,X,X
LJOITZS,X,X,X,O,X,X,X
LJOISTZ,O,X,X,O,X,X,O
LJOISZT,O,X,X,O,O,X,X
LJOIZTS,O,X,X,O,X,O,X
LJOIZST,O,X,X,X,O,O,X
LJOSTIZ,O,X,X,O,X,X,O
LJOSTZI,O,X,X,O,X,X,O
LJOSITZ,O,X,X,O,X,X,O
LJOSIZT,O,X,X,O,O,X,X
LJOSZTI,O,X,X,O,O,X,X
LJOSZIT,O,X,X,O,O,X,X
LJOZTIS,O,X,X,O,X,O,X
LJOZTSI,O,X,X,O,X,O,X
LJOZITS,O,X,X,O,X,O,X
LJOZIST,O,X,X,X,O,O,X
LJOZSTI,O,X,X,O,O,O,X
LJOZSIT,O,X,X,O,O,O,X
LSTIJZO,O,O,O,O,X,X,O
LSTIJOZ,X,O,O,O,X,X,O
LSTIZJO,O,O,O,O,X,X,X
LSTIZOJ,O,O,X,X,X,X,X
LSTIOJZ,O,O,O,O,X,X,X
LSTIOZJ,O,O,O,X,X,X,X
LSTJIZO,O,O,O,O,X,X,O
LSTJIOZ,X,O,O,O,X,X,O
LSTJZIO,O,O,O,O,X,X,O
LSTJZOI,O,O,X,O,X,X,O
LSTJOIZ,O,O,O,O,X,X,O
LSTJOZI,O,O,O,O,X,X,O
LSTZIJO,O,O,O,O,X,X,X
LSTZIOJ,O,O,X,X,X,X,X
LSTZJIO,O,O,O,O,X,X,X
LSTZJOI,O,O,X,O,X,X,X
LSTZOIJ,O,O,X,X,X,X,X
LSTZOJI,O,O,X,O,X,X,X
LSTOIJZ,O,O,O,O,X,X,X
LSTOIZJ,O,O,O,X,X,X,X
LSTOJIZ,O,O,O,O,X,X,X
LSTOJZI,O,O,O,O,X,X,X
LSTOZIJ,O,O,O,X,X,X,X
LSTOZJI,O,O,O,O,X,X,X
LSITJZO,O,O,O,O,X,X,O
LSITJOZ,X,O,O,O,X,X,O
LSITZJO,O,O,O,O,X,X,X
LSITZOJ,O,O,X,X,X,X,X
LSITOJZ,O,O,O,O,X,X,X
LSITOZJ,O,O,O,X,X,X,X
