sequence,v115@QhB8EeA8BeC8BeF8Jei/IvhFRhBFjBzkBGmB0nB3qB,v115@QhB8EeA8BeC8BeF8Jem/IvhFChBxiB0kBlmBznB3qB,v115@QhB8EeA8BeC8BeF8Je/EJvhFRgBumBFjBKqBzqB0sB,v115@QhB8EeA8BeC8BeF8JeT/IvhFigBumBFjB0nBRqB3qB
TSJZILO,O,O,O,X
TSJZIOL,O,O,O,X
TSJZLIO,O,O,O,X
TSJZLOI,O,O,O,X
TSJZOIL,O,O,O,X
TSJZOLI,O,O,O,X
TSJOILZ,O,O,O,O
TSJOIZL,O,O,O,X
TSJOLIZ,O,O,O,X
TSJOLZI,O,O,O,X
TSJOZIL,O,O,X,X
TSJOZLI,O,O,X,X
TSZILJO,O,O,O,X
TSZILOJ,O,O,O,X
TSZIJLO,O,O,O,X
TSZIJOL,O,O,O,X
TSZIOLJ,O,O,O,X
TSZIOJL,O,O,O,X
TSZLIJO,O,O,O,X
TSZLIOJ,O,O,O,X
TSZLJIO,O,O,O,X
TSZLJOI,O,O,O,X
TSZLOIJ,O,O,O,X
TSZLOJI,O,O,O,X
TSZJILO,O,O,O,X
TSZJIOL,O,O,O,X
TSZJLIO,O,O,O,X
TSZJLOI,O,O,O,X
TSZJOIL,O,O,O,X
TSZJOLI,O,O,O,X
TSZOILJ,O,O,O,X
TSZOIJL,O,O,O,X
TSZOLIJ,O,O,O,X
TSZOLJI,O,O,O,X
TSZOJIL,O,O,O,X
TSZOJLI,O,O,O,X
TSOILJZ,O,O,O,O
TSOILZJ,X,O,X,X
TSOIJLZ,O,O,O,O
TSOIJZL,O,O,O,X
TSOIZLJ,X,O,X,X
TSOIZJL,X,O,X,X
TSOLIJZ,O,O,O,X
TSOLIZJ,X,O,O,X
TSOLJIZ,O,O,O,X
TSOLJZI,O,O,O,X
TSOLZIJ,O,O,O,X
TSOLZJI,O,O,O,X
TSOJILZ,O,O,O,O
TSOJIZL,O,O,O,X
TSOJLIZ,O,O,O,X
TSOJLZI,O,O,O,X
TSOJZIL,O,O,X,X
TSOJZLI,O,O,X,X
TSOZILJ,O,O,X,X
TSOZIJL,O,O,X,X
TSOZLIJ,O,O,X,X
TSOZLJI,O,O,X,X
TSOZJIL,O,O,X,X
TSOZJLI,O,O,X,X
TZILJSO,O,O,O,O
TZILJOS,O,O,O,O
TZILSJO,O,O,O,O
TZILSOJ,O,O,O,O
TZILOJS,O,O,O,O
TZILOSJ,O,O,O,O
TZIJLSO,O,O,O,O
TZIJLOS,O,O,O,O
TZIJSLO,O,O,O,O
TZIJSOL,O,O,O,O
TZIJOLS,O,O,O,O
TZIJOSL,O,O,X,O
TZISLJO,O,O,O,O
TZISLOJ,O,O,O,O
TZISJLO,O,O,O,O
TZISJOL,O,O,O,O
TZISOLJ,O,O,O,O
TZISOJL,O,O,O,O
TZIOLJS,O,O,O,O
TZIOLSJ,O,O,O,O
TZIOJLS,O,O,O,O
TZIOJSL,O,O,X,O
TZIOSLJ,O,O,X,O
TZIOSJL,O,O,X,O
TZLIJSO,O,O,O,O
TZLIJOS,O,O,O,O
TZLISJO,O,O,O,O
TZLISOJ,O,O,O,O
TZLIOJS,O,O,O,O
TZLIOSJ,O,O,O,O
TZLJISO,O,O,O,O
TZLJIOS,O,O,O,O
TZLJSIO,O,O,O,X
TZLJSOI,O,O,O,X
TZLJOIS,O,O,O,O
TZLJOSI,O,O,O,X
TZLSIJO,O,O,O,X
TZLSIOJ,O,O,O,X
TZLSJIO,O,O,O,X
TZLSJOI,O,O,O,X
TZLSOIJ,O,O,O,X
TZLSOJI,O,O,O,X
TZLOIJS,O,O,O,O
TZLOISJ,O,O,O,O
TZLOJIS,O,O,O,O
TZLOJSI,O,O,O,X
TZLOSIJ,O,O,O,X
TZLOSJI,O,O,O,X
TZJILSO,O,O,O,O
TZJILOS,O,O,O,O
TZJISLO,O,O,O,O
TZJISOL,O,O,O,O
TZJIOLS,O,O,O,O
TZJIOSL,O,O,X,O
TZJLISO,O,O,O,O
TZJLIOS,O,O,O,O
TZJLSIO,O,O,O,X
TZJLSOI,O,O,O,X
TZJLOIS,O,O,O,O
TZJLOSI,O,O,O,X
TZJSILO,O,O,O,O
TZJSIOL,O,O,O,O
TZJSLIO,O,O,O,X
TZJSLOI,O,O,O,X
TZJSOIL,O,O,O,O
TZJSOLI,O,O,O,X
TZJOILS,O,O,O,O
TZJOISL,O,O,X,O
TZJOLIS,O,O,O,O
TZJOLSI,O,O,O,X
TZJOSIL,O,O,O,O
TZJOSLI,O,O,O,X
TZSILJO,O,O,O,O
TZSILOJ,O,O,O,O
TZSIJLO,O,O,O,O
TZSIJOL,O,O,O,O
TZSIOLJ,O,O,O,O
TZSIOJL,O,O,O,O
TZSLIJO,O,O,O,X
TZSLIOJ,O,O,O,X
TZSLJIO,O,O,O,X
TZSLJOI,O,O,O,X
TZSLOIJ,O,O,O,X
TZSLOJI,O,O,O,X
TZSJILO,O,O,O,O
TZSJIOL,O,O,O,O
TZSJLIO,O,O,O,X
TZSJLOI,O,O,O,X
TZSJOIL,O,O,O,O
TZSJOLI,O,O,O,X
TZSOILJ,O,O,O,O
TZSOIJL,O,O,O,O
TZSOLIJ,O,O,O,X
TZSOLJI,O,O,O,X
TZSOJIL,O,O,O,O
TZSOJLI,O,O,O,X
TZOILJS,O,O,O,O
TZOILSJ,O,O,O,O
TZOIJLS,O,O,O,O
TZOIJSL,O,O,X,O
TZOISLJ,O,O,X,O
TZOISJL,O,O,X,O
TZOLIJS,O,O,O,O
TZOLISJ,O,O,O,O
TZOLJIS,O,O,O,O
TZOLJSI,O,O,O,X
TZOLSIJ,O,O,O,X
TZOLSJI,O,O,O,X
TZOJILS,O,O,O,O
TZOJISL,O,O,X,O
TZOJLIS,O,O,O,O
TZOJLSI,O,O,O,X
TZOJSIL,O,O,O,O
TZOJSLI,O,O,O,X
TZOSILJ,O,O,O,O
TZOSIJL,O,O,O,O
TZOSLIJ,O,O,O,X
TZOSLJI,O,O,O,X
TZOSJIL,O,O,O,O
TZOSJLI,O,O,O,X
TOILJSZ,O,O,O,O
TOILJZS,O,O,X,O
TOILSJZ,X,O,O,O
TOILSZJ,X,O,O,X
TOILZJS,X,O,X,O
TOILZSJ,X,O,X,O
TOIJLSZ,O,O,O,O
TOIJLZS,O,O,X,O
TOIJSLZ,O,O,X,O
TOIJSZL,X,O,X,X
TOIJZLS,O,O,X,O
TOIJZSL,X,O,X,O
TOISLJZ,X,O,X,O
TOISLZJ,X,O,X,X
TOISJLZ,X,O,X,O
TOISJZL,X,O,X,X
TOISZLJ,X,O,X,X
TOISZJL,X,O,X,X
TOIZLJS,X,O,X,O
TOIZLSJ,X,O,X,O
TOIZJLS,X,O,X,O
TOIZJSL,X,O,X,O
TOIZSLJ,X,O,X,O
TOIZSJL,X,O,X,O
TOLIJSZ,O,O,O,O
TOLIJZS,O,O,X,O
TOLISJZ,X,O,O,O
TOLISZJ,X,O,O,X
TOLIZJS,X,O,X,O
TOLIZSJ,X,O,X,X
TOLJISZ,O,O,O,O
TOLJIZS,O,O,X,O
TOLJSIZ,O,O,O,X
TOLJSZI,X,O,O,X
TOLJZIS,O,O,O,X
TOLJZSI,O,O,O,X
TOLSIJZ,X,O,O,X
TOLSIZJ,X,O,O,X
TOLSJIZ,O,O,O,X
TOLSJZI,X,O,O,X
TOLSZIJ,X,O,O,X
TOLSZJI,X,O,O,X
TOLZIJS,O,O,O,X
TOLZISJ,O,O,O,X
TOLZJIS,O,O,O,X
TOLZJSI,O,O,O,X
TOLZSIJ,O,O,O,X
TOLZSJI,O,O,O,X
TOJILSZ,O,O,O,O
TOJILZS,O,O,X,O
TOJISLZ,O,O,X,O
TOJISZL,O,O,X,X
TOJIZLS,O,O,X,O
TOJIZSL,O,O,X,O
TOJLISZ,O,O,O,O
TOJLIZS,O,O,X,O
TOJLSIZ,O,O,O,X
TOJLSZI,X,O,O,X
TOJLZIS,O,O,O,X
TOJLZSI,O,O,O,X
TOJSILZ,O,O,O,O
TOJSIZL,O,O,O,X
TOJSLIZ,O,O,O,X
TOJSLZI,O,O,O,X
TOJSZIL,O,O,X,X
TOJSZLI,O,O,X,X
TOJZILS,O,O,O,O
TOJZISL,O,O,X,O
TOJZLIS,O,O,O,O
TOJZLSI,O,O,O,X
TOJZSIL,O,O,X,O
TOJZSLI,O,O,O,X
TOSILJZ,O,O,O,O
TOSILZJ,X,O,X,X
TOSIJLZ,O,O,O,O
TOSIJZL,O,O,O,X
