sequence,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhF0iB6oBmlBz?mBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhF8mBfoB6oBm?lBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhFXiB6oBmlBz?nBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhFTiB6oBmlBf?sB8sBFqB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxhBimBGoBX?oBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxiBimBGoB0?mBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFfnBxiBUmB+?sBToBFqB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxhBXjB2rBS?tBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhF0hBxiB2rBS?tBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhF2mBfoB6oBF?qBxrBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFOmB8mBSoBF?qBxsB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFGjBRmBUoB3?mBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8Je2FJvhFRhBSoB3mBU?oBFqBTsB
ITJZSLO,O,O,O,O,X,O,O,X,X,O,O,O,X
ITJZSOL,O,O,O,O,X,O,O,X,O,O,O,X,X
ITJZOLS,O,X,O,O,O,O,O,O,O,X,O,O,X
ITJZOSL,O,O,O,O,X,O,O,X,O,O,O,X,X
ITJOLSZ,O,X,O,O,O,O,O,O,O,O,X,X,O
ITJOLZS,O,X,O,O,O,O,O,O,O,X,O,X,X
ITJOSLZ,O,O,O,O,X,O,O,O,X,O,X,X,O
ITJOSZL,O,O,O,O,X,O,O,X,X,O,X,X,O
ITJOZLS,O,O,O,O,O,O,O,O,O,X,O,X,X
ITJOZSL,O,O,O,O,X,O,O,X,O,O,O,X,X
ITSLJZO,O,O,X,O,X,O,X,X,X,O,X,X,X
ITSLJOZ,O,X,X,O,X,O,X,X,X,O,X,X,X
ITSLZJO,O,O,X,O,X,X,X,X,X,O,O,O,X
ITSLZOJ,O,O,X,O,X,X,X,X,X,O,O,X,X
ITSLOJZ,O,X,X,X,X,O,X,X,X,O,X,X,X
ITSLOZJ,O,X,X,O,X,X,X,X,X,O,O,X,X
ITSJLZO,O,O,X,O,X,O,X,X,X,O,X,X,X
ITSJLOZ,O,X,X,O,X,O,X,X,X,O,X,X,X
ITSJZLO,O,O,X,O,X,O,X,X,X,O,X,X,X
ITSJZOL,O,O,X,O,X,O,X,X,X,O,X,X,X
ITSJOLZ,O,X,X,O,X,O,X,X,X,O,X,X,X
ITSJOZL,O,X,X,O,X,O,X,X,X,O,X,X,X
ITSZLJO,O,O,X,O,X,X,X,X,X,O,O,O,X
ITSZLOJ,O,O,X,O,X,X,X,X,X,O,O,X,X
ITSZJLO,O,O,X,O,X,X,X,X,X,O,O,O,X
ITSZJOL,O,O,X,O,X,X,X,X,X,O,O,X,X
ITSZOLJ,O,O,X,O,X,X,X,X,X,O,O,X,X
ITSZOJL,O,X,X,O,X,X,X,X,X,O,O,X,X
ITSOLJZ,O,X,X,X,X,O,X,X,X,O,X,X,X
ITSOLZJ,O,X,X,O,X,X,X,X,X,O,O,X,X
ITSOJLZ,O,X,X,X,X,O,X,X,X,O,X,X,X
ITSOJZL,O,X,X,X,X,O,X,X,X,O,X,X,X
ITSOZLJ,O,X,X,O,X,X,X,X,X,O,O,X,X
ITSOZJL,O,X,X,O,X,X,X,X,X,O,O,X,X
ITZLJSO,X,X,O,O,O,X,O,X,X,X,O,O,X
ITZLJOS,X,X,O,O,O,X,O,X,X,X,O,O,X
ITZLSJO,X,O,O,O,O,X,O,X,X,X,O,O,X
ITZLSOJ,X,O,O,O,O,X,O,X,X,X,O,X,X
ITZLOJS,X,X,X,X,O,X,O,X,X,X,O,O,X
ITZLOSJ,X,X,X,X,O,X,X,X,X,X,O,X,X
ITZJLSO,X,O,O,O,O,X,O,X,X,X,O,O,X
ITZJLOS,X,X,O,O,O,X,O,X,X,X,O,O,X
ITZJSLO,X,O,O,O,X,X,O,X,X,O,O,O,X
ITZJSOL,X,O,O,O,X,X,O,X,X,O,O,X,X
ITZJOLS,X,X,O,O,O,X,O,X,X,X,O,O,X
ITZJOSL,X,O,O,O,X,X,O,X,X,O,O,X,X
ITZSLJO,X,O,O,O,X,X,O,X,X,O,O,O,X
ITZSLOJ,X,O,O,O,X,X,O,X,X,O,O,X,X
ITZSJLO,X,O,O,O,X,X,O,X,X,O,O,O,X
ITZSJOL,X,O,O,O,X,X,O,X,X,O,O,X,X
ITZSOLJ,X,O,O,O,X,X,O,X,X,O,O,X,X
ITZSOJL,X,X,O,O,X,X,X,X,X,O,O,X,X
ITZOLJS,X,X,O,X,O,X,O,X,X,X,O,O,X
ITZOLSJ,X,X,O,X,O,X,X,X,X,X,O,X,X
ITZOJLS,X,X,O,X,O,X,O,X,X,X,O,O,X
ITZOJSL,X,X,O,X,X,X,O,X,X,O,O,X,X
ITZOSLJ,X,O,O,X,X,X,X,X,X,O,O,X,X
ITZOSJL,X,X,O,X,X,X,X,X,X,O,O,X,X
ITOLJSZ,O,X,O,X,O,O,O,O,O,O,X,X,O
ITOLJZS,O,X,O,X,O,O,O,O,O,X,O,O,X
ITOLSJZ,X,X,O,X,O,O,X,O,O,O,X,X,O
ITOLSZJ,O,X,O,X,O,X,X,O,X,O,O,O,O
ITOLZJS,O,X,X,X,O,X,O,X,O,X,O,O,X
ITOLZSJ,O,X,X,X,O,X,X,X,X,X,O,O,X
ITOJLSZ,O,X,O,X,O,O,O,O,O,O,X,X,O
ITOJLZS,O,X,O,X,O,O,O,O,O,X,O,O,X
ITOJSLZ,O,O,O,X,X,O,O,O,X,O,X,X,O
ITOJSZL,O,O,O,X,X,O,O,X,X,O,X,X,O
ITOJZLS,O,O,O,X,O,O,O,O,O,X,O,O,X
ITOJZSL,O,O,O,X,X,O,O,X,O,O,O,O,X
ITOSLJZ,X,O,O,X,X,O,X,X,X,O,X,X,O
ITOSLZJ,O,O,O,X,X,X,X,X,X,O,O,O,O
ITOSJLZ,X,O,O,X,X,O,O,X,X,O,X,X,O
ITOSJZL,X,O,O,X,X,O,O,X,X,O,X,X,O
ITOSZLJ,O,O,O,X,X,X,X,X,X,O,O,O,O
ITOSZJL,X,O,X,X,X,X,X,X,X,O,O,O,O
ITOZLJS,O,X,X,X,O,X,O,X,X,X,O,O,X
ITOZLSJ,O,O,X,X,O,X,X,X,X,X,O,O,X
ITOZJLS,O,O,X,X,O,X,O,X,X,X,O,O,X
ITOZJSL,O,O,X,X,X,X,O,X,X,O,O,O,X
ITOZSLJ,O,O,X,X,X,X,X,X,X,O,O,O,X
ITOZSJL,X,O,X,X,X,X,X,X,X,O,O,O,X
ILTJSZO,O,O,O,O,X,X,X,O,O,O,X,X,X
ILTJSOZ,O,X,O,O,O,O,X,O,O,O,X,X,X
ILTJZSO,O,X,O,O,O,X,X,O,O,X,O,X,X
ILTJZOS,O,X,O,O,O,O,X,O,O,X,O,X,X
ILTJOSZ,O,X,O,O,O,O,X,O,O,O,X,X,X
ILTJOZS,O,X,O,O,O,O,X,O,O,X,O,X,X
ILTSJZO,O,O,X,O,X,O,X,O,O,O,X,X,X
ILTSJOZ,O,X,X,O,O,O,X,O,O,O,X,X,X
ILTSZJO,O,O,X,O,O,X,X,O,X,O,O,X,X
ILTSZOJ,O,O,X,O,O,X,X,O,X,O,O,X,X
ILTSOJZ,O,X,X,X,O,O,X,O,O,O,X,X,X
ILTSOZJ,O,X,X,O,O,X,X,O,X,O,O,X,X
ILTZJSO,X,X,O,O,O,X,X,X,O,X,O,X,X
ILTZJOS,X,X,O,O,O,X,X,X,O,X,O,X,X
ILTZSJO,X,X,O,O,O,X,X,X,X,X,O,X,X
ILTZSOJ,X,X,O,O,O,X,X,X,X,X,O,X,X
ILTZOJS,X,X,X,X,O,X,X,X,O,X,O,X,X
ILTZOSJ,X,X,X,X,O,X,X,X,X,X,O,X,X
ILTOJSZ,O,X,O,X,O,O,X,O,O,O,X,X,X
ILTOJZS,O,X,O,X,O,O,X,O,O,X,O,X,X
ILTOSJZ,X,X,O,X,O,O,X,O,O,O,X,X,X
ILTOSZJ,O,X,O,X,O,X,X,O,X,O,O,X,X
ILTOZJS,O,X,X,X,O,X,X,X,O,X,O,X,X
ILTOZSJ,O,X,X,X,O,X,X,X,X,X,O,X,X
ILJTSZO,O,X,X,O,X,X,X,O,O,O,X,X,X
ILJTSOZ,X,X,X,X,O,O,X,O,O,O,X,X,X
ILJTZSO,X,X,O,O,O,X,X,O,O,X,O,X,X
ILJTZOS,X,X,X,X,O,O,X,O,O,X,O,X,X
ILJTOSZ,X,X,O,X,O,O,X,O,O,O,X,X,X
ILJTOZS,O,X,X,X,O,O,X,O,O,X,O,X,X
ILJSTZO,O,X,X,O,X,X,X,O,O,O,X,X,X
ILJSTOZ,X,X,X,X,O,O,X,O,O,O,X,X,X
ILJSZTO,O,O,O,O,X,X,X,O,O,O,X,X,X
ILJSZOT,O,O,O,O,X,X,X,X,X,X,X,X,X
ILJSOTZ,O,X,O,X,X,X,X,O,X,O,X,X,X
ILJSOZT,O,X,O,O,X,X,X,X,X,X,X,X,X
ILJZTSO,X,X,O,O,O,X,X,O,O,X,O,X,X
ILJZTOS,X,X,X,X,O,O,X,O,O,X,O,X,X
ILJZSTO,O,X,O,O,O,X,X,O,O,X,O,X,X
ILJZSOT,O,X,O,O,X,X,X,X,X,X,X,X,X
ILJZOTS,O,X,X,X,O,X,X,X,O,X,O,X,X
ILJZOST,O,X,O,O,X,X,X,X,X,X,X,X,X
ILJOTSZ,X,X,O,X,O,O,X,O,O,X,X,X,X
ILJOTZS,O,X,X,X,O,O,X,O,O,X,X,X,X
ILJOSTZ,X,X,O,X,X,X,X,O,X,X,X,X,X
ILJOSZT,O,X,O,O,X,X,X,X,X,X,X,X,X
ILJOZTS,O,X,O,X,X,X,X,X,O,X,X,X,X
ILJOZST,O,X,O,O,X,X,X,X,X,X,X,X,X
ILSTJZO,O,O,X,O,X,O,X,O,O,O,X,X,X
ILSTJOZ,O,X,X,O,O,O,X,O,O,O,X,X,X
ILSTZJO,O,O,X,O,O,X,X,O,X,O,O,X,X
ILSTZOJ,O,O,X,O,O,X,X,O,X,O,O,X,X
ILSTOJZ,O,X,X,X,O,O,X,O,O,O,X,X,X
ILSTOZJ,O,X,X,O,O,X,X,O,X,O,O,X,X
ILSJTZO,O,X,X,O,X,O,X,O,O,O,X,X,X
ILSJTOZ,X,X,X,X,O,O,X,O,O,O,X,X,X
ILSJZTO,O,O,X,O,X,O,X,O,O,O,X,X,X
ILSJZOT,O,O,X,O,X,X,X,X,X,X,X,X,X
ILSJOTZ,O,X,X,X,X,O,X,O,X,O,X,X,X
ILSJOZT,O,X,X,O,X,X,X,X,X,X,X,X,X
ILSZTJO,O,O,X,O,O,X,X,O,X,O,O,X,X
ILSZTOJ,O,O,X,O,O,X,X,O,X,O,O,X,X
ILSZJTO,O,O,X,O,O,X,X,O,X,O,O,X,X
ILSZJOT,O,O,X,O,X,X,X,X,X,X,X,X,X
ILSZOTJ,O,O,X,O,X,X,X,X,X,X,X,X,X
ILSZOJT,O,O,X,O,X,X,X,X,X,X,X,X,X
ILSOTJZ,O,X,X,X,X,X,X,O,X,O,X,X,X
ILSOTZJ,O,X,X,X,X,X,X,O,X,O,X,X,X
ILSOJTZ,O,X,X,X,X,X,X,O,X,O,X,X,X
ILSOJZT,O,X,X,X,X,X,X,X,X,X,X,X,X
ILSOZTJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ILSOZJT,O,X,X,O,X,X,X,X,X,X,X,X,X
ILZTJSO,X,X,O,O,O,X,X,X,O,X,O,X,X
ILZTJOS,X,X,O,O,O,X,X,X,O,X,O,X,X
ILZTSJO,X,X,O,O,O,X,X,X,X,X,O,X,X
ILZTSOJ,X,X,O,O,O,X,X,X,X,X,O,X,X
ILZTOJS,X,X,X,X,O,X,X,X,O,X,O,X,X
ILZTOSJ,X,X,X,X,O,X,X,X,X,X,O,X,X
ILZJTSO,X,X,O,O,O,X,X,X,O,X,O,X,X
ILZJTOS,X,X,X,X,O,X,X,X,O,X,O,X,X
ILZJSTO,X,X,O,O,O,X,X,X,O,X,O,X,X
ILZJSOT,X,X,O,O,X,X,X,X,X,X,X,X,X
ILZJOTS,X,X,X,X,O,X,X,X,O,X,O,X,X
ILZJOST,X,X,O,O,X,X,X,X,X,X,X,X,X
ILZSTJO,X,X,O,O,O,X,X,X,X,X,O,X,X
ILZSTOJ,X,X,O,O,O,X,X,X,X,X,O,X,X
ILZSJTO,X,X,O,O,O,X,X,X,X,X,O,X,X
ILZSJOT,X,X,O,O,X,X,X,X,X,X,X,X,X
ILZSOTJ,X,X,O,O,X,X,X,X,X,X,X,X,X
ILZSOJT,X,X,O,O,X,X,X,X,X,X,X,X,X
ILZOTJS,X,X,X,X,O,X,X,X,X,X,O,X,X
ILZOTSJ,X,X,X,X,O,X,X,X,X,X,O,X,X
ILZOJTS,X,X,X,X,O,X,X,X,X,X,O,X,X
ILZOJST,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZOSTJ,X,X,X,X,X,X,X,X,X,X,X,X,X
ILZOSJT,X,X,X,X,X,X,X,X,X,X,X,X,X
ILOTJSZ,O,X,O,X,O,X,X,X,O,X,X,X,X
ILOTJZS,O,X,O,X,O,X,X,X,O,X,O,X,X
ILOTSJZ,X,X,O,X,O,X,X,X,O,X,X,X,X
ILOTSZJ,O,X,O,X,O,X,X,X,X,X,O,X,X
ILOTZJS,O,X,X,X,O,X,X,X,O,X,O,X,X
ILOTZSJ,O,X,X,X,O,X,X,X,X,X,O,X,X
ILOJTSZ,X,X,O,X,O,X,X,X,O,X,X,X,X
ILOJTZS,O,X,X,X,O,X,X,X,O,X,X,X,X
ILOJSTZ,X,X,O,X,X,X,X,X,X,X,X,X,X
ILOJSZT,O,X,O,X,X,X,X,X,X,X,X,X,X
ILOJZTS,O,X,O,X,X,X,X,X,O,X,X,X,X
ILOJZST,O,X,O,X,X,X,X,X,X,X,X,X,X
ILOSTJZ,X,X,O,X,X,X,X,X,X,X,X,X,X
ILOSTZJ,X,X,O,X,X,X,X,X,X,X,X,X,X
ILOSJTZ,X,X,O,X,X,X,X,X,X,X,X,X,X
ILOSJZT,X,X,O,X,X,X,X,X,X,X,X,X,X
ILOSZTJ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILOSZJT,O,X,O,X,X,X,X,X,X,X,X,X,X
ILOZTJS,O,X,X,X,O,X,X,X,X,X,O,X,X
ILOZTSJ,O,X,X,X,O,X,X,X,X,X,O,X,X
ILOZJTS,O,X,X,X,O,X,X,X,X,X,O,X,X
ILOZJST,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOZSTJ,O,X,X,X,X,X,X,X,X,X,X,X,X
ILOZSJT,O,X,X,X,X,X,X,X,X,X,X,X,X
IJTLSZO,O,X,X,O,X,O,O,O,O,O,X,X,X
IJTLSOZ,X,X,X,X,O,O,O,O,O,O,X,X,X
IJTLZSO,X,X,O,O,X,X,O,O,O,X,O,X,X
IJTLZOS,X,X,X,X,O,O,O,O,O,X,O,X,X
IJTLOSZ,X,X,O,X,O,O,O,O,O,O,X,X,X
IJTLOZS,O,X,X,X,O,O,O,O,O,X,O,X,X
IJTSLZO,O,X,X,O,X,O,O,O,X,O,X,X,X
IJTSLOZ,X,X,X,X,X,O,O,O,X,O,X,X,X
IJTSZLO,O,X,X,O,X,O,O,X,X,O,X,X,X
IJTSZOL,X,X,X,O,X,O,X,X,X,O,X,X,X
IJTSOLZ,X,X,X,X,X,O,O,O,X,O,X,X,X
IJTSOZL,X,X,X,X,X,O,O,X,X,O,X,X,X
IJTZLSO,X,X,O,O,O,X,O,O,O,X,O,X,X
IJTZLOS,X,X,X,X,O,O,O,O,O,X,O,X,X
IJTZSLO,X,O,O,O,X,O,O,X,X,O,O,X,X
IJTZSOL,X,X,O,O,X,O,O,X,O,O,O,X,X
IJTZOLS,X,X,O,X,O,O,O,O,O,X,O,X,X
IJTZOSL,X,X,O,X,X,O,O,X,O,O,O,X,X
IJTOLSZ,X,X,O,X,O,O,O,O,O,O,X,X,X
IJTOLZS,O,X,X,X,O,O,O,O,O,X,O,X,X
IJTOSLZ,X,X,O,X,X,O,O,O,X,O,X,X,X
IJTOSZL,X,X,X,X,X,O,O,X,X,O,X,X,X
IJTOZLS,O,X,X,X,O,O,O,O,O,X,O,X,X
IJTOZSL,X,X,X,X,X,O,O,X,O,O,O,X,X
IJLTSZO,O,X,X,O,X,O,O,O,O,O,X,X,X
IJLTSOZ,X,X,X,X,O,O,O,O,O,O,X,X,X
IJLTZSO,X,X,O,O,X,X,X,O,O,X,O,X,X
IJLTZOS,X,X,X,X,O,O,X,O,O,X,O,X,X
IJLTOSZ,X,X,O,X,O,O,X,O,O,O,X,X,X
IJLTOZS,O,X,X,X,O,O,X,O,O,X,O,X,X
IJLSTZO,O,X,X,O,X,O,O,O,O,O,X,X,X
IJLSTOZ,X,X,X,X,O,O,O,O,O,O,X,X,X
IJLSZTO,O,O,O,O,X,O,O,O,O,O,X,X,X
IJLSZOT,O,O,O,O,X,X,O,X,X,X,X,X,X
IJLSOTZ,O,X,O,X,X,O,X,O,X,O,X,X,X
IJLSOZT,O,X,O,O,X,X,X,X,X,X,X,X,X
IJLZTSO,X,X,O,O,O,X,X,O,O,X,O,X,X
IJLZTOS,X,X,X,X,O,O,X,O,O,X,O,X,X
IJLZSTO,O,O,O,O,O,X,X,O,O,X,O,X,X
IJLZSOT,O,O,O,O,X,X,X,X,X,X,X,X,X
IJLZOTS,O,X,O,X,O,X,X,X,O,X,O,X,X
IJLZOST,O,X,O,O,X,X,X,X,X,X,X,X,X
IJLOTSZ,X,X,O,X,O,O,X,O,O,X,X,X,X
IJLOTZS,O,X,X,X,O,O,X,O,O,X,X,X,X
IJLOSTZ,X,X,O,X,X,X,X,O,X,X,X,X,X
IJLOSZT,O,X,O,O,X,X,X,X,X,X,X,X,X
IJLOZTS,O,X,O,X,X,X,X,X,O,X,X,X,X
IJLOZST,O,X,O,O,X,X,X,X,X,X,X,X,X
IJSTLZO,O,X,X,O,X,O,O,O,X,O,X,X,X
IJSTLOZ,X,X,X,X,X,O,O,O,X,O,X,X,X
IJSTZLO,O,X,X,O,X,O,O,X,X,O,X,X,X
IJSTZOL,X,X,X,O,X,O,X,X,X,O,X,X,X
IJSTOLZ,X,X,X,X,X,O,O,O,X,O,X,X,X
IJSTOZL,X,X,X,X,X,O,O,X,X,O,X,X,X
IJSLTZO,O,X,X,O,X,O,O,O,X,O,X,X,X
IJSLTOZ,X,X,X,X,O,O,O,O,X,O,X,X,X
IJSLZTO,O,O,O,O,X,O,O,O,X,O,X,X,X
IJSLZOT,O,O,O,O,X,X,O,X,X,X,X,X,X
IJSLOTZ,O,X,O,X,X,O,X,O,X,O,X,X,X
IJSLOZT,O,X,O,O,X,X,X,X,X,X,X,X,X
IJSZTLO,O,O,O,O,X,O,O,X,X,O,X,X,X
IJSZTOL,X,X,O,O,X,O,X,X,X,O,X,X,X
IJSZLTO,O,O,O,O,O,O,O,X,X,O,X,X,X
IJSZLOT,O,O,O,O,X,X,O,X,X,X,X,X,X
IJSZOTL,X,X,O,O,X,X,O,X,X,X,X,X,X
IJSZOLT,O,O,O,O,X,X,O,X,X,X,X,X,X
IJSOTLZ,O,X,O,X,X,O,O,X,X,O,X,X,X
IJSOTZL,O,X,X,X,X,O,O,X,X,O,X,X,X
IJSOLTZ,O,X,O,X,X,O,O,X,X,O,X,X,X
IJSOLZT,O,X,O,O,X,X,O,X,X,X,X,X,X
IJSOZTL,O,X,X,O,X,X,O,X,X,X,X,X,X
IJSOZLT,O,X,O,O,X,X,O,X,X,X,X,X,X
IJZTLSO,X,X,O,O,O,X,X,O,O,X,O,X,X
IJZTLOS,X,X,X,X,O,O,X,O,O,X,O,X,X
IJZTSLO,X,O,O,O,X,O,O,X,X,O,O,X,X
IJZTSOL,X,X,O,O,X,O,X,X,O,O,O,X,X
IJZTOLS,X,X,O,X,O,O,X,O,O,X,O,X,X
IJZTOSL,X,X,O,X,X,O,X,X,O,O,O,X,X
IJZLTSO,X,X,O,O,O,X,X,O,O,X,O,X,X
IJZLTOS,X,X,X,X,O,O,X,O,O,X,O,X,X
IJZLSTO,O,O,O,O,O,X,O,O,O,X,O,X,X
IJZLSOT,O,O,O,O,X,X,O,X,X,X,X,X,X
IJZLOTS,O,X,O,X,O,X,X,X,O,X,O,X,X
IJZLOST,O,X,O,O,X,X,O,X,X,X,X,X,X
IJZSTLO,O,O,O,O,X,O,O,X,X,O,O,X,X
IJZSTOL,X,X,O,O,X,O,X,X,O,O,O,X,X
IJZSLTO,O,O,O,O,O,O,O,X,X,O,O,X,X
IJZSLOT,O,O,O,O,X,X,O,X,X,X,X,X,X
IJZSOTL,X,X,O,O,X,X,O,X,X,X,X,X,X
IJZSOLT,O,O,O,O,X,X,O,X,X,X,X,X,X
IJZOTLS,O,X,O,X,X,X,X,X,O,X,O,X,X
IJZOTSL,X,X,O,X,X,X,X,X,O,X,O,X,X
IJZOLTS,O,X,O,X,O,X,X,X,X,X,O,X,X
IJZOLST,O,X,O,O,X,X,O,X,X,X,X,X,X
IJZOSTL,X,X,O,O,X,X,O,X,X,X,X,X,X
IJZOSLT,O,O,O,O,X,X,O,X,X,X,X,X,X
IJOTLSZ,X,X,O,X,X,O,O,O,X,O,X,X,X
IJOTLZS,O,X,X,X,X,O,O,O,X,X,X,X,X
IJOTSLZ,X,X,O,X,X,O,O,O,X,O,X,X,X
IJOTSZL,X,X,X,X,X,O,O,X,X,O,X,X,X
IJOTZLS,O,X,X,X,X,O,O,O,X,X,X,X,X
IJOTZSL,X,X,X,X,X,O,O,X,X,O,X,X,X
IJOLTSZ,X,X,O,X,O,O,O,O,X,X,X,X,X
IJOLTZS,O,X,X,X,O,O,X,O,X,X,X,X,X
IJOLSTZ,X,X,O,X,X,X,O,O,X,X,X,X,X
IJOLSZT,O,X,O,O,X,X,O,X,X,X,X,X,X
IJOLZTS,O,X,O,X,X,X,X,X,X,X,X,X,X
IJOLZST,O,X,O,O,X,X,X,X,X,X,X,X,X
IJOSTLZ,X,X,O,X,X,O,O,X,X,O,X,X,X
IJOSTZL,X,X,X,X,X,O,O,X,X,O,X,X,X
IJOSLTZ,X,X,O,X,X,O,O,X,X,O,X,X,X
IJOSLZT,O,O,O,O,X,X,O,X,X,X,X,X,X
IJOSZTL,X,O,X,O,X,X,O,X,X,X,X,X,X
IJOSZLT,O,O,O,O,X,X,O,X,X,X,X,X,X
IJOZTLS,O,X,O,X,X,X,X,X,X,X,X,X,X
IJOZTSL,X,O,O,X,X,X,O,X,X,X,X,X,X
IJOZLTS,O,X,O,X,O,X,X,X,X,X,X,X,X
IJOZLST,O,O,O,O,X,X,O,X,X,X,X,X,X
IJOZSTL,X,O,O,O,X,X,O,X,X,X,X,X,X
IJOZSLT,O,O,O,O,X,X,O,X,X,X,X,X,X
ISTLJZO,O,O,X,O,X,O,X,X,X,O,X,X,X
ISTLJOZ,O,X,X,O,X,O,X,X,X,O,X,X,X
ISTLZJO,O,O,X,O,X,X,X,X,X,O,O,X,X
ISTLZOJ,O,O,X,O,X,X,X,X,X,O,O,X,X
ISTLOJZ,O,X,X,X,X,O,X,X,X,O,X,X,X
ISTLOZJ,O,X,X,O,X,X,X,X,X,O,O,X,X
ISTJLZO,O,O,X,O,X,O,X,X,X,O,X,X,X
ISTJLOZ,O,X,X,O,X,O,X,X,X,O,X,X,X
ISTJZLO,O,O,X,O,X,O,X,X,X,O,X,X,X
ISTJZOL,O,O,X,O,X,O,X,X,X,O,X,X,X
ISTJOLZ,O,X,X,O,X,O,X,X,X,O,X,X,X
ISTJOZL,O,X,X,O,X,O,X,X,X,O,X,X,X
ISTZLJO,O,O,X,O,X,X,X,X,X,O,O,X,X
ISTZLOJ,O,O,X,O,X,X,X,X,X,O,O,X,X
ISTZJLO,O,O,X,O,X,X,X,X,X,O,O,X,X
ISTZJOL,O,O,X,O,X,X,X,X,X,O,O,X,X
ISTZOLJ,O,O,X,O,X,X,X,X,X,O,O,X,X
ISTZOJL,O,X,X,O,X,X,X,X,X,O,O,X,X
ISTOLJZ,O,X,X,X,X,O,X,X,X,O,X,X,X
ISTOLZJ,O,X,X,O,X,X,X,X,X,O,O,X,X
ISTOJLZ,O,X,X,X,X,O,X,X,X,O,X,X,X
ISTOJZL,O,X,X,X,X,O,X,X,X,O,X,X,X
ISTOZLJ,O,X,X,O,X,X,X,X,X,O,O,X,X
ISTOZJL,O,X,X,O,X,X,X,X,X,O,O,X,X
ISLTJZO,O,O,X,O,X,O,X,X,X,O,X,X,X
ISLTJOZ,O,X,X,O,X,O,X,X,X,O,X,X,X
ISLTZJO,O,O,X,O,X,X,X,X,X,O,O,X,X
ISLTZOJ,O,O,X,O,X,X,X,X,X,O,O,X,X
ISLTOJZ,O,X,X,X,X,O,X,X,X,O,X,X,X
ISLTOZJ,O,X,X,O,X,X,X,X,X,O,O,X,X
ISLJTZO,O,X,X,O,X,O,X,X,X,O,X,X,X
ISLJTOZ,X,X,X,X,X,O,X,X,X,O,X,X,X
ISLJZTO,O,O,X,O,X,O,X,X,X,O,X,X,X
ISLJZOT,O,O,X,O,X,X,X,X,X,X,X,X,X
ISLJOTZ,O,X,X,X,X,O,X,X,X,O,X,X,X
ISLJOZT,O,X,X,O,X,X,X,X,X,X,X,X,X
ISLZTJO,O,O,X,O,X,X,X,X,X,O,O,X,X
ISLZTOJ,O,O,X,O,X,X,X,X,X,O,O,X,X
ISLZJTO,O,O,X,O,X,X,X,X,X,O,O,X,X
ISLZJOT,O,O,X,O,X,X,X,X,X,X,X,X,X
ISLZOTJ,O,O,X,O,X,X,X,X,X,X,X,X,X
ISLZOJT,O,O,X,O,X,X,X,X,X,X,X,X,X
ISLOTJZ,O,X,X,X,X,X,X,X,X,O,X,X,X
ISLOTZJ,O,X,X,X,X,X,X,X,X,O,X,X,X
ISLOJTZ,O,X,X,X,X,X,X,X,X,O,X,X,X
ISLOJZT,O,X,X,X,X,X,X,X,X,X,X,X,X
ISLOZTJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ISLOZJT,O,X,X,O,X,X,X,X,X,X,X,X,X
ISJTLZO,O,X,X,O,X,O,X,X,X,O,X,X,X
ISJTLOZ,X,X,X,X,X,O,X,X,X,O,X,X,X
ISJTZLO,O,X,X,O,X,O,X,X,X,O,X,X,X
ISJTZOL,X,X,X,O,X,O,X,X,X,O,X,X,X
ISJTOLZ,X,X,X,X,X,O,X,X,X,O,X,X,X
ISJTOZL,X,X,X,X,X,O,X,X,X,O,X,X,X
ISJLTZO,O,X,X,O,X,O,X,X,X,O,X,X,X
ISJLTOZ,X,X,X,X,X,O,X,X,X,O,X,X,X
ISJLZTO,O,O,X,O,X,O,X,X,X,O,X,X,X
ISJLZOT,O,O,X,O,X,X,X,X,X,X,X,X,X
ISJLOTZ,O,X,X,X,X,O,X,X,X,O,X,X,X
ISJLOZT,O,X,X,O,X,X,X,X,X,X,X,X,X
ISJZTLO,O,O,X,O,X,O,X,X,X,O,X,X,X
ISJZTOL,X,X,X,O,X,O,X,X,X,O,X,X,X
ISJZLTO,O,O,X,O,X,O,X,X,X,O,X,X,X
ISJZLOT,O,O,X,O,X,X,X,X,X,X,X,X,X
ISJZOTL,X,X,X,O,X,X,X,X,X,X,X,X,X
