sequence,v115@QhA8CeB8DeA8AeE8AeC8JeZEJvhFqkBTgB/mBFiBOo?BcsB,v115@QhA8CeB8DeA8AeE8AeC8JeZEJvhFGgBihBFjBzkBfs?B0sB,v115@QhA8CeB8DeA8AeE8AeC8JeZEJvhFGgB/mBUiBFjBzk?BisB
TZSLOIJ,X,O,X
TZSLOJI,X,O,X
TZSJILO,X,O,X
TZSJIOL,X,X,X
TZSJLIO,X,O,X
TZSJLOI,X,X,X
TZSJOIL,X,X,X
TZSJOLI,X,X,X
TZSOILJ,X,O,X
TZSOIJL,X,O,X
TZSOLIJ,X,O,X
TZSOLJI,X,O,X
TZSOJIL,X,O,X
TZSOJLI,X,O,X
TZOILJS,X,X,X
TZOILSJ,X,X,X
TZOIJLS,X,X,X
TZOIJSL,X,O,X
TZOISLJ,X,O,X
TZOISJL,X,O,X
TZOLIJS,X,X,X
TZOLISJ,X,X,X
TZOLJIS,X,X,X
TZOLJSI,X,X,X
TZOLSIJ,X,X,X
TZOLSJI,X,X,X
TZOJILS,X,X,X
TZOJISL,X,O,X
TZOJLIS,X,X,X
TZOJLSI,X,X,X
TZOJSIL,X,O,X
TZOJSLI,X,O,X
TZOSILJ,X,O,X
TZOSIJL,X,O,X
TZOSLIJ,X,O,X
TZOSLJI,X,O,X
TZOSJIL,X,O,X
TZOSJLI,X,O,X
TOILJSZ,X,O,X
TOILJZS,X,X,X
TOILSJZ,X,X,X
TOILSZJ,X,X,X
TOILZJS,X,X,X
TOILZSJ,X,X,X
TOIJLSZ,X,O,X
TOIJLZS,X,X,X
TOIJSLZ,X,O,O
TOIJSZL,X,X,O
TOIJZLS,X,X,X
TOIJZSL,X,O,X
TOISLJZ,X,O,O
TOISLZJ,X,X,O
TOISJLZ,X,O,O
TOISJZL,X,X,O
TOISZLJ,X,X,X
TOISZJL,X,X,O
TOIZLJS,X,X,X
TOIZLSJ,X,X,X
TOIZJLS,X,X,X
TOIZJSL,X,O,X
TOIZSLJ,X,O,X
TOIZSJL,X,O,X
TOLIJSZ,X,O,X
TOLIJZS,X,X,X
TOLISJZ,X,X,X
TOLISZJ,X,X,X
TOLIZJS,X,X,X
TOLIZSJ,X,X,X
TOLJISZ,X,O,X
TOLJIZS,X,X,X
TOLJSIZ,X,X,X
TOLJSZI,X,X,X
TOLJZIS,X,X,X
TOLJZSI,X,X,X
TOLSIJZ,X,X,X
TOLSIZJ,X,X,X
TOLSJIZ,X,X,X
TOLSJZI,X,X,X
TOLSZIJ,X,X,X
TOLSZJI,X,X,X
TOLZIJS,X,X,X
TOLZISJ,X,X,X
TOLZJIS,X,X,X
TOLZJSI,X,X,X
TOLZSIJ,X,X,X
TOLZSJI,X,X,X
TOJILSZ,X,O,X
TOJILZS,X,X,X
TOJISLZ,X,O,O
TOJISZL,X,X,O
TOJIZLS,X,X,X
TOJIZSL,X,O,X
TOJLISZ,X,O,X
TOJLIZS,X,X,X
TOJLSIZ,X,X,X
TOJLSZI,X,X,X
TOJLZIS,X,X,X
TOJLZSI,X,X,X
TOJSILZ,X,O,O
TOJSIZL,X,X,O
TOJSLIZ,X,O,O
TOJSLZI,X,X,O
TOJSZIL,X,X,O
TOJSZLI,X,X,X
TOJZILS,X,X,X
TOJZISL,X,O,X
TOJZLIS,X,X,X
TOJZLSI,X,X,X
TOJZSIL,X,O,X
TOJZSLI,X,O,X
TOSILJZ,X,O,O
TOSILZJ,X,X,O
TOSIJLZ,X,O,O
TOSIJZL,X,X,O
TOSIZLJ,X,X,X
TOSIZJL,X,X,O
TOSLIJZ,X,O,O
TOSLIZJ,X,X,O
TOSLJIZ,X,O,O
TOSLJZI,X,X,O
TOSLZIJ,X,X,O
TOSLZJI,X,X,O
TOSJILZ,X,O,O
TOSJIZL,X,X,O
TOSJLIZ,X,O,O
TOSJLZI,X,X,O
TOSJZIL,X,X,O
TOSJZLI,X,X,X
TOSZILJ,X,X,X
TOSZIJL,X,X,O
TOSZLIJ,X,X,X
TOSZLJI,X,X,X
TOSZJIL,X,X,O
