sequence,v115@GhA8IeA8CeA8EeE8BeD8Jei/IvhF3gBRiB1pBOrB8r?BzsB,v115@GhA8IeA8CeA8EeE8BeD8JeT/IvhFxgBmiBypBFmB0n?B3rB,v115@GhA8IeA8CeA8EeE8BeD8Jel/IvhF3gBUiBaoB2pBxr?BTrB,v115@GhA8IeA8CeA8EeE8BeD8Jel/IvhF3gBaoB2pBxmBUn?BTrB,v115@GhA8IeA8CeA8EeE8BeD8Je0/IvhFlgBziB2pBimBRs?B3rB,v115@GhA8IeA8CeA8EeE8BeD8JecGJvhFxkBlnBTkBilBmn?B3rB
TZILSJO,O,X,X,X,X,X
TZILSOJ,O,X,X,X,X,X
TZILOJS,X,O,X,X,X,X
TZILOSJ,X,X,X,X,X,X
TZIJLSO,X,X,X,X,X,X
TZIJLOS,X,O,X,X,X,X
TZIJSLO,X,X,X,X,X,X
TZIJSOL,X,X,X,X,X,X
TZIJOLS,X,X,X,X,X,X
TZIJOSL,X,X,X,X,X,X
TZISLJO,O,X,X,X,X,X
TZISLOJ,O,X,X,X,X,X
TZISJLO,X,X,X,X,X,X
TZISJOL,X,X,X,X,X,X
TZISOLJ,X,X,X,X,X,X
TZISOJL,X,X,X,X,X,X
TZIOLJS,X,X,X,X,X,X
TZIOLSJ,X,X,X,X,X,X
TZIOJLS,X,X,X,X,X,X
TZIOJSL,X,X,X,X,X,X
TZIOSLJ,X,X,X,X,X,X
TZIOSJL,X,X,X,X,X,X
TZLIJSO,X,X,X,X,X,X
TZLIJOS,X,O,X,X,X,X
TZLISJO,O,X,X,X,X,X
TZLISOJ,O,X,X,X,X,X
TZLIOJS,X,O,X,X,X,X
TZLIOSJ,X,X,X,X,X,X
TZLJISO,O,X,X,X,X,X
TZLJIOS,X,O,X,X,X,X
TZLJSIO,O,X,X,X,X,X
TZLJSOI,O,X,X,X,X,X
TZLJOIS,O,O,X,X,X,X
TZLJOSI,O,O,X,X,X,X
TZLSIJO,O,X,X,X,X,X
TZLSIOJ,O,X,X,X,X,X
TZLSJIO,X,X,X,X,X,X
TZLSJOI,X,X,X,X,X,X
TZLSOIJ,O,X,X,X,X,X
TZLSOJI,X,X,X,X,X,X
TZLOIJS,X,O,X,X,X,X
TZLOISJ,O,X,X,X,X,X
TZLOJIS,O,O,X,X,X,X
TZLOJSI,O,O,X,X,X,X
TZLOSIJ,O,X,X,X,X,X
TZLOSJI,X,X,X,X,X,X
TZJILSO,O,X,X,X,X,X
TZJILOS,X,O,X,X,X,X
TZJISLO,O,X,X,X,X,X
TZJISOL,X,X,X,X,X,X
TZJIOLS,X,X,X,X,X,X
TZJIOSL,X,X,X,X,X,X
TZJLISO,O,X,X,X,X,X
TZJLIOS,X,O,X,X,X,X
TZJLSIO,O,X,X,X,X,X
TZJLSOI,O,X,X,X,X,X
TZJLOIS,O,O,X,X,X,X
TZJLOSI,O,O,X,X,X,X
TZJSILO,O,X,X,X,X,X
TZJSIOL,X,X,X,X,X,X
TZJSLIO,O,X,X,X,X,X
TZJSLOI,O,X,X,X,X,X
TZJSOIL,O,X,X,X,X,X
TZJSOLI,O,X,X,X,X,X
TZJOILS,O,X,X,X,X,X
TZJOISL,O,X,X,X,X,X
TZJOLIS,O,X,X,X,X,X
TZJOLSI,O,X,X,X,X,X
TZJOSIL,O,X,X,X,X,X
TZJOSLI,O,X,X,X,X,X
TZSILJO,O,X,X,X,X,X
TZSILOJ,O,X,X,X,X,X
TZSIJLO,X,X,X,X,X,X
TZSIJOL,X,X,X,X,X,X
TZSIOLJ,X,X,X,X,X,X
TZSIOJL,X,X,X,X,X,X
TZSLIJO,O,X,X,X,X,X
TZSLIOJ,O,X,X,X,X,X
TZSLJIO,X,X,X,X,X,X
TZSLJOI,X,X,X,X,X,X
TZSLOIJ,O,X,X,X,X,X
TZSLOJI,X,X,X,X,X,X
TZSJILO,X,X,X,X,X,X
TZSJIOL,X,X,X,X,X,X
TZSJLIO,X,X,X,X,X,X
TZSJLOI,X,X,X,X,X,X
TZSJOIL,X,X,X,X,X,X
TZSJOLI,X,X,X,X,X,X
TZSOILJ,O,X,X,X,X,X
TZSOIJL,X,X,X,X,X,X
TZSOLIJ,O,X,X,X,X,X
TZSOLJI,X,X,X,X,X,X
TZSOJIL,X,X,X,X,X,X
TZSOJLI,X,X,X,X,X,X
TZOILJS,X,X,X,X,X,X
TZOILSJ,O,X,X,X,X,X
TZOIJLS,X,X,X,X,X,X
TZOIJSL,X,X,X,X,X,X
TZOISLJ,O,X,X,X,X,X
TZOISJL,X,X,X,X,X,X
TZOLIJS,X,X,X,X,X,X
TZOLISJ,O,X,X,X,X,X
TZOLJIS,O,X,X,X,X,X
TZOLJSI,O,X,X,X,X,X
TZOLSIJ,O,X,X,X,X,X
TZOLSJI,X,X,X,X,X,X
TZOJILS,O,X,X,X,X,X
TZOJISL,O,X,X,X,X,X
TZOJLIS,O,X,X,X,X,X
TZOJLSI,O,X,X,X,X,X
TZOJSIL,O,X,X,X,X,X
TZOJSLI,O,X,X,X,X,X
TZOSILJ,O,X,X,X,X,X
TZOSIJL,X,X,X,X,X,X
TZOSLIJ,O,X,X,X,X,X
