sequence,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhFXgB8lBanB5?nB9rBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhF8kBzgBanB5?nB9rBXqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeT/IvhFKlBfmBmhB5?nBtrB0pB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeNEJvhFRgBGiB0lB6?rB/sBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeNEJvhFUhBanB5nBX?lBGrBzpB
SILJZTO,X,X,O,O,O
SILJZOT,X,X,O,X,O
SILJOTZ,O,X,X,O,O
SILJOZT,X,X,X,O,O
SILZTJO,X,O,O,O,X
SILZTOJ,X,O,O,O,X
SILZJTO,X,O,O,O,X
SILZJOT,X,O,O,X,X
SILZOTJ,X,O,O,X,X
SILZOJT,X,O,O,X,X
SILOTJZ,O,O,O,O,X
SILOTZJ,O,O,O,O,X
SILOJTZ,O,X,X,O,X
SILOJZT,X,X,X,O,X
SILOZTJ,X,O,O,O,X
SILOZJT,X,O,O,O,X
SIJTLZO,O,O,O,O,O
SIJTLOZ,O,O,O,O,O
SIJTZLO,O,O,O,O,O
SIJTZOL,O,O,O,O,O
SIJTOLZ,O,O,O,O,O
SIJTOZL,O,O,O,O,O
SIJLTZO,O,X,O,O,O
SIJLTOZ,O,X,O,O,O
SIJLZTO,X,X,O,O,O
SIJLZOT,X,X,O,X,O
SIJLOTZ,O,X,X,O,O
SIJLOZT,X,X,X,O,O
SIJZTLO,O,O,O,O,O
SIJZTOL,O,O,O,O,O
SIJZLTO,O,O,O,X,O
SIJZLOT,X,O,O,X,O
SIJZOTL,O,O,X,X,O
SIJZOLT,X,O,X,X,O
SIJOTLZ,O,O,X,O,O
SIJOTZL,O,O,X,O,O
SIJOLTZ,O,X,X,O,O
SIJOLZT,O,X,X,O,O
SIJOZTL,O,O,X,O,O
SIJOZLT,O,O,X,X,O
SIZTLJO,O,O,O,O,X
SIZTLOJ,O,O,O,O,X
SIZTJLO,O,O,O,O,X
SIZTJOL,O,O,O,O,X
SIZTOLJ,O,O,O,X,X
SIZTOJL,O,O,O,O,X
SIZLTJO,O,O,O,O,X
SIZLTOJ,O,O,O,O,X
SIZLJTO,O,O,O,O,X
SIZLJOT,X,O,O,X,X
SIZLOTJ,X,O,O,X,X
SIZLOJT,X,O,O,X,X
SIZJTLO,O,O,O,O,X
SIZJTOL,O,O,O,O,X
SIZJLTO,O,O,O,X,X
SIZJLOT,X,O,O,X,X
SIZJOTL,O,O,X,X,X
SIZJOLT,X,O,X,X,X
SIZOTLJ,O,O,O,X,X
SIZOTJL,O,O,O,X,X
SIZOLTJ,O,O,O,X,X
SIZOLJT,O,O,O,X,X
SIZOJTL,O,O,X,X,X
SIZOJLT,O,O,X,X,X
SIOTLJZ,O,O,O,O,X
SIOTLZJ,O,O,O,O,X
SIOTJLZ,O,O,O,O,X
SIOTJZL,O,O,O,O,X
SIOTZLJ,O,O,O,O,X
SIOTZJL,O,O,O,O,X
SIOLTJZ,O,O,O,O,X
SIOLTZJ,O,O,O,O,X
SIOLJTZ,O,X,X,O,X
SIOLJZT,O,X,X,O,X
SIOLZTJ,O,O,O,O,X
SIOLZJT,O,O,O,O,X
SIOJTLZ,O,O,X,O,X
SIOJTZL,O,O,X,O,X
SIOJLTZ,O,X,X,O,X
SIOJLZT,O,X,X,O,X
SIOJZTL,O,O,X,O,X
SIOJZLT,O,O,X,X,X
SIOZTLJ,O,O,O,O,X
SIOZTJL,O,O,O,O,X
SIOZLTJ,O,O,O,O,X
SIOZLJT,O,O,O,O,X
SIOZJTL,O,O,X,O,X
SIOZJLT,O,O,X,X,X
SLTIJZO,O,O,O,O,O
SLTIJOZ,O,O,O,O,O
SLTIZJO,O,O,O,O,X
SLTIZOJ,O,O,O,O,X
SLTIOJZ,O,O,O,O,X
SLTIOZJ,O,O,O,X,X
SLTJIZO,O,O,O,O,O
SLTJIOZ,O,O,O,O,O
SLTJZIO,O,O,O,O,O
SLTJZOI,O,O,O,O,O
SLTJOIZ,O,O,O,O,O
SLTJOZI,O,O,O,O,O
SLTZIJO,O,O,O,O,X
SLTZIOJ,O,O,O,O,X
SLTZJIO,O,O,O,O,X
SLTZJOI,O,O,O,O,X
SLTZOIJ,O,O,O,O,X
SLTZOJI,O,O,O,O,X
SLTOIJZ,O,O,O,O,X
SLTOIZJ,O,O,O,O,X
SLTOJIZ,O,O,O,O,X
SLTOJZI,O,O,O,O,X
SLTOZIJ,O,O,O,O,X
SLTOZJI,O,O,O,O,X
SLITJZO,O,O,O,O,O
SLITJOZ,O,O,O,O,O
SLITZJO,O,O,O,O,X
SLITZOJ,O,O,O,O,X
SLITOJZ,O,O,O,O,X
SLITOZJ,O,O,O,X,X
SLIJTZO,O,X,O,O,O
SLIJTOZ,O,X,O,O,O
SLIJZTO,X,X,O,O,O
SLIJZOT,X,X,O,X,O
SLIJOTZ,O,X,X,O,O
SLIJOZT,X,X,X,O,O
SLIZTJO,X,O,O,O,X
SLIZTOJ,X,O,O,O,X
SLIZJTO,X,O,O,O,X
SLIZJOT,X,O,O,X,X
SLIZOTJ,X,O,O,X,X
SLIZOJT,X,O,O,X,X
SLIOTJZ,O,O,O,O,X
SLIOTZJ,O,O,O,O,X
SLIOJTZ,O,X,X,O,X
SLIOJZT,X,X,X,O,X
SLIOZTJ,X,O,O,O,X
SLIOZJT,X,O,O,O,X
SLJTIZO,O,X,O,O,O
SLJTIOZ,O,X,O,O,O
SLJTZIO,O,X,O,O,O
SLJTZOI,O,X,O,O,O
SLJTOIZ,O,X,O,O,O
SLJTOZI,O,X,O,O,O
SLJITZO,O,X,O,O,O
SLJITOZ,O,X,O,O,O
SLJIZTO,X,X,O,O,O
SLJIZOT,X,X,O,X,O
SLJIOTZ,O,X,X,O,O
SLJIOZT,X,X,X,O,O
SLJZTIO,X,X,O,O,O
SLJZTOI,X,X,O,O,O
SLJZITO,X,X,O,O,O
SLJZIOT,X,X,O,X,O
SLJZOTI,X,X,O,O,O
SLJZOIT,X,X,O,O,O
SLJOTIZ,O,X,X,O,O
SLJOTZI,O,X,X,O,O
SLJOITZ,O,X,X,O,O
SLJOIZT,X,X,X,O,O
SLJOZTI,X,X,X,O,O
SLJOZIT,X,X,X,O,O
SLZTIJO,X,O,O,O,X
SLZTIOJ,X,O,O,O,X
SLZTJIO,X,O,O,O,X
SLZTJOI,X,O,O,O,X
SLZTOIJ,X,O,O,O,X
SLZTOJI,X,O,O,O,X
SLZITJO,X,O,O,O,X
SLZITOJ,X,O,O,O,X
SLZIJTO,X,O,O,O,X
SLZIJOT,X,O,O,X,X
SLZIOTJ,X,O,O,X,X
SLZIOJT,X,O,O,X,X
SLZJTIO,X,O,O,O,X
SLZJTOI,X,O,O,O,X
SLZJITO,X,O,O,O,X
SLZJIOT,X,O,O,X,X
SLZJOTI,X,O,O,O,X
SLZJOIT,X,O,O,O,X
SLZOTIJ,X,O,O,O,X
SLZOTJI,X,O,O,O,X
SLZOITJ,X,O,O,O,X
SLZOIJT,X,O,O,O,X
SLZOJTI,X,O,O,O,X
SLZOJIT,X,O,O,O,X
SLOTIJZ,O,O,O,O,X
SLOTIZJ,O,O,O,O,X
SLOTJIZ,O,O,O,O,X
SLOTJZI,O,O,O,O,X
SLOTZIJ,O,O,O,O,X
SLOTZJI,O,O,O,O,X
SLOITJZ,O,O,O,O,X
SLOITZJ,O,O,O,O,X
SLOIJTZ,O,X,X,O,X
SLOIJZT,X,X,X,O,X
SLOIZTJ,X,O,O,O,X
SLOIZJT,X,O,O,O,X
SLOJTIZ,O,X,X,O,X
SLOJTZI,O,X,X,O,X
SLOJITZ,O,X,X,O,X
SLOJIZT,X,X,X,O,X
SLOJZTI,X,X,X,O,X
SLOJZIT,X,X,X,O,X
SLOZTIJ,X,O,O,O,X
SLOZTJI,X,O,O,O,X
SLOZITJ,X,O,O,O,X
SLOZIJT,X,O,O,O,X
SLOZJTI,X,O,O,O,X
SLOZJIT,X,O,O,O,X
SJTILZO,O,O,O,O,O
SJTILOZ,O,O,O,O,O
SJTIZLO,O,O,O,O,O
SJTIZOL,O,O,O,O,O
SJTIOLZ,O,O,O,O,O
SJTIOZL,O,O,O,O,O
SJTLIZO,O,O,O,O,O
SJTLIOZ,O,O,O,O,O
SJTLZIO,O,O,O,O,O
SJTLZOI,O,O,O,O,O
SJTLOIZ,O,O,O,O,O
SJTLOZI,O,O,O,O,O
SJTZILO,O,O,O,O,O
SJTZIOL,O,O,O,O,O
SJTZLIO,O,O,O,O,O
SJTZLOI,O,O,O,O,O
SJTZOIL,O,O,O,O,O
SJTZOLI,O,O,O,X,O
SJTOILZ,O,O,O,O,O
SJTOIZL,O,O,O,O,O
SJTOLIZ,O,O,O,O,O
SJTOLZI,O,O,O,O,O
SJTOZIL,O,O,O,O,O
SJTOZLI,O,O,O,O,O
SJITLZO,O,O,O,O,O
SJITLOZ,O,O,O,O,O
SJITZLO,O,O,O,O,O
SJITZOL,O,O,O,O,O
SJITOLZ,O,O,O,O,O
SJITOZL,O,O,O,O,O
SJILTZO,O,X,O,O,O
SJILTOZ,O,X,O,O,O
SJILZTO,X,X,O,O,O
SJILZOT,X,X,O,X,O
SJILOTZ,O,X,X,O,O
SJILOZT,X,X,X,O,O
SJIZTLO,O,O,O,O,O
SJIZTOL,O,O,O,O,O
SJIZLTO,O,O,O,X,O
SJIZLOT,X,O,O,X,O
SJIZOTL,O,O,X,X,O
SJIZOLT,X,O,X,X,O
SJIOTLZ,O,O,X,O,O
SJIOTZL,O,O,X,O,O
SJIOLTZ,O,X,X,O,O
SJIOLZT,O,X,X,O,O
SJIOZTL,O,O,X,O,O
SJIOZLT,O,O,X,X,O
SJLTIZO,O,X,O,O,O
SJLTIOZ,O,X,O,O,O
SJLTZIO,O,X,O,O,O
SJLTZOI,O,X,O,O,O
SJLTOIZ,O,X,O,O,O
SJLTOZI,O,X,O,O,O
SJLITZO,O,X,O,O,O
SJLITOZ,O,X,O,O,O
SJLIZTO,X,X,O,O,O
SJLIZOT,X,X,O,X,O
SJLIOTZ,O,X,X,O,O
SJLIOZT,X,X,X,O,O
SJLZTIO,X,X,O,O,O
SJLZTOI,X,X,O,O,O
SJLZITO,X,X,O,O,O
SJLZIOT,X,X,O,X,O
SJLZOTI,X,X,O,O,O
SJLZOIT,X,X,O,O,O
SJLOTIZ,O,X,X,O,O
SJLOTZI,O,X,X,O,O
SJLOITZ,O,X,X,O,O
SJLOIZT,X,X,X,O,O
SJLOZTI,X,X,X,O,O
SJLOZIT,X,X,X,O,O
SJZTILO,O,O,O,O,O
SJZTIOL,O,O,O,O,O
SJZTLIO,O,O,O,O,O
SJZTLOI,O,O,O,O,O
SJZTOIL,O,O,O,O,O
SJZTOLI,O,O,O,X,O
SJZITLO,O,O,O,O,O
SJZITOL,O,O,O,O,O
SJZILTO,O,O,O,X,O
SJZILOT,X,O,O,X,O
SJZIOTL,O,O,X,X,O
SJZIOLT,X,O,X,X,O
SJZLTIO,O,O,O,O,O
SJZLTOI,O,O,O,O,O
SJZLITO,O,O,O,O,O
SJZLIOT,X,O,O,X,O
SJZLOTI,X,O,O,O,O
SJZLOIT,X,O,O,O,O
SJZOTIL,O,O,X,O,O
SJZOTLI,O,O,X,O,O
SJZOITL,O,O,X,O,O
SJZOILT,X,O,X,X,O
SJZOLTI,X,O,X,O,O
SJZOLIT,X,O,X,O,O
SJOTILZ,O,O,X,O,O
SJOTIZL,O,O,X,O,O
SJOTLIZ,O,O,X,O,O
SJOTLZI,O,O,X,O,O
SJOTZIL,O,O,X,O,O
SJOTZLI,O,O,X,O,O
SJOITLZ,O,O,X,O,O
SJOITZL,O,O,X,O,O
SJOILTZ,O,X,X,O,O
SJOILZT,O,X,X,O,O
SJOIZTL,O,O,X,O,O
SJOIZLT,O,O,X,X,O
SJOLTIZ,O,X,X,O,O
SJOLTZI,O,X,X,O,O
SJOLITZ,O,X,X,O,O
SJOLIZT,O,X,X,O,O
SJOLZTI,O,X,X,O,O
SJOLZIT,O,X,X,O,O
SJOZTIL,O,O,X,O,O
SJOZTLI,O,O,X,O,O
SJOZITL,O,O,X,O,O
SJOZILT,O,O,X,X,O
SJOZLTI,O,O,X,O,O
SJOZLIT,O,O,X,O,O
SZTILJO,O,O,O,O,X
SZTILOJ,O,O,O,O,X
SZTIJLO,O,O,O,O,X
SZTIJOL,O,O,O,O,X
SZTIOLJ,O,O,O,X,X
SZTIOJL,O,O,O,O,X
SZTLIJO,O,O,O,O,X
SZTLIOJ,O,O,O,O,X
SZTLJIO,O,O,O,O,X
SZTLJOI,O,O,O,O,X
SZTLOIJ,O,O,O,O,X
SZTLOJI,O,O,O,O,X
SZTJILO,O,O,O,O,X
SZTJIOL,O,O,O,O,X
SZTJLIO,O,O,O,O,X
SZTJLOI,O,O,O,O,X
SZTJOIL,O,O,O,O,X
SZTJOLI,O,O,O,X,X
SZTOILJ,O,O,O,X,X
SZTOIJL,O,O,O,O,X
SZTOLIJ,O,O,O,O,X
SZTOLJI,O,O,O,O,X
SZTOJIL,O,O,O,O,X
SZTOJLI,O,O,O,X,X
SZITLJO,O,O,O,O,X
SZITLOJ,O,O,O,O,X
SZITJLO,O,O,O,O,X
SZITJOL,O,O,O,O,X
SZITOLJ,O,O,O,X,X
SZITOJL,O,O,O,O,X
SZILTJO,O,O,O,O,X
SZILTOJ,O,O,O,O,X
SZILJTO,O,O,O,O,X
SZILJOT,X,O,O,X,X
SZILOTJ,X,O,O,X,X
SZILOJT,X,O,O,X,X
SZIJTLO,O,O,O,O,X
SZIJTOL,O,O,O,O,X
SZIJLTO,O,O,O,X,X
SZIJLOT,X,O,O,X,X
SZIJOTL,O,O,X,X,X
SZIJOLT,X,O,X,X,X
SZIOTLJ,O,O,O,X,X
SZIOTJL,O,O,O,X,X
SZIOLTJ,O,O,O,X,X
SZIOLJT,O,O,O,X,X
SZIOJTL,O,O,X,X,X
SZIOJLT,O,O,X,X,X
SZLTIJO,O,O,O,O,X
SZLTIOJ,O,O,O,O,X
SZLTJIO,O,O,O,O,X
SZLTJOI,O,O,O,O,X
SZLTOIJ,O,O,O,O,X
SZLTOJI,O,O,O,O,X
SZLITJO,O,O,O,O,X
SZLITOJ,O,O,O,O,X
SZLIJTO,O,O,O,O,X
SZLIJOT,X,O,O,X,X
SZLIOTJ,X,O,O,X,X
SZLIOJT,X,O,O,X,X
SZLJTIO,O,O,O,O,X
SZLJTOI,O,O,O,O,X
SZLJITO,O,O,O,O,X
SZLJIOT,X,O,O,X,X
SZLJOTI,X,O,O,O,X
SZLJOIT,X,O,O,O,X
SZLOTIJ,X,O,O,O,X
SZLOTJI,X,O,O,O,X
SZLOITJ,X,O,O,O,X
SZLOIJT,X,O,O,O,X
SZLOJTI,X,O,O,O,X
SZLOJIT,X,O,O,O,X
SZJTILO,O,O,O,O,X
SZJTIOL,O,O,O,O,X
SZJTLIO,O,O,O,O,X
SZJTLOI,O,O,O,O,X
SZJTOIL,O,O,O,O,X
SZJTOLI,O,O,O,X,X
SZJITLO,O,O,O,O,X
SZJITOL,O,O,O,O,X
SZJILTO,O,O,O,X,X
SZJILOT,X,O,O,X,X
SZJIOTL,O,O,X,X,X
SZJIOLT,X,O,X,X,X
SZJLTIO,O,O,O,O,X
SZJLTOI,O,O,O,O,X
SZJLITO,O,O,O,O,X
SZJLIOT,X,O,O,X,X
SZJLOTI,X,O,O,O,X
SZJLOIT,X,O,O,O,X
SZJOTIL,O,O,X,O,X
SZJOTLI,O,O,X,O,X
SZJOITL,O,O,X,O,X
SZJOILT,X,O,X,X,X
SZJOLTI,X,O,X,O,X
SZJOLIT,X,O,X,O,X
SZOTILJ,O,O,O,O,X
SZOTIJL,O,O,O,O,X
SZOTLIJ,O,O,O,O,X
SZOTLJI,O,O,O,O,X
SZOTJIL,O,O,O,O,X
SZOTJLI,O,O,O,O,X
SZOITLJ,O,O,O,O,X
SZOITJL,O,O,O,O,X
SZOILTJ,O,O,O,O,X
SZOILJT,O,O,O,O,X
SZOIJTL,O,O,X,O,X
SZOIJLT,O,O,X,X,X
SZOLTIJ,O,O,O,O,X
SZOLTJI,O,O,O,O,X
SZOLITJ,O,O,O,O,X
SZOLIJT,O,O,O,O,X
SZOLJTI,O,O,O,O,X
SZOLJIT,O,O,O,O,X
SZOJTIL,O,O,X,O,X
SZOJTLI,O,O,X,O,X
SZOJITL,O,O,X,O,X
SZOJILT,O,O,X,X,X
SZOJLTI,O,O,X,O,X
SZOJLIT,O,O,X,O,X
SOTILJZ,O,O,O,O,X
SOTILZJ,O,O,O,O,X
SOTIJLZ,O,O,O,O,X
SOTIJZL,O,O,O,O,X
SOTIZLJ,O,O,O,O,X
SOTIZJL,O,O,O,O,X
SOTLIJZ,O,O,O,O,X
SOTLIZJ,O,O,O,O,X
SOTLJIZ,O,O,O,O,X
SOTLJZI,O,O,O,O,X
SOTLZIJ,O,O,O,O,X
SOTLZJI,O,O,O,O,X
SOTJILZ,O,O,O,O,X
SOTJIZL,O,O,O,O,X
SOTJLIZ,O,O,O,O,X
SOTJLZI,O,O,O,O,X
SOTJZIL,O,O,O,O,X
SOTJZLI,O,O,O,O,X
SOTZILJ,O,O,O,O,X
SOTZIJL,O,O,O,O,X
SOTZLIJ,O,O,O,O,X
SOTZLJI,O,O,O,O,X
SOTZJIL,O,O,O,O,X
SOTZJLI,O,O,O,O,X
SOITLJZ,O,O,O,O,X
SOITLZJ,O,O,O,O,X
SOITJLZ,O,O,O,O,X
SOITJZL,O,O,O,O,X
SOITZLJ,O,O,O,O,X
SOITZJL,O,O,O,O,X
SOILTJZ,O,O,O,O,X
SOILTZJ,O,O,O,O,X
SOILJTZ,O,X,X,O,X
SOILJZT,O,X,X,O,X
SOILZTJ,O,O,O,O,X
SOILZJT,O,O,O,O,X
SOIJTLZ,O,O,X,O,X
SOIJTZL,O,O,X,O,X
SOIJLTZ,O,X,X,O,X
SOIJLZT,O,X,X,O,X
SOIJZTL,O,O,X,O,X
SOIJZLT,O,O,X,X,X
SOIZTLJ,O,O,O,O,X
SOIZTJL,O,O,O,O,X
SOIZLTJ,O,O,O,O,X
SOIZLJT,O,O,O,O,X
SOIZJTL,O,O,X,O,X
SOIZJLT,O,O,X,X,X
SOLTIJZ,O,O,O,O,X
SOLTIZJ,O,O,O,O,X
SOLTJIZ,O,O,O,O,X
SOLTJZI,O,O,O,O,X
SOLTZIJ,O,O,O,O,X
SOLTZJI,O,O,O,O,X
SOLITJZ,O,O,O,O,X
SOLITZJ,O,O,O,O,X
SOLIJTZ,O,X,X,O,X
SOLIJZT,O,X,X,O,X
SOLIZTJ,O,O,O,O,X
SOLIZJT,O,O,O,O,X
SOLJTIZ,O,X,X,O,X
SOLJTZI,O,X,X,O,X
SOLJITZ,O,X,X,O,X
SOLJIZT,O,X,X,O,X
SOLJZTI,O,X,X,O,X
SOLJZIT,O,X,X,O,X
SOLZTIJ,O,O,O,O,X
SOLZTJI,O,O,O,O,X
SOLZITJ,O,O,O,O,X
SOLZIJT,O,O,O,O,X
SOLZJTI,O,O,O,O,X
SOLZJIT,O,O,O,O,X
SOJTILZ,O,O,X,O,X
SOJTIZL,O,O,X,O,X
SOJTLIZ,O,O,X,O,X
SOJTLZI,O,O,X,O,X
SOJTZIL,O,O,X,O,X
SOJTZLI,O,O,X,O,X
SOJITLZ,O,O,X,O,X
SOJITZL,O,O,X,O,X
SOJILTZ,O,X,X,O,X
SOJILZT,O,X,X,O,X
SOJIZTL,O,O,X,O,X
SOJIZLT,O,O,X,X,X
SOJLTIZ,O,X,X,O,X
SOJLTZI,O,X,X,O,X
SOJLITZ,O,X,X,O,X
SOJLIZT,O,X,X,O,X
SOJLZTI,O,X,X,O,X
SOJLZIT,O,X,X,O,X
SOJZTIL,O,O,X,O,X
SOJZTLI,O,O,X,O,X
SOJZITL,O,O,X,O,X
SOJZILT,O,O,X,X,X
SOJZLTI,O,O,X,O,X
SOJZLIT,O,O,X,O,X
SOZTILJ,O,O,O,O,X
SOZTIJL,O,O,O,O,X
SOZTLIJ,O,O,O,O,X
SOZTLJI,O,O,O,O,X
SOZTJIL,O,O,O,O,X
SOZTJLI,O,O,O,O,X
SOZITLJ,O,O,O,O,X
SOZITJL,O,O,O,O,X
SOZILTJ,O,O,O,O,X
SOZILJT,O,O,O,O,X
SOZIJTL,O,O,X,O,X
SOZIJLT,O,O,X,X,X
SOZLTIJ,O,O,O,O,X
SOZLTJI,O,O,O,O,X
SOZLITJ,O,O,O,O,X
SOZLIJT,O,O,O,O,X
SOZLJTI,O,O,O,O,X
SOZLJIT,O,O,O,O,X
SOZJTIL,O,O,X,O,X
SOZJTLI,O,O,X,O,X
SOZJITL,O,O,X,O,X
SOZJILT,O,O,X,X,X
SOZJLTI,O,O,X,O,X
SOZJLIT,O,O,X,O,X
ZTILJSO,O,X,O,O,O
ZTILJOS,O,X,O,X,O
ZTILSJO,O,O,O,O,X
ZTILSOJ,O,O,O,O,X
ZTILOJS,O,X,O,X,X
ZTILOSJ,O,O,O,O,X
ZTIJLSO,O,X,O,X,O
ZTIJLOS,O,X,O,X,O
ZTIJSLO,O,X,O,O,O
ZTIJSOL,O,X,O,O,O
ZTIJOLS,O,X,O,X,O
ZTIJOSL,O,X,O,X,O
ZTISLJO,O,O,O,O,X
ZTISLOJ,O,O,O,O,X
ZTISJLO,O,O,O,O,X
ZTISJOL,O,O,O,O,X
ZTISOLJ,O,O,O,X,X
ZTISOJL,O,O,O,O,X
ZTIOLJS,O,X,O,X,X
ZTIOLSJ,O,O,O,X,X
ZTIOJLS,O,X,O,X,X
ZTIOJSL,O,X,O,X,X
ZTIOSLJ,O,O,O,X,X
ZTIOSJL,O,O,O,O,X
ZTLIJSO,O,X,O,O,O
ZTLIJOS,O,X,O,X,O
ZTLISJO,O,O,O,O,X
ZTLISOJ,O,O,O,O,X
ZTLIOJS,O,X,O,X,X
ZTLIOSJ,O,O,O,O,X
ZTLJISO,O,X,O,O,O
ZTLJIOS,O,X,O,X,O
ZTLJSIO,O,X,O,O,O
ZTLJSOI,O,X,O,O,O
ZTLJOIS,O,X,O,X,O
ZTLJOSI,O,X,O,X,O
ZTLSIJO,O,O,O,O,X
ZTLSIOJ,O,O,O,O,X
ZTLSJIO,O,O,O,O,X
ZTLSJOI,O,O,O,O,X
ZTLSOIJ,O,O,O,O,X
ZTLSOJI,O,O,O,O,X
ZTLOIJS,O,X,O,X,X
ZTLOISJ,O,O,O,O,X
ZTLOJIS,O,X,O,X,X
ZTLOJSI,O,X,O,X,X
ZTLOSIJ,O,O,O,O,X
ZTLOSJI,O,O,O,O,X
ZTJILSO,O,X,O,X,O
ZTJILOS,O,X,O,X,O
ZTJISLO,O,X,O,O,O
ZTJISOL,O,X,O,O,O
ZTJIOLS,O,X,O,X,O
ZTJIOSL,O,X,O,X,O
ZTJLISO,O,X,O,O,O
ZTJLIOS,O,X,O,X,O
ZTJLSIO,O,X,O,O,O
ZTJLSOI,O,X,O,O,O
ZTJLOIS,O,X,O,X,O
ZTJLOSI,O,X,O,X,O
ZTJSILO,O,X,O,O,O
ZTJSIOL,O,X,O,O,O
ZTJSLIO,O,X,O,O,O
ZTJSLOI,O,X,O,O,O
ZTJSOIL,O,X,O,O,O
ZTJSOLI,O,X,O,X,O
ZTJOILS,O,X,O,X,O
ZTJOISL,O,X,O,X,O
ZTJOLIS,O,X,O,X,O
ZTJOLSI,O,X,O,X,O
ZTJOSIL,O,X,O,X,O
ZTJOSLI,O,X,O,X,O
ZTSILJO,O,O,O,O,X
ZTSILOJ,O,O,O,O,X
ZTSIJLO,O,O,O,O,X
ZTSIJOL,O,O,O,O,X
ZTSIOLJ,O,O,O,X,X
ZTSIOJL,O,O,O,O,X
ZTSLIJO,O,O,O,O,X
ZTSLIOJ,O,O,O,O,X
ZTSLJIO,O,O,O,O,X
ZTSLJOI,O,O,O,O,X
ZTSLOIJ,O,O,O,O,X
ZTSLOJI,O,O,O,O,X
ZTSJILO,O,O,O,O,X
ZTSJIOL,O,O,O,O,X
ZTSJLIO,O,O,O,O,X
ZTSJLOI,O,O,O,O,X
ZTSJOIL,O,O,O,O,X
ZTSJOLI,O,O,O,X,X
ZTSOILJ,O,O,O,X,X
ZTSOIJL,O,O,O,O,X
ZTSOLIJ,O,O,O,O,X
ZTSOLJI,O,O,O,O,X
ZTSOJIL,O,O,O,O,X
ZTSOJLI,O,O,O,X,X
ZTOILJS,O,X,O,X,X
ZTOILSJ,O,O,O,X,X
ZTOIJLS,O,X,O,X,X
ZTOIJSL,O,X,O,X,X
ZTOISLJ,O,O,O,X,X
ZTOISJL,O,O,O,O,X
ZTOLIJS,O,X,O,X,X
ZTOLISJ,O,O,O,O,X
ZTOLJIS,O,X,O,X,X
ZTOLJSI,O,X,O,X,X
ZTOLSIJ,O,O,O,O,X
ZTOLSJI,O,O,O,O,X
ZTOJILS,O,X,O,X,X
ZTOJISL,O,X,O,X,X
ZTOJLIS,O,X,O,X,X
ZTOJLSI,O,X,O,X,X
ZTOJSIL,O,X,O,X,X
ZTOJSLI,O,X,O,X,X
ZTOSILJ,O,O,O,X,X
ZTOSIJL,O,O,O,O,X
ZTOSLIJ,O,O,O,O,X
ZTOSLJI,O,O,O,O,X
ZTOSJIL,O,O,O,O,X
ZTOSJLI,O,O,O,X,X
ZITLJSO,O,X,O,O,O
ZITLJOS,O,X,O,X,O
ZITLSJO,O,O,O,O,X
ZITLSOJ,O,O,O,O,X
ZITLOJS,O,X,O,X,X
ZITLOSJ,O,O,O,O,X
ZITJLSO,O,X,O,X,O
ZITJLOS,O,X,O,X,O
ZITJSLO,O,X,O,O,O
ZITJSOL,O,X,O,O,O
ZITJOLS,O,X,O,X,O
ZITJOSL,O,X,O,X,O
ZITSLJO,O,O,O,O,X
ZITSLOJ,O,O,O,O,X
ZITSJLO,O,O,O,O,X
ZITSJOL,O,O,O,O,X
ZITSOLJ,O,O,O,X,X
ZITSOJL,O,O,O,O,X
ZITOLJS,O,X,O,X,X
ZITOLSJ,O,O,O,X,X
ZITOJLS,O,X,O,X,X
ZITOJSL,O,X,O,X,X
ZITOSLJ,O,O,O,X,X
ZITOSJL,O,O,O,O,X
ZILTJSO,O,X,O,O,O
ZILTJOS,O,X,O,X,O
ZILTSJO,O,O,O,O,X
ZILTSOJ,O,O,O,O,X
ZILTOJS,O,X,O,X,X
ZILTOSJ,O,O,O,O,X
ZILJTSO,O,X,O,X,O
ZILJTOS,O,X,O,X,O
ZILJSTO,O,X,O,X,O
ZILJSOT,X,X,O,X,O
ZILJOTS,O,X,O,X,O
ZILJOST,X,X,O,X,O
ZILSTJO,O,X,O,O,X
ZILSTOJ,O,X,O,O,X
ZILSJTO,O,X,O,O,X
ZILSJOT,X,X,O,X,X
ZILSOTJ,X,X,O,X,X
ZILSOJT,X,X,O,X,X
ZILOTJS,O,X,O,X,X
ZILOTSJ,O,X,O,X,X
ZILOJTS,O,X,O,X,X
ZILOJST,O,X,O,X,X
ZILOSTJ,O,X,O,X,X
ZILOSJT,O,X,O,X,X
ZIJTLSO,O,X,O,X,O
ZIJTLOS,O,X,O,X,O
ZIJTSLO,O,X,O,X,O
ZIJTSOL,O,X,O,X,O
ZIJTOLS,O,X,O,X,O
ZIJTOSL,O,X,O,X,O
ZIJLTSO,O,X,O,X,O
ZIJLTOS,O,X,O,X,O
ZIJLSTO,O,X,O,X,O
ZIJLSOT,X,X,O,X,O
ZIJLOTS,O,X,O,X,O
ZIJLOST,X,X,O,X,O
ZIJSTLO,O,X,O,X,O
ZIJSTOL,O,X,O,X,O
ZIJSLTO,O,X,O,X,O
ZIJSLOT,X,X,O,X,O
ZIJSOTL,O,X,X,X,O
