sequence,v115@vhGfGJ0hB5oBKpBznBSwB2xB,v115@vhGZ/IukBSoBUnByuBXrBTtB,v115@vhG2/I5oBTkBUnBatByuBXrB,v115@vhGZ/IKjBukB3mBcsByuBTtB,v115@vhGcAJTfBxnBipBSvB3rBGtB,v115@vhGcAJ6kBKpBxnBTqB3rBGtB,v115@vhGT1I6kBKpBcqB3mB+tBRwB,v115@vhGT1IZkB0lBmmBftB6tBSwB,v115@vhGT1IZkB6qBOrB8rBftB6tB,v115@vhGZEJfmBumBzkBctBSvBywB,v115@vhGOEJUjBRlB3pBCrBSxBTtB
ILSJTZO,O,X,X,X,O,X,O,O,X,O,X
ILSJTOZ,O,X,X,X,O,O,O,O,X,O,O
ILSJZTO,O,X,X,X,O,X,O,O,O,O,X
ILSJZOT,O,O,O,X,O,O,O,O,O,O,O
ILSJOTZ,O,O,O,X,O,O,O,O,X,O,O
ILSJOZT,O,O,O,X,O,O,O,O,O,O,O
ILSZTJO,O,X,X,X,X,X,O,O,O,O,X
ILSZTOJ,X,X,O,X,X,X,O,O,O,O,X
ILSZJTO,O,X,X,X,O,X,O,O,O,O,X
ILSZJOT,O,O,O,X,O,X,O,O,O,O,O
ILSZOTJ,X,O,O,X,X,X,O,O,O,O,O
ILSZOJT,O,O,O,X,O,X,O,O,O,O,O
ILSOTJZ,X,O,O,X,X,X,O,O,X,O,O
ILSOTZJ,X,O,O,X,X,X,O,O,O,O,O
ILSOJTZ,O,O,O,X,O,O,O,O,X,O,O
ILSOJZT,O,O,O,X,O,O,O,O,O,O,O
ILSOZTJ,X,O,O,X,X,X,O,O,O,O,O
ILSOZJT,O,O,O,X,O,O,O,O,O,O,O
ILZTJSO,O,X,X,X,X,X,O,X,X,O,X
ILZTJOS,O,X,X,X,X,X,O,X,X,O,X
ILZTSJO,O,X,X,X,X,X,O,O,X,O,X
ILZTSOJ,X,X,X,X,X,X,O,O,X,O,X
ILZTOJS,X,X,X,X,X,X,O,X,X,O,X
ILZTOSJ,X,X,X,X,X,X,O,O,X,O,X
ILZJTSO,O,X,X,X,O,X,O,X,X,O,X
ILZJTOS,O,X,X,X,O,X,O,X,X,O,X
ILZJSTO,O,X,X,X,O,X,O,O,O,O,X
ILZJSOT,O,X,X,O,O,X,O,O,O,O,X
ILZJOTS,O,X,X,O,O,X,O,X,X,O,X
ILZJOST,O,X,X,O,O,X,O,O,O,O,X
ILZSTJO,O,X,X,X,X,X,O,O,O,O,X
ILZSTOJ,X,X,O,X,X,X,O,O,O,O,X
ILZSJTO,O,X,X,X,O,X,O,O,O,O,X
ILZSJOT,O,X,O,O,O,X,O,O,O,O,X
ILZSOTJ,X,X,O,O,X,X,O,O,O,O,X
ILZSOJT,O,X,O,O,O,X,O,O,O,O,X
ILZOTJS,X,X,X,O,X,X,O,X,X,O,X
ILZOTSJ,X,X,X,O,X,X,O,O,X,O,X
ILZOJTS,O,X,X,O,O,X,O,X,X,O,X
ILZOJST,O,X,O,O,O,X,O,O,O,O,X
ILZOSTJ,X,X,O,O,X,X,O,O,O,O,X
ILZOSJT,O,X,O,O,O,X,O,O,O,O,X
ILOTJSZ,X,O,O,X,X,X,O,X,X,O,X
ILOTJZS,X,X,X,O,X,X,O,X,X,O,X
ILOTSJZ,X,O,O,X,X,X,O,O,X,O,X
ILOTSZJ,X,O,O,X,X,X,O,O,O,O,X
ILOTZJS,X,X,X,O,X,X,O,X,X,O,X
ILOTZSJ,X,X,X,O,X,X,O,O,X,O,X
ILOJTSZ,O,O,O,X,O,O,O,X,X,O,X
ILOJTZS,O,X,X,O,O,O,O,X,X,O,X
ILOJSTZ,O,O,O,X,O,O,O,O,X,O,X
ILOJSZT,O,O,O,O,O,O,O,O,O,O,X
ILOJZTS,O,X,X,O,O,O,O,X,X,O,X
ILOJZST,O,O,O,O,O,O,O,O,O,O,X
ILOSTJZ,X,O,O,X,X,X,O,O,X,O,O
ILOSTZJ,X,O,O,X,X,X,O,O,O,O,O
ILOSJTZ,O,O,O,X,O,O,O,O,X,O,O
ILOSJZT,O,O,O,O,O,O,O,O,O,O,O
ILOSZTJ,X,O,O,O,X,X,O,O,O,O,O
ILOSZJT,O,O,O,O,O,O,O,O,O,O,O
ILOZTJS,X,X,X,O,X,X,O,X,X,O,X
ILOZTSJ,X,X,X,O,X,X,O,O,X,O,X
ILOZJTS,O,X,X,O,O,O,O,X,X,O,X
ILOZJST,O,O,O,O,O,O,O,O,O,O,X
ILOZSTJ,X,O,O,O,X,X,O,O,O,O,O
ILOZSJT,O,O,O,O,O,O,O,O,O,O,O
IJTLSZO,O,X,X,X,O,X,O,X,X,O,X
IJTLSOZ,O,X,X,X,O,O,O,X,X,O,X
IJTLZSO,O,X,X,X,O,X,O,X,X,O,X
IJTLZOS,O,X,X,X,O,X,O,X,X,O,X
IJTLOSZ,O,X,X,X,O,O,O,X,X,O,X
IJTLOZS,O,X,X,X,O,O,O,X,X,O,X
IJTSLZO,O,X,X,X,O,X,O,O,X,O,X
IJTSLOZ,O,X,X,X,O,O,O,O,X,O,X
IJTSZLO,O,X,X,X,X,X,O,O,X,O,X
IJTSZOL,O,O,X,X,X,X,X,O,X,X,X
IJTSOLZ,O,O,X,X,O,O,X,O,X,X,X
IJTSOZL,O,O,X,X,X,O,X,O,X,X,X
IJTZLSO,O,X,X,X,O,X,O,X,X,O,X
IJTZLOS,O,X,X,X,O,X,O,X,X,O,X
IJTZSLO,O,X,X,X,X,X,O,O,O,O,X
IJTZSOL,O,X,X,O,X,X,X,O,O,X,X
IJTZOLS,O,X,X,O,O,X,X,X,X,X,X
IJTZOSL,O,X,X,O,X,X,X,O,O,X,X
IJTOLSZ,O,O,X,X,O,O,X,X,X,X,X
IJTOLZS,O,X,X,O,O,O,X,X,X,X,X
IJTOSLZ,O,O,X,X,O,O,X,O,X,X,X
IJTOSZL,O,O,X,X,X,O,X,O,X,X,X
IJTOZLS,O,X,X,O,O,O,X,X,X,X,X
IJTOZSL,O,X,X,O,X,O,X,O,O,X,X
IJLTSZO,O,X,X,X,O,X,O,X,X,O,X
IJLTSOZ,O,X,X,X,O,O,O,X,X,O,X
IJLTZSO,O,X,X,X,O,X,O,X,X,O,X
IJLTZOS,O,X,X,X,O,X,O,X,X,O,X
IJLTOSZ,O,X,X,X,O,O,O,X,X,O,X
IJLTOZS,O,X,X,X,O,O,O,X,X,O,X
IJLSTZO,O,X,X,X,O,X,O,O,X,O,X
IJLSTOZ,O,X,X,X,O,O,O,O,X,O,X
IJLSZTO,O,X,X,X,O,X,O,O,O,O,X
IJLSZOT,O,O,O,X,O,O,O,O,O,O,X
IJLSOTZ,O,O,O,X,O,O,O,O,X,O,X
IJLSOZT,O,O,O,X,O,O,O,O,O,O,X
IJLZTSO,O,X,X,X,O,X,O,X,X,O,X
IJLZTOS,O,X,X,X,O,X,O,X,X,O,X
IJLZSTO,O,X,X,X,O,X,O,O,O,O,X
IJLZSOT,O,X,X,O,O,O,O,O,O,O,X
IJLZOTS,O,X,X,O,O,O,O,X,X,O,X
IJLZOST,O,X,X,O,O,O,O,O,O,O,X
IJLOTSZ,O,O,O,X,O,O,O,X,X,O,X
IJLOTZS,O,X,X,O,O,O,O,X,X,O,X
IJLOSTZ,O,O,O,X,O,O,O,O,X,O,X
IJLOSZT,O,O,O,O,O,O,O,O,O,O,X
IJLOZTS,O,X,X,O,O,O,O,X,X,O,X
IJLOZST,O,O,O,O,O,O,O,O,O,O,X
IJSTLZO,O,X,X,X,O,X,O,O,X,O,X
IJSTLOZ,O,X,X,X,O,O,O,O,X,O,X
IJSTZLO,O,X,X,X,X,X,O,O,X,O,X
IJSTZOL,O,O,X,X,X,X,X,O,X,X,X
IJSTOLZ,O,O,X,X,O,O,X,O,X,X,X
IJSTOZL,O,O,X,X,X,O,X,O,X,X,X
IJSLTZO,O,X,X,X,O,X,O,O,X,O,X
IJSLTOZ,O,X,X,X,O,O,O,O,X,O,X
IJSLZTO,O,X,X,X,O,X,O,O,O,O,X
IJSLZOT,O,O,O,X,O,O,O,O,O,O,X
IJSLOTZ,O,O,O,X,O,O,O,O,X,O,X
IJSLOZT,O,O,O,X,O,O,O,O,O,O,X
IJSZTLO,O,X,X,X,X,X,O,O,O,O,X
IJSZTOL,O,O,X,O,X,X,X,O,O,X,X
IJSZLTO,O,X,X,X,O,X,O,O,O,O,X
IJSZLOT,O,O,O,O,O,O,O,O,O,O,X
IJSZOTL,O,O,O,O,X,O,X,O,O,X,X
IJSZOLT,O,O,O,O,O,O,O,O,O,O,X
IJSOTLZ,O,O,O,X,O,O,X,O,X,X,X
IJSOTZL,O,O,O,X,X,O,X,O,X,X,X
IJSOLTZ,O,O,O,X,O,O,O,O,X,O,X
IJSOLZT,O,O,O,O,O,O,O,O,O,O,X
IJSOZTL,O,O,O,O,X,O,X,O,O,X,X
IJSOZLT,O,O,O,O,O,O,O,O,O,O,X
IJZTLSO,O,X,X,X,O,X,O,X,X,O,X
IJZTLOS,O,X,X,X,O,X,O,X,X,O,X
IJZTSLO,O,X,X,X,X,X,O,O,O,O,X
IJZTSOL,O,X,X,O,X,X,X,O,O,X,X
IJZTOLS,O,X,X,O,O,X,X,X,X,X,X
IJZTOSL,O,X,X,O,X,X,X,O,O,X,X
IJZLTSO,O,X,X,X,O,X,O,X,X,O,X
IJZLTOS,O,X,X,X,O,X,O,X,X,O,X
IJZLSTO,O,X,X,X,O,X,O,O,O,O,X
IJZLSOT,O,X,X,O,O,O,O,O,O,O,X
IJZLOTS,O,X,X,O,O,O,O,X,X,O,X
IJZLOST,O,X,X,O,O,O,O,O,O,O,X
IJZSTLO,O,X,X,X,X,X,O,O,O,O,X
IJZSTOL,O,O,X,O,X,X,X,O,O,X,X
IJZSLTO,O,X,X,X,O,X,O,O,O,O,X
IJZSLOT,O,O,X,O,O,O,O,O,O,O,X
IJZSOTL,O,O,X,O,X,O,X,O,O,X,X
IJZSOLT,O,O,X,O,O,O,O,O,O,O,X
IJZOTLS,O,X,X,O,O,O,X,X,X,X,X
IJZOTSL,O,X,X,O,X,O,X,O,O,X,X
IJZOLTS,O,X,X,O,O,O,O,X,X,O,X
IJZOLST,O,O,X,O,O,O,O,O,O,O,X
IJZOSTL,O,O,X,O,X,O,X,O,O,X,X
IJZOSLT,O,O,X,O,O,O,O,O,O,O,X
IJOTLSZ,O,O,O,X,O,O,X,X,X,X,X
IJOTLZS,O,X,X,O,O,O,X,X,X,X,X
IJOTSLZ,O,O,O,X,O,O,X,O,X,X,X
IJOTSZL,O,O,O,X,X,O,X,O,X,X,X
IJOTZLS,O,X,X,O,O,O,X,X,X,X,X
IJOTZSL,O,X,X,O,X,O,X,O,O,X,X
IJOLTSZ,O,O,O,X,O,O,O,X,X,O,X
IJOLTZS,O,X,X,O,O,O,O,X,X,O,X
IJOLSTZ,O,O,O,X,O,O,O,O,X,O,X
IJOLSZT,O,O,O,O,O,O,O,O,O,O,X
IJOLZTS,O,X,X,O,O,O,O,X,X,O,X
IJOLZST,O,O,O,O,O,O,O,O,O,O,X
IJOSTLZ,O,O,O,X,O,O,X,O,X,X,X
IJOSTZL,O,O,O,X,X,O,X,O,X,X,X
IJOSLTZ,O,O,O,X,O,O,O,O,X,O,X
IJOSLZT,O,O,O,O,O,O,O,O,O,O,X
IJOSZTL,O,O,O,O,X,O,X,O,O,X,X
IJOSZLT,O,O,O,O,O,O,O,O,O,O,X
IJOZTLS,O,X,X,O,O,O,X,X,X,X,X
IJOZTSL,O,X,X,O,X,O,X,O,O,X,X
IJOZLTS,O,X,X,O,O,O,O,X,X,O,X
IJOZLST,O,O,O,O,O,O,O,O,O,O,X
IJOZSTL,O,O,O,O,X,O,X,O,O,X,X
IJOZSLT,O,O,O,O,O,O,O,O,O,O,X
ISTLJZO,O,X,X,X,X,X,O,O,X,O,X
ISTLJOZ,O,X,X,X,X,X,O,O,X,O,O
ISTLZJO,O,X,X,X,X,X,O,O,O,O,X
ISTLZOJ,X,X,O,X,X,X,O,O,O,O,X
ISTLOJZ,X,X,O,X,X,X,O,O,X,O,O
ISTLOZJ,X,X,O,X,X,X,O,O,O,O,O
ISTJLZO,O,X,X,X,X,X,O,O,X,O,X
ISTJLOZ,O,X,X,X,X,X,O,O,X,O,O
ISTJZLO,O,X,X,X,X,X,O,O,X,O,X
ISTJZOL,O,O,X,X,X,X,X,O,X,X,X
ISTJOLZ,O,O,X,X,X,X,X,O,X,X,O
ISTJOZL,O,O,X,X,X,X,X,O,X,X,O
ISTZLJO,O,X,X,X,X,X,O,O,O,O,X
ISTZLOJ,X,X,O,X,X,X,O,O,O,O,X
ISTZJLO,O,X,X,X,X,X,O,O,O,O,X
ISTZJOL,O,O,X,X,X,X,X,O,O,X,X
ISTZOLJ,X,O,O,X,X,X,X,O,O,O,X
ISTZOJL,X,O,O,X,X,X,X,O,O,X,X
ISTOLJZ,X,O,O,X,X,X,X,O,X,O,O
ISTOLZJ,X,O,O,X,X,X,X,O,O,O,O
ISTOJLZ,X,O,O,X,X,X,X,O,X,X,O
ISTOJZL,X,O,O,X,X,X,X,O,X,X,O
ISTOZLJ,X,O,O,X,X,X,X,O,O,O,O
ISTOZJL,X,O,O,X,X,X,X,O,O,X,O
ISLTJZO,O,X,X,X,X,X,O,O,X,O,X
ISLTJOZ,O,X,X,X,X,X,O,O,X,O,O
ISLTZJO,O,X,X,X,X,X,O,O,O,O,X
ISLTZOJ,X,X,O,X,X,X,O,O,O,O,X
ISLTOJZ,X,X,O,X,X,X,O,O,X,O,O
ISLTOZJ,X,X,O,X,X,X,O,O,O,O,O
ISLJTZO,O,X,X,X,O,X,O,O,X,O,X
ISLJTOZ,O,X,X,X,O,O,O,O,X,O,O
ISLJZTO,O,X,X,X,O,X,O,O,O,O,X
ISLJZOT,O,O,O,X,O,O,O,O,O,O,O
ISLJOTZ,O,O,O,X,O,O,O,O,X,O,O
ISLJOZT,O,O,O,X,O,O,O,O,O,O,O
ISLZTJO,O,X,X,X,X,X,O,O,O,O,X
ISLZTOJ,X,X,O,X,X,X,O,O,O,O,X
ISLZJTO,O,X,X,X,O,X,O,O,O,O,X
ISLZJOT,O,O,O,X,O,X,O,O,O,O,O
ISLZOTJ,X,O,O,X,X,X,O,O,O,O,O
ISLZOJT,O,O,O,X,O,X,O,O,O,O,O
ISLOTJZ,X,O,O,X,X,X,O,O,X,O,O
ISLOTZJ,X,O,O,X,X,X,O,O,O,O,O
ISLOJTZ,O,O,O,X,O,O,O,O,X,O,O
ISLOJZT,O,O,O,X,O,O,O,O,O,O,O
ISLOZTJ,X,O,O,X,X,X,O,O,O,O,O
ISLOZJT,O,O,O,X,O,O,O,O,O,O,O
ISJTLZO,O,X,X,X,O,X,O,O,X,O,X
ISJTLOZ,O,X,X,X,O,O,O,O,X,O,O
ISJTZLO,O,X,X,X,X,X,O,O,X,O,X
ISJTZOL,O,O,X,X,X,X,X,O,X,X,X
ISJTOLZ,O,O,X,X,O,O,X,O,X,X,O
ISJTOZL,O,O,X,X,X,O,X,O,X,X,O
ISJLTZO,O,X,X,X,O,X,O,O,X,O,X
ISJLTOZ,O,X,X,X,O,O,O,O,X,O,O
ISJLZTO,O,X,X,X,O,X,O,O,O,O,X
ISJLZOT,O,O,O,X,O,O,O,O,O,O,O
ISJLOTZ,O,O,O,X,O,O,O,O,X,O,O
ISJLOZT,O,O,O,X,O,O,O,O,O,O,O
ISJZTLO,O,X,X,X,X,X,O,O,O,O,X
ISJZTOL,O,O,X,O,X,X,X,O,O,X,X
ISJZLTO,O,X,X,X,O,X,O,O,O,O,X
ISJZLOT,O,O,O,O,O,O,O,O,O,O,O
ISJZOTL,O,O,O,O,X,O,X,O,O,X,O
ISJZOLT,O,O,O,O,O,O,O,O,O,O,O
ISJOTLZ,O,O,O,X,O,O,X,O,X,X,O
ISJOTZL,O,O,O,X,X,O,X,O,X,X,O
ISJOLTZ,O,O,O,X,O,O,O,O,X,O,O
ISJOLZT,O,O,O,O,O,O,O,O,O,O,O
ISJOZTL,O,O,O,O,X,O,X,O,O,X,O
ISJOZLT,O,O,O,O,O,O,O,O,O,O,O
ISZTLJO,O,X,X,X,X,X,O,O,O,O,X
ISZTLOJ,X,X,O,X,X,X,O,O,O,O,X
ISZTJLO,O,X,X,X,X,X,O,O,O,O,X
ISZTJOL,O,O,X,O,X,X,X,O,O,X,X
ISZTOLJ,X,O,O,O,X,X,X,O,O,O,X
ISZTOJL,X,O,O,O,X,X,X,O,O,X,X
ISZLTJO,O,X,X,X,X,X,O,O,O,O,X
ISZLTOJ,X,X,O,X,X,X,O,O,O,O,X
ISZLJTO,O,X,X,X,X,X,O,O,O,O,X
ISZLJOT,O,O,O,O,X,X,O,O,O,O,O
ISZLOTJ,X,O,O,O,X,X,O,O,O,O,O
ISZLOJT,O,O,O,O,X,X,O,O,O,O,O
ISZJTLO,O,X,X,X,X,X,O,O,O,O,X
ISZJTOL,O,O,X,O,X,X,X,O,O,X,X
ISZJLTO,O,X,X,X,X,X,O,O,O,O,X
ISZJLOT,O,O,O,O,X,X,O,O,O,O,O
ISZJOTL,O,O,O,O,X,X,X,O,O,X,O
ISZJOLT,O,O,O,O,X,X,O,O,O,O,O
ISZOTLJ,X,O,O,O,X,X,X,O,O,O,O
ISZOTJL,X,O,O,O,X,X,X,O,O,X,O
ISZOLTJ,X,O,O,O,X,X,O,O,O,O,O
ISZOLJT,O,O,O,O,X,X,O,O,O,O,O
ISZOJTL,O,O,O,O,X,X,X,O,O,X,O
ISZOJLT,O,O,O,O,X,X,O,O,O,O,O
ISOTLJZ,X,O,O,X,X,X,X,O,X,O,O
ISOTLZJ,X,O,O,X,X,X,X,O,O,O,O
ISOTJLZ,X,O,O,X,X,X,X,O,X,X,O
ISOTJZL,X,O,O,X,X,X,X,O,X,X,O
ISOTZLJ,X,O,O,X,X,X,X,O,O,O,O
ISOTZJL,X,O,O,X,X,X,X,O,O,X,O
ISOLTJZ,X,O,O,X,X,X,O,O,X,O,O
ISOLTZJ,X,O,O,X,X,X,O,O,O,O,O
ISOLJTZ,O,O,O,X,O,O,O,O,X,O,O
ISOLJZT,O,O,O,O,O,O,O,O,O,O,O
ISOLZTJ,X,O,O,O,X,X,O,O,O,O,O
ISOLZJT,O,O,O,O,O,O,O,O,O,O,O
ISOJTLZ,O,O,O,X,O,O,X,O,X,X,O
ISOJTZL,O,O,O,X,X,O,X,O,X,X,O
ISOJLTZ,O,O,O,X,O,O,O,O,X,O,O
ISOJLZT,O,O,O,O,O,O,O,O,O,O,O
ISOJZTL,O,O,O,O,X,O,X,O,O,X,O
ISOJZLT,O,O,O,O,O,O,O,O,O,O,O
ISOZTLJ,X,O,O,O,X,X,X,O,O,O,O
ISOZTJL,X,O,O,O,X,X,X,O,O,X,O
ISOZLTJ,X,O,O,O,X,X,O,O,O,O,O
ISOZLJT,O,O,O,O,X,O,O,O,O,O,O
ISOZJTL,O,O,O,O,X,O,X,O,O,X,O
ISOZJLT,O,O,O,O,X,O,O,O,O,O,O
IZTLJSO,O,X,X,X,X,X,O,X,X,O,X
IZTLJOS,O,X,X,X,X,X,O,X,X,O,X
IZTLSJO,O,X,X,X,X,X,O,O,X,O,X
IZTLSOJ,X,X,X,X,X,X,O,O,X,O,X
IZTLOJS,X,X,X,X,X,X,O,X,X,O,X
IZTLOSJ,X,X,X,X,X,X,O,O,X,O,X
IZTJLSO,O,X,X,X,X,X,O,X,X,O,X
IZTJLOS,O,X,X,X,X,X,O,X,X,O,X
IZTJSLO,O,X,X,X,X,X,O,O,O,O,X
IZTJSOL,O,X,X,O,X,X,X,O,O,X,X
IZTJOLS,O,X,X,O,X,X,X,X,X,X,X
IZTJOSL,O,X,X,O,X,X,X,O,O,X,X
IZTSLJO,O,X,X,X,X,X,O,O,O,O,X
IZTSLOJ,X,X,X,X,X,X,O,O,O,O,X
IZTSJLO,O,X,X,X,X,X,O,O,O,O,X
IZTSJOL,O,X,X,O,X,X,X,O,O,X,X
IZTSOLJ,X,X,X,O,X,X,X,O,O,O,X
IZTSOJL,X,X,X,O,X,X,X,O,O,X,X
IZTOLJS,X,X,X,O,X,X,X,X,X,O,X
IZTOLSJ,X,X,X,O,X,X,X,O,X,O,X
IZTOJLS,X,X,X,O,X,X,X,X,X,X,X
IZTOJSL,X,X,X,O,X,X,X,O,O,X,X
IZTOSLJ,X,X,X,O,X,X,X,O,O,O,X
IZTOSJL,X,X,X,O,X,X,X,O,O,X,X
IZLTJSO,O,X,X,X,X,X,O,X,X,O,X
IZLTJOS,O,X,X,X,X,X,O,X,X,O,X
IZLTSJO,O,X,X,X,X,X,O,O,X,O,X
IZLTSOJ,X,X,X,X,X,X,O,O,X,O,X
IZLTOJS,X,X,X,X,X,X,O,X,X,O,X
IZLTOSJ,X,X,X,X,X,X,O,O,X,O,X
IZLJTSO,O,X,X,X,O,X,O,X,X,O,X
IZLJTOS,O,X,X,X,O,X,O,X,X,O,X
IZLJSTO,O,X,X,X,O,X,O,O,O,O,X
IZLJSOT,O,X,X,O,O,X,O,O,O,O,X
IZLJOTS,O,X,X,O,O,X,O,X,X,O,X
IZLJOST,O,X,X,O,O,X,O,O,O,O,X
IZLSTJO,O,X,X,X,X,X,O,O,O,O,X
IZLSTOJ,X,X,O,X,X,X,O,O,O,O,X
IZLSJTO,O,X,X,X,O,X,O,O,O,O,X
IZLSJOT,O,X,O,O,O,X,O,O,O,O,X
IZLSOTJ,X,X,O,O,X,X,O,O,O,O,X
IZLSOJT,O,X,O,O,O,X,O,O,O,O,X
IZLOTJS,X,X,X,O,X,X,O,X,X,O,X
IZLOTSJ,X,X,X,O,X,X,O,O,X,O,X
IZLOJTS,O,X,X,O,O,X,O,X,X,O,X
IZLOJST,O,X,O,O,O,X,O,O,O,O,X
IZLOSTJ,X,X,O,O,X,X,O,O,O,O,X
IZLOSJT,O,X,O,O,O,X,O,O,O,O,X
IZJTLSO,O,X,X,X,O,X,O,X,X,O,X
IZJTLOS,O,X,X,X,O,X,O,X,X,O,X
IZJTSLO,O,X,X,X,X,X,O,O,O,O,X
IZJTSOL,O,X,X,O,X,X,X,O,O,X,X
IZJTOLS,O,X,X,O,O,X,X,X,X,X,X
IZJTOSL,O,X,X,O,X,X,X,O,O,X,X
IZJLTSO,O,X,X,X,O,X,O,X,X,O,X
IZJLTOS,O,X,X,X,O,X,O,X,X,O,X
IZJLSTO,O,X,X,X,O,X,O,O,O,O,X
IZJLSOT,O,X,X,O,O,X,O,O,O,O,X
IZJLOTS,O,X,X,O,O,X,O,X,X,O,X
IZJLOST,O,X,X,O,O,X,O,O,O,O,X
IZJSTLO,O,X,X,X,X,X,O,O,O,O,X
IZJSTOL,O,O,X,O,X,X,X,O,O,X,X
IZJSLTO,O,X,X,X,O,X,O,O,O,O,X
IZJSLOT,O,O,X,O,O,X,O,O,O,O,X
IZJSOTL,O,O,X,O,X,X,X,O,O,X,X
IZJSOLT,O,O,X,O,O,X,O,O,O,O,X
IZJOTLS,O,X,X,O,O,X,X,X,X,X,X
IZJOTSL,O,X,X,O,X,X,X,O,O,X,X
IZJOLTS,O,X,X,O,O,X,O,X,X,O,X
IZJOLST,O,O,X,O,O,X,O,O,O,O,X
IZJOSTL,O,O,X,O,X,X,X,O,O,X,X
IZJOSLT,O,O,X,O,O,X,O,O,O,O,X
IZSTLJO,O,X,X,X,X,X,O,O,O,O,X
IZSTLOJ,X,X,O,X,X,X,O,O,O,O,X
IZSTJLO,O,X,X,X,X,X,O,O,O,O,X
IZSTJOL,O,O,X,O,X,X,X,O,O,X,X
IZSTOLJ,X,O,O,O,X,X,X,O,O,O,X
IZSTOJL,X,O,O,O,X,X,X,O,O,X,X
IZSLTJO,O,X,X,X,X,X,O,O,O,O,X
IZSLTOJ,X,X,O,X,X,X,O,O,O,O,X
IZSLJTO,O,X,X,X,X,X,O,O,O,O,X
IZSLJOT,O,O,O,O,X,X,O,O,O,O,X
IZSLOTJ,X,O,O,O,X,X,O,O,O,O,X
IZSLOJT,O,O,O,O,X,X,O,O,O,O,X
IZSJTLO,O,X,X,X,X,X,O,O,O,O,X
IZSJTOL,O,O,X,O,X,X,X,O,O,X,X
IZSJLTO,O,X,X,X,X,X,O,O,O,O,X
IZSJLOT,O,O,O,O,X,X,O,O,O,O,X
IZSJOTL,O,O,O,O,X,X,X,O,O,X,X
IZSJOLT,O,O,O,O,X,X,O,O,O,O,X
IZSOTLJ,X,O,O,O,X,X,X,O,O,O,X
IZSOTJL,X,O,O,O,X,X,X,O,O,X,X
IZSOLTJ,X,O,O,O,X,X,O,O,O,O,X
IZSOLJT,O,O,O,O,X,X,O,O,O,O,X
IZSOJTL,O,O,O,O,X,X,X,O,O,X,X
IZSOJLT,O,O,O,O,X,X,O,O,O,O,X
IZOTLJS,X,X,X,O,X,X,X,X,X,O,X
IZOTLSJ,X,X,X,O,X,X,X,O,X,O,X
IZOTJLS,X,X,X,O,X,X,X,X,X,X,X
IZOTJSL,X,X,X,O,X,X,X,O,O,X,X
IZOTSLJ,X,X,X,O,X,X,X,O,O,O,X
IZOTSJL,X,X,X,O,X,X,X,O,O,X,X
IZOLTJS,X,X,X,O,X,X,O,X,X,O,X
IZOLTSJ,X,X,X,O,X,X,O,O,X,O,X
IZOLJTS,O,X,X,O,O,X,O,X,X,O,X
IZOLJST,O,O,O,O,O,X,O,O,O,O,X
IZOLSTJ,X,O,O,O,X,X,O,O,O,O,X
IZOLSJT,O,O,O,O,O,X,O,O,O,O,X
IZOJTLS,O,X,X,O,O,X,X,X,X,X,X
IZOJTSL,O,X,X,O,X,X,X,O,O,X,X
IZOJLTS,O,X,X,O,O,X,O,X,X,O,X
IZOJLST,O,O,O,O,O,X,O,O,O,O,X
IZOJSTL,O,O,O,O,X,X,X,O,O,X,X
IZOJSLT,O,O,O,O,O,X,O,O,O,O,X
IZOSTLJ,X,O,O,O,X,X,X,O,O,O,X
IZOSTJL,X,O,O,O,X,X,X,O,O,X,X
IZOSLTJ,X,O,O,O,X,X,O,O,O,O,X
IZOSLJT,O,O,O,O,X,X,O,O,O,O,X
IZOSJTL,O,O,O,O,X,X,X,O,O,X,X
IZOSJLT,O,O,O,O,X,X,O,O,O,O,X
IOTLJSZ,X,O,O,X,X,X,X,X,X,O,X
IOTLJZS,X,X,X,O,X,X,X,X,X,O,X
IOTLSJZ,X,O,O,X,X,X,X,O,X,O,X
IOTLSZJ,X,O,O,X,X,X,X,O,O,O,X
IOTLZJS,X,X,X,O,X,X,X,X,X,O,X
IOTLZSJ,X,X,X,O,X,X,X,O,X,O,X
IOTJLSZ,X,O,O,X,X,X,X,X,X,X,X
IOTJLZS,X,X,X,O,X,X,X,X,X,X,X
IOTJSLZ,X,O,O,X,X,X,X,O,X,X,X
IOTJSZL,X,O,O,X,X,X,X,O,X,X,X
IOTJZLS,X,X,X,O,X,X,X,X,X,X,X
IOTJZSL,X,X,X,O,X,X,X,O,O,X,X
IOTSLJZ,X,O,O,X,X,X,X,O,X,O,X
IOTSLZJ,X,O,O,X,X,X,X,O,O,O,X
IOTSJLZ,X,O,O,X,X,X,X,O,X,X,X
IOTSJZL,X,O,O,X,X,X,X,O,X,X,X
IOTSZLJ,X,O,O,X,X,X,X,O,O,O,X
IOTSZJL,X,O,O,X,X,X,X,O,O,X,X
IOTZLJS,X,X,X,O,X,X,X,X,X,O,X
IOTZLSJ,X,X,X,O,X,X,X,O,X,O,X
IOTZJLS,X,X,X,O,X,X,X,X,X,X,X
IOTZJSL,X,X,X,O,X,X,X,O,O,X,X
IOTZSLJ,X,X,X,O,X,X,X,O,O,O,X
IOTZSJL,X,X,X,O,X,X,X,O,O,X,X
IOLTJSZ,X,O,O,X,X,X,O,X,X,O,X
IOLTJZS,X,X,X,O,X,X,O,X,X,O,X
