sequence,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFqmBmiB5oBzlB0n?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFUiBaoB5oBzlBWs?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFzgBqmBmiB5oB0n?B3qB,v115@HhA8AeA8GeC8GeB8BeE8Kel/IvhFzgBUiBaoB5oBWs?B3qB
TZOLSIJ,O,X,O,X
TZOLSJI,O,X,O,X
TZOJILS,O,O,O,X
TZOJISL,O,O,X,X
TZOJLIS,O,O,O,X
TZOJLSI,O,O,O,X
TZOJSIL,O,O,X,X
TZOJSLI,O,O,X,X
TZOSILJ,O,X,X,X
TZOSIJL,O,X,X,X
TZOSLIJ,O,X,X,X
TZOSLJI,O,X,X,X
TZOSJIL,O,X,X,X
TZOSJLI,O,X,X,X
TOILJSZ,X,O,X,O
TOILJZS,O,O,X,O
TOILSJZ,X,O,O,X
TOILSZJ,O,X,O,X
TOILZJS,O,O,O,X
TOILZSJ,O,X,O,X
TOIJLSZ,X,O,X,O
TOIJLZS,O,O,X,O
TOIJSLZ,X,O,X,O
TOIJSZL,X,O,X,O
TOIJZLS,O,O,X,O
TOIJZSL,O,O,X,O
TOISLJZ,X,O,X,X
TOISLZJ,O,X,X,X
TOISJLZ,X,O,X,X
TOISJZL,X,O,X,X
TOISZLJ,O,X,X,X
TOISZJL,O,X,X,X
TOIZLJS,O,O,O,X
TOIZLSJ,O,X,O,X
TOIZJLS,O,O,O,X
TOIZJSL,O,O,X,X
TOIZSLJ,O,X,X,X
TOIZSJL,O,X,X,X
TOLIJSZ,X,O,X,O
TOLIJZS,O,O,X,O
TOLISJZ,X,O,O,X
TOLISZJ,O,X,O,X
TOLIZJS,O,O,O,X
TOLIZSJ,O,X,O,X
TOLJISZ,X,O,X,O
TOLJIZS,O,O,X,O
TOLJSIZ,X,O,X,O
TOLJSZI,X,O,X,O
TOLJZIS,O,O,X,O
TOLJZSI,O,O,X,O
TOLSIJZ,X,O,O,X
TOLSIZJ,O,X,O,X
TOLSJIZ,X,O,O,X
TOLSJZI,X,O,O,X
TOLSZIJ,O,X,O,X
TOLSZJI,O,X,O,X
TOLZIJS,O,O,O,X
TOLZISJ,O,X,O,X
TOLZJIS,O,O,O,X
TOLZJSI,O,O,O,X
TOLZSIJ,O,X,O,X
TOLZSJI,O,X,O,X
TOJILSZ,X,O,X,O
TOJILZS,O,O,X,O
TOJISLZ,X,O,X,O
TOJISZL,X,O,X,O
TOJIZLS,O,O,X,O
TOJIZSL,O,O,X,O
TOJLISZ,X,O,X,O
TOJLIZS,O,O,X,O
TOJLSIZ,X,O,X,O
TOJLSZI,X,O,X,O
TOJLZIS,O,O,X,O
TOJLZSI,O,O,X,O
TOJSILZ,X,O,X,O
TOJSIZL,X,O,X,O
TOJSLIZ,X,O,X,O
TOJSLZI,X,O,X,O
TOJSZIL,X,O,X,O
TOJSZLI,X,O,X,O
TOJZILS,O,O,X,O
TOJZISL,O,O,X,O
TOJZLIS,O,O,X,O
TOJZLSI,O,O,X,O
TOJZSIL,O,O,X,O
TOJZSLI,O,O,X,O
TOSILJZ,X,O,X,X
TOSILZJ,O,X,X,X
TOSIJLZ,X,O,X,X
TOSIJZL,X,O,X,X
TOSIZLJ,O,X,X,X
TOSIZJL,O,X,X,X
TOSLIJZ,X,O,X,X
TOSLIZJ,O,X,X,X
TOSLJIZ,X,O,X,X
TOSLJZI,X,O,X,X
TOSLZIJ,O,X,X,X
TOSLZJI,O,X,X,X
TOSJILZ,X,O,X,X
TOSJIZL,X,O,X,X
TOSJLIZ,X,O,X,X
TOSJLZI,X,O,X,X
TOSJZIL,X,O,X,X
TOSJZLI,X,O,X,X
TOSZILJ,O,X,X,X
TOSZIJL,O,X,X,X
TOSZLIJ,O,X,X,X
TOSZLJI,O,X,X,X
TOSZJIL,O,X,X,X
TOSZJLI,O,X,X,X
TOZILJS,O,O,O,X
TOZILSJ,O,X,O,X
TOZIJLS,O,O,O,X
TOZIJSL,O,O,X,X
TOZISLJ,O,X,X,X
TOZISJL,O,X,X,X
TOZLIJS,O,O,O,X
TOZLISJ,O,X,O,X
TOZLJIS,O,O,O,X
TOZLJSI,O,O,O,X
TOZLSIJ,O,X,O,X
TOZLSJI,O,X,O,X
TOZJILS,O,O,O,X
TOZJISL,O,O,X,X
TOZJLIS,O,O,O,X
TOZJLSI,O,O,O,X
TOZJSIL,O,O,X,X
TOZJSLI,O,O,X,X
TOZSILJ,O,X,X,X
TOZSIJL,O,X,X,X
TOZSLIJ,O,X,X,X
TOZSLJI,O,X,X,X
TOZSJIL,O,X,X,X
TOZSJLI,O,X,X,X
ITLJSZO,X,O,O,O
ITLJSOZ,X,O,O,O
ITLJZSO,O,O,O,O
ITLJZOS,O,O,O,O
ITLJOSZ,X,O,X,O
ITLJOZS,O,O,X,O
ITLSJZO,X,O,O,O
ITLSJOZ,X,O,O,O
ITLSZJO,O,X,O,X
ITLSZOJ,O,X,O,X
ITLSOJZ,X,O,O,X
ITLSOZJ,O,X,O,X
ITLZJSO,O,O,O,O
ITLZJOS,O,O,O,O
ITLZSJO,O,X,O,X
ITLZSOJ,O,X,O,X
ITLZOJS,O,O,O,X
ITLZOSJ,O,X,O,X
ITLOJSZ,X,O,X,O
ITLOJZS,O,O,X,O
ITLOSJZ,X,O,O,X
ITLOSZJ,O,X,O,X
ITLOZJS,O,O,O,X
ITLOZSJ,O,X,O,X
ITJLSZO,X,O,O,O
ITJLSOZ,X,O,O,O
ITJLZSO,O,O,O,O
ITJLZOS,O,O,O,O
ITJLOSZ,X,O,X,O
ITJLOZS,O,O,X,O
ITJSLZO,X,O,X,O
ITJSLOZ,X,O,X,O
ITJSZLO,X,O,X,O
ITJSZOL,X,O,X,O
ITJSOLZ,X,O,X,O
ITJSOZL,X,O,X,O
ITJZLSO,O,O,O,O
ITJZLOS,O,O,O,O
ITJZSLO,O,O,O,O
ITJZSOL,O,O,X,O
ITJZOLS,O,O,O,O
ITJZOSL,O,O,X,O
ITJOLSZ,X,O,X,O
ITJOLZS,O,O,X,O
ITJOSLZ,X,O,X,O
ITJOSZL,X,O,X,O
ITJOZLS,O,O,X,O
ITJOZSL,O,O,X,O
ITSLJZO,X,O,O,O
ITSLJOZ,X,O,O,O
ITSLZJO,O,X,O,X
ITSLZOJ,O,X,O,X
ITSLOJZ,X,O,O,X
ITSLOZJ,O,X,O,X
ITSJLZO,X,O,X,O
ITSJLOZ,X,O,X,O
ITSJZLO,X,O,X,O
ITSJZOL,X,O,X,O
ITSJOLZ,X,O,X,O
ITSJOZL,X,O,X,O
ITSZLJO,O,X,O,X
ITSZLOJ,O,X,O,X
ITSZJLO,O,X,O,X
ITSZJOL,O,X,X,X
ITSZOLJ,O,X,X,X
ITSZOJL,O,X,X,X
ITSOLJZ,X,O,X,X
ITSOLZJ,O,X,X,X
ITSOJLZ,X,O,X,X
ITSOJZL,X,O,X,X
ITSOZLJ,O,X,X,X
ITSOZJL,O,X,X,X
ITZLJSO,O,O,O,O
ITZLJOS,O,O,O,O
ITZLSJO,O,X,O,X
ITZLSOJ,O,X,O,X
ITZLOJS,O,O,O,X
ITZLOSJ,O,X,O,X
ITZJLSO,O,O,O,O
ITZJLOS,O,O,O,O
ITZJSLO,O,O,O,O
ITZJSOL,O,O,X,O
ITZJOLS,O,O,O,O
ITZJOSL,O,O,X,O
