sequence,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFXgBxhBzlBCnBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBfmBxhBCnBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF0gBxhBzkBCnB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFTgBxhBfqB8qBCn?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JexAJvhFTiBikBGmB0kB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFTiBikBGmBXmBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhF8lBGiBTkBKqB3m?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je0/IvhFxgBTiB2pBSrBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFXhBTiB2pBSrBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBSmBTiBxqBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFfmB6mBTiBxpBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8Jei/IvhFGiB3kBRmBUmBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFRhBSnBUmB3kBTq?BlsB
ITJOLSZ,O,X,O,X,O,O,O,O,O,X,O,O,X
ITJOLZS,O,X,O,X,O,O,O,O,O,O,X,X,X
ITJOSLZ,O,X,X,X,O,X,O,X,O,X,O,O,X
ITJOSZL,O,X,X,X,O,X,X,X,X,X,O,O,X
ITJOZLS,X,X,O,X,O,O,X,O,O,O,X,X,X
ITJOZSL,O,X,O,X,O,X,X,O,X,O,O,O,X
ITSLJZO,X,O,O,O,O,X,O,X,X,X,O,O,X
ITSLJOZ,X,X,O,O,O,X,O,X,X,X,O,O,X
ITSLZJO,X,O,O,O,X,X,O,X,X,O,O,O,X
ITSLZOJ,X,O,O,O,X,X,O,X,X,O,O,X,X
ITSLOJZ,X,X,O,O,O,X,O,X,X,X,O,O,X
ITSLOZJ,X,O,O,O,X,X,O,X,X,O,O,X,X
ITSJLZO,X,X,O,O,O,X,O,X,X,X,O,O,X
ITSJLOZ,X,X,O,O,O,X,O,X,X,X,O,O,X
ITSJZLO,X,O,O,O,O,X,O,X,X,X,O,O,X
ITSJZOL,X,O,O,O,O,X,O,X,X,X,O,X,X
ITSJOLZ,X,X,X,X,O,X,O,X,X,X,O,O,X
ITSJOZL,X,X,X,X,O,X,X,X,X,X,O,X,X
ITSZLJO,X,O,O,O,X,X,O,X,X,O,O,O,X
ITSZLOJ,X,O,O,O,X,X,O,X,X,O,O,X,X
ITSZJLO,X,O,O,O,X,X,O,X,X,O,O,O,X
ITSZJOL,X,O,O,O,X,X,O,X,X,O,O,X,X
ITSZOLJ,X,X,O,O,X,X,X,X,X,O,O,X,X
ITSZOJL,X,O,O,O,X,X,O,X,X,O,O,X,X
ITSOLJZ,X,X,O,X,O,X,O,X,X,X,O,O,X
ITSOLZJ,X,X,O,X,X,X,O,X,X,O,O,X,X
ITSOJLZ,X,X,O,X,O,X,O,X,X,X,O,O,X
ITSOJZL,X,X,O,X,O,X,X,X,X,X,O,X,X
ITSOZLJ,X,X,O,X,X,X,X,X,X,O,O,X,X
ITSOZJL,X,O,O,X,X,X,X,X,X,O,O,X,X
ITZLJSO,O,O,X,O,X,O,X,X,X,O,X,X,X
ITZLJOS,O,X,X,O,X,O,X,X,X,O,X,X,X
ITZLSJO,O,O,X,O,X,O,X,X,X,O,X,X,X
ITZLSOJ,O,O,X,O,X,O,X,X,X,O,X,X,X
ITZLOJS,O,X,X,O,X,O,X,X,X,O,X,X,X
ITZLOSJ,O,X,X,O,X,O,X,X,X,O,X,X,X
ITZJLSO,O,O,X,O,X,O,X,X,X,O,X,X,X
ITZJLOS,O,X,X,O,X,O,X,X,X,O,X,X,X
ITZJSLO,O,O,X,O,X,X,X,X,X,O,O,O,X
ITZJSOL,O,O,X,O,X,X,X,X,X,O,O,X,X
ITZJOLS,O,X,X,X,X,O,X,X,X,O,X,X,X
ITZJOSL,O,X,X,O,X,X,X,X,X,O,O,X,X
ITZSLJO,O,O,X,O,X,X,X,X,X,O,O,O,X
ITZSLOJ,O,O,X,O,X,X,X,X,X,O,O,X,X
ITZSJLO,O,O,X,O,X,X,X,X,X,O,O,O,X
ITZSJOL,O,O,X,O,X,X,X,X,X,O,O,X,X
ITZSOLJ,O,X,X,O,X,X,X,X,X,O,O,X,X
ITZSOJL,O,O,X,O,X,X,X,X,X,O,O,X,X
ITZOLJS,O,X,X,X,X,O,X,X,X,O,X,X,X
ITZOLSJ,O,X,X,X,X,O,X,X,X,O,X,X,X
ITZOJLS,O,X,X,X,X,O,X,X,X,O,X,X,X
ITZOJSL,O,X,X,O,X,X,X,X,X,O,O,X,X
ITZOSLJ,O,X,X,O,X,X,X,X,X,O,O,X,X
ITZOSJL,O,X,X,O,X,X,X,X,X,O,O,X,X
ITOLJSZ,O,X,O,X,O,O,O,O,O,X,O,O,X
ITOLJZS,O,X,O,X,O,O,O,O,O,O,X,X,O
ITOLSJZ,O,O,O,X,O,O,O,O,O,X,O,O,X
ITOLSZJ,O,O,O,X,X,O,O,X,O,O,O,O,X
ITOLZJS,O,O,O,X,X,O,O,O,X,O,X,X,O
ITOLZSJ,O,O,O,X,X,O,O,X,X,O,X,X,O
ITOJLSZ,O,X,O,X,O,O,O,O,O,X,O,O,X
ITOJLZS,O,X,O,X,O,O,O,O,O,O,X,X,O
ITOJSLZ,O,X,X,X,O,X,O,X,O,X,O,O,X
ITOJSZL,O,X,X,X,O,X,X,X,X,X,O,O,X
ITOJZLS,X,X,O,X,O,O,X,O,O,O,X,X,O
ITOJZSL,O,X,O,X,O,X,X,O,X,O,O,O,O
ITOSLJZ,O,O,X,X,O,X,O,X,X,X,O,O,X
ITOSLZJ,O,O,X,X,X,X,O,X,X,O,O,O,X
ITOSJLZ,O,X,X,X,O,X,O,X,X,X,O,O,X
ITOSJZL,O,O,X,X,O,X,X,X,X,X,O,O,X
ITOSZLJ,X,O,X,X,X,X,X,X,X,O,O,O,X
ITOSZJL,O,O,X,X,X,X,X,X,X,O,O,O,X
ITOZLJS,X,O,O,X,X,O,O,X,X,O,X,X,O
ITOZLSJ,X,O,O,X,X,O,O,X,X,O,X,X,O
ITOZJLS,X,O,O,X,X,O,X,X,X,O,X,X,O
ITOZJSL,O,O,O,X,X,X,X,X,X,O,O,O,O
ITOZSLJ,X,O,X,X,X,X,X,X,X,O,O,O,O
ITOZSJL,O,O,O,X,X,X,X,X,X,O,O,O,O
ILTJSZO,X,X,O,O,X,X,O,O,O,X,O,X,X
ILTJSOZ,X,X,X,X,O,O,O,O,O,X,O,X,X
ILTJZSO,O,X,X,O,X,O,O,O,O,O,X,X,X
ILTJZOS,X,X,X,X,O,O,O,O,O,O,X,X,X
ILTJOSZ,O,X,X,X,O,O,O,O,O,X,O,X,X
ILTJOZS,X,X,O,X,O,O,O,O,O,O,X,X,X
ILTSJZO,X,X,O,O,O,X,O,O,O,X,O,X,X
ILTSJOZ,X,X,X,X,O,O,O,O,O,X,O,X,X
ILTSZJO,X,O,O,O,X,O,O,X,X,O,O,X,X
ILTSZOJ,X,X,O,O,X,O,O,X,O,O,O,X,X
ILTSOJZ,X,X,O,X,O,O,O,O,O,X,O,X,X
ILTSOZJ,X,X,O,X,X,O,O,X,O,O,O,X,X
ILTZJSO,O,X,X,O,X,O,O,O,X,O,X,X,X
ILTZJOS,X,X,X,X,X,O,O,O,X,O,X,X,X
ILTZSJO,O,X,X,O,X,O,O,X,X,O,X,X,X
ILTZSOJ,X,X,X,O,X,O,X,X,X,O,X,X,X
ILTZOJS,X,X,X,X,X,O,O,O,X,O,X,X,X
ILTZOSJ,X,X,X,X,X,O,O,X,X,O,X,X,X
ILTOJSZ,O,X,X,X,O,O,O,O,O,X,O,X,X
ILTOJZS,X,X,O,X,O,O,O,O,O,O,X,X,X
ILTOSJZ,O,X,X,X,O,O,O,O,O,X,O,X,X
ILTOSZJ,X,X,X,X,X,O,O,X,O,O,O,X,X
ILTOZJS,X,X,O,X,X,O,O,O,X,O,X,X,X
ILTOZSJ,X,X,X,X,X,O,O,X,X,O,X,X,X
ILJTSZO,X,X,O,O,X,X,X,O,O,X,O,X,X
ILJTSOZ,X,X,X,X,O,O,X,O,O,X,O,X,X
ILJTZSO,O,X,X,O,X,O,O,O,O,O,X,X,X
ILJTZOS,X,X,X,X,O,O,O,O,O,O,X,X,X
ILJTOSZ,O,X,X,X,O,O,X,O,O,X,O,X,X
ILJTOZS,X,X,O,X,O,O,X,O,O,O,X,X,X
ILJSTZO,X,X,O,O,O,X,X,O,O,X,O,X,X
ILJSTOZ,X,X,X,X,O,O,X,O,O,X,O,X,X
ILJSZTO,O,O,O,O,O,X,X,O,O,X,O,X,X
ILJSZOT,O,O,O,O,X,X,X,X,X,X,X,X,X
ILJSOTZ,O,X,O,X,O,X,X,X,O,X,O,X,X
ILJSOZT,O,X,O,O,X,X,X,X,X,X,X,X,X
ILJZTSO,O,X,X,O,X,O,O,O,O,O,X,X,X
ILJZTOS,X,X,X,X,O,O,O,O,O,O,X,X,X
ILJZSTO,O,O,O,O,X,O,O,O,O,O,X,X,X
ILJZSOT,O,O,O,O,X,X,O,X,X,X,X,X,X
ILJZOTS,O,X,O,X,X,O,X,O,X,O,X,X,X
ILJZOST,O,X,O,O,X,X,X,X,X,X,X,X,X
ILJOTSZ,O,X,X,X,O,O,X,O,O,X,X,X,X
ILJOTZS,X,X,O,X,O,O,X,O,O,X,X,X,X
ILJOSTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ILJOSZT,O,X,O,O,X,X,X,X,X,X,X,X,X
ILJOZTS,X,X,O,X,X,X,X,O,X,X,X,X,X
ILJOZST,O,X,O,O,X,X,X,X,X,X,X,X,X
ILSTJZO,X,X,O,O,O,X,X,O,O,X,O,X,X
ILSTJOZ,X,X,X,X,O,O,X,O,O,X,O,X,X
ILSTZJO,X,O,O,O,X,O,O,X,X,O,O,X,X
ILSTZOJ,X,X,O,O,X,O,X,X,O,O,O,X,X
ILSTOJZ,X,X,O,X,O,O,X,O,O,X,O,X,X
ILSTOZJ,X,X,O,X,X,O,X,X,O,O,O,X,X
ILSJTZO,X,X,O,O,O,X,X,O,O,X,O,X,X
ILSJTOZ,X,X,X,X,O,O,X,O,O,X,O,X,X
ILSJZTO,O,O,O,O,O,X,O,O,O,X,O,X,X
ILSJZOT,O,O,O,O,X,X,O,X,X,X,X,X,X
ILSJOTZ,O,X,O,X,O,X,X,X,O,X,O,X,X
ILSJOZT,O,X,O,O,X,X,O,X,X,X,X,X,X
ILSZTJO,O,O,O,O,X,O,O,X,X,O,O,X,X
ILSZTOJ,X,X,O,O,X,O,X,X,O,O,O,X,X
ILSZJTO,O,O,O,O,O,O,O,X,X,O,O,X,X
ILSZJOT,O,O,O,O,X,X,O,X,X,X,X,X,X
ILSZOTJ,X,X,O,O,X,X,O,X,X,X,X,X,X
ILSZOJT,O,O,O,O,X,X,O,X,X,X,X,X,X
ILSOTJZ,O,X,O,X,X,X,X,X,O,X,O,X,X
ILSOTZJ,X,X,O,X,X,X,X,X,O,X,O,X,X
ILSOJTZ,O,X,O,X,O,X,X,X,X,X,O,X,X
ILSOJZT,O,X,O,O,X,X,O,X,X,X,X,X,X
ILSOZTJ,X,X,O,O,X,X,O,X,X,X,X,X,X
ILSOZJT,O,O,O,O,X,X,O,X,X,X,X,X,X
ILZTJSO,O,X,X,O,X,O,O,O,X,O,X,X,X
ILZTJOS,X,X,X,X,X,O,O,O,X,O,X,X,X
ILZTSJO,O,X,X,O,X,O,O,X,X,O,X,X,X
ILZTSOJ,X,X,X,O,X,O,X,X,X,O,X,X,X
ILZTOJS,X,X,X,X,X,O,O,O,X,O,X,X,X
ILZTOSJ,X,X,X,X,X,O,O,X,X,O,X,X,X
ILZJTSO,O,X,X,O,X,O,O,O,X,O,X,X,X
ILZJTOS,X,X,X,X,O,O,O,O,X,O,X,X,X
ILZJSTO,O,O,O,O,X,O,O,O,X,O,X,X,X
ILZJSOT,O,O,O,O,X,X,O,X,X,X,X,X,X
ILZJOTS,O,X,O,X,X,O,X,O,X,O,X,X,X
ILZJOST,O,X,O,O,X,X,X,X,X,X,X,X,X
ILZSTJO,O,O,O,O,X,O,O,X,X,O,X,X,X
ILZSTOJ,X,X,O,O,X,O,X,X,X,O,X,X,X
ILZSJTO,O,O,O,O,O,O,O,X,X,O,X,X,X
ILZSJOT,O,O,O,O,X,X,O,X,X,X,X,X,X
ILZSOTJ,X,X,O,O,X,X,O,X,X,X,X,X,X
ILZSOJT,O,O,O,O,X,X,O,X,X,X,X,X,X
ILZOTJS,O,X,O,X,X,O,O,X,X,O,X,X,X
ILZOTSJ,O,X,X,X,X,O,O,X,X,O,X,X,X
ILZOJTS,O,X,O,X,X,O,O,X,X,O,X,X,X
ILZOJST,O,X,O,O,X,X,O,X,X,X,X,X,X
ILZOSTJ,O,X,X,O,X,X,O,X,X,X,X,X,X
ILZOSJT,O,X,O,O,X,X,O,X,X,X,X,X,X
ILOTJSZ,O,X,X,X,X,O,O,O,X,X,X,X,X
ILOTJZS,X,X,O,X,X,O,O,O,X,O,X,X,X
ILOTSJZ,O,X,X,X,X,O,O,O,X,X,X,X,X
ILOTSZJ,X,X,X,X,X,O,O,X,X,O,X,X,X
ILOTZJS,X,X,O,X,X,O,O,O,X,O,X,X,X
ILOTZSJ,X,X,X,X,X,O,O,X,X,O,X,X,X
ILOJTSZ,O,X,X,X,O,O,X,O,X,X,X,X,X
ILOJTZS,X,X,O,X,O,O,O,O,X,X,X,X,X
ILOJSTZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILOJSZT,O,X,O,O,X,X,X,X,X,X,X,X,X
ILOJZTS,X,X,O,X,X,X,O,O,X,X,X,X,X
ILOJZST,O,X,O,O,X,X,O,X,X,X,X,X,X
ILOSTJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
ILOSTZJ,X,O,O,X,X,X,O,X,X,X,X,X,X
ILOSJTZ,O,X,O,X,O,X,X,X,X,X,X,X,X
ILOSJZT,O,O,O,O,X,X,O,X,X,X,X,X,X
ILOSZTJ,X,O,O,O,X,X,O,X,X,X,X,X,X
ILOSZJT,O,O,O,O,X,X,O,X,X,X,X,X,X
ILOZTJS,X,X,O,X,X,O,O,X,X,O,X,X,X
ILOZTSJ,X,X,X,X,X,O,O,X,X,O,X,X,X
ILOZJTS,X,X,O,X,X,O,O,X,X,O,X,X,X
ILOZJST,O,O,O,O,X,X,O,X,X,X,X,X,X
ILOZSTJ,X,O,X,O,X,X,O,X,X,X,X,X,X
ILOZSJT,O,O,O,O,X,X,O,X,X,X,X,X,X
IJTLSZO,O,X,O,O,O,X,X,O,O,X,O,X,X
IJTLSOZ,O,X,O,O,O,O,X,O,O,X,O,X,X
IJTLZSO,O,O,O,O,X,X,X,O,O,O,X,X,X
IJTLZOS,O,X,O,O,O,O,X,O,O,O,X,X,X
IJTLOSZ,O,X,O,O,O,O,X,O,O,X,O,X,X
IJTLOZS,O,X,O,O,O,O,X,O,O,O,X,X,X
IJTSLZO,X,X,O,O,O,X,X,X,O,X,O,X,X
IJTSLOZ,X,X,O,O,O,X,X,X,O,X,O,X,X
IJTSZLO,X,X,O,O,O,X,X,X,X,X,O,X,X
IJTSZOL,X,X,O,O,O,X,X,X,X,X,O,X,X
IJTSOLZ,X,X,X,X,O,X,X,X,O,X,O,X,X
IJTSOZL,X,X,X,X,O,X,X,X,X,X,O,X,X
IJTZLSO,O,O,X,O,X,O,X,O,O,O,X,X,X
IJTZLOS,O,X,X,O,O,O,X,O,O,O,X,X,X
IJTZSLO,O,O,X,O,O,X,X,O,X,O,O,X,X
IJTZSOL,O,O,X,O,O,X,X,O,X,O,O,X,X
IJTZOLS,O,X,X,X,O,O,X,O,O,O,X,X,X
IJTZOSL,O,X,X,O,O,X,X,O,X,O,O,X,X
IJTOLSZ,O,X,O,X,O,O,X,O,O,X,O,X,X
IJTOLZS,O,X,O,X,O,O,X,O,O,O,X,X,X
IJTOSLZ,O,X,X,X,O,X,X,X,O,X,O,X,X
IJTOSZL,O,X,X,X,O,X,X,X,X,X,O,X,X
IJTOZLS,X,X,O,X,O,O,X,O,O,O,X,X,X
IJTOZSL,O,X,O,X,O,X,X,O,X,O,O,X,X
IJLTSZO,X,X,O,O,O,X,X,O,O,X,O,X,X
IJLTSOZ,X,X,X,X,O,O,X,O,O,X,O,X,X
IJLTZSO,O,X,X,O,X,X,X,O,O,O,X,X,X
IJLTZOS,X,X,X,X,O,O,X,O,O,O,X,X,X
IJLTOSZ,O,X,X,X,O,O,X,O,O,X,O,X,X
IJLTOZS,X,X,O,X,O,O,X,O,O,O,X,X,X
IJLSTZO,X,X,O,O,O,X,X,O,O,X,O,X,X
IJLSTOZ,X,X,X,X,O,O,X,O,O,X,O,X,X
IJLSZTO,O,X,O,O,O,X,X,O,O,X,O,X,X
IJLSZOT,O,X,O,O,X,X,X,X,X,X,X,X,X
IJLSOTZ,O,X,X,X,O,X,X,X,O,X,O,X,X
IJLSOZT,O,X,O,O,X,X,X,X,X,X,X,X,X
IJLZTSO,O,X,X,O,X,X,X,O,O,O,X,X,X
IJLZTOS,X,X,X,X,O,O,X,O,O,O,X,X,X
IJLZSTO,O,O,O,O,X,X,X,O,O,O,X,X,X
IJLZSOT,O,O,O,O,X,X,X,X,X,X,X,X,X
IJLZOTS,O,X,O,X,X,X,X,O,X,O,X,X,X
IJLZOST,O,X,O,O,X,X,X,X,X,X,X,X,X
IJLOTSZ,O,X,X,X,O,O,X,O,O,X,X,X,X
IJLOTZS,X,X,O,X,O,O,X,O,O,X,X,X,X
IJLOSTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
IJLOSZT,O,X,O,O,X,X,X,X,X,X,X,X,X
IJLOZTS,X,X,O,X,X,X,X,O,X,X,X,X,X
IJLOZST,O,X,O,O,X,X,X,X,X,X,X,X,X
IJSTLZO,X,X,O,O,O,X,X,X,O,X,O,X,X
IJSTLOZ,X,X,O,O,O,X,X,X,O,X,O,X,X
IJSTZLO,X,X,O,O,O,X,X,X,X,X,O,X,X
IJSTZOL,X,X,O,O,O,X,X,X,X,X,O,X,X
IJSTOLZ,X,X,X,X,O,X,X,X,O,X,O,X,X
IJSTOZL,X,X,X,X,O,X,X,X,X,X,O,X,X
IJSLTZO,X,X,O,O,O,X,X,X,O,X,O,X,X
IJSLTOZ,X,X,X,X,O,X,X,X,O,X,O,X,X
IJSLZTO,X,X,O,O,O,X,X,X,O,X,O,X,X
IJSLZOT,X,X,O,O,X,X,X,X,X,X,X,X,X
IJSLOTZ,X,X,X,X,O,X,X,X,O,X,O,X,X
IJSLOZT,X,X,O,O,X,X,X,X,X,X,X,X,X
IJSZTLO,X,X,O,O,O,X,X,X,X,X,O,X,X
IJSZTOL,X,X,O,O,O,X,X,X,X,X,O,X,X
IJSZLTO,X,X,O,O,O,X,X,X,X,X,O,X,X
IJSZLOT,X,X,O,O,X,X,X,X,X,X,X,X,X
IJSZOTL,X,X,O,O,X,X,X,X,X,X,X,X,X
IJSZOLT,X,X,O,O,X,X,X,X,X,X,X,X,X
IJSOTLZ,X,X,X,X,O,X,X,X,X,X,O,X,X
IJSOTZL,X,X,X,X,O,X,X,X,X,X,O,X,X
IJSOLTZ,X,X,X,X,O,X,X,X,X,X,O,X,X
IJSOLZT,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSOZTL,X,X,X,X,X,X,X,X,X,X,X,X,X
IJSOZLT,X,X,X,X,X,X,X,X,X,X,X,X,X
IJZTLSO,O,O,X,O,X,O,X,O,O,O,X,X,X
IJZTLOS,O,X,X,O,O,O,X,O,O,O,X,X,X
IJZTSLO,O,O,X,O,O,X,X,O,X,O,O,X,X
IJZTSOL,O,O,X,O,O,X,X,O,X,O,O,X,X
IJZTOLS,O,X,X,X,O,O,X,O,O,O,X,X,X
IJZTOSL,O,X,X,O,O,X,X,O,X,O,O,X,X
IJZLTSO,O,X,X,O,X,O,X,O,O,O,X,X,X
IJZLTOS,X,X,X,X,O,O,X,O,O,O,X,X,X
IJZLSTO,O,O,X,O,X,O,X,O,O,O,X,X,X
IJZLSOT,O,O,X,O,X,X,X,X,X,X,X,X,X
IJZLOTS,O,X,X,X,X,O,X,O,X,O,X,X,X
IJZLOST,O,X,X,O,X,X,X,X,X,X,X,X,X
IJZSTLO,O,O,X,O,O,X,X,O,X,O,O,X,X
IJZSTOL,O,O,X,O,O,X,X,O,X,O,O,X,X
IJZSLTO,O,O,X,O,O,X,X,O,X,O,O,X,X
IJZSLOT,O,O,X,O,X,X,X,X,X,X,X,X,X
IJZSOTL,O,O,X,O,X,X,X,X,X,X,X,X,X
IJZSOLT,O,O,X,O,X,X,X,X,X,X,X,X,X
IJZOTLS,O,X,X,X,X,X,X,O,X,O,X,X,X
IJZOTSL,O,X,X,X,X,X,X,O,X,O,X,X,X
IJZOLTS,O,X,X,X,X,X,X,O,X,O,X,X,X
IJZOLST,O,X,X,X,X,X,X,X,X,X,X,X,X
IJZOSTL,O,X,X,O,X,X,X,X,X,X,X,X,X
IJZOSLT,O,X,X,O,X,X,X,X,X,X,X,X,X
IJOTLSZ,O,X,O,X,O,X,X,X,O,X,O,X,X
IJOTLZS,O,X,O,X,O,X,X,X,O,X,X,X,X
IJOTSLZ,O,X,X,X,O,X,X,X,O,X,O,X,X
IJOTSZL,O,X,X,X,O,X,X,X,X,X,O,X,X
IJOTZLS,X,X,O,X,O,X,X,X,O,X,X,X,X
IJOTZSL,O,X,O,X,O,X,X,X,X,X,O,X,X
IJOLTSZ,O,X,X,X,O,X,X,X,O,X,X,X,X
IJOLTZS,X,X,O,X,O,X,X,X,O,X,X,X,X
IJOLSTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
IJOLSZT,O,X,O,X,X,X,X,X,X,X,X,X,X
IJOLZTS,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOLZST,O,X,O,X,X,X,X,X,X,X,X,X,X
IJOSTLZ,O,X,X,X,O,X,X,X,X,X,O,X,X
IJOSTZL,O,X,X,X,O,X,X,X,X,X,O,X,X
IJOSLTZ,O,X,X,X,O,X,X,X,X,X,O,X,X
IJOSLZT,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOSZTL,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOSZLT,O,X,X,X,X,X,X,X,X,X,X,X,X
IJOZTLS,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOZTSL,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOZLTS,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOZLST,X,X,O,X,X,X,X,X,X,X,X,X,X
IJOZSTL,O,X,O,X,X,X,X,X,X,X,X,X,X
IJOZSLT,O,X,O,X,X,X,X,X,X,X,X,X,X
ISTLJZO,X,O,O,O,O,X,X,X,X,X,O,O,X
ISTLJOZ,X,X,O,O,O,X,X,X,X,X,O,O,X
ISTLZJO,X,O,O,O,X,X,X,X,X,O,O,O,X
ISTLZOJ,X,O,O,O,X,X,X,X,X,O,O,X,X
ISTLOJZ,X,X,O,O,O,X,X,X,X,X,O,O,X
ISTLOZJ,X,O,O,O,X,X,X,X,X,O,O,X,X
ISTJLZO,X,X,O,O,O,X,X,X,X,X,O,O,X
ISTJLOZ,X,X,O,O,O,X,X,X,X,X,O,O,X
ISTJZLO,X,O,O,O,O,X,X,X,X,X,O,O,X
ISTJZOL,X,O,O,O,O,X,X,X,X,X,O,X,X
ISTJOLZ,X,X,X,X,O,X,X,X,X,X,O,O,X
ISTJOZL,X,X,X,X,O,X,X,X,X,X,O,X,X
ISTZLJO,X,O,O,O,X,X,X,X,X,O,O,O,X
ISTZLOJ,X,O,O,O,X,X,X,X,X,O,O,X,X
ISTZJLO,X,O,O,O,X,X,X,X,X,O,O,O,X
ISTZJOL,X,O,O,O,X,X,X,X,X,O,O,X,X
ISTZOLJ,X,X,O,O,X,X,X,X,X,O,O,X,X
ISTZOJL,X,O,O,O,X,X,X,X,X,O,O,X,X
ISTOLJZ,X,X,O,X,O,X,X,X,X,X,O,O,X
ISTOLZJ,X,X,O,X,X,X,X,X,X,O,O,X,X
ISTOJLZ,X,X,O,X,O,X,X,X,X,X,O,O,X
ISTOJZL,X,X,O,X,O,X,X,X,X,X,O,X,X
ISTOZLJ,X,X,O,X,X,X,X,X,X,O,O,X,X
ISTOZJL,X,O,O,X,X,X,X,X,X,O,O,X,X
ISLTJZO,X,X,O,O,O,X,X,X,X,X,O,O,X
ISLTJOZ,X,X,X,X,O,X,X,X,X,X,O,O,X
ISLTZJO,X,O,O,O,X,X,X,X,X,O,O,O,X
ISLTZOJ,X,X,O,O,X,X,X,X,X,O,O,X,X
ISLTOJZ,X,X,O,X,O,X,X,X,X,X,O,O,X
ISLTOZJ,X,X,O,X,X,X,X,X,X,O,O,X,X
ISLJTZO,X,X,O,O,O,X,X,X,X,X,O,X,X
ISLJTOZ,X,X,X,X,O,X,X,X,X,X,O,X,X
ISLJZTO,X,O,O,O,O,X,O,X,X,X,O,X,X
ISLJZOT,X,O,O,O,X,X,O,X,X,X,X,X,X
ISLJOTZ,X,X,O,X,O,X,X,X,X,X,O,X,X
ISLJOZT,X,X,O,O,X,X,O,X,X,X,X,X,X
ISLZTJO,X,O,O,O,X,X,O,X,X,O,O,X,X
ISLZTOJ,X,X,O,O,X,X,X,X,X,O,O,X,X
ISLZJTO,X,O,O,O,O,X,O,X,X,O,O,X,X
ISLZJOT,X,O,O,O,X,X,O,X,X,X,X,X,X
ISLZOTJ,X,X,O,O,X,X,O,X,X,X,X,X,X
ISLZOJT,X,O,O,O,X,X,O,X,X,X,X,X,X
ISLOTJZ,X,X,O,X,X,X,X,X,X,X,O,X,X
ISLOTZJ,X,X,O,X,X,X,X,X,X,X,O,X,X
ISLOJTZ,X,X,O,X,O,X,X,X,X,X,O,X,X
ISLOJZT,X,X,O,O,X,X,O,X,X,X,X,X,X
ISLOZTJ,X,X,O,O,X,X,O,X,X,X,X,X,X
ISLOZJT,X,O,O,O,X,X,O,X,X,X,X,X,X
ISJTLZO,X,X,O,O,O,X,X,X,X,X,O,X,X
ISJTLOZ,X,X,O,O,O,X,X,X,X,X,O,X,X
ISJTZLO,X,X,O,O,O,X,X,X,X,X,O,X,X
ISJTZOL,X,X,O,O,O,X,X,X,X,X,O,X,X
ISJTOLZ,X,X,X,X,O,X,X,X,X,X,O,X,X
ISJTOZL,X,X,X,X,O,X,X,X,X,X,O,X,X
ISJLTZO,X,X,O,O,O,X,X,X,X,X,O,X,X
ISJLTOZ,X,X,X,X,O,X,X,X,X,X,O,X,X
ISJLZTO,X,X,O,O,O,X,O,X,X,X,O,X,X
ISJLZOT,X,X,O,O,X,X,O,X,X,X,X,X,X
ISJLOTZ,X,X,X,X,O,X,X,X,X,X,O,X,X
ISJLOZT,X,X,O,O,X,X,O,X,X,X,X,X,X
ISJZTLO,X,O,O,O,O,X,O,X,X,X,O,X,X
ISJZTOL,X,O,O,O,O,X,X,X,X,X,O,X,X
ISJZLTO,X,O,O,O,O,X,O,X,X,X,O,X,X
ISJZLOT,X,O,O,O,X,X,O,X,X,X,X,X,X
ISJZOTL,X,O,O,O,X,X,X,X,X,X,X,X,X
ISJZOLT,X,O,O,O,X,X,O,X,X,X,X,X,X
ISJOTLZ,X,X,X,X,O,X,X,X,X,X,O,X,X
ISJOTZL,X,X,X,X,O,X,X,X,X,X,O,X,X
ISJOLTZ,X,X,X,X,O,X,X,X,X,X,O,X,X
ISJOLZT,X,X,X,X,X,X,O,X,X,X,X,X,X
