sequence,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGGgBZmBtmB0iB6o?B/qBzsB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGalBtlB0hBxiBGo?BXrBzsB,v115@RhA8EeA8CeC8BeB8BeA8Je2EJvhGRgB3hB9oBSqB0n?BXrBzsB,v115@RhA8EeA8CeC8BeB8BeA8Jem/IvhGRhB3iB9oB0kBCm?BXrBzsB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGRgBtmBXjBTlBer?BctB6sB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGRgBumB9nBTjByq?BXtB0qB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGRgBtmB0iB2qBSt?BzqBXtB,v115@RhA8EeA8CeC8BeB8BeA8Jem/IvhGRhB9nBTjB0kBCm?BXrBXtB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGalBRhB9nBTjBuq?BcrBXtB
STSIZOLJ,X,X,X,X,X,X,X,X,X
STSIZOJL,X,X,X,X,X,X,X,O,X
STSIOLJZ,O,X,X,X,X,O,X,X,X
STSIOLZJ,O,X,X,X,X,X,X,O,O
STSIOJLZ,O,X,X,X,X,O,X,X,X
STSIOJZL,O,X,X,X,X,X,X,X,X
STSIOZLJ,O,X,X,X,X,X,X,X,X
STSIOZJL,O,X,X,X,X,X,X,O,X
STSLIJZO,O,X,O,X,X,X,X,X,X
STSLIJOZ,X,X,X,X,X,O,X,X,X
STSLIZJO,O,X,O,O,X,X,X,O,X
STSLIZOJ,X,X,X,X,X,X,X,O,X
STSLIOJZ,X,X,X,X,X,O,X,X,X
STSLIOZJ,X,X,X,X,X,X,X,O,O
STSLJIZO,O,O,O,X,X,X,X,X,X
STSLJIOZ,X,X,X,X,X,O,X,X,X
STSLJZIO,O,O,O,X,X,O,X,X,X
STSLJZOI,X,O,O,X,X,O,X,X,X
STSLJOIZ,X,X,X,X,X,O,X,X,X
STSLJOZI,X,X,X,X,X,O,X,X,X
STSLZIJO,O,O,O,O,X,X,X,O,X
STSLZIOJ,X,O,X,X,X,X,X,O,O
STSLZJIO,O,O,O,O,X,X,X,O,O
STSLZJOI,X,O,O,X,X,X,X,O,O
STSLZOIJ,X,O,X,X,X,X,X,O,O
STSLZOJI,X,O,X,X,X,X,X,O,O
STSLOIJZ,X,X,X,X,X,O,X,X,X
STSLOIZJ,X,X,X,X,X,X,X,O,O
STSLOJIZ,X,O,X,X,X,O,X,X,X
STSLOJZI,X,O,X,X,X,O,X,X,X
STSLOZIJ,X,O,X,X,X,X,X,O,O
STSLOZJI,X,O,X,X,X,X,X,O,O
STSJILZO,O,O,X,X,X,X,X,X,X
STSJILOZ,X,X,X,X,X,X,X,X,X
STSJIZLO,O,O,X,X,X,X,X,X,X
STSJIZOL,X,X,X,X,X,X,X,X,X
STSJIOLZ,O,X,X,X,X,O,X,X,X
STSJIOZL,O,X,X,X,X,X,X,X,X
STSJLIZO,O,O,O,X,X,X,X,X,X
STSJLIOZ,X,X,X,X,X,O,X,X,X
STSJLZIO,O,O,O,X,X,O,X,X,X
STSJLZOI,X,O,O,X,X,O,X,X,X
STSJLOIZ,X,X,X,X,X,O,X,X,X
STSJLOZI,X,X,X,X,X,O,X,X,X
