sequence,v115@vhHT/IfnB0iBypBGtBxuBRxBFrB,v115@vhHXAJ8lBTjBWtBipBRvBxxBlrB,v115@vhHT/IGiBypBUnB/tBxuBRxBFrB,v115@vhHiAJTjBcpB3lBWtBRvBxxBlrB,v115@vhH0/ICiB2pBTnB/tBxuBRxBFrB,v115@vhHmAJXjBcpBTlBStBRvBxxBlrB,v115@vhHaFJfnB0iBTkBGtBxuBRxBFrB,v115@vhHXAJ8lBunBToBipBRvBxxBlrB,v115@vhHaFJGiBTkBUnB/tBxuBRxBFrB,v115@vhHiAJunBcpB3lBToBRvBxxBlrB,v115@vhHcEJelBCiBTnB/tBxuBRxBFrB,v115@vhHmAJqnB/oBcpBTlBRvBxxBlrB,v115@vhHPHJ0gBToBqsBxqB2uBRwBlkB,v115@vhH8FJXiBTkBeqBxrBSyBRwBFoB,v115@vhHy/IclB+nBTkB/tBxuBRxBFrB,v115@vhHWDJKlB/nBcpBToBRvBxxBlrB,v115@vhHfDJ5jBzkBqqB0nB2uBxxBlrB,v115@vhHZ/I8fBXlBesBznBSyBxuBFrB,v115@vhHc/I5oBxmBetBTpB3qBCsBFlB,v115@vhH/DJZkBqpBxlBmqBUsBTtBlnB,v115@vhHs/IZkBStBRnB2xBXrBzpBllB,v115@vhHfDJ5oB2pBRlBSvB0rBzsBFnB,v115@vhH2BJxkByqBfsBctBTpBxvBlnB,v115@vhHSBJ/pB8qBWsBxnBTtBxwBFlB,v115@vhHxAJ/oBTkBilBGrBUtBRvBFnB,v115@vhHcEJxhBGnBToB3pBirBRxBllB,v115@vhHRPJTkBGrBilBUtBpjBPjBFnB,v115@vhHRRJToBirBGnB3pBJfB8fBllB,v115@vhHxQJRrBMtB3hBTpBKfBOqBlnB,v115@vhHxPJRrB/pBUhBTtB+jB6sBFlB,v115@vhHxPJpoBetBTpBKfBXmBMlBFsB,v115@vhHxQJJkBqpBTtB+jB0mB/nBlqB,v115@vhHxOJTkBMlBSyBXsBmnBpeBFrB,v115@vhHxRJToB/nB2uB0qBClBJaBlrB
IJZLSIOT,O,O,O,X,O,O,O,O,O,X,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O
IJZLSOTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O
IJZLSOIT,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O
IJZLOTIS,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,O,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O
IJZLOTSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,O,O,O,X,O,X,X,X,O,O,O,O
IJZLOITS,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,O,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O
IJZLOIST,O,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O
IJZLOSTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O
IJZLOSIT,O,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O
IJZSTILO,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O
IJZSTIOL,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,O
IJZSTLIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,O
IJZSTLOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,O
IJZSTOIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,O,X,X,O,X,X,O
IJZSTOLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,O,O,O,X,X,O,X,X,O
IJZSITLO,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O
IJZSITOL,X,X,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,O,O,O,X,O,X,X,O
IJZSILTO,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,O
IJZSILOT,O,X,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,O,O,O,X,O,O,X,O
IJZSIOTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,O,O,O,O,X,O,O,X,O
IJZSIOLT,O,X,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,O,O,O,X,O,O,X,O
IJZSLTIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,O,O
IJZSLTOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O,O,O,O,X,X,X,X,O,O
IJZSLITO,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,O,O
IJZSLIOT,O,X,O,O,O,X,O,X,O,O,O,O,O,O,X,X,O,O,O,O,O,X,O,O,O,O,O,O,X,X,O,O,O,O
IJZSLOTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,O,O,O,O,O,O,X,X,O,O,O,O
IJZSLOIT,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O,O,O,O,X,O,O,O,O,O,O,X,X,O,O,O,O
IJZSOTIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,O,O,X,X,O,O,X,O
IJZSOTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O
IJZSOITL,X,X,X,O,O,X,O,X,O,X,O,X,X,O,O,O,O,X,X,X,O,X,X,O,X,O,O,O,O,X,O,O,X,O
IJZSOILT,O,X,O,O,O,X,O,X,O,X,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,X,O
IJZSOLTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,O,O,O,O,O,O,X,X,O,O,O,O
IJZSOLIT,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O
IJZOTILS,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,O,X,O,O,X,O
IJZOTISL,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,O,X,O,O,X,O
IJZOTLIS,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,X,O,O,X,O,X,O,X,O,O,X,O
IJZOTLSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,O,O,X,O
IJZOTSIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,O,X,O
IJZOTSLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,O,O,X,O
IJZOITLS,X,O,X,X,O,O,O,X,O,X,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,X,O,X,O,X,O,O,X,O
IJZOITSL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,X,O,X,O,X,O,O,X,O
IJZOILTS,O,O,O,X,O,O,O,X,O,X,O,O,O,O,O,O,O,X,O,O,O,X,O,O,O,X,O,X,O,X,O,O,X,O
IJZOILST,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,O,O,O,O,O,X,O,X,O,O,X,O
IJZOISTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,O,O,X,O,X,O,O,X,O
IJZOISLT,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,O,O,O,O,O,X,O,X,O,O,X,O
IJZOLTIS,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,O,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O
IJZOLTSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,O,O,O,X,O,X,X,X,O,O,O,O
IJZOLITS,O,O,X,X,X,O,O,X,X,X,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O
IJZOLIST,O,O,X,O,X,O,O,X,X,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O
IJZOLSTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O
IJZOLSIT,O,O,X,X,X,X,O,X,X,X,X,X,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O
IJZOSTIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,O,O,X,X,O,O,X,O
IJZOSTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O
IJZOSITL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,O,O,O,O,X,O,O,X,O
IJZOSILT,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,X,O,O,X,O
IJZOSLTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O
IJZOSLIT,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O
IJOTILSZ,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,O
IJOTILZS,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O,O,O,X,O
IJOTISLZ,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,O
IJOTISZL,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,O
IJOTIZLS,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O,O,O,X,O
IJOTIZSL,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O,O,O,X,O
IJOTLISZ,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,O,X,O,X,X,O,O,O,O,X,O
IJOTLIZS,X,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O,X,O,O,O,X,X,O,O,X,X,X,O,O,O,O,X,O
IJOTLSIZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,O,X,O,O,O,X,O
IJOTLSZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,O,X,X,O,O,X,O
IJOTLZIS,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,X,O,O,X,O,X,O,X,O,O,X,O
IJOTLZSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,O,O,X,O
IJOTSILZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,O,X,O,O,O,X,O
IJOTSIZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,O,X,O,O,O,X,O
IJOTSLIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,O,X,O,O,O,X,O
IJOTSLZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,O,X,X,O,O,X,O
IJOTSZIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,O,O,X,O
IJOTSZLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,O,X,X,O,O,X,O
IJOTZILS,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,O,X,O,O,X,O
IJOTZISL,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,O,X,O,O,X,O
IJOTZLIS,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,X,O,O,X,O,X,O,X,O,O,X,O
IJOTZLSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,O,O,X,O
IJOTZSIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,O,X,O
IJOTZSLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,O,O,X,O
IJOITLSZ,X,O,X,X,O,O,O,O,X,X,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,O
IJOITLZS,X,O,X,X,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O,O,O,X,O
IJOITSLZ,X,X,X,O,O,X,O,X,X,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,O
IJOITSZL,X,X,X,O,O,X,O,X,X,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,O
IJOITZLS,X,O,X,X,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O,O,O,X,O
IJOITZSL,X,X,X,O,O,X,O,X,X,O,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,O,O,O,O,X,O
IJOILTSZ,O,O,X,X,O,O,O,O,X,X,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,O,X,X,O,O,O,O,X,O
IJOILTZS,O,O,X,X,O,O,O,O,X,X,O,O,O,O,O,O,O,X,O,O,O,X,O,O,O,X,X,X,O,O,O,O,X,O
IJOILSTZ,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IJOILSZT,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,X,O,O,O,O,O,X,O
IJOILZTS,O,O,X,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,X,O,O,O,X,O,X,O,O,O,O,X,O
IJOILZST,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,X,O,O,O,O,X,O
IJOISTLZ,X,X,X,O,O,X,O,X,X,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O,O,O,X,O
IJOISTZL,X,X,X,O,O,X,O,X,X,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O,O,O,X,O
IJOISLTZ,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IJOISLZT,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IJOISZTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,O,X,O,O,O,O,O,X,O
IJOISZLT,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IJOIZTLS,X,O,X,X,O,O,O,O,O,X,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,X,O,X,O,O,O,O,X,O
IJOIZTSL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,X,O,X,O,O,O,O,X,O
IJOIZLTS,O,O,X,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,X,O,O,O,X,O,X,O,O,O,O,X,O
IJOIZLST,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,O,O,O,O,O,X,O,O,O,O,X,O
IJOIZSTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O
IJOIZSLT,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,X,O,O,O,O,O,X,O,O,O,O,X,O
IJOLTISZ,O,O,X,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,O
IJOLTIZS,O,O,X,X,X,X,O,O,X,X,X,X,O,O,X,X,O,X,O,O,O,O,O,O,O,X,X,X,O,O,O,O,O,O
IJOLTSIZ,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O
IJOLTSZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,X,O,X,O,X,X,O,O,O,O
IJOLTZIS,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,O,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O
IJOLTZSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,O,O,O,X,O,X,X,X,O,O,O,O
IJOLITSZ,O,O,X,X,O,O,O,O,X,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,X,X,O,O,O,O,O,O
IJOLITZS,O,O,X,X,O,O,O,O,X,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,X,X,O,O,O,O,O,O
IJOLISTZ,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O
IJOLISZT,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O
IJOLIZTS,O,O,X,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,X,O,O,O,O,O,O
IJOLIZST,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O
IJOLSTIZ,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O
IJOLSTZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,X,O,X,O,X,X,O,O,O,O
IJOLSITZ,O,O,X,X,O,X,O,O,X,X,O,X,O,O,O,O,X,O,O,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O
IJOLSIZT,O,O,X,X,O,X,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O
IJOLSZTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O
IJOLSZIT,O,O,X,X,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
IJOLZTIS,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,O,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O
IJOLZTSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,O,O,O,X,O,X,X,X,O,O,O,O
IJOLZITS,O,O,X,X,X,O,O,O,X,X,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,X,O,O,O,O,O,O
IJOLZIST,O,O,X,O,X,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O
IJOLZSTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O
IJOLZSIT,O,O,X,X,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
IJOSTILZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,O,X,O,O,O,X,O
IJOSTIZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,O,X,O,O,O,X,O
IJOSTLIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O,X,O,X,O,X,O,O,O,X,O
IJOSTLZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O,X,O,X,O,X,X,O,O,X,O
IJOSTZIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,O,X,O,X,X,O,O,X,O
IJOSTZLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O,X,O,X,O,X,X,O,O,X,O
IJOSITLZ,X,X,X,O,O,X,O,X,X,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O,O,O,X,O
IJOSITZL,X,X,X,O,O,X,O,X,X,O,O,O,X,O,O,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O,O,O,X,O
IJOSILTZ,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,O,O,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IJOSILZT,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IJOSIZTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,O,X,O,O,O,O,O,X,O
IJOSIZLT,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,X,O,O,O,O,O,X,O
IJOSLTIZ,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O,O
IJOSLTZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,X,O,X,O,X,X,O,O,O,O
IJOSLITZ,X,O,X,X,O,X,O,O,X,X,O,X,O,O,O,O,X,O,O,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O
IJOSLIZT,X,O,X,X,O,X,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O
IJOSLZTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O
IJOSLZIT,X,O,X,X,X,X,O,O,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
IJOSZTIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,O,O,O,X,X,O,O,X,O
IJOSZTLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O
IJOSZITL,X,X,X,O,O,X,O,X,X,O,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,O,O,O,O,O,O,O,X,O
IJOSZILT,O,X,X,O,O,O,O,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O
IJOSZLTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,O,O,O
IJOSZLIT,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
IJOZTILS,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,O,X,O,O,X,O
IJOZTISL,X,X,X,O,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,O,X,O,O,X,O
IJOZTLIS,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,X,X,O,O,X,O,X,O,X,O,O,X,O
IJOZTLSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,O,O,X,O
IJOZTSIL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X,O,O,X,O
IJOZTSLI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,O,X,O,X,X,X,O,O,X,O
IJOZITLS,X,O,X,X,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,X,O,X,O,O,O,O,X,O
IJOZITSL,X,X,X,O,O,X,O,X,X,O,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,X,O,X,O,O,O,O,X,O
IJOZILTS,O,O,X,X,O,O,O,O,X,X,O,O,O,O,O,O,O,X,O,O,O,X,O,O,O,X,O,X,O,O,O,O,X,O
IJOZILST,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,O,X,O,O,O,X,O,O,O,O,O,X,O,O,O,O,X,O
IJOZISTL,X,X,X,O,O,X,O,X,X,O,O,O,X,O,O,O,O,X,X,X,O,X,X,O,X,O,O,X,O,O,O,O,X,O
IJOZISLT,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,O,X,O,O,O,X,O,O,O,O,O,X,O,O,O,O,X,O
IJOZLTIS,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,O,O,O,O,O,O,O,X,O,X,O,X,O,O,O,O
IJOZLTSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,O,O,O,X,O,X,X,X,O,O,O,O
IJOZLITS,O,O,X,X,X,O,O,O,X,X,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,X,O,X,O,O,O,O,O,O
IJOZLIST,O,O,X,O,X,O,O,O,X,O,X,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O
