sequence,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeOAJvhFXcBldBUiBS?qBTmBxvB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeT7IvhFicB3dBWnBV?qBUmBxvB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Jex7IvhFldBelBUiBC?mBTrB3qB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Je07IvhFlcB3dBelBz?lBCnBxvB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Je2AJvhFRdBcmBTiB3?gBFqBSwB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeyAJvhFRdBGiBXlBl?mBUrBTqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeyAJvhFzcBuiB0lBl?mBXlBxvB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeyAJvhF3dB5mBTgBU?iBerBFqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeKAJvhFzbB3dB5mBU?iBerBFqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeR9IvhF/lBTiB6rBF?mBUqBmqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Jex7IvhFuiBTgBihBF?qBXrB8rB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeyAJvhFUdB5mBTgB3?iBerBFqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JecBJvhFelB5lBXiBl?iBTrBiqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeuCJvhFxgBFqBXrB8?rBTqBirB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Je39IvhFelBChBxmBl?mBUrBTqB
JSITZLO,X,O,X,O,X,O,O,O,O,X,X,O,X,O,X
JSITZOL,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X
JSITOLZ,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X
JSITOZL,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JSILTZO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O
JSILTOZ,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X
JSILZTO,X,O,X,O,X,O,X,O,X,X,X,O,X,X,O
JSILZOT,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
JSILOTZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JSILOZT,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JSIZTLO,X,O,X,O,X,O,O,O,O,X,X,O,X,X,O
JSIZTOL,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JSIZLTO,X,O,X,O,X,X,O,O,X,X,X,O,X,X,O
JSIZLOT,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
JSIZOTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZOLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSIOTLZ,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JSIOTZL,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JSIOLTZ,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JSIOLZT,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O
JSIOZTL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JSIOZLT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSLTIZO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
JSLTIOZ,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X
JSLTZIO,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X
JSLTZOI,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
JSLTOIZ,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X
JSLTOZI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JSLITZO,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O
JSLITOZ,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X
JSLIZTO,X,O,X,O,X,O,X,O,X,X,X,O,X,X,O
JSLIZOT,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
JSLIOTZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JSLIOZT,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JSLZTIO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JSLZTOI,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSLZITO,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
JSLZIOT,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JSLZOTI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLZOIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSLOTIZ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLOTZI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLOITZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JSLOIZT,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JSLOZTI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSLOZIT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSZTILO,X,X,X,O,X,O,X,O,O,X,X,X,X,O,O
JSZTIOL,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
JSZTLIO,X,X,X,X,X,O,X,O,O,X,X,X,X,O,O
JSZTLOI,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X
JSZTOIL,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
JSZTOLI,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JSZITLO,X,O,X,O,X,O,X,O,O,X,X,X,X,X,O
JSZITOL,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
JSZILTO,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
JSZILOT,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JSZIOTL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZIOLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSZLTIO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JSZLTOI,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JSZLITO,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
JSZLIOT,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JSZLOTI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JSZLOIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSZOTIL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSZOTLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZOITL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JSZOILT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JSZOLTI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JSZOLIT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
JSOTILZ,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X
JSOTIZL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSOTLIZ,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X
JSOTLZI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JSOTZIL,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
JSOTZLI,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JSOITLZ,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JSOITZL,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JSOILTZ,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JSOILZT,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O
JSOIZTL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JSOIZLT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSOLTIZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JSOLTZI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JSOLITZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JSOLIZT,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X
JSOLZTI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JSOLZIT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSOZTIL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JSOZTLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZITL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JSOZILT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JSOZLTI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLIT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
JZTILSO,O,X,X,O,X,O,O,O,O,X,X,O,X,X,O
JZTILOS,O,X,O,O,X,O,O,X,O,X,X,O,X,X,X
JZTISLO,O,X,X,O,X,O,O,O,O,X,X,O,X,X,O
JZTISOL,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JZTIOLS,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X
JZTIOSL,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JZTLISO,O,X,X,X,X,O,X,O,O,X,X,O,X,X,O
JZTLIOS,X,X,O,X,X,O,X,X,O,X,X,O,X,X,X
JZTLSIO,O,X,X,X,X,O,X,O,O,X,X,X,X,X,O
JZTLSOI,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JZTLOIS,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X
JZTLOSI,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X
JZTSILO,O,X,X,O,X,O,X,O,O,X,X,X,X,O,O
JZTSIOL,O,X,O,O,X,O,X,X,X,X,X,X,X,O,X
JZTSLIO,O,X,X,X,X,O,X,O,O,X,X,X,X,O,O
JZTSLOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
JZTSOIL,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X
JZTSOLI,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JZTOILS,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JZTOISL,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZTOLIS,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JZTOLSI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JZTOSIL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTOSLI,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZITLSO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,O
JZITLOS,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X
JZITSLO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,O
JZITSOL,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JZITOLS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JZITOSL,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZILTSO,O,O,X,O,X,X,O,X,X,X,X,O,X,X,O
JZILTOS,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X
JZILSTO,O,O,X,O,X,X,O,O,X,X,X,O,X,X,O
JZILSOT,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O
JZILOTS,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X
JZILOST,O,X,X,O,X,X,X,X,X,X,X,O,X,X,O
JZISTLO,O,O,X,O,X,X,O,O,O,X,X,O,X,X,O
JZISTOL,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JZISLTO,O,O,X,O,X,X,O,O,X,X,X,O,X,X,O
JZISLOT,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
JZISOTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISOLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JZIOTLS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
JZIOTSL,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X
JZIOLTS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X
JZIOLST,O,X,O,O,X,X,X,X,X,O,X,O,O,X,O
JZIOSTL,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZIOSLT,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O
JZLTISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZLTIOS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLTSIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZLTSOI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTOIS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLTOSI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLITSO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O
JZLITOS,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X
JZLISTO,O,O,X,O,X,X,X,O,X,X,X,O,X,X,O
JZLISOT,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
JZLIOTS,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZLIOST,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O
JZLSTIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZLSTOI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLSITO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O
JZLSIOT,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JZLSOTI,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLSOIT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JZLOTIS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLOTSI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLOITS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLOIST,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O
JZLOSTI,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZLOSIT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O
JZSTILO,O,X,X,O,X,X,X,O,O,X,X,X,X,O,O
JZSTIOL,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X
JZSTLIO,O,X,X,X,X,X,X,O,O,X,X,X,X,O,O
JZSTLOI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JZSTOIL,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JZSTOLI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JZSITLO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,O
JZSITOL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSILTO,O,O,X,O,X,X,X,O,X,X,X,X,X,X,O
JZSILOT,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JZSIOTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSIOLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JZSLTIO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZSLTOI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZSLITO,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
JZSLIOT,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JZSLOTI,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZSLOIT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JZSOTIL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZSOTLI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSOITL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZSOILT,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
JZSOLTI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZSOLIT,X,X,O,X,X,X,X,X,X,O,X,X,O,X,O
JZOTILS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTISL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZOTLIS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTLSI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOTSIL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZOTSLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOITLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOITSL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZOILTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZOILST,X,X,O,O,X,X,X,X,X,O,X,X,O,X,O
JZOISTL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZOISLT,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
JZOLTIS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOLTSI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOLITS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOLIST,X,X,O,X,X,X,X,X,X,O,X,X,O,X,O
JZOLSTI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZOLSIT,X,X,O,X,X,X,X,X,X,O,X,X,O,X,O
JZOSTIL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JZOSTLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZOSITL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZOSILT,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
JZOSLTI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZOSLIT,X,X,O,X,X,X,X,X,X,O,X,X,O,X,O
JOTILSZ,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
JOTILZS,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
JOTISLZ,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
JOTISZL,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X
JOTIZLS,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X
JOTIZSL,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JOTLISZ,X,O,O,X,X,X,O,O,O,X,X,X,X,X,X
JOTLIZS,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
JOTLSIZ,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
JOTLSZI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JOTLZIS,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X
JOTLZSI,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X
JOTSILZ,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
JOTSIZL,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X
JOTSLIZ,X,O,O,X,X,X,O,O,O,X,O,X,X,X,X
JOTSLZI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JOTSZIL,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X
JOTSZLI,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JOTZILS,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JOTZISL,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
JOTZLIS,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JOTZLSI,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTZSIL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOTZSLI,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOITLSZ,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X
JOITLZS,X,O,O,O,O,O,O,X,O,X,X,O,X,X,X
JOITSLZ,X,O,O,O,X,X,O,O,O,X,X,X,X,X,X
JOITSZL,X,O,O,O,X,O,O,X,X,X,X,X,O,X,X
JOITZLS,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X
JOITZSL,X,O,O,O,X,X,O,X,X,X,X,X,O,X,X
JOILTSZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOILTZS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JOILSTZ,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JOILSZT,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O
JOILZTS,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
JOILZST,X,X,O,O,O,X,X,X,X,O,X,O,O,X,X
JOISTLZ,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JOISTZL,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JOISLTZ,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JOISLZT,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O
JOISZTL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JOISZLT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOIZTLS,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X
JOIZTSL,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X
JOIZLTS,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X
JOIZLST,X,X,O,O,X,X,X,X,X,O,X,O,O,X,X
JOIZSTL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JOIZSLT,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X
JOLTISZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLTIZS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLTSZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLTZIS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLTZSI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLITSZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLITZS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLISTZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JOLISZT,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X
JOLIZTS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JOLIZST,X,X,O,X,O,X,X,X,X,O,X,O,O,X,X
JOLSTIZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLSTZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLSITZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JOLSIZT,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X
JOLSZTI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZIT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOLZTIS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLZTSI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLZITS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLZIST,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X
JOLZSTI,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOLZSIT,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X
JOSTILZ,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X
JOSTIZL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOSTLIZ,X,O,O,X,X,X,X,O,O,X,O,X,X,X,X
JOSTLZI,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JOSTZIL,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X
JOSTZLI,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOSITLZ,X,O,O,O,X,X,X,O,O,X,X,X,X,X,X
JOSITZL,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
JOSILTZ,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
JOSILZT,X,X,O,O,X,X,X,O,X,X,X,X,O,X,O
JOSIZTL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JOSIZLT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOSLTIZ,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JOSLTZI,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JOSLITZ,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JOSLIZT,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X
JOSLZTI,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOSLZIT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOSZTIL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOSZTLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSZITL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JOSZILT,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JOSZLTI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSZLIT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O
JOZTILS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZTISL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOZTLIS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZTLSI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZTSIL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOZTSLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZITLS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZITSL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JOZILTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOZILST,X,X,O,O,X,X,X,X,X,O,X,X,O,X,O
JOZISTL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JOZISLT,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
JOZLTIS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZLTSI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZLITS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZLIST,X,X,O,X,X,X,X,X,X,O,X,X,O,X,O
JOZLSTI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOZLSIT,X,X,O,X,X,X,X,X,X,O,X,X,O,X,O
JOZSTIL,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOZSTLI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZSITL,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JOZSILT,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
JOZSLTI,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOZSLIT,X,X,O,X,X,X,X,X,X,O,X,X,O,X,O
STILJZO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
STILJOZ,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X
STILZJO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STILZOJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STILOJZ,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X
STILOZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
STIJLZO,X,O,X,O,X,O,X,O,O,X,X,X,X,X,O
STIJLOZ,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X
STIJZLO,X,O,X,O,X,O,O,O,O,X,X,X,X,O,X
STIJZOL,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X
STIJOLZ,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X
STIJOZL,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
STIZLJO,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
STIZLOJ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
STIZJLO,O,O,X,O,X,O,O,X,X,X,X,X,X,O,O
STIZJOL,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
