sequence,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeF7IvhF0cB6iB3gBT?mB2sBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFGcBTdBylB3?mB1sBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeF7IvhFxcB3gBqnBm?mBTrBUsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFFcBXdBqnBm?lBzmBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeR7IvhFSiBTgB/mBU?iB2wBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeR7IvhFWiBigBFmB0?nB3rBTsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeaAJvhFzbBWiBFmBX?nB0nBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFWiBZmB3gBT?iBqrBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFzcB+iBZmB3?gBqrBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeR7IvhFTgBcnBOrBl?mB3sBCsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeaAJvhFxcBGhBTiB0?rBlsBfrB,v115@zgA8GeD8FeD8FeF8EeE8DeB8Je37IvhFWiBZmBUgBT?iBqrBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8Je/BJvhF0gBZnBqnBF?gBTrBGsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeaAJvhFxhB0rBlsBf?rBGrBTsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFmhBqnBxlBF?mB3rBTsB
JSITZOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSITOLZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSITOZL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSILTZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSILTOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSILZTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSILZOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSILOTZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSILOZT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O
JSIZTLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZTOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZLTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSIZLOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSIZOTL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSIZOLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSIOTLZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSIOTZL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JSIOLTZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSIOLZT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JSIOZTL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JSIOZLT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JSLTIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSLTIOZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLTZIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSLTZOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLTOIZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLTOZI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLITZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSLITOZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLIZTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSLIZOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSLIOTZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSLIOZT,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
JSLZTIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSLZTOI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLZITO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSLZIOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSLZOTI,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSLZOIT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
JSLOTIZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLOTZI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLOITZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSLOIZT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O
JSLOZTI,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JSLOZIT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O
JSZTILO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZTIOL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZTLIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JSZTOIL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSZTOLI,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSZITLO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZITOL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZILTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSZILOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JSZIOTL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZIOLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZLTIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSZLTOI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLITO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSZLIOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JSZLOTI,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSZLOIT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
JSZOTIL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSZOTLI,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSZOITL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSZOILT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSZOLTI,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSZOLIT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSOTILZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSOTIZL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JSOTLIZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSOTLZI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSOTZIL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JSOTZLI,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JSOITLZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSOITZL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JSOILTZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSOILZT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JSOIZTL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JSOIZLT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSOLTIZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSOLTZI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSOLITZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSOLIZT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JSOLZTI,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JSOLZIT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JSOZTIL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JSOZTLI,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JSOZITL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JSOZILT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSOZLTI,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JSOZLIT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JZTILSO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JZTILOS,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X
JZTISLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTISOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTIOLS,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X
JZTIOSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZTLISO,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X
JZTLIOS,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X
JZTLSIO,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X
JZTLSOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
JZTLOIS,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
JZTLOSI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JZTSILO,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X
JZTSIOL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZTSLIO,O,O,X,X,X,O,X,X,O,X,X,X,X,O,X
JZTSLOI,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X
JZTSOIL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSOLI,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X
JZTOILS,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X
JZTOISL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZTOLIS,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JZTOLSI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JZTOSIL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTOSLI,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X
JZITLSO,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JZITLOS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JZITSLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZITSOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZITOLS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JZITOSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZILTSO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,O
JZILTOS,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X
JZILSTO,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
JZILSOT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JZILOTS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JZILOST,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JZISTLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZISTOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISLTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JZISLOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JZISOTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZISOLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOTSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZIOLTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOLST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZIOSTL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZIOSLT,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLTISO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X
JZLTIOS,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X
JZLTSIO,O,X,X,X,X,O,X,O,O,X,X,X,X,O,X
JZLTSOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
JZLTOIS,O,O,X,X,X,X,X,O,O,X,O,X,X,X,X
JZLTOSI,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JZLITSO,O,O,X,O,X,X,X,O,O,X,X,X,X,X,O
JZLITOS,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X
JZLISTO,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
JZLISOT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JZLIOTS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JZLIOST,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JZLSTIO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZLSTOI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
JZLSITO,O,O,X,O,X,O,X,O,X,X,X,X,X,X,O
JZLSIOT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JZLSOTI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLSOIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZLOTIS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLOTSI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLOITS,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
JZLOIST,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JZLOSTI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZLOSIT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZSTILO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZSTIOL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSTLIO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZSTLOI,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X
JZSTOIL,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
JZSTOLI,O,O,X,X,O,O,X,X,X,O,O,X,X,X,X
JZSITLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JZSITOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSILTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
JZSILOT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
JZSIOTL,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSIOLT,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSLTIO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZSLTOI,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JZSLITO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
JZSLIOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JZSLOTI,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JZSLOIT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O
JZSOTIL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZSOTLI,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JZSOITL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZSOILT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZSOLTI,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JZSOLIT,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X
JZOTILS,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
JZOTISL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZOTLIS,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOTLSI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOTSIL,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZOTSLI,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JZOITLS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOITSL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZOILTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOILST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOISTL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZOISLT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JZOLTIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOLTSI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZOLITS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLIST,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZOLSTI,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JZOLSIT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZOSTIL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZOSTLI,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JZOSITL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZOSILT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZOSLTI,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JZOSLIT,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X
JOTILSZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOTILZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTISLZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTISZL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JOTIZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTIZSL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTLISZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTLIZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTLSZI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTLZIS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTLZSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTSILZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTSIZL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOTSLIZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTSLZI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOTSZIL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOTSZLI,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOTZILS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTZISL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTZLIS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTZLSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTZSIL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTZSLI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOITLSZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOITLZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOITSLZ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOITSZL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JOITZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOITZSL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOILTSZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOILTZS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOILSTZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOILSZT,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
JOILZTS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOILZST,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOISTLZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOISTZL,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
JOISLTZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOISLZT,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
JOISZTL,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
JOISZLT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JOIZTLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOIZTSL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOIZLTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOIZLST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOIZSTL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JOIZSLT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JOLTISZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLTIZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLTSZI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLTZIS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLTZSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLITSZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLITZS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLISTZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLISZT,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X
JOLIZTS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZST,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOLSTIZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLSTZI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLSITZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOLSIZT,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X
JOLSZTI,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOLSZIT,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X
JOLZTIS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLZTSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZITS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLZIST,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOLZSTI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLZSIT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOSTILZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOSTIZL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOSTLIZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOSTLZI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOSTZIL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOSTZLI,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOSITLZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOSITZL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOSILTZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOSILZT,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOSIZTL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOSIZLT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOSLTIZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOSLTZI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOSLITZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JOSLIZT,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X
JOSLZTI,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOSLZIT,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X
JOSZTIL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOSZTLI,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOSZITL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOSZILT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOSZLTI,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOSZLIT,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X
JOZTILS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZTISL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZTLIS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZTLSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZTSIL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZTSLI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JOZITLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZITSL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOZILTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZILST,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOZISTL,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JOZISLT,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X
JOZLTIS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZLTSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOZLITS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZLIST,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOZLSTI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOZLSIT,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOZSTIL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOZSTLI,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOZSITL,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOZSILT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JOZSLTI,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X
JOZSLIT,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X
STILJZO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O
STILJOZ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
STILZJO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O
STILZOJ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
STILOJZ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
STILOZJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
STIJLZO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
STIJLOZ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
STIJZLO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
STIJZOL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
STIJOLZ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
STIJOZL,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
STIZLJO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O
STIZLOJ,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
STIZJLO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
STIZJOL,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
