sequence,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeX8IvhFxdBUgB?FiBTjB6rBmqB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8Jex9IvhFUgBFhB?XiBTjB6rBmqB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeX8IvhFxdBUgB?FiBTjByqB+rB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8Jex8IvhF6jBFgB?0hBmiB3lBTrB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeeCJvhFfjB6jB?UgBFhBxqBTrB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeX8IvhFxdBalB?FiBTjBGmBUrB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeT8IvhFeiBfjB?6jBFgBxqBUrB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8Jem8IvhFCeBUgB?FhBTjBxqB3rB
ISTOJLZ,X,X,X,X,X,X,O,O
ISTOJZL,X,X,X,X,X,X,O,O
ISTOZLJ,X,X,X,X,X,X,O,O
ISTOZJL,X,X,X,X,X,X,O,O
ISLTJZO,X,X,X,X,O,X,O,O
ISLTJOZ,X,X,X,X,X,X,O,O
ISLTZJO,X,X,X,X,O,X,O,O
ISLTZOJ,X,X,X,X,X,X,O,O
ISLTOJZ,X,X,X,X,X,X,O,O
ISLTOZJ,X,X,X,X,X,X,O,O
ISLJTZO,X,X,X,O,O,X,O,O
ISLJTOZ,X,X,X,O,X,X,O,O
ISLJZTO,X,X,X,O,O,X,O,O
ISLJZOT,X,X,X,O,O,X,O,O
ISLJOTZ,X,X,X,O,X,X,O,O
ISLJOZT,X,X,X,O,O,X,O,O
ISLZTJO,X,X,X,O,O,X,O,O
ISLZTOJ,X,X,X,O,X,X,O,O
ISLZJTO,X,X,X,O,O,X,O,O
ISLZJOT,X,X,X,O,O,X,O,O
ISLZOTJ,X,X,X,O,X,X,X,O
ISLZOJT,X,X,X,O,O,X,O,O
ISLOTJZ,X,X,X,X,X,X,O,O
ISLOTZJ,X,X,X,X,X,X,O,O
ISLOJTZ,X,X,X,X,X,X,O,O
ISLOJZT,X,X,X,X,O,X,O,O
ISLOZTJ,X,X,X,X,X,X,X,O
ISLOZJT,X,X,X,X,O,X,O,O
ISJTLZO,X,X,X,O,O,X,O,O
ISJTLOZ,X,X,X,O,X,X,O,O
ISJTZLO,X,X,X,X,O,X,O,O
ISJTZOL,X,X,X,X,O,X,O,O
ISJTOLZ,X,X,X,X,X,X,O,O
ISJTOZL,X,X,X,X,X,X,O,O
ISJLTZO,X,X,X,O,O,X,O,O
ISJLTOZ,X,X,X,O,X,X,O,O
ISJLZTO,X,X,X,O,O,X,O,O
ISJLZOT,X,X,X,O,O,X,O,O
ISJLOTZ,X,X,X,O,X,X,O,O
ISJLOZT,X,X,X,O,O,X,O,O
ISJZTLO,X,X,X,O,O,X,O,O
ISJZTOL,X,O,X,X,O,X,O,O
ISJZLTO,X,X,X,O,O,X,O,O
ISJZLOT,X,X,X,O,O,X,O,O
ISJZOTL,X,O,X,X,O,X,O,O
ISJZOLT,X,O,X,O,O,X,O,O
ISJOTLZ,X,X,X,X,X,X,O,O
ISJOTZL,X,O,X,X,X,X,O,O
ISJOLTZ,X,X,X,O,X,X,O,O
ISJOLZT,X,O,X,O,O,X,O,O
ISJOZTL,X,O,X,X,O,X,O,O
ISJOZLT,X,O,X,X,O,X,O,O
ISZTLJO,X,X,X,O,O,X,O,O
ISZTLOJ,X,X,X,O,X,X,O,O
ISZTJLO,X,X,X,O,O,X,O,O
ISZTJOL,X,X,X,X,O,X,O,O
ISZTOLJ,X,O,X,X,X,X,O,O
ISZTOJL,X,O,X,X,X,X,O,O
ISZLTJO,X,X,X,O,O,X,O,O
ISZLTOJ,X,X,X,O,X,X,O,O
ISZLJTO,X,X,X,O,O,X,O,O
ISZLJOT,X,X,X,O,O,X,O,O
ISZLOTJ,X,X,X,O,X,X,X,O
ISZLOJT,X,X,X,O,O,X,O,O
ISZJTLO,X,X,X,O,O,X,O,O
ISZJTOL,X,O,X,X,O,X,O,O
ISZJLTO,X,X,X,O,O,X,O,O
ISZJLOT,X,X,X,O,O,X,O,O
ISZJOTL,X,O,X,X,O,X,O,O
ISZJOLT,X,O,X,O,O,X,O,O
ISZOTLJ,X,O,X,X,X,X,X,O
ISZOTJL,X,O,X,X,X,X,X,O
ISZOLTJ,X,O,X,O,X,X,X,O
ISZOLJT,X,O,X,O,O,X,O,O
ISZOJTL,X,O,X,X,O,X,O,O
ISZOJLT,X,O,X,O,O,X,O,O
ISOTLJZ,X,X,X,X,X,X,O,O
ISOTLZJ,X,X,X,X,X,X,O,O
ISOTJLZ,X,X,X,X,X,X,O,O
ISOTJZL,X,O,X,X,X,X,O,O
ISOTZLJ,X,O,X,X,X,X,O,O
ISOTZJL,X,O,X,X,X,X,O,O
ISOLTJZ,X,X,X,X,X,X,O,O
ISOLTZJ,X,X,X,X,X,X,O,O
ISOLJTZ,X,X,X,X,X,X,O,O
ISOLJZT,X,O,X,X,O,X,O,O
ISOLZTJ,X,O,X,X,X,X,X,O
ISOLZJT,X,O,X,X,O,X,O,O
ISOJTLZ,X,X,X,X,X,X,O,O
ISOJTZL,X,O,X,X,X,X,O,O
ISOJLTZ,X,X,X,X,X,X,O,O
ISOJLZT,X,O,X,X,O,X,O,O
ISOJZTL,X,O,X,X,O,X,O,O
ISOJZLT,X,O,X,X,O,X,O,O
ISOZTLJ,X,O,X,X,X,X,X,O
ISOZTJL,X,O,X,X,X,X,X,O
ISOZLTJ,X,O,X,X,X,X,X,O
ISOZLJT,X,O,X,X,O,X,O,O
ISOZJTL,X,O,X,X,O,X,O,O
ISOZJLT,X,O,X,X,O,X,O,O
IZTLJSO,X,X,X,O,O,O,O,O
IZTLJOS,X,X,X,O,X,X,O,O
IZTLSJO,X,X,X,O,X,O,O,O
IZTLSOJ,O,X,O,O,X,O,O,O
IZTLOJS,X,X,X,O,X,X,O,O
IZTLOSJ,X,X,X,X,X,X,X,O
IZTJLSO,X,X,X,O,O,O,O,O
IZTJLOS,X,X,X,O,X,X,O,O
IZTJSLO,X,X,X,X,O,O,O,O
IZTJSOL,O,X,O,X,O,O,O,O
IZTJOLS,X,X,X,X,X,O,O,O
IZTJOSL,X,X,X,X,O,O,O,O
IZTSLJO,X,X,X,X,O,O,O,O
IZTSLOJ,O,X,O,X,X,O,O,O
IZTSJLO,X,X,X,X,O,O,O,O
IZTSJOL,O,X,O,X,O,O,O,O
IZTSOLJ,O,O,O,X,X,O,O,O
IZTSOJL,O,O,O,X,X,O,O,O
IZTOLJS,X,X,X,X,X,O,O,O
IZTOLSJ,O,X,O,X,X,O,X,O
IZTOJLS,X,X,X,X,X,O,O,O
IZTOJSL,O,X,O,X,O,O,O,O
IZTOSLJ,O,O,O,X,X,O,O,O
IZTOSJL,O,O,O,X,X,O,O,O
IZLTJSO,O,X,X,O,O,X,X,O
IZLTJOS,X,X,X,O,X,X,X,O
IZLTSJO,O,X,X,O,X,X,X,O
IZLTSOJ,O,X,X,O,X,X,X,O
IZLTOJS,O,X,X,O,X,X,X,O
IZLTOSJ,O,X,X,X,X,X,X,O
IZLJTSO,X,X,O,O,O,X,X,O
IZLJTOS,X,X,O,O,X,X,X,O
IZLJSTO,X,X,O,O,O,X,O,O
IZLJSOT,X,X,O,O,O,X,O,O
IZLJOTS,X,X,O,O,X,X,X,X
IZLJOST,X,X,O,O,X,X,O,X
IZLSTJO,O,X,X,O,O,X,O,O
IZLSTOJ,O,X,X,O,X,X,X,O
IZLSJTO,X,X,X,O,O,X,O,O
IZLSJOT,X,X,X,O,O,X,O,O
IZLSOTJ,O,X,O,O,X,X,X,O
IZLSOJT,O,X,O,O,O,X,O,O
IZLOTJS,O,X,O,O,X,X,X,O
IZLOTSJ,O,X,O,X,X,X,X,O
IZLOJTS,O,X,O,O,X,X,X,O
IZLOJST,O,X,O,O,X,X,O,O
IZLOSTJ,O,X,O,O,X,X,X,O
IZLOSJT,O,X,O,O,X,X,X,O
IZJTLSO,O,X,O,O,O,O,O,O
IZJTLOS,X,X,X,O,X,X,O,O
IZJTSLO,O,X,O,X,O,O,O,O
IZJTSOL,O,O,O,X,O,O,O,O
IZJTOLS,O,X,O,X,X,O,O,O
IZJTOSL,O,O,O,X,O,O,O,O
IZJLTSO,O,X,X,O,O,X,X,O
IZJLTOS,O,X,X,O,X,X,X,O
IZJLSTO,O,X,X,O,O,X,O,O
IZJLSOT,O,X,X,O,O,X,O,O
IZJLOTS,O,X,X,O,X,X,X,X
IZJLOST,O,X,X,O,X,X,O,X
IZJSTLO,O,X,O,X,O,O,O,O
IZJSTOL,O,O,O,X,O,O,O,O
IZJSLTO,X,X,X,O,O,X,O,O
IZJSLOT,X,X,X,O,O,X,O,O
IZJSOTL,O,O,O,X,O,O,O,O
IZJSOLT,O,O,O,X,O,O,O,O
IZJOTLS,O,X,O,X,X,O,X,O
IZJOTSL,O,O,O,X,O,O,O,O
IZJOLTS,O,X,O,O,X,O,X,O
IZJOLST,O,O,O,O,X,O,O,O
IZJOSTL,O,O,O,X,O,O,O,O
IZJOSLT,O,O,O,X,O,O,O,O
IZSTLJO,X,X,X,X,O,X,O,O
IZSTLOJ,O,X,O,X,X,X,O,O
IZSTJLO,X,X,X,X,O,X,O,O
IZSTJOL,O,X,O,X,O,X,O,O
IZSTOLJ,O,O,O,X,X,X,O,O
IZSTOJL,O,O,O,X,X,X,O,O
IZSLTJO,X,X,X,O,O,X,O,O
IZSLTOJ,X,X,X,O,X,X,O,O
IZSLJTO,X,X,X,O,O,X,O,O
IZSLJOT,X,X,X,O,O,X,O,O
IZSLOTJ,X,X,X,O,X,X,X,O
IZSLOJT,X,X,X,O,O,X,O,O
IZSJTLO,X,X,X,X,O,X,O,O
IZSJTOL,X,O,X,X,O,X,O,O
IZSJLTO,X,X,X,O,O,X,O,O
IZSJLOT,X,X,X,O,O,X,O,O
IZSJOTL,X,O,X,X,O,X,O,O
IZSJOLT,X,O,X,X,O,X,O,O
IZSOTLJ,O,O,O,X,X,X,X,O
IZSOTJL,O,O,O,X,X,X,X,O
IZSOLTJ,O,O,O,X,X,X,X,O
IZSOLJT,O,O,O,X,O,X,O,O
IZSOJTL,O,O,O,X,O,X,O,O
IZSOJLT,O,O,O,X,O,X,O,O
IZOTLJS,O,X,O,X,X,O,X,O
IZOTLSJ,O,X,O,X,X,O,X,O
IZOTJLS,O,X,O,X,X,O,X,O
IZOTJSL,O,O,O,X,O,O,O,O
IZOTSLJ,O,O,O,X,X,O,X,O
IZOTSJL,O,O,O,X,X,O,X,O
IZOLTJS,O,X,O,O,X,O,X,O
IZOLTSJ,O,X,O,X,X,O,X,O
IZOLJTS,O,X,O,O,X,O,X,O
IZOLJST,O,O,O,O,X,O,O,O
IZOLSTJ,O,O,O,O,X,X,X,O
IZOLSJT,O,O,O,O,X,X,X,O
IZOJTLS,O,X,O,X,X,O,X,O
IZOJTSL,O,O,O,X,O,O,O,O
IZOJLTS,O,X,O,O,X,O,X,O
IZOJLST,O,O,O,O,X,O,O,O
IZOJSTL,O,O,O,X,O,O,O,O
IZOJSLT,O,O,O,X,O,O,O,O
IZOSTLJ,O,O,O,X,X,O,X,O
IZOSTJL,O,O,O,X,X,O,X,O
IZOSLTJ,O,O,O,X,X,X,X,O
IZOSLJT,O,O,O,X,O,X,O,O
IZOSJTL,O,O,O,X,O,O,O,O
IZOSJLT,O,O,O,X,O,O,O,O
IOTLJSZ,O,X,O,O,X,O,X,X
IOTLJZS,O,X,O,O,X,O,X,X
IOTLSJZ,O,X,O,X,X,O,X,O
IOTLSZJ,O,X,O,X,X,O,X,O
IOTLZJS,X,X,X,O,X,O,X,O
IOTLZSJ,O,X,O,O,X,O,X,O
IOTJLSZ,O,X,O,O,X,O,O,X
IOTJLZS,O,X,O,O,X,O,X,X
IOTJSLZ,O,X,O,O,X,O,O,X
IOTJSZL,O,O,O,X,X,X,O,X
IOTJZLS,O,X,O,O,X,O,O,X
IOTJZSL,O,O,O,O,X,O,O,X
IOTSLJZ,O,X,O,X,X,O,O,O
IOTSLZJ,O,X,O,X,X,O,O,O
IOTSJLZ,O,X,O,X,X,O,O,O
IOTSJZL,O,O,O,X,X,X,O,O
IOTSZLJ,O,O,O,X,X,O,O,O
IOTSZJL,O,O,O,X,X,O,O,O
IOTZLJS,O,X,O,O,X,O,O,O
IOTZLSJ,O,X,O,O,X,O,X,O
IOTZJLS,O,X,O,O,X,O,O,O
IOTZJSL,O,O,O,O,X,O,O,O
IOTZSLJ,O,O,O,O,X,O,O,O
IOTZSJL,O,O,O,O,X,O,O,O
IOLTJSZ,O,X,O,O,X,O,X,X
IOLTJZS,O,X,O,O,X,O,X,X
IOLTSJZ,O,X,O,X,X,O,X,O
IOLTSZJ,O,X,O,X,X,O,X,O
IOLTZJS,X,X,X,O,X,O,X,O
IOLTZSJ,O,X,O,O,X,O,X,O
IOLJTSZ,O,X,O,O,X,O,X,X
IOLJTZS,O,X,O,O,X,O,X,X
IOLJSTZ,O,X,O,O,X,X,X,O
IOLJSZT,O,O,O,O,X,X,X,O
IOLJZTS,O,X,O,O,X,O,X,O
IOLJZST,O,O,O,O,X,O,X,O
IOLSTJZ,O,X,O,X,X,O,X,O
IOLSTZJ,O,X,O,X,X,O,X,O
IOLSJTZ,O,X,O,O,X,X,X,O
IOLSJZT,O,O,O,O,X,X,X,O
IOLSZTJ,O,O,O,O,X,O,X,O
IOLSZJT,O,O,O,O,X,O,X,O
IOLZTJS,O,X,O,O,X,O,X,O
IOLZTSJ,O,X,O,O,X,O,X,O
IOLZJTS,O,X,O,O,X,O,X,O
IOLZJST,O,O,O,O,X,O,X,O
IOLZSTJ,O,O,O,O,X,O,X,O
IOLZSJT,O,O,O,O,X,O,X,O
IOJTLSZ,O,X,O,O,X,O,O,X
IOJTLZS,O,X,O,O,X,O,X,X
IOJTSLZ,O,X,O,O,X,O,O,X
IOJTSZL,O,O,O,X,X,X,O,X
IOJTZLS,O,X,O,O,X,O,O,X
IOJTZSL,O,O,O,O,X,O,O,X
IOJLTSZ,O,X,O,O,X,O,X,X
IOJLTZS,O,X,O,O,X,O,X,X
IOJLSTZ,O,X,O,O,X,X,O,O
IOJLSZT,O,O,O,O,X,X,O,O
IOJLZTS,O,X,O,O,X,O,X,O
IOJLZST,O,O,O,O,X,O,X,O
IOJSTLZ,O,X,O,O,X,X,O,O
IOJSTZL,O,O,O,X,X,X,O,O
IOJSLTZ,O,X,O,O,X,X,O,O
IOJSLZT,O,O,O,O,O,X,O,O
IOJSZTL,O,O,O,O,O,X,O,O
IOJSZLT,O,O,O,O,O,X,O,O
IOJZTLS,O,X,O,O,X,O,X,O
IOJZTSL,O,O,O,X,O,O,O,O
IOJZLTS,O,X,O,O,X,O,X,O
IOJZLST,O,O,O,O,X,O,O,O
IOJZSTL,O,O,O,X,O,O,O,O
IOJZSLT,O,O,O,O,O,O,O,O
IOSTLJZ,O,X,O,X,X,O,O,O
IOSTLZJ,O,X,O,X,X,O,O,O
IOSTJLZ,O,X,O,X,X,O,O,O
IOSTJZL,O,O,O,X,X,X,O,O
IOSTZLJ,O,O,O,X,X,O,O,O
IOSTZJL,O,O,O,X,X,O,O,O
IOSLTJZ,O,X,O,X,X,O,O,O
IOSLTZJ,O,X,O,X,X,O,O,O
IOSLJTZ,O,X,O,O,X,X,O,O
IOSLJZT,O,O,O,O,O,X,O,O
IOSLZTJ,O,O,O,O,X,O,X,O
IOSLZJT,O,O,O,O,O,O,O,O
IOSJTLZ,O,X,O,O,X,X,O,O
IOSJTZL,O,O,O,X,X,X,O,O
IOSJLTZ,O,X,O,O,X,X,O,O
IOSJLZT,O,O,O,O,O,X,O,O
IOSJZTL,O,O,O,O,O,X,O,O
IOSJZLT,O,O,O,O,O,X,O,O
IOSZTLJ,O,O,O,O,X,O,X,O
IOSZTJL,O,O,O,O,X,O,X,O
IOSZLTJ,O,O,O,O,X,X,X,O
IOSZLJT,O,O,O,O,O,X,O,O
IOSZJTL,O,O,O,O,O,O,O,O
IOSZJLT,O,O,O,O,O,O,O,O
IOZTLJS,O,X,O,O,X,O,X,O
IOZTLSJ,O,X,O,O,X,O,X,O
IOZTJLS,O,X,O,O,X,O,X,O
IOZTJSL,O,O,O,X,O,O,O,O
IOZTSLJ,O,O,O,X,X,O,X,O
IOZTSJL,O,O,O,X,X,O,X,O
IOZLTJS,O,X,O,O,X,O,X,O
IOZLTSJ,O,X,O,O,X,O,X,O
IOZLJTS,O,X,O,O,X,O,X,O
IOZLJST,O,O,O,O,X,O,O,O
IOZLSTJ,O,O,O,O,X,O,X,O
IOZLSJT,O,O,O,O,X,O,X,O
IOZJTLS,O,X,O,O,X,O,X,O
IOZJTSL,O,O,O,X,O,O,O,O
IOZJLTS,O,X,O,O,X,O,X,O
IOZJLST,O,O,O,O,X,O,O,O
IOZJSTL,O,O,O,X,O,O,O,O
IOZJSLT,O,O,O,O,O,O,O,O
IOZSTLJ,O,O,O,X,X,O,X,O
IOZSTJL,O,O,O,X,X,O,X,O
IOZSLTJ,O,O,O,O,X,X,X,O
IOZSLJT,O,O,O,O,O,X,O,O
IOZSJTL,O,O,O,X,O,O,O,O
IOZSJLT,O,O,O,O,O,O,O,O
LTIJSZO,O,X,O,O,X,X,O,X
LTIJSOZ,O,X,O,O,X,O,O,X
LTIJZSO,O,X,O,O,X,O,O,X
LTIJZOS,X,X,X,O,X,X,O,X
LTIJOSZ,X,X,O,O,X,X,O,X
LTIJOZS,X,X,X,O,X,X,X,X
LTISJZO,O,X,O,O,X,X,O,O
LTISJOZ,O,X,O,O,X,O,O,O
LTISZJO,O,X,X,O,X,O,O,O
LTISZOJ,O,X,O,O,X,O,O,O
LTISOJZ,O,X,O,X,X,O,O,O
LTISOZJ,O,X,O,X,X,O,O,X
LTIZJSO,X,X,X,O,X,O,O,O
LTIZJOS,X,X,X,O,X,X,O,O
LTIZSJO,O,X,X,O,X,O,O,O
LTIZSOJ,O,X,O,X,X,O,O,O
LTIZOJS,X,X,X,O,X,O,O,O
LTIZOSJ,X,X,X,X,X,O,X,X
LTIOJSZ,O,X,X,O,X,O,X,X
LTIOJZS,X,X,X,O,X,O,X,X
LTIOSJZ,O,X,X,X,X,O,X,X
LTIOSZJ,O,X,X,X,X,O,X,X
LTIOZJS,X,X,X,O,X,O,X,X
LTIOZSJ,O,X,X,O,X,O,X,X
LTJISZO,O,X,O,O,X,X,O,X
LTJISOZ,O,X,O,O,X,O,O,X
LTJIZSO,O,X,O,O,X,O,O,X
LTJIZOS,X,X,X,O,X,X,O,X
LTJIOSZ,X,X,O,O,X,X,O,X
LTJIOZS,X,X,O,O,X,X,X,X
LTJSIZO,O,X,O,O,X,X,O,X
LTJSIOZ,O,X,O,O,X,O,O,X
LTJSZIO,X,X,O,O,X,X,O,X
LTJSZOI,X,X,O,O,X,X,O,X
LTJSOIZ,O,X,O,O,X,O,O,X
LTJSOZI,X,X,O,O,X,X,O,X
LTJZISO,O,X,O,O,X,O,X,X
LTJZIOS,X,X,X,O,X,X,X,X
LTJZSIO,O,X,O,O,X,O,X,X
LTJZSOI,O,X,O,O,X,O,X,X
LTJZOIS,O,X,O,O,X,O,X,X
LTJZOSI,O,X,O,O,X,O,X,X
LTJOISZ,O,X,O,O,X,O,X,X
LTJOIZS,O,X,O,O,X,O,X,X
LTJOSIZ,O,X,O,O,X,O,O,X
LTJOSZI,X,X,O,O,X,X,O,X
LTJOZIS,O,X,O,O,X,O,X,X
LTJOZSI,O,X,O,O,X,O,X,X
LTSIJZO,O,X,O,O,X,X,O,X
LTSIJOZ,O,X,O,O,X,O,O,X
LTSIZJO,O,X,X,O,X,O,O,X
LTSIZOJ,O,X,O,O,X,O,O,X
LTSIOJZ,O,X,O,X,X,O,O,X
LTSIOZJ,O,X,O,X,X,O,O,X
LTSJIZO,O,X,X,O,X,X,O,X
LTSJIOZ,O,X,X,O,X,O,O,X
LTSJZIO,X,X,X,O,X,X,O,X
LTSJZOI,X,X,X,O,X,X,O,X
LTSJOIZ,O,X,X,O,X,O,O,X
LTSJOZI,X,X,X,O,X,X,O,X
LTSZIJO,O,X,X,O,X,O,O,X
LTSZIOJ,O,X,X,O,X,O,O,X
LTSZJIO,X,X,X,O,X,O,O,X
LTSZJOI,X,X,X,O,X,O,O,X
LTSZOIJ,O,X,X,O,X,O,X,X
LTSZOJI,X,X,X,X,X,O,X,X
LTSOIJZ,O,X,O,X,X,O,O,X
LTSOIZJ,O,X,O,X,X,O,O,X
LTSOJIZ,O,X,X,O,X,O,O,X
LTSOJZI,X,X,X,O,X,X,O,X
LTSOZIJ,O,X,X,O,X,O,X,X
LTSOZJI,X,X,X,X,X,O,X,X
LTZIJSO,X,X,X,O,X,O,X,O
LTZIJOS,X,X,X,O,X,X,X,O
LTZISJO,O,X,X,O,X,O,X,O
LTZISOJ,O,X,O,O,X,O,X,O
LTZIOJS,X,X,X,O,X,O,X,O
LTZIOSJ,X,X,X,X,X,O,X,X
LTZJISO,X,X,X,O,X,O,X,X
LTZJIOS,X,X,X,O,X,O,X,O
LTZJSIO,X,X,X,O,X,O,X,X
LTZJSOI,X,X,X,O,X,O,X,O
LTZJOIS,X,X,X,O,X,O,X,O
LTZJOSI,X,X,X,O,X,O,X,O
LTZSIJO,O,X,X,O,X,O,X,X
LTZSIOJ,O,X,O,O,X,O,X,X
LTZSJIO,X,X,X,O,X,O,X,X
LTZSJOI,X,X,X,O,X,O,X,O
LTZSOIJ,O,X,O,O,X,O,X,X
LTZSOJI,X,X,X,X,X,O,X,X
LTZOIJS,X,X,X,O,X,O,X,X
LTZOISJ,O,X,O,O,X,O,X,X
LTZOJIS,X,X,X,O,X,O,X,O
LTZOJSI,X,X,X,O,X,O,X,O
LTZOSIJ,O,X,O,O,X,O,X,X
LTZOSJI,X,X,X,X,X,O,X,X
LTOIJSZ,O,X,O,O,X,O,X,X
LTOIJZS,O,X,O,O,X,O,X,X
LTOISJZ,O,X,O,X,X,O,X,X
LTOISZJ,O,X,O,X,X,O,X,X
LTOIZJS,X,X,X,O,X,O,X,X
LTOIZSJ,O,X,O,O,X,O,X,X
LTOJISZ,O,X,O,O,X,O,X,X
LTOJIZS,O,X,O,O,X,O,X,X
LTOJSIZ,O,X,O,O,X,O,X,X
LTOJSZI,X,X,O,O,X,X,X,X
LTOJZIS,O,X,O,O,X,O,X,X
LTOJZSI,O,X,O,O,X,O,X,X
LTOSIJZ,O,X,O,X,X,O,X,X
LTOSIZJ,O,X,O,X,X,O,X,X
LTOSJIZ,O,X,X,O,X,O,X,X
LTOSJZI,X,X,X,O,X,X,X,X
LTOSZIJ,O,X,X,O,X,O,X,X
LTOSZJI,X,X,X,X,X,O,X,X
LTOZIJS,X,X,X,O,X,O,X,X
LTOZISJ,O,X,O,O,X,O,X,X
LTOZJIS,X,X,X,O,X,O,X,X
LTOZJSI,X,X,X,O,X,O,X,X
LTOZSIJ,O,X,O,O,X,O,X,X
LTOZSJI,X,X,X,X,X,O,X,X
LITJSZO,O,X,X,O,X,X,O,X
LITJSOZ,O,X,X,O,X,O,O,X
LITJZSO,X,X,X,O,X,O,O,X
LITJZOS,X,X,X,O,X,X,O,X
LITJOSZ,X,X,X,O,X,X,O,X
LITJOZS,X,X,X,O,X,X,X,X
LITSJZO,O,X,X,O,X,X,O,O
LITSJOZ,O,X,X,O,X,O,O,O
LITSZJO,O,X,X,O,X,O,O,O
LITSZOJ,O,X,X,O,X,O,O,O
LITSOJZ,O,X,X,X,X,O,O,O
LITSOZJ,O,X,X,X,X,O,O,X
LITZJSO,X,X,X,O,X,O,O,O
LITZJOS,X,X,X,O,X,X,O,O
LITZSJO,O,X,X,O,X,O,O,O
LITZSOJ,O,X,X,X,X,O,O,O
LITZOJS,X,X,X,O,X,O,O,O
LITZOSJ,X,X,X,X,X,O,X,X
LITOJSZ,O,X,X,O,X,O,X,X
LITOJZS,X,X,X,O,X,O,X,X
LITOSJZ,O,X,X,X,X,O,X,X
LITOSZJ,O,X,X,X,X,O,X,X
LITOZJS,X,X,X,O,X,O,X,X
LITOZSJ,O,X,X,O,X,O,X,X
LIJTSZO,X,X,O,O,X,X,O,X
LIJTSOZ,X,X,O,O,X,X,O,X
LIJTZSO,X,X,O,O,X,X,O,X
LIJTZOS,X,X,X,O,X,X,O,X
LIJTOSZ,X,X,O,O,X,X,O,X
LIJTOZS,X,X,O,O,X,X,X,X
LIJSTZO,X,X,O,O,O,X,O,O
LIJSTOZ,X,X,O,O,X,X,O,O
LIJSZTO,X,X,X,O,O,X,O,O
LIJSZOT,X,X,X,O,O,X,O,O
LIJSOTZ,X,X,O,O,X,X,O,O
LIJSOZT,X,X,O,O,O,X,O,O
LIJZTSO,X,X,X,O,O,X,X,O
LIJZTOS,X,X,X,O,X,X,X,O
LIJZSTO,X,X,X,O,O,X,O,O
LIJZSOT,X,X,X,O,O,X,O,O
LIJZOTS,X,X,X,O,X,X,X,X
LIJZOST,X,X,X,O,X,X,O,X
LIJOTSZ,X,X,O,O,X,X,X,X
LIJOTZS,X,X,O,O,X,X,X,X
LIJOSTZ,X,X,O,O,X,X,O,X
LIJOSZT,X,X,O,O,X,X,O,X
LIJOZTS,X,X,O,O,X,X,X,X
LIJOZST,X,X,O,O,X,X,X,X
LISTJZO,O,X,X,X,O,X,O,O
LISTJOZ,O,X,X,X,X,X,O,O
LISTZJO,O,X,X,X,O,X,O,O
LISTZOJ,O,X,X,X,X,X,O,O
LISTOJZ,O,X,X,X,X,X,O,O
LISTOZJ,O,X,X,X,X,X,O,O
LISJTZO,X,X,X,O,O,X,O,O
LISJTOZ,X,X,X,O,X,X,O,O
LISJZTO,X,X,X,O,O,X,O,O
LISJZOT,X,X,X,O,O,X,O,O
LISJOTZ,X,X,X,O,X,X,O,O
LISJOZT,X,X,X,O,O,X,O,O
LISZTJO,X,X,X,O,O,X,O,O
LISZTOJ,X,X,X,O,X,X,O,O
LISZJTO,X,X,X,O,O,X,O,O
LISZJOT,X,X,X,O,O,X,O,O
LISZOTJ,X,X,X,O,X,X,X,O
LISZOJT,X,X,X,O,O,X,O,O
LISOTJZ,O,X,O,X,X,X,O,O
LISOTZJ,O,X,O,X,X,X,O,O
LISOJTZ,O,X,O,X,X,X,O,O
LISOJZT,O,X,O,X,O,X,O,O
LISOZTJ,O,X,O,X,X,X,X,O
LISOZJT,O,X,O,X,O,X,O,O
LIZTJSO,X,X,X,O,O,O,X,O
LIZTJOS,X,X,X,O,X,X,X,O
LIZTSJO,X,X,X,O,X,O,X,O
LIZTSOJ,X,X,X,O,X,O,X,O
LIZTOJS,X,X,X,O,X,O,X,O
LIZTOSJ,X,X,X,X,X,O,X,O
LIZJTSO,X,X,X,O,O,O,X,O
LIZJTOS,X,X,X,O,X,O,X,O
LIZJSTO,X,X,X,O,O,O,O,O
LIZJSOT,X,X,X,O,O,O,O,O
LIZJOTS,X,X,X,O,X,O,X,X
LIZJOST,X,X,X,O,X,O,O,X
LIZSTJO,X,X,X,O,O,X,O,O
LIZSTOJ,X,X,X,O,X,X,X,O
LIZSJTO,X,X,X,O,O,X,O,O
LIZSJOT,X,X,X,O,O,X,O,O
LIZSOTJ,X,X,X,O,X,X,X,O
LIZSOJT,X,X,X,O,O,X,O,O
LIZOTJS,X,X,X,O,X,O,X,O
LIZOTSJ,X,X,X,X,X,O,X,O
LIZOJTS,X,X,X,O,X,O,X,O
LIZOJST,X,X,X,O,X,O,O,O
LIZOSTJ,X,X,X,O,X,O,X,O
LIZOSJT,X,X,X,O,X,O,X,O
LIOTJSZ,O,X,O,O,X,O,X,X
LIOTJZS,X,X,O,O,X,O,X,X
