sequence,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFzcBGeB?0fBSnB/oBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFCdBTeB?0fBXiBGoBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8JeT6IvhFUdBajB?5jBWnBXgBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFGdB0fB?zhB6oBXjBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8JeT6IvhFqhBmdB?5jB0iBXgBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFGdB0fB?zhBXjB6oBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFqhB/iB?0fBTjBGoBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFFdBTeB?0fBfnBWoBCtB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Je//IvhFuhBciB?TeBFgBxsBCtB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Je//IvhFGdB6jB?zhBxsB8sBFqB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Je//IvhFUdBWnB?TjBFgBxsBCtB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Je//IvhFzcBSjB?FgBUjBxsBGsB
ITZSLOJ,O,O,X,O,X,O,O,X,O,O,X,X
ITZSJLO,O,O,X,X,X,X,X,X,O,X,X,X
ITZSJOL,O,O,X,X,X,O,X,X,X,X,X,X
ITZSOLJ,O,O,X,O,X,O,O,X,X,O,X,X
ITZSOJL,O,O,X,O,X,O,X,X,X,O,X,X
ITZOLJS,O,X,O,O,O,O,O,X,X,O,X,X
ITZOLSJ,O,X,X,O,O,O,O,X,X,O,X,X
ITZOJLS,X,O,O,O,X,O,O,X,X,O,X,X
ITZOJSL,X,O,O,O,X,O,X,X,X,O,X,X
ITZOSLJ,O,O,X,O,X,O,O,X,X,O,X,X
ITZOSJL,O,O,X,O,X,O,X,X,X,O,X,X
ITOLJSZ,O,X,O,X,X,X,X,X,X,X,X,X
ITOLJZS,X,X,O,O,O,X,X,X,X,X,X,X
ITOLSJZ,O,X,O,X,X,X,X,X,X,X,X,X
ITOLSZJ,O,X,X,X,O,X,O,X,X,X,X,X
ITOLZJS,X,X,O,O,O,X,O,X,X,X,X,X
ITOLZSJ,O,X,X,O,O,X,O,X,X,X,X,X
ITOJLSZ,X,O,O,X,X,X,X,X,X,X,X,X
ITOJLZS,X,X,O,O,O,X,X,X,X,X,X,X
ITOJSLZ,X,O,O,X,X,X,X,X,X,X,X,X
ITOJSZL,X,O,O,X,X,O,X,X,X,X,O,X
ITOJZLS,X,X,O,O,X,O,X,X,X,X,X,X
ITOJZSL,X,O,O,O,X,O,X,X,X,X,O,X
ITOSLJZ,O,O,O,X,X,X,X,X,X,X,X,X
ITOSLZJ,O,X,X,X,O,X,X,X,X,X,X,X
ITOSJLZ,O,O,O,X,X,X,X,X,X,X,X,X
ITOSJZL,X,O,O,X,X,O,X,X,X,X,O,X
ITOSZLJ,X,X,X,X,X,O,X,X,X,O,X,X
ITOSZJL,X,X,X,X,X,O,X,X,X,O,X,X
ITOZLJS,X,X,O,O,O,O,O,X,X,O,X,X
ITOZLSJ,X,X,X,O,O,O,O,X,X,O,X,X
ITOZJLS,X,X,O,O,X,O,O,X,X,O,X,X
ITOZJSL,X,X,O,O,X,O,X,X,X,O,X,X
ITOZSLJ,X,X,X,O,X,O,O,X,X,O,X,X
ITOZSJL,X,X,X,O,X,O,X,X,X,O,X,X
ILTJSZO,O,O,O,X,X,X,X,O,X,X,X,X
ILTJSOZ,O,O,O,X,X,X,X,O,X,X,X,X
ILTJZSO,X,X,O,X,O,X,X,X,X,X,X,X
ILTJZOS,X,X,O,X,O,X,X,X,X,X,X,X
ILTJOSZ,O,O,O,X,X,X,X,O,X,X,X,X
ILTJOZS,X,X,O,X,O,X,X,X,X,X,X,X
ILTSJZO,O,O,O,X,X,X,X,O,X,X,X,X
ILTSJOZ,O,O,O,X,X,X,X,O,X,X,X,X
ILTSZJO,O,O,X,X,O,X,O,O,O,X,X,X
ILTSZOJ,O,X,X,X,O,X,O,X,O,O,X,X
ILTSOJZ,O,O,O,X,X,X,X,O,X,X,X,X
ILTSOZJ,O,X,X,X,O,X,O,X,O,X,X,X
ILTZJSO,O,X,O,X,O,X,O,X,O,X,X,X
ILTZJOS,O,X,O,O,O,X,O,X,O,X,X,X
ILTZSJO,O,X,X,X,O,X,O,X,O,X,X,X
ILTZSOJ,O,X,X,O,O,X,O,X,O,O,X,X
ILTZOJS,O,X,O,O,O,X,O,X,O,O,X,X
ILTZOSJ,O,X,X,O,O,X,O,X,O,O,X,X
ILTOJSZ,O,X,O,X,X,X,X,X,X,X,X,X
ILTOJZS,X,X,O,O,O,X,X,X,X,X,X,X
ILTOSJZ,O,X,O,X,X,X,X,X,X,X,X,X
ILTOSZJ,O,X,X,X,O,X,O,X,O,X,X,X
ILTOZJS,O,X,O,O,O,X,O,X,O,X,X,X
ILTOZSJ,O,X,X,O,O,X,O,X,O,X,X,X
ILJTSZO,O,X,X,X,X,X,X,O,X,X,X,X
ILJTSOZ,O,X,X,X,X,X,X,O,X,X,X,O
ILJTZSO,X,X,X,X,O,X,X,X,X,X,X,X
ILJTZOS,X,X,X,X,O,X,X,X,X,X,X,X
ILJTOSZ,O,X,X,X,X,X,X,O,X,X,X,O
ILJTOZS,X,X,X,X,O,X,X,X,X,X,X,X
ILJSTZO,X,X,X,X,X,X,X,O,X,X,X,X
ILJSTOZ,O,O,X,X,X,X,X,O,X,X,X,O
ILJSZTO,X,X,X,X,X,X,X,O,O,X,X,X
ILJSZOT,O,O,X,X,X,X,X,O,O,O,O,O
ILJSOTZ,O,O,X,X,X,X,X,O,X,X,X,O
ILJSOZT,O,O,X,X,X,X,X,O,O,X,O,O
ILJZTSO,X,X,X,X,X,X,X,O,O,X,X,X
ILJZTOS,X,X,O,X,O,X,X,O,O,X,X,X
ILJZSTO,X,X,X,X,X,X,X,O,O,X,X,X
ILJZSOT,X,X,O,X,O,X,X,O,O,O,O,O
ILJZOTS,X,X,O,X,O,X,X,O,O,O,X,X
ILJZOST,X,X,O,X,O,X,X,O,O,O,O,O
ILJOTSZ,O,X,X,X,X,X,X,O,X,X,X,O
ILJOTZS,X,X,X,X,O,X,X,X,X,X,X,X
ILJOSTZ,O,O,X,X,X,X,X,O,X,X,X,O
ILJOSZT,O,O,X,X,X,X,X,O,O,X,O,O
ILJOZTS,X,X,O,X,O,X,X,O,O,X,X,X
ILJOZST,X,X,O,X,O,X,X,O,O,X,O,O
ILSTJZO,O,O,X,X,X,X,X,O,X,X,X,X
ILSTJOZ,O,O,X,X,X,X,X,O,X,X,X,X
ILSTZJO,O,O,X,X,O,X,O,O,O,X,X,X
ILSTZOJ,O,X,X,X,O,X,O,O,O,O,X,X
ILSTOJZ,O,O,X,X,X,X,X,O,X,X,X,X
ILSTOZJ,O,X,X,X,O,X,O,X,O,X,X,X
ILSJTZO,O,O,X,X,X,X,X,O,X,X,X,X
ILSJTOZ,O,O,X,X,X,X,X,O,X,X,X,O
ILSJZTO,O,X,X,X,X,X,X,O,O,X,X,X
ILSJZOT,O,O,X,X,X,X,X,O,O,O,O,O
ILSJOTZ,O,O,X,X,X,X,X,O,X,X,X,O
ILSJOZT,O,O,X,X,X,X,X,O,O,X,O,O
ILSZTJO,O,O,X,X,X,X,O,O,O,X,X,X
ILSZTOJ,O,X,X,X,X,X,O,O,O,O,X,X
ILSZJTO,O,X,X,X,X,X,O,O,O,X,X,X
ILSZJOT,O,O,X,X,O,X,X,O,O,O,X,X
ILSZOTJ,O,X,X,X,X,X,O,O,O,O,X,X
ILSZOJT,O,X,X,X,O,X,X,O,O,O,X,X
ILSOTJZ,O,O,X,X,X,X,X,O,X,X,X,X
ILSOTZJ,O,X,X,X,O,X,X,X,O,X,X,X
ILSOJTZ,O,O,X,X,X,X,X,O,X,X,X,X
ILSOJZT,O,O,X,X,X,X,X,O,O,X,O,X
ILSOZTJ,O,X,X,X,X,X,X,X,O,O,X,X
ILSOZJT,O,X,X,X,O,X,X,X,O,O,X,X
ILZTJSO,O,X,X,X,O,X,O,O,O,X,X,X
ILZTJOS,O,X,X,O,O,X,O,O,O,X,X,X
ILZTSJO,O,X,X,X,O,X,O,O,O,X,X,X
ILZTSOJ,O,X,X,O,O,X,O,O,O,O,X,X
ILZTOJS,O,X,X,O,O,X,O,X,O,O,X,X
ILZTOSJ,O,X,X,O,O,X,O,X,O,O,X,X
ILZJTSO,O,X,X,X,X,X,O,O,O,X,X,X
ILZJTOS,O,X,X,O,O,X,O,O,O,X,X,X
ILZJSTO,O,X,X,X,X,X,O,O,O,X,X,X
ILZJSOT,O,X,X,X,O,X,X,O,O,O,X,X
ILZJOTS,O,X,X,O,O,X,X,O,O,O,X,X
ILZJOST,O,X,X,O,O,X,X,O,O,O,X,X
ILZSTJO,O,X,X,X,X,X,O,O,O,X,X,X
ILZSTOJ,O,X,X,O,X,X,O,O,O,O,X,X
ILZSJTO,O,X,X,X,X,X,O,O,O,X,X,X
ILZSJOT,O,X,X,X,O,X,X,O,O,O,X,X
ILZSOTJ,O,X,X,X,X,X,O,O,O,O,X,X
ILZSOJT,O,X,X,O,O,X,X,O,O,O,X,X
ILZOTJS,O,X,X,O,O,X,O,X,O,O,X,X
ILZOTSJ,O,X,X,O,O,X,O,X,O,O,X,X
ILZOJTS,O,X,X,O,O,X,X,O,O,O,X,X
ILZOJST,O,X,X,O,O,X,X,O,O,O,X,X
ILZOSTJ,O,X,X,X,X,X,O,O,O,O,X,X
ILZOSJT,O,X,X,O,O,X,X,O,O,O,X,X
ILOTJSZ,O,X,O,X,X,X,X,X,X,X,X,X
ILOTJZS,X,X,O,X,O,X,X,X,X,X,X,X
ILOTSJZ,O,X,O,X,X,X,X,X,X,X,X,X
ILOTSZJ,O,X,X,X,O,X,X,X,O,X,X,X
ILOTZJS,O,X,O,X,O,X,X,X,O,X,X,X
ILOTZSJ,O,X,X,X,O,X,X,X,O,X,X,X
ILOJTSZ,O,X,X,X,X,X,X,O,X,X,X,X
ILOJTZS,X,X,X,X,O,X,X,X,X,X,X,X
ILOJSTZ,O,X,X,X,X,X,X,O,X,X,X,X
ILOJSZT,O,X,X,X,X,X,X,O,O,X,O,X
ILOJZTS,X,X,O,O,O,X,X,X,O,X,X,X
ILOJZST,X,X,O,O,O,X,X,O,O,X,O,X
ILOSTJZ,O,X,X,X,X,X,X,O,X,X,X,X
ILOSTZJ,O,X,X,X,O,X,X,X,O,X,X,X
ILOSJTZ,O,X,X,X,X,X,X,O,X,X,X,X
ILOSJZT,O,X,X,X,X,X,X,O,O,X,O,X
ILOSZTJ,O,X,X,X,X,X,X,X,O,O,X,X
ILOSZJT,O,X,X,X,O,X,X,X,O,O,X,X
ILOZTJS,O,X,X,O,O,X,X,X,O,O,X,X
ILOZTSJ,O,X,X,X,O,X,X,X,O,O,X,X
ILOZJTS,O,X,X,O,O,X,X,X,O,O,X,X
ILOZJST,O,X,X,O,O,X,X,X,O,O,X,X
ILOZSTJ,O,X,X,X,X,X,X,X,O,O,X,X
ILOZSJT,O,X,X,O,O,X,X,X,O,O,X,X
IJTLSZO,O,O,O,X,X,X,X,X,X,X,X,X
IJTLSOZ,O,O,O,X,X,X,X,X,X,X,X,O
IJTLZSO,X,X,O,X,O,X,X,X,X,X,X,X
IJTLZOS,X,X,O,X,O,X,X,X,X,X,X,X
IJTLOSZ,O,O,O,X,X,X,X,X,X,X,X,O
IJTLOZS,X,X,O,X,O,X,X,X,X,X,X,X
IJTSLZO,O,O,O,X,X,X,X,X,X,X,X,X
IJTSLOZ,O,O,O,X,X,X,X,X,X,X,X,O
IJTSZLO,O,O,O,X,X,X,X,X,O,X,X,X
IJTSZOL,X,O,O,X,X,X,X,X,X,X,O,X
IJTSOLZ,O,O,O,X,X,X,X,X,X,X,X,O
IJTSOZL,X,O,O,X,X,X,X,X,X,X,O,X
IJTZLSO,X,X,O,X,X,X,X,X,O,X,X,X
IJTZLOS,X,X,O,X,X,X,X,X,O,X,X,X
IJTZSLO,X,O,O,X,X,X,X,X,O,X,X,X
IJTZSOL,X,O,O,X,X,X,X,X,X,X,O,X
IJTZOLS,X,X,O,X,X,X,X,X,X,X,X,X
IJTZOSL,X,O,O,X,X,X,X,X,X,X,O,X
IJTOLSZ,X,O,O,X,X,X,X,X,X,X,X,O
IJTOLZS,X,X,O,X,O,X,X,X,X,X,X,X
IJTOSLZ,X,O,O,X,X,X,X,X,X,X,X,O
IJTOSZL,X,O,O,X,X,X,X,X,X,X,O,X
IJTOZLS,X,X,O,X,X,X,X,X,X,X,X,X
IJTOZSL,X,O,O,X,X,X,X,X,X,X,O,X
IJLTSZO,O,X,X,X,X,X,X,O,X,X,X,X
IJLTSOZ,O,X,X,X,X,X,X,O,X,X,X,O
IJLTZSO,X,X,X,X,O,X,X,X,X,X,X,X
IJLTZOS,X,X,X,X,O,X,X,X,X,X,X,X
IJLTOSZ,O,X,X,X,X,X,X,O,X,X,X,O
IJLTOZS,X,X,X,X,O,X,X,X,X,X,X,X
IJLSTZO,X,X,X,X,X,X,X,O,X,X,X,X
IJLSTOZ,O,O,X,X,X,X,X,O,X,X,X,O
IJLSZTO,X,X,X,X,X,X,X,O,O,X,X,X
IJLSZOT,O,O,X,X,X,X,X,O,O,O,O,O
IJLSOTZ,O,O,X,X,X,X,X,O,X,X,X,O
IJLSOZT,O,O,X,X,X,X,X,O,O,X,O,O
IJLZTSO,X,X,X,X,X,X,X,X,O,X,X,X
IJLZTOS,X,X,O,X,O,X,X,X,O,X,X,X
IJLZSTO,X,X,X,X,X,X,X,O,O,X,X,X
IJLZSOT,X,X,O,X,O,X,X,O,O,O,O,O
IJLZOTS,X,X,O,X,O,X,X,X,O,O,X,X
IJLZOST,X,X,O,X,O,X,X,O,O,O,O,O
IJLOTSZ,O,X,X,X,X,X,X,O,X,X,X,O
IJLOTZS,X,X,X,X,O,X,X,X,X,X,X,X
IJLOSTZ,O,O,X,X,X,X,X,O,X,X,X,O
IJLOSZT,O,O,X,X,X,X,X,O,O,X,O,O
IJLOZTS,X,X,O,X,O,X,X,X,O,X,X,X
IJLOZST,X,X,O,X,O,X,X,O,O,X,O,O
IJSTLZO,O,O,X,X,X,X,X,O,X,X,X,X
IJSTLOZ,O,O,X,X,X,X,X,O,X,X,X,O
IJSTZLO,O,O,X,X,X,X,X,X,O,X,X,X
IJSTZOL,X,O,X,X,X,X,X,X,X,X,O,X
IJSTOLZ,O,O,X,X,X,X,X,X,X,X,X,O
IJSTOZL,X,O,X,X,X,X,X,X,X,X,O,X
IJSLTZO,O,O,X,X,X,X,X,O,X,X,X,X
IJSLTOZ,O,O,X,X,X,X,X,O,X,X,X,O
IJSLZTO,X,O,X,X,X,X,X,O,O,X,X,X
IJSLZOT,O,O,X,X,X,X,X,O,O,O,O,O
IJSLOTZ,O,O,X,X,X,X,X,O,X,X,X,O
IJSLOZT,O,O,X,X,X,X,X,O,O,X,O,O
IJSZTLO,O,O,X,X,X,X,X,X,O,X,X,X
IJSZTOL,X,O,X,X,X,X,X,X,X,X,O,X
IJSZLTO,X,O,X,X,X,X,X,X,O,X,X,X
IJSZLOT,O,O,O,X,X,X,X,X,O,O,O,O
IJSZOTL,X,O,X,X,X,X,X,X,X,O,O,X
IJSZOLT,X,O,O,X,X,X,X,X,O,O,O,O
IJSOTLZ,O,O,X,X,X,X,X,X,X,X,X,O
IJSOTZL,X,X,X,X,X,X,X,X,X,X,O,X
IJSOLTZ,O,O,X,X,X,X,X,X,X,X,X,O
IJSOLZT,O,O,X,X,X,X,X,X,X,X,O,O
IJSOZTL,X,O,X,X,X,X,X,X,X,O,O,X
IJSOZLT,X,O,O,X,X,X,X,X,O,O,O,O
IJZTLSO,X,X,O,X,X,X,X,X,O,X,X,X
IJZTLOS,X,X,O,X,X,X,X,X,O,X,X,X
IJZTSLO,X,O,O,X,X,X,X,X,O,X,X,X
IJZTSOL,X,O,O,X,X,X,X,X,X,X,O,X
IJZTOLS,X,X,O,X,X,X,X,X,X,X,X,X
IJZTOSL,X,O,O,X,X,X,X,X,X,X,O,X
IJZLTSO,X,X,X,X,X,X,X,X,O,X,X,X
IJZLTOS,X,X,O,X,X,X,X,X,O,X,X,X
IJZLSTO,X,O,X,X,X,X,X,X,O,X,X,X
IJZLSOT,X,O,O,X,X,X,X,X,O,O,O,O
IJZLOTS,X,X,O,X,X,X,X,X,O,O,X,X
IJZLOST,X,O,O,X,X,X,X,X,O,O,O,O
IJZSTLO,X,O,X,X,X,X,X,X,O,X,X,X
IJZSTOL,X,O,X,X,X,X,X,X,X,X,O,X
IJZSLTO,X,O,X,X,X,X,X,X,O,X,X,X
IJZSLOT,X,O,O,X,X,X,X,X,O,O,O,O
IJZSOTL,X,O,X,X,X,X,X,X,X,O,O,X
IJZSOLT,X,O,O,X,X,X,X,X,O,O,O,O
IJZOTLS,X,X,O,X,X,X,X,X,X,O,X,X
IJZOTSL,X,O,O,X,X,X,X,X,X,O,O,X
IJZOLTS,X,X,O,X,X,X,X,X,O,O,X,X
IJZOLST,X,O,O,X,X,X,X,X,O,O,O,O
IJZOSTL,X,O,X,X,X,X,X,X,X,O,O,X
IJZOSLT,X,O,O,X,X,X,X,X,O,O,O,O
IJOTLSZ,X,X,O,X,X,X,X,X,X,X,X,O
IJOTLZS,X,X,O,X,O,X,X,X,X,X,X,X
IJOTSLZ,X,O,O,X,X,X,X,X,X,X,X,O
IJOTSZL,X,X,O,X,X,X,X,X,X,X,O,X
IJOTZLS,X,X,O,X,X,X,X,X,X,X,X,X
IJOTZSL,X,X,O,X,X,X,X,X,X,X,O,X
IJOLTSZ,X,X,X,X,X,X,X,X,X,X,X,O
IJOLTZS,X,X,X,X,O,X,X,X,X,X,X,X
IJOLSTZ,X,O,X,X,X,X,X,X,X,X,X,O
IJOLSZT,X,O,X,X,X,X,X,X,X,X,O,O
IJOLZTS,X,X,O,X,O,X,X,X,X,X,X,X
IJOLZST,X,X,O,X,O,X,X,X,X,X,O,O
IJOSTLZ,X,O,X,X,X,X,X,X,X,X,X,O
IJOSTZL,X,X,X,X,X,X,X,X,X,X,O,X
IJOSLTZ,X,O,X,X,X,X,X,X,X,X,X,O
IJOSLZT,X,O,X,X,X,X,X,X,X,X,O,O
IJOSZTL,X,O,X,X,X,X,X,X,X,O,O,X
IJOSZLT,X,O,O,X,X,X,X,X,O,O,O,O
IJOZTLS,X,X,O,X,X,X,X,X,X,O,X,X
IJOZTSL,X,O,O,X,X,X,X,X,X,O,O,X
IJOZLTS,X,X,O,X,X,X,X,X,O,O,X,X
IJOZLST,X,O,O,X,X,X,X,X,O,O,O,O
IJOZSTL,X,O,X,X,X,X,X,X,X,O,O,X
IJOZSLT,X,O,O,X,X,X,X,X,O,O,O,O
ISTLJZO,O,O,O,X,X,X,X,O,X,X,X,X
ISTLJOZ,O,O,O,X,X,X,X,O,X,X,X,X
ISTLZJO,O,O,X,X,O,X,X,O,O,X,X,X
ISTLZOJ,O,O,X,X,O,X,X,O,O,O,X,X
ISTLOJZ,O,O,O,X,X,X,X,O,X,X,X,X
ISTLOZJ,O,X,X,X,O,X,X,X,O,X,X,X
ISTJLZO,O,O,O,X,X,X,X,O,X,X,X,X
ISTJLOZ,O,O,O,X,X,X,X,O,X,X,X,O
ISTJZLO,O,O,O,X,X,X,X,X,O,X,X,X
ISTJZOL,O,O,O,X,X,X,X,X,X,X,O,X
ISTJOLZ,O,O,O,X,X,X,X,X,X,X,X,O
ISTJOZL,X,O,O,X,X,X,X,X,X,X,O,X
ISTZLJO,O,O,X,X,X,X,X,O,O,X,X,X
ISTZLOJ,O,O,X,X,X,X,X,O,O,O,X,X
ISTZJLO,O,O,X,X,X,X,X,O,O,X,X,X
ISTZJOL,O,O,X,X,X,X,X,X,X,X,X,X
ISTZOLJ,O,O,X,X,X,X,X,O,X,O,X,X
ISTZOJL,O,O,X,X,X,X,X,X,X,O,X,X
ISTOLJZ,O,O,O,X,X,X,X,O,X,X,X,X
ISTOLZJ,O,X,X,X,O,X,X,X,X,X,X,X
ISTOJLZ,O,O,O,X,X,X,X,X,X,X,X,X
ISTOJZL,X,O,O,X,X,X,X,X,X,X,O,X
ISTOZLJ,X,X,X,X,X,X,X,X,X,O,X,X
ISTOZJL,X,X,X,X,X,X,X,X,X,O,X,X
ISLTJZO,O,O,X,X,X,X,X,O,X,X,X,X
ISLTJOZ,O,O,X,X,X,X,X,O,X,X,X,X
ISLTZJO,O,O,X,X,O,X,X,O,O,X,X,X
ISLTZOJ,O,O,X,X,O,X,X,O,O,O,X,X
ISLTOJZ,O,O,X,X,X,X,X,O,X,X,X,X
ISLTOZJ,O,X,X,X,O,X,X,X,O,X,X,X
ISLJTZO,O,O,X,X,X,X,X,O,X,X,X,X
ISLJTOZ,O,O,X,X,X,X,X,O,X,X,X,O
ISLJZTO,O,O,X,X,X,X,X,O,O,X,X,X
ISLJZOT,O,O,X,X,X,X,X,O,O,O,O,O
ISLJOTZ,O,O,X,X,X,X,X,O,X,X,X,O
ISLJOZT,O,O,X,X,X,X,X,O,O,X,O,O
ISLZTJO,O,O,X,X,X,X,X,O,O,X,X,X
ISLZTOJ,O,O,X,X,X,X,X,O,O,O,X,X
ISLZJTO,O,O,X,X,X,X,X,O,O,X,X,X
ISLZJOT,O,O,X,X,O,X,X,O,O,O,X,X
ISLZOTJ,O,O,X,X,X,X,X,O,O,O,X,X
ISLZOJT,O,O,X,X,O,X,X,O,O,O,X,X
ISLOTJZ,O,O,X,X,X,X,X,O,X,X,X,X
ISLOTZJ,O,X,X,X,O,X,X,X,O,X,X,X
ISLOJTZ,O,O,X,X,X,X,X,O,X,X,X,X
ISLOJZT,O,O,X,X,X,X,X,O,O,X,O,X
ISLOZTJ,O,X,X,X,X,X,X,X,O,O,X,X
ISLOZJT,O,X,X,X,O,X,X,X,O,O,X,X
ISJTLZO,O,O,X,X,X,X,X,O,X,X,X,X
ISJTLOZ,O,O,X,X,X,X,X,O,X,X,X,O
ISJTZLO,O,O,X,X,X,X,X,X,O,X,X,X
ISJTZOL,O,O,X,X,X,X,X,X,X,X,O,X
ISJTOLZ,O,O,X,X,X,X,X,X,X,X,X,O
ISJTOZL,X,O,X,X,X,X,X,X,X,X,O,X
ISJLTZO,O,O,X,X,X,X,X,O,X,X,X,X
ISJLTOZ,O,O,X,X,X,X,X,O,X,X,X,O
ISJLZTO,O,O,X,X,X,X,X,O,O,X,X,X
ISJLZOT,O,O,X,X,X,X,X,O,O,O,O,O
ISJLOTZ,O,O,X,X,X,X,X,O,X,X,X,O
ISJLOZT,O,O,X,X,X,X,X,O,O,X,O,O
ISJZTLO,O,O,X,X,X,X,X,X,O,X,X,X
ISJZTOL,O,O,X,X,X,X,X,X,X,X,O,X
ISJZLTO,O,O,X,X,X,X,X,X,O,X,X,X
ISJZLOT,O,O,O,X,X,X,X,X,O,O,O,O
ISJZOTL,O,O,X,X,X,X,X,X,X,O,O,X
ISJZOLT,O,O,O,X,X,X,X,X,O,O,O,O
ISJOTLZ,O,O,X,X,X,X,X,X,X,X,X,O
ISJOTZL,X,X,X,X,X,X,X,X,X,X,O,X
ISJOLTZ,O,O,X,X,X,X,X,X,X,X,X,O
ISJOLZT,O,O,X,X,X,X,X,X,X,X,O,O
ISJOZTL,X,O,X,X,X,X,X,X,X,O,O,X
ISJOZLT,X,O,O,X,X,X,X,X,O,O,O,O
ISZTLJO,O,O,X,X,X,X,X,O,O,X,X,X
ISZTLOJ,O,O,X,X,X,X,X,O,O,O,X,X
ISZTJLO,O,O,X,X,X,X,X,O,O,X,X,X
ISZTJOL,O,O,X,X,X,X,X,X,X,X,X,X
ISZTOLJ,O,O,X,X,X,X,X,O,X,O,X,X
ISZTOJL,O,O,X,X,X,X,X,X,X,O,X,X
ISZLTJO,O,O,X,X,X,X,X,O,O,X,X,X
ISZLTOJ,O,O,X,X,X,X,X,O,O,O,X,X
ISZLJTO,O,O,X,X,X,X,X,O,O,X,X,X
ISZLJOT,O,O,X,X,X,X,X,O,O,O,X,X
ISZLOTJ,O,O,X,X,X,X,X,O,O,O,X,X
ISZLOJT,O,O,X,X,X,X,X,O,O,O,X,X
ISZJTLO,O,O,X,X,X,X,X,O,O,X,X,X
ISZJTOL,O,O,X,X,X,X,X,X,X,X,O,X
ISZJLTO,O,O,X,X,X,X,X,O,O,X,X,X
ISZJLOT,O,O,X,X,X,X,X,O,O,O,O,O
ISZJOTL,O,O,X,X,X,X,X,X,X,O,O,X
ISZJOLT,O,O,X,X,X,X,X,X,O,O,O,O
ISZOTLJ,O,O,X,X,X,X,X,O,X,O,X,X
ISZOTJL,O,O,X,X,X,X,X,X,X,O,X,X
ISZOLTJ,O,O,X,X,X,X,X,O,O,O,X,X
ISZOLJT,O,O,X,X,X,X,X,O,O,O,X,X
ISZOJTL,O,O,X,X,X,X,X,X,X,O,O,X
ISZOJLT,O,O,X,X,X,X,X,X,O,O,O,X
ISOTLJZ,O,O,O,X,X,X,X,O,X,X,X,X
ISOTLZJ,O,X,X,X,O,X,X,X,X,X,X,X
ISOTJLZ,O,O,O,X,X,X,X,X,X,X,X,X
ISOTJZL,X,O,O,X,X,X,X,X,X,X,O,X
ISOTZLJ,X,X,X,X,X,X,X,X,X,O,X,X
ISOTZJL,X,X,X,X,X,X,X,X,X,O,X,X
ISOLTJZ,O,O,X,X,X,X,X,O,X,X,X,X
ISOLTZJ,X,X,X,X,O,X,X,X,O,X,X,X
ISOLJTZ,O,O,X,X,X,X,X,O,X,X,X,X
ISOLJZT,O,O,X,X,X,X,X,O,O,X,O,X
ISOLZTJ,X,X,X,X,X,X,X,X,O,O,X,X
ISOLZJT,O,X,X,X,O,X,X,X,O,O,X,X
ISOJTLZ,O,O,X,X,X,X,X,X,X,X,X,O
ISOJTZL,X,X,X,X,X,X,X,X,X,X,O,X
ISOJLTZ,O,O,X,X,X,X,X,X,X,X,X,O
ISOJLZT,O,O,X,X,X,X,X,X,X,X,O,O
ISOJZTL,X,X,X,X,X,X,X,X,X,O,O,X
ISOJZLT,X,O,O,X,X,X,X,X,O,O,O,O
ISOZTLJ,X,X,X,X,X,X,X,X,X,O,X,X
ISOZTJL,X,X,X,X,X,X,X,X,X,O,X,X
ISOZLTJ,X,X,X,X,X,X,X,X,O,O,X,X
ISOZLJT,X,X,X,X,X,X,X,X,O,O,X,X
ISOZJTL,X,X,X,X,X,X,X,X,X,O,O,X
ISOZJLT,X,X,X,X,X,X,X,X,O,O,O,X
IZTLJSO,O,O,O,X,O,X,O,O,O,X,X,X
IZTLJOS,O,O,O,O,O,X,O,O,O,X,X,X
IZTLSJO,O,O,X,X,O,X,O,O,O,X,X,X
IZTLSOJ,O,O,X,O,O,O,O,O,O,O,X,X
IZTLOJS,O,X,O,O,O,O,O,X,O,O,X,X
IZTLOSJ,O,X,X,O,O,O,O,X,O,O,X,X
IZTJLSO,O,O,O,X,X,X,O,X,O,X,X,X
IZTJLOS,O,O,O,O,X,X,O,X,O,X,X,X
IZTJSLO,O,O,O,X,X,X,X,X,O,X,X,X
IZTJSOL,O,O,O,X,X,O,X,X,X,X,X,X
IZTJOLS,X,O,O,O,X,O,O,X,X,X,X,X
IZTJOSL,X,O,O,O,X,O,X,X,X,X,X,X
IZTSLJO,O,O,X,X,X,X,O,O,O,X,X,X
IZTSLOJ,O,O,X,O,X,O,O,O,O,O,X,X
IZTSJLO,O,O,X,X,X,X,X,O,O,X,X,X
IZTSJOL,O,O,X,X,X,O,X,X,X,X,X,X
