sequence,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeOAJvhFxcBTeB?FhB0iBqrB/sB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeOAJvhFXcBidB?cjB1mB5nBzrB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeOAJvhFXcBxdB?UiBFjB6rBTsB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeT+IvhFxgB0iB?igBlmBXsBGsB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8Jex7IvhFTeBigB?FiB0mBusBXsB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8Jex7IvhFTeBigB?0mBlnBGsBXsB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeOAJvhFxdBUhB?FiBXjB6rBTsB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8Jex7IvhFTeBigB?lmB3nB8rB+sB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8Jex7IvhFldBcjB?igB3hBTnBWxB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeOAJvhFTeBFhB?RnB6sBXnB0rB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeOAJvhFxcBTeB?FhB8mB3nBSxB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8Je5BJvhFcjBmgB?TiBigBXsBlsB
ITZSLOJ,X,O,X,X,X,X,X,X,X,X,X,X
ITZSJLO,X,O,O,X,X,X,X,X,X,X,X,X
ITZSJOL,X,O,O,X,X,X,X,X,X,X,X,X
ITZSOLJ,X,O,X,O,X,X,X,X,X,X,X,X
ITZSOJL,X,O,X,X,X,X,X,X,X,X,X,X
ITZOLJS,X,O,O,O,X,O,X,X,X,X,X,X
ITZOLSJ,X,O,O,O,X,O,X,X,X,X,X,X
ITZOJLS,O,O,O,O,X,X,X,X,X,O,X,X
ITZOJSL,X,O,O,X,X,X,X,X,X,X,X,X
ITZOSLJ,X,O,O,O,X,X,X,X,X,X,X,X
ITZOSJL,X,O,O,O,X,X,X,X,X,X,X,X
ITOLJSZ,O,O,O,X,X,X,X,X,X,O,X,X
ITOLJZS,O,O,O,X,X,X,X,X,X,O,X,X
ITOLSJZ,O,O,O,X,X,X,X,O,X,X,X,X
ITOLSZJ,O,O,O,X,X,X,X,X,X,X,X,X
ITOLZJS,O,O,O,O,X,O,X,X,X,X,X,X
ITOLZSJ,X,O,O,O,X,O,X,X,X,X,X,X
ITOJLSZ,O,O,O,X,X,X,X,X,X,O,X,X
ITOJLZS,O,O,O,X,X,X,X,X,X,O,X,X
ITOJSLZ,O,O,O,X,X,X,X,X,X,O,X,X
ITOJSZL,X,O,O,X,X,X,X,X,X,X,X,X
ITOJZLS,O,O,O,O,X,X,X,X,X,O,X,X
ITOJZSL,X,O,O,X,X,X,X,X,X,X,X,X
ITOSLJZ,X,O,O,X,X,X,X,O,X,X,X,X
ITOSLZJ,X,O,O,X,X,X,X,X,X,X,X,X
ITOSJLZ,O,O,O,X,X,X,X,X,X,O,X,X
ITOSJZL,X,O,O,X,X,X,X,X,X,X,X,X
ITOSZLJ,X,O,O,O,X,X,X,X,X,X,X,X
ITOSZJL,X,O,O,O,X,X,X,X,X,X,X,X
ITOZLJS,X,O,O,O,X,O,X,X,X,X,X,X
ITOZLSJ,X,O,O,O,X,O,X,X,X,X,X,X
ITOZJLS,O,O,O,O,X,X,X,X,X,O,X,X
ITOZJSL,X,O,O,X,X,X,X,X,X,X,X,X
ITOZSLJ,X,O,O,O,X,X,X,X,X,X,X,X
ITOZSJL,X,O,O,O,X,X,X,X,X,X,X,X
ILTJSZO,O,O,O,X,X,X,X,O,O,X,X,X
ILTJSOZ,O,X,O,X,X,X,X,X,X,O,X,X
ILTJZSO,O,O,O,X,O,X,X,X,O,X,X,X
ILTJZOS,O,O,O,X,O,X,X,X,O,O,X,X
ILTJOSZ,O,X,O,X,X,X,X,X,X,O,X,X
ILTJOZS,O,X,X,X,O,X,X,X,O,O,X,X
ILTSJZO,O,O,O,X,X,X,X,O,O,X,X,X
ILTSJOZ,O,X,O,X,X,X,X,O,X,X,X,X
ILTSZJO,O,O,O,X,X,X,X,O,O,X,X,X
ILTSZOJ,O,O,O,X,X,X,X,O,O,X,X,X
ILTSOJZ,O,X,O,X,X,X,X,O,X,X,X,X
ILTSOZJ,O,X,X,X,X,X,X,O,X,X,X,X
ILTZJSO,O,O,O,X,O,O,X,X,O,X,X,X
ILTZJOS,O,O,O,X,O,O,X,X,O,X,X,X
ILTZSJO,O,O,O,X,X,O,X,O,O,X,X,X
ILTZSOJ,O,O,O,X,X,O,X,O,O,X,X,X
ILTZOJS,O,O,O,O,X,O,X,X,O,X,X,X
ILTZOSJ,X,O,O,O,X,O,X,X,O,X,X,X
ILTOJSZ,O,X,O,X,X,X,X,X,X,O,X,X
ILTOJZS,O,X,X,X,O,X,X,X,X,O,X,X
ILTOSJZ,O,X,O,X,X,X,X,O,X,X,X,X
ILTOSZJ,O,X,X,X,X,X,X,O,X,X,X,X
ILTOZJS,O,X,X,O,X,O,X,X,X,X,X,X
ILTOZSJ,X,X,X,O,X,O,X,X,X,X,X,X
ILJTSZO,O,O,O,X,X,X,X,O,O,X,X,X
ILJTSOZ,O,X,O,X,X,X,X,X,X,O,X,X
ILJTZSO,O,O,O,X,O,X,X,X,O,X,X,X
ILJTZOS,O,O,O,X,O,X,X,X,O,O,X,X
ILJTOSZ,O,X,O,X,X,X,X,X,X,O,X,X
ILJTOZS,O,X,X,X,O,X,X,X,O,O,X,X
ILJSTZO,O,X,O,X,X,X,X,X,O,X,X,X
ILJSTOZ,O,X,O,X,X,X,X,X,X,X,X,X
ILJSZTO,O,X,O,X,O,X,X,X,O,X,X,X
ILJSZOT,O,X,O,X,O,X,X,X,O,X,X,X
ILJSOTZ,O,X,O,X,X,X,X,X,X,X,X,X
ILJSOZT,X,X,O,X,O,X,X,X,O,X,X,X
ILJZTSO,X,O,O,X,O,O,X,X,O,X,X,X
ILJZTOS,O,O,O,X,O,O,X,X,O,X,X,X
ILJZSTO,X,O,O,X,O,X,X,X,O,X,X,X
ILJZSOT,X,X,O,X,O,X,X,X,O,X,X,X
ILJZOTS,O,O,X,X,O,O,X,X,O,X,X,X
ILJZOST,X,X,O,X,O,X,X,X,O,X,X,X
ILJOTSZ,O,O,O,X,X,X,X,X,X,O,X,X
ILJOTZS,O,O,O,X,O,X,X,X,O,O,X,X
ILJOSTZ,O,X,O,X,X,X,X,X,O,X,X,X
ILJOSZT,X,X,O,X,O,X,X,X,O,X,X,X
ILJOZTS,O,O,O,X,O,O,X,X,O,X,X,X
ILJOZST,X,X,O,X,O,X,X,X,O,X,X,X
ILSTJZO,O,X,O,X,X,X,X,O,O,X,X,X
ILSTJOZ,O,X,O,X,X,X,X,O,X,X,X,X
ILSTZJO,O,X,O,X,X,X,X,O,O,X,X,X
ILSTZOJ,O,X,O,X,X,X,X,O,O,X,X,X
ILSTOJZ,O,X,O,X,X,X,X,O,X,X,X,X
ILSTOZJ,O,X,X,X,X,X,X,O,X,X,X,X
ILSJTZO,O,X,O,X,X,X,X,X,O,X,X,X
ILSJTOZ,O,X,O,X,X,X,X,X,X,X,X,X
ILSJZTO,O,X,O,X,O,X,X,X,O,X,X,X
ILSJZOT,O,X,O,X,O,X,X,X,O,X,X,X
ILSJOTZ,O,X,O,X,X,X,X,X,X,X,X,X
ILSJOZT,X,X,O,X,O,X,X,X,O,X,X,X
ILSZTJO,O,X,O,X,X,O,X,X,O,X,X,X
ILSZTOJ,O,X,O,X,X,O,X,X,O,X,X,X
ILSZJTO,O,X,O,X,O,X,X,X,O,X,X,X
ILSZJOT,O,X,O,X,O,X,X,X,O,X,X,X
ILSZOTJ,O,X,X,O,X,O,X,X,O,X,X,X
ILSZOJT,O,X,O,O,X,X,X,X,O,X,X,X
ILSOTJZ,O,X,O,X,X,X,X,O,X,X,X,X
ILSOTZJ,O,X,O,X,X,X,X,X,X,X,X,X
ILSOJTZ,O,X,O,X,X,X,X,X,X,X,X,X
ILSOJZT,X,X,O,X,O,X,X,X,O,X,X,X
ILSOZTJ,X,X,O,O,X,O,X,X,O,X,X,X
ILSOZJT,X,X,O,O,X,X,X,X,O,X,X,X
ILZTJSO,X,O,O,X,O,O,X,X,O,X,X,X
ILZTJOS,O,O,O,X,O,O,X,X,O,X,X,X
ILZTSJO,X,O,O,X,X,O,X,O,O,X,X,X
ILZTSOJ,X,O,O,X,X,O,X,O,O,X,X,X
ILZTOJS,O,O,O,X,X,O,X,X,O,X,X,X
ILZTOSJ,X,O,O,X,X,O,X,X,O,X,X,X
ILZJTSO,X,O,O,X,O,O,X,X,O,X,X,X
ILZJTOS,O,O,O,X,O,O,X,X,O,X,X,X
ILZJSTO,X,O,O,X,O,X,X,X,O,X,X,X
ILZJSOT,X,X,O,X,O,X,X,X,O,X,X,X
ILZJOTS,O,O,X,X,O,O,X,X,O,X,X,X
ILZJOST,X,X,O,X,O,X,X,X,O,X,X,X
ILZSTJO,X,O,O,X,X,O,X,X,O,X,X,X
ILZSTOJ,X,O,O,X,X,O,X,X,O,X,X,X
ILZSJTO,X,O,O,X,O,X,X,X,O,X,X,X
ILZSJOT,X,X,O,X,O,X,X,X,O,X,X,X
ILZSOTJ,X,X,X,X,X,O,X,X,O,X,X,X
ILZSOJT,X,X,O,X,X,X,X,X,O,X,X,X
ILZOTJS,O,O,X,O,X,O,X,X,O,X,X,X
ILZOTSJ,X,O,X,O,X,O,X,X,O,X,X,X
ILZOJTS,O,O,X,O,O,O,X,X,O,X,X,X
ILZOJST,X,X,O,O,O,X,X,X,O,X,X,X
ILZOSTJ,X,X,X,O,X,O,X,X,O,X,X,X
ILZOSJT,X,X,O,O,X,X,X,X,O,X,X,X
ILOTJSZ,O,O,O,X,X,X,X,X,X,O,X,X
ILOTJZS,O,O,O,X,O,X,X,X,X,O,X,X
ILOTSJZ,O,O,O,X,X,X,X,O,X,X,X,X
ILOTSZJ,O,O,O,X,X,X,X,O,X,X,X,X
ILOTZJS,O,O,O,O,X,O,X,X,X,X,X,X
ILOTZSJ,X,O,O,O,X,O,X,X,X,X,X,X
ILOJTSZ,O,O,O,X,X,X,X,X,X,O,X,X
ILOJTZS,O,O,O,X,O,X,X,X,O,O,X,X
ILOJSTZ,O,X,O,X,X,X,X,X,X,X,X,X
ILOJSZT,X,X,O,X,O,X,X,X,O,X,X,X
ILOJZTS,O,O,O,X,O,O,X,X,O,X,X,X
ILOJZST,X,X,O,X,O,X,X,X,O,X,X,X
ILOSTJZ,O,X,O,X,X,X,X,O,X,X,X,X
ILOSTZJ,O,X,O,X,X,X,X,X,X,X,X,X
ILOSJTZ,O,X,O,X,X,X,X,X,X,X,X,X
ILOSJZT,X,X,O,X,O,X,X,X,O,X,X,X
ILOSZTJ,X,X,O,O,X,O,X,X,O,X,X,X
ILOSZJT,X,X,O,O,X,X,X,X,O,X,X,X
ILOZTJS,O,O,O,O,X,O,X,X,O,X,X,X
ILOZTSJ,X,O,O,O,X,O,X,X,O,X,X,X
ILOZJTS,O,O,O,O,O,O,X,X,O,X,X,X
ILOZJST,X,X,O,O,O,X,X,X,O,X,X,X
ILOZSTJ,X,X,O,O,X,O,X,X,O,X,X,X
ILOZSJT,X,X,O,O,X,X,X,X,O,X,X,X
IJTLSZO,O,O,O,X,X,X,X,X,X,X,X,X
IJTLSOZ,O,X,O,X,X,X,X,X,X,O,X,X
IJTLZSO,O,O,O,X,X,X,X,X,X,X,X,X
IJTLZOS,O,O,O,X,X,X,X,X,X,O,X,X
IJTLOSZ,O,X,O,X,X,X,X,X,X,O,X,X
IJTLOZS,O,X,O,X,O,X,X,X,X,O,X,X
IJTSLZO,O,O,O,X,X,X,X,X,X,X,X,X
IJTSLOZ,O,X,O,X,X,X,X,X,X,O,X,X
IJTSZLO,X,O,O,X,X,X,X,X,X,X,X,X
IJTSZOL,X,O,O,X,X,X,X,X,X,X,X,X
IJTSOLZ,O,X,O,X,X,X,X,X,X,O,X,X
IJTSOZL,X,O,O,X,X,X,X,X,X,X,X,X
IJTZLSO,O,O,O,X,X,X,X,X,X,X,X,X
IJTZLOS,O,O,X,X,X,X,X,X,X,O,X,X
IJTZSLO,X,O,O,X,X,X,X,X,X,X,X,X
IJTZSOL,X,O,O,X,X,X,X,X,X,X,X,X
IJTZOLS,O,O,O,O,X,X,X,X,X,O,X,X
IJTZOSL,X,O,O,X,X,X,X,X,X,X,X,X
IJTOLSZ,O,O,O,X,X,X,X,X,X,O,X,X
IJTOLZS,O,O,O,X,O,X,X,X,X,O,X,X
IJTOSLZ,O,O,O,X,X,X,X,X,X,O,X,X
IJTOSZL,X,O,O,X,X,X,X,X,X,X,X,X
IJTOZLS,O,O,O,O,X,X,X,X,X,O,X,X
IJTOZSL,X,O,O,X,X,X,X,X,X,X,X,X
IJLTSZO,O,O,O,X,X,X,X,X,O,X,X,X
IJLTSOZ,O,X,O,X,X,X,X,X,X,O,X,X
IJLTZSO,O,O,O,X,O,X,X,X,O,X,X,X
IJLTZOS,O,O,O,X,O,X,X,X,O,O,X,X
IJLTOSZ,O,X,O,X,X,X,X,X,X,O,X,X
IJLTOZS,O,X,X,X,O,X,X,X,O,O,X,X
IJLSTZO,O,X,O,X,X,X,X,X,O,X,X,X
IJLSTOZ,O,X,O,X,X,X,X,X,X,X,X,X
IJLSZTO,O,X,O,X,O,X,X,X,O,X,X,X
IJLSZOT,O,X,O,X,O,X,X,X,O,X,X,X
IJLSOTZ,O,X,O,X,X,X,X,X,X,X,X,X
IJLSOZT,X,X,O,X,O,X,X,X,O,X,X,X
IJLZTSO,X,O,O,X,O,X,X,X,O,X,X,X
IJLZTOS,O,O,O,X,O,X,X,X,O,X,X,X
IJLZSTO,X,O,O,X,O,X,X,X,O,X,X,X
IJLZSOT,X,X,O,X,O,X,X,X,O,X,X,X
IJLZOTS,O,O,X,X,O,X,X,X,O,X,X,X
IJLZOST,X,X,O,X,O,X,X,X,O,X,X,X
IJLOTSZ,O,O,O,X,X,X,X,X,X,O,X,X
IJLOTZS,O,O,O,X,O,X,X,X,O,O,X,X
IJLOSTZ,O,X,O,X,X,X,X,X,O,X,X,X
IJLOSZT,X,X,O,X,O,X,X,X,O,X,X,X
IJLOZTS,O,O,O,X,O,X,X,X,O,X,X,X
IJLOZST,X,X,O,X,O,X,X,X,O,X,X,X
IJSTLZO,X,O,O,X,X,X,O,X,X,X,X,X
IJSTLOZ,X,X,O,X,X,X,X,X,X,O,X,X
IJSTZLO,X,O,O,X,X,X,O,X,O,X,X,X
IJSTZOL,X,O,O,X,X,X,O,X,O,X,X,O
IJSTOLZ,X,X,O,X,X,X,O,X,X,O,X,X
IJSTOZL,X,O,O,X,X,X,O,X,X,X,X,O
IJSLTZO,O,X,O,X,X,X,O,X,O,X,X,X
IJSLTOZ,O,X,O,X,X,X,X,X,X,X,X,X
IJSLZTO,O,X,O,X,X,X,X,X,O,X,X,X
IJSLZOT,O,X,O,X,X,X,X,X,O,X,X,O
IJSLOTZ,O,X,O,X,X,X,O,X,X,X,X,X
IJSLOZT,X,X,O,X,X,X,X,X,O,X,X,O
IJSZTLO,X,O,X,X,X,X,O,X,O,X,O,X
IJSZTOL,O,O,X,X,X,X,O,X,O,X,O,O
IJSZLTO,O,O,X,X,X,X,X,X,O,X,X,X
IJSZLOT,O,X,X,X,X,X,X,X,O,X,O,O
IJSZOTL,O,O,X,O,X,X,O,X,O,X,O,O
IJSZOLT,O,X,X,O,X,X,X,X,X,X,O,O
IJSOTLZ,X,O,O,X,X,X,O,X,X,O,X,X
IJSOTZL,X,O,O,X,X,X,O,X,X,X,X,O
IJSOLTZ,O,X,X,X,X,X,O,X,X,X,X,X
IJSOLZT,X,X,X,X,X,X,X,X,X,X,X,O
IJSOZTL,X,O,O,O,X,X,O,X,O,X,O,O
IJSOZLT,X,X,O,O,X,X,X,X,X,X,O,O
IJZTLSO,X,O,X,X,O,X,X,X,O,X,X,X
IJZTLOS,X,O,X,X,O,X,X,X,O,O,X,X
IJZTSLO,X,O,X,X,X,X,O,X,O,X,X,X
IJZTSOL,X,O,X,X,X,X,O,X,O,X,X,X
IJZTOLS,O,O,X,X,O,X,X,X,X,O,X,X
IJZTOSL,O,O,X,X,X,X,X,X,X,X,X,X
IJZLTSO,X,O,X,X,O,X,X,X,O,X,X,X
IJZLTOS,O,O,X,X,O,X,X,X,O,X,X,X
IJZLSTO,X,O,X,X,O,X,X,X,O,X,X,X
IJZLSOT,X,X,X,X,O,X,X,X,O,X,X,X
IJZLOTS,O,O,X,X,O,X,X,X,O,X,X,X
IJZLOST,O,X,X,X,O,X,X,X,O,X,X,X
IJZSTLO,X,O,X,X,X,X,O,X,O,X,X,X
IJZSTOL,O,O,X,X,X,X,O,X,O,X,X,O
IJZSLTO,O,O,X,X,X,X,X,X,O,X,X,X
IJZSLOT,O,X,X,X,X,X,X,X,O,X,X,O
IJZSOTL,O,O,X,X,X,X,X,X,O,X,X,O
IJZSOLT,O,X,X,X,X,X,X,X,X,X,X,O
IJZOTLS,O,O,X,O,O,X,X,X,O,O,X,X
IJZOTSL,O,O,X,X,X,X,O,X,O,X,X,X
IJZOLTS,O,O,X,O,O,X,X,X,O,X,X,X
IJZOLST,O,X,X,O,O,X,X,X,O,X,X,X
IJZOSTL,O,O,X,O,X,X,O,X,O,X,X,X
IJZOSLT,O,X,X,O,X,X,X,X,O,X,X,X
IJOTLSZ,O,O,O,X,X,X,X,X,X,O,X,X
IJOTLZS,O,O,O,X,O,X,X,X,X,O,X,X
IJOTSLZ,O,O,O,X,X,X,O,X,X,O,X,X
IJOTSZL,X,O,O,X,X,X,O,X,X,X,X,X
IJOTZLS,O,O,O,O,X,X,X,X,X,O,X,X
IJOTZSL,X,O,O,X,X,X,O,X,X,X,X,X
IJOLTSZ,O,O,O,X,X,X,X,X,X,O,X,X
IJOLTZS,O,O,O,X,O,X,X,X,O,O,X,X
IJOLSTZ,O,X,O,X,X,X,X,X,O,X,X,X
IJOLSZT,X,X,O,X,O,X,X,X,O,X,X,X
IJOLZTS,O,O,O,X,O,X,X,X,O,X,X,X
IJOLZST,X,X,O,X,O,X,X,X,O,X,X,X
IJOSTLZ,X,O,O,X,X,X,O,X,X,O,X,X
IJOSTZL,X,O,O,X,X,X,O,X,O,X,X,X
IJOSLTZ,O,X,X,X,X,X,O,X,O,X,X,X
IJOSLZT,X,X,X,X,X,X,X,X,O,X,X,X
IJOSZTL,X,O,O,O,X,X,O,X,O,X,O,X
IJOSZLT,X,X,O,O,X,X,X,X,O,X,O,X
IJOZTLS,O,O,O,O,O,X,X,X,O,O,X,X
IJOZTSL,O,O,O,X,X,X,O,X,O,X,X,X
IJOZLTS,O,O,X,O,O,X,X,X,O,X,X,X
IJOZLST,O,X,O,O,O,X,X,X,O,X,X,X
IJOZSTL,O,O,O,O,X,X,O,X,O,X,X,X
IJOZSLT,O,X,O,O,X,X,X,X,O,X,X,X
ISTLJZO,X,O,O,X,X,X,O,O,X,X,X,X
ISTLJOZ,X,X,O,X,X,X,X,O,X,X,X,X
ISTLZJO,X,O,X,X,X,X,O,O,X,X,X,X
ISTLZOJ,X,O,X,O,X,X,X,O,X,X,X,X
ISTLOJZ,X,X,X,X,X,X,X,O,X,X,X,X
ISTLOZJ,X,X,X,X,X,X,X,O,X,X,X,X
ISTJLZO,X,O,O,X,X,X,O,X,X,X,X,X
ISTJLOZ,X,X,O,X,X,X,X,X,X,O,X,X
ISTJZLO,X,O,O,X,X,X,O,X,O,X,X,X
ISTJZOL,X,O,O,O,X,X,O,X,O,X,X,O
ISTJOLZ,X,X,O,X,X,X,O,X,X,O,X,X
ISTJOZL,X,O,O,X,X,X,O,X,X,X,X,O
ISTZLJO,X,O,X,X,X,X,O,X,O,X,X,X
ISTZLOJ,X,O,X,O,X,X,X,X,O,X,X,X
ISTZJLO,X,O,O,X,X,X,O,X,O,X,X,X
ISTZJOL,X,O,O,O,X,X,O,X,O,X,X,O
ISTZOLJ,X,O,X,O,X,X,X,X,O,X,X,X
ISTZOJL,X,O,X,O,X,X,O,X,X,X,X,O
ISTOLJZ,X,X,X,X,X,X,O,O,X,X,X,X
ISTOLZJ,X,X,X,X,X,X,O,X,X,X,X,X
ISTOJLZ,X,X,O,X,X,X,O,X,X,O,X,X
ISTOJZL,X,O,O,X,X,X,O,X,X,X,X,O
ISTOZLJ,X,O,X,O,X,X,O,X,X,X,X,X
ISTOZJL,X,O,X,O,X,X,O,X,X,X,X,O
ISLTJZO,O,X,O,X,X,X,O,O,O,X,X,X
ISLTJOZ,O,X,O,X,X,X,X,O,X,X,X,X
ISLTZJO,O,X,O,X,X,X,O,O,O,X,X,X
ISLTZOJ,O,X,O,X,X,X,X,O,O,X,X,X
ISLTOJZ,O,X,O,X,X,X,X,O,X,X,X,X
ISLTOZJ,O,X,X,X,X,X,X,O,X,X,X,X
ISLJTZO,O,X,O,X,X,X,O,X,O,X,X,X
ISLJTOZ,O,X,O,X,X,X,X,X,X,X,X,X
ISLJZTO,O,X,O,X,X,X,X,X,O,X,X,X
ISLJZOT,O,X,O,X,X,X,X,X,O,X,X,O
ISLJOTZ,O,X,O,X,X,X,O,X,X,X,X,X
ISLJOZT,X,X,O,X,X,X,X,X,O,X,X,O
ISLZTJO,O,X,O,X,X,X,X,X,O,X,X,X
ISLZTOJ,O,X,O,X,X,X,X,X,O,X,X,X
ISLZJTO,O,X,O,X,X,X,X,X,O,X,X,X
ISLZJOT,O,X,O,X,X,X,X,X,O,X,X,O
ISLZOTJ,O,X,X,O,X,X,X,X,O,X,X,X
ISLZOJT,O,X,O,O,X,X,X,X,O,X,X,O
ISLOTJZ,O,X,O,X,X,X,O,O,X,X,X,X
ISLOTZJ,O,X,O,X,X,X,O,X,X,X,X,X
ISLOJTZ,O,X,O,X,X,X,O,X,X,X,X,X
ISLOJZT,X,X,O,X,X,X,X,X,O,X,X,O
ISLOZTJ,X,X,O,O,X,X,X,X,O,X,X,X
ISLOZJT,X,X,O,O,X,X,X,X,O,X,X,O
ISJTLZO,X,O,O,X,X,X,O,X,X,X,X,X
ISJTLOZ,X,X,O,X,X,X,X,X,X,O,X,X
ISJTZLO,X,O,O,X,X,X,O,X,O,X,X,X
ISJTZOL,X,O,O,X,X,X,O,X,O,X,X,O
ISJTOLZ,X,X,O,X,X,X,O,X,X,O,X,X
ISJTOZL,X,O,O,X,X,X,O,X,X,X,X,O
ISJLTZO,O,X,O,X,X,X,O,X,O,X,X,X
ISJLTOZ,O,X,O,X,X,X,X,X,X,X,X,X
ISJLZTO,O,X,O,X,X,X,X,X,O,X,X,X
ISJLZOT,O,X,O,X,X,X,X,X,O,X,X,O
ISJLOTZ,O,X,O,X,X,X,O,X,X,X,X,X
ISJLOZT,X,X,O,X,X,X,X,X,O,X,X,O
ISJZTLO,X,O,X,X,X,X,O,X,O,X,O,X
ISJZTOL,O,O,X,X,X,X,O,X,O,X,O,O
ISJZLTO,O,O,X,X,X,X,X,X,O,X,X,X
ISJZLOT,O,X,X,X,X,X,X,X,O,X,O,O
ISJZOTL,O,O,X,O,X,X,O,X,O,X,O,O
ISJZOLT,O,X,X,O,X,X,X,X,X,X,O,O
ISJOTLZ,X,O,O,X,X,X,O,X,X,O,X,X
ISJOTZL,X,O,O,X,X,X,O,X,X,X,X,O
ISJOLTZ,O,X,X,X,X,X,O,X,X,X,X,X
ISJOLZT,X,X,X,X,X,X,X,X,X,X,X,O
ISJOZTL,X,O,O,O,X,X,O,X,O,X,O,O
ISJOZLT,X,X,O,O,X,X,X,X,X,X,O,O
ISZTLJO,X,O,X,X,X,X,O,X,O,X,O,X
ISZTLOJ,X,O,X,O,X,X,X,X,O,X,O,X
ISZTJLO,X,O,X,X,X,X,O,X,O,X,O,X
ISZTJOL,O,O,X,O,X,X,O,X,O,X,O,O
ISZTOLJ,X,O,X,O,X,X,X,X,O,X,O,X
ISZTOJL,O,O,X,O,X,X,O,X,X,X,O,O
ISZLTJO,O,O,X,X,X,X,X,X,O,X,O,X
ISZLTOJ,O,O,X,X,X,X,X,X,O,X,O,X
ISZLJTO,O,O,X,X,X,X,X,X,O,X,X,X
ISZLJOT,O,X,X,X,X,X,X,X,O,X,O,O
ISZLOTJ,O,X,X,O,X,X,X,X,O,X,O,X
ISZLOJT,O,X,X,O,X,X,X,X,O,X,O,O
ISZJTLO,X,O,X,X,X,X,O,X,O,X,O,X
ISZJTOL,O,O,X,X,X,X,O,X,O,X,O,O
ISZJLTO,O,O,X,X,X,X,X,X,O,X,X,X
ISZJLOT,O,X,X,X,X,X,X,X,O,X,O,O
ISZJOTL,O,O,X,O,X,X,O,X,O,X,O,O
ISZJOLT,O,X,X,O,X,X,X,X,X,X,O,O
ISZOTLJ,X,O,X,O,X,X,O,X,O,X,O,X
ISZOTJL,O,O,X,O,X,X,O,X,X,X,O,O
ISZOLTJ,O,X,X,O,X,X,X,X,X,X,O,X
ISZOLJT,O,X,X,O,X,X,X,X,X,X,O,O
ISZOJTL,O,O,X,O,X,X,O,X,O,X,O,O
ISZOJLT,O,X,X,O,X,X,X,X,X,X,O,O
ISOTLJZ,X,O,O,X,X,X,O,O,X,X,X,X
ISOTLZJ,X,O,X,X,X,X,O,X,X,X,X,X
ISOTJLZ,X,O,O,X,X,X,O,X,X,O,X,X
ISOTJZL,X,O,O,X,X,X,O,X,X,X,X,O
ISOTZLJ,X,O,O,O,X,X,O,X,X,X,X,X
ISOTZJL,X,O,O,O,X,X,O,X,X,X,X,O
ISOLTJZ,O,X,X,X,X,X,O,O,X,X,X,X
ISOLTZJ,O,X,X,X,X,X,O,X,X,X,X,X
ISOLJTZ,O,X,X,X,X,X,O,X,X,X,X,X
ISOLJZT,X,X,X,X,X,X,X,X,X,X,X,O
ISOLZTJ,X,X,X,O,X,X,X,X,X,X,X,X
ISOLZJT,X,X,X,O,X,X,X,X,X,X,X,O
ISOJTLZ,X,O,O,X,X,X,O,X,X,O,X,X
ISOJTZL,X,O,O,X,X,X,O,X,X,X,X,O
ISOJLTZ,O,X,X,X,X,X,O,X,X,X,X,X
ISOJLZT,X,X,X,X,X,X,X,X,X,X,X,O
ISOJZTL,X,O,O,O,X,X,O,X,O,X,O,O
ISOJZLT,X,X,O,O,X,X,X,X,X,X,O,O
ISOZTLJ,X,O,O,O,X,X,O,X,O,X,O,X
ISOZTJL,X,O,O,O,X,X,O,X,X,X,O,O
ISOZLTJ,X,X,X,O,X,X,X,X,X,X,O,X
ISOZLJT,X,X,O,O,X,X,X,X,X,X,O,O
ISOZJTL,X,O,O,O,X,X,O,X,O,X,O,O
ISOZJLT,X,X,O,O,X,X,X,X,X,X,O,O
IZTLJSO,X,O,X,X,X,O,X,X,O,X,X,X
IZTLJOS,X,O,X,X,X,O,X,X,O,X,X,X
IZTLSJO,X,O,X,X,X,O,X,X,O,X,X,X
IZTLSOJ,X,O,X,X,X,O,X,X,O,X,X,X
IZTLOJS,X,O,X,O,X,O,X,X,O,X,X,X
IZTLOSJ,X,O,X,O,X,O,X,X,O,X,X,X
IZTJLSO,X,O,X,X,X,X,X,X,O,X,X,X
IZTJLOS,X,O,X,X,X,X,X,X,O,O,X,X
IZTJSLO,X,O,X,X,X,X,O,X,O,X,X,X
IZTJSOL,X,O,X,X,X,X,O,X,O,X,X,X
IZTJOLS,O,O,X,O,X,X,X,X,X,O,X,X
IZTJOSL,O,O,X,X,X,X,X,X,X,X,X,X
IZTSLJO,X,O,X,X,X,X,O,X,O,X,X,X
IZTSLOJ,X,O,X,X,X,X,X,X,O,X,X,X
IZTSJLO,X,O,X,X,X,X,O,X,O,X,X,X
IZTSJOL,X,O,X,X,X,X,O,X,X,X,X,X
