sequence,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFfhB0cBxdBSnBTj?BFtB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFfhBxcBTeBCiBln?BctB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFzbBRdBSjB3hBln?BctB,v115@9gB8HeD8FeG8CeH8AeA8Jex6IvhFygBzdB+jBUiB3h?BFtB,v115@9gB8HeD8FeG8CeH8AeA8Jex6IvhFygBWjBUiB3hBTj?BFtB,v115@9gB8HeD8FeG8CeH8AeA8Jex6IvhFygBGdBTeB3hBln?BctB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFzbBUdBajB5jB1m?BftB,v115@9gB8HeD8FeG8CeH8AeA8Jem6IvhFCcBFeBThBxnB/n?BctB
TSOZLJI,O,X,X,X,X,X,O,X
TSOZJIL,O,X,X,X,X,X,O,X
TSOZJLI,O,X,X,X,X,X,O,X
TZILJSO,X,X,X,X,O,X,X,X
TZILJOS,X,X,X,O,O,X,X,X
TZILSJO,X,X,X,X,X,X,X,X
TZILSOJ,X,X,X,X,X,X,X,X
TZILOJS,X,X,X,X,X,X,X,X
TZILOSJ,X,X,X,X,X,X,X,X
TZIJLSO,X,X,X,X,O,X,X,X
TZIJLOS,X,X,X,O,O,X,X,X
TZIJSLO,X,X,X,X,X,X,X,X
TZIJSOL,X,X,X,X,X,X,X,X
TZIJOLS,X,X,X,O,X,X,X,X
TZIJOSL,X,X,X,X,X,X,X,X
TZISLJO,X,X,X,X,X,X,X,X
TZISLOJ,X,X,X,X,X,X,X,X
TZISJLO,X,X,X,X,X,X,X,X
TZISJOL,X,X,X,X,X,X,X,X
TZISOLJ,X,X,X,X,X,X,X,X
TZISOJL,X,X,X,X,X,X,X,X
