sequence,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jei7IvhFWiBxdB?TjBUlBFmB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jex7IvhFyhBGeB?UjBFlBXmBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jex7IvhF8hBCeB?mgBTjBFlB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jex7IvhF8hBfjB?6jBemBFlBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jei7IvhFWiBxdB?UhBTjBFlB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8JeX8IvhFxdBCiB?TjBFlB8qBOqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jex7IvhFyhBGeB?XgBUjBFmBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jem8IvhFSjBxgB?UjBFlBXmBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je2AJvhFRcBCeB?3hBTjB1qBUqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je2AJvhFCdBxiB?TjBUlBFmB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je/AJvhFRcBzdB?+jBlhBaqB8qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je2AJvhFCdBxiB?UhBTjBFlB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8JeeAJvhFSjBRhB?fmBlhBUjBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8JeSDJvhFVlBRhB?3hBUjBmlBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je1AJvhF8hBzdB?+jBRlBKqBXrB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je2AJvhF8hBfjB?6jBRlBFmBTqB
JLIZSOT,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JLIZOTS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JLIZOST,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JLIOTSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JLIOTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JLIOSTZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
JLIOSZT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JLIOZTS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JLIOZST,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
JLSTIZO,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X
JLSTIOZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
JLSTZIO,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X
JLSTZOI,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JLSTOIZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
JLSTOZI,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JLSITZO,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X
JLSITOZ,X,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X
JLSIZTO,X,O,O,O,O,X,O,O,X,X,X,X,O,X,X,X
JLSIZOT,X,O,O,O,O,X,O,O,O,X,X,X,O,X,X,X
JLSIOTZ,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X
JLSIOZT,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
JLSZTIO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JLSZTOI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JLSZITO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JLSZIOT,X,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X
JLSZOTI,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X
JLSZOIT,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JLSOTIZ,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JLSOTZI,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JLSOITZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
JLSOIZT,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JLSOZTI,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JLSOZIT,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JLZTISO,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JLZTIOS,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
JLZTSIO,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JLZTSOI,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X
JLZTOIS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JLZTOSI,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JLZITSO,O,O,O,X,X,X,O,X,X,X,O,X,O,X,X,X
JLZITOS,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
JLZISTO,O,O,O,O,X,X,O,X,X,X,O,X,O,X,X,X
JLZISOT,O,O,O,O,O,X,O,X,X,X,O,X,O,X,X,X
JLZIOTS,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
JLZIOST,O,O,O,X,O,X,O,X,X,X,O,X,O,X,X,X
JLZSTIO,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X
JLZSTOI,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JLZSITO,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X
JLZSIOT,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JLZSOTI,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JLZSOIT,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JLZOTIS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JLZOTSI,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JLZOITS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JLZOIST,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JLZOSTI,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JLZOSIT,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JLOTISZ,X,X,X,X,O,X,X,X,X,X,O,X,O,O,X,X
JLOTIZS,O,X,X,X,O,X,O,X,X,X,X,X,O,O,X,X
JLOTSIZ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JLOTSZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JLOTZIS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JLOTZSI,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JLOITSZ,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
JLOITZS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X
JLOISTZ,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X
JLOISZT,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JLOIZTS,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
JLOIZST,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JLOSTIZ,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X
JLOSTZI,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JLOSITZ,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X
JLOSIZT,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X
JLOSZTI,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JLOSZIT,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JLOZTIS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JLOZTSI,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JLOZITS,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
JLOZIST,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JLOZSTI,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JLOZSIT,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JSTILZO,X,X,O,O,O,X,O,O,O,X,X,O,X,X,X,X
JSTILOZ,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
JSTIZLO,O,X,O,O,O,X,O,O,O,X,X,O,X,X,X,X
JSTIZOL,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JSTIOLZ,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X
JSTIOZL,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JSTLIZO,X,O,O,O,O,X,O,O,O,X,X,O,X,X,X,X
JSTLIOZ,X,X,X,X,O,X,X,O,O,X,O,O,X,X,X,X
JSTLZIO,X,O,O,O,O,X,O,O,O,X,X,X,X,X,X,X
JSTLZOI,X,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
JSTLOIZ,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X
JSTLOZI,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSTZILO,O,O,O,O,O,X,O,O,O,X,O,O,X,X,X,X
JSTZIOL,X,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
JSTZLIO,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X
JSTZLOI,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
JSTZOIL,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
JSTZOLI,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X
JSTOILZ,X,X,O,X,O,X,X,O,O,X,X,O,X,X,X,X
JSTOIZL,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JSTOLIZ,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X
JSTOLZI,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSTOZIL,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSTOZLI,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSITLZO,X,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O
JSITLOZ,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
JSITZLO,O,X,X,O,O,X,X,O,X,X,X,O,X,X,X,O
JSITZOL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
JSITOLZ,X,X,X,X,O,X,X,O,O,X,X,O,X,X,X,X
JSITOZL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
JSILTZO,X,X,X,O,O,X,X,O,X,X,X,O,O,X,X,O
JSILTOZ,X,X,X,X,O,X,X,O,O,X,X,O,O,X,X,X
JSILZTO,X,X,O,O,O,X,O,O,X,X,X,X,O,X,X,O
JSILZOT,X,X,O,O,O,X,O,O,O,X,X,X,O,X,X,O
JSILOTZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
JSILOZT,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
JSIZTLO,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O
JSIZTOL,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLTO,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,O
JSIZLOT,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,O
JSIZOTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZOLT,X,X,O,O,O,X,O,X,O,X,X,X,X,X,X,O
JSIOTLZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSIOTZL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
JSIOLTZ,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JSIOLZT,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
JSIOZTL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIOZLT,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
JSLTIZO,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X
JSLTIOZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
JSLTZIO,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X
JSLTZOI,X,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSLTOIZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
JSLTOZI,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JSLITZO,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O
JSLITOZ,X,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X
JSLIZTO,X,O,O,O,O,X,O,O,X,X,X,X,O,X,X,O
JSLIZOT,X,O,O,O,O,X,O,O,O,X,X,X,O,X,X,O
JSLIOTZ,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X
JSLIOZT,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O
JSLZTIO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JSLZTOI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JSLZITO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JSLZIOT,X,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O
JSLZOTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JSLZOIT,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
JSLOTIZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
JSLOTZI,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JSLOITZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,O
JSLOIZT,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
JSLOZTI,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JSLOZIT,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O
JSZTILO,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JSZTIOL,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSZTLIO,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JSZTLOI,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JSZTOIL,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JSZTOLI,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JSZITLO,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
JSZITOL,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JSZILTO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,O
JSZILOT,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O
JSZIOTL,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JSZIOLT,X,X,O,O,O,X,O,X,O,X,O,X,X,X,X,O
JSZLTIO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JSZLTOI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JSZLITO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JSZLIOT,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,O
JSZLOTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JSZLOIT,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
JSZOTIL,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JSZOTLI,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JSZOITL,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
JSZOILT,O,X,O,O,O,X,O,X,O,X,O,X,X,X,X,O
JSZOLTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JSZOLIT,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,O
JSOTILZ,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X
JSOTIZL,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
JSOTLIZ,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X
JSOTLZI,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSOTZIL,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSOTZLI,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSOITLZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
JSOITZL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
JSOILTZ,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,O
JSOILZT,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
JSOIZTL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JSOIZLT,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O
JSOLTIZ,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X
JSOLTZI,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
JSOLITZ,X,X,X,X,O,X,X,O,O,X,O,X,X,X,X,O
JSOLIZT,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,O
JSOLZTI,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JSOLZIT,X,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O
JSOZTIL,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JSOZTLI,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JSOZITL,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O
JSOZILT,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O
JSOZLTI,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JSOZLIT,O,X,O,O,O,X,X,X,O,X,O,X,X,X,X,O
JZTILSO,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X
JZTILOS,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JZTISLO,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X
JZTISOL,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JZTIOLS,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTIOSL,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JZTLISO,O,O,O,O,O,X,O,X,X,O,X,X,X,X,X,X
JZTLIOS,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JZTLSIO,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X
JZTLSOI,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X
JZTLOIS,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
JZTLOSI,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X
JZTSILO,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X
JZTSIOL,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JZTSLIO,O,O,O,O,X,X,O,X,X,O,O,X,X,X,X,X
JZTSLOI,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X
JZTSOIL,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JZTSOLI,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JZTOILS,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
JZTOISL,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JZTOLIS,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
JZTOLSI,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X
JZTOSIL,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JZTOSLI,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JZITLSO,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
JZITLOS,O,X,X,X,O,X,O,X,X,O,X,X,X,X,O,X
JZITSLO,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,O
JZITSOL,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
JZITOLS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
JZITOSL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
JZILTSO,O,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X
JZILTOS,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JZILSTO,O,O,O,O,X,X,O,X,X,O,X,X,O,X,X,O
JZILSOT,O,O,O,O,O,X,O,X,X,O,X,X,O,X,X,O
JZILOTS,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JZILOST,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X,X
JZISTLO,O,O,X,O,O,X,O,X,X,X,O,X,X,X,X,O
JZISTOL,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JZISLTO,O,O,X,O,O,X,O,X,X,O,X,X,X,X,X,O
JZISLOT,O,O,X,O,O,X,O,X,X,O,O,X,X,X,X,O
JZISOTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZISOLT,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O
JZIOTLS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
JZIOTSL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
JZIOLTS,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JZIOLST,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JZIOSTL,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZIOSLT,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O
JZLTISO,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JZLTIOS,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
JZLTSIO,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JZLTSOI,O,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X
JZLTOIS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JZLTOSI,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JZLITSO,O,O,O,X,X,X,O,X,X,O,O,X,O,X,X,X
JZLITOS,O,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X
JZLISTO,O,O,O,O,X,X,O,X,X,O,O,X,O,X,X,X
JZLISOT,O,O,O,O,O,X,O,X,X,O,O,X,O,X,X,X
JZLIOTS,O,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X
JZLIOST,O,O,O,X,O,X,O,X,X,O,O,X,O,X,X,X
JZLSTIO,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X
JZLSTOI,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JZLSITO,O,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X
JZLSIOT,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JZLSOTI,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X
JZLSOIT,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZLOTIS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JZLOTSI,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
JZLOITS,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JZLOIST,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JZLOSTI,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JZLOSIT,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JZSTILO,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JZSTIOL,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JZSTLIO,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JZSTLOI,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZSTOIL,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZSTOLI,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZSITLO,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
JZSITOL,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JZSILTO,O,O,O,O,O,X,O,O,X,O,X,X,X,X,X,O
JZSILOT,O,O,O,O,O,X,O,O,X,O,O,X,X,X,X,O
JZSIOTL,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JZSIOLT,X,X,O,O,O,X,O,X,X,X,O,X,X,X,X,O
JZSLTIO,X,O,O,O,O,X,O,O,X,X,O,X,X,X,X,X
JZSLTOI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZSLITO,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JZSLIOT,O,O,O,O,O,X,O,O,X,X,O,X,X,X,X,O
JZSLOTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZSLOIT,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
JZSOTIL,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZSOTLI,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZSOITL,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,O
JZSOILT,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X,O
JZSOLTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZSOLIT,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
JZOTILS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JZOTISL,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
JZOTLIS,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JZOTLSI,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X
JZOTSIL,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JZOTSLI,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
JZOITLS,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X
JZOITSL,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O
JZOILTS,O,X,O,X,O,O,O,X,X,O,X,X,X,X,X,X
JZOILST,O,X,O,X,O,X,O,X,X,O,X,X,X,X,X,O
JZOISTL,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O
JZOISLT,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O
JZOLTIS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JZOLTSI,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X
JZOLITS,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X
JZOLIST,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
JZOLSTI,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
JZOLSIT,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
JZOSTIL,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZOSTLI,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZOSITL,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,O
JZOSILT,O,X,O,O,O,X,O,X,X,X,O,X,X,X,X,O
JZOSLTI,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
JZOSLIT,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,O
JOTILSZ,X,X,X,X,O,X,X,X,O,X,O,X,O,O,X,X
JOTILZS,O,X,O,X,O,X,X,X,O,X,X,X,O,O,O,X
JOTISLZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JOTISZL,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
JOTIZLS,O,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X
JOTIZSL,O,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X
JOTLISZ,X,X,X,X,O,X,X,X,O,X,O,X,O,O,X,X
