sequence,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jex7IvhFOiBXeBclBT?hBSoBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jex7IvhFXdB6jBclB2?mBziBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jex7IvhFidB+jBclBT?hB3iBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Je07IvhFxcBzhBGjBX?jBilBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jel7IvhFfjB6jBZmBu?rBUnBTqB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jem7IvhFzcBfjB6jBc?lBxmBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jex7IvhFTeBclBihBW?oBXiBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jem7IvhFSiBTeBclB3?hBxnBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jez8IvhFGeB3gBUjBx?mBilBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Je07IvhFlcBXiBTjBC?jBxqBmqB
ILOTJSZ,X,O,X,X,O,X,X,X,X,X
ILOTJZS,X,O,X,O,O,X,X,O,X,X
ILOTSJZ,X,O,X,X,O,X,X,X,X,X
ILOTSZJ,X,O,X,X,O,X,X,O,X,X
ILOTZJS,X,O,X,O,O,X,X,O,X,X
ILOTZSJ,X,O,X,X,O,X,X,O,X,X
ILOJTSZ,X,X,X,X,O,X,X,X,X,X
ILOJTZS,X,X,X,O,O,X,X,O,X,X
ILOJSTZ,X,X,X,X,O,X,X,X,X,X
ILOJSZT,O,O,X,O,O,X,X,X,X,X
ILOJZTS,X,O,X,O,O,X,X,O,X,X
ILOJZST,X,O,X,O,O,X,X,O,X,X
ILOSTJZ,X,O,X,X,O,X,X,X,X,X
ILOSTZJ,X,O,X,X,O,O,X,O,X,O
ILOSJTZ,X,X,X,X,O,X,X,X,X,O
ILOSJZT,O,O,X,O,O,O,X,X,X,O
ILOSZTJ,X,O,X,X,O,O,X,X,X,O
ILOSZJT,X,O,X,O,O,O,X,O,O,X
ILOZTJS,O,O,X,O,O,X,X,O,X,X
ILOZTSJ,O,O,X,X,O,X,X,O,X,X
ILOZJTS,X,O,X,O,O,X,X,O,X,X
ILOZJST,O,O,X,O,O,O,X,O,O,X
ILOZSTJ,X,O,X,X,O,O,X,X,X,O
ILOZSJT,O,O,X,O,O,O,X,O,O,X
IJTLSZO,O,X,X,X,O,X,X,X,X,X
IJTLSOZ,O,X,X,X,O,X,X,X,X,X
IJTLZSO,O,X,X,X,O,X,O,O,X,X
IJTLZOS,O,X,X,O,X,X,O,O,X,X
IJTLOSZ,O,X,X,O,O,X,X,X,X,X
IJTLOZS,O,X,X,O,X,X,O,O,X,X
IJTSLZO,X,X,O,X,O,X,X,X,X,X
IJTSLOZ,X,X,O,X,O,X,X,X,X,X
IJTSZLO,X,X,O,X,O,X,X,X,X,X
IJTSZOL,X,X,O,X,X,X,X,X,X,X
IJTSOLZ,X,X,O,X,O,X,X,X,X,X
IJTSOZL,X,X,O,X,X,X,X,X,X,X
IJTZLSO,O,X,O,X,O,X,O,O,X,X
IJTZLOS,O,X,O,O,X,X,O,O,X,X
IJTZSLO,O,X,O,X,O,X,O,O,X,X
IJTZSOL,X,X,O,X,X,X,O,O,X,X
IJTZOLS,O,X,O,O,X,X,O,O,X,X
IJTZOSL,O,X,O,O,X,X,O,O,X,X
IJTOLSZ,O,X,X,O,O,X,X,X,X,X
IJTOLZS,O,X,X,O,X,X,O,O,X,X
IJTOSLZ,X,X,O,X,O,X,X,X,X,X
IJTOSZL,X,X,O,O,X,X,X,X,X,X
IJTOZLS,O,X,O,O,X,X,O,O,X,X
IJTOZSL,O,X,O,O,X,X,O,O,X,X
IJLTSZO,O,X,X,X,O,X,X,X,X,X
IJLTSOZ,O,X,X,X,O,X,X,X,X,X
IJLTZSO,O,X,X,X,O,X,X,O,X,X
IJLTZOS,O,X,X,X,X,X,X,O,X,X
IJLTOSZ,O,X,X,X,O,X,X,X,X,X
IJLTOZS,O,X,X,X,X,X,X,O,X,X
IJLSTZO,O,X,O,X,O,X,X,X,X,X
IJLSTOZ,O,X,X,X,O,X,X,X,X,X
IJLSZTO,O,O,O,X,O,O,X,X,X,X
IJLSZOT,O,O,O,X,X,O,X,X,X,X
IJLSOTZ,X,X,X,X,O,X,X,X,X,X
IJLSOZT,O,X,O,X,O,X,X,X,X,X
IJLZTSO,O,O,O,X,O,X,X,X,X,X
IJLZTOS,O,O,O,X,X,X,X,O,X,X
IJLZSTO,O,O,O,X,O,O,X,X,X,X
IJLZSOT,O,O,O,X,X,O,X,O,X,X
IJLZOTS,X,O,X,O,X,X,X,O,X,X
IJLZOST,O,O,X,O,X,X,X,O,X,X
IJLOTSZ,X,X,X,X,O,X,X,X,X,X
IJLOTZS,X,X,X,O,O,X,X,O,X,X
IJLOSTZ,X,X,X,X,O,X,X,X,X,X
IJLOSZT,O,O,X,O,O,X,X,X,X,X
IJLOZTS,X,X,X,O,O,X,X,O,X,X
IJLOZST,X,X,X,O,O,X,X,O,X,X
IJSTLZO,X,X,O,X,O,X,X,X,X,O
IJSTLOZ,X,X,O,X,O,X,X,X,X,O
IJSTZLO,X,X,O,X,O,X,X,X,X,O
IJSTZOL,X,X,O,X,X,X,X,X,X,O
IJSTOLZ,X,X,O,X,O,X,X,X,X,O
IJSTOZL,X,X,O,X,X,X,X,X,X,O
IJSLTZO,O,X,O,X,O,X,X,X,X,O
IJSLTOZ,X,X,O,X,O,X,X,X,X,O
IJSLZTO,O,O,O,X,O,O,X,X,X,O
IJSLZOT,O,O,O,X,X,O,X,X,X,O
IJSLOTZ,X,X,X,X,O,X,X,X,X,O
IJSLOZT,O,X,O,X,O,O,X,X,X,O
IJSZTLO,X,O,O,X,O,O,X,X,X,O
IJSZTOL,X,O,O,X,X,O,X,X,O,O
IJSZLTO,X,O,O,X,O,O,X,X,X,O
IJSZLOT,X,O,O,X,X,O,X,X,O,O
IJSZOTL,X,O,X,X,X,O,X,X,O,O
IJSZOLT,X,O,O,X,X,O,X,X,O,O
IJSOTLZ,X,X,X,X,O,X,X,X,X,O
IJSOTZL,X,X,X,X,O,X,X,X,X,O
IJSOLTZ,X,X,X,X,O,X,X,X,X,O
IJSOLZT,X,O,O,X,O,O,X,X,X,O
IJSOZTL,X,O,X,X,O,O,X,X,O,O
IJSOZLT,X,O,X,X,O,O,X,X,O,O
IJZTLSO,O,O,O,X,O,X,O,O,X,X
IJZTLOS,O,O,O,O,X,X,O,O,X,X
IJZTSLO,O,O,O,X,O,O,O,O,X,X
IJZTSOL,X,O,O,X,X,O,O,O,O,O
IJZTOLS,O,O,O,O,X,X,O,O,X,X
IJZTOSL,O,O,O,O,X,O,O,O,O,X
IJZLTSO,O,O,O,X,O,X,X,X,X,X
IJZLTOS,O,O,O,X,X,X,X,O,X,X
IJZLSTO,O,O,O,X,O,O,X,X,X,X
IJZLSOT,O,O,O,X,X,O,X,O,O,X
IJZLOTS,X,O,X,O,X,X,X,O,X,X
IJZLOST,O,O,X,O,X,O,X,O,O,X
IJZSTLO,X,O,O,X,O,O,X,X,X,X
IJZSTOL,X,O,O,X,X,O,X,X,O,O
IJZSLTO,O,O,O,X,O,O,X,X,X,X
IJZSLOT,O,O,O,X,X,O,X,O,O,X
IJZSOTL,X,O,X,X,X,O,X,X,O,O
IJZSOLT,X,O,O,X,X,O,X,O,O,X
IJZOTLS,X,O,O,X,X,X,O,O,X,X
IJZOTSL,X,O,O,O,X,O,O,O,O,X
IJZOLTS,X,O,X,O,X,X,X,O,X,X
IJZOLST,O,O,X,O,X,O,X,O,O,X
IJZOSTL,X,O,X,O,X,O,X,X,O,O
IJZOSLT,X,O,O,O,X,O,X,O,O,X
IJOTLSZ,X,X,X,O,O,X,X,X,X,X
IJOTLZS,X,X,X,O,O,X,O,O,X,X
IJOTSLZ,X,X,X,X,O,X,X,X,X,X
IJOTSZL,X,X,X,O,O,X,X,X,X,X
IJOTZLS,X,X,X,O,O,X,O,O,X,X
IJOTZSL,X,X,X,O,O,X,O,O,X,X
IJOLTSZ,X,X,X,X,O,X,X,X,X,X
IJOLTZS,X,X,X,O,O,X,X,O,X,X
IJOLSTZ,X,X,X,X,O,X,X,X,X,X
IJOLSZT,O,O,X,O,O,X,X,X,X,X
IJOLZTS,X,O,X,O,O,X,X,O,X,X
IJOLZST,X,O,X,O,O,X,X,O,X,X
IJOSTLZ,X,X,X,X,O,X,X,X,X,O
IJOSTZL,X,X,X,X,O,X,X,X,X,O
IJOSLTZ,X,X,X,X,O,X,X,X,X,O
IJOSLZT,X,O,O,O,O,O,X,X,X,O
IJOSZTL,X,O,X,O,O,O,X,X,O,O
IJOSZLT,X,O,X,O,O,O,X,X,O,O
IJOZTLS,X,O,O,X,O,X,O,O,X,X
IJOZTSL,X,O,O,O,O,O,O,O,O,X
IJOZLTS,X,O,X,O,O,X,X,O,X,X
IJOZLST,X,O,X,O,O,O,X,O,O,X
IJOZSTL,X,O,X,O,O,O,X,X,O,O
IJOZSLT,X,O,O,O,O,O,X,O,O,X
ISTLJZO,X,X,X,X,O,O,X,X,X,X
ISTLJOZ,X,X,X,X,O,O,X,X,X,X
ISTLZJO,X,X,X,X,O,O,X,O,X,X
ISTLZOJ,X,X,X,X,X,O,X,O,X,O
ISTLOJZ,X,X,X,X,O,O,X,X,X,X
ISTLOZJ,X,X,X,X,O,O,X,O,X,O
ISTJLZO,X,X,X,X,O,O,X,X,X,O
ISTJLOZ,X,X,X,X,O,O,X,X,X,O
ISTJZLO,X,X,X,X,O,O,X,X,X,O
ISTJZOL,X,X,X,X,X,O,X,X,X,O
ISTJOLZ,X,X,X,X,O,O,X,X,X,O
ISTJOZL,X,X,X,X,X,O,X,X,X,O
ISTZLJO,X,X,X,X,O,O,X,O,X,X
ISTZLOJ,X,X,X,X,X,O,X,O,X,O
ISTZJLO,X,X,X,X,O,O,X,O,X,X
ISTZJOL,X,X,X,X,X,O,X,O,O,O
ISTZOLJ,X,X,X,X,X,O,X,O,X,O
ISTZOJL,X,X,X,X,X,O,X,O,O,O
ISTOLJZ,X,X,X,X,O,O,X,X,X,X
ISTOLZJ,X,X,X,X,O,O,X,O,X,O
ISTOJLZ,X,X,X,X,O,O,X,X,X,O
ISTOJZL,X,X,X,X,O,O,X,X,X,O
ISTOZLJ,X,X,X,X,O,O,X,O,X,O
ISTOZJL,X,X,X,X,O,O,X,O,O,O
ISLTJZO,O,X,X,X,O,O,X,X,X,X
ISLTJOZ,X,X,X,X,O,O,X,X,X,X
ISLTZJO,X,X,X,X,O,O,X,O,X,X
ISLTZOJ,X,X,X,X,X,O,X,O,X,O
ISLTOJZ,X,X,X,X,O,O,X,X,X,X
ISLTOZJ,X,X,X,X,O,O,X,O,X,O
ISLJTZO,O,X,X,X,O,X,X,X,X,O
ISLJTOZ,X,X,X,X,O,X,X,X,X,O
ISLJZTO,O,X,X,X,O,O,X,X,X,O
ISLJZOT,O,X,X,X,X,O,X,X,X,O
ISLJOTZ,X,X,X,X,O,X,X,X,X,O
ISLJOZT,O,X,X,X,O,O,X,X,X,O
ISLZTJO,O,O,X,X,O,O,X,X,X,X
ISLZTOJ,O,O,X,X,X,O,X,X,X,O
ISLZJTO,O,O,X,X,O,O,X,X,X,X
ISLZJOT,O,O,X,X,X,O,X,O,O,X
ISLZOTJ,X,O,X,X,X,O,X,X,X,O
ISLZOJT,O,O,X,X,X,O,X,O,O,X
ISLOTJZ,X,X,X,X,O,X,X,X,X,X
ISLOTZJ,X,O,X,X,O,O,X,O,X,O
ISLOJTZ,X,X,X,X,O,X,X,X,X,O
ISLOJZT,O,O,X,X,O,O,X,X,X,O
ISLOZTJ,X,O,X,X,O,O,X,X,X,O
ISLOZJT,X,O,X,X,O,O,X,O,O,X
ISJTLZO,X,X,O,X,O,X,X,X,X,O
ISJTLOZ,X,X,X,X,O,X,X,X,X,O
ISJTZLO,X,X,X,X,O,X,X,X,X,O
ISJTZOL,X,X,X,X,X,X,X,X,X,O
ISJTOLZ,X,X,X,X,O,X,X,X,X,O
ISJTOZL,X,X,X,X,X,X,X,X,X,O
ISJLTZO,O,X,O,X,O,X,X,X,X,O
ISJLTOZ,X,X,X,X,O,X,X,X,X,O
ISJLZTO,O,X,O,X,O,O,X,X,X,O
ISJLZOT,O,X,O,X,X,O,X,X,X,O
ISJLOTZ,X,X,X,X,O,X,X,X,X,O
ISJLOZT,O,X,O,X,O,O,X,X,X,O
ISJZTLO,X,X,O,X,O,O,X,X,X,O
ISJZTOL,X,X,O,X,X,O,X,X,O,O
ISJZLTO,X,X,O,X,O,O,X,X,X,O
ISJZLOT,X,X,O,X,X,O,X,X,O,O
ISJZOTL,X,X,X,X,X,O,X,X,O,O
ISJZOLT,X,X,O,X,X,O,X,X,O,O
ISJOTLZ,X,X,X,X,O,X,X,X,X,O
ISJOTZL,X,X,X,X,O,X,X,X,X,O
ISJOLTZ,X,X,X,X,O,X,X,X,X,O
ISJOLZT,X,X,O,X,O,O,X,X,X,O
ISJOZTL,X,X,X,X,O,O,X,X,O,O
ISJOZLT,X,X,X,X,O,O,X,X,O,O
ISZTLJO,O,O,X,X,O,O,O,O,X,X
ISZTLOJ,O,O,X,X,X,O,X,O,X,O
ISZTJLO,O,O,O,X,O,O,O,O,X,X
ISZTJOL,X,O,O,X,X,O,O,O,O,O
ISZTOLJ,O,O,X,X,X,O,X,O,X,O
ISZTOJL,O,O,O,X,X,O,X,O,O,O
ISZLTJO,O,O,X,X,O,O,X,X,X,X
ISZLTOJ,O,O,X,X,X,O,X,X,X,O
ISZLJTO,O,O,X,X,O,O,X,X,X,X
ISZLJOT,O,O,X,X,X,O,X,O,O,X
ISZLOTJ,X,O,X,X,X,O,X,X,X,O
ISZLOJT,O,O,X,X,X,O,X,O,O,X
ISZJTLO,X,O,O,X,O,O,X,X,X,O
ISZJTOL,X,O,O,X,X,O,X,X,O,O
ISZJLTO,O,O,O,X,O,O,X,X,X,O
ISZJLOT,O,O,O,X,X,O,X,O,O,O
ISZJOTL,X,O,X,X,X,O,X,X,O,O
ISZJOLT,X,O,O,X,X,O,X,O,O,O
ISZOTLJ,X,O,X,X,X,O,X,O,X,O
ISZOTJL,X,X,X,X,X,O,X,O,O,O
ISZOLTJ,X,O,X,X,X,O,X,X,X,O
ISZOLJT,X,O,X,X,X,O,X,O,O,X
ISZOJTL,X,O,X,X,X,O,X,X,O,O
ISZOJLT,X,O,X,X,X,O,X,O,O,O
ISOTLJZ,X,X,X,X,O,X,X,X,X,X
ISOTLZJ,X,O,X,X,O,O,X,O,X,O
ISOTJLZ,X,X,X,X,O,X,X,X,X,O
ISOTJZL,X,X,X,X,O,X,X,X,X,O
ISOTZLJ,X,X,X,X,O,O,X,O,X,O
ISOTZJL,X,X,X,X,O,O,X,O,O,O
ISOLTJZ,X,X,X,X,O,X,X,X,X,X
ISOLTZJ,X,O,X,X,O,O,X,O,X,O
ISOLJTZ,X,X,X,X,O,X,X,X,X,O
ISOLJZT,X,O,X,X,O,O,X,X,X,O
ISOLZTJ,X,O,X,X,O,O,X,X,X,O
ISOLZJT,X,O,X,X,O,O,X,O,O,X
ISOJTLZ,X,X,X,X,O,X,X,X,X,O
ISOJTZL,X,X,X,X,O,X,X,X,X,O
ISOJLTZ,X,X,X,X,O,X,X,X,X,O
ISOJLZT,X,O,X,X,O,O,X,X,X,O
ISOJZTL,X,X,X,X,O,O,X,X,O,O
ISOJZLT,X,X,X,X,O,O,X,X,O,O
ISOZTLJ,X,X,X,X,O,O,X,O,X,O
ISOZTJL,X,X,X,X,O,O,X,O,O,O
ISOZLTJ,X,O,X,X,O,O,X,X,X,O
ISOZLJT,X,O,X,X,O,O,X,O,O,X
ISOZJTL,X,X,X,X,O,O,X,X,O,O
ISOZJLT,X,X,X,X,O,O,X,O,O,O
IZTLJSO,O,O,O,X,O,O,O,O,O,X
IZTLJOS,O,O,O,O,X,O,O,O,O,X
IZTLSJO,O,O,X,X,O,O,O,O,O,X
IZTLSOJ,O,O,X,O,X,O,X,O,O,O
IZTLOJS,O,O,O,O,X,O,O,O,O,X
IZTLOSJ,O,O,X,O,X,O,X,O,O,X
IZTJLSO,O,O,O,X,O,O,O,O,O,X
IZTJLOS,O,O,O,O,X,O,O,O,O,X
IZTJSLO,O,O,O,X,O,O,O,O,O,X
IZTJSOL,X,O,O,X,X,O,O,O,O,O
IZTJOLS,O,O,O,O,X,O,O,O,O,X
IZTJOSL,O,O,O,O,X,O,O,O,O,X
IZTSLJO,O,O,X,X,O,O,O,O,O,X
IZTSLOJ,O,O,X,O,X,O,X,O,O,O
IZTSJLO,O,O,O,X,O,O,O,O,O,X
IZTSJOL,X,O,O,X,X,O,O,O,O,O
IZTSOLJ,O,O,X,X,X,O,X,O,O,O
IZTSOJL,O,O,O,O,X,O,X,O,O,O
IZTOLJS,O,O,O,O,X,O,O,O,O,X
IZTOLSJ,O,O,X,O,X,O,X,O,O,X
IZTOJLS,O,O,O,O,X,O,O,O,O,X
IZTOJSL,O,O,O,O,X,O,O,O,O,X
IZTOSLJ,O,O,X,X,X,O,X,O,O,O
IZTOSJL,O,O,O,O,X,O,X,O,O,O
IZLTJSO,O,O,O,X,O,X,O,O,X,X
IZLTJOS,O,O,O,O,X,X,O,O,X,X
IZLTSJO,O,O,X,X,O,X,O,O,X,X
IZLTSOJ,O,O,X,O,X,X,X,O,X,O
IZLTOJS,O,O,O,O,X,X,O,O,X,X
IZLTOSJ,O,O,X,O,X,X,X,O,X,X
IZLJTSO,O,O,O,X,O,X,X,X,X,X
IZLJTOS,O,O,O,X,X,X,X,O,X,X
IZLJSTO,O,O,O,X,O,O,X,X,X,X
IZLJSOT,O,O,O,X,X,O,X,O,O,X
IZLJOTS,X,O,X,O,X,X,X,O,X,X
IZLJOST,O,O,X,O,X,O,X,O,O,X
IZLSTJO,O,O,X,X,O,O,X,X,X,X
IZLSTOJ,O,O,X,X,X,O,X,X,X,O
IZLSJTO,O,O,X,X,O,O,X,X,X,X
IZLSJOT,O,O,X,X,X,O,X,O,O,X
IZLSOTJ,X,O,X,X,X,O,X,X,X,O
IZLSOJT,O,O,X,O,X,O,X,O,O,X
IZLOTJS,O,O,X,O,X,X,X,O,X,X
IZLOTSJ,O,O,X,X,X,X,X,O,X,X
IZLOJTS,X,O,X,O,X,X,X,O,X,X
IZLOJST,O,O,X,O,X,O,X,O,O,X
IZLOSTJ,X,O,X,X,X,O,X,X,X,O
IZLOSJT,O,O,X,O,X,O,X,O,O,X
IZJTLSO,O,O,O,X,O,X,O,O,O,X
IZJTLOS,O,O,O,O,X,X,O,O,O,X
IZJTSLO,O,O,O,X,O,O,O,O,O,X
IZJTSOL,X,O,O,X,X,O,O,O,O,O
IZJTOLS,O,O,O,O,X,X,O,O,O,X
IZJTOSL,O,O,O,O,X,O,O,O,O,X
IZJLTSO,O,O,O,X,O,X,X,X,X,X
IZJLTOS,O,O,O,X,X,X,X,O,X,X
IZJLSTO,O,O,O,X,O,O,X,X,X,X
IZJLSOT,O,O,O,X,X,O,X,O,O,X
IZJLOTS,X,O,X,O,X,X,X,O,X,X
IZJLOST,O,O,X,O,X,O,X,O,O,X
IZJSTLO,X,O,O,X,O,O,X,X,X,X
IZJSTOL,X,O,O,X,X,O,X,X,O,O
IZJSLTO,O,O,O,X,O,O,X,X,X,X
IZJSLOT,O,O,O,X,X,O,X,O,O,X
IZJSOTL,X,O,X,X,X,O,X,X,O,O
IZJSOLT,X,O,O,X,X,O,X,O,O,X
IZJOTLS,X,O,O,X,X,X,O,O,X,X
IZJOTSL,X,O,O,O,X,O,O,O,O,X
IZJOLTS,X,O,X,O,X,X,X,O,X,X
IZJOLST,O,O,X,O,X,O,X,O,O,X
IZJOSTL,X,O,X,O,X,O,X,X,O,O
IZJOSLT,X,O,O,O,X,O,X,O,O,X
IZSTLJO,O,O,X,X,O,O,O,O,X,X
IZSTLOJ,O,O,X,O,X,O,X,O,X,O
IZSTJLO,O,O,O,X,O,O,O,O,X,X
IZSTJOL,X,O,O,X,X,O,O,O,O,O
IZSTOLJ,O,O,X,X,X,O,X,O,X,O
IZSTOJL,O,O,O,O,X,O,X,O,O,O
IZSLTJO,O,O,X,X,O,O,X,X,X,X
IZSLTOJ,O,O,X,X,X,O,X,X,X,O
IZSLJTO,O,O,X,X,O,O,X,X,X,X
IZSLJOT,O,O,X,X,X,O,X,O,O,X
IZSLOTJ,X,O,X,X,X,O,X,X,X,O
IZSLOJT,O,O,X,O,X,O,X,O,O,X
IZSJTLO,X,O,O,X,O,O,X,X,X,O
IZSJTOL,X,O,O,X,X,O,X,X,O,O
IZSJLTO,O,O,O,X,O,O,X,X,X,O
IZSJLOT,O,O,O,X,X,O,X,O,O,O
IZSJOTL,X,O,X,X,X,O,X,X,O,O
IZSJOLT,X,O,O,X,X,O,X,O,O,O
IZSOTLJ,X,O,X,X,X,O,X,O,X,O
IZSOTJL,X,X,X,X,X,O,X,O,O,O
IZSOLTJ,X,O,X,X,X,O,X,X,X,O
IZSOLJT,X,O,X,X,X,O,X,O,O,X
IZSOJTL,X,O,X,O,X,O,X,X,O,O
IZSOJLT,X,O,X,O,X,O,X,O,O,O
IZOTLJS,O,O,O,O,X,X,O,O,X,X
IZOTLSJ,O,O,X,O,X,X,X,O,X,X
IZOTJLS,O,O,O,O,X,X,O,O,X,X
IZOTJSL,O,O,O,O,X,O,O,O,O,X
IZOTSLJ,O,O,X,X,X,O,X,O,X,O
IZOTSJL,O,O,O,O,X,O,X,O,O,O
IZOLTJS,O,O,X,O,X,X,X,O,X,X
IZOLTSJ,O,O,X,X,X,X,X,O,X,X
IZOLJTS,X,O,X,O,X,X,X,O,X,X
IZOLJST,O,O,X,O,X,O,X,O,O,X
IZOLSTJ,X,O,X,X,X,O,X,X,X,O
IZOLSJT,O,O,X,O,X,O,X,O,O,X
IZOJTLS,X,O,O,X,X,X,X,O,X,X
IZOJTSL,X,O,O,O,X,O,X,O,O,X
IZOJLTS,X,O,X,O,X,X,X,O,X,X
IZOJLST,O,O,X,O,X,O,X,O,O,X
IZOJSTL,X,O,X,O,X,O,X,X,O,O
IZOJSLT,X,O,O,O,X,O,X,O,O,X
IZOSTLJ,X,O,X,X,X,O,X,O,X,O
IZOSTJL,X,X,X,X,X,O,X,O,O,O
IZOSLTJ,X,O,X,X,X,O,X,X,X,O
IZOSLJT,X,O,X,X,X,O,X,O,O,X
IZOSJTL,X,O,X,O,X,O,X,X,O,O
IZOSJLT,X,O,X,O,X,O,X,O,O,O
IOTLJSZ,X,O,X,O,O,X,X,X,X,X
IOTLJZS,X,O,X,O,O,X,X,O,X,X
IOTLSJZ,X,O,X,O,O,X,X,X,X,X
IOTLSZJ,X,O,X,O,O,X,X,O,X,X
IOTLZJS,X,O,X,O,O,X,X,O,X,X
IOTLZSJ,X,O,X,O,O,X,X,O,X,X
IOTJLSZ,X,O,X,O,O,X,X,X,X,X
IOTJLZS,X,O,X,O,O,X,X,O,X,X
IOTJSLZ,X,O,X,X,O,X,X,X,X,X
IOTJSZL,X,O,X,O,O,X,X,X,X,X
IOTJZLS,X,O,X,O,O,X,X,O,X,X
IOTJZSL,X,O,X,O,O,X,X,O,X,X
IOTSLJZ,X,O,X,X,O,X,X,X,X,X
IOTSLZJ,X,O,X,X,O,O,X,O,X,O
IOTSJLZ,X,O,X,X,O,X,X,X,X,O
IOTSJZL,X,O,X,O,O,X,X,X,X,O
IOTSZLJ,X,O,X,X,O,O,X,O,X,O
IOTSZJL,X,O,X,O,O,O,X,O,O,O
IOTZLJS,X,O,X,O,O,X,X,O,X,X
IOTZLSJ,X,O,X,X,O,X,X,O,X,X
IOTZJLS,X,O,X,O,O,X,X,O,X,X
IOTZJSL,X,O,X,O,O,O,X,O,O,X
IOTZSLJ,X,O,X,X,O,O,X,O,X,O
IOTZSJL,X,O,X,O,O,O,X,O,O,O
IOLTJSZ,X,O,X,X,O,X,X,X,X,X
IOLTJZS,X,O,X,O,O,X,X,O,X,X
IOLTSJZ,X,O,X,X,O,X,X,X,X,X
IOLTSZJ,X,O,X,X,O,X,X,O,X,X
IOLTZJS,X,O,X,O,O,X,X,O,X,X
IOLTZSJ,X,O,X,X,O,X,X,O,X,X
IOLJTSZ,X,X,X,X,O,X,X,X,X,X
IOLJTZS,X,X,X,O,O,X,X,O,X,X
IOLJSTZ,X,X,X,X,O,X,X,X,X,X
IOLJSZT,O,O,X,O,O,X,X,X,X,X
IOLJZTS,X,O,X,O,O,X,X,O,X,X
IOLJZST,X,O,X,O,O,X,X,O,X,X
IOLSTJZ,X,O,X,X,O,X,X,X,X,X
IOLSTZJ,X,O,X,X,O,O,X,O,X,O
IOLSJTZ,X,X,X,X,O,X,X,X,X,O
IOLSJZT,O,O,X,O,O,O,X,X,X,O
IOLSZTJ,X,O,X,X,O,O,X,X,X,O
IOLSZJT,X,O,X,O,O,O,X,O,O,X
IOLZTJS,O,O,X,O,O,X,X,O,X,X
IOLZTSJ,O,O,X,X,O,X,X,O,X,X
IOLZJTS,X,O,X,O,O,X,X,O,X,X
IOLZJST,O,O,X,O,O,O,X,O,O,X
IOLZSTJ,X,O,X,X,O,O,X,X,X,O
IOLZSJT,O,O,X,O,O,O,X,O,O,X
IOJTLSZ,X,X,X,O,O,X,X,X,X,X
IOJTLZS,X,X,X,O,O,X,X,O,X,X
IOJTSLZ,X,X,X,X,O,X,X,X,X,X
IOJTSZL,X,X,X,O,O,X,X,X,X,X
IOJTZLS,X,X,X,O,O,X,X,O,X,X
IOJTZSL,X,X,X,O,O,X,X,O,X,X
IOJLTSZ,X,X,X,X,O,X,X,X,X,X
IOJLTZS,X,X,X,O,O,X,X,O,X,X
IOJLSTZ,X,X,X,X,O,X,X,X,X,X
IOJLSZT,O,O,X,O,O,X,X,X,X,X
IOJLZTS,X,O,X,O,O,X,X,O,X,X
IOJLZST,X,O,X,O,O,X,X,O,X,X
IOJSTLZ,X,X,X,X,O,X,X,X,X,O
IOJSTZL,X,X,X,X,O,X,X,X,X,O
IOJSLTZ,X,X,X,X,O,X,X,X,X,O
IOJSLZT,X,O,O,O,O,O,X,X,X,O
IOJSZTL,X,O,X,O,O,O,X,X,O,O
IOJSZLT,X,O,X,O,O,O,X,X,O,O
IOJZTLS,X,O,O,X,O,X,X,O,X,X
IOJZTSL,X,O,O,O,O,O,X,O,O,X
IOJZLTS,X,O,X,O,O,X,X,O,X,X
IOJZLST,X,O,X,O,O,O,X,O,O,X
IOJZSTL,X,O,X,O,O,O,X,X,O,O
IOJZSLT,X,O,O,O,O,O,X,O,O,X
IOSTLJZ,X,O,X,X,O,X,X,X,X,X
IOSTLZJ,X,O,X,X,O,O,X,O,X,O
IOSTJLZ,X,O,X,X,O,X,X,X,X,O
IOSTJZL,X,O,X,X,O,X,X,X,X,O
IOSTZLJ,X,O,X,X,O,O,X,O,X,O
IOSTZJL,X,O,X,X,O,O,X,O,O,O
IOSLTJZ,X,O,X,X,O,X,X,X,X,X
IOSLTZJ,X,O,X,X,O,O,X,O,X,O
IOSLJTZ,X,X,X,X,O,X,X,X,X,O
IOSLJZT,X,O,X,O,O,O,X,X,X,O
IOSLZTJ,X,O,X,X,O,O,X,X,X,O
IOSLZJT,X,O,X,O,O,O,X,O,O,X
IOSJTLZ,X,X,X,X,O,X,X,X,X,O
IOSJTZL,X,X,X,X,O,X,X,X,X,O
IOSJLTZ,X,X,X,X,O,X,X,X,X,O
IOSJLZT,X,O,X,O,O,O,X,X,X,O
IOSJZTL,X,O,X,O,O,O,X,X,O,O
IOSJZLT,X,O,X,O,O,O,X,X,O,O
IOSZTLJ,X,O,X,X,O,O,X,O,X,O
