sequence,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeG8IvhFldBTgB?/mBZnB8nByvB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Jez7IvhFRdB2lB?FiB8nBfsByvB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Je37IvhFUdBajB?xrBOrBTqBFsB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeR8IvhFajB3gB?FiBTmBcsB2vB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeqBJvhFmdBTgB?ZmB0iBFsB3qB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JecAJvhFmcBzdB?XhBRnByvBFsB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Je37IvhFzcBajB?VmBxrBcsB2vB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeU9IvhFajBTgB?ZmBWnBFsB3qB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Je37IvhFqhBmdB?ZmB0iBFsBTqB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeG8IvhFzdBcrB?3nBZnBiqBlqB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Je37IvhFUdBajB?ZmBWnBFsBTqB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeR8IvhFzdB3hB?lnBmrB0qBiqB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeyBJvhFzdBxlB?lnBmrBcqBXrB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeF8IvhFzdB+mB?3nBZnBiqB0qB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Jez7IvhF2lBRiB?FiB8nBfsByvB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeaDJvhFTgBxhB?UiBOrBFsB3qB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeyBJvhFzdBmlB?RnBFsBcqBXrB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Je2FJvhFRhBziB?asBcrBlnB3qB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Je37IvhFajBxhB?UiBOrBFsBTqB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeR8IvhFejBTgB?/mBFiBcsByvB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeU9IvhFajBTgB?xrBOrBFsB3qB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeR8IvhFajB2lB?crBTnB3qBFsB
JTZSLIO,X,O,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JTZSLOI,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTZSOIL,X,O,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JTZSOLI,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTZOILS,X,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JTZOISL,X,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JTZOLIS,X,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JTZOLSI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTZOSIL,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTZOSLI,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTOILSZ,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,X,X
JTOILZS,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X
JTOISLZ,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,O,O,X,O,X,X,X
JTOISZL,X,X,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JTOIZLS,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
JTOIZSL,X,X,X,X,O,X,X,O,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JTOLISZ,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,X,X
JTOLIZS,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X
JTOLSIZ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JTOLSZI,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTOLZIS,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JTOLZSI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTOSILZ,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,O,X,X,X,O,X,X
JTOSIZL,X,X,X,X,X,X,X,O,X,X,X,O,O,O,O,X,X,X,X,O,X,X
JTOSLIZ,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X,O,X,X,X,O,X,X
JTOSLZI,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JTOSZIL,X,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X
JTOSZLI,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JTOZILS,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JTOZISL,X,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JTOZLIS,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JTOZLSI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTOZSIL,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JTOZSLI,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JITLSZO,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
JITLSOZ,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JITLZSO,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
JITLZOS,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
JITLOSZ,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X
JITLOZS,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
JITSLZO,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
JITSLOZ,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X,O,X,O,X,X,X
JITSZLO,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
JITSZOL,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
JITSOLZ,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X,O,X,O,X,X,X
JITSOZL,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
JITZLSO,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
JITZLOS,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
JITZSLO,X,X,O,X,X,X,O,X,O,X,O,O,O,X,X,X,O,X,O,X,X,X
JITZSOL,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JITZOLS,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X
JITZOSL,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JITOLSZ,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X
JITOLZS,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
JITOSLZ,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,O,X,X,X
JITOSZL,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JITOZLS,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JITOZSL,X,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JILTSZO,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JILTSOZ,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JILTZSO,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JILTZOS,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JILTOSZ,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X
JILTOZS,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
JILSTZO,O,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JILSTOZ,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JILSZTO,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILSZOT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILSOTZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JILSOZT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JILZTSO,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JILZTOS,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JILZSTO,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILZSOT,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JILZOTS,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JILZOST,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JILOTSZ,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JILOTZS,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JILOSTZ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
JILOSZT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JILOZTS,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JILOZST,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JISTLZO,X,X,O,X,X,X,O,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X
JISTLOZ,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
JISTZLO,O,X,O,X,X,X,O,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X
JISTZOL,O,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
JISTOLZ,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X,X
JISTOZL,X,X,O,X,X,X,O,X,X,X,O,O,O,O,O,X,O,X,X,X,X,X
JISLTZO,X,X,O,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JISLTOZ,X,X,O,X,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JISLZTO,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JISLZOT,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JISLOTZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JISLOZT,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
JISZTLO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JISZTOL,O,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JISZLTO,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JISZLOT,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JISZOTL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JISZOLT,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JISOTLZ,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
JISOTZL,X,X,O,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
JISOLTZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JISOLZT,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
JISOZTL,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JISOZLT,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JIZTLSO,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JIZTLOS,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JIZTSLO,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JIZTSOL,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JIZTOLS,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JIZTOSL,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JIZLTSO,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIZLTOS,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JIZLSTO,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZLSOT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZLOTS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JIZLOST,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JIZSTLO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZSTOL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZSLTO,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZSLOT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZSOTL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZSOLT,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZOTLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JIZOTSL,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JIZOLTS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JIZOLST,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JIZOSTL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIZOSLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOTLSZ,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JIOTLZS,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JIOTSLZ,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JIOTSZL,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JIOTZLS,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JIOTZSL,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X
JIOLTSZ,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JIOLTZS,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JIOLSTZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JIOLSZT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JIOLZTS,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JIOLZST,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JIOSTLZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JIOSTZL,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X
JIOSLTZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JIOSLZT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JIOSZTL,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JIOSZLT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JIOZTLS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JIOZTSL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JIOZLTS,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JIOZLST,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JIOZSTL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JIOZSLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLTISZO,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JLTISOZ,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JLTIZSO,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JLTIZOS,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JLTIOSZ,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,O,O,X,X,X
JLTIOZS,X,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X,X,X,X
JLTSIZO,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JLTSIOZ,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,O,X,O,X,X,X
JLTSZIO,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JLTSZOI,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLTSOIZ,X,X,X,X,X,X,X,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X
JLTSOZI,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLTZISO,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JLTZIOS,X,O,X,X,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JLTZSIO,X,O,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JLTZSOI,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLTZOIS,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLTZOSI,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLTOISZ,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O,O,O,X,X,X
JLTOIZS,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X
JLTOSIZ,X,X,X,X,X,X,X,O,X,X,X,O,O,X,O,O,X,X,X,O,X,X
JLTOSZI,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X
JLTOZIS,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JLTOZSI,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JLITSZO,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JLITSOZ,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JLITZSO,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
JLITZOS,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X
JLITOSZ,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,O,X,X,X
JLITOZS,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X
JLISTZO,O,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JLISTOZ,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JLISZTO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLISZOT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLISOTZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JLISOZT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JLIZTSO,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLIZTOS,O,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLIZSTO,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZSOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLIZOTS,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLIZOST,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLIOTSZ,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JLIOTZS,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X
JLIOSTZ,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
JLIOSZT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
JLIOZTS,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLIOZST,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLSTIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X
JLSTIOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,O,X,O,X,X,X
JLSTZIO,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JLSTZOI,O,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JLSTOIZ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JLSTOZI,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JLSITZO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLSITOZ,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JLSIZTO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLSIZOT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JLSIOTZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
JLSIOZT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
JLSZTIO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLSZTOI,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLSZITO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLSZIOT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JLSZOTI,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JLSZOIT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JLSOTIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
JLSOTZI,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JLSOITZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,O,X,X
JLSOIZT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
JLSOZTI,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JLSOZIT,O,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JLZTISO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X
JLZTIOS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JLZTSIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTSOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTOIS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZITSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZITOS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZISTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZISOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZIOTS,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLZIOST,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JLZSTIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSTOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSITO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSIOT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZSOTI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZSOIT,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
JLZOTIS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
