sequence,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Jez7IvhFqhBmdB?5jB0iB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Jez7IvhFUdBajB?5jBWnB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeqBJvhFmdB5jB?zgB0iB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeU9IvhFajB5jB?zgBWnB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeF8IvhFxdB+lB?3hBcnBTjBCtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeR8IvhF1iB6jB?+lBThB/sBUtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeC8IvhFTdBejB?5jB0hB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeaBJvhFFdB5jB?+lBfnBznB8sB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeC8IvhF2iB5jB?0hBziB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeyCJvhF5jBzgB?WnB8sB3qBFsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeU9IvhFChBTjB?xmB3lBGoBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Je/CJvhF+lB0hB?TjBFhBxsBCtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Je08IvhFxdBVmB?CjB/sBTtB+qB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Je/CJvhFFhBTjB?+lB0hBxsBCtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JezAJvhFRiBUnB?FoB6oB3lBGsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Jez7IvhFRiB3lB?UnBFoB6oBGsB
TLSIOZJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TLSOIZJ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSOJIZ,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLSOJZI,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
TLSOZIJ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLSOZJI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLZIJSO,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TLZIJOS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TLZISJO,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
TLZISOJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
