sequence,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhF0cBxdBlgB/?qBOrBzrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhFxdB0gBlhB/?qBOrBzrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeWAJvhF0cBxdB/mBT?gBlqBywB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeWAJvhFxdBlhBilB0?lBzrBXrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8Jez6IvhFqgBxdBlhB/?qB0mB2wB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhFxdB0gBlhB/?qBmrBTrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhF0cBxdBlgB2?qBzrBXrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhF0cBxdBlgB/?qBmrBTrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8Jez6IvhFCcBxdBmlBf?sB0qBlrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8Jez6IvhFCcBxdBlhB/?qBmrBUrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeG7IvhFxdBUgBlhBy?qBzrBXrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhFxdB0gBlhB2?qBzrBXrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhF0cBxdB/qBF?mBzrBmqB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeG7IvhFxdBUgBihBf?sBlqBTrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8Jez6IvhFxdBclBlhBK?rBuqBfsB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeX8IvhFxdBUgBTmBa?sBFlBWwB
JLSTOZI,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X
JLSITZO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
JLSITOZ,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
JLSIZTO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JLSIZOT,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JLSIOTZ,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
JLSIOZT,O,O,O,X,O,O,X,O,X,O,X,X,O,X,X,X
JLSZTIO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JLSZTOI,O,O,O,X,O,O,X,O,X,O,X,O,X,X,X,X
JLSZITO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JLSZIOT,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JLSZOTI,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JLSZOIT,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JLSOTIZ,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
JLSOTZI,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
JLSOITZ,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
JLSOIZT,O,O,O,X,O,O,X,O,X,O,X,X,O,X,X,X
JLSOZTI,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JLSOZIT,O,O,O,X,O,O,X,O,X,O,X,X,O,X,X,X
JLZTISO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JLZTIOS,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
JLZTSIO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLZTSOI,X,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X
JLZTOIS,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
JLZTOSI,X,X,X,O,X,X,X,X,X,X,O,O,X,X,O,X
JLZITSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JLZITOS,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X
JLZISTO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JLZISOT,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JLZIOTS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
JLZIOST,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X
JLZSTIO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JLZSTOI,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X
JLZSITO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JLZSIOT,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JLZSOTI,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JLZSOIT,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JLZOTIS,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O
JLZOTSI,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,O
JLZOITS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLZOIST,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
JLZOSTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLZOSIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JLOTISZ,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
JLOTIZS,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
JLOTSIZ,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
JLOTSZI,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JLOTZIS,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
JLOTZSI,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JLOITSZ,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
JLOITZS,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
JLOISTZ,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
JLOISZT,O,O,O,X,O,O,O,O,X,O,X,O,O,X,X,X
JLOIZTS,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
JLOIZST,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,X
JLOSTIZ,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
JLOSTZI,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
JLOSITZ,O,X,X,O,O,X,O,O,X,O,X,X,O,X,X,X
JLOSIZT,O,O,O,X,O,O,O,O,X,O,X,O,O,X,X,X
JLOSZTI,O,O,O,X,O,O,O,O,X,O,X,O,X,X,X,X
JLOSZIT,O,O,O,X,O,O,O,O,X,O,X,O,O,X,X,X
JLOZTIS,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JLOZTSI,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JLOZITS,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JLOZIST,O,X,X,X,X,X,O,O,X,X,X,O,O,X,X,O
JLOZSTI,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
JLOZSIT,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O
JSTILZO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
JSTILOZ,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
JSTIZLO,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
JSTIZOL,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
JSTIOLZ,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
JSTIOZL,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JSTLIZO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
JSTLIOZ,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
JSTLZIO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
JSTLZOI,O,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X
JSTLOIZ,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
JSTLOZI,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
JSTZILO,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
JSTZIOL,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
JSTZLIO,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
JSTZLOI,O,O,O,X,O,O,X,O,X,O,X,O,X,O,X,X
JSTZOIL,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
JSTZOLI,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
JSTOILZ,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
JSTOIZL,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X
JSTOLIZ,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
JSTOLZI,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
JSTOZIL,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X
JSTOZLI,O,X,O,X,X,O,X,O,X,O,X,X,O,X,X,X
JSITLZO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
JSITLOZ,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
JSITZLO,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
JSITZOL,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
JSITOLZ,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
JSITOZL,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JSILTZO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
JSILTOZ,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
JSILZTO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JSILZOT,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JSILOTZ,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
JSILOZT,O,O,O,X,O,O,X,O,X,O,X,X,O,X,X,X
JSIZTLO,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JSIZTOL,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JSIZLTO,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JSIZLOT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JSIZOTL,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JSIZOLT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JSIOTLZ,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
JSIOTZL,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
JSIOLTZ,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
JSIOLZT,O,O,X,X,O,O,X,O,X,O,X,X,O,X,X,X
JSIOZTL,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JSIOZLT,O,O,X,X,O,O,X,O,O,O,X,X,O,X,X,X
JSLTIZO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
JSLTIOZ,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
JSLTZIO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
JSLTZOI,O,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X
JSLTOIZ,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X
JSLTOZI,O,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X
JSLITZO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
JSLITOZ,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
JSLIZTO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JSLIZOT,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JSLIOTZ,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
JSLIOZT,O,O,O,X,O,O,X,O,X,O,X,X,O,X,X,X
JSLZTIO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JSLZTOI,O,O,O,X,O,O,X,O,X,O,X,O,X,X,X,X
JSLZITO,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JSLZIOT,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JSLZOTI,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JSLZOIT,O,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JSLOTIZ,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
JSLOTZI,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
JSLOITZ,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X
JSLOIZT,O,O,O,X,O,O,X,O,X,O,X,X,O,X,X,X
JSLOZTI,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
JSLOZIT,O,O,O,X,O,O,X,O,X,O,X,X,O,X,X,X
JSZTILO,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JSZTIOL,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JSZTLIO,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JSZTLOI,O,O,X,X,O,O,X,O,O,O,X,O,X,X,X,X
JSZTOIL,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JSZTOLI,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JSZITLO,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JSZITOL,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JSZILTO,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JSZILOT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JSZIOTL,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JSZIOLT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JSZLTIO,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JSZLTOI,O,O,X,X,O,O,X,O,O,O,X,O,X,X,X,X
JSZLITO,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JSZLIOT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JSZLOTI,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JSZLOIT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JSZOTIL,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JSZOTLI,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JSZOITL,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JSZOILT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JSZOLTI,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,O
JSZOLIT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,O
JSOTILZ,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
JSOTIZL,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
JSOTLIZ,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
JSOTLZI,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
JSOTZIL,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
JSOTZLI,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
JSOITLZ,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
JSOITZL,O,O,X,X,X,O,X,O,X,O,X,X,O,X,X,X
JSOILTZ,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
JSOILZT,O,O,X,X,O,O,X,O,X,O,X,X,O,X,X,X
JSOIZTL,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JSOIZLT,O,O,X,X,O,O,X,O,O,O,X,X,O,X,X,X
JSOLTIZ,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
JSOLTZI,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
JSOLITZ,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X
JSOLIZT,O,O,X,X,O,O,X,O,X,O,X,X,O,X,X,X
JSOLZTI,O,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
JSOLZIT,O,O,X,X,O,O,X,O,X,O,X,X,O,X,X,X
JSOZTIL,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JSOZTLI,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JSOZITL,O,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JSOZILT,O,O,X,X,O,O,X,O,O,O,X,X,O,X,X,X
JSOZLTI,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,O
JSOZLIT,O,O,X,X,O,O,X,O,O,O,X,X,O,X,X,O
JZTILSO,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JZTILOS,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
JZTISLO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
JZTISOL,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
JZTIOLS,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
JZTIOSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZTLISO,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JZTLIOS,X,X,X,O,X,X,X,X,O,O,O,O,X,X,X,X
JZTLSIO,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JZTLSOI,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X
JZTLOIS,X,X,X,O,X,X,X,X,O,O,O,O,X,X,X,X
JZTLOSI,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
JZTSILO,O,X,O,X,O,O,X,O,O,O,X,X,X,O,X,X
JZTSIOL,O,X,O,X,X,O,X,O,O,O,X,X,X,O,X,X
JZTSLIO,O,X,O,X,O,O,X,O,O,O,X,X,X,O,X,X
JZTSLOI,O,X,O,X,O,O,X,O,O,O,X,O,X,O,X,X
JZTSOIL,O,X,O,X,X,O,X,O,O,O,X,X,X,O,X,X
JZTSOLI,O,X,O,X,X,O,X,O,O,O,X,X,X,O,X,X
JZTOILS,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
JZTOISL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZTOLIS,X,X,X,O,X,X,X,X,O,O,X,O,X,X,O,O
JZTOLSI,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,O
JZTOSIL,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JZTOSLI,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X
JZITLSO,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JZITLOS,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X
JZITSLO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
JZITSOL,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
JZITOLS,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
JZITOSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZILTSO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JZILTOS,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
JZILSTO,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
JZILSOT,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
JZILOTS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZILOST,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X
JZISTLO,O,X,X,X,O,O,X,O,O,O,X,X,X,O,X,X
JZISTOL,O,X,X,X,X,O,X,O,O,O,X,X,X,O,X,X
JZISLTO,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZISLOT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZISOTL,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JZISOLT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZIOTLS,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X
JZIOTSL,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZIOLTS,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,O
JZIOLST,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,O
JZIOSTL,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X
JZIOSLT,O,X,X,X,O,X,O,O,O,O,X,X,O,X,X,X
JZLTISO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JZLTIOS,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
JZLTSIO,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
JZLTSOI,X,X,O,O,X,X,X,X,O,X,O,O,X,O,X,X
JZLTOIS,X,X,X,O,X,X,X,X,O,X,O,O,X,X,O,X
JZLTOSI,X,X,X,O,X,X,X,X,O,X,O,O,X,X,O,X
JZLITSO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JZLITOS,X,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X
JZLISTO,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
JZLISOT,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
JZLIOTS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
JZLIOST,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X
JZLSTIO,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
JZLSTOI,O,X,O,X,X,O,X,O,O,X,O,O,X,X,X,X
JZLSITO,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
JZLSIOT,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
JZLSOTI,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
JZLSOIT,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
JZLOTIS,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O
JZLOTSI,X,X,X,X,X,X,X,X,O,X,O,O,X,X,O,O
JZLOITS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JZLOIST,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O
JZLOSTI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JZLOSIT,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
JZSTILO,O,X,X,X,O,O,X,O,O,O,X,X,X,O,X,X
JZSTIOL,O,X,X,X,X,O,X,O,O,O,X,X,X,O,X,X
JZSTLIO,O,X,X,X,O,O,X,O,O,O,X,X,X,O,X,X
JZSTLOI,O,X,X,X,O,O,X,O,O,O,X,O,X,O,X,X
JZSTOIL,O,X,X,X,X,O,X,O,O,O,X,X,X,O,X,X
JZSTOLI,O,X,X,X,X,O,X,O,O,O,X,X,X,O,X,X
JZSITLO,O,X,X,X,O,O,X,O,O,O,X,X,X,O,X,X
JZSITOL,O,X,X,X,X,O,X,O,O,O,X,X,X,O,X,X
JZSILTO,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZSILOT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZSIOTL,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JZSIOLT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZSLTIO,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZSLTOI,O,X,X,X,O,O,X,O,O,O,O,O,X,X,X,X
JZSLITO,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZSLIOT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZSLOTI,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZSLOIT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZSOTIL,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JZSOTLI,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JZSOITL,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X
JZSOILT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,X
JZSOLTI,X,X,X,X,O,O,X,O,O,O,X,X,X,X,X,O
JZSOLIT,O,X,X,X,O,O,X,O,O,O,X,X,X,X,X,O
JZOTILS,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X
JZOTISL,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZOTLIS,O,X,X,O,X,X,O,X,O,O,X,O,X,X,O,O
JZOTLSI,X,X,X,O,X,X,O,X,O,X,X,O,X,X,O,O
JZOTSIL,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
JZOTSLI,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
JZOITLS,O,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X
JZOITSL,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
JZOILTS,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,O
JZOILST,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,O
JZOISTL,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X
JZOISLT,O,X,X,X,O,X,O,O,O,O,X,X,O,X,X,X
JZOLTIS,O,X,X,O,X,X,O,X,O,X,O,O,X,X,O,O
JZOLTSI,X,X,X,O,X,X,O,X,O,X,O,O,X,X,O,O
JZOLITS,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,O
JZOLIST,O,X,X,X,X,X,O,O,O,X,O,X,O,X,X,O
JZOLSTI,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O
JZOLSIT,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O
JZOSTIL,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X
JZOSTLI,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X
JZOSITL,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X
JZOSILT,O,X,X,X,O,X,O,O,O,O,X,X,O,X,X,X
JZOSLTI,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,O
JZOSLIT,O,X,X,X,O,X,O,O,O,O,X,X,O,X,X,O
JOTILSZ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
JOTILZS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
JOTISLZ,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
JOTISZL,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X
JOTIZLS,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
JOTIZSL,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JOTLISZ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
JOTLIZS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
JOTLSIZ,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
JOTLSZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOTLZIS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
JOTLZSI,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,X
JOTSILZ,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
JOTSIZL,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X
JOTSLIZ,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
JOTSLZI,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
JOTSZIL,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X
JOTSZLI,O,O,O,X,X,O,O,X,X,O,X,O,X,X,X,X
JOTZILS,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X
JOTZISL,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
JOTZLIS,O,X,X,O,X,X,O,X,X,O,X,O,X,X,X,O
JOTZLSI,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JOTZSIL,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
