sequence,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8Jez7IvhFRdBSjB?UgB3hBmnBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JefBJvhF6hBxdB?UgBTiBOoBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JefBJvhFxcBTeB?UgBCiBmnBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeSAJvhFxcBTeB?lhBfoBmlB8rB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8Jez7IvhFuhBUgB?xiB/rBisBFtB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8Jez7IvhFCdBUgB?xiBOoB/rBFsB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeWBJvhFxcBTeB?UgBymBfoBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeSAJvhFlcBTeB?xlBmnBcnB/rB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JefBJvhFxcBUgB?zhBCjBOoBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeT+IvhFFgBfoB?RmBmmBUmBCsB
TJSLZIO,O,O,O,O,X,X,O,X,X,X
TJSLZOI,O,O,O,O,X,X,O,X,X,X
TJSLOIZ,O,O,O,O,X,X,O,X,X,X
TJSLOZI,O,O,O,O,X,X,O,X,X,X
TJSZILO,O,O,O,O,X,X,O,X,X,X
TJSZIOL,O,O,O,O,X,X,O,X,X,X
TJSZLIO,O,O,O,O,X,X,O,X,X,X
TJSZLOI,O,O,O,O,X,X,O,X,X,X
TJSZOIL,O,O,O,O,X,X,O,X,X,X
TJSZOLI,O,O,O,O,X,X,O,X,X,X
TJSOILZ,O,O,O,O,X,X,O,X,X,O
TJSOIZL,O,O,O,X,X,X,X,X,X,O
TJSOLIZ,O,O,O,O,X,X,O,X,X,X
TJSOLZI,O,O,O,O,X,X,O,X,X,X
TJSOZIL,O,O,O,O,X,X,O,X,X,X
TJSOZLI,O,O,O,O,X,X,O,X,X,X
TJZILSO,O,O,O,O,X,X,O,X,X,X
TJZILOS,O,O,O,O,X,X,O,X,X,X
TJZISLO,O,O,O,O,X,O,O,X,X,X
TJZISOL,O,O,O,O,X,O,O,X,X,X
TJZIOLS,O,O,O,O,X,X,O,X,X,X
TJZIOSL,X,O,O,O,X,X,O,X,X,X
TJZLISO,O,O,O,O,X,X,O,X,X,X
TJZLIOS,O,O,O,O,X,X,O,X,X,X
TJZLSIO,O,O,O,O,X,X,O,X,X,X
TJZLSOI,O,O,O,O,X,X,O,X,O,X
TJZLOIS,O,O,O,O,X,X,O,X,X,X
TJZLOSI,O,O,O,O,X,X,O,X,O,X
TJZSILO,O,O,O,O,X,X,O,X,X,X
TJZSIOL,O,O,O,O,X,X,O,X,X,X
TJZSLIO,O,O,O,O,X,X,O,X,X,X
TJZSLOI,O,O,O,O,X,X,O,X,O,X
TJZSOIL,O,O,O,O,X,X,O,X,O,X
TJZSOLI,O,O,O,O,X,X,O,X,O,X
TJZOILS,O,O,O,O,X,X,O,X,X,X
TJZOISL,X,O,O,O,X,X,O,X,X,X
TJZOLIS,O,O,O,O,X,X,O,X,X,X
TJZOLSI,O,O,O,O,X,X,O,X,O,X
TJZOSIL,O,O,O,O,X,X,O,X,O,X
TJZOSLI,O,O,O,O,X,X,O,X,O,X
TJOILSZ,X,O,O,X,X,X,X,O,X,X
TJOILZS,X,O,O,X,X,X,X,O,X,X
TJOISLZ,X,O,O,X,X,X,X,O,X,X
TJOISZL,X,O,O,X,X,X,X,O,X,X
TJOIZLS,X,O,O,X,X,X,X,O,X,X
TJOIZSL,X,O,O,X,X,X,X,O,X,X
TJOLISZ,O,O,O,X,X,X,X,O,X,X
TJOLIZS,O,O,O,X,X,X,X,O,X,X
TJOLSIZ,O,O,O,X,X,X,X,X,X,X
TJOLSZI,O,O,O,X,X,X,X,X,X,X
TJOLZIS,O,O,O,X,X,X,X,X,X,X
TJOLZSI,O,O,O,X,X,X,X,X,O,X
TJOSILZ,O,O,O,X,X,X,X,X,X,X
TJOSIZL,O,O,O,X,X,X,X,X,X,X
TJOSLIZ,O,O,O,X,X,X,X,X,X,X
TJOSLZI,O,O,O,X,X,X,X,X,X,X
TJOSZIL,O,O,O,X,X,X,X,X,X,X
TJOSZLI,O,O,O,X,X,X,X,X,X,X
TJOZILS,O,O,O,X,X,X,X,X,X,X
TJOZISL,X,O,O,X,X,X,X,X,X,X
TJOZLIS,O,O,O,X,X,X,X,X,X,X
TJOZLSI,O,O,O,X,X,X,X,X,O,X
TJOZSIL,O,O,O,X,X,X,X,X,O,X
TJOZSLI,O,O,O,X,X,X,X,X,O,X
TSILJZO,O,O,O,X,X,O,O,X,X,X
TSILJOZ,O,O,O,X,X,X,O,X,X,O
TSILZJO,O,X,O,X,X,O,O,X,X,X
TSILZOJ,O,X,O,X,X,O,O,X,X,X
TSILOJZ,O,O,O,O,X,X,O,X,X,O
TSILOZJ,O,O,O,O,X,O,O,X,X,X
TSIJLZO,O,O,O,X,X,O,O,X,X,X
TSIJLOZ,O,O,O,O,X,X,O,X,X,O
TSIJZLO,O,O,O,X,X,O,X,X,X,X
TSIJZOL,O,X,O,X,O,O,X,X,X,O
TSIJOLZ,O,O,O,O,X,X,O,X,X,O
TSIJOZL,O,O,O,X,X,X,X,X,X,O
TSIZLJO,O,X,O,X,X,O,O,X,X,X
TSIZLOJ,O,X,O,X,X,O,O,X,X,X
TSIZJLO,O,X,O,X,X,O,O,X,X,X
TSIZJOL,O,X,O,X,O,O,O,X,X,O
TSIZOLJ,O,X,O,X,X,O,O,X,X,X
TSIZOJL,O,X,O,X,O,O,O,X,X,O
TSIOLJZ,O,O,O,O,X,X,O,X,X,O
TSIOLZJ,O,O,O,O,X,O,O,X,X,X
TSIOJLZ,O,O,O,O,X,X,O,X,X,O
TSIOJZL,O,O,O,X,X,X,X,X,X,O
TSIOZLJ,O,O,O,X,X,O,O,X,X,X
TSIOZJL,O,X,O,X,X,O,O,X,X,O
TSLIJZO,O,O,O,X,O,O,O,X,X,X
TSLIJOZ,O,O,O,X,X,X,O,X,X,O
TSLIZJO,O,X,O,X,O,O,O,X,X,X
TSLIZOJ,O,X,O,X,O,O,O,X,X,X
TSLIOJZ,O,O,O,O,X,X,O,X,X,O
TSLIOZJ,O,O,O,O,X,O,O,X,X,X
TSLJIZO,O,O,O,X,O,O,O,X,X,X
TSLJIOZ,O,O,O,O,X,X,O,X,X,X
TSLJZIO,O,O,O,O,O,O,O,X,X,X
