sequence,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex7IvhF6iBTeB?XgBlhBcqBerB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex8IvhFTeBGiB?FlBXmBiqB0qB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je08IvhFxdBCjB?FlBXmBmqBTqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8JeT+IvhFXgBxhB?GiBFmB0qBiqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je/AJvhFRcBGeB?ThBliBUlByvB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex8IvhFTeBlgB?GiBaqBXmB0qB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je07IvhFxcBTeB?VlBGiBiqBXrB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex8IvhFTeBGiB?UlBFmBKqBfrB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je6CJvhFTeBlhB?RlBOqBXmB0qB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex9IvhF0gBlhB?CjBXgBOrBTqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je6CJvhFTeBRhB?UlBFmBOqBXrB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex7IvhF6iBTeB?lgB3hBmqBUqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8JeT7IvhFXhBxiB?lhBCjBmqBUqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8JeT+IvhFXgBZmB?CiBGiBcqBlqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex7IvhF6iBTeB?fmBlhBUlB2vB
JLZSOIT,X,X,X,X,O,O,X,X,X,X,X,O,O,X,O
JLZOTIS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JLZOTSI,O,X,X,X,O,O,O,O,X,X,O,O,X,X,X
JLZOITS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JLZOIST,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X
JLZOSTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JLZOSIT,X,X,X,X,O,O,X,X,X,X,X,O,O,X,O
JLOTISZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JLOTIZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
JLOTSIZ,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JLOTSZI,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X
JLOTZIS,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
JLOTZSI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
JLOITSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JLOITZS,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X
JLOISTZ,O,O,X,X,X,O,O,X,X,X,X,O,X,O,X
JLOISZT,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
JLOIZTS,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X
JLOIZST,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JLOSTIZ,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JLOSTZI,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JLOSITZ,O,O,X,X,X,O,O,X,X,X,X,O,X,O,X
JLOSIZT,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X
JLOSZTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JLOSZIT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JLOZTIS,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
JLOZTSI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
JLOZITS,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X
JLOZIST,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JLOZSTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JLOZSIT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JSTILZO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSTILOZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSTIZLO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSTIZOL,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
JSTIOLZ,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X
JSTIOZL,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X
JSTLIZO,X,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JSTLIOZ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JSTLZIO,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JSTLZOI,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JSTLOIZ,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JSTLOZI,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X
JSTZILO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSTZIOL,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X
JSTZLIO,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X
JSTZLOI,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X
JSTZOIL,O,O,X,X,X,X,O,X,X,X,X,O,O,X,X
JSTZOLI,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
JSTOILZ,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X
JSTOIZL,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X
JSTOLIZ,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSTOLZI,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSTOZIL,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSTOZLI,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
JSITLZO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSITLOZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSITZLO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSITZOL,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
JSITOLZ,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X
JSITOZL,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X
JSILTZO,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSILTOZ,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSILZTO,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
JSILZOT,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
JSILOTZ,O,O,X,X,X,O,O,X,X,X,X,O,O,O,X
JSILOZT,O,X,X,X,X,O,X,X,X,X,X,O,O,O,X
JSIZTLO,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JSIZTOL,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
JSIZLTO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSIZLOT,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JSIZOTL,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X
JSIZOLT,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
JSIOTLZ,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X
JSIOTZL,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X
JSIOLTZ,O,O,X,O,X,O,O,X,X,X,X,O,O,O,X
JSIOLZT,O,X,X,O,X,O,X,X,X,X,X,O,O,O,X
JSIOZTL,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X
JSIOZLT,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X
JSLTIZO,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLTIOZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLTZIO,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLTZOI,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLTOIZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLTOZI,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLITZO,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLITOZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
JSLIZTO,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X
JSLIZOT,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
JSLIOTZ,O,O,X,X,X,O,O,X,X,X,X,O,O,O,X
JSLIOZT,O,X,X,X,X,O,X,X,X,X,X,O,O,O,X
JSLZTIO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X
JSLZTOI,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X
JSLZITO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,X
JSLZIOT,O,X,X,X,O,O,X,X,X,X,X,O,O,X,X
JSLZOTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JSLZOIT,O,X,X,X,O,O,X,X,X,X,X,O,O,X,X
JSLOTIZ,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSLOTZI,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSLOITZ,O,O,X,X,X,O,O,X,X,X,X,O,O,O,X
JSLOIZT,O,X,X,X,X,O,X,X,X,X,X,O,O,O,X
JSLOZTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JSLOZIT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JSZTILO,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JSZTIOL,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X
JSZTLIO,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X
JSZTLOI,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X
JSZTOIL,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X
JSZTOLI,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
JSZITLO,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JSZITOL,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X
JSZILTO,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JSZILOT,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X
JSZIOTL,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X
JSZIOLT,O,X,X,O,O,X,X,X,X,X,X,O,O,O,X
JSZLTIO,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JSZLTOI,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JSZLITO,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JSZLIOT,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X
JSZLOTI,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JSZLOIT,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X
JSZOTIL,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X
JSZOTLI,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
JSZOITL,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X
JSZOILT,O,X,X,O,O,X,X,X,X,X,X,O,O,O,X
JSZOLTI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSZOLIT,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X
JSOTILZ,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X
JSOTIZL,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X
JSOTLIZ,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSOTLZI,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSOTZIL,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JSOTZLI,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
JSOITLZ,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X
JSOITZL,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X
JSOILTZ,O,O,X,O,X,O,O,X,X,X,X,O,O,O,X
JSOILZT,O,X,X,O,X,O,X,X,X,X,X,O,O,O,X
JSOIZTL,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X
JSOIZLT,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X
JSOLTIZ,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSOLTZI,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JSOLITZ,O,O,X,X,X,O,O,X,X,X,X,O,O,O,X
JSOLIZT,O,X,X,X,X,O,X,X,X,X,X,O,O,O,X
JSOLZTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JSOLZIT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JSOZTIL,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X
JSOZTLI,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
JSOZITL,O,O,X,O,O,X,X,X,X,X,X,O,O,X,X
JSOZILT,O,X,X,O,O,X,X,X,X,X,X,O,O,O,X
JSOZLTI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JSOZLIT,O,X,X,X,O,X,X,X,X,X,X,O,O,O,X
JZTILSO,O,X,X,X,O,X,X,O,X,X,O,O,X,X,X
JZTILOS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZTISLO,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JZTISOL,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X
JZTIOLS,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X
JZTIOSL,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X
JZTLISO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZTLIOS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZTLSIO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZTLSOI,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZTLOIS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZTLOSI,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZTSILO,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZTSIOL,O,O,X,X,O,X,O,X,X,X,X,O,O,X,X
JZTSLIO,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
JZTSLOI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
JZTSOIL,O,O,X,X,O,X,O,X,X,X,X,O,O,X,X
JZTSOLI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
JZTOILS,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X
JZTOISL,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X
JZTOLIS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZTOLSI,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZTOSIL,O,O,X,X,O,X,O,X,X,X,X,O,O,X,X
JZTOSLI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
JZITLSO,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
JZITLOS,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
JZITSLO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZITSOL,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZITOLS,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
JZITOSL,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZILTSO,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZILTOS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZILSTO,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JZILSOT,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X
JZILOTS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZILOST,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X
JZISTLO,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZISTOL,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X
JZISLTO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JZISLOT,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X
JZISOTL,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X
JZISOLT,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X
JZIOTLS,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
JZIOTSL,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZIOLTS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZIOLST,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
JZIOSTL,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X
JZIOSLT,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X
JZLTISO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZLTIOS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZLTSIO,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZLTSOI,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZLTOIS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZLTOSI,O,X,X,X,O,O,O,O,X,X,O,O,X,X,X
JZLITSO,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZLITOS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZLISTO,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X
JZLISOT,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X
JZLIOTS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZLIOST,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X
JZLSTIO,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O
JZLSTOI,O,X,O,X,O,O,X,X,X,X,X,O,X,X,O
JZLSITO,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X
JZLSIOT,X,X,X,X,O,O,X,X,X,X,X,O,O,X,O
JZLSOTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JZLSOIT,X,X,X,X,O,O,X,X,X,X,X,O,O,X,O
JZLOTIS,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZLOTSI,O,X,X,X,O,O,O,O,X,X,O,O,X,X,X
JZLOITS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZLOIST,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X
JZLOSTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JZLOSIT,X,X,X,X,O,O,X,X,X,X,X,O,O,X,O
JZSTILO,O,O,X,X,O,X,X,X,X,X,X,O,X,X,O
JZSTIOL,O,O,X,O,O,X,X,X,X,X,X,O,O,X,O
JZSTLIO,O,O,O,X,O,X,X,O,X,X,X,O,X,X,O
JZSTLOI,O,O,O,X,O,X,X,O,X,X,X,O,X,X,O
JZSTOIL,O,O,X,O,O,X,X,X,X,X,X,O,O,X,O
JZSTOLI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O
JZSITLO,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZSITOL,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X
JZSILTO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JZSILOT,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O
JZSIOTL,X,O,X,O,O,X,X,X,X,X,X,O,O,X,O
JZSIOLT,X,X,X,O,O,X,X,X,X,X,X,O,O,X,O
JZSLTIO,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O
JZSLTOI,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O
JZSLITO,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JZSLIOT,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O
JZSLOTI,O,X,X,X,O,X,X,X,X,X,X,O,X,X,O
JZSLOIT,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O
JZSOTIL,O,O,X,O,O,X,X,X,X,X,X,O,O,X,O
JZSOTLI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O
JZSOITL,X,O,X,O,O,X,X,X,X,X,X,O,O,X,O
JZSOILT,X,X,X,O,O,X,X,X,X,X,X,O,O,X,O
JZSOLTI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JZSOLIT,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O
JZOTILS,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X
JZOTISL,O,X,X,X,O,X,O,X,X,X,X,O,O,X,X
JZOTLIS,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X
JZOTLSI,O,X,X,X,O,X,O,O,X,X,O,O,X,X,X
JZOTSIL,O,O,X,X,O,X,O,X,X,X,X,O,O,X,X
JZOTSLI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
JZOITLS,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
JZOITSL,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JZOILTS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZOILST,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
JZOISTL,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X
JZOISLT,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X
JZOLTIS,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X
JZOLTSI,O,X,X,X,O,O,O,O,X,X,O,O,X,X,X
JZOLITS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JZOLIST,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X
JZOLSTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JZOLSIT,X,X,X,X,O,O,X,X,X,X,X,O,O,X,O
JZOSTIL,O,O,X,O,O,X,X,X,X,X,X,O,O,X,O
JZOSTLI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,O
JZOSITL,X,O,X,O,O,X,X,X,X,X,X,O,O,X,O
JZOSILT,X,X,X,O,O,X,X,X,X,X,X,O,O,X,O
JZOSLTI,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O
JZOSLIT,X,X,X,X,O,X,X,X,X,X,X,O,O,X,O
JOTILSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JOTILZS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
JOTISLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTISZL,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JOTIZLS,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JOTIZSL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JOTLISZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JOTLIZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
JOTLSIZ,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JOTLSZI,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X
JOTLZIS,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
JOTLZSI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
JOTSILZ,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTSIZL,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOTSLIZ,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOTSLZI,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X
JOTSZIL,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X
JOTSZLI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
JOTZILS,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X
JOTZISL,O,X,X,X,O,X,O,X,X,X,X,O,X,X,X
JOTZLIS,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
JOTZLSI,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
JOTZSIL,O,O,X,X,O,X,O,X,X,X,X,O,X,X,X
JOTZSLI,O,O,X,X,O,X,X,O,X,X,X,O,X,X,X
JOITLSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JOITLZS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOITSLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOITSZL,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
JOITZLS,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JOITZSL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOILTSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JOILTZS,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
JOILSTZ,O,O,X,X,X,O,O,X,X,X,X,O,X,O,X
JOILSZT,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
JOILZTS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JOILZST,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JOISTLZ,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X
JOISTZL,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X
JOISLTZ,O,O,X,O,X,O,O,X,X,X,X,O,O,O,X
JOISLZT,X,X,X,O,X,O,X,X,X,X,X,O,O,O,X
JOISZTL,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X
JOISZLT,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X
JOIZTLS,O,X,X,X,X,X,O,O,X,X,X,O,X,X,X
JOIZTSL,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X
JOIZLTS,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X
JOIZLST,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X
JOIZSTL,X,O,X,O,O,X,X,X,X,X,X,O,O,X,X
JOIZSLT,X,X,X,O,O,X,X,X,X,X,X,O,O,X,X
JOLTISZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JOLTIZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
JOLTSIZ,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JOLTSZI,O,O,X,X,O,O,O,X,X,X,X,O,X,X,X
JOLTZIS,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
JOLTZSI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
JOLITSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
JOLITZS,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X
JOLISTZ,O,O,X,X,X,O,O,X,X,X,X,O,X,O,X
JOLISZT,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
JOLIZTS,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X
JOLIZST,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JOLSTIZ,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JOLSTZI,O,O,X,X,X,O,O,X,X,X,X,O,X,X,X
JOLSITZ,O,O,X,X,X,O,O,X,X,X,X,O,X,O,X
JOLSIZT,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X
JOLSZTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JOLSZIT,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JOLZTIS,O,X,X,X,O,X,O,O,X,O,O,O,X,X,X
JOLZTSI,O,X,X,X,O,O,O,O,X,O,O,O,X,X,X
JOLZITS,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X
JOLZIST,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JOLZSTI,O,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JOLZSIT,X,X,X,X,O,O,X,X,X,X,X,O,X,X,O
JOSTILZ,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X
JOSTIZL,X,O,X,O,X,X,O,X,X,X,X,O,O,X,X
JOSTLIZ,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
JOSTLZI,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X
