sequence,v115@6gC8FeD8FeE8EeF8DeD8Jei6IvhFRcB3fBGhBllBUq?BTrB,v115@6gC8FeD8FeE8EeF8DeD8Jem6IvhFRcBTfB3gBcmBFq?BSwB,v115@6gC8FeD8FeE8EeF8DeD8Je06IvhFlbB3cB2kBSqBTm?BxvB,v115@6gC8FeD8FeE8EeF8DeD8Jex6IvhF/kBUgBFhB+rBim?BTqB,v115@6gC8FeD8FeE8EeF8DeD8JeT6IvhFKgBRcBFhB0kB+r?B3qB,v115@6gC8FeD8FeE8EeF8DeD8JeK/IvhFzaBRcBGhB/rBFq?B0qB,v115@6gC8FeD8FeE8EeF8DeD8Jei6IvhFuhBRgB0kBllBTr?B3qB,v115@6gC8FeD8FeE8EeF8DeD8Jex6IvhFTfB/lBFhB+rBim?BUqB,v115@6gC8FeD8FeE8EeF8DeD8Jex6IvhFuhBifBfqBllBTr?B8qB,v115@6gC8FeD8FeE8EeF8DeD8JeT6IvhF/gBUcBumBlkByq?BxvB,v115@6gC8FeD8FeE8EeF8DeD8Jei6IvhFRcBFgB0kBGmB3q?BTrB,v115@6gC8FeD8FeE8EeF8DeD8JeT6IvhFxgB3hBlkBcqBml?BSwB,v115@6gC8FeD8FeE8EeF8DeD8JeR8IvhF/kBThB0lBFlBSw?BmpB,v115@6gC8FeD8FeE8EeF8DeD8JeT6IvhFibBUhBxkBFqBXr?BurB,v115@6gC8FeD8FeE8EeF8DeD8JeR8IvhFTfB0gBFqBXrB6r?BmpB
JLZTSOI,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JLZTOIS,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X
JLZTOSI,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JLZITSO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JLZITOS,X,O,O,X,O,X,O,X,X,X,X,O,X,X,X
JLZISTO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JLZISOT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JLZIOTS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JLZIOST,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JLZSTIO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JLZSTOI,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JLZSITO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JLZSIOT,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JLZSOTI,X,O,O,X,O,X,O,O,O,X,X,X,O,X,X
JLZSOIT,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X
JLZOTIS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JLZOTSI,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JLZOITS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JLZOIST,X,O,O,X,O,X,O,O,X,X,X,X,O,X,X
JLZOSTI,X,O,O,X,O,X,O,O,O,X,X,X,O,X,X
JLZOSIT,X,O,X,X,O,X,O,O,X,X,X,X,O,X,X
JLOTISZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JLOTIZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOTSIZ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JLOTSZI,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X
JLOTZIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLOTZSI,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLOITSZ,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JLOITZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOISTZ,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
JLOISZT,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X
JLOIZTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JLOIZST,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X
JLOSTIZ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JLOSTZI,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JLOSITZ,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X
JLOSIZT,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X
JLOSZTI,X,X,O,O,X,X,X,X,O,X,X,X,O,X,X
JLOSZIT,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X
JLOZTIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLOZTSI,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLOZITS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JLOZIST,X,O,O,X,X,X,O,O,X,X,X,X,O,X,X
JLOZSTI,X,O,O,X,X,X,O,O,O,X,X,X,O,X,X
JLOZSIT,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X
JSTILZO,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O
JSTILOZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JSTIZLO,X,X,O,O,O,O,X,X,X,X,O,X,X,O,X
JSTIZOL,X,X,O,O,O,X,X,X,X,X,O,X,X,O,X
JSTIOLZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JSTIOZL,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X
JSTLIZO,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O
JSTLIOZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
JSTLZIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
JSTLZOI,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O
JSTLOIZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JSTLOZI,X,X,O,X,O,O,X,X,O,X,X,X,X,X,O
JSTZILO,X,X,O,O,O,O,X,X,X,X,O,X,X,O,X
JSTZIOL,X,X,O,O,O,O,X,X,X,X,O,X,X,O,X
JSTZLIO,X,X,O,O,O,O,X,X,X,X,O,X,X,O,O
JSTZLOI,X,X,O,O,O,O,X,X,X,X,O,X,X,X,O
JSTZOIL,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X
JSTZOLI,X,X,O,O,O,O,X,X,X,X,O,X,X,X,O
JSTOILZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JSTOIZL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSTOLIZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JSTOLZI,X,X,X,O,O,O,X,X,O,X,X,X,X,X,O
JSTOZIL,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSTOZLI,X,X,O,O,O,X,X,X,O,X,X,X,X,X,O
JSITLZO,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O
JSITLOZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JSITZLO,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X
JSITZOL,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSITOLZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JSITOZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JSILTZO,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JSILTOZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JSILZTO,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSILZOT,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X
JSILOTZ,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
JSILOZT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JSIZTLO,X,X,O,O,O,O,X,X,X,X,O,X,X,O,X
JSIZTOL,X,X,O,O,O,X,X,X,X,X,O,X,X,O,X
JSIZLTO,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSIZLOT,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X
JSIZOTL,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSIZOLT,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSIOTLZ,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X
JSIOTZL,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSIOLTZ,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X
JSIOLZT,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JSIOZTL,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSIOZLT,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSLTIZO,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JSLTIOZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JSLTZIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JSLTZOI,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JSLTOIZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JSLTOZI,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X
JSLITZO,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JSLITOZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JSLIZTO,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSLIZOT,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X
JSLIOTZ,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
JSLIOZT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
JSLZTIO,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSLZTOI,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSLZITO,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSLZIOT,O,X,O,X,O,O,X,X,X,X,O,X,X,X,X
JSLZOTI,O,X,O,X,O,X,X,X,O,X,X,X,O,X,X
JSLZOIT,O,X,X,X,O,O,X,X,X,X,O,X,O,X,X
JSLOTIZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JSLOTZI,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JSLOITZ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JSLOIZT,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X
JSLOZTI,O,X,O,O,O,X,X,X,O,X,X,X,O,X,X
JSLOZIT,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X
JSZTILO,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X
JSZTIOL,O,X,O,O,O,X,X,O,X,X,O,X,X,O,X
JSZTLIO,O,X,O,O,O,O,X,X,X,X,O,X,X,O,X
JSZTLOI,O,X,O,O,O,O,X,O,X,X,O,X,X,X,X
JSZTOIL,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JSZTOLI,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JSZITLO,X,X,O,O,O,O,X,X,X,X,O,X,X,O,X
JSZITOL,X,X,O,O,O,X,X,O,X,X,O,X,X,O,X
JSZILTO,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSZILOT,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X
JSZIOTL,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JSZIOLT,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JSZLTIO,O,X,O,O,O,X,X,X,X,X,O,X,X,O,X
JSZLTOI,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JSZLITO,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JSZLIOT,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X
JSZLOTI,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X
JSZLOIT,O,X,X,X,O,O,O,O,X,X,O,X,X,X,X
JSZOTIL,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X
JSZOTLI,O,X,O,O,O,X,O,O,O,X,O,X,X,X,X
JSZOITL,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JSZOILT,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X
JSZOLTI,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X
JSZOLIT,O,X,X,O,O,X,O,O,X,X,O,X,X,X,X
JSOTILZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JSOTIZL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSOTLIZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JSOTLZI,O,X,X,O,O,O,X,X,O,X,X,X,X,X,O
JSOTZIL,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JSOTZLI,O,X,O,O,O,X,O,X,O,X,X,X,X,X,O
JSOITLZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JSOITZL,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JSOILTZ,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
JSOILZT,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JSOIZTL,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JSOIZLT,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JSOLTIZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
JSOLTZI,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JSOLITZ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X
JSOLIZT,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOLZTI,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JSOLZIT,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSOZTIL,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X
JSOZTLI,O,X,O,O,O,X,O,O,O,X,O,X,X,X,X
JSOZITL,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JSOZILT,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X
JSOZLTI,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X
JSOZLIT,O,X,X,O,O,X,O,O,X,X,O,X,X,X,X
JZTILSO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZTILOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZTISLO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTISOL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZTIOLS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JZTIOSL,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JZTLISO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZTLIOS,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X
JZTLSIO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZTLSOI,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZTLOIS,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X
JZTLOSI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZTSILO,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JZTSIOL,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JZTSLIO,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JZTSLOI,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JZTSOIL,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JZTSOLI,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JZTOILS,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
JZTOISL,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X
JZTOLIS,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
JZTOLSI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZTOSIL,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X
JZTOSLI,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X
JZITLSO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZITLOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZITSLO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZITSOL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
JZITOLS,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
JZITOSL,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JZILTSO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZILTOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZILSTO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZILSOT,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
JZILOTS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZILOST,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZISTLO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZISTOL,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X
JZISLTO,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZISLOT,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
JZISOTL,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X
JZISOLT,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X
JZIOTLS,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZIOTSL,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JZIOLTS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZIOLST,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JZIOSTL,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JZIOSLT,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JZLTISO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZLTIOS,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X
JZLTSIO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZLTSOI,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZLTOIS,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X
JZLTOSI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZLITSO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZLITOS,X,X,O,X,O,X,O,X,X,X,X,O,X,X,X
JZLISTO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZLISOT,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
JZLIOTS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZLIOST,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZLSTIO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZLSTOI,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X
JZLSITO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
JZLSIOT,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
JZLSOTI,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X
JZLSOIT,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
JZLOTIS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZLOTSI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZLOITS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZLOIST,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JZLOSTI,X,X,O,X,O,X,O,O,O,X,X,X,X,X,X
JZLOSIT,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZSTILO,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JZSTIOL,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JZSTLIO,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JZSTLOI,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JZSTOIL,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JZSTOLI,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JZSITLO,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JZSITOL,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JZSILTO,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JZSILOT,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
JZSIOTL,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JZSIOLT,X,X,O,X,O,X,X,O,X,X,O,X,X,X,X
JZSLTIO,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JZSLTOI,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JZSLITO,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
JZSLIOT,O,X,O,X,O,X,O,X,X,X,O,X,X,X,X
JZSLOTI,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X
JZSLOIT,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X
JZSOTIL,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X
JZSOTLI,O,X,O,O,O,X,O,O,O,X,O,X,X,X,X
JZSOITL,O,X,O,O,O,X,X,O,X,X,O,X,X,X,X
JZSOILT,O,X,O,O,O,X,O,O,X,X,O,X,X,X,X
JZSOLTI,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X
JZSOLIT,O,X,X,O,O,X,O,O,X,X,O,X,X,X,X
JZOTILS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZOTISL,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JZOTLIS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZOTLSI,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZOTSIL,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X
JZOTSLI,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X
JZOITLS,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZOITSL,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JZOILTS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZOILST,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JZOISTL,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JZOISLT,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JZOLTIS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZOLTSI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZOLITS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
JZOLIST,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JZOLSTI,O,X,O,X,O,X,O,O,O,X,X,X,X,X,X
JZOLSIT,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
JZOSTIL,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X
JZOSTLI,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X
JZOSITL,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JZOSILT,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X
JZOSLTI,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X
JZOSLIT,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JOTILSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTILZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTISLZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTISZL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTIZLS,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JOTIZSL,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JOTLISZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLIZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOTLSZI,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOTLZIS,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTLZSI,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOTSILZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOTSIZL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTSLIZ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JOTSLZI,O,O,X,O,O,X,X,X,O,X,X,X,X,X,O
JOTSZIL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JOTSZLI,O,X,X,O,O,X,O,X,O,X,X,X,X,X,O
JOTZILS,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JOTZISL,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
JOTZLIS,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JOTZLSI,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JOTZSIL,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JOTZSLI,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X
JOITLSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOITLZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOITSLZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
JOITSZL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOITZLS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JOITZSL,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JOILTSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILTZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILSTZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOILSZT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILZTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILZST,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JOISTLZ,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JOISTZL,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOISLTZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOISLZT,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
JOISZTL,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JOISZLT,O,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JOIZTLS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JOIZTSL,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
JOIZLTS,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
JOIZLST,O,O,O,X,O,X,O,O,X,X,X,X,X,X,X
JOIZSTL,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X
JOIZSLT,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X
JOLTISZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLTIZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLTSZI,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JOLTZIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JOLTZSI,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JOLITSZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLITZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLISTZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JOLISZT,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZST,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
JOLSTIZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLSTZI,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
JOLSITZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JOLSIZT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLSZTI,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JOLSZIT,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
