sequence,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhF6gBTcB/iBG?eBZoBlrB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Jex6IvhFTcB/iBcjBG?gBlmBatB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhFxbBXdBzgBF?jBCnBOtB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhF6gBlcBGeB/?mBTiBZoB
TZIJLSO,X,X,X,X
TZIJLOS,X,X,X,X
TZIJSLO,X,X,X,X
TZIJSOL,X,X,X,X
TZIJOLS,X,X,X,X
TZIJOSL,X,X,X,X
TZISLJO,O,X,X,X
TZISLOJ,O,X,X,X
TZISJLO,O,X,X,X
TZISJOL,O,X,X,X
TZISOLJ,O,X,X,X
TZISOJL,O,X,X,X
TZIOLJS,X,X,X,X
TZIOLSJ,O,X,X,X
TZIOJLS,X,X,X,X
TZIOJSL,X,X,X,X
TZIOSLJ,O,X,X,X
TZIOSJL,O,X,X,X
TZLIJSO,X,X,X,X
TZLIJOS,X,X,X,X
TZLISJO,O,X,X,X
TZLISOJ,O,X,X,X
TZLIOJS,X,X,X,X
TZLIOSJ,O,X,X,X
TZLJISO,X,X,X,X
TZLJIOS,X,X,X,X
TZLJSIO,X,X,X,X
TZLJSOI,X,X,X,X
TZLJOIS,X,X,X,X
TZLJOSI,X,X,X,X
TZLSIJO,O,X,X,X
TZLSIOJ,O,X,X,X
TZLSJIO,X,X,X,X
TZLSJOI,O,X,X,X
TZLSOIJ,O,X,X,X
TZLSOJI,O,X,X,X
TZLOIJS,X,X,X,X
TZLOISJ,O,X,X,X
TZLOJIS,X,X,X,X
TZLOJSI,X,X,X,X
TZLOSIJ,O,X,X,X
TZLOSJI,O,X,X,X
TZJILSO,X,X,X,X
TZJILOS,X,X,X,X
TZJISLO,X,X,X,X
TZJISOL,X,O,X,X
TZJIOLS,X,X,X,X
TZJIOSL,X,O,X,X
TZJLISO,X,X,X,X
TZJLIOS,X,X,X,X
TZJLSIO,X,X,X,X
TZJLSOI,X,X,X,X
TZJLOIS,X,X,X,X
TZJLOSI,X,X,X,X
TZJSILO,X,X,X,X
TZJSIOL,X,O,X,X
TZJSLIO,X,X,X,X
TZJSLOI,X,X,X,X
TZJSOIL,X,O,X,X
TZJSOLI,X,O,X,X
TZJOILS,X,X,X,X
TZJOISL,X,O,X,X
TZJOLIS,X,X,X,X
TZJOLSI,X,X,X,X
TZJOSIL,X,O,X,X
TZJOSLI,X,O,X,X
TZSILJO,O,X,X,X
TZSILOJ,O,X,X,X
TZSIJLO,O,X,X,X
TZSIJOL,O,X,X,X
TZSIOLJ,O,X,X,X
TZSIOJL,O,X,X,X
TZSLIJO,O,X,X,X
TZSLIOJ,O,X,X,X
TZSLJIO,X,X,X,X
TZSLJOI,O,X,X,X
TZSLOIJ,O,X,X,X
TZSLOJI,O,X,X,X
TZSJILO,X,X,X,X
TZSJIOL,X,O,X,X
TZSJLIO,X,X,X,X
TZSJLOI,O,X,X,X
TZSJOIL,X,O,X,X
TZSJOLI,O,O,X,X
TZSOILJ,O,X,X,X
TZSOIJL,O,X,X,X
TZSOLIJ,O,X,O,X
TZSOLJI,O,X,O,X
TZSOJIL,X,O,X,X
TZSOJLI,O,O,X,X
TZOILJS,X,X,X,X
TZOILSJ,O,X,X,X
TZOIJLS,X,X,X,X
TZOIJSL,X,X,X,X
TZOISLJ,O,X,X,X
TZOISJL,O,X,X,X
TZOLIJS,X,X,X,X
TZOLISJ,O,X,O,X
TZOLJIS,X,X,X,X
TZOLJSI,X,X,X,X
TZOLSIJ,O,X,O,X
TZOLSJI,O,X,O,X
TZOJILS,X,X,X,X
TZOJISL,X,O,X,X
TZOJLIS,X,X,X,X
TZOJLSI,X,X,X,X
TZOJSIL,X,O,X,X
TZOJSLI,X,O,X,X
TZOSILJ,O,X,X,X
TZOSIJL,O,X,X,X
TZOSLIJ,O,X,O,X
TZOSLJI,O,X,O,X
TZOSJIL,X,O,X,X
TZOSJLI,O,O,X,X
TOILJSZ,X,X,X,X
TOILJZS,X,X,X,X
TOILSJZ,O,X,X,X
TOILSZJ,O,X,X,X
TOILZJS,X,X,X,X
TOILZSJ,O,X,X,X
TOIJLSZ,X,X,X,X
TOIJLZS,X,X,X,X
TOIJSLZ,X,X,X,X
TOIJSZL,X,X,X,X
TOIJZLS,X,X,X,X
TOIJZSL,X,X,X,X
TOISLJZ,O,X,X,X
TOISLZJ,O,X,X,X
TOISJLZ,O,X,X,X
TOISJZL,O,X,X,X
TOISZLJ,O,X,X,X
TOISZJL,O,X,X,X
TOIZLJS,X,X,X,X
TOIZLSJ,O,X,X,X
TOIZJLS,X,X,X,X
TOIZJSL,X,X,X,X
TOIZSLJ,O,X,X,X
TOIZSJL,O,X,X,X
TOLIJSZ,X,X,X,X
TOLIJZS,X,X,X,X
TOLISJZ,O,X,X,X
TOLISZJ,O,X,O,X
TOLIZJS,X,X,X,X
TOLIZSJ,O,X,O,X
TOLJISZ,X,X,X,X
TOLJIZS,X,X,X,X
TOLJSIZ,X,X,X,X
TOLJSZI,X,X,X,X
TOLJZIS,X,X,X,X
TOLJZSI,X,X,X,X
TOLSIJZ,O,X,X,X
TOLSIZJ,O,X,O,X
TOLSJIZ,X,X,X,X
TOLSJZI,O,X,X,X
TOLSZIJ,O,X,O,X
TOLSZJI,O,X,O,X
TOLZIJS,X,X,X,X
TOLZISJ,O,X,O,X
TOLZJIS,X,X,X,X
TOLZJSI,X,X,X,X
TOLZSIJ,O,X,O,X
TOLZSJI,O,X,O,X
TOJILSZ,X,X,X,X
TOJILZS,X,X,X,X
TOJISLZ,X,X,X,X
TOJISZL,X,O,X,X
TOJIZLS,X,X,X,X
TOJIZSL,X,O,X,X
TOJLISZ,X,X,X,X
TOJLIZS,X,X,X,X
TOJLSIZ,X,X,X,X
TOJLSZI,X,X,X,X
TOJLZIS,X,X,X,X
TOJLZSI,X,X,X,X
TOJSILZ,X,X,X,X
TOJSIZL,X,O,X,X
TOJSLIZ,X,X,X,X
TOJSLZI,X,X,X,X
TOJSZIL,X,O,X,X
TOJSZLI,X,O,X,X
TOJZILS,X,X,X,X
TOJZISL,X,O,X,X
TOJZLIS,X,X,X,X
TOJZLSI,X,X,X,X
TOJZSIL,X,O,X,X
TOJZSLI,X,O,X,X
TOSILJZ,O,X,X,X
TOSILZJ,O,X,X,X
