sequence,v115@6gC8FeD8FeE8CeH8FeB8Jei6IvhFzbBuhB3fBllBUq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8JeO/IvhFXbBlcBUhBClBTq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8JeO/IvhFTbB/hBqkBllBUs?BxvB,v115@6gC8FeD8FeE8CeH8FeB8JeO/IvhFlbB3cBzfBCmBUq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8JeT6IvhFibBuhB0kBllB3q?BxwB,v115@6gC8FeD8FeE8CeH8FeB8Je06IvhFlbBuhB/kBylBTq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8Jei6IvhF3cBGgBUhBlkBTq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8JeT6IvhFibBGhBlkB3lBUs?BxvB,v115@6gC8FeD8FeE8CeH8FeB8Jex6IvhFTfB/lBFhBUqBWx?BirB,v115@6gC8FeD8FeE8CeH8FeB8Jex6IvhF/kBUgBFhBTqBWx?BirB
ILOTZJS,X,O,O,X,X,O,O,X,X,X
ILOTZSJ,X,O,O,X,X,O,O,X,X,X
ILOJTSZ,X,O,O,O,X,O,O,X,X,X
ILOJTZS,X,O,O,X,X,O,X,X,X,X
ILOJSTZ,X,O,O,O,X,O,O,X,X,X
ILOJSZT,X,O,X,O,X,O,O,X,X,X
ILOJZTS,X,O,X,O,X,O,X,X,X,X
ILOJZST,X,O,X,O,X,O,O,X,X,X
ILOSTJZ,X,O,O,O,X,O,O,X,X,X
ILOSTZJ,X,O,O,X,X,O,O,X,X,X
ILOSJTZ,X,O,O,O,X,O,O,X,X,X
ILOSJZT,X,O,X,O,X,O,O,X,X,X
ILOSZTJ,X,O,X,X,X,O,X,X,X,X
ILOSZJT,X,O,X,X,X,O,X,X,X,X
ILOZTJS,X,O,X,X,X,O,X,X,X,X
ILOZTSJ,X,O,X,X,X,O,X,X,X,X
ILOZJTS,X,O,X,X,X,O,X,X,X,X
ILOZJST,X,O,X,X,X,O,X,X,X,X
ILOZSTJ,X,O,X,X,X,O,X,X,X,X
ILOZSJT,X,O,X,X,X,O,X,X,X,X
IJTLSZO,O,O,O,O,O,O,O,O,X,X
IJTLSOZ,O,O,O,O,X,O,O,O,X,X
IJTLZSO,X,O,O,O,O,O,O,X,X,X
IJTLZOS,X,O,O,O,O,X,X,X,X,X
IJTLOSZ,O,O,O,O,X,O,O,X,X,X
IJTLOZS,X,O,O,X,O,X,X,X,X,X
IJTSLZO,O,O,O,O,O,O,O,O,X,X
IJTSLOZ,O,O,O,O,X,O,O,O,X,X
IJTSZLO,O,O,X,O,O,O,O,O,X,X
IJTSZOL,O,O,X,O,O,O,X,O,X,X
IJTSOLZ,O,O,O,O,X,O,O,O,X,X
IJTSOZL,O,O,X,O,X,O,X,O,X,X
IJTZLSO,O,O,X,O,O,X,O,X,X,X
IJTZLOS,O,O,X,O,O,X,X,X,X,X
IJTZSLO,O,O,X,O,O,X,O,X,X,X
IJTZSOL,O,O,X,O,O,X,X,X,X,X
IJTZOLS,O,O,X,O,O,X,X,X,X,X
IJTZOSL,O,O,X,O,O,X,X,X,X,X
IJTOLSZ,O,O,O,X,X,O,O,X,X,X
IJTOLZS,X,O,O,X,O,O,X,X,X,X
IJTOSLZ,O,O,O,X,X,O,O,O,X,X
IJTOSZL,O,O,X,X,X,O,X,O,X,X
IJTOZLS,X,O,X,X,O,X,X,X,X,X
IJTOZSL,O,O,X,X,O,X,X,X,X,X
IJLTSZO,O,O,O,O,O,O,X,O,X,X
IJLTSOZ,O,O,O,O,X,O,X,O,X,X
IJLTZSO,X,O,O,O,O,O,X,X,X,X
IJLTZOS,X,O,O,O,O,X,X,X,X,X
IJLTOSZ,O,O,O,O,X,O,X,X,X,X
IJLTOZS,X,O,O,X,O,X,X,X,X,X
IJLSTZO,O,O,O,O,X,O,X,O,X,X
IJLSTOZ,O,O,O,O,X,O,X,O,X,X
IJLSZTO,O,O,O,O,X,O,X,O,X,X
IJLSZOT,O,O,X,O,X,O,X,X,X,X
IJLSOTZ,O,O,O,O,X,O,X,O,X,X
IJLSOZT,O,O,X,O,X,O,X,X,X,X
IJLZTSO,O,O,O,O,O,O,X,X,X,X
IJLZTOS,O,O,O,O,O,X,X,X,X,X
IJLZSTO,O,O,O,O,X,O,X,O,X,X
IJLZSOT,O,O,X,O,X,O,X,X,X,X
IJLZOTS,X,O,X,O,O,X,X,X,X,X
IJLZOST,X,O,X,O,X,X,X,X,X,X
IJLOTSZ,X,O,O,O,X,O,X,X,X,X
IJLOTZS,X,O,O,X,X,O,X,X,X,X
IJLOSTZ,X,O,O,O,X,O,X,O,X,X
IJLOSZT,X,O,X,O,X,O,X,X,X,X
IJLOZTS,X,O,X,O,X,O,X,X,X,X
IJLOZST,X,O,X,O,X,O,X,X,X,X
IJSTLZO,O,O,O,O,O,O,O,O,X,X
IJSTLOZ,O,O,O,O,X,O,O,O,X,X
IJSTZLO,O,O,X,O,O,O,O,O,X,X
IJSTZOL,O,O,X,O,O,O,X,O,X,X
IJSTOLZ,O,O,O,O,X,O,O,O,X,X
IJSTOZL,O,O,X,O,X,O,X,O,X,X
IJSLTZO,O,O,O,O,X,O,X,O,X,X
IJSLTOZ,O,O,O,O,X,O,X,O,X,X
IJSLZTO,O,O,O,O,X,O,X,O,X,X
IJSLZOT,O,O,X,O,X,O,X,X,X,X
IJSLOTZ,O,O,O,O,X,O,X,O,X,X
IJSLOZT,O,O,X,O,X,O,X,X,X,X
IJSZTLO,O,O,X,O,O,O,X,O,X,X
IJSZTOL,O,O,X,O,O,O,X,O,X,X
IJSZLTO,O,O,O,O,X,O,X,O,X,X
IJSZLOT,O,X,X,O,X,O,X,X,X,X
IJSZOTL,O,O,X,O,O,O,X,X,X,X
IJSZOLT,O,X,X,O,X,O,X,X,X,X
IJSOTLZ,O,O,X,O,X,O,O,O,X,X
IJSOTZL,O,O,X,O,X,O,O,O,X,X
IJSOLTZ,O,O,O,O,X,O,O,O,X,X
IJSOLZT,O,O,X,O,X,O,O,X,X,X
IJSOZTL,O,O,X,O,X,O,X,X,X,X
IJSOZLT,O,O,X,O,X,O,O,X,X,X
IJZTLSO,O,O,X,O,O,X,X,X,X,X
IJZTLOS,O,O,X,O,O,X,X,X,X,X
IJZTSLO,O,O,X,O,O,X,X,X,X,X
IJZTSOL,O,O,X,O,O,X,X,X,X,X
IJZTOLS,O,O,X,O,O,X,X,X,X,X
IJZTOSL,O,O,X,O,O,X,X,X,X,X
IJZLTSO,O,O,O,O,O,O,X,X,X,X
IJZLTOS,O,O,O,O,O,X,X,X,X,X
IJZLSTO,O,O,O,O,X,O,X,O,X,X
IJZLSOT,O,O,X,O,X,O,X,X,X,X
IJZLOTS,X,O,X,O,O,X,X,X,X,X
IJZLOST,X,O,X,O,X,X,X,X,X,X
IJZSTLO,O,O,X,O,O,O,X,O,X,X
IJZSTOL,O,O,X,O,O,O,X,O,X,X
IJZSLTO,O,O,O,O,X,O,X,O,X,X
IJZSLOT,O,X,X,O,X,O,X,X,X,X
IJZSOTL,O,O,X,O,O,O,X,X,X,X
IJZSOLT,O,X,X,O,X,O,X,X,X,X
IJZOTLS,O,O,X,O,O,X,X,X,X,X
IJZOTSL,O,O,X,O,O,X,X,X,X,X
IJZOLTS,X,O,X,O,O,O,X,X,X,X
IJZOLST,X,O,X,O,X,O,X,X,X,X
IJZOSTL,O,O,X,O,O,O,X,X,X,X
IJZOSLT,O,O,X,O,X,O,X,X,X,X
IJOTLSZ,O,O,X,X,X,O,O,X,X,X
IJOTLZS,X,O,X,X,O,O,O,X,X,X
IJOTSLZ,O,O,X,X,X,O,O,X,X,X
IJOTSZL,O,O,X,X,X,O,O,X,X,X
IJOTZLS,X,O,X,X,O,X,O,X,X,X
IJOTZSL,O,O,X,X,O,X,O,X,X,X
IJOLTSZ,X,O,O,O,X,O,O,X,X,X
IJOLTZS,X,O,O,X,X,O,X,X,X,X
IJOLSTZ,X,O,O,O,X,O,O,O,X,X
IJOLSZT,X,O,X,O,X,O,O,X,X,X
IJOLZTS,X,O,X,O,X,O,X,X,X,X
IJOLZST,X,O,X,O,X,O,O,X,X,X
IJOSTLZ,O,O,X,O,X,O,O,O,X,X
IJOSTZL,O,O,X,O,X,O,O,O,X,X
IJOSLTZ,O,O,O,O,X,O,O,O,X,X
IJOSLZT,O,O,X,O,X,O,O,X,X,X
IJOSZTL,O,O,X,O,X,O,X,X,X,X
IJOSZLT,O,O,X,O,X,O,O,X,X,X
IJOZTLS,O,O,X,O,O,X,X,X,X,X
IJOZTSL,O,O,X,O,O,X,X,X,X,X
IJOZLTS,X,O,X,O,O,O,X,X,X,X
IJOZLST,X,O,X,O,X,O,O,X,X,X
IJOZSTL,O,O,X,O,O,O,X,X,X,X
IJOZSLT,O,O,X,O,X,O,O,X,X,X
ISTLJZO,O,O,O,O,O,O,O,O,X,X
ISTLJOZ,O,O,O,O,X,O,O,O,X,X
ISTLZJO,O,O,O,O,O,O,O,O,X,X
ISTLZOJ,O,X,O,O,O,O,X,O,X,X
ISTLOJZ,O,O,O,O,X,O,O,O,X,X
ISTLOZJ,O,X,O,X,X,O,X,O,X,X
ISTJLZO,O,O,O,O,O,O,O,O,X,X
ISTJLOZ,O,O,O,O,X,O,O,O,X,X
ISTJZLO,O,O,X,O,O,O,O,O,X,X
ISTJZOL,O,O,X,O,O,O,X,O,X,X
ISTJOLZ,O,O,O,O,X,O,O,O,X,X
ISTJOZL,O,O,X,O,X,O,X,O,X,X
ISTZLJO,O,O,O,O,O,O,O,O,X,X
ISTZLOJ,O,O,O,O,O,O,X,O,X,X
ISTZJLO,O,O,X,O,O,O,O,O,X,X
ISTZJOL,O,O,X,O,O,O,X,O,X,X
ISTZOLJ,O,O,O,O,O,X,X,O,X,X
ISTZOJL,O,O,X,O,O,O,X,O,X,X
ISTOLJZ,O,O,O,O,X,O,O,O,X,X
ISTOLZJ,O,O,O,X,X,O,O,O,X,X
ISTOJLZ,O,O,O,O,X,O,O,O,X,X
ISTOJZL,O,O,X,O,X,O,O,O,X,X
ISTOZLJ,O,O,O,O,X,O,O,O,X,O
ISTOZJL,O,O,X,O,X,O,O,O,X,O
ISLTJZO,O,O,O,O,X,O,O,O,X,X
ISLTJOZ,O,O,O,O,X,O,O,O,X,X
ISLTZJO,O,O,O,O,X,O,O,O,X,X
ISLTZOJ,O,O,O,O,X,O,X,O,X,X
ISLTOJZ,O,O,O,O,X,O,O,O,X,X
ISLTOZJ,O,X,O,X,X,O,X,O,X,X
ISLJTZO,O,O,O,O,X,O,X,O,X,X
ISLJTOZ,O,O,O,O,X,O,X,O,X,X
ISLJZTO,O,O,O,O,X,O,X,O,X,X
ISLJZOT,O,O,X,O,X,O,X,X,X,X
ISLJOTZ,O,O,O,O,X,O,X,O,X,X
ISLJOZT,O,O,X,O,X,O,X,X,X,X
ISLZTJO,O,O,O,O,X,O,X,X,X,X
ISLZTOJ,O,O,O,O,X,O,X,X,X,X
ISLZJTO,O,O,O,O,X,O,X,X,X,X
ISLZJOT,O,O,X,O,X,O,X,X,X,X
ISLZOTJ,O,O,X,O,X,O,X,X,X,X
ISLZOJT,O,O,X,O,X,O,X,X,X,X
ISLOTJZ,O,O,O,O,X,O,O,X,X,X
ISLOTZJ,O,X,O,X,X,O,O,X,X,X
ISLOJTZ,O,O,O,O,X,O,O,X,X,X
ISLOJZT,O,O,X,O,X,O,O,X,X,X
ISLOZTJ,O,O,X,X,X,O,X,X,X,O
ISLOZJT,O,O,X,X,X,O,X,X,X,O
ISJTLZO,O,O,O,O,O,O,O,O,X,X
ISJTLOZ,O,O,O,O,X,O,O,O,X,X
ISJTZLO,O,O,X,O,O,O,O,O,X,X
ISJTZOL,O,O,X,O,O,O,X,O,X,X
ISJTOLZ,O,O,O,O,X,O,O,O,X,X
ISJTOZL,O,O,X,O,X,O,X,O,X,X
ISJLTZO,O,O,O,O,X,O,X,O,X,X
ISJLTOZ,O,O,O,O,X,O,X,O,X,X
ISJLZTO,O,O,O,O,X,O,X,O,X,X
ISJLZOT,O,O,X,O,X,O,X,X,X,X
ISJLOTZ,O,O,O,O,X,O,X,O,X,X
ISJLOZT,O,O,X,O,X,O,X,X,X,X
ISJZTLO,O,O,X,O,O,O,X,O,X,X
ISJZTOL,O,O,X,O,O,O,X,O,X,X
ISJZLTO,O,O,O,O,X,O,X,O,X,X
ISJZLOT,O,X,X,O,X,O,X,X,X,X
ISJZOTL,O,O,X,O,O,O,X,X,X,X
ISJZOLT,O,X,X,O,X,O,X,X,X,X
ISJOTLZ,O,O,X,O,X,O,O,O,X,X
ISJOTZL,O,O,X,O,X,O,O,O,X,X
ISJOLTZ,O,O,O,O,X,O,O,O,X,X
ISJOLZT,O,O,X,O,X,O,O,X,X,X
ISJOZTL,O,O,X,O,X,O,X,X,X,O
ISJOZLT,O,O,X,O,X,O,O,X,X,O
ISZTLJO,O,O,O,O,O,O,O,O,X,X
ISZTLOJ,O,O,O,O,O,O,X,O,X,X
ISZTJLO,O,O,X,O,O,O,O,O,X,X
ISZTJOL,O,O,X,O,O,O,X,O,X,X
ISZTOLJ,O,O,O,O,O,X,X,O,X,X
ISZTOJL,O,O,X,O,O,O,X,O,X,X
ISZLTJO,O,O,O,O,X,O,X,X,X,X
ISZLTOJ,O,O,O,O,X,O,X,X,X,X
ISZLJTO,O,O,O,O,X,O,X,X,X,X
ISZLJOT,O,O,X,O,X,O,X,X,X,X
ISZLOTJ,O,O,X,O,X,O,X,X,X,X
ISZLOJT,O,O,X,O,X,O,X,X,X,X
ISZJTLO,O,O,X,O,O,O,X,O,X,X
ISZJTOL,O,O,X,O,O,O,X,O,X,X
ISZJLTO,O,O,O,O,X,O,X,O,X,X
ISZJLOT,O,X,X,O,X,O,X,X,X,X
ISZJOTL,O,O,X,O,O,O,X,X,X,X
ISZJOLT,O,X,X,O,X,O,X,X,X,X
ISZOTLJ,O,O,X,O,O,O,O,X,X,O
ISZOTJL,O,O,X,O,O,O,O,X,X,O
ISZOLTJ,O,O,X,O,X,O,X,X,X,O
ISZOLJT,O,O,X,O,X,O,X,X,X,O
ISZOJTL,O,O,X,O,O,O,X,X,X,O
ISZOJLT,O,O,X,O,X,O,O,X,X,O
ISOTLJZ,O,O,O,O,X,O,O,O,X,X
ISOTLZJ,O,O,O,X,X,O,O,O,X,X
ISOTJLZ,O,O,O,O,X,O,O,O,X,X
ISOTJZL,O,O,X,O,X,O,O,O,X,X
ISOTZLJ,O,O,O,O,X,O,O,O,X,O
ISOTZJL,O,O,X,O,X,O,O,O,X,O
ISOLTJZ,O,O,O,O,X,O,O,X,X,X
ISOLTZJ,O,O,O,X,X,O,O,X,X,X
ISOLJTZ,O,O,O,O,X,O,O,X,X,X
ISOLJZT,O,O,X,O,X,O,O,X,X,X
ISOLZTJ,O,O,X,X,X,O,X,X,X,O
ISOLZJT,O,O,X,X,X,O,X,X,X,O
ISOJTLZ,O,O,X,O,X,O,O,O,X,X
ISOJTZL,O,O,X,O,X,O,O,O,X,X
ISOJLTZ,O,O,O,O,X,O,O,O,X,X
ISOJLZT,O,O,X,O,X,O,O,X,X,X
ISOJZTL,O,O,X,O,X,O,X,X,X,O
ISOJZLT,O,O,X,O,X,O,O,X,X,O
ISOZTLJ,O,O,X,O,X,O,O,X,X,O
ISOZTJL,O,O,X,O,X,O,O,X,X,O
ISOZLTJ,O,O,X,O,X,O,X,X,X,O
ISOZLJT,O,O,X,O,X,O,X,X,X,O
ISOZJTL,O,O,X,O,X,O,X,X,X,O
ISOZJLT,O,O,X,O,X,O,O,X,X,O
IZTLJSO,O,O,O,O,O,X,O,X,X,X
IZTLJOS,O,O,O,O,O,X,X,X,X,X
IZTLSJO,O,O,O,O,O,X,O,X,X,X
IZTLSOJ,O,O,O,O,O,X,X,X,X,X
IZTLOJS,O,O,O,O,O,X,X,X,X,X
IZTLOSJ,O,O,O,O,O,X,X,X,X,X
IZTJLSO,O,O,X,O,O,X,O,X,X,X
IZTJLOS,O,O,X,O,O,X,X,X,X,X
IZTJSLO,O,O,X,O,O,X,O,X,X,X
IZTJSOL,O,O,X,O,O,X,X,X,X,X
IZTJOLS,O,O,X,O,O,X,X,X,X,X
IZTJOSL,O,O,X,O,O,X,X,X,X,X
IZTSLJO,O,O,O,O,O,X,O,O,X,X
IZTSLOJ,O,O,O,O,O,X,X,O,X,X
IZTSJLO,O,O,X,O,O,X,O,O,X,X
IZTSJOL,O,O,X,O,O,X,X,O,X,X
IZTSOLJ,O,O,O,O,O,X,X,O,X,X
IZTSOJL,O,O,X,O,O,X,X,O,X,X
IZTOLJS,O,O,O,O,O,X,X,X,X,X
IZTOLSJ,O,O,O,O,O,X,X,X,X,X
IZTOJLS,O,O,X,O,O,X,X,X,X,X
IZTOJSL,O,O,X,O,O,X,X,X,X,X
IZTOSLJ,O,O,O,O,O,X,X,O,X,X
IZTOSJL,O,O,X,O,O,X,X,O,X,X
IZLTJSO,O,O,O,O,O,O,X,X,X,X
IZLTJOS,O,O,O,O,O,X,X,X,X,X
IZLTSJO,O,O,O,O,O,O,X,X,X,X
IZLTSOJ,O,O,O,O,O,O,X,X,X,X
IZLTOJS,O,O,O,O,O,X,X,X,X,X
IZLTOSJ,O,O,O,O,O,X,X,X,X,X
IZLJTSO,O,O,O,O,O,O,X,X,X,X
IZLJTOS,O,O,O,O,O,X,X,X,X,X
IZLJSTO,O,O,O,O,X,O,X,X,X,X
IZLJSOT,O,O,X,O,X,O,X,X,X,X
IZLJOTS,X,O,X,O,O,X,X,X,X,X
IZLJOST,X,O,X,O,X,X,X,X,X,X
IZLSTJO,O,O,O,O,X,O,X,X,X,X
IZLSTOJ,O,O,O,O,X,O,X,X,X,X
IZLSJTO,O,O,O,O,X,O,X,X,X,X
IZLSJOT,O,O,X,O,X,O,X,X,X,X
IZLSOTJ,O,O,X,O,X,O,X,X,X,X
IZLSOJT,O,O,X,O,X,O,X,X,X,X
IZLOTJS,X,O,X,O,O,X,X,X,X,X
IZLOTSJ,X,O,X,O,O,X,X,X,X,X
IZLOJTS,X,O,X,O,O,X,X,X,X,X
IZLOJST,X,O,X,O,X,X,X,X,X,X
IZLOSTJ,X,O,X,O,X,X,X,X,X,X
IZLOSJT,X,O,X,O,X,X,X,X,X,X
IZJTLSO,O,O,X,O,O,X,X,X,X,X
IZJTLOS,O,O,X,O,O,X,X,X,X,X
IZJTSLO,O,O,X,O,O,X,X,X,X,X
IZJTSOL,O,O,X,O,O,X,X,X,X,X
IZJTOLS,O,O,X,O,O,X,X,X,X,X
IZJTOSL,O,O,X,O,O,X,X,X,X,X
IZJLTSO,O,O,O,O,O,O,X,X,X,X
IZJLTOS,O,O,O,O,O,X,X,X,X,X
IZJLSTO,O,O,O,O,X,O,X,O,X,X
IZJLSOT,O,O,X,O,X,O,X,X,X,X
IZJLOTS,X,O,X,O,O,X,X,X,X,X
IZJLOST,X,O,X,O,X,X,X,X,X,X
IZJSTLO,O,O,X,O,O,O,X,O,X,X
IZJSTOL,O,O,X,O,O,O,X,O,X,X
IZJSLTO,O,O,O,O,X,O,X,O,X,X
IZJSLOT,O,X,X,O,X,O,X,X,X,X
IZJSOTL,O,O,X,O,O,O,X,X,X,X
IZJSOLT,O,X,X,O,X,O,X,X,X,X
IZJOTLS,O,O,X,O,O,X,X,X,X,X
IZJOTSL,O,O,X,O,O,X,X,X,X,X
IZJOLTS,X,O,X,O,O,O,X,X,X,X
IZJOLST,X,O,X,O,X,O,X,X,X,X
IZJOSTL,O,O,X,O,O,O,X,X,X,X
IZJOSLT,O,O,X,O,X,O,X,X,X,X
IZSTLJO,O,O,O,O,O,O,O,O,X,X
IZSTLOJ,O,O,O,O,O,O,X,O,X,X
IZSTJLO,O,O,X,O,O,O,O,O,X,X
IZSTJOL,O,O,X,O,O,O,X,O,X,X
IZSTOLJ,O,O,O,O,O,X,X,O,O,X
IZSTOJL,O,O,X,O,O,O,X,O,O,X
IZSLTJO,O,O,O,O,X,O,X,X,X,X
IZSLTOJ,O,O,O,O,X,O,X,X,X,X
IZSLJTO,O,O,O,O,X,O,X,X,X,X
IZSLJOT,O,O,X,O,X,O,X,X,X,X
IZSLOTJ,O,O,X,O,X,O,X,X,X,X
IZSLOJT,O,O,X,O,X,O,X,X,X,X
IZSJTLO,O,O,X,O,O,O,X,O,X,X
IZSJTOL,O,O,X,O,O,O,X,O,O,X
IZSJLTO,O,O,O,O,X,O,X,O,X,X
IZSJLOT,O,X,X,O,X,O,X,X,X,X
IZSJOTL,O,O,X,O,O,O,X,X,O,X
IZSJOLT,O,X,X,O,X,O,X,X,O,X
IZSOTLJ,O,O,X,O,O,O,O,X,O,X
IZSOTJL,O,O,X,O,O,O,O,X,O,X
IZSOLTJ,O,O,X,O,X,O,X,X,O,X
IZSOLJT,O,O,X,O,X,O,X,X,O,X
IZSOJTL,O,O,X,O,O,O,X,X,O,X
IZSOJLT,O,O,X,O,X,O,O,X,O,X
IZOTLJS,O,O,X,O,O,X,O,X,X,X
IZOTLSJ,O,O,X,O,O,X,O,X,X,X
IZOTJLS,O,O,X,O,O,X,O,X,X,X
IZOTJSL,O,O,X,O,O,X,O,X,X,X
IZOTSLJ,O,O,X,O,O,X,O,X,O,X
IZOTSJL,O,O,X,O,O,X,O,X,O,X
IZOLTJS,X,O,X,O,O,O,X,X,X,X
IZOLTSJ,X,O,X,O,O,O,X,X,X,X
IZOLJTS,X,O,X,O,O,O,X,X,X,X
IZOLJST,X,O,X,O,X,O,X,X,X,X
IZOLSTJ,X,O,X,O,X,O,X,X,O,X
IZOLSJT,X,O,X,O,X,O,X,X,O,X
IZOJTLS,O,O,X,O,O,X,X,X,X,X
IZOJTSL,O,O,X,O,O,X,X,X,X,X
IZOJLTS,X,O,X,O,O,O,X,X,X,X
IZOJLST,X,O,X,O,X,O,O,X,X,X
IZOJSTL,O,O,X,O,O,O,X,X,O,X
IZOJSLT,O,O,X,O,X,O,O,X,O,X
IZOSTLJ,O,O,X,O,O,O,O,X,O,X
IZOSTJL,O,O,X,O,O,O,O,X,O,X
IZOSLTJ,O,O,X,O,X,O,X,X,O,X
IZOSLJT,O,O,X,O,X,O,X,X,O,X
IZOSJTL,O,O,X,O,O,O,X,X,O,X
IZOSJLT,O,O,X,O,X,O,O,X,O,X
IOTLJSZ,O,O,O,X,X,O,O,X,X,X
IOTLJZS,X,O,O,X,O,O,O,X,X,X
IOTLSJZ,O,O,O,X,X,O,O,O,X,X
IOTLSZJ,O,O,O,X,X,O,O,O,X,X
IOTLZJS,X,O,O,X,O,O,O,X,X,X
IOTLZSJ,X,O,O,X,O,O,O,X,X,X
IOTJLSZ,O,O,O,X,X,O,O,X,X,X
IOTJLZS,X,O,O,X,O,O,O,X,X,X
IOTJSLZ,O,O,O,X,X,O,O,O,X,X
IOTJSZL,O,O,X,X,X,O,O,O,X,X
IOTJZLS,X,O,X,X,O,X,O,X,X,X
IOTJZSL,O,O,X,X,O,X,O,X,X,X
IOTSLJZ,O,O,O,X,X,O,O,O,X,X
IOTSLZJ,O,O,O,X,X,O,O,O,X,X
IOTSJLZ,O,O,O,X,X,O,O,O,X,X
IOTSJZL,O,O,X,X,X,O,O,O,X,X
IOTSZLJ,O,O,O,X,X,O,O,O,X,O
IOTSZJL,O,O,X,X,X,O,O,O,X,O
IOTZLJS,X,O,O,X,O,X,O,X,X,X
IOTZLSJ,X,O,O,X,O,X,O,X,X,X
IOTZJLS,X,O,X,X,O,X,O,X,X,X
IOTZJSL,O,O,X,X,O,X,O,X,X,X
IOTZSLJ,O,O,O,X,O,X,O,O,O,X
IOTZSJL,O,O,X,X,O,X,O,O,O,X
IOLTJSZ,X,O,O,O,X,O,O,X,X,X
IOLTJZS,X,O,O,X,X,O,O,X,X,X
IOLTSJZ,X,O,O,O,X,O,O,X,X,X
IOLTSZJ,X,O,O,X,X,O,O,X,X,X
IOLTZJS,X,O,O,X,X,O,O,X,X,X
IOLTZSJ,X,O,O,X,X,O,O,X,X,X
IOLJTSZ,X,O,O,O,X,O,O,X,X,X
IOLJTZS,X,O,O,X,X,O,X,X,X,X
IOLJSTZ,X,O,O,O,X,O,O,X,X,X
IOLJSZT,X,O,X,O,X,O,O,X,X,X
IOLJZTS,X,O,X,O,X,O,X,X,X,X
IOLJZST,X,O,X,O,X,O,O,X,X,X
IOLSTJZ,X,O,O,O,X,O,O,X,X,X
IOLSTZJ,X,O,O,X,X,O,O,X,X,X
IOLSJTZ,X,O,O,O,X,O,O,X,X,X
IOLSJZT,X,O,X,O,X,O,O,X,X,X
IOLSZTJ,X,O,X,X,X,O,X,X,X,X
IOLSZJT,X,O,X,X,X,O,X,X,X,X
IOLZTJS,X,O,X,X,X,O,X,X,X,X
IOLZTSJ,X,O,X,X,X,O,X,X,X,X
IOLZJTS,X,O,X,X,X,O,X,X,X,X
IOLZJST,X,O,X,X,X,O,X,X,X,X
IOLZSTJ,X,O,X,X,X,O,X,X,O,X
IOLZSJT,X,O,X,X,X,O,X,X,O,X
IOJTLSZ,O,O,X,X,X,O,O,X,X,X
IOJTLZS,X,O,X,X,O,O,O,X,X,X
IOJTSLZ,O,O,X,X,X,O,O,X,X,X
IOJTSZL,O,O,X,X,X,O,O,X,X,X
IOJTZLS,X,O,X,X,O,X,O,X,X,X
IOJTZSL,O,O,X,X,O,X,O,X,X,X
IOJLTSZ,X,O,O,O,X,O,O,X,X,X
IOJLTZS,X,O,O,X,X,O,X,X,X,X
IOJLSTZ,X,O,O,O,X,O,O,O,X,X
IOJLSZT,X,O,X,O,X,O,O,X,X,X
IOJLZTS,X,O,X,O,X,O,X,X,X,X
IOJLZST,X,O,X,O,X,O,O,X,X,X
IOJSTLZ,O,O,X,O,X,O,O,O,X,X
IOJSTZL,O,O,X,O,X,O,O,O,X,X
IOJSLTZ,O,O,O,O,X,O,O,O,X,X
IOJSLZT,O,O,X,O,X,O,O,X,X,X
IOJSZTL,O,O,X,O,X,O,X,X,X,X
IOJSZLT,O,O,X,O,X,O,O,X,X,X
IOJZTLS,O,O,X,O,O,X,X,X,X,X
IOJZTSL,O,O,X,O,O,X,X,X,X,X
IOJZLTS,X,O,X,O,O,O,X,X,X,X
IOJZLST,X,O,X,O,X,O,O,X,X,X
IOJZSTL,O,O,X,O,O,O,X,X,O,X
IOJZSLT,O,O,X,O,X,O,O,X,O,X
IOSTLJZ,O,O,O,O,X,O,O,O,X,X
IOSTLZJ,O,O,O,X,X,O,O,O,X,X
IOSTJLZ,O,O,O,O,X,O,O,O,X,X
IOSTJZL,O,O,X,O,X,O,O,O,X,X
IOSTZLJ,O,O,O,O,X,O,O,O,X,O
IOSTZJL,O,O,X,O,X,O,O,O,X,O
IOSLTJZ,O,O,O,O,X,O,O,X,X,X
IOSLTZJ,O,O,O,X,X,O,O,X,X,X
IOSLJTZ,O,O,O,O,X,O,O,X,X,X
IOSLJZT,O,O,X,O,X,O,O,X,X,X
IOSLZTJ,O,O,X,X,X,O,X,X,X,O
IOSLZJT,O,O,X,X,X,O,X,X,X,O
IOSJTLZ,O,O,X,O,X,O,O,O,X,X
IOSJTZL,O,O,X,O,X,O,O,O,X,X
IOSJLTZ,O,O,O,O,X,O,O,O,X,X
IOSJLZT,O,O,X,O,X,O,O,X,X,X
IOSJZTL,O,O,X,O,X,O,X,X,X,O
IOSJZLT,O,O,X,O,X,O,O,X,X,O
IOSZTLJ,O,O,X,O,X,O,O,X,O,O
IOSZTJL,O,O,X,O,X,O,O,X,O,O
IOSZLTJ,O,O,X,O,X,O,X,X,O,O
IOSZLJT,O,O,X,O,X,O,X,X,O,O
IOSZJTL,O,O,X,O,X,O,X,X,O,O
IOSZJLT,O,O,X,O,X,O,O,X,O,O
IOZTLJS,O,O,X,O,O,X,O,X,X,X
