sequence,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JeF8IvhFxdBTgB?UiBaoBOrBXsB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JeU8IvhFFdBXeB?TgBxmBysB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?2nBFmBisBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8Je37IvhFUdBFeB?mlBRnBisBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?mhBFmBznBywB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxdBlhB?aoBXhBTnB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?FmBesBznBirB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBxdB?eoBarBFnBXsB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxdB3iB?FmBysBmrBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBxdB?FmBmnB3nBywB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBFeB?foBRmBKnB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?anBFmBznB2wB
TLJISZO,O,O,X,O,X,O,X,X,X,X,X,X
TLJISOZ,O,O,X,O,X,X,X,X,X,X,X,X
TLJIZSO,O,O,X,O,X,O,X,X,X,X,X,X
TLJIZOS,O,O,X,O,X,O,X,X,X,X,X,X
TLJIOSZ,O,O,X,O,X,X,X,X,X,X,X,X
TLJIOZS,O,O,X,O,X,O,X,X,X,X,X,X
TLJSIZO,O,O,X,O,X,O,X,X,X,X,X,X
TLJSIOZ,O,O,X,O,X,X,X,X,X,X,X,X
TLJSZIO,O,O,O,O,O,O,X,X,X,X,O,X
TLJSZOI,X,O,O,X,O,O,X,X,X,X,X,X
TLJSOIZ,X,O,X,O,X,X,X,X,X,X,X,X
TLJSOZI,X,O,X,X,X,X,X,X,X,X,X,X
TLJZISO,O,X,O,O,O,O,X,X,X,X,X,X
TLJZIOS,O,X,O,O,X,O,X,X,X,X,X,X
TLJZSIO,O,X,O,O,O,O,X,X,X,X,O,X
TLJZSOI,X,X,O,X,O,O,X,X,X,X,X,X
TLJZOIS,O,X,O,X,O,O,X,X,X,X,X,X
TLJZOSI,X,X,O,X,O,O,X,X,X,X,X,X
TLJOISZ,O,O,X,O,X,O,X,X,X,X,X,X
TLJOIZS,O,O,X,O,X,O,X,X,X,X,X,X
TLJOSIZ,X,O,X,O,X,O,X,X,X,X,X,X
TLJOSZI,X,O,X,X,O,O,X,X,X,X,X,X
TLJOZIS,O,O,X,X,O,O,X,X,X,X,X,X
TLJOZSI,X,O,X,X,O,O,X,X,X,X,X,X
TLSIJZO,O,O,X,O,X,X,X,X,X,X,X,X
TLSIJOZ,O,O,X,O,X,X,X,X,X,X,X,X
TLSIZJO,O,O,X,O,X,O,X,X,O,X,X,X
TLSIZOJ,O,O,X,X,X,O,X,X,O,X,X,X
TLSIOJZ,O,O,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,O,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,O,X,O,X,X,X,X,X,X,X,X
TLSJIOZ,O,O,X,O,X,X,X,X,X,X,X,X
TLSJZIO,O,O,O,O,O,X,X,X,X,X,O,X
TLSJZOI,O,O,O,X,O,X,X,X,X,X,X,X
TLSJOIZ,O,O,X,O,X,X,X,X,X,X,X,X
TLSJOZI,O,O,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,O,O,X,O,O,X,X,O,X,O,X
TLSZIOJ,O,O,O,X,O,O,X,X,O,X,O,X
TLSZJIO,O,O,O,X,O,O,X,X,O,X,O,X
TLSZJOI,X,O,O,X,O,O,X,X,O,X,X,X
