sequence,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBFiBTjB6?rBcsBXtB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulB3hBCjB8?rBToB1xB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBFiBXjB6?rBctBTsB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulB3hBlnBc?tBzrBCtB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBTjBlmBc?sBXtBCsB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBfoB6oBl?mB0sBzrB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBlmBcsBT?oBCsBXtB
TSILZOJ,O,O,X,X,X,X,X
TSILOJZ,O,X,X,X,X,X,X
TSILOZJ,O,X,X,X,X,X,X
TSIJLZO,O,O,X,X,X,X,X
TSIJLOZ,O,X,X,X,X,X,X
TSIJZLO,O,O,X,X,O,O,X
TSIJZOL,O,O,X,X,O,O,O
TSIJOLZ,O,O,X,X,X,X,X
TSIJOZL,O,O,X,O,O,X,X
TSIZLJO,O,O,X,X,O,O,X
TSIZLOJ,O,O,X,X,O,O,X
TSIZJLO,O,O,X,X,O,O,X
TSIZJOL,O,O,X,X,O,O,O
TSIZOLJ,O,O,X,X,O,O,X
TSIZOJL,O,O,X,X,O,O,O
TSIOLJZ,O,O,X,X,X,X,X
TSIOLZJ,O,O,X,X,X,X,X
TSIOJLZ,O,O,X,X,X,X,X
TSIOJZL,O,O,X,O,O,X,X
TSIOZLJ,O,O,X,O,O,X,X
TSIOZJL,O,O,X,O,O,X,X
TSLIJZO,O,O,X,X,X,X,X
TSLIJOZ,O,X,X,X,X,X,X
TSLIZJO,O,O,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,X,X
TSLIOJZ,O,X,X,X,X,X,X
TSLIOZJ,O,X,X,X,X,X,X
TSLJIZO,O,O,X,X,X,X,X
TSLJIOZ,O,X,X,X,X,X,X
TSLJZIO,O,O,X,X,X,X,X
