sequence,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhF+gBZhBUdBf?nBFqBSwB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhFRcBXiBllBU?qBirBGrB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JefAJvhFUdBFhBSqBz?mBmlBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhFRcB3gBcmBO?nBFqBSwB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeWAJvhFZhBUdBfnBT?gBFqBSwB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhFRcB3gBCiBe?rB8rBFqB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JefAJvhFUdBFhBzmBR?qBWwBiqB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhF+gBFiBUqBR?rB/rBirB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JefAJvhF0bBFiBSqBT?mBmmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeaBJvhFUdBFgBfnBW?rBzkBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhFugBxhB3hBV?qB8rByvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JefAJvhFUhBFiBSqBm?lBzmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeG7IvhFicBFiBXlBR?rBTrBUqB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeG8IvhFFgB8lBXiBz?kByrBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeC7IvhF8gBelBFiBX?mBzmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Je3AJvhFFiB0mBzkBG?lBimBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JefAJvhF0bBlcBOnBS?qBTmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeWAJvhFKhBFiBTgBU?qBRrB3rB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeGAJvhFxhBamBzhBV?qB3rBUqB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeU7IvhFFiBxlBamBf?qBzmBWwB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JefBJvhFUgBFiBSrBz?kBmmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeWAJvhFKhBFiB0lBX?lBzmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeSAJvhF/mBFiB0lBz?kBmmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeU7IvhFRcB2mB6qBf?qBFnBTrB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhFRcBFiBGqBi?rBcqB/rB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Je+AJvhFKhBFiBzkBR?rBUqB3rB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Je2AJvhFFiBxlBqkBz?mBUrB3qB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeyAJvhFFiBxlBfqBz?mBUrBGqB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Je2AJvhFFiBxlBqkBz?mB3qBUrB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeU8IvhFFgBOnBCmBz?kB3mBxvB
LOSZTJI,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LOSZITJ,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LOSZIJT,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LOSZJTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LOSZJIT,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZTIJS,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZTISJ,X,O,O,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZTJIS,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZTJSI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZTSIJ,O,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZTSJI,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZITJS,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZITSJ,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZIJTS,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZIJST,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZISTJ,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZISJT,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZJTIS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LOZJTSI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LOZJITS,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZJIST,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LOZJSTI,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LOZJSIT,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LOZSTIJ,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZSTJI,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZSITJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZSIJT,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZSJTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LOZSJIT,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTILSZO,X,X,X,O,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O
JTILSOZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JTILZSO,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O
JTILZOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O
JTILOSZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JTILOZS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O
JTISLZO,X,X,X,O,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
JTISLOZ,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JTISZLO,X,X,X,X,X,O,X,X,O,O,X,X,X,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O
JTISZOL,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JTISOLZ,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JTISOZL,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JTIZLSO,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,O
JTIZLOS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
JTIZSLO,X,X,X,X,X,O,X,O,X,O,X,X,X,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O
JTIZSOL,X,X,X,X,X,O,X,O,X,O,O,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JTIZOLS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JTIZOSL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTIOLSZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JTIOLZS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JTIOSLZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JTIOSZL,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JTIOZLS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JTIOZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTLISZO,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
JTLISOZ,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JTLIZSO,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
JTLIZOS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
JTLIOSZ,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JTLIOZS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JTLSIZO,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JTLSIOZ,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
JTLSZIO,X,X,X,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JTLSZOI,X,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JTLSOIZ,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JTLSOZI,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JTLZISO,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JTLZIOS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
JTLZSIO,X,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JTLZSOI,X,X,X,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
JTLZOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JTLZOSI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JTLOISZ,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTLOIZS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTLOSIZ,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTLOSZI,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTLOZIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTLOZSI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTSILZO,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O
JTSILOZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X
JTSIZLO,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O
JTSIZOL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JTSIOLZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JTSIOZL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JTSLIZO,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JTSLIOZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JTSLZIO,X,X,X,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTSLZOI,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTSLOIZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTSLOZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTSZILO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O
JTSZIOL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JTSZLIO,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTSZLOI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTSZOIL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTSZOLI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTSOILZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JTSOIZL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JTSOLIZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTSOLZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTSOZIL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTSOZLI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZILSO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,O,X,X,X,X,X,O,X,X,O
JTZILOS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O
JTZISLO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,O,X,O
JTZISOL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JTZIOLS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JTZIOSL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZLISO,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JTZLIOS,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JTZLSIO,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZLSOI,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZLOIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZLOSI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZSILO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O
JTZSIOL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JTZSLIO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZSLOI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZSOIL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZSOLI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZOILS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JTZOISL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZOLIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZOLSI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZOSIL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTZOSLI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOILSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JTOILZS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JTOISLZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JTOISZL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JTOIZLS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JTOIZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOLISZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOLIZS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOLSIZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOLSZI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOLZIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOLZSI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOSILZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JTOSIZL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JTOSLIZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOSLZI,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOSZIL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOSZLI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOZILS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
JTOZISL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOZLIS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOZLSI,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOZSIL,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JTOZSLI,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JITLSZO,X,X,X,O,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O
JITLSOZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JITLZSO,X,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O
JITLZOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O
JITLOSZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JITLOZS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O
JITSLZO,X,X,X,O,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,O
JITSLOZ,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JITSZLO,X,X,X,X,X,O,X,X,O,O,X,X,X,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X,O
JITSZOL,X,X,X,X,X,O,X,X,X,O,X,X,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JITSOLZ,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JITSOZL,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JITZLSO,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,O,O,O,X,X,X,X,X,X,X,O
JITZLOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O
JITZSLO,X,X,X,X,X,O,X,O,X,O,X,X,X,O,O,X,O,X,O,O,O,O,X,X,X,X,X,X,X,O
JITZSOL,X,X,X,X,X,O,X,O,X,O,X,X,X,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JITZOLS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O
JITZOSL,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JITOLSZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JITOLZS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
JITOSLZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JITOSZL,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JITOZLS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
JITOZSL,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JILTSZO,X,X,X,O,O,X,X,X,O,O,X,O,X,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O
JILTSOZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JILTZSO,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,O
JILTZOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O
JILTOSZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X
JILTOZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O
JILSTZO,X,X,X,O,O,X,X,X,O,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,O,X,X,X,X,O
JILSTOZ,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X
JILSZTO,X,X,X,O,O,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,O
