sequence,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFzgBUiBaoB5oBWs?B3qB,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFChBTiBeoB5oB0m?B3qB,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFzgBqmBmiB5oB0n?B3qB,v115@9gB8HeA8IeB8HeB8BeE8KeXAJvhFdmBUiBaoB5oBWs?BTqB,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFRhBcnBTjBSrBGt?B3qB,v115@9gB8HeA8IeB8HeB8BeE8KeXAJvhFdmBqmBmiB5oB0n?BTqB,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFqmBmiB5oBzlB0n?B3qB
IZTSJLO,X,O,O,O,X,X,O
IZTSJOL,X,O,O,O,O,X,O
IZTSOLJ,X,O,O,X,X,X,O
IZTSOJL,X,O,O,X,X,X,O
IZTOLJS,X,O,O,X,X,O,O
IZTOLSJ,X,X,O,X,X,O,O
IZTOJLS,X,O,O,X,O,O,O
IZTOJSL,X,O,X,X,O,X,O
IZTOSLJ,X,X,X,X,X,X,O
IZTOSJL,X,X,X,X,X,X,O
IZLTJSO,O,O,O,O,O,O,O
IZLTJOS,O,O,O,O,O,O,O
IZLTSJO,X,O,O,O,O,O,O
IZLTSOJ,X,X,O,X,X,O,O
IZLTOJS,X,O,O,X,O,O,O
IZLTOSJ,X,X,O,X,X,O,O
IZLJTSO,O,O,O,O,O,O,O
IZLJTOS,O,O,O,O,O,O,O
IZLJSTO,O,O,O,O,X,O,O
IZLJSOT,O,O,O,O,X,O,X
IZLJOTS,O,O,O,O,O,O,O
IZLJOST,O,O,O,O,X,O,X
IZLSTJO,O,O,O,O,X,O,O
IZLSTOJ,O,O,O,X,X,O,O
IZLSJTO,O,O,O,X,X,O,O
IZLSJOT,O,O,O,X,X,O,X
IZLSOTJ,X,X,O,X,X,O,X
IZLSOJT,X,X,O,X,X,O,X
IZLOTJS,X,X,O,O,X,O,O
IZLOTSJ,X,X,O,O,X,O,O
IZLOJTS,X,X,O,O,X,O,O
IZLOJST,X,X,O,O,X,O,X
IZLOSTJ,X,X,O,O,X,O,X
IZLOSJT,X,X,O,X,X,O,X
IZJTLSO,O,O,O,O,O,O,O
IZJTLOS,O,O,O,O,O,O,O
IZJTSLO,O,O,O,O,X,X,O
IZJTSOL,O,O,O,O,O,X,O
IZJTOLS,O,O,O,O,O,O,O
IZJTOSL,O,O,X,O,O,X,O
IZJLTSO,O,O,O,O,O,O,O
IZJLTOS,O,O,O,O,O,O,O
IZJLSTO,O,O,O,O,X,O,O
IZJLSOT,O,O,O,O,X,O,X
IZJLOTS,O,O,O,O,O,O,O
IZJLOST,O,O,O,O,X,O,X
IZJSTLO,O,O,O,O,X,X,O
IZJSTOL,O,O,O,O,X,X,O
IZJSLTO,O,O,O,O,X,O,O
IZJSLOT,O,O,O,O,X,O,X
IZJSOTL,O,O,O,O,X,X,X
IZJSOLT,O,O,O,O,X,O,X
IZJOTLS,O,O,O,O,O,O,O
IZJOTSL,O,O,X,O,O,X,O
IZJOLTS,O,O,O,O,O,O,O
IZJOLST,O,O,O,O,X,O,X
IZJOSTL,O,O,O,O,X,X,X
IZJOSLT,O,O,O,O,X,O,X
IZSTLJO,O,O,O,O,X,O,O
IZSTLOJ,O,O,O,X,X,O,O
IZSTJLO,O,O,O,O,X,X,O
IZSTJOL,O,O,O,O,X,X,O
IZSTOLJ,O,O,O,X,X,X,O
IZSTOJL,O,O,O,X,X,X,O
IZSLTJO,O,O,O,O,X,O,O
IZSLTOJ,O,O,O,X,X,O,O
IZSLJTO,O,O,O,X,X,O,O
IZSLJOT,O,O,O,X,X,O,X
IZSLOTJ,X,X,O,X,X,O,X
IZSLOJT,X,X,O,X,X,O,X
IZSJTLO,O,O,O,X,X,X,O
IZSJTOL,O,O,O,X,X,X,O
IZSJLTO,O,O,O,X,X,O,O
IZSJLOT,O,O,O,X,X,O,X
IZSJOTL,O,O,O,X,X,X,X
IZSJOLT,O,O,O,X,X,O,X
IZSOTLJ,X,O,O,X,X,X,X
IZSOTJL,X,O,O,X,X,X,X
IZSOLTJ,X,X,O,X,X,O,X
IZSOLJT,X,X,O,X,X,O,X
IZSOJTL,X,O,O,X,X,X,X
IZSOJLT,X,O,O,X,X,O,X
IZOTLJS,X,O,O,O,X,O,O
IZOTLSJ,X,X,O,O,X,O,O
IZOTJLS,X,O,O,O,X,O,O
IZOTJSL,X,O,X,O,X,X,O
IZOTSLJ,X,X,X,O,X,O,O
IZOTSJL,X,X,X,O,X,X,O
IZOLTJS,X,X,O,O,X,O,O
IZOLTSJ,X,X,O,O,X,O,O
IZOLJTS,X,X,O,O,X,O,O
IZOLJST,X,X,O,O,X,O,X
IZOLSTJ,X,X,O,O,X,O,X
IZOLSJT,X,X,O,X,X,O,X
IZOJTLS,X,O,O,O,X,O,O
IZOJTSL,X,O,X,O,X,X,O
IZOJLTS,X,O,O,O,X,O,O
IZOJLST,X,O,O,O,X,O,X
IZOJSTL,X,O,O,O,X,X,X
IZOJSLT,X,O,O,O,X,O,X
IZOSTLJ,X,O,O,O,X,O,X
IZOSTJL,X,O,O,O,X,X,X
IZOSLTJ,X,X,O,O,X,O,X
IZOSLJT,X,X,O,X,X,O,X
IZOSJTL,X,O,O,X,X,X,X
IZOSJLT,X,O,O,X,X,O,X
IOTLJSZ,O,X,X,O,X,O,X
IOTLJZS,O,X,X,O,X,O,O
IOTLSJZ,X,X,O,O,X,O,X
IOTLSZJ,X,X,O,O,X,O,O
IOTLZJS,X,X,O,O,X,O,O
IOTLZSJ,X,X,O,O,X,O,O
IOTJLSZ,O,X,X,O,X,O,X
IOTJLZS,O,O,X,O,X,O,O
IOTJSLZ,O,X,X,O,X,O,X
IOTJSZL,O,O,X,O,X,X,X
IOTJZLS,O,O,X,O,X,X,O
IOTJZSL,O,O,X,O,X,X,O
IOTSLJZ,X,X,X,O,X,O,X
IOTSLZJ,X,X,X,O,X,O,O
IOTSJLZ,X,X,X,O,X,O,X
IOTSJZL,X,X,X,O,X,X,X
IOTSZLJ,X,X,X,O,X,O,O
IOTSZJL,X,X,X,O,X,X,O
IOTZLJS,X,O,O,O,X,O,O
IOTZLSJ,X,X,O,O,X,O,O
IOTZJLS,X,O,O,O,X,O,O
IOTZJSL,X,O,X,O,X,X,O
IOTZSLJ,X,X,X,O,X,O,O
IOTZSJL,X,X,X,O,X,X,O
IOLTJSZ,O,X,X,O,X,O,X
IOLTJZS,O,X,X,O,X,O,O
IOLTSJZ,X,X,O,O,X,O,X
IOLTSZJ,X,X,O,O,X,O,O
IOLTZJS,X,X,O,O,X,O,O
IOLTZSJ,X,X,O,O,X,O,O
IOLJTSZ,O,X,X,O,X,O,X
IOLJTZS,O,X,X,O,X,O,X
IOLJSTZ,O,X,X,O,X,X,X
IOLJSZT,O,X,X,O,X,X,X
IOLJZTS,O,X,X,O,X,O,X
IOLJZST,O,X,X,O,X,O,X
IOLSTJZ,O,X,O,O,X,O,X
IOLSTZJ,O,X,O,O,X,O,X
IOLSJTZ,O,X,X,O,X,X,X
IOLSJZT,O,X,X,O,X,X,X
IOLSZTJ,X,X,O,O,X,O,X
IOLSZJT,X,X,O,X,X,O,X
IOLZTJS,X,X,O,O,X,O,O
IOLZTSJ,X,X,O,O,X,O,O
IOLZJTS,X,X,O,O,X,O,O
IOLZJST,X,X,O,O,X,O,X
IOLZSTJ,X,X,O,O,X,O,X
IOLZSJT,X,X,O,X,X,O,X
IOJTLSZ,O,X,X,O,X,O,X
IOJTLZS,O,O,X,O,X,O,X
IOJTSLZ,O,O,X,O,X,O,X
IOJTSZL,O,O,X,O,X,X,X
IOJTZLS,O,O,X,O,X,X,X
IOJTZSL,O,O,X,O,X,X,X
IOJLTSZ,O,X,X,O,X,O,X
IOJLTZS,O,O,X,O,X,O,X
IOJLSTZ,O,O,X,O,X,X,X
IOJLSZT,O,X,X,O,X,X,X
IOJLZTS,O,O,X,O,X,O,X
IOJLZST,O,O,X,O,X,O,X
IOJSTLZ,O,O,X,O,X,O,X
IOJSTZL,O,O,X,O,X,X,X
IOJSLTZ,O,O,X,O,X,X,X
IOJSLZT,O,X,X,O,X,X,X
IOJSZTL,O,O,X,O,X,X,X
IOJSZLT,O,O,X,O,X,X,X
IOJZTLS,O,O,X,O,X,O,X
IOJZTSL,O,O,X,O,X,X,X
IOJZLTS,O,O,X,O,X,O,X
IOJZLST,O,O,X,O,X,O,X
IOJZSTL,O,O,X,O,X,X,X
IOJZSLT,O,O,X,O,X,O,X
IOSTLJZ,O,O,O,O,X,O,X
IOSTLZJ,O,O,O,O,X,O,X
IOSTJLZ,O,O,O,O,X,O,X
IOSTJZL,O,O,X,O,X,X,X
IOSTZLJ,O,O,O,O,X,O,X
IOSTZJL,O,O,O,O,X,X,X
IOSLTJZ,O,X,O,O,X,O,X
IOSLTZJ,O,X,O,O,X,O,X
IOSLJTZ,O,X,X,O,X,X,X
IOSLJZT,O,X,X,O,X,X,X
IOSLZTJ,X,X,O,O,X,O,X
IOSLZJT,X,X,O,X,X,O,X
IOSJTLZ,O,O,X,O,X,O,X
IOSJTZL,O,O,X,O,X,X,X
IOSJLTZ,O,O,X,O,X,X,X
IOSJLZT,O,X,X,O,X,X,X
IOSJZTL,O,O,X,O,X,X,X
IOSJZLT,O,O,X,O,X,X,X
IOSZTLJ,X,O,O,O,X,O,X
IOSZTJL,X,O,O,O,X,X,X
IOSZLTJ,X,X,O,O,X,O,X
IOSZLJT,X,X,O,X,X,O,X
IOSZJTL,X,O,O,X,X,X,X
IOSZJLT,X,O,O,X,X,O,X
IOZTLJS,X,O,O,O,X,O,O
IOZTLSJ,X,X,O,O,X,O,O
IOZTJLS,X,O,O,O,X,O,O
IOZTJSL,X,O,X,O,X,X,O
IOZTSLJ,X,X,X,O,X,O,O
IOZTSJL,X,X,X,O,X,X,O
IOZLTJS,X,X,O,O,X,O,O
IOZLTSJ,X,X,O,O,X,O,O
IOZLJTS,X,X,O,O,X,O,O
IOZLJST,X,X,O,O,X,O,X
IOZLSTJ,X,X,O,O,X,O,X
IOZLSJT,X,X,O,X,X,O,X
IOZJTLS,X,O,O,O,X,O,O
IOZJTSL,X,O,X,O,X,X,O
IOZJLTS,X,O,O,O,X,O,O
IOZJLST,X,O,O,O,X,O,X
IOZJSTL,X,O,O,O,X,X,X
IOZJSLT,X,O,O,O,X,O,X
IOZSTLJ,X,O,O,O,X,O,X
IOZSTJL,X,O,O,O,X,X,X
IOZSLTJ,X,X,O,O,X,O,X
IOZSLJT,X,X,O,X,X,O,X
IOZSJTL,X,O,O,X,X,X,X
IOZSJLT,X,O,O,X,X,O,X
LTIJSZO,O,X,O,O,X,O,X
LTIJSOZ,O,X,O,O,X,X,X
LTIJZSO,O,O,O,O,O,O,O
LTIJZOS,O,O,O,O,O,O,O
LTIJOSZ,O,X,X,O,X,X,X
LTIJOZS,O,O,X,O,O,X,O
LTISJZO,O,X,O,O,X,O,X
LTISJOZ,O,X,O,O,X,X,X
LTISZJO,O,X,O,O,O,O,O
LTISZOJ,O,X,O,X,X,O,O
LTISOJZ,O,X,O,O,X,X,X
LTISOZJ,O,X,O,X,X,O,O
LTIZJSO,O,O,O,O,O,O,O
LTIZJOS,O,O,O,O,O,O,O
LTIZSJO,X,O,O,O,O,O,O
LTIZSOJ,X,X,O,X,X,O,O
LTIZOJS,X,O,O,X,O,O,O
LTIZOSJ,X,X,O,X,X,O,O
LTIOJSZ,O,X,X,O,X,O,X
LTIOJZS,O,X,X,O,X,O,O
LTIOSJZ,X,X,O,O,X,O,X
LTIOSZJ,X,X,O,O,X,O,O
LTIOZJS,X,X,O,O,O,O,O
LTIOZSJ,X,X,O,O,X,O,O
LTJISZO,O,X,O,O,X,O,X
LTJISOZ,O,X,O,O,X,X,X
LTJIZSO,O,O,O,O,O,O,O
LTJIZOS,O,O,O,O,O,O,O
LTJIOSZ,O,X,X,O,X,X,X
LTJIOZS,O,O,X,O,O,X,O
LTJSIZO,O,X,O,O,X,O,X
LTJSIOZ,O,X,O,O,X,X,X
LTJSZIO,O,X,O,O,O,O,X
LTJSZOI,O,X,O,O,O,O,X
LTJSOIZ,O,X,O,O,X,X,X
LTJSOZI,O,X,O,O,O,X,X
LTJZISO,O,O,O,O,O,O,O
LTJZIOS,O,O,O,O,O,O,O
LTJZSIO,O,O,O,O,O,O,O
LTJZSOI,O,O,O,O,O,O,O
LTJZOIS,O,O,O,O,O,O,O
LTJZOSI,O,O,O,O,O,O,O
LTJOISZ,O,X,X,O,X,X,X
LTJOIZS,O,O,X,O,O,X,O
LTJOSIZ,O,X,X,O,X,X,X
LTJOSZI,O,X,X,O,O,X,X
LTJOZIS,O,O,X,O,O,X,O
LTJOZSI,O,O,X,O,O,X,O
LTSIJZO,O,X,O,O,X,O,X
LTSIJOZ,O,X,O,O,X,X,X
LTSIZJO,O,X,O,O,O,O,O
LTSIZOJ,O,X,O,X,X,O,O
LTSIOJZ,O,X,O,O,X,X,X
LTSIOZJ,O,X,O,X,X,O,O
LTSJIZO,O,X,O,O,X,O,X
LTSJIOZ,O,X,O,O,X,X,X
LTSJZIO,O,X,O,O,O,O,X
LTSJZOI,O,X,O,O,O,O,X
LTSJOIZ,O,X,O,O,X,X,X
LTSJOZI,O,X,O,O,O,X,X
LTSZIJO,O,X,O,O,O,O,O
LTSZIOJ,O,X,O,X,X,O,O
LTSZJIO,O,X,O,O,O,O,O
LTSZJOI,O,X,O,O,O,O,O
LTSZOIJ,O,X,O,X,X,O,O
LTSZOJI,O,X,O,X,X,O,O
LTSOIJZ,O,X,O,O,X,X,X
LTSOIZJ,O,X,O,X,X,O,O
LTSOJIZ,O,X,O,O,X,X,X
LTSOJZI,O,X,O,O,X,X,X
LTSOZIJ,O,X,O,X,X,O,O
LTSOZJI,O,X,O,X,X,O,O
LTZIJSO,O,O,O,O,O,O,O
LTZIJOS,O,O,O,O,O,O,O
LTZISJO,X,O,O,O,O,O,O
LTZISOJ,X,X,O,X,X,O,O
LTZIOJS,X,O,O,X,O,O,O
LTZIOSJ,X,X,O,X,X,O,O
LTZJISO,O,O,O,O,O,O,O
LTZJIOS,O,O,O,O,O,O,O
LTZJSIO,O,O,O,O,O,O,O
LTZJSOI,O,O,O,O,O,O,O
LTZJOIS,O,O,O,O,O,O,O
LTZJOSI,O,O,O,O,O,O,O
LTZSIJO,X,O,O,O,O,O,O
LTZSIOJ,X,X,O,X,X,O,O
LTZSJIO,X,O,O,O,O,O,O
LTZSJOI,X,O,O,O,O,O,O
LTZSOIJ,X,X,O,X,X,O,O
LTZSOJI,X,O,O,X,X,O,O
LTZOIJS,X,O,O,X,O,O,O
LTZOISJ,X,X,O,X,X,O,O
LTZOJIS,X,O,O,X,O,O,O
LTZOJSI,X,O,O,X,O,O,O
LTZOSIJ,X,X,O,X,X,O,O
LTZOSJI,X,O,O,X,X,O,O
LTOIJSZ,O,X,X,O,X,O,X
LTOIJZS,O,X,X,O,X,O,O
LTOISJZ,X,X,O,O,X,O,X
LTOISZJ,X,X,O,O,X,O,O
LTOIZJS,X,X,O,O,O,O,O
LTOIZSJ,X,X,O,O,X,O,O
LTOJISZ,O,X,X,O,X,O,X
LTOJIZS,O,X,X,O,O,O,O
LTOJSIZ,O,X,X,O,X,O,X
LTOJSZI,O,X,X,O,O,O,X
LTOJZIS,O,X,X,O,O,O,O
LTOJZSI,O,X,X,O,O,O,O
LTOSIJZ,X,X,O,O,X,O,X
LTOSIZJ,X,X,O,O,X,O,O
LTOSJIZ,X,X,O,O,X,O,X
LTOSJZI,X,X,O,O,X,O,X
LTOSZIJ,X,X,O,O,X,O,O
LTOSZJI,X,X,O,O,X,O,O
LTOZIJS,X,X,O,O,O,O,O
LTOZISJ,X,X,O,O,X,O,O
LTOZJIS,X,X,O,O,O,O,O
LTOZJSI,X,X,O,O,O,O,O
LTOZSIJ,X,X,O,O,X,O,O
LTOZSJI,X,X,O,O,X,O,O
LITJSZO,O,X,O,O,X,O,X
LITJSOZ,O,X,O,O,X,X,X
LITJZSO,O,O,O,O,O,O,O
LITJZOS,O,O,O,O,O,O,O
LITJOSZ,O,X,X,O,X,X,X
LITJOZS,O,O,X,O,O,X,O
LITSJZO,O,X,O,O,X,O,X
LITSJOZ,O,X,O,O,X,X,X
LITSZJO,O,X,O,O,O,O,O
LITSZOJ,O,X,O,X,X,O,O
LITSOJZ,O,X,O,O,X,X,X
LITSOZJ,O,X,O,X,X,O,O
LITZJSO,O,O,O,O,O,O,O
LITZJOS,O,O,O,O,O,O,O
LITZSJO,X,O,O,O,O,O,O
LITZSOJ,X,X,O,X,X,O,O
LITZOJS,X,O,O,X,O,O,O
LITZOSJ,X,X,O,X,X,O,O
LITOJSZ,O,X,X,O,X,O,X
LITOJZS,O,X,X,O,X,O,O
LITOSJZ,X,X,O,O,X,O,X
LITOSZJ,X,X,O,O,X,O,O
LITOZJS,X,X,O,O,O,O,O
LITOZSJ,X,X,O,O,X,O,O
LIJTSZO,O,X,O,O,X,O,X
LIJTSOZ,O,X,O,O,X,X,X
LIJTZSO,O,O,O,O,O,O,O
LIJTZOS,O,O,O,O,O,O,O
LIJTOSZ,O,X,X,O,X,X,X
LIJTOZS,O,O,X,O,O,X,O
LIJSTZO,O,O,O,O,X,X,X
LIJSTOZ,O,O,O,O,X,X,X
LIJSZTO,O,O,O,O,X,X,X
LIJSZOT,O,O,O,O,X,X,X
LIJSOTZ,O,O,X,O,X,X,X
LIJSOZT,O,X,X,O,X,X,X
LIJZTSO,O,O,O,O,O,O,O
LIJZTOS,O,O,O,O,O,O,O
LIJZSTO,O,O,O,O,X,O,O
LIJZSOT,O,O,O,O,X,O,X
LIJZOTS,O,O,O,O,O,O,O
LIJZOST,O,O,O,O,X,O,X
LIJOTSZ,O,X,X,O,X,O,X
LIJOTZS,O,O,X,O,O,O,X
LIJOSTZ,O,O,X,O,X,X,X
LIJOSZT,O,X,X,O,X,X,X
LIJOZTS,O,O,X,O,O,O,X
LIJOZST,O,O,X,O,X,O,X
LISTJZO,O,O,O,O,X,O,X
LISTJOZ,O,O,O,O,X,X,X
LISTZJO,O,O,O,O,X,O,O
LISTZOJ,O,O,O,X,X,O,O
LISTOJZ,O,O,O,O,X,X,X
LISTOZJ,O,O,O,X,X,O,O
LISJTZO,O,O,O,O,X,X,X
LISJTOZ,O,O,O,O,X,X,X
LISJZTO,O,O,O,O,X,X,X
LISJZOT,O,O,O,O,X,X,X
LISJOTZ,O,O,X,O,X,X,X
LISJOZT,O,X,X,O,X,X,X
LISZTJO,O,O,O,O,X,O,O
LISZTOJ,O,O,O,X,X,O,O
LISZJTO,O,O,O,X,X,O,O
LISZJOT,O,O,O,X,X,O,X
LISZOTJ,X,X,O,X,X,O,X
LISZOJT,X,X,O,X,X,O,X
LISOTJZ,O,X,O,O,X,O,X
LISOTZJ,O,X,O,O,X,O,X
LISOJTZ,O,X,X,O,X,X,X
LISOJZT,O,X,X,O,X,X,X
LISOZTJ,X,X,O,O,X,O,X
LISOZJT,X,X,O,X,X,O,X
LIZTJSO,O,O,O,O,O,O,O
LIZTJOS,O,O,O,O,O,O,O
LIZTSJO,X,O,O,O,O,O,O
LIZTSOJ,X,X,O,X,X,O,O
LIZTOJS,X,O,O,X,O,O,O
LIZTOSJ,X,X,O,X,X,O,O
LIZJTSO,O,O,O,O,O,O,O
LIZJTOS,O,O,O,O,O,O,O
LIZJSTO,O,O,O,O,X,O,O
LIZJSOT,O,O,O,O,X,O,X
LIZJOTS,O,O,O,O,O,O,O
LIZJOST,O,O,O,O,X,O,X
LIZSTJO,O,O,O,O,X,O,O
LIZSTOJ,O,O,O,X,X,O,O
LIZSJTO,O,O,O,X,X,O,O
LIZSJOT,O,O,O,X,X,O,X
LIZSOTJ,X,X,O,X,X,O,X
LIZSOJT,X,X,O,X,X,O,X
LIZOTJS,X,X,O,O,X,O,O
LIZOTSJ,X,X,O,O,X,O,O
LIZOJTS,X,X,O,O,X,O,O
LIZOJST,X,X,O,O,X,O,X
LIZOSTJ,X,X,O,O,X,O,X
LIZOSJT,X,X,O,X,X,O,X
LIOTJSZ,O,X,X,O,X,O,X
LIOTJZS,O,X,X,O,X,O,O
LIOTSJZ,X,X,O,O,X,O,X
LIOTSZJ,X,X,O,O,X,O,O
LIOTZJS,X,X,O,O,X,O,O
LIOTZSJ,X,X,O,O,X,O,O
LIOJTSZ,O,X,X,O,X,O,X
LIOJTZS,O,X,X,O,X,O,X
LIOJSTZ,O,X,X,O,X,X,X
LIOJSZT,O,X,X,O,X,X,X
LIOJZTS,O,X,X,O,X,O,X
LIOJZST,O,X,X,O,X,O,X
LIOSTJZ,O,X,O,O,X,O,X
LIOSTZJ,O,X,O,O,X,O,X
LIOSJTZ,O,X,X,O,X,X,X
LIOSJZT,O,X,X,O,X,X,X
LIOSZTJ,X,X,O,O,X,O,X
LIOSZJT,X,X,O,X,X,O,X
LIOZTJS,X,X,O,O,X,O,O
LIOZTSJ,X,X,O,O,X,O,O
LIOZJTS,X,X,O,O,X,O,O
LIOZJST,X,X,O,O,X,O,X
LIOZSTJ,X,X,O,O,X,O,X
LIOZSJT,X,X,O,X,X,O,X
LJTISZO,O,X,O,O,X,O,X
LJTISOZ,O,X,O,O,X,X,X
LJTIZSO,O,O,O,O,O,O,O
LJTIZOS,O,O,O,O,O,O,O
LJTIOSZ,O,X,X,O,X,X,X
LJTIOZS,O,O,X,O,O,X,O
LJTSIZO,O,X,O,O,X,O,X
LJTSIOZ,O,X,O,O,X,X,X
LJTSZIO,O,X,O,O,O,O,X
LJTSZOI,O,X,O,O,O,O,X
LJTSOIZ,O,X,O,O,X,X,X
LJTSOZI,O,X,O,O,O,X,X
LJTZISO,O,O,O,O,O,O,O
LJTZIOS,O,O,O,O,O,O,O
LJTZSIO,O,O,O,O,O,O,O
LJTZSOI,O,O,O,O,O,O,O
LJTZOIS,O,O,O,O,O,O,O
LJTZOSI,O,O,O,O,O,O,O
LJTOISZ,O,X,X,O,X,X,X
LJTOIZS,O,O,X,O,O,X,O
LJTOSIZ,O,X,X,O,X,X,X
LJTOSZI,O,X,X,O,O,X,X
LJTOZIS,O,O,X,O,O,X,O
LJTOZSI,O,O,X,O,O,X,O
LJITSZO,O,X,O,O,X,O,X
LJITSOZ,O,X,O,O,X,X,X
LJITZSO,O,O,O,O,O,O,O
LJITZOS,O,O,O,O,O,O,O
LJITOSZ,O,X,X,O,X,X,X
LJITOZS,O,O,X,O,O,X,O
LJISTZO,O,O,O,O,X,X,X
LJISTOZ,O,O,O,O,X,X,X
LJISZTO,O,O,O,O,X,X,X
LJISZOT,O,O,O,O,X,X,X
LJISOTZ,O,O,X,O,X,X,X
LJISOZT,O,X,X,O,X,X,X
LJIZTSO,O,O,O,O,O,O,O
LJIZTOS,O,O,O,O,O,O,O
LJIZSTO,O,O,O,O,X,O,O
LJIZSOT,O,O,O,O,X,O,X
LJIZOTS,O,O,O,O,O,O,O
LJIZOST,O,O,O,O,X,O,X
LJIOTSZ,O,X,X,O,X,O,X
LJIOTZS,O,O,X,O,O,O,X
LJIOSTZ,O,O,X,O,X,X,X
LJIOSZT,O,X,X,O,X,X,X
LJIOZTS,O,O,X,O,O,O,X
LJIOZST,O,O,X,O,X,O,X
LJSTIZO,O,O,O,O,X,X,X
LJSTIOZ,O,O,O,O,X,X,X
LJSTZIO,O,O,O,O,O,X,X
LJSTZOI,O,O,O,O,O,X,X
LJSTOIZ,O,O,O,O,X,X,X
LJSTOZI,O,O,O,O,O,X,X
LJSITZO,O,O,O,O,X,X,X
LJSITOZ,O,O,O,O,X,X,X
LJSIZTO,O,O,O,O,X,X,X
LJSIZOT,O,O,O,O,X,X,X
LJSIOTZ,O,O,X,O,X,X,X
LJSIOZT,O,X,X,O,X,X,X
LJSZTIO,O,O,O,O,O,X,X
LJSZTOI,O,O,O,O,O,X,X
LJSZITO,O,O,O,O,X,X,X
LJSZIOT,O,O,O,O,X,X,X
LJSZOTI,O,O,O,O,O,X,X
LJSZOIT,O,O,O,O,X,X,X
LJSOTIZ,O,O,X,O,X,X,X
LJSOTZI,O,O,X,O,O,X,X
LJSOITZ,O,O,X,O,X,X,X
LJSOIZT,O,X,X,O,X,X,X
LJSOZTI,O,X,X,O,O,X,X
LJSOZIT,O,X,X,O,X,X,X
LJZTISO,O,O,O,O,O,O,O
LJZTIOS,O,O,O,O,O,O,O
LJZTSIO,O,O,O,O,O,O,O
LJZTSOI,O,O,O,O,O,O,O
LJZTOIS,O,O,O,O,O,O,O
LJZTOSI,O,O,O,O,O,O,O
LJZITSO,O,O,O,O,O,O,O
LJZITOS,O,O,O,O,O,O,O
LJZISTO,O,O,O,O,X,O,O
LJZISOT,O,O,O,O,X,O,X
LJZIOTS,O,O,O,O,O,O,O
LJZIOST,O,O,O,O,X,O,X
LJZSTIO,O,O,O,O,O,O,O
LJZSTOI,O,O,O,O,O,O,O
LJZSITO,O,O,O,O,X,O,O
LJZSIOT,O,O,O,O,X,O,X
LJZSOTI,O,O,O,O,O,O,X
LJZSOIT,O,O,O,O,X,O,X
LJZOTIS,O,O,O,O,O,O,O
LJZOTSI,O,O,O,O,O,O,O
LJZOITS,O,O,O,O,O,O,O
LJZOIST,O,O,O,O,X,O,X
LJZOSTI,O,O,O,O,O,O,X
LJZOSIT,O,O,O,O,X,O,X
LJOTISZ,O,X,X,O,X,O,X
LJOTIZS,O,O,X,O,O,O,X
LJOTSIZ,O,X,X,O,X,O,X
LJOTSZI,O,X,X,O,O,O,X
LJOTZIS,O,O,X,O,O,O,X
LJOTZSI,O,O,X,O,O,O,X
LJOITSZ,O,X,X,O,X,O,X
LJOITZS,O,O,X,O,O,O,X
LJOISTZ,O,O,X,O,X,X,X
LJOISZT,O,X,X,O,X,X,X
LJOIZTS,O,O,X,O,O,O,X
LJOIZST,O,O,X,O,X,O,X
LJOSTIZ,O,O,X,O,X,X,X
LJOSTZI,O,O,X,O,O,X,X
LJOSITZ,O,O,X,O,X,X,X
LJOSIZT,O,X,X,O,X,X,X
LJOSZTI,O,X,X,O,O,X,X
LJOSZIT,O,X,X,O,X,X,X
LJOZTIS,O,O,X,O,O,O,X
LJOZTSI,O,O,X,O,O,O,X
LJOZITS,O,O,X,O,O,O,X
LJOZIST,O,O,X,O,X,O,X
LJOZSTI,O,O,X,O,O,O,X
LJOZSIT,O,O,X,O,X,O,X
LSTIJZO,O,O,O,O,X,O,X
LSTIJOZ,O,O,O,O,X,X,X
LSTIZJO,O,O,O,O,O,O,O
LSTIZOJ,O,O,O,X,X,O,O
LSTIOJZ,O,O,O,O,X,X,X
LSTIOZJ,O,O,O,X,X,O,O
LSTJIZO,O,O,O,O,X,O,X
LSTJIOZ,O,O,O,O,X,X,X
LSTJZIO,O,O,O,O,O,O,X
LSTJZOI,O,O,O,O,O,O,X
LSTJOIZ,O,O,O,O,X,X,X
LSTJOZI,O,O,O,O,O,X,X
LSTZIJO,O,O,O,O,O,O,O
LSTZIOJ,O,O,O,X,X,O,O
LSTZJIO,O,O,O,O,O,O,O
LSTZJOI,O,O,O,O,O,O,O
LSTZOIJ,O,O,O,X,X,O,O
LSTZOJI,O,O,O,X,X,O,O
LSTOIJZ,O,O,O,O,X,X,X
LSTOIZJ,O,O,O,X,X,O,O
LSTOJIZ,O,O,O,O,X,X,X
LSTOJZI,O,O,O,O,X,X,X
LSTOZIJ,O,O,O,X,X,O,O
LSTOZJI,O,O,O,X,X,O,O
LSITJZO,O,O,O,O,X,O,X
LSITJOZ,O,O,O,O,X,X,X
LSITZJO,O,O,O,O,X,O,O
LSITZOJ,O,O,O,X,X,O,O
LSITOJZ,O,O,O,O,X,X,X
LSITOZJ,O,O,O,X,X,O,O
