sequence,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFCbBehBzcBX?gBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFufB3bBzcBy?lBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFCbBehBXgBz?hBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFufB3bBylBz?hBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8Jex6IvhFlcBTfB/lBU?hBKnBmpB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeO/IvhFVgBRcBThBK?nB3kBcqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFqfBTbBmcBX?hBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFlbBuhB8lBK?nBzkBfqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFSgBmcBXhBz?fBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFWgBylBzhBf?qBlqBUsB,v115@6gC8GeC8GeC8DeB8BeD8AeG8Je37IvhFTfBmhBxlBi?kBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JecAJvhFTfBXhBKnBl?hBxpBmpB,v115@6gC8GeC8GeC8DeB8BeD8AeG8Jex6IvhFXcBmfB1mBT?kBcqBKsB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JecAJvhFTfBlhBXhBK?nBxpBmpB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeRAJvhFzhBlkB3lBO?kBUnBiqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8Jez8IvhFRgBlkB3lBU?nBOkBiqB
JSTZILO,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
JSTZIOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSTZLIO,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
JSTZLOI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTZOIL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTZOLI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTOILZ,O,X,O,X,O,X,O,X,O,O,X,X,X,X,O,X
JSTOIZL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X
JSTOLIZ,O,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X
JSTOLZI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSTOZIL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSTOZLI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSITLZO,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
JSITLOZ,O,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X
JSITZLO,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
JSITZOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSITOLZ,O,X,O,X,X,X,O,X,O,O,X,X,X,X,X,X
JSITOZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILTZO,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSILTOZ,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X
JSILZTO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSILZOT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSILOTZ,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
JSILOZT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSIZTLO,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSIZTOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLTO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSIZLOT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSIZOTL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIZOLT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSIOTLZ,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X
JSIOTZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIOLTZ,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
JSIOLZT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSIOZTL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSIOZLT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSLTIZO,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSLTIOZ,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X
JSLTZIO,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSLTZOI,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSLTOIZ,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X
JSLTOZI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSLITZO,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSLITOZ,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X
JSLIZTO,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JSLIZOT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSLIOTZ,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
JSLIOZT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSLZTIO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZTOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZITO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSLZIOT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSLZOTI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLZOIT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSLOTIZ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JSLOTZI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSLOITZ,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
JSLOIZT,O,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JSLOZTI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSLOZIT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSZTILO,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSZTIOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZTLIO,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSZTLOI,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSZTOIL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZTOLI,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSZITLO,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
JSZITOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZILTO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSZILOT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSZIOTL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZIOLT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSZLTIO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLTOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLITO,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
JSZLIOT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSZLOTI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZLOIT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSZOTIL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZOTLI,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSZOITL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZOILT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSZOLTI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSZOLIT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSOTILZ,X,X,O,X,O,X,O,X,O,O,X,X,X,X,O,X
JSOTIZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X
JSOTLIZ,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X
JSOTLZI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOTZIL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOTZLI,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOITLZ,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X
JSOITZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOILTZ,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
JSOILZT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSOIZTL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOIZLT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSOLTIZ,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
JSOLTZI,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOLITZ,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X
JSOLIZT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSOLZTI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOLZIT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSOZTIL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOZTLI,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
JSOZITL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOZILT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSOZLTI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JSOZLIT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JZTILSO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTILOS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTISLO,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTISOL,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTIOLS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTIOSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLISO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZTLIOS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZTLSIO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZTLSOI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZTLOIS,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZTLOSI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZTSILO,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSIOL,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSLIO,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSLOI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSOIL,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTSOLI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JZTOILS,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
JZTOISL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZTOLIS,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
JZTOLSI,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X
JZTOSIL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZTOSLI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZITLSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITLOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITSLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITSOL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITOLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZITOSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILTSO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZILTOS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZILSTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILSOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZILOTS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZILOST,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZISTLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISTOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISLTO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOLT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLTS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZIOLST,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZIOSTL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTISO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLTIOS,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLTSIO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLTSOI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLTOIS,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLTOSI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLITSO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLITOS,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLISTO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZLISOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLIOTS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZLIOST,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLSTIO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLSTOI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLSITO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLSIOT,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZLSOTI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLSOIT,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLOTIS,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLOTSI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLOITS,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLOIST,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLOSTI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLOSIT,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZSTILO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSTIOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZSTLIO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSTLOI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSTOIL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSTOLI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSITLO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSITOL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
JZSILTO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSILOT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSIOLT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSLTOI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSLITO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSLIOT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSLOTI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSLOIT,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSOTIL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSOTLI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSOITL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSOILT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSOLIT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOTILS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOTISL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOTLIS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZOTLSI,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZOTSIL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOTSLI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOITLS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOITSL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOILTS,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
JZOILST,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOISTL,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZOISLT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOLTIS,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
JZOLTSI,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZOLITS,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X
JZOLIST,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOLSTI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOLSIT,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JZOSTIL,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZOSTLI,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZOSITL,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JZOSILT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JZOSLIT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTILSZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTILZS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTISLZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTISZL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTIZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTIZSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOTLISZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTLIZS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTLSZI,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTLZIS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTLZSI,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTSILZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X
JOTSIZL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X
JOTSLIZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTSLZI,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTSZIL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTSZLI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOTZILS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
JOTZISL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTZLIS,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JOTZLSI,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
JOTZSIL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOTZSLI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOITLSZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOITLZS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOITSLZ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOITSZL,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOITZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOITZSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOILTSZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOILTZS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOILSTZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOILSZT,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JOILZTS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOILZST,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOISTLZ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOISTZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOISLTZ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOISLZT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOISZTL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOISZLT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOIZTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZTSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOIZLTS,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOIZLST,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOIZSTL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOIZSLT,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLTISZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLTIZS,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JOLTSIZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLTSZI,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLTZIS,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JOLTZSI,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLITSZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLITZS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOLISTZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLISZT,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JOLIZTS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOLIZST,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOLSTIZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLSTZI,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLSITZ,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLSIZT,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JOLSZTI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLSZIT,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JOLZTIS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOLZTSI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLZITS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOLZIST,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOLZSTI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOLZSIT,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JOSTILZ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X
JOSTIZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X
JOSTLIZ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSTLZI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSTZIL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSTZLI,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSITLZ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSITZL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSILTZ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSILZT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSIZTL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSIZLT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSLTIZ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSLTZI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSLITZ,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSLIZT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSLZTI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSLZIT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSZTIL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSZTLI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSZITL,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSZILT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSZLTI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
JOSZLIT,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOZTILS,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
JOZTISL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOZTLIS,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOZTLSI,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
JOZTSIL,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOZTSLI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
