sequence,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhFzaBXdBUhBClBGm?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Jei6IvhFfhBxcBUgBumBTk?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Jei6IvhFFcBXdBckBelB5l?BTrB,v115@7gB8GeC8FeD8FeG8AeF8JeT6IvhFxcBlgBumBikB8q?BXqB,v115@7gB8GeC8FeD8FeG8AeF8JeO/IvhF8fBFcBXdB5lByu?BTrB,v115@7gB8GeC8FeD8FeG8AeF8JeT6IvhF0bBxcBVlB3hB2p?BCrB,v115@7gB8GeC8FeD8FeG8AeF8Jex6IvhFXdBOkB8kBzgB6m?BlqB,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhFzbBukB3hBUgBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Jex6IvhF8gBmfB3hBTkBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhFzbBUgB3hBukBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhF3bBWlBlhB8qBzp?BCsB,v115@7gB8GeC8FeD8FeG8AeF8Je//IvhFRbBTgBlhB2pB8q?BCsB,v115@7gB8GeC8FeD8FeG8AeF8Jez7IvhF3hBxkBOkB8kBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Je37IvhFlhBxkB8qBTpBmp?BCsB
JLOISTZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JLOISZT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JLOIZTS,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JLOIZST,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOSTIZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JLOSTZI,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JLOSITZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JLOSIZT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JLOSZTI,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOSZIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOZTIS,X,O,O,O,O,O,X,X,X,X,X,X,X,X
JLOZTSI,X,O,O,O,O,O,X,X,X,X,X,X,X,X
JLOZITS,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JLOZIST,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOZSTI,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JLOZSIT,O,O,O,O,O,X,X,X,X,X,X,X,X,X
JSTILZO,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JSTILOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JSTIZLO,O,O,O,X,X,O,X,X,X,X,X,X,O,X
JSTIZOL,X,O,O,X,X,O,X,O,O,O,X,O,O,X
JSTIOLZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JSTIOZL,X,O,O,X,X,O,X,O,X,O,X,X,O,X
JSTLIZO,O,O,X,X,O,O,X,X,X,X,X,X,X,X
JSTLIOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JSTLZIO,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JSTLZOI,O,O,O,X,O,O,X,X,O,X,X,O,X,X
JSTLOIZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JSTLOZI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
JSTZILO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSTZIOL,X,O,O,X,X,O,O,O,O,O,X,O,X,X
JSTZLIO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSTZLOI,O,O,O,X,X,O,O,X,O,X,X,O,X,X
JSTZOIL,X,O,O,X,X,O,O,O,O,O,X,O,X,X
JSTZOLI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
JSTOILZ,X,O,O,X,O,O,X,O,X,X,X,X,X,X
JSTOIZL,X,O,O,X,X,O,X,O,O,O,X,X,O,X
JSTOLIZ,X,O,X,X,O,O,X,O,X,X,X,X,X,X
JSTOLZI,X,O,O,X,O,O,X,X,O,X,X,X,X,X
JSTOZIL,X,O,O,X,X,O,O,O,O,O,X,O,X,X
JSTOZLI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
JSITLZO,O,O,O,X,O,O,X,X,X,X,X,X,X,X
JSITLOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
JSITZLO,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSITZOL,X,O,O,X,X,O,X,O,X,O,X,O,X,X
JSITOLZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X
JSITOZL,X,O,O,X,X,O,X,O,X,O,X,X,X,X
JSILTZO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSILTOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSILZTO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSILZOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSILOTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSILOZT,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSIZTLO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JSIZTOL,X,X,O,X,X,O,O,X,X,X,X,O,X,X
JSIZLTO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JSIZLOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSIZOTL,X,X,O,X,X,O,X,O,X,X,X,O,X,X
JSIZOLT,X,X,O,X,X,X,X,O,X,X,X,O,X,X
JSIOTLZ,X,O,O,X,X,O,X,O,X,X,X,X,X,X
JSIOTZL,X,O,O,X,X,O,X,O,X,O,X,X,X,X
JSIOLTZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X
JSIOLZT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSIOZTL,X,X,O,X,X,O,X,O,X,X,X,X,X,X
JSIOZLT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JSLTIZO,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSLTIOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLTZIO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSLTZOI,X,X,O,X,O,O,X,X,X,X,X,O,X,X
JSLTOIZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLTOZI,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLITZO,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSLITOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLIZTO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSLIZOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSLIOTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JSLIOZT,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JSLZTIO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSLZTOI,X,X,O,O,O,O,O,X,X,X,X,O,X,X
JSLZITO,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JSLZIOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSLZOTI,X,X,O,O,O,X,X,X,X,X,X,O,X,X
JSLZOIT,O,X,O,O,O,X,X,X,X,X,X,O,X,X
JSLOTIZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X
JSLOTZI,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSLOITZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSLOIZT,O,X,O,O,O,X,X,O,X,X,X,X,X,X
JSLOZTI,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JSLOZIT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JSZTILO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JSZTIOL,X,X,O,X,X,O,O,X,X,X,X,O,X,X
JSZTLIO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JSZTLOI,X,X,O,O,X,O,O,X,X,X,X,O,X,X
JSZTOIL,X,X,O,X,X,O,O,X,X,X,X,O,X,X
JSZTOLI,X,X,O,X,X,O,O,X,X,X,X,O,X,X
JSZITLO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JSZITOL,X,X,O,X,X,O,O,X,X,X,X,O,X,X
JSZILTO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JSZILOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSZIOTL,X,X,O,X,X,O,X,O,X,X,X,O,X,X
JSZIOLT,X,X,O,X,X,X,X,O,X,X,X,O,X,X
JSZLTIO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JSZLTOI,X,X,O,O,X,O,O,X,X,X,X,O,X,X
JSZLITO,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JSZLIOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JSZLOTI,X,X,O,O,X,X,X,X,X,X,X,O,X,X
JSZLOIT,X,X,O,O,X,X,X,X,X,X,X,O,X,X
JSZOTIL,X,X,O,X,X,O,O,X,O,X,X,O,X,X
JSZOTLI,X,X,O,X,X,O,O,X,O,X,X,O,X,X
JSZOITL,X,X,O,X,X,O,X,O,O,X,X,O,X,X
JSZOILT,X,X,O,X,X,X,X,O,O,X,X,O,X,X
JSZOLTI,X,X,O,X,X,X,X,X,O,X,X,O,X,X
JSZOLIT,X,X,O,X,X,X,X,X,O,X,X,O,X,X
JSOTILZ,X,O,O,X,O,O,X,O,X,X,X,X,X,X
JSOTIZL,X,O,O,X,X,O,X,O,O,O,X,X,O,X
JSOTLIZ,X,O,X,X,O,O,X,O,X,X,X,X,X,X
JSOTLZI,X,O,O,X,O,O,X,X,O,X,X,X,X,X
JSOTZIL,X,O,O,X,X,O,X,O,O,O,X,O,X,X
JSOTZLI,X,O,O,X,X,O,X,X,O,X,X,O,X,X
JSOITLZ,X,O,O,X,O,O,X,O,X,X,X,X,X,X
JSOITZL,X,O,O,X,X,O,X,O,X,O,X,X,X,X
JSOILTZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSOILZT,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JSOIZTL,X,X,O,X,X,O,X,O,O,X,X,X,X,X
JSOIZLT,X,X,O,X,X,X,X,O,O,X,X,X,X,X
JSOLTIZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JSOLTZI,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JSOLITZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JSOLIZT,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JSOLZTI,X,O,O,X,O,X,X,X,O,X,X,X,X,X
JSOLZIT,X,O,O,X,O,X,X,X,O,X,X,X,X,X
JSOZTIL,X,O,O,X,X,O,O,X,O,X,X,O,X,X
JSOZTLI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
JSOZITL,X,O,O,X,X,O,X,O,O,X,X,O,X,X
JSOZILT,X,O,O,X,X,X,X,O,O,X,X,O,X,X
JSOZLTI,X,O,O,X,X,X,X,X,O,X,X,O,X,X
JSOZLIT,X,O,O,X,X,X,X,X,O,X,X,O,X,X
JZTILSO,X,O,O,O,X,X,X,X,X,X,O,X,X,X
JZTILOS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZTISLO,X,O,O,O,X,O,X,X,X,X,O,X,X,X
JZTISOL,X,O,O,X,X,O,O,O,X,X,O,O,X,O
JZTIOLS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZTIOSL,X,O,O,X,X,O,O,X,X,X,O,O,X,O
JZTLISO,X,O,O,O,X,O,X,X,X,X,O,X,X,X
JZTLIOS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZTLSIO,X,O,O,O,X,O,X,X,X,X,O,X,X,X
JZTLSOI,X,O,O,O,X,O,O,X,X,X,X,O,X,X
JZTLOIS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZTLOSI,X,O,O,O,X,O,O,X,X,X,X,O,X,X
JZTSILO,X,O,O,O,X,O,X,X,X,X,O,X,X,X
JZTSIOL,X,O,O,X,X,O,O,O,X,X,O,O,X,O
JZTSLIO,X,O,O,O,X,O,X,X,X,X,O,X,X,X
JZTSLOI,X,O,O,O,X,O,O,X,X,X,X,O,X,X
JZTSOIL,X,O,O,X,X,O,O,O,X,X,O,O,X,X
JZTSOLI,X,O,O,X,X,O,O,X,X,X,X,O,X,X
JZTOILS,X,O,O,O,X,O,O,X,X,X,X,X,X,X
JZTOISL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
JZTOLIS,X,O,O,O,X,O,O,X,X,X,X,X,X,X
JZTOLSI,X,O,O,O,X,O,O,X,X,X,X,O,X,X
JZTOSIL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
JZTOSLI,X,O,O,X,X,O,O,X,X,X,X,O,X,X
JZITLSO,X,X,O,O,X,X,X,X,X,X,O,X,X,X
JZITLOS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZITSLO,X,O,O,O,X,X,X,X,X,X,O,X,X,X
JZITSOL,X,O,O,X,X,O,O,O,X,X,O,O,X,O
JZITOLS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZITOSL,X,O,O,X,X,O,O,X,X,X,O,O,X,O
JZILTSO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
JZILTOS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZILSTO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
JZILSOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZILOTS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZILOST,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZISTLO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
JZISTOL,X,X,O,X,X,O,O,X,X,X,O,O,X,O
JZISLTO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
JZISLOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZISOTL,X,X,O,X,X,O,X,O,X,X,O,O,X,X
JZISOLT,X,X,O,X,X,X,X,O,X,X,X,O,X,X
JZIOTLS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZIOTSL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
JZIOLTS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZIOLST,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZIOSTL,X,X,O,X,X,O,X,X,X,X,O,O,X,X
JZIOSLT,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JZLTISO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
JZLTIOS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZLTSIO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
JZLTSOI,X,X,O,O,X,O,O,X,X,X,X,O,X,X
JZLTOIS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZLTOSI,X,X,O,O,X,O,O,X,X,X,X,O,X,X
JZLITSO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
JZLITOS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZLISTO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
JZLISOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLIOTS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLIOST,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLSTIO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
JZLSTOI,X,X,O,O,X,O,O,X,X,X,X,O,X,X
JZLSITO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
JZLSIOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLSOTI,X,X,O,O,X,X,X,X,X,X,X,O,X,X
JZLSOIT,X,X,O,O,X,X,X,X,X,X,X,O,X,X
JZLOTIS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLOTSI,X,X,O,O,X,O,X,X,X,X,X,O,X,X
JZLOITS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZLOIST,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZLOSTI,X,X,O,O,X,X,X,X,X,X,X,O,X,X
JZLOSIT,X,X,O,O,X,X,X,X,X,X,X,O,X,X
JZSTILO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
JZSTIOL,X,X,O,X,X,O,O,X,X,X,O,O,X,X
JZSTLIO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
JZSTLOI,X,X,O,O,X,O,O,X,X,X,X,O,X,X
JZSTOIL,X,X,O,X,X,O,O,X,X,X,O,O,X,X
JZSTOLI,X,X,O,X,X,O,O,X,X,X,X,O,X,X
JZSITLO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
JZSITOL,X,X,O,X,X,O,O,X,X,X,O,O,X,X
JZSILTO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
JZSILOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSIOTL,X,X,O,X,X,O,X,O,X,X,O,O,X,X
JZSIOLT,X,X,O,X,X,X,X,O,X,X,X,O,X,X
JZSLTIO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
JZSLTOI,X,X,O,O,X,O,O,X,X,X,X,O,X,X
JZSLITO,X,X,O,O,X,O,X,X,X,X,O,X,X,X
JZSLIOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JZSLOTI,X,X,O,O,X,X,X,X,X,X,X,O,X,X
JZSLOIT,X,X,O,O,X,X,X,X,X,X,X,O,X,X
JZSOTIL,X,X,O,X,X,O,O,X,X,X,O,O,X,X
JZSOTLI,X,X,O,X,X,O,O,X,X,X,X,O,X,X
JZSOITL,X,X,O,X,X,O,X,O,X,X,O,O,X,X
JZSOILT,X,X,O,X,X,X,X,O,X,X,X,O,X,X
JZSOLTI,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JZSOLIT,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JZOTILS,X,O,O,O,X,O,O,X,X,X,X,X,X,X
JZOTISL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
JZOTLIS,X,O,O,O,X,O,O,X,X,X,X,X,X,X
JZOTLSI,X,O,O,O,X,O,O,X,X,X,X,O,X,X
JZOTSIL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
JZOTSLI,X,O,O,X,X,O,O,X,X,X,X,O,X,X
JZOITLS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JZOITSL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
JZOILTS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZOILST,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JZOISTL,X,O,O,X,X,O,X,X,X,X,O,O,X,X
JZOISLT,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZOLTIS,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JZOLTSI,X,O,O,O,X,O,X,X,X,X,X,O,X,X
JZOLITS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JZOLIST,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JZOLSTI,X,O,O,O,X,X,X,X,X,X,X,O,X,X
JZOLSIT,X,O,O,O,X,X,X,X,X,X,X,O,X,X
JZOSTIL,X,O,O,X,X,O,O,X,X,X,O,O,X,X
JZOSTLI,X,O,O,X,X,O,O,X,X,X,X,O,X,X
JZOSITL,X,O,O,X,X,O,X,X,X,X,O,O,X,X
JZOSILT,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZOSLTI,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JZOSLIT,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JOTILSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JOTILZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JOTISLZ,X,O,O,X,O,O,X,O,X,X,X,X,X,X
JOTISZL,X,O,O,X,X,O,X,O,O,X,X,X,X,X
JOTIZLS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JOTIZSL,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JOTLISZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JOTLIZS,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JOTLSIZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JOTLSZI,X,O,O,X,O,O,X,X,O,X,X,X,X,X
JOTLZIS,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JOTLZSI,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JOTSILZ,X,O,O,X,O,O,X,O,X,X,X,X,X,X
JOTSIZL,X,O,O,X,X,O,X,O,O,X,X,X,X,X
JOTSLIZ,X,O,X,X,O,O,X,O,X,X,X,X,X,X
JOTSLZI,X,O,O,X,O,O,X,X,O,X,X,X,X,X
JOTSZIL,X,O,O,X,X,O,X,O,O,X,X,O,X,X
JOTSZLI,X,O,O,X,X,O,X,X,O,X,X,O,X,X
JOTZILS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JOTZISL,X,O,O,X,X,O,X,X,X,X,X,O,X,X
JOTZLIS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JOTZLSI,X,O,O,X,X,O,X,X,X,X,X,O,X,X
JOTZSIL,X,O,O,X,X,O,X,X,O,X,X,O,X,X
JOTZSLI,X,O,O,X,X,O,X,X,O,X,X,O,X,X
JOITLSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JOITLZS,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JOITSLZ,X,O,O,X,O,O,X,O,X,X,X,X,X,X
JOITSZL,X,O,O,X,X,O,X,O,O,X,X,X,X,X
JOITZLS,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JOITZSL,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JOILTSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JOILTZS,X,O,O,O,O,O,X,X,X,X,X,X,X,X
JOILSTZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JOILSZT,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JOILZTS,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JOILZST,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOISTLZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JOISTZL,X,O,O,X,X,O,X,O,X,X,X,X,X,X
JOISLTZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JOISLZT,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JOISZTL,X,X,O,X,X,O,X,O,O,X,X,X,X,X
JOISZLT,X,X,O,X,X,X,X,O,O,X,X,X,X,X
JOIZTLS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JOIZTSL,X,O,O,X,X,O,O,X,X,X,X,X,X,X
JOIZLTS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JOIZLST,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOIZSTL,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JOIZSLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLTISZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JOLTIZS,X,O,X,O,O,O,X,X,X,X,X,X,X,X
JOLTSIZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JOLTSZI,X,O,O,X,O,O,X,X,O,X,X,X,X,X
JOLTZIS,X,O,O,O,O,O,X,X,X,X,X,X,X,X
JOLTZSI,X,O,O,O,O,O,X,X,X,X,X,X,X,X
JOLITSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JOLITZS,X,O,O,O,O,O,X,X,X,X,X,X,X,X
JOLISTZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JOLISZT,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JOLIZTS,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JOLIZST,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLSTIZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JOLSTZI,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JOLSITZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JOLSIZT,X,X,O,O,O,X,X,X,X,X,X,X,X,X
JOLSZTI,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JOLSZIT,X,O,O,O,O,X,X,X,O,X,X,X,X,X
JOLZTIS,X,O,O,O,O,O,X,X,X,X,X,X,X,X
JOLZTSI,X,O,O,O,O,O,X,X,X,X,X,X,X,X
JOLZITS,X,X,O,O,O,O,X,X,X,X,X,X,X,X
JOLZIST,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLZSTI,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOLZSIT,X,O,O,O,O,X,X,X,X,X,X,X,X,X
JOSTILZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JOSTIZL,X,O,O,X,X,O,X,O,O,X,X,X,X,X
JOSTLIZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JOSTLZI,X,O,O,X,O,O,X,X,O,X,X,X,X,X
JOSTZIL,X,O,O,X,X,O,X,X,O,X,X,O,X,X
JOSTZLI,X,O,O,X,X,O,X,X,O,X,X,O,X,X
JOSITLZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JOSITZL,X,O,O,X,X,O,X,O,X,X,X,X,X,X
JOSILTZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JOSILZT,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JOSIZTL,X,X,O,X,X,O,X,O,O,X,X,X,X,X
JOSIZLT,X,X,O,X,X,X,X,O,O,X,X,X,X,X
JOSLTIZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
JOSLTZI,X,O,O,X,O,O,X,X,X,X,X,X,X,X
JOSLITZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
JOSLIZT,X,X,O,X,O,X,X,O,X,X,X,X,X,X
JOSLZTI,X,O,O,X,O,X,X,X,O,X,X,X,X,X
JOSLZIT,X,O,O,X,O,X,X,X,O,X,X,X,X,X
JOSZTIL,X,O,O,X,X,O,O,X,O,X,X,O,X,X
JOSZTLI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
JOSZITL,X,O,O,X,X,O,X,O,O,X,X,O,X,X
JOSZILT,X,O,O,X,X,X,X,O,O,X,X,O,X,X
JOSZLTI,X,O,O,X,X,X,X,X,O,X,X,O,X,X
JOSZLIT,X,O,O,X,X,X,X,X,O,X,X,O,X,X
JOZTILS,X,O,O,O,X,O,O,X,X,X,X,X,X,X
JOZTISL,X,O,O,X,X,O,O,X,X,X,X,O,X,X
JOZTLIS,X,O,O,O,X,O,O,X,X,X,X,X,X,X
JOZTLSI,X,O,O,O,X,O,O,X,X,X,X,O,X,X
JOZTSIL,X,O,O,X,X,O,O,X,O,X,X,O,X,X
JOZTSLI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
JOZITLS,X,X,O,O,X,O,O,X,X,X,X,X,X,X
JOZITSL,X,O,O,X,X,O,O,X,X,X,X,O,X,X
JOZILTS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JOZILST,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOZISTL,X,O,O,X,X,O,X,X,X,X,X,O,X,X
JOZISLT,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JOZLTIS,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JOZLTSI,X,O,O,O,X,O,X,X,X,X,X,O,X,X
JOZLITS,X,X,O,O,X,O,X,X,X,X,X,X,X,X
JOZLIST,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JOZLSTI,X,O,O,O,X,X,X,X,X,X,X,O,X,X
JOZLSIT,X,O,O,O,X,X,X,X,X,X,X,O,X,X
JOZSTIL,X,O,O,X,X,O,O,X,O,X,X,O,X,X
JOZSTLI,X,O,O,X,X,O,O,X,O,X,X,O,X,X
