sequence,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhF3cBGeB?CgB8mBziBlsB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8Jeu/IvhF3bBRdB?cjB6mBTiBlsB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhF3cBGeB?CgBliBzmB8sB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8Jeu/IvhF3bB1hB?xdBCjBzmB8sB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhFGdBTeB?CgBlhBXnB8sB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhFFdBTeB?CgB0hBfoBGsB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8Jeu/IvhF1gBxcB?TeBCiBXnB8sB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhFTeBCgB?foBUnBlmBGsB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8Jeu/IvhF3bBTeB?xhBCnB8sBFsB
IJSTLZO,O,X,O,O,X,O,X,X,X
IJSTLOZ,X,X,O,O,X,O,X,X,X
IJSTZLO,O,O,O,O,X,X,X,X,X
IJSTZOL,O,O,O,O,X,X,X,X,X
IJSTOLZ,X,X,O,O,X,O,X,X,X
IJSTOZL,X,O,O,O,X,X,X,X,O
IJSLTZO,O,O,O,X,X,O,X,X,X
IJSLTOZ,X,O,O,X,X,O,X,X,X
IJSLZTO,O,O,O,X,X,O,X,X,X
IJSLZOT,O,O,O,X,X,O,X,X,X
IJSLOTZ,X,X,O,X,X,O,X,X,X
IJSLOZT,O,X,O,X,X,O,X,X,O
IJSZTLO,O,O,O,O,X,O,X,X,X
IJSZTOL,O,O,O,O,X,O,X,X,O
IJSZLTO,O,O,O,O,X,O,X,X,O
IJSZLOT,O,O,O,X,X,O,X,X,O
IJSZOTL,O,O,O,O,X,O,X,X,O
IJSZOLT,O,O,O,X,X,O,X,X,O
IJSOTLZ,X,X,O,O,X,O,X,X,X
IJSOTZL,X,X,O,O,X,X,X,X,O
IJSOLTZ,X,X,O,X,X,O,X,X,X
IJSOLZT,O,X,O,X,X,O,X,X,O
IJSOZTL,O,X,O,O,X,O,X,X,O
IJSOZLT,O,X,O,X,X,O,X,X,O
IJZTLSO,X,O,O,O,X,O,X,X,X
IJZTLOS,X,O,O,O,X,O,O,X,X
IJZTSLO,X,O,O,O,X,O,O,X,X
IJZTSOL,X,O,O,O,X,O,O,X,O
IJZTOLS,X,O,X,X,X,X,O,X,X
IJZTOSL,X,O,X,O,X,O,O,X,O
IJZLTSO,O,O,O,O,X,O,X,X,O
IJZLTOS,X,O,O,O,X,O,X,X,O
IJZLSTO,O,O,O,O,X,O,X,X,O
IJZLSOT,O,O,O,X,X,O,X,X,O
IJZLOTS,X,X,O,O,X,O,X,X,O
IJZLOST,O,O,O,O,X,O,X,X,O
IJZSTLO,O,O,O,O,X,O,O,X,X
IJZSTOL,O,O,O,O,X,O,O,X,O
IJZSLTO,O,O,O,O,X,O,X,X,O
IJZSLOT,O,O,O,X,X,O,X,X,O
IJZSOTL,O,O,O,O,X,O,O,X,O
IJZSOLT,O,O,O,X,X,O,X,X,O
IJZOTLS,X,X,X,O,X,X,O,X,X
IJZOTSL,X,O,X,O,X,O,O,X,O
IJZOLTS,X,X,O,O,X,X,X,X,O
IJZOLST,X,X,O,O,X,X,X,X,O
IJZOSTL,X,O,O,O,X,O,O,X,O
IJZOSLT,X,O,O,X,X,O,X,X,O
IJOTLSZ,X,X,X,O,X,X,X,X,X
IJOTLZS,X,X,X,X,X,X,O,X,X
IJOTSLZ,X,X,X,O,X,X,X,X,X
IJOTSZL,X,X,X,O,X,X,O,X,O
IJOTZLS,X,X,X,O,X,X,O,X,X
IJOTZSL,X,X,X,O,X,X,O,X,X
IJOLTSZ,X,X,O,X,X,X,X,X,X
IJOLTZS,X,X,X,X,X,X,X,X,X
IJOLSTZ,X,X,O,X,X,X,X,X,X
IJOLSZT,X,X,O,X,X,X,X,X,O
IJOLZTS,X,X,X,X,X,X,X,X,X
IJOLZST,X,X,O,X,X,X,X,X,X
IJOSTLZ,X,X,O,O,X,X,X,X,X
IJOSTZL,X,X,O,O,X,X,X,X,O
IJOSLTZ,X,X,O,X,X,X,X,X,X
IJOSLZT,X,X,O,X,X,X,X,X,O
IJOSZTL,X,X,O,O,X,X,X,X,O
IJOSZLT,X,X,O,X,X,X,X,X,O
IJOZTLS,X,X,X,O,X,X,O,X,X
IJOZTSL,X,X,X,O,X,X,O,X,O
IJOZLTS,X,X,X,O,X,X,X,X,O
IJOZLST,X,X,X,O,X,X,X,X,O
IJOZSTL,X,X,X,O,X,X,O,X,O
IJOZSLT,X,X,X,X,X,X,X,X,O
ISTLJZO,X,X,X,O,O,X,X,X,X
ISTLJOZ,X,X,X,O,X,O,X,X,X
ISTLZJO,X,X,X,X,O,X,X,X,X
ISTLZOJ,X,X,X,X,O,O,X,X,X
ISTLOJZ,X,X,X,X,X,O,X,X,X
ISTLOZJ,X,X,X,X,O,O,X,X,X
ISTJLZO,O,X,O,O,X,X,X,X,X
ISTJLOZ,X,X,O,O,X,X,X,X,X
ISTJZLO,O,O,O,O,O,X,X,X,X
ISTJZOL,O,O,O,O,O,X,X,X,X
ISTJOLZ,X,X,O,O,X,X,X,X,X
ISTJOZL,X,O,O,O,X,X,X,X,O
ISTZLJO,O,O,O,O,O,X,X,X,X
ISTZLOJ,O,X,X,O,O,X,X,X,X
ISTZJLO,O,O,O,O,O,X,X,X,X
ISTZJOL,O,O,O,O,O,X,X,X,X
ISTZOLJ,O,O,X,X,O,X,X,X,X
ISTZOJL,O,O,O,O,O,X,X,X,X
ISTOLJZ,X,X,X,O,X,O,X,X,X
ISTOLZJ,X,X,X,X,X,O,X,X,X
ISTOJLZ,X,X,O,O,X,X,X,X,X
ISTOJZL,X,O,O,O,X,X,X,X,O
ISTOZLJ,X,O,O,O,O,X,X,X,X
ISTOZJL,X,O,O,O,O,X,X,X,X
ISLTJZO,O,O,O,X,O,O,X,X,X
ISLTJOZ,X,O,O,X,X,O,X,X,X
ISLTZJO,O,O,O,X,O,O,X,O,X
ISLTZOJ,O,O,O,X,O,O,X,O,X
ISLTOJZ,X,O,O,X,X,O,X,X,X
ISLTOZJ,X,O,O,X,O,O,X,O,X
ISLJTZO,O,O,O,X,O,O,X,X,X
ISLJTOZ,X,O,O,X,X,O,X,X,X
ISLJZTO,O,O,O,X,X,O,X,O,X
ISLJZOT,O,O,O,X,X,O,X,O,X
ISLJOTZ,X,X,O,X,X,O,X,X,X
ISLJOZT,O,X,O,X,X,O,X,O,O
ISLZTJO,O,O,O,X,O,O,X,O,X
ISLZTOJ,O,O,O,X,O,O,X,O,X
ISLZJTO,O,O,O,X,X,O,X,O,X
ISLZJOT,O,O,O,X,X,O,X,O,X
ISLZOTJ,O,X,O,X,X,O,X,O,X
ISLZOJT,O,O,O,X,X,O,X,O,X
ISLOTJZ,X,X,O,X,X,O,X,X,X
ISLOTZJ,X,X,O,X,O,O,X,O,X
ISLOJTZ,X,X,O,X,X,O,X,X,X
ISLOJZT,O,X,O,X,X,O,X,O,O
ISLOZTJ,O,X,O,X,X,O,X,O,X
ISLOZJT,O,X,O,X,X,O,X,O,X
ISJTLZO,O,X,O,O,X,O,X,X,X
ISJTLOZ,X,X,O,O,X,O,X,X,X
ISJTZLO,O,O,O,O,X,X,X,X,X
ISJTZOL,O,O,O,O,X,X,X,X,X
ISJTOLZ,X,X,O,O,X,O,X,X,X
ISJTOZL,X,O,O,O,X,X,X,X,O
ISJLTZO,O,O,O,X,X,O,X,X,X
ISJLTOZ,X,O,O,X,X,O,X,X,X
ISJLZTO,O,O,O,X,X,O,X,X,X
ISJLZOT,O,O,O,X,X,O,X,X,X
ISJLOTZ,X,X,O,X,X,O,X,X,X
ISJLOZT,O,X,O,X,X,O,X,X,O
ISJZTLO,O,O,O,O,X,O,X,X,X
ISJZTOL,O,O,O,O,X,O,X,X,O
ISJZLTO,O,O,O,O,X,O,X,X,O
ISJZLOT,O,O,O,X,X,O,X,X,O
ISJZOTL,O,O,O,O,X,O,X,X,O
ISJZOLT,O,O,O,X,X,O,X,X,O
ISJOTLZ,X,X,O,O,X,O,X,X,X
ISJOTZL,X,X,O,O,X,X,X,X,O
ISJOLTZ,X,X,O,X,X,O,X,X,X
ISJOLZT,O,X,O,X,X,O,X,X,O
ISJOZTL,O,X,O,O,X,O,X,X,O
ISJOZLT,O,X,O,X,X,O,X,X,O
ISZTLJO,O,O,O,O,X,O,X,X,X
ISZTLOJ,O,X,O,O,X,O,X,X,X
ISZTJLO,O,O,O,O,X,X,X,X,X
ISZTJOL,O,O,O,O,X,O,X,X,O
ISZTOLJ,O,O,X,X,X,O,X,X,X
ISZTOJL,O,O,O,O,X,O,X,X,O
ISZLTJO,O,O,O,O,X,O,X,O,O
ISZLTOJ,O,O,O,O,X,O,X,O,O
ISZLJTO,O,O,O,O,X,O,X,O,O
ISZLJOT,O,O,O,X,X,O,X,O,O
ISZLOTJ,O,X,O,X,X,O,X,O,O
ISZLOJT,O,O,O,X,X,O,X,O,O
ISZJTLO,O,O,O,O,X,X,X,X,X
ISZJTOL,O,O,O,O,X,O,X,X,O
ISZJLTO,O,O,O,O,X,X,X,X,O
ISZJLOT,O,O,O,X,X,X,X,X,O
ISZJOTL,O,O,O,O,X,O,X,X,O
ISZJOLT,O,O,O,X,X,X,X,X,O
ISZOTLJ,O,X,O,O,X,O,X,X,X
ISZOTJL,O,X,O,O,X,O,X,X,O
ISZOLTJ,X,X,O,X,X,O,X,O,O
ISZOLJT,X,X,O,X,X,O,X,O,O
ISZOJTL,O,O,O,O,X,O,X,X,O
ISZOJLT,O,O,O,X,X,X,X,X,O
ISOTLJZ,X,X,X,O,X,O,X,X,X
ISOTLZJ,X,X,X,X,X,O,X,X,X
ISOTJLZ,X,X,O,O,X,X,X,X,X
ISOTJZL,X,X,O,O,X,X,X,X,O
ISOTZLJ,X,X,O,O,X,X,X,X,X
ISOTZJL,X,X,O,O,X,X,X,X,X
ISOLTJZ,X,X,O,X,X,O,X,X,X
ISOLTZJ,X,X,O,X,X,O,X,O,X
ISOLJTZ,X,X,O,X,X,O,X,X,X
ISOLJZT,X,X,O,X,X,O,X,O,O
ISOLZTJ,X,X,O,X,X,O,X,O,X
ISOLZJT,X,X,O,X,X,O,X,O,X
ISOJTLZ,X,X,O,O,X,O,X,X,X
ISOJTZL,X,X,O,O,X,X,X,X,O
ISOJLTZ,X,X,O,X,X,O,X,X,X
ISOJLZT,O,X,O,X,X,O,X,X,O
ISOJZTL,O,X,O,O,X,O,X,X,O
ISOJZLT,O,X,O,X,X,O,X,X,O
ISOZTLJ,O,X,O,O,X,O,X,X,X
ISOZTJL,O,X,O,O,X,O,X,X,O
ISOZLTJ,X,X,O,X,X,O,X,O,O
ISOZLJT,X,X,O,X,X,O,X,O,O
ISOZJTL,O,X,O,O,X,O,X,X,O
ISOZJLT,O,X,O,X,X,X,X,X,O
IZTLJSO,O,O,O,O,O,O,X,X,X
IZTLJOS,O,O,O,O,O,O,O,X,X
IZTLSJO,O,O,O,O,O,O,X,X,X
IZTLSOJ,O,O,O,O,O,O,X,X,X
IZTLOJS,O,O,O,O,O,O,O,X,X
IZTLOSJ,O,O,O,O,O,O,X,X,X
IZTJLSO,O,O,O,O,O,O,X,X,X
IZTJLOS,O,O,O,O,O,O,O,X,X
IZTJSLO,O,O,O,O,X,O,O,X,X
IZTJSOL,O,O,O,O,O,O,O,X,O
IZTJOLS,X,O,X,X,O,X,O,X,X
IZTJOSL,X,O,X,O,O,O,O,X,O
IZTSLJO,O,O,O,O,X,O,O,X,X
IZTSLOJ,O,X,O,O,X,O,O,X,X
IZTSJLO,O,O,O,O,X,O,O,X,X
IZTSJOL,O,O,O,O,O,O,O,X,O
IZTSOLJ,O,O,X,X,X,O,O,X,X
IZTSOJL,O,O,O,O,O,O,O,X,O
IZTOLJS,O,O,X,X,O,X,O,X,X
IZTOLSJ,O,O,X,X,O,X,X,X,X
IZTOJLS,O,O,X,X,O,X,O,X,X
IZTOJSL,O,O,X,O,O,O,O,X,O
IZTOSLJ,O,O,X,X,X,O,O,X,X
IZTOSJL,O,O,X,O,O,O,O,X,O
IZLTJSO,O,O,O,O,O,O,X,X,O
IZLTJOS,O,O,O,O,O,O,X,X,O
IZLTSJO,O,O,O,O,O,O,X,O,O
IZLTSOJ,O,O,O,O,O,O,X,O,O
IZLTOJS,O,O,O,O,O,O,X,X,O
IZLTOSJ,O,O,O,O,O,O,X,X,O
IZLJTSO,O,O,O,O,O,O,X,X,O
IZLJTOS,O,O,O,O,O,O,X,X,O
IZLJSTO,O,O,O,O,O,O,X,O,O
IZLJSOT,O,O,O,X,O,O,X,O,O
IZLJOTS,X,X,O,O,O,O,X,X,O
IZLJOST,O,O,O,O,O,O,X,X,O
IZLSTJO,O,O,O,O,O,O,X,O,O
IZLSTOJ,O,O,O,O,O,O,X,O,O
IZLSJTO,O,O,O,O,O,O,X,O,O
IZLSJOT,O,O,O,X,O,O,X,O,O
IZLSOTJ,O,X,O,X,O,O,X,O,O
IZLSOJT,O,O,O,X,O,O,X,O,O
IZLOTJS,O,X,O,O,O,O,X,X,O
IZLOTSJ,O,X,O,O,O,O,X,X,O
IZLOJTS,X,X,O,O,O,O,X,X,O
IZLOJST,O,O,O,O,O,O,X,X,O
IZLOSTJ,O,X,O,O,O,O,X,O,O
IZLOSJT,O,O,O,O,O,O,X,O,O
IZJTLSO,X,O,O,O,X,O,X,X,X
IZJTLOS,X,O,O,O,X,O,O,X,X
IZJTSLO,X,O,O,O,X,O,O,X,X
IZJTSOL,X,O,O,O,X,O,O,X,O
IZJTOLS,X,O,X,X,X,X,O,X,X
IZJTOSL,X,O,X,O,X,O,O,X,O
IZJLTSO,O,O,O,O,X,O,X,X,O
IZJLTOS,X,O,O,O,X,O,X,X,O
IZJLSTO,O,O,O,O,X,O,X,X,O
IZJLSOT,O,O,O,X,X,O,X,X,O
IZJLOTS,X,X,O,O,X,O,X,X,O
IZJLOST,O,O,O,O,X,O,X,X,O
IZJSTLO,O,O,O,O,X,O,O,X,X
IZJSTOL,O,O,O,O,X,O,O,X,O
IZJSLTO,O,O,O,O,X,O,X,X,O
IZJSLOT,O,O,O,X,X,O,X,X,O
IZJSOTL,O,O,O,O,X,O,O,X,O
IZJSOLT,O,O,O,X,X,O,X,X,O
IZJOTLS,X,X,X,O,X,X,O,X,X
IZJOTSL,X,O,X,O,X,O,O,X,O
IZJOLTS,X,X,O,O,X,X,X,X,O
IZJOLST,X,X,O,O,X,X,X,X,O
IZJOSTL,X,O,O,O,X,O,O,X,O
IZJOSLT,X,O,O,X,X,O,X,X,O
IZSTLJO,O,O,O,O,O,O,O,X,X
IZSTLOJ,O,X,O,O,O,O,O,X,X
IZSTJLO,O,O,O,O,O,O,O,X,X
IZSTJOL,O,O,O,O,O,O,O,X,O
IZSTOLJ,O,O,X,X,O,O,O,X,X
IZSTOJL,O,O,O,O,O,O,O,X,O
IZSLTJO,O,O,O,O,O,O,O,O,O
IZSLTOJ,O,O,O,O,O,O,O,O,O
IZSLJTO,O,O,O,O,O,O,O,O,O
IZSLJOT,O,O,O,X,O,O,O,O,O
IZSLOTJ,O,X,O,X,O,O,O,O,O
IZSLOJT,O,O,O,X,O,O,O,O,O
IZSJTLO,O,O,O,O,X,O,O,X,X
IZSJTOL,O,O,O,O,X,O,O,X,O
IZSJLTO,O,O,O,O,O,O,X,X,O
IZSJLOT,O,O,O,X,O,O,X,X,O
IZSJOTL,O,O,O,O,X,O,O,X,O
IZSJOLT,O,O,O,X,O,O,X,X,O
IZSOTLJ,O,X,X,O,O,O,O,X,X
IZSOTJL,O,X,O,O,O,O,O,X,O
IZSOLTJ,X,X,X,X,O,O,O,O,O
IZSOLJT,X,X,X,X,O,O,O,O,O
IZSOJTL,O,O,O,O,X,O,O,X,O
IZSOJLT,O,O,O,X,O,X,X,X,O
IZOTLJS,X,X,O,O,O,X,O,X,X
IZOTLSJ,X,X,O,O,O,X,X,X,X
IZOTJLS,X,X,O,O,O,X,O,X,X
IZOTJSL,X,X,O,O,O,O,O,X,O
IZOTSLJ,X,X,O,O,X,O,O,X,X
IZOTSJL,X,X,O,O,O,O,O,X,O
IZOLTJS,X,X,O,O,O,X,X,X,O
IZOLTSJ,X,X,O,O,O,O,X,X,O
IZOLJTS,X,X,O,O,O,X,X,X,O
IZOLJST,X,X,O,O,O,O,X,X,O
IZOLSTJ,X,X,O,O,O,O,X,X,O
IZOLSJT,X,X,O,O,O,O,X,X,O
IZOJTLS,X,X,X,O,X,X,O,X,X
IZOJTSL,X,O,X,O,X,O,O,X,O
IZOJLTS,X,X,O,O,X,X,X,X,O
IZOJLST,X,X,O,O,X,X,X,X,O
IZOJSTL,X,O,O,O,X,O,O,X,O
IZOJSLT,X,O,O,X,X,O,X,X,O
IZOSTLJ,X,X,O,O,O,O,O,X,X
IZOSTJL,X,X,O,O,O,O,O,X,O
IZOSLTJ,X,X,O,X,O,O,O,X,O
IZOSLJT,X,X,O,X,O,O,O,X,O
IZOSJTL,X,O,O,O,X,O,O,X,O
IZOSJLT,X,O,O,X,O,X,X,X,O
IOTLJSZ,X,X,X,O,O,X,X,X,X
IOTLJZS,X,X,X,X,O,X,O,X,X
IOTLSJZ,X,X,X,O,O,X,X,X,X
IOTLSZJ,X,X,X,X,X,X,X,X,X
IOTLZJS,X,X,X,X,O,X,X,X,X
IOTLZSJ,X,X,X,X,X,X,X,X,X
IOTJLSZ,X,X,X,O,O,X,X,X,X
IOTJLZS,X,X,X,X,O,X,O,X,X
IOTJSLZ,X,X,X,O,O,X,X,X,X
IOTJSZL,X,X,X,O,X,X,O,X,O
IOTJZLS,X,X,X,O,O,X,O,X,X
IOTJZSL,X,X,X,O,X,X,O,X,X
IOTSLJZ,X,X,X,O,X,X,X,X,X
IOTSLZJ,X,X,X,X,X,X,X,X,X
IOTSJLZ,X,X,X,O,O,X,X,X,X
IOTSJZL,X,X,X,O,X,X,O,X,O
IOTSZLJ,X,X,X,O,X,X,X,X,X
IOTSZJL,X,X,X,O,X,X,X,X,X
IOTZLJS,X,X,X,O,X,X,O,X,X
IOTZLSJ,X,X,X,O,X,X,X,X,X
IOTZJLS,X,X,X,O,O,X,O,X,X
IOTZJSL,X,X,X,O,X,X,O,X,X
IOTZSLJ,X,X,X,O,X,X,O,X,X
IOTZSJL,X,X,X,O,X,X,O,X,X
IOLTJSZ,X,X,O,X,O,X,X,X,X
IOLTJZS,X,X,X,X,O,X,X,X,X
IOLTSJZ,X,X,O,X,O,O,X,X,X
IOLTSZJ,X,X,O,X,X,O,X,O,X
IOLTZJS,X,X,O,X,O,X,X,X,X
IOLTZSJ,X,X,O,X,O,O,X,X,X
IOLJTSZ,X,X,O,X,O,X,X,X,X
IOLJTZS,X,X,X,X,O,X,X,X,X
IOLJSTZ,X,X,O,X,X,O,X,X,X
IOLJSZT,X,X,O,X,X,O,X,O,O
IOLJZTS,X,X,O,X,O,X,X,X,X
IOLJZST,X,X,O,X,O,O,X,X,X
IOLSTJZ,X,X,O,X,O,O,X,X,X
IOLSTZJ,X,X,O,X,X,O,X,O,X
IOLSJTZ,X,X,O,X,X,O,X,X,X
IOLSJZT,X,X,O,X,X,O,X,O,O
IOLSZTJ,X,X,O,X,O,O,X,O,X
IOLSZJT,X,X,O,X,O,O,X,O,X
IOLZTJS,X,X,O,X,O,X,X,X,X
IOLZTSJ,X,X,O,X,O,O,X,X,X
IOLZJTS,X,X,O,X,O,X,X,X,X
IOLZJST,X,X,O,X,O,O,X,X,X
IOLZSTJ,X,X,O,X,O,O,X,O,X
IOLZSJT,X,X,O,X,O,O,X,O,X
IOJTLSZ,X,X,X,O,X,X,X,X,X
IOJTLZS,X,X,X,X,X,X,O,X,X
IOJTSLZ,X,X,X,O,X,X,X,X,X
IOJTSZL,X,X,X,O,X,X,O,X,O
IOJTZLS,X,X,X,O,X,X,O,X,X
IOJTZSL,X,X,X,O,X,X,O,X,X
IOJLTSZ,X,X,O,X,X,X,X,X,X
IOJLTZS,X,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,O,X,X,X,X,X,X
IOJLSZT,X,X,O,X,X,X,X,X,O
IOJLZTS,X,X,X,X,X,X,X,X,X
IOJLZST,X,X,O,X,X,X,X,X,X
IOJSTLZ,X,X,O,O,X,X,X,X,X
IOJSTZL,X,X,O,O,X,X,X,X,O
IOJSLTZ,X,X,O,X,X,X,X,X,X
IOJSLZT,X,X,O,X,X,X,X,X,O
IOJSZTL,X,X,O,O,X,X,X,X,O
IOJSZLT,X,X,O,X,X,X,X,X,O
IOJZTLS,X,X,X,O,X,X,O,X,X
IOJZTSL,X,X,X,O,X,X,O,X,O
IOJZLTS,X,X,X,O,X,X,X,X,O
IOJZLST,X,X,X,O,X,X,X,X,O
IOJZSTL,X,X,X,O,X,X,O,X,O
IOJZSLT,X,X,X,X,X,X,X,X,O
IOSTLJZ,X,X,X,O,X,O,X,X,X
IOSTLZJ,X,X,X,X,X,O,X,X,X
IOSTJLZ,X,X,O,O,X,X,X,X,X
IOSTJZL,X,X,O,O,X,X,X,X,O
IOSTZLJ,X,X,O,O,X,X,X,X,X
IOSTZJL,X,X,O,O,X,X,X,X,X
IOSLTJZ,X,X,O,X,X,O,X,X,X
IOSLTZJ,X,X,O,X,X,O,X,O,X
IOSLJTZ,X,X,O,X,X,O,X,X,X
IOSLJZT,X,X,O,X,X,O,X,O,O
IOSLZTJ,X,X,O,X,X,O,X,O,X
IOSLZJT,X,X,O,X,X,O,X,O,X
IOSJTLZ,X,X,O,O,X,O,X,X,X
IOSJTZL,X,X,O,O,X,X,X,X,O
IOSJLTZ,X,X,O,X,X,O,X,X,X
IOSJLZT,X,X,O,X,X,O,X,X,O
IOSJZTL,X,X,O,O,X,O,X,X,O
IOSJZLT,X,X,O,X,X,O,X,X,O
IOSZTLJ,X,X,O,O,X,O,X,X,X
IOSZTJL,X,X,O,O,X,O,X,X,O
IOSZLTJ,X,X,O,X,X,O,X,O,O
IOSZLJT,X,X,O,X,X,O,X,O,O
IOSZJTL,X,X,O,O,X,O,X,X,O
IOSZJLT,X,X,O,X,X,X,X,X,O
IOZTLJS,X,X,O,O,O,X,O,X,X
IOZTLSJ,X,X,O,O,O,X,X,X,X
IOZTJLS,X,X,O,O,O,X,O,X,X
IOZTJSL,X,X,O,O,O,X,O,X,O
IOZTSLJ,X,X,O,O,X,O,O,X,X
IOZTSJL,X,X,O,O,O,O,O,X,O
IOZLTJS,X,X,O,O,O,X,X,X,O
IOZLTSJ,X,X,O,O,O,O,X,X,O
IOZLJTS,X,X,O,O,O,X,X,X,O
IOZLJST,X,X,O,O,O,O,X,X,O
IOZLSTJ,X,X,O,O,O,O,X,X,O
IOZLSJT,X,X,O,O,O,O,X,X,O
IOZJTLS,X,X,X,O,X,X,O,X,X
IOZJTSL,X,X,X,O,X,X,O,X,O
IOZJLTS,X,X,O,O,X,X,X,X,O
IOZJLST,X,X,O,O,X,X,X,X,O
IOZJSTL,X,X,O,O,X,O,O,X,O
IOZJSLT,X,X,O,X,X,X,X,X,O
IOZSTLJ,X,X,O,O,O,O,O,X,X
IOZSTJL,X,X,O,O,O,O,O,X,O
IOZSLTJ,X,X,O,X,O,O,O,X,O
IOZSLJT,X,X,O,X,O,O,O,X,O
IOZSJTL,X,X,O,O,X,O,O,X,O
IOZSJLT,X,X,O,X,O,X,X,X,O
LTIJSZO,O,O,O,O,O,O,X,X,X
LTIJSOZ,O,O,O,O,O,O,X,X,X
LTIJZSO,O,O,O,X,O,O,X,X,X
LTIJZOS,O,O,O,X,O,O,O,X,X
LTIJOSZ,O,O,O,X,O,X,X,X,X
LTIJOZS,O,O,X,X,O,X,O,X,X
LTISJZO,O,O,O,O,O,O,X,X,X
LTISJOZ,O,O,O,O,O,O,X,X,X
LTISZJO,O,O,O,X,O,O,X,O,X
LTISZOJ,O,O,O,X,O,O,X,O,X
LTISOJZ,O,O,O,X,O,O,X,X,X
LTISOZJ,O,O,O,X,O,O,X,O,X
LTIZJSO,O,O,O,X,O,O,X,X,X
LTIZJOS,O,O,O,X,O,O,O,X,X
LTIZSJO,O,O,O,X,O,O,X,O,X
LTIZSOJ,O,O,O,X,O,O,X,O,X
LTIZOJS,O,O,O,X,O,O,O,X,X
LTIZOSJ,O,O,O,X,O,O,X,X,X
LTIOJSZ,O,O,O,X,O,X,X,X,X
LTIOJZS,O,O,X,X,O,X,O,X,X
LTIOSJZ,O,O,O,X,O,O,X,X,X
LTIOSZJ,O,O,O,X,O,O,X,O,X
LTIOZJS,O,O,O,X,O,X,X,X,X
LTIOZSJ,O,O,O,X,O,O,X,X,X
LTJISZO,O,O,O,O,O,O,X,X,X
LTJISOZ,O,O,O,O,O,O,X,X,X
LTJIZSO,O,O,O,X,O,O,X,X,X
LTJIZOS,O,O,O,X,O,O,O,X,X
LTJIOSZ,O,O,O,X,O,X,X,X,X
LTJIOZS,O,O,X,X,O,X,O,X,X
LTJSIZO,O,O,O,O,O,O,X,X,X
LTJSIOZ,O,O,O,O,O,O,X,X,X
LTJSZIO,O,O,X,O,O,O,X,X,X
LTJSZOI,O,O,X,O,O,O,X,X,X
LTJSOIZ,O,O,X,O,O,O,X,X,X
LTJSOZI,O,O,X,O,X,O,X,X,X
LTJZISO,O,O,O,O,O,O,X,X,X
LTJZIOS,O,O,O,O,O,O,O,X,X
LTJZSIO,O,O,O,O,O,O,O,X,X
LTJZSOI,O,O,O,O,O,O,O,X,X
LTJZOIS,O,O,O,O,O,O,O,X,X
LTJZOSI,O,O,O,O,O,O,O,X,X
LTJOISZ,O,O,O,O,O,X,X,X,X
LTJOIZS,O,O,X,X,O,X,O,X,X
LTJOSIZ,O,O,O,O,O,X,X,X,X
LTJOSZI,O,O,X,O,X,X,X,X,X
LTJOZIS,O,O,X,O,O,X,O,X,X
LTJOZSI,O,O,X,O,X,X,O,X,X
LTSIJZO,O,O,O,O,O,O,X,X,X
LTSIJOZ,O,O,O,O,O,O,X,X,X
LTSIZJO,O,O,O,X,O,O,X,O,X
LTSIZOJ,O,O,O,X,O,O,X,O,X
LTSIOJZ,O,O,O,X,O,O,X,X,X
LTSIOZJ,O,O,O,X,O,O,X,O,X
LTSJIZO,O,O,O,O,O,O,X,X,X
LTSJIOZ,O,O,O,O,O,O,X,X,X
LTSJZIO,O,O,X,O,O,O,X,X,X
LTSJZOI,O,O,X,O,O,O,X,X,X
LTSJOIZ,O,O,X,O,O,O,X,X,X
LTSJOZI,O,O,X,O,X,O,X,X,X
LTSZIJO,O,O,O,O,O,O,X,O,X
LTSZIOJ,O,O,O,O,O,O,X,O,X
LTSZJIO,O,O,O,O,O,O,X,O,X
LTSZJOI,O,O,O,O,O,O,X,O,X
LTSZOIJ,O,O,O,O,O,O,X,O,X
LTSZOJI,O,O,O,O,O,O,X,O,X
LTSOIJZ,O,O,O,O,O,O,X,X,X
LTSOIZJ,O,O,O,X,O,O,X,O,X
LTSOJIZ,O,O,O,O,O,O,X,X,X
LTSOJZI,O,O,X,O,X,O,X,X,X
LTSOZIJ,O,O,O,O,O,O,X,O,X
LTSOZJI,O,O,O,O,O,O,X,O,X
LTZIJSO,O,O,O,O,O,O,X,X,X
LTZIJOS,O,O,O,O,O,O,O,X,X
LTZISJO,O,O,O,O,O,O,X,O,X
LTZISOJ,O,O,O,O,O,O,X,O,X
LTZIOJS,O,O,O,O,O,O,O,X,X
LTZIOSJ,O,O,O,O,O,O,X,X,X
LTZJISO,O,O,O,O,O,O,X,X,X
LTZJIOS,O,O,O,O,O,O,O,X,X
