sequence,v115@7gB8HeB8GeD8CeG8BeG8JeO/IvhFxbBTdB0hBfqBll?BCqB,v115@7gB8HeB8GeD8CeG8BeG8JeO/IvhFxbBTdBFgB0hBqp?B3qB,v115@7gB8HeB8GeD8CeG8BeG8Jex6IvhFygBGdBzhBlkB3l?B0pB,v115@7gB8HeB8GeD8CeG8BeG8JeT6IvhF2gBRcBciBSmBlk?BXqB,v115@7gB8HeB8GeD8CeG8BeG8JeR7IvhFqhBTdBmgBlkBcq?B/pB,v115@7gB8HeB8GeD8CeG8BeG8JeT6IvhFOgBxcBFhBXiB6p?BcqB,v115@7gB8HeB8GeD8CeG8BeG8Jem7IvhFqhBTdBxfBlkB3l?B0pB,v115@7gB8HeB8GeD8CeG8BeG8Jei6IvhFRcBciB3fBGhBll?BzpB,v115@7gB8HeB8GeD8CeG8BeG8Je2/IvhFCcBxhBXiB0kBll?BzpB,v115@7gB8HeB8GeD8CeG8BeG8JeO/IvhF8fBCcBxhBXiBll?BzpB,v115@7gB8HeB8GeD8CeG8BeG8JeR8IvhFciBFgBThBSqB/p?BmpB,v115@7gB8HeB8GeD8CeG8BeG8Je06IvhFShBTdB/kBeqBRr?BlqB,v115@7gB8HeB8GeD8CeG8BeG8Jem7IvhFSiBxfBzhBlkB3l?B0pB,v115@7gB8HeB8GeD8CeG8BeG8Jel7IvhFGdB/kBZlB8lBzm?B6pB
JLOZSIT,O,O,X,O,X,O,X,O,X,X,O,X,X,O
JSTILZO,X,X,O,O,X,X,O,O,X,X,X,O,O,X
JSTILOZ,X,X,O,O,X,X,O,X,X,X,X,O,O,X
JSTIZLO,O,X,X,O,X,O,O,O,X,X,X,O,O,X
JSTIZOL,O,X,X,O,X,O,X,O,X,X,X,O,X,X
JSTIOLZ,X,X,X,O,X,X,O,X,X,X,X,O,O,X
JSTIOZL,X,X,X,O,X,X,X,X,X,X,X,O,X,O
JSTLIZO,X,O,O,O,X,X,O,O,X,X,X,X,O,X
JSTLIOZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JSTLZIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
JSTLZOI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
JSTLOIZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JSTLOZI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
JSTZILO,O,X,X,O,X,O,O,O,X,X,X,O,O,X
JSTZIOL,O,X,X,O,X,O,X,O,X,X,X,O,X,X
JSTZLIO,O,X,O,O,X,O,O,O,X,X,X,X,O,X
JSTZLOI,O,X,X,O,X,O,O,O,X,X,X,X,X,X
JSTZOIL,O,X,X,O,X,O,X,O,X,X,X,O,X,X
JSTZOLI,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JSTOILZ,X,X,O,O,X,X,O,X,X,X,X,O,O,X
JSTOIZL,X,X,O,O,X,X,X,X,X,X,X,O,X,O
JSTOLIZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JSTOLZI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
JSTOZIL,O,X,O,O,X,X,X,O,X,X,X,O,X,O
JSTOZLI,O,X,O,O,X,X,X,O,X,X,X,X,X,X
JSITLZO,X,X,O,X,X,X,O,X,X,X,X,O,O,X
JSITLOZ,X,X,O,X,X,X,O,X,X,X,X,O,O,X
JSITZLO,O,X,X,X,X,O,O,X,X,X,X,O,O,X
JSITZOL,O,X,X,X,X,O,X,X,X,X,X,O,X,X
JSITOLZ,X,X,X,X,X,X,O,X,X,X,X,O,O,X
JSITOZL,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JSILTZO,X,O,O,X,X,X,O,X,X,X,X,O,O,X
JSILTOZ,X,O,O,X,X,X,O,X,X,X,X,O,O,X
JSILZTO,X,O,O,X,X,O,X,O,X,X,X,O,O,X
JSILZOT,X,O,O,X,X,O,O,O,X,X,X,O,O,X
JSILOTZ,X,O,O,X,X,X,O,X,X,X,X,O,O,X
JSILOZT,X,X,O,X,X,O,O,X,X,X,X,O,O,O
JSIZTLO,O,X,X,X,X,O,X,O,X,X,X,O,X,X
JSIZTOL,O,X,X,X,X,X,X,X,X,X,X,O,X,O
JSIZLTO,X,X,X,X,X,O,X,O,X,X,X,O,O,X
JSIZLOT,O,X,X,X,X,O,O,O,X,X,X,O,O,X
JSIZOTL,O,X,X,X,X,X,X,X,X,X,X,O,X,O
JSIZOLT,O,X,X,X,X,O,X,O,X,X,X,O,X,O
JSIOTLZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIOTZL,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JSIOLTZ,X,O,X,X,X,X,O,X,X,X,X,O,O,X
JSIOLZT,X,X,X,X,X,X,O,X,X,X,X,O,O,O
JSIOZTL,O,X,X,X,X,X,X,X,X,X,X,O,X,O
JSIOZLT,O,X,X,X,X,X,X,X,X,O,X,O,X,O
JSLTIZO,X,O,O,O,X,X,O,O,X,X,X,X,O,X
JSLTIOZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JSLTZIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
JSLTZOI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
JSLTOIZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JSLTOZI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
JSLITZO,X,O,O,O,X,X,O,X,X,X,X,O,O,X
JSLITOZ,X,O,O,O,X,X,O,X,X,X,X,O,O,X
JSLIZTO,X,O,O,O,X,O,X,O,X,X,X,O,O,X
JSLIZOT,X,O,O,O,X,O,O,O,X,X,X,O,O,X
JSLIOTZ,X,O,O,X,X,X,O,X,X,X,X,O,O,X
JSLIOZT,X,X,O,X,X,O,O,X,X,X,X,O,O,O
JSLZTIO,O,O,O,O,O,O,O,O,X,X,X,X,O,X
JSLZTOI,O,O,X,O,O,O,O,O,X,X,X,X,X,X
JSLZITO,X,O,O,O,X,O,X,O,X,X,X,O,O,X
JSLZIOT,O,O,O,O,X,O,O,O,X,X,X,O,O,X
JSLZOTI,O,O,X,O,O,O,O,O,X,X,X,X,X,X
JSLZOIT,O,O,X,O,X,O,O,O,X,X,X,O,X,X
JSLOTIZ,X,O,O,O,X,X,O,X,X,X,X,X,O,X
JSLOTZI,X,O,O,O,X,X,O,X,X,X,X,X,X,X
JSLOITZ,X,O,O,X,X,X,O,X,X,X,X,O,O,X
JSLOIZT,X,X,O,X,X,O,O,X,X,X,X,O,O,O
JSLOZTI,O,O,O,O,O,O,O,O,X,X,X,X,X,X
JSLOZIT,O,O,O,O,X,O,O,O,X,X,X,O,X,O
JSZTILO,O,X,X,O,X,O,O,O,X,X,X,O,O,X
JSZTIOL,O,X,X,O,X,O,X,O,X,X,X,O,X,X
JSZTLIO,O,X,O,O,O,O,O,O,X,X,X,X,O,X
JSZTLOI,O,X,X,O,O,O,O,O,X,X,X,X,X,X
JSZTOIL,O,X,X,O,X,O,X,O,X,X,X,O,X,X
JSZTOLI,O,X,X,O,O,O,X,O,X,X,X,X,X,X
JSZITLO,O,X,X,O,X,O,X,O,X,X,X,O,X,X
JSZITOL,O,X,X,O,X,O,X,O,X,X,X,O,X,O
JSZILTO,X,O,X,O,X,O,X,O,X,X,X,O,O,X
JSZILOT,O,O,X,O,X,O,O,O,X,X,X,O,O,X
JSZIOTL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JSZIOLT,O,O,X,X,X,O,X,O,X,X,X,O,X,O
JSZLTIO,O,O,O,O,O,O,O,O,X,X,X,X,O,X
JSZLTOI,O,O,X,O,O,O,O,O,X,X,X,X,X,X
JSZLITO,X,O,O,O,X,O,X,O,X,X,X,O,O,X
JSZLIOT,O,O,O,O,X,O,O,O,X,X,X,O,O,X
JSZLOTI,O,O,X,O,O,O,O,O,X,X,X,X,X,X
JSZLOIT,O,O,X,O,X,O,O,O,X,X,X,O,X,X
JSZOTIL,O,X,X,X,X,O,X,O,X,X,X,O,X,O
JSZOTLI,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JSZOITL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JSZOILT,O,O,X,X,X,O,X,O,X,X,X,O,X,O
JSZOLTI,O,O,X,X,O,O,X,O,X,X,X,X,X,X
JSZOLIT,O,O,X,X,X,O,X,O,X,X,X,O,X,O
JSOTILZ,X,X,O,X,X,X,O,X,X,X,X,O,O,X
JSOTIZL,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JSOTLIZ,X,O,O,X,X,X,O,X,X,X,X,X,O,X
JSOTLZI,X,O,O,X,X,X,O,O,X,X,X,X,X,X
JSOTZIL,O,X,O,X,X,X,X,O,X,X,X,O,X,O
JSOTZLI,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JSOITLZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JSOITZL,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JSOILTZ,X,O,O,X,X,X,O,X,X,X,X,O,O,X
JSOILZT,X,X,O,X,X,X,O,O,X,X,X,O,O,O
JSOIZTL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JSOIZLT,O,X,X,X,X,X,X,O,X,O,X,O,X,O
JSOLTIZ,X,O,O,X,X,X,O,X,X,X,X,X,O,X
JSOLTZI,X,O,O,X,X,X,O,O,X,X,X,X,X,X
JSOLITZ,X,O,O,X,X,X,O,X,X,X,X,O,O,X
JSOLIZT,X,X,O,X,X,X,O,O,X,X,X,O,O,O
JSOLZTI,O,O,O,X,O,X,O,O,X,X,X,X,X,X
JSOLZIT,O,O,O,X,X,X,O,O,X,X,X,O,X,O
JSOZTIL,O,X,O,X,X,X,X,O,X,O,X,O,X,O
JSOZTLI,O,X,O,X,O,X,X,O,X,O,X,X,X,X
JSOZITL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JSOZILT,O,O,X,X,X,X,X,O,X,O,X,O,X,O
JSOZLTI,O,O,O,X,O,X,X,O,X,X,X,X,X,X
JSOZLIT,O,O,O,X,X,X,X,O,X,X,X,O,X,O
JZTILSO,X,X,X,O,O,O,X,O,O,X,X,X,X,X
JZTILOS,X,X,X,O,O,O,X,X,O,X,X,X,X,X
JZTISLO,O,X,X,X,X,O,X,O,O,X,X,X,X,X
JZTISOL,O,X,X,O,X,O,X,O,X,X,X,X,X,O
JZTIOLS,X,O,X,O,O,O,X,X,O,X,X,X,X,O
JZTIOSL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
JZTLISO,X,O,X,O,O,O,X,O,O,X,X,X,X,X
JZTLIOS,X,O,X,O,O,O,X,X,O,X,X,X,X,X
JZTLSIO,O,O,X,O,O,O,X,O,O,X,X,X,X,X
JZTLSOI,O,O,X,O,O,O,X,O,X,X,X,X,X,X
JZTLOIS,X,O,X,O,O,O,X,X,O,X,X,X,X,X
JZTLOSI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZTSILO,O,X,X,X,X,O,X,O,O,X,X,X,X,X
JZTSIOL,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JZTSLIO,O,X,O,O,O,O,X,O,O,X,X,X,X,X
JZTSLOI,O,X,X,O,O,O,X,O,X,X,X,X,X,X
JZTSOIL,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JZTSOLI,O,X,X,O,O,O,X,O,X,X,X,X,X,X
JZTOILS,X,O,X,O,O,O,X,X,O,X,X,X,X,O
JZTOISL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
JZTOLIS,X,O,X,O,O,O,X,X,O,X,X,X,X,O
JZTOLSI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZTOSIL,O,X,O,O,X,O,X,O,X,X,X,X,X,O
JZTOSLI,O,X,O,O,O,O,X,O,X,X,X,X,X,X
JZITLSO,X,X,X,X,O,O,X,O,O,X,X,X,X,X
JZITLOS,X,X,X,O,O,O,X,X,O,X,X,X,X,X
JZITSLO,O,X,X,X,X,O,X,O,O,X,X,X,X,X
JZITSOL,O,X,X,O,X,O,X,O,X,X,X,X,X,O
JZITOLS,X,O,X,O,O,O,X,X,O,X,X,X,X,O
JZITOSL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
JZILTSO,X,O,X,O,O,O,X,O,X,X,X,X,X,X
JZILTOS,X,O,X,O,O,O,X,X,X,X,X,X,X,X
JZILSTO,X,O,X,O,X,O,X,O,X,X,X,O,X,X
JZILSOT,X,O,X,O,X,O,X,O,X,X,X,O,X,X
JZILOTS,X,O,X,O,O,O,X,X,X,X,X,X,X,X
JZILOST,O,O,X,O,X,O,X,O,X,X,X,O,X,X
JZISTLO,O,X,X,O,X,O,X,O,X,X,X,O,X,X
JZISTOL,O,X,X,O,X,O,X,O,X,X,X,O,X,O
JZISLTO,X,O,X,O,X,O,X,O,X,X,X,O,X,X
JZISLOT,O,O,X,O,X,O,X,O,X,X,X,O,X,X
JZISOTL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JZISOLT,O,O,X,X,X,O,X,O,X,X,X,O,X,O
JZIOTLS,X,O,X,X,O,X,X,O,X,O,X,X,X,O
JZIOTSL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
JZIOLTS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JZIOLST,O,O,X,X,X,X,X,O,X,O,O,O,X,O
JZIOSTL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JZIOSLT,O,O,X,X,X,X,X,O,X,O,X,O,X,O
JZLTISO,X,O,X,O,O,O,X,O,O,X,X,X,X,X
JZLTIOS,X,O,X,O,O,O,X,X,O,X,X,X,X,X
JZLTSIO,O,O,X,O,O,O,X,O,O,X,X,X,X,X
JZLTSOI,O,O,X,O,O,O,X,O,X,X,X,X,X,X
JZLTOIS,X,O,X,O,O,O,X,X,O,X,X,X,X,X
JZLTOSI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZLITSO,X,O,X,O,O,O,X,O,X,X,X,X,X,X
JZLITOS,X,O,X,O,O,O,X,X,X,X,X,X,X,X
JZLISTO,X,O,X,O,X,O,X,O,X,X,X,X,X,X
JZLISOT,X,O,X,O,X,O,X,O,X,X,X,X,X,X
JZLIOTS,X,O,X,O,O,O,X,X,X,X,X,X,X,X
JZLIOST,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JZLSTIO,O,O,X,O,O,O,X,O,X,X,X,X,X,X
JZLSTOI,O,O,X,O,O,O,X,O,X,X,O,X,X,X
JZLSITO,X,O,X,O,X,O,X,O,X,X,X,X,X,X
JZLSIOT,O,O,X,O,X,O,X,O,X,X,X,X,X,X
JZLSOTI,O,O,X,O,O,O,X,O,X,X,O,X,X,X
JZLSOIT,O,O,X,O,X,O,X,O,X,X,O,X,X,X
JZLOTIS,X,O,X,O,O,O,X,X,X,X,X,X,X,X
JZLOTSI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
JZLOITS,X,O,X,O,O,O,X,X,X,X,X,X,X,X
JZLOIST,O,O,X,O,X,O,X,O,X,X,O,X,X,X
JZLOSTI,O,O,X,O,O,O,X,O,X,X,O,X,X,X
JZLOSIT,O,O,X,O,X,O,X,O,X,X,O,X,X,X
JZSTILO,O,X,X,O,X,O,X,O,O,X,X,O,X,X
JZSTIOL,O,X,X,O,X,O,X,O,X,X,X,O,X,X
JZSTLIO,O,X,O,O,O,O,X,O,O,X,X,X,X,X
JZSTLOI,O,X,X,O,O,O,X,O,X,X,X,X,X,X
JZSTOIL,O,X,X,O,X,O,X,O,X,X,X,O,X,X
JZSTOLI,O,X,X,O,O,O,X,O,X,X,X,X,X,X
JZSITLO,O,X,X,O,X,O,X,O,X,X,X,O,X,X
JZSITOL,O,X,X,O,X,O,X,O,X,X,X,O,X,O
JZSILTO,X,O,X,O,X,O,X,O,X,X,X,O,X,X
JZSILOT,O,O,X,O,X,O,X,O,X,X,X,O,X,X
JZSIOTL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JZSIOLT,O,O,X,X,X,O,X,O,X,X,X,O,X,O
JZSLTIO,O,O,O,O,O,O,X,O,X,X,X,X,X,X
JZSLTOI,O,O,X,O,O,O,X,O,X,X,X,X,X,X
JZSLITO,X,O,O,O,X,O,X,O,X,X,X,O,X,X
JZSLIOT,O,O,O,O,X,O,X,O,X,X,X,O,X,X
JZSLOTI,O,O,X,O,O,O,X,O,X,X,X,X,X,X
JZSLOIT,O,O,X,O,X,O,X,O,X,X,X,O,X,X
JZSOTIL,O,X,X,X,X,O,X,O,X,X,X,O,X,O
JZSOTLI,O,X,X,X,O,O,X,O,X,X,X,X,X,X
JZSOITL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JZSOILT,O,O,X,X,X,O,X,O,X,X,X,O,X,O
JZSOLTI,O,O,X,X,O,O,X,O,X,X,X,X,X,X
JZSOLIT,O,O,X,X,X,O,X,O,X,X,X,O,X,O
JZOTILS,X,O,X,X,O,O,X,O,O,O,X,X,X,O
JZOTISL,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JZOTLIS,X,O,X,X,O,O,X,O,O,O,X,X,X,O
JZOTLSI,O,O,X,X,O,O,X,O,X,O,X,X,X,X
JZOTSIL,O,X,O,X,X,O,X,O,X,O,X,X,X,O
JZOTSLI,O,X,O,X,O,O,X,O,X,O,X,X,X,X
JZOITLS,X,O,X,X,O,X,X,O,X,O,X,X,X,O
JZOITSL,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JZOILTS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JZOILST,O,O,X,X,X,X,X,O,X,O,O,O,X,O
JZOISTL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JZOISLT,O,O,X,X,X,X,X,O,X,O,X,O,X,O
JZOLTIS,X,O,X,X,O,O,X,X,X,O,X,X,X,O
JZOLTSI,O,O,X,X,O,O,X,X,X,O,X,X,X,X
JZOLITS,X,O,X,X,O,O,X,X,X,O,X,X,X,O
JZOLIST,O,O,X,X,X,O,X,O,X,O,O,X,X,O
JZOLSTI,O,O,X,X,O,O,X,O,X,X,O,X,X,X
JZOLSIT,O,O,X,X,X,O,X,O,X,X,O,X,X,O
JZOSTIL,O,X,O,X,X,O,X,O,X,O,X,O,X,O
JZOSTLI,O,X,O,X,O,O,X,O,X,O,X,X,X,X
JZOSITL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JZOSILT,O,O,X,X,X,O,X,O,X,O,X,O,X,O
JZOSLTI,O,O,O,X,O,O,X,O,X,X,X,X,X,X
JZOSLIT,O,O,O,X,X,O,X,O,X,X,X,O,X,O
JOTILSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOTILZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOTISLZ,X,X,O,X,X,X,X,O,X,X,X,O,X,X
JOTISZL,X,X,O,X,X,X,X,O,X,X,X,O,X,O
JOTIZLS,X,X,X,X,X,X,X,O,X,O,X,X,X,O
JOTIZSL,X,X,X,X,X,X,X,O,X,O,X,X,X,O
JOTLISZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOTLIZS,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JOTLSIZ,X,O,O,X,X,X,O,O,X,X,X,X,X,X
JOTLSZI,X,O,O,X,X,X,O,O,X,X,X,X,X,X
JOTLZIS,X,O,X,X,O,X,X,O,X,O,X,X,X,X
JOTLZSI,X,O,X,X,O,X,X,O,X,O,X,X,X,X
JOTSILZ,X,X,O,X,X,X,O,O,X,X,X,O,X,X
JOTSIZL,X,X,O,X,X,X,X,O,X,X,X,O,X,O
JOTSLIZ,X,O,O,X,X,X,O,O,X,X,X,X,X,X
JOTSLZI,X,O,O,X,X,X,O,O,X,X,X,X,X,X
JOTSZIL,O,X,O,X,X,X,X,O,X,X,X,O,X,O
JOTSZLI,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOTZILS,X,O,X,X,O,X,X,O,X,O,X,X,X,O
JOTZISL,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JOTZLIS,X,O,X,X,O,X,X,O,X,O,X,X,X,O
JOTZLSI,O,O,X,X,O,X,X,O,X,O,X,X,X,X
JOTZSIL,O,X,O,X,X,X,X,O,X,O,X,X,X,O
JOTZSLI,O,X,O,X,O,X,X,O,X,O,X,X,X,X
JOITLSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOITLZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JOITSLZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOITSZL,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JOITZLS,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JOITZSL,X,X,X,X,X,X,X,X,X,O,X,X,X,O
JOILTSZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOILTZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILSTZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOILSZT,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JOILZTS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JOILZST,X,O,X,X,X,X,X,X,X,O,X,O,X,O
JOISTLZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOISTZL,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JOISLTZ,X,O,O,X,X,X,X,X,X,X,X,O,X,X
JOISLZT,X,X,O,X,X,X,X,O,X,X,X,O,X,O
JOISZTL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JOISZLT,O,X,X,X,X,X,X,O,X,O,X,O,X,O
JOIZTLS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JOIZTSL,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JOIZLTS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JOIZLST,O,O,X,X,X,X,X,O,X,O,X,O,X,O
JOIZSTL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JOIZSLT,O,O,X,X,X,X,X,O,X,O,X,O,X,O
JOLTISZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLTIZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JOLTSZI,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JOLTZIS,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOLTZSI,X,O,X,X,O,X,X,X,X,X,X,X,X,X
JOLITSZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOLITZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLISTZ,X,O,X,X,X,X,X,X,X,X,X,O,X,X
JOLISZT,X,X,X,X,X,X,X,X,X,X,X,O,X,O
JOLIZTS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JOLIZST,X,O,X,X,X,X,X,X,X,O,X,O,X,O
JOLSTIZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X
JOLSTZI,X,O,O,X,X,X,O,O,X,X,O,X,X,X
JOLSITZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X
JOLSIZT,X,X,O,X,X,X,O,O,X,X,X,O,X,O
JOLSZTI,O,O,O,X,O,X,O,O,X,X,O,X,X,X
JOLSZIT,O,O,O,X,X,X,O,O,X,X,O,O,X,O
JOLZTIS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JOLZTSI,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JOLZITS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JOLZIST,O,O,X,X,X,X,X,O,X,O,O,X,X,O
JOLZSTI,O,O,X,X,O,X,X,O,X,X,O,X,X,X
JOLZSIT,O,O,X,X,X,X,X,O,X,X,O,X,X,O
JOSTILZ,X,X,O,X,X,X,O,O,X,X,X,O,X,X
JOSTIZL,X,X,O,X,X,X,X,O,X,X,X,O,X,O
JOSTLIZ,X,O,O,X,X,X,O,O,X,X,X,X,X,X
JOSTLZI,X,O,O,X,X,X,O,O,X,X,X,X,X,X
JOSTZIL,O,X,O,X,X,X,X,O,X,X,X,O,X,O
JOSTZLI,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSITLZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X
JOSITZL,X,X,O,X,X,X,X,X,X,X,X,O,X,O
JOSILTZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X
JOSILZT,X,X,O,X,X,X,O,O,X,X,X,O,X,O
JOSIZTL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JOSIZLT,O,X,X,X,X,X,X,O,X,O,X,O,X,O
JOSLTIZ,X,O,O,X,X,X,O,O,X,X,X,X,X,X
JOSLTZI,X,O,O,X,X,X,O,O,X,X,X,X,X,X
JOSLITZ,X,O,O,X,X,X,O,X,X,X,X,O,X,X
JOSLIZT,X,X,O,X,X,X,O,O,X,X,X,O,X,O
JOSLZTI,O,O,O,X,O,X,O,O,X,X,X,X,X,X
JOSLZIT,O,O,O,X,X,X,O,O,X,X,X,O,X,O
JOSZTIL,O,X,O,X,X,X,X,O,X,O,X,O,X,O
JOSZTLI,O,X,O,X,O,X,X,O,X,O,X,X,X,X
JOSZITL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JOSZILT,O,O,X,X,X,X,X,O,X,O,X,O,X,O
JOSZLTI,O,O,O,X,O,X,X,O,X,X,X,X,X,X
JOSZLIT,O,O,O,X,X,X,X,O,X,X,X,O,X,O
JOZTILS,X,O,X,X,O,X,X,O,X,O,X,X,X,O
JOZTISL,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JOZTLIS,X,O,X,X,O,X,X,O,X,O,X,X,X,O
JOZTLSI,O,O,X,X,O,X,X,O,X,O,X,X,X,X
JOZTSIL,O,X,O,X,X,X,X,O,X,O,X,X,X,O
JOZTSLI,O,X,O,X,O,X,X,O,X,O,X,X,X,X
JOZITLS,X,O,X,X,O,X,X,O,X,O,X,X,X,O
JOZITSL,O,X,X,X,X,X,X,O,X,O,X,X,X,O
JOZILTS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JOZILST,O,O,X,X,X,X,X,O,X,O,O,O,X,O
JOZISTL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JOZISLT,O,O,X,X,X,X,X,O,X,O,X,O,X,O
JOZLTIS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JOZLTSI,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JOZLITS,X,O,X,X,O,X,X,X,X,O,X,X,X,O
JOZLIST,O,O,X,X,X,X,X,O,X,O,O,X,X,O
JOZLSTI,O,O,X,X,O,X,X,O,X,X,O,X,X,X
JOZLSIT,O,O,X,X,X,X,X,O,X,X,O,X,X,O
JOZSTIL,O,X,O,X,X,X,X,O,X,O,X,O,X,O
JOZSTLI,O,X,O,X,O,X,X,O,X,O,X,X,X,X
JOZSITL,O,X,X,X,X,X,X,O,X,X,X,O,X,O
JOZSILT,O,O,X,X,X,X,X,O,X,O,X,O,X,O
JOZSLTI,O,O,O,X,O,X,X,O,X,X,X,X,X,X
JOZSLIT,O,O,O,X,X,X,X,O,X,X,X,O,X,O
STILJZO,X,X,O,O,X,X,O,O,O,X,X,X,O,X
STILJOZ,X,X,O,O,X,X,O,X,O,X,X,X,O,X
STILZJO,X,X,O,O,X,O,O,O,O,O,X,X,O,X
STILZOJ,X,X,O,O,X,O,O,O,X,X,X,X,X,X
STILOJZ,X,X,O,O,X,X,O,X,X,X,X,X,O,X
STILOZJ,X,X,O,O,X,O,O,X,X,X,X,X,X,X
STIJLZO,X,X,O,O,X,X,O,O,O,X,X,X,O,X
STIJLOZ,X,X,O,O,X,X,O,X,O,X,X,X,O,X
STIJZLO,O,X,X,O,X,O,O,O,X,X,X,X,O,X
STIJZOL,O,X,X,O,X,O,X,O,X,X,X,X,X,X
STIJOLZ,X,X,X,O,X,X,O,X,X,X,X,X,O,X
