sequence,v115@5gB8HeB8IeD8CeG8BeG8JeO/IvhFxbBTeB0hBfqBll?BCqB,v115@5gB8HeB8IeD8CeG8BeG8JeO/IvhFxbBTeBFgB0hBqp?B3qB,v115@5gB8HeB8IeD8CeG8BeG8JeO/IvhFxbBTeB3gB1mBqp?BUqB,v115@5gB8HeB8IeD8CeG8BeG8Jem7IvhFqhBTeBxfBlkB3l?B0pB,v115@5gB8HeB8IeD8CeG8BeG8JeR7IvhFqhBTeBmgBlkBcq?B/pB,v115@5gB8HeB8IeD8CeG8BeG8JeO/IvhFxbBTeBUgB1mBqp?B3qB,v115@5gB8HeB8IeD8CeG8BeG8Jex6IvhFXcBTeBifB1mBup?BcqB,v115@5gB8HeB8IeD8CeG8BeG8Jey/IvhFGcBTeBlkBRmB3l?B0pB,v115@5gB8HeB8IeD8CeG8BeG8Je06IvhFShBTeB/kBeqBRr?BlqB,v115@5gB8HeB8IeD8CeG8BeG8JeK/IvhFxbBTeBulB1mB8p?BfqB,v115@5gB8HeB8IeD8CeG8BeG8JeT+IvhFxfBXhB2kB0hBCq?BFqB
ILJSZOT,X,X,X,X,X,X,X,X,O,X,X
ILJSOTZ,X,O,X,X,X,X,X,X,O,X,X
ILJSOZT,X,X,X,X,X,X,X,X,O,X,X
ILJZTSO,X,O,X,X,O,X,X,X,X,X,X
ILJZTOS,X,O,X,X,O,X,X,X,X,X,X
ILJZSTO,X,O,X,X,X,X,X,X,O,X,X
ILJZSOT,X,O,X,X,X,X,X,X,O,X,X
ILJZOTS,X,O,X,X,O,X,X,X,X,X,X
ILJZOST,X,O,X,X,X,X,X,X,O,X,X
ILJOTSZ,X,O,O,X,X,O,O,O,O,X,X
ILJOTZS,X,O,O,X,X,O,X,X,X,X,X
ILJOSTZ,X,O,X,X,X,X,X,X,O,X,X
ILJOSZT,X,X,X,X,X,X,X,X,O,X,X
ILJOZTS,X,O,X,X,O,X,X,X,X,X,X
ILJOZST,X,O,X,X,X,X,X,X,O,X,X
ILSTJZO,X,O,X,O,X,X,X,X,X,X,X
ILSTJOZ,X,O,X,O,X,X,O,X,X,X,X
ILSTZJO,X,O,X,O,X,X,X,X,X,X,X
ILSTZOJ,X,O,X,O,X,X,O,X,X,X,X
ILSTOJZ,X,O,X,O,X,X,O,X,X,X,O
ILSTOZJ,X,O,X,O,X,X,O,X,X,X,O
ILSJTZO,X,O,X,O,X,X,X,X,O,X,X
ILSJTOZ,X,O,X,O,X,X,X,X,O,X,X
ILSJZTO,X,X,X,X,X,X,X,X,O,X,X
ILSJZOT,X,X,X,O,X,X,X,X,O,X,X
ILSJOTZ,X,O,X,O,X,X,X,X,O,X,O
ILSJOZT,X,X,X,O,X,X,X,X,O,X,O
ILSZTJO,X,X,X,X,X,X,X,X,X,X,X
ILSZTOJ,X,X,X,X,X,X,X,X,X,X,X
ILSZJTO,X,X,X,X,X,X,X,X,X,X,X
ILSZJOT,X,X,X,O,X,X,X,X,X,X,X
ILSZOTJ,X,X,X,X,X,X,X,X,X,X,O
ILSZOJT,X,X,X,O,X,X,X,X,X,X,O
ILSOTJZ,X,O,X,O,X,X,O,X,X,X,O
ILSOTZJ,X,O,X,O,X,X,O,X,X,X,O
ILSOJTZ,X,O,X,O,X,X,X,X,O,X,O
ILSOJZT,X,X,X,O,X,X,X,X,O,X,O
ILSOZTJ,X,X,X,X,X,X,X,X,X,X,O
ILSOZJT,X,X,X,O,X,X,X,X,X,X,O
ILZTJSO,X,O,X,X,O,X,X,X,X,O,X
ILZTJOS,X,O,X,X,O,X,X,X,X,O,X
ILZTSJO,X,O,X,X,X,X,X,X,X,X,X
ILZTSOJ,X,O,X,X,X,X,O,X,X,X,X
ILZTOJS,X,O,X,X,O,X,X,X,X,O,X
ILZTOSJ,X,O,X,X,X,X,O,X,X,X,X
ILZJTSO,X,O,X,X,O,X,X,X,X,X,X
ILZJTOS,X,O,X,X,O,X,X,X,X,X,X
ILZJSTO,X,O,X,X,X,X,X,X,O,X,X
ILZJSOT,X,O,X,X,X,X,X,X,O,X,X
ILZJOTS,X,O,X,X,O,X,X,X,X,X,X
ILZJOST,X,O,X,X,X,X,X,X,O,X,X
ILZSTJO,X,O,X,X,X,X,X,X,X,X,X
ILZSTOJ,X,O,X,X,X,X,X,X,X,X,X
ILZSJTO,X,O,X,X,X,X,X,X,X,X,X
ILZSJOT,X,O,X,X,X,X,X,X,X,X,X
ILZSOTJ,X,O,X,X,X,X,X,X,X,X,X
ILZSOJT,X,O,X,X,X,X,X,X,X,X,X
ILZOTJS,X,O,X,X,O,X,X,X,X,O,X
ILZOTSJ,X,O,X,X,X,X,O,X,X,X,X
ILZOJTS,X,O,X,X,O,X,X,X,X,X,X
ILZOJST,X,O,X,X,X,X,X,X,O,X,X
ILZOSTJ,X,O,X,X,X,X,X,X,X,X,X
ILZOSJT,X,O,X,X,X,X,X,X,X,X,X
ILOTJSZ,X,O,O,X,X,O,O,O,O,X,X
ILOTJZS,X,O,O,X,X,O,X,X,X,X,X
ILOTSJZ,X,O,O,O,X,O,O,O,X,X,X
ILOTSZJ,X,X,O,O,X,X,O,O,X,X,X
ILOTZJS,X,O,O,X,X,O,X,X,X,O,X
ILOTZSJ,X,O,X,X,X,O,O,X,X,X,X
ILOJTSZ,X,O,O,X,X,O,O,O,O,X,X
ILOJTZS,X,O,O,X,X,O,X,X,X,X,X
ILOJSTZ,X,O,X,X,X,X,X,X,O,X,X
ILOJSZT,X,X,X,X,X,X,X,X,O,X,X
ILOJZTS,X,O,X,X,O,X,X,X,X,X,X
ILOJZST,X,O,X,X,X,X,X,X,O,X,X
ILOSTJZ,X,O,X,O,X,X,O,X,X,X,O
ILOSTZJ,X,O,X,O,X,X,O,X,X,X,O
ILOSJTZ,X,O,X,O,X,X,X,X,O,X,O
ILOSJZT,X,X,X,O,X,X,X,X,O,X,O
ILOSZTJ,X,X,X,X,X,X,X,X,X,X,O
ILOSZJT,X,X,X,O,X,X,X,X,X,X,O
ILOZTJS,X,O,X,X,O,X,X,X,X,O,X
ILOZTSJ,X,O,X,X,X,X,O,X,X,X,X
ILOZJTS,X,O,X,X,O,X,X,X,X,X,X
ILOZJST,X,O,X,X,X,X,X,X,O,X,X
ILOZSTJ,X,O,X,X,X,X,X,X,X,X,X
ILOZSJT,X,O,X,X,X,X,X,X,X,X,X
IJTLSZO,X,X,O,X,X,X,X,O,O,X,X
IJTLSOZ,X,X,O,X,X,O,X,O,O,X,X
IJTLZSO,X,X,X,X,X,O,X,X,X,X,X
IJTLZOS,X,X,O,X,X,O,X,X,X,X,X
IJTLOSZ,X,X,O,X,X,O,X,O,O,X,X
IJTLOZS,X,X,O,X,X,O,X,X,X,X,X
IJTSLZO,X,X,X,X,X,X,X,O,O,X,X
IJTSLOZ,X,X,X,X,X,X,X,O,O,X,X
IJTSZLO,X,X,X,X,X,X,X,O,O,X,X
IJTSZOL,X,X,X,X,X,X,X,O,O,X,X
IJTSOLZ,X,X,O,X,X,O,X,O,O,X,X
IJTSOZL,X,X,X,X,X,X,X,O,O,X,X
IJTZLSO,X,X,X,X,X,X,X,X,X,X,X
IJTZLOS,X,X,X,X,X,X,X,X,X,X,X
IJTZSLO,X,X,X,X,X,X,X,O,X,X,X
IJTZSOL,X,X,X,X,X,X,X,O,X,X,X
IJTZOLS,X,X,O,X,X,O,X,X,X,X,X
IJTZOSL,X,X,X,X,X,X,X,O,X,X,X
IJTOLSZ,X,X,O,X,X,O,X,O,O,X,X
IJTOLZS,X,X,O,X,X,O,X,X,X,X,X
IJTOSLZ,X,X,O,X,X,O,X,O,O,X,X
IJTOSZL,X,X,X,X,X,X,X,O,O,X,X
IJTOZLS,X,X,O,X,X,O,X,X,X,X,X
IJTOZSL,X,X,X,X,X,X,X,O,X,X,X
IJLTSZO,X,X,O,X,X,X,X,O,O,X,X
IJLTSOZ,X,O,O,X,X,O,X,O,O,X,X
IJLTZSO,X,O,X,X,X,O,X,X,X,X,X
IJLTZOS,X,O,O,X,X,O,X,X,X,X,X
IJLTOSZ,X,O,O,X,X,O,X,O,O,X,X
IJLTOZS,X,O,O,X,X,O,X,X,X,X,X
IJLSTZO,X,O,X,X,X,X,X,X,O,X,X
IJLSTOZ,X,O,X,X,X,X,X,X,O,X,X
IJLSZTO,X,X,X,X,X,X,X,X,O,X,X
IJLSZOT,X,X,X,X,X,X,X,X,O,X,X
IJLSOTZ,X,O,X,X,X,X,X,X,O,X,X
IJLSOZT,X,X,X,X,X,X,X,X,O,X,X
IJLZTSO,X,O,X,X,O,X,X,X,X,X,X
IJLZTOS,X,O,X,X,O,X,X,X,X,X,X
IJLZSTO,X,O,X,X,X,X,X,X,O,X,X
IJLZSOT,X,O,X,X,X,X,X,X,O,X,X
IJLZOTS,X,O,X,X,O,X,X,X,X,X,X
IJLZOST,X,O,X,X,X,X,X,X,O,X,X
IJLOTSZ,X,O,O,X,X,O,X,O,O,X,X
IJLOTZS,X,O,O,X,X,O,X,X,X,X,X
IJLOSTZ,X,O,X,X,X,X,X,X,O,X,X
IJLOSZT,X,X,X,X,X,X,X,X,O,X,X
IJLOZTS,X,O,X,X,O,X,X,X,X,X,X
IJLOZST,X,O,X,X,X,X,X,X,O,X,X
IJSTLZO,X,X,X,X,X,X,X,O,O,X,X
IJSTLOZ,X,X,X,X,X,X,X,O,O,X,X
IJSTZLO,X,X,X,X,X,X,X,O,O,X,X
IJSTZOL,X,X,X,X,X,X,X,O,O,X,X
IJSTOLZ,X,X,X,X,X,X,X,O,O,X,X
IJSTOZL,X,X,X,X,X,X,X,O,O,X,X
IJSLTZO,X,O,X,X,X,X,X,X,O,X,X
IJSLTOZ,X,O,X,X,X,X,X,X,O,X,X
IJSLZTO,X,X,X,X,X,X,X,X,O,X,X
IJSLZOT,X,X,X,X,X,X,X,X,O,X,X
IJSLOTZ,X,O,X,X,X,X,X,X,O,X,X
IJSLOZT,X,X,X,X,X,X,X,X,O,X,X
IJSZTLO,O,X,X,X,X,X,X,X,O,X,X
IJSZTOL,O,X,X,X,X,X,X,X,O,X,X
IJSZLTO,X,X,X,X,X,X,X,X,O,X,X
IJSZLOT,O,X,X,X,X,X,X,X,O,X,X
IJSZOTL,O,X,X,X,X,X,X,X,O,X,X
IJSZOLT,O,X,X,X,X,X,X,X,O,X,X
IJSOTLZ,X,X,X,X,X,X,X,O,O,X,X
IJSOTZL,X,X,X,X,X,X,X,O,O,X,X
IJSOLTZ,X,O,X,X,X,X,X,X,O,X,X
IJSOLZT,X,X,X,X,X,X,X,X,O,X,X
IJSOZTL,O,X,X,X,X,X,X,X,O,X,X
IJSOZLT,O,X,X,X,X,X,X,X,O,X,X
IJZTLSO,X,X,X,X,O,X,X,X,X,X,X
IJZTLOS,X,X,X,X,O,X,X,X,X,X,X
IJZTSLO,O,X,X,X,X,X,X,O,X,X,X
IJZTSOL,O,X,X,X,X,X,X,O,X,X,X
IJZTOLS,X,O,X,X,O,X,X,X,X,X,X
IJZTOSL,O,X,X,X,X,X,X,O,X,X,X
IJZLTSO,X,O,X,X,O,X,X,X,X,X,X
IJZLTOS,X,O,X,X,O,X,X,X,X,X,X
IJZLSTO,X,O,X,X,X,X,X,X,O,X,X
IJZLSOT,X,O,X,X,X,X,X,X,O,X,X
IJZLOTS,X,O,X,X,O,X,X,X,X,X,X
IJZLOST,O,O,X,X,X,X,X,X,O,X,X
IJZSTLO,O,X,X,X,X,X,X,X,O,X,X
IJZSTOL,O,X,X,X,X,X,X,X,O,X,X
IJZSLTO,X,X,X,X,X,X,X,X,O,X,X
IJZSLOT,O,X,X,X,X,X,X,X,O,X,X
IJZSOTL,O,X,X,X,X,X,X,X,O,X,X
IJZSOLT,O,O,X,X,X,X,X,X,O,X,X
IJZOTLS,X,O,X,X,O,X,X,X,X,X,X
IJZOTSL,O,X,X,X,X,X,X,O,X,X,X
IJZOLTS,X,O,X,X,O,X,X,X,X,X,X
IJZOLST,O,O,X,X,X,X,X,X,O,X,X
IJZOSTL,O,X,X,X,X,X,X,X,O,X,X
IJZOSLT,O,O,X,X,X,X,X,X,O,X,X
IJOTLSZ,X,X,O,X,X,O,X,O,O,X,X
IJOTLZS,X,X,O,X,X,O,X,X,X,X,X
IJOTSLZ,X,X,O,X,X,O,X,O,O,X,X
IJOTSZL,X,X,X,X,X,X,X,O,O,X,X
IJOTZLS,X,X,O,X,X,O,X,X,X,X,X
IJOTZSL,X,X,X,X,X,X,X,O,X,X,X
IJOLTSZ,X,O,O,X,X,O,X,O,O,X,X
IJOLTZS,X,O,O,X,X,O,X,X,X,X,X
IJOLSTZ,X,O,X,X,X,X,X,X,O,X,X
IJOLSZT,X,X,X,X,X,X,X,X,O,X,X
IJOLZTS,X,O,X,X,O,X,X,X,X,X,X
IJOLZST,X,O,X,X,X,X,X,X,O,X,X
IJOSTLZ,X,X,X,X,X,X,X,O,O,X,X
IJOSTZL,X,X,X,X,X,X,X,O,O,X,X
IJOSLTZ,X,O,X,X,X,X,X,X,O,X,X
IJOSLZT,X,X,X,X,X,X,X,X,O,X,X
IJOSZTL,O,X,X,X,X,X,X,X,O,X,X
IJOSZLT,O,X,X,X,X,X,X,X,O,X,X
IJOZTLS,X,O,X,X,O,X,X,X,X,X,X
IJOZTSL,O,X,X,X,X,X,X,O,X,X,X
IJOZLTS,X,O,X,X,O,X,X,X,X,X,X
IJOZLST,O,O,X,X,X,X,X,X,O,X,X
IJOZSTL,O,X,X,X,X,X,X,X,O,X,X
IJOZSLT,O,O,X,X,X,X,X,X,O,X,X
ISTLJZO,X,X,X,O,X,X,X,O,X,X,X
ISTLJOZ,X,X,X,O,X,X,X,O,X,X,X
ISTLZJO,X,X,X,O,X,X,X,O,X,X,X
ISTLZOJ,X,X,X,O,X,X,X,O,X,X,X
ISTLOJZ,X,X,X,O,X,X,X,O,X,X,X
ISTLOZJ,X,X,X,O,X,X,X,O,X,X,X
ISTJLZO,X,X,X,O,X,X,X,O,X,X,X
ISTJLOZ,X,X,X,O,X,X,X,O,X,X,X
ISTJZLO,X,X,X,X,X,X,X,O,X,X,X
ISTJZOL,X,X,X,X,X,X,X,O,X,X,X
ISTJOLZ,X,X,X,O,X,X,X,O,X,X,X
ISTJOZL,X,X,X,X,X,X,X,O,X,X,X
ISTZLJO,X,X,X,O,X,X,X,O,X,X,X
ISTZLOJ,X,X,X,O,X,X,X,O,X,X,X
ISTZJLO,X,X,X,X,X,X,X,O,X,X,X
ISTZJOL,X,X,X,X,X,X,X,O,X,X,X
ISTZOLJ,X,X,X,O,X,X,X,O,X,X,X
ISTZOJL,X,X,X,X,X,X,X,O,X,X,X
ISTOLJZ,X,X,X,O,X,X,X,O,X,X,O
ISTOLZJ,X,X,X,O,X,X,X,O,X,X,O
ISTOJLZ,X,X,X,O,X,X,X,O,X,X,X
ISTOJZL,X,X,X,X,X,X,X,O,X,X,O
ISTOZLJ,X,X,X,O,X,X,X,O,X,X,O
ISTOZJL,X,X,X,X,X,X,X,O,X,X,O
ISLTJZO,X,O,X,O,X,X,X,X,X,X,X
ISLTJOZ,X,O,X,O,X,X,X,X,X,X,X
ISLTZJO,X,O,X,O,X,X,X,X,X,X,X
ISLTZOJ,X,O,X,O,X,X,X,X,X,X,X
ISLTOJZ,X,O,X,O,X,X,X,X,X,X,O
ISLTOZJ,X,O,X,O,X,X,X,X,X,X,O
ISLJTZO,X,O,X,O,X,X,X,X,O,X,X
ISLJTOZ,X,O,X,O,X,X,X,X,O,X,X
ISLJZTO,X,X,X,X,X,X,X,X,O,X,X
ISLJZOT,X,X,X,O,X,X,X,X,O,X,X
ISLJOTZ,X,O,X,O,X,X,X,X,O,X,O
ISLJOZT,X,X,X,O,X,X,X,X,O,X,O
ISLZTJO,X,X,X,X,X,X,X,X,X,X,X
ISLZTOJ,X,X,X,X,X,X,X,X,X,X,X
ISLZJTO,X,X,X,X,X,X,X,X,X,X,X
ISLZJOT,X,X,X,O,X,X,X,X,X,X,X
ISLZOTJ,X,X,X,X,X,X,X,X,X,X,O
ISLZOJT,X,X,X,O,X,X,X,X,X,X,O
ISLOTJZ,X,O,X,O,X,X,X,X,X,X,O
ISLOTZJ,X,O,X,O,X,X,X,X,X,X,O
ISLOJTZ,X,O,X,O,X,X,X,X,O,X,O
ISLOJZT,X,X,X,O,X,X,X,X,O,X,O
ISLOZTJ,X,X,X,X,X,X,X,X,X,X,O
ISLOZJT,X,X,X,O,X,X,X,X,X,X,O
ISJTLZO,X,X,X,X,X,X,X,O,O,X,X
ISJTLOZ,X,X,X,X,X,X,X,O,O,X,X
ISJTZLO,X,X,X,X,X,X,X,O,O,X,X
ISJTZOL,X,X,X,X,X,X,X,O,O,X,X
ISJTOLZ,X,X,X,X,X,X,X,O,O,X,X
ISJTOZL,X,X,X,X,X,X,X,O,O,X,X
ISJLTZO,X,O,X,X,X,X,X,X,O,X,X
ISJLTOZ,X,O,X,O,X,X,X,X,O,X,X
ISJLZTO,X,X,X,X,X,X,X,X,O,X,X
ISJLZOT,X,X,X,O,X,X,X,X,O,X,X
ISJLOTZ,X,O,X,O,X,X,X,X,O,X,X
ISJLOZT,X,X,X,O,X,X,X,X,O,X,X
ISJZTLO,O,X,X,X,X,X,X,X,O,X,X
ISJZTOL,O,X,X,X,X,X,X,X,O,X,X
ISJZLTO,X,X,X,X,X,X,X,X,O,X,X
ISJZLOT,O,X,X,X,X,X,X,X,O,X,X
ISJZOTL,O,X,X,X,X,X,X,X,O,X,X
ISJZOLT,O,X,X,X,X,X,X,X,O,X,X
ISJOTLZ,X,X,X,X,X,X,X,O,O,X,X
ISJOTZL,X,X,X,X,X,X,X,O,O,X,O
ISJOLTZ,X,O,X,O,X,X,X,X,O,X,O
ISJOLZT,X,X,X,O,X,X,X,X,O,X,O
ISJOZTL,O,X,X,X,X,X,X,X,O,X,O
ISJOZLT,O,X,X,X,X,X,X,X,O,X,O
ISZTLJO,O,X,X,X,X,X,X,X,X,X,X
ISZTLOJ,O,X,X,X,X,X,X,X,X,X,X
ISZTJLO,O,X,X,X,X,X,X,X,X,X,X
ISZTJOL,O,X,X,X,X,X,X,X,X,X,X
ISZTOLJ,O,X,X,X,X,X,X,X,X,X,X
ISZTOJL,O,X,X,X,X,X,X,X,X,X,X
ISZLTJO,O,X,X,X,X,X,X,X,X,X,X
ISZLTOJ,O,X,X,X,X,X,X,X,X,X,X
ISZLJTO,X,X,X,X,X,X,X,X,X,X,X
ISZLJOT,O,X,X,O,X,X,X,X,X,X,X
ISZLOTJ,O,X,X,X,X,X,X,X,X,X,X
ISZLOJT,O,X,X,O,X,X,X,X,X,X,X
ISZJTLO,O,X,X,X,X,X,X,X,X,X,X
ISZJTOL,O,X,X,X,X,X,X,X,X,X,X
ISZJLTO,X,X,X,X,X,X,X,X,X,X,X
ISZJLOT,O,X,X,X,X,X,X,X,X,X,X
ISZJOTL,O,X,X,X,X,X,X,X,X,X,X
ISZJOLT,O,X,X,X,X,X,X,X,X,X,X
ISZOTLJ,O,X,X,X,X,X,X,X,X,X,O
ISZOTJL,O,X,X,X,X,X,X,X,X,X,O
ISZOLTJ,O,X,X,X,X,X,X,X,X,X,O
ISZOLJT,O,X,X,O,X,X,X,X,X,X,O
ISZOJTL,O,X,X,X,X,X,X,X,X,X,O
ISZOJLT,O,X,X,X,X,X,X,X,X,X,O
ISOTLJZ,X,X,X,O,X,X,X,O,X,X,O
ISOTLZJ,X,X,X,O,X,X,X,O,X,X,O
ISOTJLZ,X,X,X,O,X,X,X,O,X,X,X
ISOTJZL,X,X,X,X,X,X,X,O,X,X,O
ISOTZLJ,X,X,X,O,X,X,X,O,X,X,O
ISOTZJL,X,X,X,X,X,X,X,O,X,X,O
ISOLTJZ,X,O,X,O,X,X,X,X,X,X,O
ISOLTZJ,X,O,X,O,X,X,X,X,X,X,O
ISOLJTZ,X,O,X,O,X,X,X,X,O,X,O
ISOLJZT,X,X,X,O,X,X,X,X,O,X,O
ISOLZTJ,X,X,X,X,X,X,X,X,X,X,O
ISOLZJT,X,X,X,O,X,X,X,X,X,X,O
ISOJTLZ,X,X,X,X,X,X,X,O,O,X,X
ISOJTZL,X,X,X,X,X,X,X,O,O,X,O
ISOJLTZ,X,O,X,O,X,X,X,X,O,X,O
ISOJLZT,X,X,X,O,X,X,X,X,O,X,O
ISOJZTL,O,X,X,X,X,X,X,X,O,X,O
ISOJZLT,O,X,X,X,X,X,X,X,O,X,O
ISOZTLJ,O,X,X,X,X,X,X,X,X,X,O
ISOZTJL,O,X,X,X,X,X,X,X,X,X,O
ISOZLTJ,O,X,X,X,X,X,X,X,X,X,O
ISOZLJT,O,X,X,O,X,X,X,X,X,X,O
ISOZJTL,O,X,X,X,X,X,X,X,X,X,O
ISOZJLT,O,X,X,X,X,X,X,X,X,X,O
IZTLJSO,X,O,X,X,O,X,X,X,X,O,X
IZTLJOS,X,O,X,X,O,X,X,X,X,O,X
IZTLSJO,X,O,X,X,X,X,X,X,X,X,X
IZTLSOJ,X,O,X,X,X,X,X,X,X,X,X
IZTLOJS,X,O,X,X,O,X,X,X,X,O,X
IZTLOSJ,X,O,X,X,X,X,X,X,X,X,X
IZTJLSO,X,X,X,X,O,X,X,X,X,O,X
IZTJLOS,X,X,X,X,O,X,X,X,X,O,X
IZTJSLO,O,X,X,X,X,X,X,O,X,X,X
IZTJSOL,O,X,X,X,X,X,X,O,X,X,X
IZTJOLS,X,O,X,X,O,X,X,X,X,O,X
IZTJOSL,O,X,X,X,X,X,X,O,X,X,X
IZTSLJO,O,O,X,X,X,X,X,O,X,X,X
IZTSLOJ,O,O,X,X,X,X,X,O,X,X,X
IZTSJLO,O,X,X,X,X,X,X,O,X,X,X
IZTSJOL,O,X,X,X,X,X,X,O,X,X,X
IZTSOLJ,O,O,X,X,X,X,X,O,X,X,X
IZTSOJL,O,X,X,X,X,X,X,O,X,X,X
IZTOLJS,X,O,X,X,O,X,X,X,X,O,X
IZTOLSJ,X,O,X,X,X,X,X,X,X,X,X
IZTOJLS,X,O,X,X,O,X,X,X,X,O,X
IZTOJSL,O,X,X,X,X,X,X,O,X,X,X
IZTOSLJ,O,O,X,X,X,X,X,O,X,X,X
IZTOSJL,O,X,X,X,X,X,X,O,X,X,X
IZLTJSO,X,O,X,X,O,X,X,X,X,O,X
IZLTJOS,X,O,X,X,O,X,X,X,X,O,X
IZLTSJO,X,O,X,X,X,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,X,X,X,X,X,X,X
IZLTOJS,X,O,X,X,O,X,X,X,X,O,X
IZLTOSJ,X,O,X,X,X,X,X,X,X,X,X
IZLJTSO,X,O,X,X,O,X,X,X,X,X,X
IZLJTOS,X,O,X,X,O,X,X,X,X,X,X
IZLJSTO,X,O,X,X,X,X,X,X,O,X,X
IZLJSOT,X,O,X,X,X,X,X,X,O,X,X
IZLJOTS,X,O,X,X,O,X,X,X,X,X,X
IZLJOST,O,O,X,X,X,X,X,X,O,X,X
IZLSTJO,O,O,X,X,X,X,X,X,X,X,X
IZLSTOJ,O,O,X,X,X,X,X,X,X,X,X
IZLSJTO,X,O,X,X,X,X,X,X,X,X,X
IZLSJOT,O,O,X,X,X,X,X,X,X,X,X
IZLSOTJ,O,O,X,X,X,X,X,X,X,X,X
IZLSOJT,O,O,X,X,X,X,X,X,X,X,X
IZLOTJS,X,O,X,X,O,X,X,X,X,O,X
IZLOTSJ,X,O,X,X,X,X,X,X,X,X,X
IZLOJTS,X,O,X,X,O,X,X,X,X,X,X
IZLOJST,O,O,X,X,X,X,X,X,O,X,X
IZLOSTJ,O,O,X,X,X,X,X,X,X,X,X
IZLOSJT,O,O,X,X,X,X,X,X,X,X,X
IZJTLSO,X,X,X,X,O,X,X,X,X,X,X
IZJTLOS,X,X,X,X,O,X,X,X,X,X,X
IZJTSLO,O,X,X,X,X,X,X,O,X,X,X
IZJTSOL,O,X,X,X,X,X,X,O,X,X,X
IZJTOLS,X,O,X,X,O,X,X,X,X,X,X
IZJTOSL,O,X,X,X,X,X,X,O,X,X,X
IZJLTSO,X,O,X,X,O,X,X,X,X,X,X
IZJLTOS,X,O,X,X,O,X,X,X,X,X,X
IZJLSTO,X,O,X,X,X,X,X,X,O,X,X
IZJLSOT,X,O,X,X,X,X,X,X,O,X,X
IZJLOTS,X,O,X,X,O,X,X,X,X,X,X
IZJLOST,O,O,X,X,X,X,X,X,O,X,X
IZJSTLO,O,X,X,X,X,X,X,X,O,X,X
IZJSTOL,O,X,X,X,X,X,X,X,O,X,X
IZJSLTO,X,O,X,X,X,X,X,X,O,X,X
IZJSLOT,O,O,X,X,X,X,X,X,O,X,X
IZJSOTL,O,X,X,X,X,X,X,X,O,X,X
IZJSOLT,O,O,X,X,X,X,X,X,O,X,X
IZJOTLS,X,O,X,X,O,X,X,X,X,X,X
IZJOTSL,O,X,X,X,X,X,X,O,X,X,X
IZJOLTS,X,O,X,X,O,X,X,X,X,X,X
IZJOLST,O,O,X,X,X,X,X,X,O,X,X
IZJOSTL,O,X,X,X,X,X,X,X,O,X,X
IZJOSLT,O,O,X,X,X,X,X,X,O,X,X
IZSTLJO,O,O,X,X,X,X,X,X,X,X,X
IZSTLOJ,O,O,X,X,X,X,X,X,X,X,X
IZSTJLO,O,X,X,X,X,X,X,X,X,X,X
IZSTJOL,O,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,O,O,X,X,X,X,X,X,X,X,X
IZSTOJL,O,X,X,X,X,X,X,X,X,X,X
IZSLTJO,O,O,X,X,X,X,X,X,X,X,X
IZSLTOJ,O,O,X,X,X,X,X,X,X,X,X
IZSLJTO,X,O,X,X,X,X,X,X,X,X,X
IZSLJOT,O,O,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,X,X,X,X,X,X,X
IZSLOJT,O,O,X,X,X,X,X,X,X,X,X
IZSJTLO,O,X,X,X,X,X,X,X,X,X,X
IZSJTOL,O,X,X,X,X,X,X,X,X,X,X
IZSJLTO,X,O,X,X,X,X,X,X,X,X,X
IZSJLOT,O,O,X,X,X,X,X,X,X,X,X
IZSJOTL,O,X,X,X,X,X,X,X,X,X,X
IZSJOLT,O,O,X,X,X,X,X,X,X,X,X
IZSOTLJ,O,O,X,X,X,X,X,X,X,X,X
IZSOTJL,O,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,O,X,X,X,X,X,X,X,X,X
IZSOLJT,O,O,X,X,X,X,X,X,X,X,X
IZSOJTL,O,X,X,X,X,X,X,X,X,X,X
IZSOJLT,O,O,X,X,X,X,X,X,X,X,X
IZOTLJS,X,O,X,X,O,X,X,X,X,O,X
IZOTLSJ,X,O,X,X,X,X,X,X,X,X,X
IZOTJLS,X,O,X,X,O,X,X,X,X,O,X
IZOTJSL,O,X,X,X,X,X,X,O,X,X,X
IZOTSLJ,O,O,X,X,X,X,X,O,X,X,X
IZOTSJL,O,X,X,X,X,X,X,O,X,X,X
IZOLTJS,X,O,X,X,O,X,X,X,X,O,X
IZOLTSJ,X,O,X,X,X,X,X,X,X,X,X
IZOLJTS,X,O,X,X,O,X,X,X,X,X,X
IZOLJST,O,O,X,X,X,X,X,X,O,X,X
IZOLSTJ,O,O,X,X,X,X,X,X,X,X,X
IZOLSJT,O,O,X,X,X,X,X,X,X,X,X
IZOJTLS,X,O,X,X,O,X,X,X,X,X,X
IZOJTSL,O,X,X,X,X,X,X,O,X,X,X
IZOJLTS,X,O,X,X,O,X,X,X,X,X,X
IZOJLST,O,O,X,X,X,X,X,X,O,X,X
IZOJSTL,O,X,X,X,X,X,X,X,O,X,X
IZOJSLT,O,O,X,X,X,X,X,X,O,X,X
IZOSTLJ,O,O,X,X,X,X,X,X,X,X,X
IZOSTJL,O,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,O,X,X,X,X,X,X,X,X,X
