sequence,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFmdBUgBFhBXiB6r?BzqB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFeiBzdBUgBFhBXm?BSwB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFxbBmdBXiBllBTr?BCrB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFXcBmdBUgBFiB6r?BzqB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFmdBUgBFhBXiBCr?BTrB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFmdBxhBllB3mB6q?BTrB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFxbByhBzdBllB3m?BWwB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFXcBmdBUgBFiBCr?BTrB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFxbBmdB3gBFiB6r?BzqB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFxbBmdB3gBlmBzq?BCsB,v115@8gB8HeC8EeF8CeG8CeD8Je06IvhFXcBmdBFiBxlB6q?BTrB,v115@8gB8HeC8EeF8CeG8CeD8Jex6IvhFmcBzdBUgBFhBCr?B3rB
ITZOSLJ,O,X,X,O,X,X,O,X,O,X,O,X
ITZOSJL,O,X,O,O,O,X,O,O,O,X,O,O
ITOLJSZ,X,X,X,O,X,X,X,O,X,X,O,X
ITOLJZS,X,O,X,O,X,X,X,O,O,X,O,X
ITOLSJZ,X,X,X,O,X,X,X,O,X,X,O,O
ITOLSZJ,X,X,X,O,X,X,X,X,X,X,O,O
ITOLZJS,X,O,X,O,X,X,X,O,O,X,O,O
ITOLZSJ,X,X,X,O,X,X,X,O,X,X,O,O
ITOJLSZ,X,X,X,O,X,X,X,O,X,X,O,X
ITOJLZS,X,O,X,O,X,X,X,O,O,X,O,X
ITOJSLZ,X,X,X,O,X,X,X,X,O,X,O,X
ITOJSZL,O,X,X,O,X,X,X,O,O,X,O,X
ITOJZLS,X,O,X,O,X,X,X,X,O,X,O,X
ITOJZSL,O,O,X,O,X,X,X,O,O,X,O,X
ITOSLJZ,X,X,X,O,X,X,O,X,O,X,O,X
ITOSLZJ,X,X,X,X,X,X,O,X,O,X,O,X
ITOSJLZ,X,X,X,O,X,X,O,X,O,X,O,X
ITOSJZL,O,X,X,O,X,X,O,O,O,X,O,X
ITOSZLJ,O,X,X,O,X,X,O,X,O,X,O,X
ITOSZJL,O,X,X,O,X,X,O,X,O,X,O,X
ITOZLJS,X,O,X,O,X,X,X,X,O,X,O,O
ITOZLSJ,O,X,X,O,X,X,X,X,X,X,O,O
ITOZJLS,X,O,X,O,X,X,X,X,O,X,O,O
ITOZJSL,O,O,X,O,X,X,X,O,O,X,O,O
ITOZSLJ,O,X,X,O,X,X,O,X,O,X,O,X
ITOZSJL,O,X,X,O,X,X,O,O,O,X,O,O
ILTJSZO,X,X,X,O,O,X,X,O,O,X,O,X
ILTJSOZ,X,X,X,O,X,X,X,O,O,X,X,X
ILTJZSO,X,O,X,O,O,X,X,O,O,X,O,X
ILTJZOS,X,O,X,O,X,X,X,O,O,X,O,X
ILTJOSZ,X,X,X,O,X,X,X,O,X,X,O,X
ILTJOZS,X,O,X,X,X,X,X,O,O,X,O,X
ILTSJZO,X,X,X,O,O,X,X,O,O,X,O,O
ILTSJOZ,X,X,X,O,X,X,X,O,O,X,X,O
ILTSZJO,X,X,X,O,O,X,X,O,O,X,O,O
ILTSZOJ,X,X,X,O,O,X,X,O,O,X,X,O
ILTSOJZ,X,X,X,O,X,X,X,O,O,X,X,O
ILTSOZJ,X,X,X,X,X,X,X,X,O,X,X,O
ILTZJSO,X,O,X,O,O,X,X,O,O,X,O,O
ILTZJOS,X,O,X,O,X,X,X,O,O,X,O,O
ILTZSJO,X,O,X,O,O,X,X,O,O,X,O,O
ILTZSOJ,X,X,X,O,O,X,X,O,O,X,X,O
ILTZOJS,X,O,X,O,X,X,X,O,O,X,O,O
ILTZOSJ,X,X,X,O,O,X,X,O,X,X,O,O
ILTOJSZ,X,X,X,O,X,X,X,O,X,X,O,X
ILTOJZS,X,O,X,X,X,X,X,O,O,X,O,X
ILTOSJZ,X,X,X,O,X,X,X,O,X,X,O,O
ILTOSZJ,X,X,X,X,X,X,X,O,X,X,O,O
ILTOZJS,X,O,X,X,X,X,X,O,O,X,O,O
ILTOZSJ,X,X,X,X,X,X,X,O,X,X,O,O
ILJTSZO,X,X,X,O,O,X,X,O,X,X,X,X
ILJTSOZ,X,X,X,O,X,X,X,O,X,X,X,X
ILJTZSO,X,O,X,O,O,X,X,O,X,X,X,X
ILJTZOS,X,O,X,X,X,X,X,O,X,X,X,X
ILJTOSZ,X,X,X,O,X,X,X,O,X,X,X,X
ILJTOZS,X,O,X,X,X,X,X,O,X,X,X,X
ILJSTZO,X,X,X,O,O,O,X,O,O,X,X,O
ILJSTOZ,X,X,X,O,X,O,X,O,X,X,X,O
ILJSZTO,O,O,X,O,O,X,X,O,O,X,X,O
ILJSZOT,X,O,X,O,O,X,X,O,O,X,X,O
ILJSOTZ,X,X,X,O,X,X,X,O,X,X,X,O
ILJSOZT,X,O,X,O,O,X,X,O,O,X,X,O
ILJZTSO,X,O,X,O,O,X,X,O,O,X,X,O
ILJZTOS,X,O,X,O,X,X,X,O,O,X,X,O
ILJZSTO,O,O,X,O,O,X,X,O,O,X,X,O
ILJZSOT,X,O,X,O,O,X,X,O,O,X,X,O
ILJZOTS,X,O,X,O,X,X,X,O,O,X,X,O
ILJZOST,O,O,X,O,O,X,X,O,O,X,X,O
ILJOTSZ,X,X,X,O,X,X,X,O,X,X,X,X
ILJOTZS,X,O,X,O,X,X,X,O,X,X,X,X
ILJOSTZ,X,X,X,O,X,X,X,O,X,X,X,O
ILJOSZT,O,O,X,O,O,X,X,O,X,X,X,O
ILJOZTS,X,O,X,O,X,X,X,O,X,X,X,O
ILJOZST,O,O,X,O,O,X,X,O,X,X,X,O
ILSTJZO,X,X,X,O,O,O,X,O,O,X,O,O
ILSTJOZ,X,X,X,O,X,O,X,O,O,X,X,O
ILSTZJO,X,X,X,O,O,O,X,O,O,X,O,O
ILSTZOJ,X,X,X,O,O,O,X,O,O,X,X,O
ILSTOJZ,X,X,X,O,X,O,X,O,O,X,X,O
ILSTOZJ,X,X,X,X,X,O,X,X,O,X,X,O
ILSJTZO,X,X,X,O,O,O,X,O,O,X,X,O
ILSJTOZ,X,X,X,O,X,O,X,O,O,X,X,O
ILSJZTO,O,O,X,O,O,X,X,O,O,X,X,O
ILSJZOT,X,O,X,O,O,X,X,O,O,X,X,O
ILSJOTZ,X,X,X,O,X,X,X,O,X,X,X,O
ILSJOZT,X,O,X,O,O,X,X,O,O,X,X,O
ILSZTJO,O,O,X,O,O,X,X,O,O,X,O,O
ILSZTOJ,X,X,X,O,O,X,X,O,O,X,X,O
ILSZJTO,O,O,X,O,O,X,X,O,O,X,X,O
ILSZJOT,X,O,X,O,O,X,X,O,O,X,X,O
ILSZOTJ,X,X,X,O,O,X,X,O,O,X,X,O
ILSZOJT,X,O,X,O,O,X,X,O,O,X,X,O
ILSOTJZ,X,X,X,O,X,X,X,O,O,X,X,O
ILSOTZJ,X,X,X,X,X,X,X,O,O,X,X,O
ILSOJTZ,X,X,X,O,X,X,X,O,X,X,X,O
ILSOJZT,X,O,X,O,O,X,X,O,O,X,X,O
ILSOZTJ,X,X,X,X,O,X,X,O,O,X,X,O
ILSOZJT,X,O,X,X,O,X,X,O,O,X,X,O
ILZTJSO,X,O,X,O,O,X,X,O,O,X,O,O
ILZTJOS,X,O,X,O,X,X,X,O,O,X,O,O
ILZTSJO,O,O,X,O,O,X,X,O,O,X,O,O
ILZTSOJ,X,X,X,O,O,X,X,O,O,X,X,O
ILZTOJS,X,O,X,O,X,X,X,O,O,X,O,O
ILZTOSJ,X,X,X,O,O,X,X,O,X,X,O,O
ILZJTSO,X,O,X,O,O,X,X,O,O,X,X,O
ILZJTOS,X,O,X,O,X,X,X,O,O,X,X,O
ILZJSTO,O,O,X,O,O,X,X,O,O,X,X,O
ILZJSOT,X,O,X,O,O,X,X,O,O,X,X,O
ILZJOTS,X,O,X,O,X,X,X,O,O,X,X,O
ILZJOST,O,O,X,O,O,X,X,O,O,X,X,O
ILZSTJO,O,O,X,O,O,X,X,O,O,X,O,O
ILZSTOJ,X,X,X,O,O,X,X,O,O,X,X,O
ILZSJTO,O,O,X,O,O,X,X,O,O,X,X,O
ILZSJOT,X,O,X,O,O,X,X,O,O,X,X,O
ILZSOTJ,X,X,X,O,O,X,X,O,O,X,X,O
ILZSOJT,X,O,X,O,O,X,X,O,O,X,X,O
ILZOTJS,X,O,X,O,X,X,X,O,O,X,X,O
ILZOTSJ,O,X,X,O,O,X,X,O,X,X,X,O
ILZOJTS,X,O,X,O,X,X,X,O,O,X,X,O
ILZOJST,O,O,X,O,O,X,X,O,O,X,X,O
ILZOSTJ,O,X,X,O,O,X,X,O,X,X,X,O
ILZOSJT,O,O,X,O,O,X,X,O,X,X,X,O
ILOTJSZ,X,X,X,O,X,X,X,O,X,X,X,X
ILOTJZS,X,O,X,O,X,X,X,O,X,X,X,X
ILOTSJZ,X,X,X,O,X,X,X,O,X,X,X,O
ILOTSZJ,X,X,X,O,X,X,X,O,X,X,X,O
ILOTZJS,X,O,X,O,X,X,X,O,X,X,X,O
ILOTZSJ,X,X,X,O,X,X,X,O,X,X,X,O
ILOJTSZ,X,X,X,O,X,X,X,O,X,X,X,X
ILOJTZS,X,O,X,O,X,X,X,O,X,X,X,X
ILOJSTZ,X,X,X,O,X,X,X,O,X,X,X,O
ILOJSZT,O,O,X,O,O,X,X,O,X,X,X,O
ILOJZTS,X,O,X,O,X,X,X,O,X,X,X,O
ILOJZST,O,O,X,O,O,X,X,O,X,X,X,O
ILOSTJZ,X,X,X,O,X,X,X,O,X,X,X,O
ILOSTZJ,X,X,X,O,X,X,X,O,X,X,X,O
ILOSJTZ,X,X,X,O,X,X,X,O,X,X,X,O
ILOSJZT,O,O,X,O,O,X,X,O,X,X,X,O
ILOSZTJ,O,X,X,O,O,X,X,O,X,X,X,O
ILOSZJT,O,O,X,O,O,X,X,O,X,X,X,O
ILOZTJS,X,O,X,O,X,X,X,O,X,X,X,O
ILOZTSJ,O,X,X,O,O,X,X,O,X,X,X,O
ILOZJTS,X,O,X,O,X,X,X,O,X,X,X,O
ILOZJST,O,O,X,O,O,X,X,O,X,X,X,O
ILOZSTJ,O,X,X,O,O,X,X,O,X,X,X,O
ILOZSJT,O,O,X,O,O,X,X,O,X,X,X,O
IJTLSZO,X,X,X,O,O,X,X,O,O,X,O,X
IJTLSOZ,X,X,X,O,X,X,X,O,O,X,X,X
IJTLZSO,X,O,X,O,O,X,X,O,O,X,O,X
IJTLZOS,X,O,X,O,X,X,X,O,O,X,O,X
IJTLOSZ,X,X,X,O,X,X,X,O,X,X,O,X
IJTLOZS,X,O,X,X,X,X,X,O,O,X,O,X
IJTSLZO,X,X,X,O,O,O,X,O,O,X,O,X
IJTSLOZ,X,X,X,O,X,O,X,O,X,X,X,X
IJTSZLO,O,X,O,O,O,O,X,O,O,X,O,X
IJTSZOL,O,X,O,O,O,O,X,O,O,X,O,X
IJTSOLZ,X,X,O,X,X,O,X,X,X,X,O,X
IJTSOZL,X,X,O,O,X,O,X,O,O,X,O,X
IJTZLSO,X,O,O,O,O,X,X,O,O,X,O,X
IJTZLOS,X,O,X,O,X,X,X,O,O,X,O,X
IJTZSLO,O,X,O,O,O,O,X,O,O,X,O,X
IJTZSOL,O,O,O,O,O,O,X,O,O,X,O,X
IJTZOLS,X,O,X,O,X,X,X,X,O,X,O,X
IJTZOSL,O,O,O,O,X,X,X,O,O,X,O,X
IJTOLSZ,X,X,X,O,X,X,X,O,X,X,O,X
IJTOLZS,X,O,X,O,X,X,X,O,O,X,O,X
IJTOSLZ,X,X,X,O,X,X,X,X,O,X,O,X
IJTOSZL,O,X,X,O,X,X,X,O,O,X,O,X
IJTOZLS,X,O,X,O,X,X,X,X,O,X,O,X
IJTOZSL,O,O,X,O,X,X,X,O,O,X,O,X
IJLTSZO,X,X,X,O,O,X,X,O,X,X,X,X
IJLTSOZ,X,X,X,O,X,X,X,O,X,X,X,X
IJLTZSO,X,O,X,O,O,X,X,O,X,X,X,X
IJLTZOS,X,O,X,X,X,X,X,O,X,X,X,X
IJLTOSZ,X,X,X,O,X,X,X,O,X,X,X,X
IJLTOZS,X,O,X,X,X,X,X,O,X,X,X,X
IJLSTZO,X,X,X,O,O,O,X,O,O,X,X,O
IJLSTOZ,X,X,X,O,X,O,X,O,X,X,X,O
IJLSZTO,O,O,X,O,O,X,X,O,O,X,X,O
IJLSZOT,X,O,X,O,O,X,X,O,O,X,X,O
IJLSOTZ,X,X,X,O,X,X,X,O,X,X,X,O
IJLSOZT,X,O,X,O,O,X,X,O,O,X,X,O
IJLZTSO,X,O,X,O,O,X,X,O,O,X,X,O
IJLZTOS,X,O,X,O,X,X,X,O,O,X,X,O
IJLZSTO,O,O,X,O,O,X,X,O,O,X,X,O
IJLZSOT,X,O,X,O,O,X,X,O,O,X,X,O
IJLZOTS,X,O,X,O,X,X,X,O,O,X,X,O
IJLZOST,O,O,X,O,O,X,X,O,O,X,X,O
IJLOTSZ,X,X,X,O,X,X,X,O,X,X,X,X
IJLOTZS,X,O,X,O,X,X,X,O,X,X,X,X
IJLOSTZ,X,X,X,O,X,X,X,O,X,X,X,O
IJLOSZT,O,O,X,O,O,X,X,O,X,X,X,O
IJLOZTS,X,O,X,O,X,X,X,O,X,X,X,O
IJLOZST,O,O,X,O,O,X,X,O,X,X,X,O
IJSTLZO,X,X,X,O,O,O,X,O,X,X,O,X
IJSTLOZ,X,X,X,O,X,O,X,O,X,X,X,X
IJSTZLO,O,X,O,O,O,O,X,O,O,X,O,X
IJSTZOL,O,X,O,O,O,O,X,O,O,X,O,X
IJSTOLZ,X,X,O,X,X,O,X,X,X,X,X,X
IJSTOZL,X,X,O,O,X,O,X,O,X,X,O,X
IJSLTZO,X,X,X,O,O,O,X,O,X,X,X,X
IJSLTOZ,X,X,X,O,X,O,X,O,X,X,X,X
IJSLZTO,O,O,X,O,O,X,X,O,O,X,X,X
IJSLZOT,X,O,X,O,O,X,X,O,X,X,X,X
IJSLOTZ,X,X,X,O,X,X,X,O,X,X,X,X
IJSLOZT,X,O,X,O,O,X,X,O,X,X,X,X
IJSZTLO,O,X,O,O,O,O,X,O,O,X,O,X
IJSZTOL,O,O,O,O,O,O,X,O,O,X,O,X
IJSZLTO,O,O,O,O,O,X,X,O,O,X,X,X
IJSZLOT,X,O,O,O,O,X,X,O,X,X,X,X
IJSZOTL,O,O,O,O,O,X,X,O,O,X,X,X
IJSZOLT,O,O,O,O,O,X,X,X,X,X,X,X
IJSOTLZ,X,X,O,O,X,O,X,X,X,X,X,X
IJSOTZL,O,X,O,O,X,O,X,X,X,X,X,X
IJSOLTZ,X,X,X,O,X,X,X,X,X,X,X,X
IJSOLZT,O,O,X,O,O,X,X,X,X,X,X,X
IJSOZTL,O,O,O,O,O,X,X,X,O,X,X,X
IJSOZLT,O,O,O,O,O,X,X,X,X,X,X,X
IJZTLSO,X,O,O,O,O,X,X,O,O,X,O,X
IJZTLOS,X,O,X,O,X,X,X,O,O,X,O,O
IJZTSLO,O,X,O,O,O,O,X,O,O,X,O,X
IJZTSOL,O,O,O,O,O,O,X,O,O,X,O,O
IJZTOLS,X,O,O,O,X,X,X,X,O,O,O,O
IJZTOSL,O,O,O,O,X,X,X,O,O,O,O,O
IJZLTSO,X,O,O,O,O,X,X,O,O,X,X,O
IJZLTOS,X,O,X,O,X,X,X,O,O,X,X,O
IJZLSTO,O,O,O,O,O,X,X,O,O,X,X,O
IJZLSOT,X,O,O,O,O,X,X,O,O,X,X,O
IJZLOTS,X,O,O,O,X,X,X,O,O,O,X,O
IJZLOST,O,O,O,O,O,X,X,O,O,O,X,O
IJZSTLO,O,X,O,O,O,O,X,O,O,X,O,X
IJZSTOL,O,O,O,O,O,O,X,O,O,X,O,X
IJZSLTO,O,O,O,O,O,X,X,O,O,X,X,X
IJZSLOT,X,O,O,O,O,X,X,O,O,X,X,X
IJZSOTL,O,O,O,O,O,X,X,O,O,O,X,X
IJZSOLT,O,O,O,O,O,X,X,X,O,O,X,X
IJZOTLS,X,O,O,O,X,X,X,X,O,O,O,O
IJZOTSL,O,O,O,O,X,X,X,O,O,O,O,O
IJZOLTS,X,O,O,O,X,X,X,O,O,O,X,O
IJZOLST,O,O,O,O,O,X,X,O,O,O,X,O
IJZOSTL,O,O,O,O,O,X,X,O,O,O,X,X
IJZOSLT,O,O,O,O,O,X,X,X,O,O,X,X
IJOTLSZ,X,X,X,O,X,X,X,O,X,X,O,X
IJOTLZS,X,O,X,O,X,X,X,O,O,X,O,X
IJOTSLZ,X,X,O,O,X,X,X,X,O,O,O,X
IJOTSZL,O,X,O,O,X,X,X,O,O,O,O,X
IJOTZLS,X,O,O,O,X,X,X,X,O,O,O,X
IJOTZSL,O,O,O,O,X,X,X,O,O,O,O,X
IJOLTSZ,X,X,X,O,X,X,X,O,X,X,X,X
IJOLTZS,X,O,X,O,X,X,X,O,X,X,X,X
IJOLSTZ,X,X,X,O,X,X,X,O,O,X,X,O
IJOLSZT,O,O,X,O,O,X,X,O,O,X,X,O
IJOLZTS,X,O,X,O,X,X,X,O,O,X,X,O
IJOLZST,O,O,X,O,O,X,X,O,O,X,X,O
IJOSTLZ,X,X,O,O,X,O,X,X,X,X,X,X
IJOSTZL,O,X,O,O,X,O,X,X,O,O,X,X
IJOSLTZ,X,X,X,O,X,X,X,X,X,X,X,X
IJOSLZT,O,O,X,O,O,X,X,X,O,O,X,X
IJOSZTL,O,O,O,O,O,X,X,X,O,O,X,X
IJOSZLT,O,O,O,O,O,X,X,X,O,O,X,X
IJOZTLS,X,O,O,O,X,X,X,X,O,O,O,O
IJOZTSL,O,O,O,O,X,X,X,O,O,O,O,O
IJOZLTS,X,O,O,O,X,X,X,O,O,O,X,O
IJOZLST,O,O,O,O,O,X,X,O,O,O,X,O
IJOZSTL,O,O,O,O,O,X,X,O,O,O,X,X
IJOZSLT,O,O,O,O,O,X,X,X,O,O,X,X
ISTLJZO,X,X,X,O,O,O,O,O,O,X,O,X
ISTLJOZ,X,X,X,O,X,O,O,O,X,X,X,X
ISTLZJO,X,X,X,O,O,O,O,O,O,X,O,X
ISTLZOJ,X,X,X,X,O,O,O,O,X,X,X,X
ISTLOJZ,X,X,X,O,X,O,O,O,X,X,X,X
ISTLOZJ,X,X,X,X,X,O,O,X,X,X,X,X
ISTJLZO,X,X,X,O,O,O,O,O,O,X,O,X
ISTJLOZ,X,X,X,O,X,O,O,O,X,X,X,X
ISTJZLO,O,X,O,O,O,O,O,O,O,X,O,X
ISTJZOL,O,X,O,O,O,O,O,O,O,X,O,X
ISTJOLZ,X,X,O,X,X,O,O,X,X,X,O,X
ISTJOZL,X,X,O,O,X,O,O,O,O,X,O,X
ISTZLJO,O,X,O,O,O,O,O,O,O,X,O,X
ISTZLOJ,X,X,X,X,X,O,O,X,X,X,X,X
ISTZJLO,O,X,O,O,O,O,O,O,O,X,O,X
ISTZJOL,O,X,O,O,O,O,O,O,O,X,O,X
ISTZOLJ,X,X,O,X,X,O,O,X,X,X,O,X
ISTZOJL,O,X,O,O,O,O,O,O,O,X,O,X
ISTOLJZ,X,X,O,X,X,O,O,X,X,X,O,X
ISTOLZJ,X,X,O,X,X,O,O,X,X,X,O,X
ISTOJLZ,X,X,O,X,X,O,O,X,X,X,O,X
ISTOJZL,X,X,O,O,X,O,O,O,O,X,O,X
ISTOZLJ,X,X,O,X,X,O,O,X,X,X,O,X
ISTOZJL,X,X,O,X,X,O,O,X,O,X,O,X
ISLTJZO,X,X,X,O,O,O,O,O,O,X,O,O
ISLTJOZ,X,X,X,O,X,O,O,O,X,X,X,O
ISLTZJO,X,X,X,O,O,O,O,O,O,X,O,O
ISLTZOJ,X,X,X,X,O,O,O,O,X,X,X,O
ISLTOJZ,X,X,X,O,X,O,O,O,X,X,X,O
ISLTOZJ,X,X,X,X,X,O,O,X,X,X,X,O
ISLJTZO,X,X,X,O,O,O,X,O,X,X,X,O
ISLJTOZ,X,X,X,O,X,O,X,O,X,X,X,O
ISLJZTO,O,O,X,O,O,X,X,O,O,X,X,O
ISLJZOT,X,O,X,O,O,X,X,O,X,X,X,O
ISLJOTZ,X,X,X,O,X,X,X,O,X,X,X,O
ISLJOZT,X,O,X,O,O,X,X,O,X,X,X,O
ISLZTJO,O,O,X,O,O,X,X,O,O,X,O,O
ISLZTOJ,X,X,X,X,O,X,X,O,X,X,X,O
ISLZJTO,O,O,X,O,O,X,X,O,O,X,X,O
ISLZJOT,X,O,X,O,O,X,X,O,X,X,X,O
ISLZOTJ,X,X,X,X,O,X,X,O,X,X,X,O
ISLZOJT,X,O,X,X,O,X,X,O,X,X,X,O
ISLOTJZ,X,X,X,O,X,X,O,O,X,X,X,O
ISLOTZJ,X,X,X,X,X,X,O,O,X,X,X,O
ISLOJTZ,X,X,X,O,X,X,X,O,X,X,X,O
ISLOJZT,X,O,X,O,O,X,X,O,X,X,X,O
ISLOZTJ,X,X,X,X,O,X,X,O,X,X,X,O
ISLOZJT,X,O,X,X,O,X,X,O,X,X,X,O
ISJTLZO,X,X,X,O,O,O,X,O,O,X,O,X
ISJTLOZ,X,X,X,O,X,O,X,O,X,X,X,X
ISJTZLO,O,X,O,O,O,O,X,O,O,X,O,X
ISJTZOL,O,X,O,O,O,O,X,O,O,X,O,X
ISJTOLZ,X,X,O,X,X,O,X,X,X,X,X,X
ISJTOZL,X,X,O,O,X,O,X,O,O,X,O,X
ISJLTZO,X,X,X,O,O,O,X,O,X,X,X,X
ISJLTOZ,X,X,X,O,X,O,X,O,X,X,X,X
ISJLZTO,O,O,X,O,O,X,X,O,O,X,X,X
ISJLZOT,X,O,X,O,O,X,X,O,X,X,X,X
ISJLOTZ,X,X,X,O,X,X,X,O,X,X,X,X
ISJLOZT,X,O,X,O,O,X,X,O,X,X,X,X
ISJZTLO,O,X,O,O,O,O,X,O,O,X,O,X
ISJZTOL,O,O,O,O,O,O,X,O,O,X,O,X
ISJZLTO,O,O,O,O,O,X,X,O,O,X,X,X
ISJZLOT,X,O,O,O,O,X,X,O,X,X,X,X
ISJZOTL,O,O,O,O,O,X,X,O,O,X,X,X
ISJZOLT,O,O,O,O,O,X,X,X,X,X,X,X
ISJOTLZ,X,X,O,O,X,O,X,X,X,X,X,X
ISJOTZL,O,X,O,O,X,O,X,X,X,X,X,X
ISJOLTZ,X,X,X,O,X,X,X,X,X,X,X,X
ISJOLZT,O,O,X,O,O,X,X,X,X,X,X,X
ISJOZTL,O,O,O,O,O,X,X,X,O,X,X,X
ISJOZLT,O,O,O,O,O,X,X,X,X,X,X,X
ISZTLJO,O,X,O,O,O,O,O,O,O,X,O,X
ISZTLOJ,X,X,X,X,X,O,O,X,X,X,X,X
ISZTJLO,O,X,O,O,O,O,O,O,O,X,O,X
ISZTJOL,O,O,O,O,O,O,O,O,O,X,O,O
ISZTOLJ,X,X,O,X,X,O,O,X,X,X,O,X
ISZTOJL,O,X,O,O,O,O,O,O,O,X,O,O
ISZLTJO,O,O,X,O,O,X,X,O,O,X,O,O
ISZLTOJ,X,X,X,O,O,X,X,O,X,X,X,O
ISZLJTO,O,O,O,O,O,X,X,O,O,X,X,O
ISZLJOT,X,O,O,O,O,X,X,O,X,X,X,O
ISZLOTJ,X,X,X,O,O,X,X,O,X,X,X,O
ISZLOJT,X,O,X,O,O,X,X,O,X,X,X,O
ISZJTLO,O,X,O,O,O,O,X,O,O,X,O,X
ISZJTOL,O,O,O,O,O,O,X,O,O,X,O,X
ISZJLTO,O,O,O,O,O,X,X,O,O,X,X,X
ISZJLOT,X,O,O,O,O,X,X,O,X,X,X,X
ISZJOTL,O,O,O,O,O,X,X,O,O,X,X,X
ISZJOLT,O,O,O,O,O,X,X,X,X,X,X,X
ISZOTLJ,O,X,O,O,X,X,O,X,X,X,X,X
ISZOTJL,O,X,O,O,O,X,O,O,O,X,O,O
ISZOLTJ,O,X,X,O,X,X,X,X,X,X,X,O
ISZOLJT,O,O,O,O,X,X,X,X,X,X,X,O
ISZOJTL,O,O,O,O,O,X,X,O,O,X,X,X
ISZOJLT,O,O,O,O,O,X,X,X,X,X,X,X
ISOTLJZ,X,X,O,O,X,O,O,X,X,X,X,X
ISOTLZJ,X,X,O,X,X,O,O,X,X,X,X,X
ISOTJLZ,X,X,O,O,X,O,O,X,X,X,X,X
ISOTJZL,O,X,O,O,X,O,O,X,O,X,O,X
ISOTZLJ,O,X,O,O,X,O,O,X,X,X,X,X
ISOTZJL,O,X,O,O,X,O,O,X,O,X,O,X
ISOLTJZ,X,X,X,O,X,X,O,X,X,X,X,O
ISOLTZJ,X,X,X,O,X,X,O,X,X,X,X,O
ISOLJTZ,X,X,X,O,X,X,X,X,X,X,X,O
ISOLJZT,O,O,X,O,O,X,X,X,X,X,X,O
ISOLZTJ,O,X,X,O,O,X,X,X,X,X,X,O
ISOLZJT,O,O,X,O,O,X,X,X,X,X,X,O
ISOJTLZ,X,X,O,O,X,O,X,X,X,X,X,X
ISOJTZL,O,X,O,O,X,O,X,X,X,X,X,X
ISOJLTZ,X,X,X,O,X,X,X,X,X,X,X,X
ISOJLZT,O,O,X,O,O,X,X,X,X,X,X,X
ISOJZTL,O,O,O,O,O,X,X,X,O,X,X,X
ISOJZLT,O,O,O,O,O,X,X,X,X,X,X,X
ISOZTLJ,O,X,O,O,X,X,O,X,X,X,X,X
ISOZTJL,O,X,O,O,O,X,O,X,O,X,O,O
ISOZLTJ,O,X,X,O,X,X,X,X,X,X,X,O
ISOZLJT,O,O,O,O,X,X,X,X,X,X,X,O
ISOZJTL,O,O,O,O,O,X,X,X,O,X,X,X
ISOZJLT,O,O,O,O,O,X,X,X,X,X,X,X
IZTLJSO,X,O,O,O,O,X,X,O,O,X,O,O
IZTLJOS,X,O,X,O,X,X,X,O,O,X,O,O
IZTLSJO,O,O,O,O,O,X,X,O,O,X,O,O
IZTLSOJ,X,X,X,O,O,X,X,O,O,X,X,O
IZTLOJS,X,O,X,O,X,X,X,O,O,X,O,O
IZTLOSJ,X,X,X,O,O,X,X,O,X,X,O,O
IZTJLSO,X,O,O,O,O,X,X,O,O,X,O,X
IZTJLOS,X,O,X,O,X,X,X,O,O,X,O,O
IZTJSLO,O,X,O,O,O,O,X,O,O,X,O,X
IZTJSOL,O,O,O,O,O,O,X,O,O,X,O,O
IZTJOLS,X,O,O,O,X,X,X,X,O,O,O,O
IZTJOSL,O,O,O,O,X,X,X,O,O,O,O,O
IZTSLJO,O,X,O,O,O,O,O,O,O,X,O,X
IZTSLOJ,X,X,X,X,X,O,O,X,X,X,X,X
IZTSJLO,O,X,O,O,O,O,O,O,O,X,O,X
IZTSJOL,O,O,O,O,O,O,O,O,O,X,O,O
IZTSOLJ,X,X,O,X,X,O,O,X,X,X,O,X
IZTSOJL,O,X,O,O,O,O,O,O,O,X,O,O
IZTOLJS,X,O,X,O,X,X,X,X,O,X,O,O
IZTOLSJ,O,X,X,O,X,X,X,X,X,X,O,O
IZTOJLS,X,O,X,O,X,X,X,X,O,X,O,O
IZTOJSL,O,O,O,O,X,X,X,O,O,X,O,O
IZTOSLJ,O,X,X,O,X,X,O,X,O,X,O,X
IZTOSJL,O,X,O,O,O,X,O,O,O,X,O,O
IZLTJSO,X,O,O,O,O,X,X,O,O,X,O,O
IZLTJOS,X,O,X,O,X,X,X,O,O,X,O,O
IZLTSJO,O,O,O,O,O,X,X,O,O,X,O,O
IZLTSOJ,X,X,X,O,O,X,X,O,O,X,X,O
