sequence,v115@1gD8GeB8HeC8DeA8BeD8EeH8Je06IvhFxdB2kBFiB6?oBznB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeT6IvhF5jBykBFiB8?nBmnB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jem9IvhF5jBifBFiB0?fBznB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeT6IvhFxdBykBFiB8?nB+oB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Je06IvhFxdB2kBFiBC?oBToB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeT6IvhFldB5jBykBU?iBeoB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhFifBFiBTjB0?fBWtB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhF3fBFiB6oB8?pBznBOpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Je5DJvhF/kBalBFiB8?nBmnBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeO/IvhF5jBzfBUiBa?oBlnB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeVCJvhFTeBifB0fBx?nBWtB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeO/IvhFViBajB5jBz?kB0nB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeO/IvhFxdBUiBFjBz?kBStB3pB,v115@1gD8GeB8HeC8DeA8BeD8EeH8JeX9IvhFVjBmfB0kBx?nBStBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhFykBFiBGoB0?kBXoBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhF/kBalBFiB8?nB+oBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhFmfBFiBXjB0?kBStBTpB,v115@1gD8GeB8HeC8DeA8BeD8EeH8Jex9IvhF3fBFiB8pBC?oBToBOpB
JSOILTZ,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JSOILZT,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSOIZTL,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSOIZLT,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSOLTIZ,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSOLTZI,O,X,O,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSOLITZ,O,X,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JSOLIZT,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSOLZTI,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSOLZIT,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSOZTIL,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSOZTLI,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSOZITL,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSOZILT,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JSOZLTI,O,X,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
JSOZLIT,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZTILSO,O,O,X,O,O,O,X,X,O,X,X,O,O,X,X,O,O,X
JZTILOS,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
JZTISLO,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X
JZTISOL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTIOLS,O,X,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
JZTIOSL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTLISO,O,O,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
JZTLIOS,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
JZTLSIO,O,X,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
JZTLSOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,O
JZTLOIS,O,O,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
JZTLOSI,O,X,X,O,O,O,O,X,X,X,X,O,X,X,O,O,O,X
JZTSILO,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X
JZTSIOL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZTSLIO,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X
JZTSLOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O
JZTSOIL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZTSOLI,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JZTOILS,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X
JZTOISL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZTOLIS,O,X,X,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X
JZTOLSI,O,X,X,O,O,O,O,O,X,X,X,O,X,X,X,O,O,X
JZTOSIL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZTOSLI,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JZITLSO,O,O,X,O,O,O,X,X,O,X,X,O,O,O,X,O,O,X
JZITLOS,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
JZITSLO,O,O,X,O,O,O,X,X,X,X,X,O,X,O,X,O,X,X
JZITSOL,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZITOLS,O,X,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
JZITOSL,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZILTSO,O,O,X,O,O,O,X,X,O,X,X,O,O,X,X,O,O,X
JZILTOS,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
JZILSTO,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,O,X
JZILSOT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZILOTS,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZILOST,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZISTLO,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X
JZISTOL,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZISLTO,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZISLOT,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZISOTL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZISOLT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZIOTLS,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JZIOTSL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZIOLTS,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZIOLST,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZIOSTL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZIOSLT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZLTISO,O,O,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
JZLTIOS,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
JZLTSIO,O,X,X,O,O,O,X,X,O,X,X,O,O,X,O,O,O,X
JZLTSOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,O,O,O,O
JZLTOIS,O,O,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
JZLTOSI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,O,O,X
JZLITSO,O,O,X,O,O,O,X,X,O,X,X,O,O,X,X,O,O,X
JZLITOS,O,O,X,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X
JZLISTO,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,O,X
JZLISOT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZLIOTS,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZLIOST,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZLSTIO,O,X,X,O,O,O,X,X,O,X,X,X,O,X,X,O,O,X
JZLSTOI,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O,O
JZLSITO,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,O,O,X
JZLSIOT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZLSOTI,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,O,O,X
JZLSOIT,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZLOTIS,O,O,X,O,O,O,O,X,X,X,X,X,O,X,X,O,X,X
JZLOTSI,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X
JZLOITS,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZLOIST,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZLOSTI,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,O,X
JZLOSIT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTILO,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,X,X
JZSTIOL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSTLIO,O,O,X,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X
JZSTLOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O
JZSTOIL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JZSTOLI,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
JZSITLO,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,X
JZSITOL,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
JZSILTO,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZSILOT,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZSIOTL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSIOLT,X,X,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZSLTIO,O,O,X,O,O,O,X,X,X,X,X,X,O,X,X,O,O,X
JZSLTOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,O,O,O
JZSLITO,O,O,X,O,X,O,X,X,X,X,X,X,O,X,X,O,O,X
JZSLIOT,X,O,X,O,X,O,X,X,X,O,X,X,O,X,X,X,X,X
JZSLOTI,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,O,O,X
JZSLOIT,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSOTIL,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
JZSOTLI,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JZSOITL,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSOILT,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZSOLTI,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X
JZSOLIT,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
JZOTILS,O,X,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
JZOTISL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZOTLIS,O,X,X,O,O,O,O,O,X,X,X,O,O,X,X,O,X,X
JZOTLSI,O,X,X,O,O,O,O,O,X,X,X,O,O,X,X,O,O,X
JZOTSIL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZOTSLI,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JZOITLS,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JZOITSL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZOILTS,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JZOILST,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZOISTL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZOISLT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZOLTIS,O,X,X,O,O,O,O,O,X,X,X,O,O,X,X,O,X,X
JZOLTSI,O,X,X,O,O,O,O,O,X,X,X,O,O,X,X,O,O,X
JZOLITS,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JZOLIST,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZOLSTI,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,O,X
JZOLSIT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZOSTIL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JZOSTLI,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JZOSITL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JZOSILT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JZOSLTI,O,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
JZOSLIT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOTILSZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTILZS,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JOTISLZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTISZL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOTIZLS,O,X,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
JOTIZSL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOTLISZ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JOTLIZS,O,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X
JOTLSIZ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X
JOTLSZI,O,X,O,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X
JOTLZIS,O,X,O,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X
JOTLZSI,O,X,X,X,O,X,O,O,X,X,X,O,O,X,O,X,X,X
JOTSILZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTSIZL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOTSLIZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTSLZI,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOTSZIL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOTSZLI,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOTZILS,O,X,O,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X
JOTZISL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOTZLIS,O,X,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X
JOTZLSI,O,X,X,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X
JOTZSIL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOTZSLI,O,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
JOITLSZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOITLZS,O,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JOITSLZ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOITSZL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOITZLS,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOITZSL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOILTSZ,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JOILTZS,O,X,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JOILSTZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILSZT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOILZTS,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JOILZST,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOISTLZ,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOISTZL,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOISLTZ,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOISLZT,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOISZTL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOISZLT,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOIZTLS,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JOIZTSL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOIZLTS,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JOIZLST,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOIZSTL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOIZSLT,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOLTISZ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
JOLTIZS,O,X,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X
JOLTSIZ,O,X,O,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X
JOLTSZI,O,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X
JOLTZIS,O,X,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X
JOLTZSI,O,X,X,O,O,O,O,O,X,X,X,O,O,X,O,X,X,X
JOLITSZ,O,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JOLITZS,O,X,O,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
JOLISTZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLISZT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZTS,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JOLIZST,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOLSTIZ,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JOLSTZI,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
JOLSITZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOLSIZT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOLSZTI,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X
JOLSZIT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOLZTIS,O,X,X,O,O,O,O,O,X,X,X,O,O,X,X,O,X,X
JOLZTSI,O,X,X,O,O,O,O,O,X,X,X,O,O,X,X,O,X,X
JOLZITS,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JOLZIST,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOLZSTI,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X
JOLZSIT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOSTILZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSTIZL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSTLIZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSTLZI,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSTZIL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSTZLI,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSITLZ,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSITZL,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
JOSILTZ,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSILZT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSIZTL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOSIZLT,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSLTIZ,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JOSLTZI,O,X,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JOSLITZ,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
JOSLIZT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JOSLZTI,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JOSLZIT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOSZTIL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JOSZTLI,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JOSZITL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOSZILT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOSZLTI,O,X,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
JOSZLIT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOZTILS,O,X,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,X
JOZTISL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JOZTLIS,O,X,X,O,O,O,O,O,X,X,X,O,O,X,X,O,X,X
JOZTLSI,O,X,X,O,O,O,O,O,X,X,X,O,O,X,X,O,X,X
JOZTSIL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JOZTSLI,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JOZITLS,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JOZITSL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOZILTS,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JOZILST,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOZISTL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOZISLT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOZLTIS,O,X,X,O,O,O,O,O,X,X,X,O,O,X,X,O,X,X
JOZLTSI,O,X,X,O,O,O,O,O,X,X,X,O,O,X,X,O,X,X
JOZLITS,O,X,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X
JOZLIST,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOZLSTI,O,X,X,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X
JOZLSIT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOZSTIL,O,X,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X
JOZSTLI,O,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
JOZSITL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
JOZSILT,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
JOZSLTI,O,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X
JOZSLIT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
STILJZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STILJOZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
STILZJO,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
STILZOJ,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
STILOJZ,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
STILOZJ,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
STIJLZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
STIJLOZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
STIJZLO,O,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X
STIJZOL,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
STIJOLZ,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X
STIJOZL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
STIZLJO,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
STIZLOJ,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
STIZJLO,O,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
STIZJOL,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
STIZOLJ,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
STIZOJL,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
STIOLJZ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
STIOLZJ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
STIOJLZ,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
STIOJZL,O,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X
STIOZLJ,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
STIOZJL,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
STLIJZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X
STLIJOZ,O,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X
STLIZJO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
STLIZOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X
STLIOJZ,O,X,O,X,O,O,X,X,X,O,O,X,X,X,X,X,X,X
STLIOZJ,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X
STLJIZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X
STLJIOZ,O,X,O,O,O,O,O,X,X,X,O,X,X,X,O,X,X,X
STLJZIO,O,O,O,O,O,O,X,X,O,X,X,X,X,X,O,X,O,X
STLJZOI,O,O,X,O,O,O,O,X,X,X,X,X,X,X,O,X,O,X
STLJOIZ,O,X,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
STLJOZI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
STLZIJO,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
STLZIOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,O
STLZJIO,O,O,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X
STLZJOI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O
STLZOIJ,X,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
STLZOJI,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,O,O
