sequence,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex7IvhFXdBOjBSnBl?lB0rBzqB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jel7IvhFCdBOjB/mBT?iB0lBRwB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex7IvhF6iBOjB3gBz?hB8qB1wB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhFxcBOjBSnBl?lBXrBzrB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je08IvhFxdBziBllB3?mB6qB2wB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je08IvhFxdB3gBziBl?mB6qB2wB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhFxcBOjBTiBl?lBXrBqrB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je38IvhFFeB5lB0iBi?gBTrBmrB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhF6hBxdBziBl?lBXrBesB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex7IvhFTdBOjBllBc?rBXsBCrB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhFzcB3iBFjBx?lBCrB2wB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Je07IvhFXdBOjBSnBl?lBTmBRwB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex7IvhFOjBTiBllBc?rBCrBXsB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jex9IvhF3gBziBGrBa?sBcrBlqB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jem7IvhFXeB1lBzhB0?iBSrBRwB,v115@zgB8HeC8FeC8GeD8CeG8DeC8Jem7IvhF0dB1lBzhBX?jBSrBRwB
JLOSTIZ,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X
JLOSTZI,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X
JLOSITZ,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JLOSIZT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLOSZTI,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLOSZIT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLOZTIS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JLOZTSI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JLOZITS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JLOZIST,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLOZSTI,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JLOZSIT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSTILZO,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JSTILOZ,X,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
JSTIZLO,O,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X
JSTIZOL,X,X,O,O,X,O,O,X,O,O,X,X,X,X,O,X
JSTIOLZ,X,X,O,X,X,O,O,X,O,X,X,X,X,X,O,X
JSTIOZL,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X
JSTLIZO,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JSTLIOZ,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JSTLZIO,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
JSTLZOI,O,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X
JSTLOIZ,X,X,O,O,X,O,O,X,O,X,X,X,X,O,X,X
JSTLOZI,X,X,O,O,X,O,O,X,O,X,X,X,X,O,X,X
JSTZILO,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X
JSTZIOL,X,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X
JSTZLIO,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X
JSTZLOI,O,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X
JSTZOIL,X,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X
JSTZOLI,X,O,O,O,O,O,O,X,O,O,X,X,O,X,X,X
JSTOILZ,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
JSTOIZL,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JSTOLIZ,X,X,O,O,O,O,O,X,O,X,X,X,X,O,X,X
JSTOLZI,X,X,O,O,O,O,O,X,O,X,X,X,X,O,X,X
JSTOZIL,X,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X
JSTOZLI,X,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X
JSITLZO,X,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X
JSITLOZ,X,O,O,O,X,X,O,X,O,X,X,O,X,X,O,X
JSITZLO,O,O,O,O,X,X,O,X,O,O,X,O,X,X,X,X
JSITZOL,X,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X
JSITOLZ,X,O,O,X,X,O,O,X,O,X,X,X,X,X,O,X
JSITOZL,X,O,X,X,X,O,X,X,O,X,X,X,X,X,O,O
JSILTZO,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JSILTOZ,X,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
JSILZTO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSILZOT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSILOTZ,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JSILOZT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIZTLO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSIZTOL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSIZLTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIZOTL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSIZOLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSIOTLZ,X,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
JSIOTZL,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
JSIOLTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIOLZT,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSIOZTL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSIOZLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSLTIZO,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JSLTIOZ,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X
JSLTZIO,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
JSLTZOI,O,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
JSLTOIZ,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X
JSLTOZI,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X
JSLITZO,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
JSLITOZ,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X
JSLIZTO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLIZOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSLIOTZ,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JSLIOZT,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSLZTIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLZTOI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSLZITO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JSLZIOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSLZOTI,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSLZOIT,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSLOTIZ,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X
JSLOTZI,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X
JSLOITZ,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JSLOIZT,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSLOZTI,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSLOZIT,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSZTILO,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
JSZTIOL,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
JSZTLIO,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
JSZTLOI,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
JSZTOIL,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
JSZTOLI,X,O,X,O,X,O,O,X,X,O,X,X,O,X,X,X
JSZITLO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZITOL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JSZILTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZILOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZIOTL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSZIOLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTIO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZLTOI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JSZLITO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZLIOT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSZLOTI,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSZLOIT,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSZOTIL,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSZOTLI,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X
JSZOITL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSZOILT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSZOLTI,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSZOLIT,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSOTILZ,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
JSOTIZL,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JSOTLIZ,X,X,O,O,O,O,O,X,O,X,X,X,X,O,X,X
JSOTLZI,X,X,O,O,O,O,O,X,O,X,X,X,X,O,X,X
JSOTZIL,X,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X
JSOTZLI,X,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X
JSOITLZ,X,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
JSOITZL,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
JSOILTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOILZT,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOIZTL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOIZLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOLTIZ,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X
JSOLTZI,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X
JSOLITZ,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JSOLIZT,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSOLZTI,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSOLZIT,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSOZTIL,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JSOZTLI,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X
JSOZITL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JSOZILT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JSOZLTI,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JSOZLIT,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZTILSO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTILOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTISLO,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZTISOL,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZTIOLS,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
JZTIOSL,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JZTLISO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTLIOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZTLSIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZTLSOI,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X
JZTLOIS,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZTLOSI,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZTSILO,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X
JZTSIOL,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZTSLIO,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZTSLOI,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZTSOIL,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X
JZTSOLI,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
JZTOILS,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
JZTOISL,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JZTOLIS,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZTOLSI,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZTOSIL,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JZTOSLI,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
JZITLSO,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
JZITLOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZITSLO,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
JZITSOL,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,X
JZITOLS,O,X,O,X,X,X,X,O,X,X,X,O,O,X,X,O
JZITOSL,X,O,O,X,X,X,X,O,X,O,X,X,X,X,O,O
JZILTSO,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILTOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILSTO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZILSOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILOTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZILOST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISTLO,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
JZISTOL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZISLTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISLOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZISOTL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZISOLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZIOTLS,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,X
JZIOTSL,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZIOLTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZIOLST,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JZIOSTL,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
JZIOSLT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZLTISO,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
JZLTIOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLTSIO,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLTSOI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X
JZLTOIS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZLTOSI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZLITSO,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLITOS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLISTO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLISOT,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLIOTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLIOST,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLSTIO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLSTOI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZLSITO,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
JZLSIOT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZLSOTI,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZLSOIT,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZLOTIS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZLOTSI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZLOITS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZLOIST,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZLOSTI,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZLOSIT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZSTILO,O,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X
JZSTIOL,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
JZSTLIO,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X
JZSTLOI,O,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
JZSTOIL,X,O,X,O,X,O,O,X,X,O,X,X,X,X,X,X
JZSTOLI,X,O,X,O,X,O,O,X,X,O,X,X,O,X,X,X
JZSITLO,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZSITOL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
JZSILTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSILOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSIOTL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSIOLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTIO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSLTOI,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
JZSLITO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSLIOT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSLOTI,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZSLOIT,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZSOTIL,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
JZSOTLI,X,O,X,X,X,O,O,X,X,X,O,X,O,X,X,X
JZSOITL,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
JZSOILT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZSOLTI,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZSOLIT,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
JZOTILS,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
JZOTISL,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JZOTLIS,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZOTLSI,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JZOTSIL,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JZOTSLI,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
JZOITLS,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
JZOITSL,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZOILTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JZOILST,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JZOISTL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZOISLT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZOLTIS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOLTSI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JZOLITS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOLIST,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZOLSTI,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZOLSIT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZOSTIL,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
JZOSTLI,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X
JZOSITL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JZOSILT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
JZOSLTI,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JZOSLIT,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOTILSZ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
JOTILZS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTISLZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTISZL,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTIZLS,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
JOTIZSL,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JOTLISZ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
JOTLIZS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTLSIZ,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JOTLSZI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JOTLZIS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTLZSI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOTSILZ,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JOTSIZL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTSLIZ,X,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X
JOTSLZI,X,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X
JOTSZIL,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
JOTSZLI,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X
JOTZILS,O,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X
JOTZISL,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JOTZLIS,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JOTZLSI,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
JOTZSIL,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X
JOTZSLI,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X
JOITLSZ,X,O,O,X,X,O,X,X,X,X,X,O,X,O,O,X
JOITLZS,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,O
JOITSLZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X,O,X
JOITSZL,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,O
JOITZLS,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,O
JOITZSL,X,O,O,X,X,O,X,O,X,O,X,X,X,X,O,O
JOILTSZ,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X
JOILTZS,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOILSTZ,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JOILSZT,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JOILZTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOILZST,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JOISTLZ,X,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
JOISTZL,X,O,X,X,O,O,X,O,X,X,X,X,X,X,O,X
JOISLTZ,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
JOISLZT,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JOISZTL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOISZLT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOIZTLS,O,X,X,X,X,O,X,O,X,X,X,O,O,X,X,O
JOIZTSL,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O
JOIZLTS,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
JOIZLST,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
JOIZSTL,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOIZSLT,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
JOLTISZ,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X
JOLTIZS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLTSIZ,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JOLTSZI,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
JOLTZIS,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLTZSI,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
JOLITSZ,X,O,O,X,X,O,X,X,X,X,X,O,X,O,X,X
JOLITZS,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
JOLISTZ,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JOLISZT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLIZTS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLIZST,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLSTIZ,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X
JOLSTZI,X,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X
JOLSITZ,X,O,O,X,X,X,X,X,X,X,X,O,X,O,X,X
JOLSIZT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLSZTI,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLSZIT,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLZTIS,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLZTSI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
JOLZITS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
JOLZIST,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLZSTI,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOLZSIT,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
JOSTILZ,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X
JOSTIZL,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X
JOSTLIZ,X,X,O,O,O,O,O,X,O,X,X,X,X,O,X,X
JOSTLZI,X,X,O,O,O,O,O,X,O,X,X,X,X,O,X,X
JOSTZIL,X,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X
JOSTZLI,X,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X
