sequence,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF3bBzcB5jB8lBSnBlrB,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF3cB5jB6lBTiBUhBlrB,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF3bBUdB5jBzlBFnB6rB,v115@zgA8FeB8AeA8GeA8AeA8AeA8EeA8AeC8DeB8AeE8Ae?D8Jeu/IvhF/iB5jB6lBThB8rBFrB
LIOSZJT,O,O,X,O
LIOZTJS,O,O,X,X
LIOZTSJ,O,O,X,X
LIOZJTS,O,O,X,X
LIOZJST,O,O,X,X
LIOZSTJ,O,X,X,X
LIOZSJT,O,O,X,X
LJTISZO,O,X,X,O
LJTISOZ,O,O,X,X
LJTIZSO,O,X,X,X
LJTIZOS,O,O,O,X
LJTIOSZ,O,O,O,X
LJTIOZS,O,O,O,X
LJTSIZO,O,X,X,O
LJTSIOZ,O,O,X,X
LJTSZIO,O,X,X,O
LJTSZOI,O,X,X,O
LJTSOIZ,O,O,X,X
LJTSOZI,O,O,X,X
LJTZISO,O,X,X,X
LJTZIOS,O,O,O,X
LJTZSIO,O,X,X,X
LJTZSOI,O,X,X,X
LJTZOIS,O,O,O,X
LJTZOSI,O,O,O,X
LJTOISZ,O,O,O,X
LJTOIZS,O,O,O,X
LJTOSIZ,O,O,O,X
LJTOSZI,O,O,O,X
LJTOZIS,O,O,O,X
LJTOZSI,O,O,O,X
LJITSZO,O,X,X,O
LJITSOZ,O,O,X,X
LJITZSO,O,X,X,X
LJITZOS,O,O,O,X
LJITOSZ,O,O,O,X
LJITOZS,O,O,O,X
LJISTZO,O,X,X,O
LJISTOZ,O,O,X,X
LJISZTO,O,X,X,O
LJISZOT,O,X,X,O
LJISOTZ,O,O,O,X
LJISOZT,O,O,X,O
LJIZTSO,O,X,X,X
LJIZTOS,O,O,X,X
LJIZSTO,O,X,X,O
LJIZSOT,O,X,X,O
LJIZOTS,O,O,X,X
LJIZOST,O,O,X,X
LJIOTSZ,O,O,O,X
LJIOTZS,O,O,O,X
LJIOSTZ,O,O,O,X
LJIOSZT,O,O,X,O
LJIOZTS,O,O,X,X
LJIOZST,O,O,X,X
LJSTIZO,O,X,X,O
LJSTIOZ,O,O,X,X
LJSTZIO,O,X,X,O
LJSTZOI,O,X,X,O
LJSTOIZ,O,O,X,X
LJSTOZI,O,O,X,X
LJSITZO,O,X,X,O
LJSITOZ,O,O,X,X
LJSIZTO,O,X,X,O
LJSIZOT,O,X,X,O
LJSIOTZ,O,O,O,X
LJSIOZT,O,O,X,O
LJSZTIO,O,X,X,O
LJSZTOI,O,X,X,O
LJSZITO,O,X,X,O
LJSZIOT,O,X,X,O
LJSZOTI,O,X,X,O
LJSZOIT,O,X,X,O
LJSOTIZ,O,O,O,X
LJSOTZI,O,O,O,X
LJSOITZ,O,O,O,X
LJSOIZT,O,O,X,O
LJSOZTI,O,X,X,O
LJSOZIT,O,O,X,O
LJZTISO,O,X,X,X
LJZTIOS,O,O,X,X
LJZTSIO,O,X,X,X
LJZTSOI,O,X,X,X
LJZTOIS,O,O,X,X
LJZTOSI,O,O,X,X
LJZITSO,O,X,X,X
LJZITOS,O,O,X,X
LJZISTO,O,X,X,O
LJZISOT,O,X,X,O
LJZIOTS,O,O,X,X
LJZIOST,O,O,X,X
LJZSTIO,O,X,X,O
LJZSTOI,O,X,X,O
LJZSITO,O,X,X,O
LJZSIOT,O,X,X,O
LJZSOTI,O,X,X,O
LJZSOIT,O,X,X,O
LJZOTIS,O,O,X,X
LJZOTSI,O,O,X,X
LJZOITS,O,O,X,X
LJZOIST,O,O,X,X
LJZOSTI,O,X,X,X
LJZOSIT,O,O,X,X
LJOTISZ,O,O,O,X
LJOTIZS,O,O,O,X
LJOTSIZ,O,O,O,X
LJOTSZI,O,O,O,X
LJOTZIS,O,O,O,X
LJOTZSI,O,O,O,X
LJOITSZ,O,O,O,X
LJOITZS,O,O,O,X
LJOISTZ,O,O,O,X
LJOISZT,O,O,X,O
LJOIZTS,O,O,X,X
LJOIZST,O,O,X,X
LJOSTIZ,O,O,O,X
LJOSTZI,O,O,O,X
LJOSITZ,O,O,O,X
LJOSIZT,O,O,X,O
LJOSZTI,O,X,X,O
LJOSZIT,O,O,X,O
LJOZTIS,O,O,X,X
LJOZTSI,O,O,X,X
LJOZITS,O,O,X,X
LJOZIST,O,O,X,X
LJOZSTI,O,X,X,X
LJOZSIT,O,O,X,X
LSTIJZO,O,X,X,O
LSTIJOZ,O,O,X,X
LSTIZJO,O,X,X,O
LSTIZOJ,O,X,X,O
LSTIOJZ,O,O,X,X
LSTIOZJ,O,O,X,X
LSTJIZO,O,X,X,O
LSTJIOZ,O,O,X,X
LSTJZIO,O,X,X,O
LSTJZOI,O,X,X,O
LSTJOIZ,O,O,X,X
LSTJOZI,O,O,X,X
LSTZIJO,O,X,X,O
LSTZIOJ,O,X,X,O
LSTZJIO,O,X,X,O
LSTZJOI,O,X,X,O
LSTZOIJ,O,X,X,O
LSTZOJI,O,X,X,O
LSTOIJZ,O,O,X,X
LSTOIZJ,O,O,X,X
LSTOJIZ,O,O,X,X
LSTOJZI,O,O,X,X
LSTOZIJ,O,O,X,X
LSTOZJI,O,O,X,X
LSITJZO,O,X,X,O
LSITJOZ,O,O,X,X
LSITZJO,O,X,X,O
LSITZOJ,O,X,X,O
LSITOJZ,O,O,X,X
LSITOZJ,O,O,X,X
LSIJTZO,O,X,X,O
LSIJTOZ,O,O,X,X
LSIJZTO,O,X,X,O
LSIJZOT,O,X,X,O
LSIJOTZ,O,O,O,X
LSIJOZT,O,O,X,O
LSIZTJO,O,X,X,O
LSIZTOJ,O,X,X,O
LSIZJTO,O,X,X,O
LSIZJOT,O,X,X,O
LSIZOTJ,O,X,X,O
LSIZOJT,O,X,X,O
LSIOTJZ,O,O,O,X
LSIOTZJ,O,O,O,X
LSIOJTZ,O,O,O,X
LSIOJZT,O,O,X,O
LSIOZTJ,O,X,X,O
LSIOZJT,O,O,X,O
LSJTIZO,O,X,X,O
LSJTIOZ,O,O,X,X
LSJTZIO,O,X,X,O
LSJTZOI,O,X,X,O
LSJTOIZ,O,O,X,X
LSJTOZI,O,O,X,X
LSJITZO,O,X,X,O
LSJITOZ,O,O,X,X
LSJIZTO,O,X,X,O
LSJIZOT,O,X,X,O
LSJIOTZ,O,O,O,X
LSJIOZT,O,O,X,O
LSJZTIO,O,X,X,O
LSJZTOI,O,X,X,O
LSJZITO,O,X,X,O
LSJZIOT,O,X,X,O
LSJZOTI,O,X,X,O
LSJZOIT,O,X,X,O
LSJOTIZ,O,O,O,X
LSJOTZI,O,O,O,X
LSJOITZ,O,O,O,X
LSJOIZT,O,O,X,O
LSJOZTI,O,X,X,O
LSJOZIT,O,O,X,O
LSZTIJO,O,X,X,O
LSZTIOJ,O,X,X,O
LSZTJIO,O,X,X,O
LSZTJOI,O,X,X,O
LSZTOIJ,O,X,X,O
LSZTOJI,O,X,X,O
LSZITJO,O,X,X,O
LSZITOJ,O,X,X,O
LSZIJTO,O,X,X,O
LSZIJOT,O,X,X,O
LSZIOTJ,O,X,X,O
LSZIOJT,O,X,X,O
LSZJTIO,O,X,X,O
LSZJTOI,O,X,X,O
LSZJITO,O,X,X,O
LSZJIOT,O,X,X,O
LSZJOTI,O,X,X,O
LSZJOIT,O,X,X,O
LSZOTIJ,O,X,X,O
LSZOTJI,O,X,X,O
LSZOITJ,O,X,X,O
LSZOIJT,O,X,X,O
LSZOJTI,O,X,X,O
LSZOJIT,O,X,X,O
LSOTIJZ,O,O,O,X
LSOTIZJ,O,O,O,X
LSOTJIZ,O,O,O,X
LSOTJZI,O,O,O,X
LSOTZIJ,O,O,O,X
LSOTZJI,O,O,O,X
LSOITJZ,O,O,O,X
LSOITZJ,O,O,O,X
LSOIJTZ,O,O,O,X
LSOIJZT,O,O,X,O
LSOIZTJ,O,X,X,O
LSOIZJT,O,O,X,O
LSOJTIZ,O,O,O,X
LSOJTZI,O,O,O,X
LSOJITZ,O,O,O,X
LSOJIZT,O,O,X,O
LSOJZTI,O,X,X,O
LSOJZIT,O,O,X,O
LSOZTIJ,O,X,X,O
LSOZTJI,O,X,X,O
LSOZITJ,O,X,X,O
LSOZIJT,O,O,X,O
LSOZJTI,O,X,X,O
LSOZJIT,O,O,X,O
LZTIJSO,O,X,X,X
LZTIJOS,O,O,X,X
LZTISJO,O,X,X,X
LZTISOJ,O,X,X,X
LZTIOJS,O,O,X,X
LZTIOSJ,O,O,X,X
LZTJISO,O,X,X,X
LZTJIOS,O,O,X,X
LZTJSIO,O,X,X,X
LZTJSOI,O,X,X,X
LZTJOIS,O,O,X,X
LZTJOSI,O,O,X,X
LZTSIJO,O,X,X,X
LZTSIOJ,O,X,X,X
LZTSJIO,O,X,X,X
LZTSJOI,O,X,X,X
LZTSOIJ,O,X,X,X
LZTSOJI,O,X,X,X
LZTOIJS,O,O,X,X
LZTOISJ,O,O,X,X
LZTOJIS,O,O,X,X
LZTOJSI,O,O,X,X
LZTOSIJ,O,O,X,X
LZTOSJI,O,O,X,X
LZITJSO,O,X,X,X
LZITJOS,O,O,X,X
LZITSJO,O,X,X,X
LZITSOJ,O,X,X,X
LZITOJS,O,O,X,X
LZITOSJ,O,O,X,X
LZIJTSO,O,X,X,X
LZIJTOS,O,O,X,X
LZIJSTO,O,X,X,O
LZIJSOT,O,X,X,O
LZIJOTS,O,O,X,X
LZIJOST,O,O,X,X
LZISTJO,O,X,X,O
LZISTOJ,O,X,X,O
LZISJTO,O,X,X,O
LZISJOT,O,X,X,O
LZISOTJ,O,X,X,O
LZISOJT,O,X,X,O
LZIOTJS,O,O,X,X
LZIOTSJ,O,O,X,X
LZIOJTS,O,O,X,X
LZIOJST,O,O,X,X
LZIOSTJ,O,X,X,X
LZIOSJT,O,O,X,X
LZJTISO,O,X,X,X
LZJTIOS,O,O,X,X
LZJTSIO,O,X,X,X
LZJTSOI,O,X,X,X
LZJTOIS,O,O,X,X
LZJTOSI,O,O,X,X
LZJITSO,O,X,X,X
LZJITOS,O,O,X,X
LZJISTO,O,X,X,O
LZJISOT,O,X,X,O
LZJIOTS,O,O,X,X
LZJIOST,O,O,X,X
LZJSTIO,O,X,X,O
LZJSTOI,O,X,X,O
LZJSITO,O,X,X,O
LZJSIOT,O,X,X,O
LZJSOTI,O,X,X,O
LZJSOIT,O,X,X,O
LZJOTIS,O,O,X,X
LZJOTSI,O,O,X,X
LZJOITS,O,O,X,X
LZJOIST,O,O,X,X
LZJOSTI,O,X,X,X
LZJOSIT,O,O,X,X
LZSTIJO,O,X,X,O
LZSTIOJ,O,X,X,O
LZSTJIO,O,X,X,O
LZSTJOI,O,X,X,O
LZSTOIJ,O,X,X,O
LZSTOJI,O,X,X,O
LZSITJO,O,X,X,O
LZSITOJ,O,X,X,O
LZSIJTO,O,X,X,O
LZSIJOT,O,X,X,O
LZSIOTJ,O,X,X,O
LZSIOJT,O,X,X,O
LZSJTIO,O,X,X,O
LZSJTOI,O,X,X,O
LZSJITO,O,X,X,O
LZSJIOT,O,X,X,O
LZSJOTI,O,X,X,O
LZSJOIT,O,X,X,O
LZSOTIJ,O,X,X,O
LZSOTJI,O,X,X,O
LZSOITJ,O,X,X,O
LZSOIJT,O,X,X,O
LZSOJTI,O,X,X,O
LZSOJIT,O,X,X,O
LZOTIJS,O,O,X,X
LZOTISJ,O,O,X,X
LZOTJIS,O,O,X,X
LZOTJSI,O,O,X,X
LZOTSIJ,O,O,X,X
LZOTSJI,O,O,X,X
LZOITJS,O,O,X,X
LZOITSJ,O,O,X,X
LZOIJTS,O,O,X,X
LZOIJST,O,O,X,X
LZOISTJ,O,X,X,X
LZOISJT,O,O,X,X
LZOJTIS,O,O,X,X
LZOJTSI,O,O,X,X
LZOJITS,O,O,X,X
LZOJIST,O,O,X,X
LZOJSTI,O,X,X,X
LZOJSIT,O,O,X,X
LZOSTIJ,O,X,X,X
LZOSTJI,O,X,X,X
LZOSITJ,O,X,X,X
LZOSIJT,O,O,X,X
LZOSJTI,O,X,X,X
LZOSJIT,O,O,X,X
LOTIJSZ,O,O,O,X
LOTIJZS,O,O,O,X
LOTISJZ,O,O,O,X
LOTISZJ,O,O,O,X
LOTIZJS,O,O,O,X
LOTIZSJ,O,O,O,X
LOTJISZ,O,O,O,X
LOTJIZS,O,O,O,X
LOTJSIZ,O,O,O,X
LOTJSZI,O,O,O,X
LOTJZIS,O,O,O,X
LOTJZSI,O,O,O,X
LOTSIJZ,O,O,O,X
LOTSIZJ,O,O,O,X
LOTSJIZ,O,O,O,X
LOTSJZI,O,O,O,X
LOTSZIJ,O,O,O,X
LOTSZJI,O,O,O,X
LOTZIJS,O,O,O,X
LOTZISJ,O,O,O,X
LOTZJIS,O,O,O,X
LOTZJSI,O,O,O,X
LOTZSIJ,O,O,O,X
LOTZSJI,O,O,O,X
LOITJSZ,O,O,O,X
LOITJZS,O,O,O,X
LOITSJZ,O,O,O,X
LOITSZJ,O,O,O,X
LOITZJS,O,O,O,X
LOITZSJ,O,O,O,X
LOIJTSZ,O,O,O,X
LOIJTZS,O,O,O,X
LOIJSTZ,O,O,O,X
LOIJSZT,O,O,X,O
LOIJZTS,O,O,X,X
LOIJZST,O,O,X,X
LOISTJZ,O,O,O,X
LOISTZJ,O,O,O,X
LOISJTZ,O,O,O,X
LOISJZT,O,O,X,O
LOISZTJ,O,X,X,O
LOISZJT,O,O,X,O
LOIZTJS,O,O,X,X
LOIZTSJ,O,O,X,X
LOIZJTS,O,O,X,X
LOIZJST,O,O,X,X
LOIZSTJ,O,X,X,X
LOIZSJT,O,O,X,X
LOJTISZ,O,O,O,X
LOJTIZS,O,O,O,X
LOJTSIZ,O,O,O,X
LOJTSZI,O,O,O,X
LOJTZIS,O,O,O,X
LOJTZSI,O,O,O,X
LOJITSZ,O,O,O,X
LOJITZS,O,O,O,X
LOJISTZ,O,O,O,X
LOJISZT,O,O,X,O
LOJIZTS,O,O,X,X
LOJIZST,O,O,X,X
LOJSTIZ,O,O,O,X
LOJSTZI,O,O,O,X
LOJSITZ,O,O,O,X
LOJSIZT,O,O,X,O
LOJSZTI,O,X,X,O
LOJSZIT,O,O,X,O
LOJZTIS,O,O,X,X
LOJZTSI,O,O,X,X
LOJZITS,O,O,X,X
LOJZIST,O,O,X,X
LOJZSTI,O,X,X,X
LOJZSIT,O,O,X,X
LOSTIJZ,O,O,O,X
LOSTIZJ,O,O,O,X
LOSTJIZ,O,O,O,X
LOSTJZI,O,O,O,X
LOSTZIJ,O,O,O,X
LOSTZJI,O,O,O,X
LOSITJZ,O,O,O,X
LOSITZJ,O,O,O,X
LOSIJTZ,O,O,O,X
LOSIJZT,O,O,X,O
LOSIZTJ,O,X,X,O
LOSIZJT,O,O,X,O
LOSJTIZ,O,O,O,X
LOSJTZI,O,O,O,X
LOSJITZ,O,O,O,X
LOSJIZT,O,O,X,O
LOSJZTI,O,X,X,O
LOSJZIT,O,O,X,O
LOSZTIJ,O,X,X,O
LOSZTJI,O,X,X,O
LOSZITJ,O,X,X,O
LOSZIJT,O,O,X,O
LOSZJTI,O,X,X,O
LOSZJIT,O,O,X,O
LOZTIJS,O,O,X,X
LOZTISJ,O,O,X,X
LOZTJIS,O,O,X,X
LOZTJSI,O,O,X,X
LOZTSIJ,O,O,X,X
LOZTSJI,O,O,X,X
LOZITJS,O,O,X,X
LOZITSJ,O,O,X,X
LOZIJTS,O,O,X,X
LOZIJST,O,O,X,X
LOZISTJ,O,X,X,X
LOZISJT,O,O,X,X
LOZJTIS,O,O,X,X
LOZJTSI,O,O,X,X
LOZJITS,O,O,X,X
LOZJIST,O,O,X,X
LOZJSTI,O,X,X,X
LOZJSIT,O,O,X,X
LOZSTIJ,O,X,X,X
LOZSTJI,O,X,X,X
LOZSITJ,O,X,X,X
LOZSIJT,O,O,X,X
LOZSJTI,O,X,X,X
LOZSJIT,O,O,X,X
JTILSZO,O,X,X,O
JTILSOZ,O,O,X,X
JTILZSO,O,X,X,X
JTILZOS,O,O,O,X
JTILOSZ,O,O,O,X
JTILOZS,O,O,O,X
JTISLZO,O,X,X,O
JTISLOZ,O,X,X,X
JTISZLO,O,X,X,O
JTISZOL,O,X,O,X
JTISOLZ,X,X,O,X
JTISOZL,X,X,O,X
JTIZLSO,O,X,X,X
JTIZLOS,O,X,O,X
JTIZSLO,O,X,X,X
JTIZSOL,O,X,O,X
JTIZOLS,O,X,O,X
JTIZOSL,O,X,O,X
JTIOLSZ,O,O,O,X
JTIOLZS,O,O,O,X
JTIOSLZ,X,O,O,X
JTIOSZL,X,X,O,X
JTIOZLS,O,X,O,X
JTIOZSL,O,X,O,X
JTLISZO,O,X,X,O
JTLISOZ,O,O,X,X
JTLIZSO,O,X,X,X
JTLIZOS,O,O,O,X
JTLIOSZ,O,O,O,X
JTLIOZS,O,O,O,X
JTLSIZO,O,X,X,O
JTLSIOZ,O,O,X,X
JTLSZIO,O,X,X,O
JTLSZOI,O,X,X,O
JTLSOIZ,O,O,X,X
JTLSOZI,O,O,X,X
JTLZISO,O,X,X,X
JTLZIOS,O,O,O,X
JTLZSIO,O,X,X,X
JTLZSOI,O,X,X,X
JTLZOIS,O,O,O,X
JTLZOSI,O,O,O,X
JTLOISZ,O,O,O,X
JTLOIZS,O,O,O,X
JTLOSIZ,O,O,O,X
JTLOSZI,O,O,O,X
JTLOZIS,O,O,O,X
JTLOZSI,O,O,O,X
JTSILZO,O,X,X,O
JTSILOZ,O,X,X,X
JTSIZLO,O,X,X,O
JTSIZOL,O,X,O,X
JTSIOLZ,X,X,O,X
JTSIOZL,X,X,O,X
JTSLIZO,O,X,X,O
JTSLIOZ,O,X,X,X
JTSLZIO,O,X,X,O
JTSLZOI,O,X,X,O
JTSLOIZ,O,X,X,X
JTSLOZI,O,X,X,X
JTSZILO,O,X,X,O
JTSZIOL,O,X,O,X
JTSZLIO,O,X,X,O
JTSZLOI,O,X,X,O
JTSZOIL,O,X,O,X
JTSZOLI,O,X,O,X
JTSOILZ,X,X,O,X
JTSOIZL,X,X,O,X
JTSOLIZ,X,X,O,X
JTSOLZI,X,X,O,X
JTSOZIL,X,X,O,X
JTSOZLI,X,X,O,X
JTZILSO,O,X,X,X
JTZILOS,O,X,O,X
JTZISLO,O,X,X,X
JTZISOL,O,X,O,X
JTZIOLS,O,X,O,X
JTZIOSL,O,X,O,X
JTZLISO,O,X,X,X
JTZLIOS,O,X,O,X
JTZLSIO,O,X,X,X
JTZLSOI,O,X,X,X
JTZLOIS,O,X,O,X
JTZLOSI,O,X,O,X
JTZSILO,O,X,X,X
JTZSIOL,O,X,O,X
JTZSLIO,O,X,X,X
JTZSLOI,O,X,X,X
JTZSOIL,O,X,O,X
JTZSOLI,O,X,O,X
JTZOILS,O,X,O,X
JTZOISL,O,X,O,X
JTZOLIS,O,X,O,X
JTZOLSI,O,X,O,X
JTZOSIL,O,X,O,X
JTZOSLI,O,X,O,X
JTOILSZ,O,O,O,X
JTOILZS,O,O,O,X
JTOISLZ,X,O,O,X
JTOISZL,X,X,O,X
JTOIZLS,O,X,O,X
JTOIZSL,O,X,O,X
JTOLISZ,O,O,O,X
JTOLIZS,O,O,O,X
JTOLSIZ,O,O,O,X
JTOLSZI,O,O,O,X
JTOLZIS,O,O,O,X
JTOLZSI,O,O,O,X
JTOSILZ,X,O,O,X
JTOSIZL,X,X,O,X
JTOSLIZ,X,O,O,X
JTOSLZI,X,O,O,X
JTOSZIL,X,X,O,X
JTOSZLI,X,X,O,X
JTOZILS,O,X,O,X
JTOZISL,O,X,O,X
JTOZLIS,O,X,O,X
JTOZLSI,O,X,O,X
JTOZSIL,O,X,O,X
JTOZSLI,O,X,O,X
JITLSZO,O,X,X,O
JITLSOZ,O,O,X,X
JITLZSO,O,X,X,X
JITLZOS,O,O,O,X
JITLOSZ,O,O,O,X
JITLOZS,O,O,O,X
JITSLZO,O,X,X,O
JITSLOZ,O,X,X,X
JITSZLO,O,X,X,O
JITSZOL,O,X,O,X
JITSOLZ,X,X,O,X
JITSOZL,X,X,O,X
JITZLSO,O,X,X,X
JITZLOS,O,X,O,X
JITZSLO,O,X,X,X
JITZSOL,O,X,O,X
JITZOLS,O,X,O,X
JITZOSL,O,X,O,X
JITOLSZ,O,O,O,X
JITOLZS,O,O,O,X
JITOSLZ,X,O,O,X
JITOSZL,X,X,O,X
JITOZLS,O,X,O,X
JITOZSL,O,X,O,X
JILTSZO,O,X,X,O
JILTSOZ,O,O,X,X
JILTZSO,O,X,X,X
JILTZOS,O,O,O,X
JILTOSZ,O,O,O,X
JILTOZS,O,O,O,X
JILSTZO,O,X,X,O
JILSTOZ,O,O,X,X
JILSZTO,O,X,X,O
JILSZOT,O,X,X,O
JILSOTZ,O,O,O,X
JILSOZT,O,O,X,O
JILZTSO,O,X,X,X
JILZTOS,O,O,X,X
JILZSTO,O,X,X,O
JILZSOT,O,X,X,O
JILZOTS,O,O,X,X
JILZOST,O,O,X,X
JILOTSZ,O,O,O,X
JILOTZS,O,O,O,X
JILOSTZ,O,O,O,X
JILOSZT,O,O,X,O
JILOZTS,O,O,X,X
JILOZST,O,O,X,X
JISTLZO,O,X,X,O
JISTLOZ,O,X,X,X
JISTZLO,O,X,X,O
JISTZOL,O,X,O,X
JISTOLZ,X,X,O,X
JISTOZL,X,X,O,X
JISLTZO,O,X,X,O
JISLTOZ,O,O,X,X
JISLZTO,O,X,X,O
JISLZOT,O,X,X,O
JISLOTZ,O,O,O,X
JISLOZT,O,O,X,O
JISZTLO,O,X,X,O
JISZTOL,O,X,X,X
JISZLTO,O,X,X,O
JISZLOT,O,X,X,O
JISZOTL,O,X,O,X
JISZOLT,O,X,X,O
JISOTLZ,X,X,O,X
JISOTZL,X,X,O,X
JISOLTZ,X,O,O,X
JISOLZT,X,O,X,O
JISOZTL,O,X,O,X
JISOZLT,O,X,X,O
JIZTLSO,O,X,X,X
JIZTLOS,O,X,O,X
JIZTSLO,O,X,X,X
JIZTSOL,O,X,O,X
JIZTOLS,O,X,O,X
JIZTOSL,O,X,O,X
JIZLTSO,O,X,X,X
JIZLTOS,O,O,X,X
JIZLSTO,O,X,X,O
JIZLSOT,O,X,X,O
JIZLOTS,O,O,X,X
JIZLOST,O,O,X,X
JIZSTLO,O,X,X,O
JIZSTOL,O,X,X,X
JIZSLTO,O,X,X,O
JIZSLOT,O,X,X,O
JIZSOTL,O,X,O,X
JIZSOLT,O,X,X,O
JIZOTLS,O,X,O,X
JIZOTSL,O,X,O,X
JIZOLTS,O,O,X,X
JIZOLST,O,O,X,X
JIZOSTL,O,X,O,X
JIZOSLT,O,X,X,X
JIOTLSZ,O,O,O,X
JIOTLZS,O,O,O,X
JIOTSLZ,X,O,O,X
JIOTSZL,X,X,O,X
JIOTZLS,O,X,O,X
JIOTZSL,O,X,O,X
JIOLTSZ,O,O,O,X
JIOLTZS,O,O,O,X
JIOLSTZ,O,O,O,X
JIOLSZT,O,O,X,O
JIOLZTS,O,O,X,X
JIOLZST,O,O,X,X
JIOSTLZ,X,X,O,X
JIOSTZL,X,X,O,X
JIOSLTZ,X,O,O,X
JIOSLZT,X,O,X,O
JIOSZTL,O,X,O,X
JIOSZLT,O,X,X,O
JIOZTLS,O,X,O,X
JIOZTSL,O,X,O,X
JIOZLTS,O,O,X,X
JIOZLST,O,O,X,X
JIOZSTL,O,X,O,X
JIOZSLT,O,X,X,X
JLTISZO,O,X,X,O
JLTISOZ,O,O,X,X
JLTIZSO,O,X,X,X
JLTIZOS,O,O,O,X
JLTIOSZ,O,O,O,X
JLTIOZS,O,O,O,X
JLTSIZO,O,X,X,O
JLTSIOZ,O,O,X,X
JLTSZIO,O,X,X,O
JLTSZOI,O,X,X,O
JLTSOIZ,O,O,X,X
JLTSOZI,O,O,X,X
JLTZISO,O,X,X,X
JLTZIOS,O,O,O,X
JLTZSIO,O,X,X,X
JLTZSOI,O,X,X,X
JLTZOIS,O,O,O,X
JLTZOSI,O,O,O,X
JLTOISZ,O,O,O,X
JLTOIZS,O,O,O,X
JLTOSIZ,O,O,O,X
JLTOSZI,O,O,O,X
JLTOZIS,O,O,O,X
JLTOZSI,O,O,O,X
JLITSZO,O,X,X,O
JLITSOZ,O,O,X,X
JLITZSO,O,X,X,X
JLITZOS,O,O,O,X
JLITOSZ,O,O,O,X
JLITOZS,O,O,O,X
JLISTZO,O,X,X,O
JLISTOZ,O,O,X,X
JLISZTO,O,X,X,O
JLISZOT,O,X,X,O
JLISOTZ,O,O,O,X
JLISOZT,O,O,X,O
JLIZTSO,O,X,X,X
JLIZTOS,O,O,X,X
JLIZSTO,O,X,X,O
JLIZSOT,O,X,X,O
JLIZOTS,O,O,X,X
JLIZOST,O,O,X,X
JLIOTSZ,O,O,O,X
JLIOTZS,O,O,O,X
JLIOSTZ,O,O,O,X
JLIOSZT,O,O,X,O
JLIOZTS,O,O,X,X
JLIOZST,O,O,X,X
JLSTIZO,O,X,X,O
JLSTIOZ,O,O,X,X
JLSTZIO,O,X,X,O
JLSTZOI,O,X,X,O
JLSTOIZ,O,O,X,X
JLSTOZI,O,O,X,X
JLSITZO,O,X,X,O
JLSITOZ,O,O,X,X
JLSIZTO,O,X,X,O
JLSIZOT,O,X,X,O
JLSIOTZ,O,O,O,X
JLSIOZT,O,O,X,O
JLSZTIO,O,X,X,O
JLSZTOI,O,X,X,O
JLSZITO,O,X,X,O
JLSZIOT,O,X,X,O
JLSZOTI,O,X,X,O
JLSZOIT,O,X,X,O
JLSOTIZ,O,O,O,X
JLSOTZI,O,O,O,X
JLSOITZ,O,O,O,X
JLSOIZT,O,O,X,O
JLSOZTI,O,X,X,O
JLSOZIT,O,O,X,O
JLZTISO,O,X,X,X
JLZTIOS,O,O,X,X
JLZTSIO,O,X,X,X
JLZTSOI,O,X,X,X
JLZTOIS,O,O,X,X
JLZTOSI,O,O,X,X
JLZITSO,O,X,X,X
JLZITOS,O,O,X,X
JLZISTO,O,X,X,O
JLZISOT,O,X,X,O
JLZIOTS,O,O,X,X
JLZIOST,O,O,X,X
JLZSTIO,O,X,X,O
JLZSTOI,O,X,X,O
JLZSITO,O,X,X,O
JLZSIOT,O,X,X,O
JLZSOTI,O,X,X,O
JLZSOIT,O,X,X,O
JLZOTIS,O,O,X,X
JLZOTSI,O,O,X,X
JLZOITS,O,O,X,X
JLZOIST,O,O,X,X
JLZOSTI,O,X,X,X
JLZOSIT,O,O,X,X
JLOTISZ,O,O,O,X
JLOTIZS,O,O,O,X
JLOTSIZ,O,O,O,X
JLOTSZI,O,O,O,X
JLOTZIS,O,O,O,X
JLOTZSI,O,O,O,X
JLOITSZ,O,O,O,X
JLOITZS,O,O,O,X
JLOISTZ,O,O,O,X
JLOISZT,O,O,X,O
JLOIZTS,O,O,X,X
JLOIZST,O,O,X,X
JLOSTIZ,O,O,O,X
JLOSTZI,O,O,O,X
JLOSITZ,O,O,O,X
JLOSIZT,O,O,X,O
JLOSZTI,O,X,X,O
JLOSZIT,O,O,X,O
JLOZTIS,O,O,X,X
JLOZTSI,O,O,X,X
JLOZITS,O,O,X,X
JLOZIST,O,O,X,X
JLOZSTI,O,X,X,X
JLOZSIT,O,O,X,X
JSTILZO,O,X,X,O
JSTILOZ,O,X,X,X
JSTIZLO,O,X,X,O
JSTIZOL,O,X,O,X
JSTIOLZ,X,X,O,X
JSTIOZL,X,X,O,X
JSTLIZO,O,X,X,O
JSTLIOZ,O,X,X,X
JSTLZIO,O,X,X,O
JSTLZOI,O,X,X,O
JSTLOIZ,O,X,X,X
JSTLOZI,O,X,X,X
JSTZILO,O,X,X,O
